,BIG US Equity
,BEST_EPS_NXT_YR
2019-01-01,3.07
2019-01-02,3.07
2019-01-03,3.07
2019-01-04,3.07
2019-01-05,3.07
2019-01-06,3.07
2019-01-07,3.07
2019-01-08,3.07
2019-01-09,3.07
2019-01-10,3.07
2019-01-11,3.07
2019-01-12,3.07
2019-01-13,3.07
2019-01-14,3.07
2019-01-15,3.07
2019-01-16,3.07
2019-01-17,3.07
2019-01-18,3.07
2019-01-19,3.07
2019-01-20,3.07
2019-01-21,3.07
2019-01-22,3.07
2019-01-23,3.07
2019-01-24,3.07
2019-01-25,3.07
2019-01-26,3.07
2019-01-27,3.07
2019-01-28,3.07
2019-01-29,3.07
2019-01-30,3.07
2019-01-31,3.07
2019-02-01,3.07
2019-02-02,3.07
2019-02-03,3.07
2019-02-04,3.07
2019-02-05,3.07
2019-02-06,3.07
2019-02-07,3.07
2019-02-08,3.07
2019-02-09,3.07
2019-02-10,3.07
2019-02-11,3.07
2019-02-12,3.07
2019-02-13,3.07
2019-02-14,3.07
2019-02-15,3.07
2019-02-16,3.07
2019-02-17,3.07
2019-02-18,3.07
2019-02-19,3.07
2019-02-20,3.07
2019-02-21,3.07
2019-02-22,3.07
2019-02-23,3.07
2019-02-24,3.07
2019-02-25,3.07
2019-02-26,3.07
2019-02-27,3.07
2019-02-28,3.07
2019-03-01,3.07
2019-03-02,3.07
2019-03-03,3.07
2019-03-04,3.07
2019-03-05,3.07
2019-03-06,3.07
2019-03-07,3.07
2019-03-08,3.07
2019-03-09,3.07
2019-03-10,3.07
2019-03-11,3.07
2019-03-12,3.07
2019-03-13,3.07
2019-03-14,3.07
2019-03-15,3.07
2019-03-16,3.07
2019-03-17,3.07
2019-03-18,3.07
2019-03-19,3.07
2019-03-20,3.07
2019-03-21,3.07
2019-03-22,3.07
2019-03-23,3.07
2019-03-24,3.07
2019-03-25,3.07
2019-03-26,3.07
2019-03-27,3.07
2019-03-28,3.07
2019-03-29,3.07
2019-03-30,3.07
2019-03-31,3.07
2019-04-01,3.07
2019-04-02,3.07
2019-04-03,3.07
2019-04-04,3.07
2019-04-05,3.07
2019-04-06,3.07
2019-04-07,3.07
2019-04-08,3.07
2019-04-09,3.07
2019-04-10,3.07
2019-04-11,3.07
2019-04-12,3.07
2019-04-13,3.07
2019-04-14,3.07
2019-04-15,3.07
2019-04-16,3.07
2019-04-17,3.07
2019-04-18,3.07
2019-04-19,3.07
2019-04-20,3.07
2019-04-21,3.07
2019-04-22,3.07
2019-04-23,3.07
2019-04-24,3.07
2019-04-25,3.07
2019-04-26,3.07
2019-04-27,3.07
2019-04-28,3.07
2019-04-29,3.07
2019-04-30,3.07
2019-05-01,3.07
2019-05-02,3.07
2019-05-03,3.07
2019-05-04,3.07
2019-05-05,3.07
2019-05-06,3.07
2019-05-07,3.07
2019-05-08,3.07
2019-05-09,3.07
2019-05-10,3.07
2019-05-11,3.07
2019-05-12,3.07
2019-05-13,3.07
2019-05-14,3.07
2019-05-15,3.07
2019-05-16,3.07
2019-05-17,3.07
2019-05-18,3.07
2019-05-19,3.07
2019-05-20,3.07
2019-05-21,3.07
