,CFR US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,7.517
2020-08-01,7.517
2020-08-02,7.517
2020-08-03,7.504
2020-08-04,7.47
2020-08-05,7.615
2020-08-06,7.589
2020-08-07,7.805
2020-08-08,7.805
2020-08-09,7.805
2020-08-10,7.798
2020-08-11,7.998
2020-08-12,7.933
2020-08-13,7.864
2020-08-14,7.894
2020-08-15,7.894
2020-08-16,7.894
2020-08-17,7.68
2020-08-18,7.478
2020-08-19,7.505
2020-08-20,7.303
2020-08-21,7.272
2020-08-22,7.272
2020-08-23,7.272
2020-08-24,7.474
2020-08-25,7.486
2020-08-26,7.31
2020-08-27,7.492
2020-08-28,7.472
2020-08-29,7.472
2020-08-30,7.472
2020-08-31,7.318
2020-09-01,7.341
2020-09-02,7.398
2020-09-03,7.392
2020-09-04,7.599
2020-09-05,7.599
2020-09-06,7.599
2020-09-07,7.599
2020-09-08,7.231
2020-09-09,7.203
2020-09-10,7.137
2020-09-11,7.113
2020-09-12,7.113
2020-09-13,7.113
2020-09-14,7.223
2020-09-15,7.108
2020-09-16,7.196
2020-09-17,7.171
2020-09-18,7.156
2020-09-19,7.156
2020-09-20,7.156
2020-09-21,6.762
2020-09-22,6.648
2020-09-23,6.579
2020-09-24,6.556
2020-09-25,6.604
2020-09-26,6.604
2020-09-27,6.604
2020-09-28,6.826
2020-09-29,6.664
2020-09-30,6.738
2020-10-01,6.717
2020-10-02,6.847
2020-10-03,6.847
2020-10-04,6.847
2020-10-05,7.061
2020-10-06,7.151
2020-10-07,7.32
2020-10-08,7.377
2020-10-09,7.332
2020-10-10,7.332
2020-10-11,7.332
2020-10-12,7.379
2020-10-13,7.153
2020-10-14,7.02
2020-10-15,7.259
2020-10-16,7.235
2020-10-17,7.235
2020-10-18,7.235
2020-10-19,7.058
2020-10-20,7.157
2020-10-21,7.182
2020-10-22,7.438
2020-10-23,7.601
2020-10-24,7.601
2020-10-25,7.601
2020-10-26,7.3
2020-10-27,7.006
2020-10-28,7.015
2020-10-29,7.246
