,AMCX US Equity
2020-10-31,2.714
2020-11-01,2.714
2020-11-02,2.89
2020-11-03,3.017
2020-11-04,3.048
2020-11-05,3.11
2020-11-06,3.131
2020-11-07,3.131
2020-11-08,3.131
2020-11-09,3.273
2020-11-10,3.452
2020-11-11,3.349
2020-11-12,3.258
2020-11-13,3.455
2020-11-14,3.455
2020-11-15,3.455
2020-11-16,3.721
2020-11-17,3.87
2020-11-18,3.798
2020-11-19,3.801
2020-11-20,3.948
2020-11-21,3.948
2020-11-22,3.948
2020-11-23,4.105
2020-11-24,4.324
2020-11-25,4.345
2020-11-26,4.345
2020-11-27,4.471
2020-11-28,4.471
2020-11-29,4.471
2020-11-30,4.321
2020-12-01,4.241
2020-12-02,4.249
2020-12-03,4.246
2020-12-04,4.329
2020-12-05,4.329
2020-12-06,4.329
2020-12-07,4.208
2020-12-08,4.072
2020-12-09,4.245
2020-12-10,4.29
2020-12-11,4.218
2020-12-12,4.218
2020-12-13,4.218
2020-12-14,4.235
2020-12-15,4.305
2020-12-16,4.189
2020-12-17,4.246
2020-12-18,4.203
2020-12-19,4.203
2020-12-20,4.203
2020-12-21,4.153
2020-12-22,4.13
2020-12-23,4.421
2020-12-24,4.316
2020-12-25,4.316
2020-12-26,4.316
2020-12-27,4.316
2020-12-28,4.482
2020-12-29,4.573
2020-12-30,4.649
2020-12-31,4.688
2021-01-01,4.688
2021-01-02,4.688
2021-01-03,4.688
2021-01-04,4.666
2021-01-05,4.737
2021-01-06,4.979
2021-01-07,5.066
2021-01-08,5.135
2021-01-09,5.135
2021-01-10,5.135
2021-01-11,5.241
2021-01-12,5.388
2021-01-13,5.438
2021-01-14,5.629
2021-01-15,5.511
2021-01-16,5.511
2021-01-17,5.511
2021-01-18,5.511
2021-01-19,5.726
2021-01-20,5.636
2021-01-21,5.647
2021-01-22,6.472
2021-01-23,6.472
2021-01-24,6.472
2021-01-25,8.769
2021-01-26,9.642
2021-01-27,7.779
2021-01-28,7.694
2021-01-29,7.965
2021-01-30,7.965
2021-01-31,7.965
2021-02-01,8.327
2021-02-02,7.38
2021-02-03,7.575
2021-02-04,7.222
2021-02-05,7.554
2021-02-06,7.554
2021-02-07,7.554
2021-02-08,7.61
2021-02-09,7.486
2021-02-10,7.645
2021-02-11,7.604
2021-02-12,7.985
2021-02-13,7.985
2021-02-14,7.985
2021-02-15,7.985
2021-02-16,8.035
2021-02-17,8.245
2021-02-18,8.135
2021-02-19,8.102
2021-02-20,8.102
2021-02-21,8.102
2021-02-22,8.678
2021-02-23,8.367
2021-02-24,8.753
2021-02-25,8.553
2021-02-26,10.571
2021-02-27,10.571
2021-02-28,10.571
2021-03-01,11.776
2021-03-02,11.116
2021-03-03,11.381
2021-03-04,11.283
2021-03-05,11.435
2021-03-06,11.435
2021-03-07,11.435
2021-03-08,12.313
2021-03-09,11.801
2021-03-10,11.81
2021-03-11,12.185
2021-03-12,13.018
2021-03-13,13.018
2021-03-14,13.018
2021-03-15,12.611
2021-03-16,12.634
2021-03-17,12.015
2021-03-18,11.02
2021-03-19,10.904
2021-03-20,10.904
2021-03-21,10.904
2021-03-22,10.891
2021-03-23,10.19
2021-03-24,9.525
2021-03-25,9.581
2021-03-26,8.501
2021-03-27,8.501
2021-03-28,8.501
2021-03-29,8.264
2021-03-30,8.462
2021-03-31,8.368
2021-04-01,8.431
2021-04-02,8.431
2021-04-03,8.431
2021-04-04,8.431
2021-04-05,8.154
2021-04-06,8.448
2021-04-07,8.215
2021-04-08,8.103
2021-04-09,8.125
2021-04-10,8.125
2021-04-11,8.125
2021-04-12,8.144
2021-04-13,8.246
2021-04-14,8.355
2021-04-15,8.128
2021-04-16,8.32
2021-04-17,8.32
2021-04-18,8.32
2021-04-19,8.231
2021-04-20,8.076
2021-04-21,8.195
2021-04-22,8.185
2021-04-23,8.27
2021-04-24,8.27
2021-04-25,8.27
2021-04-26,8.234
2021-04-27,8.343
2021-04-28,8.3
2021-04-29,8.051
2021-04-30,7.914
2021-05-01,7.914
2021-05-02,7.914
2021-05-03,7.546
2021-05-04,7.408
2021-05-05,7.107
2021-05-06,7.17
2021-05-07,7.433
2021-05-08,7.433
2021-05-09,7.433
2021-05-10,7.602
2021-05-11,7.706
2021-05-12,7.412
2021-05-13,7.632
2021-05-14,7.917
2021-05-15,7.917
2021-05-16,7.917
2021-05-17,7.645
2021-05-18,7.722
2021-05-19,7.885
2021-05-20,8.031
2021-05-21,8.198
2021-05-22,8.198
2021-05-23,8.198
2021-05-24,8.11
2021-05-25,8.025
2021-05-26,8.321
2021-05-27,8.575
2021-05-28,8.634
2021-05-29,8.634
2021-05-30,8.634
2021-05-31,8.634
2021-06-01,8.726
2021-06-02,8.898
2021-06-03,9.131
2021-06-04,10.745
2021-06-05,10.745
2021-06-06,10.745
2021-06-07,11.259
2021-06-08,11.628
2021-06-09,10.77
2021-06-10,10.264
2021-06-11,10.576
2021-06-12,10.576
2021-06-13,10.576
2021-06-14,10.597
2021-06-15,10.313
2021-06-16,10.488
2021-06-17,10.031
2021-06-18,10.002
2021-06-19,10.002
2021-06-20,10.002
2021-06-21,9.972
2021-06-22,10.22
2021-06-23,10.469
2021-06-24,10.575
2021-06-25,10.606
2021-06-26,10.606
2021-06-27,10.606
2021-06-28,10.863
2021-06-29,10.863
2021-06-30,10.874
2021-07-01,10.742
2021-07-02,10.884
2021-07-03,10.884
2021-07-04,10.884
2021-07-05,10.884
2021-07-06,10.067
2021-07-07,9.925
2021-07-08,9.582
2021-07-09,9.917
2021-07-10,9.917
2021-07-11,9.917
2021-07-12,10.208
2021-07-13,9.601
2021-07-14,9.357
2021-07-15,9.041
2021-07-16,8.955
2021-07-17,8.955
2021-07-18,8.955
2021-07-19,8.639
2021-07-20,8.849
2021-07-21,9.204
2021-07-22,7.91
2021-07-23,7.732
2021-07-24,7.732
2021-07-25,7.732
2021-07-26,8.09
2021-07-27,7.867
2021-07-28,7.787
2021-07-29,7.643
2021-07-30,7.408
2021-07-31,7.408
2021-08-01,7.408
2021-08-02,6.757
2021-08-03,6.478
2021-08-04,6.491
2021-08-05,6.691
2021-08-06,6.644
2021-08-07,6.644
2021-08-08,6.644
2021-08-09,7.334
2021-08-10,7.579
2021-08-11,8.099
2021-08-12,7.675
2021-08-13,7.507
2021-08-14,7.507
2021-08-15,7.507
2021-08-16,7.482
2021-08-17,7.297
2021-08-18,7.155
2021-08-19,6.912
2021-08-20,7.018
2021-08-21,7.018
2021-08-22,7.018
2021-08-23,7.198
2021-08-24,7.106
2021-08-25,6.882
2021-08-26,6.797
2021-08-27,7.039
2021-08-28,7.039
2021-08-29,7.039
2021-08-30,6.959
2021-08-31,6.936
2021-09-01,6.899
2021-09-02,6.852
2021-09-03,6.644
2021-09-04,6.644
2021-09-05,6.644
2021-09-06,6.644
2021-09-07,6.507
2021-09-08,6.45
2021-09-09,6.784
2021-09-10,6.692
2021-09-11,6.692
2021-09-12,6.692
2021-09-13,6.855
2021-09-14,6.794
2021-09-15,6.92
2021-09-16,6.901
2021-09-17,6.958
2021-09-18,6.958
2021-09-19,6.958
2021-09-20,6.768
2021-09-21,6.597
2021-09-22,6.688
2021-09-23,6.806
2021-09-24,6.901
2021-09-25,6.901
2021-09-26,6.901
2021-09-27,6.867
2021-09-28,6.899
2021-09-29,6.783
2021-09-30,6.677
2021-10-01,6.784
2021-10-02,6.784
2021-10-03,6.784
2021-10-04,6.644
2021-10-05,6.589
2021-10-06,6.476
2021-10-07,6.571
2021-10-08,6.579
2021-10-09,6.579
2021-10-10,6.579
2021-10-11,6.478
2021-10-12,6.486
2021-10-13,6.615
2021-10-14,6.766
2021-10-15,6.478
2021-10-16,6.478
2021-10-17,6.478
2021-10-18,6.4
2021-10-19,6.499
2021-10-20,6.605
2021-10-21,6.377
2021-10-22,6.184
2021-10-23,6.184
2021-10-24,6.184
2021-10-25,6.105
2021-10-26,5.943
2021-10-27,5.708
2021-10-28,5.821
2021-10-29,5.702
2021-10-30,5.702
2021-10-31,5.702
2021-11-01,5.914
2021-11-02,6.038
2021-11-03,6.185
2021-11-04,6.158
2021-11-05,6.124
2021-11-06,6.124
2021-11-07,6.124
2021-11-08,6.076
2021-11-09,6.371
2021-11-10,6.174
2021-11-11,6.153
2021-11-12,6.106
2021-11-13,6.106
2021-11-14,6.106
2021-11-15,6.357
2021-11-16,6.138
2021-11-17,5.991
2021-11-18,5.81
2021-11-19,5.682
2021-11-20,5.682
2021-11-21,5.682
2021-11-22,5.797
2021-11-23,5.48
2021-11-24,5.4
2021-11-25,5.4
2021-11-26,5.143
2021-11-27,5.143
2021-11-28,5.143
2021-11-29,5.176
2021-11-30,5.058
2021-12-01,4.643
2021-12-02,4.853
2021-12-03,5.05
2021-12-04,5.05
2021-12-05,5.05
2021-12-06,5.208
2021-12-07,5.344
2021-12-08,5.239
2021-12-09,5.088
2021-12-10,5.119
2021-12-11,5.119
2021-12-12,5.119
2021-12-13,4.859
2021-12-14,4.636
2021-12-15,4.498
2021-12-16,4.465
2021-12-17,4.626
2021-12-18,4.626
2021-12-19,4.626
2021-12-20,4.389
2021-12-21,4.595
2021-12-22,4.555
2021-12-23,4.706
2021-12-24,4.706
2021-12-25,4.706
2021-12-26,4.706
2021-12-27,4.61
2021-12-28,4.592
2021-12-29,4.513
2021-12-30,4.674
2021-12-31,4.512
2022-01-01,4.512
2022-01-02,4.512
2022-01-03,4.874
2022-01-04,5.134
2022-01-05,5.029
2022-01-06,4.967
2022-01-07,5.322
2022-01-08,5.322
2022-01-09,5.322
2022-01-10,5.423
2022-01-11,5.464
2022-01-12,5.4
2022-01-13,5.497
2022-01-14,5.529
2022-01-15,5.529
2022-01-16,5.529
2022-01-17,5.529
2022-01-18,5.314
2022-01-19,5.24
2022-01-20,5.102
2022-01-21,4.712
2022-01-22,4.712
2022-01-23,4.712
2022-01-24,4.883
2022-01-25,5.074
2022-01-26,5.014
2022-01-27,5.052
2022-01-28,5.261
2022-01-29,5.261
2022-01-30,5.261
2022-01-31,5.585
2022-02-01,5.505
2022-02-02,5.398
2022-02-03,5.307
2022-02-04,5.256
2022-02-05,5.256
2022-02-06,5.256
2022-02-07,5.2
2022-02-08,5.437
2022-02-09,5.603
2022-02-10,5.631
2022-02-11,5.681
2022-02-12,5.681
2022-02-13,5.681
2022-02-14,5.546
2022-02-15,5.851
2022-02-16,5.194
2022-02-17,4.864
2022-02-18,4.953
2022-02-19,4.953
2022-02-20,4.953
2022-02-21,4.953
2022-02-22,4.833
2022-02-23,5.17
2022-02-24,5.247
2022-02-25,5.221
2022-02-26,5.221
2022-02-27,5.221
2022-02-28,5.296
2022-03-01,5.271
2022-03-02,5.551
2022-03-03,5.431
2022-03-04,5.206
2022-03-05,5.206
2022-03-06,5.206
2022-03-07,4.973
2022-03-08,4.835
2022-03-09,4.84
2022-03-10,4.943
2022-03-11,4.792
2022-03-12,4.792
2022-03-13,4.792
2022-03-14,5.126
2022-03-15,4.83
2022-03-16,4.96
2022-03-17,5.021
2022-03-18,5.04
2022-03-19,5.04
2022-03-20,5.04
2022-03-21,4.851
2022-03-22,4.952
2022-03-23,5.018
2022-03-24,5.204
2022-03-25,5.32
2022-03-26,5.32
2022-03-27,5.32
2022-03-28,5.224
2022-03-29,5.425
2022-03-30,5.362
2022-03-31,5.104
2022-04-01,5.178
2022-04-02,5.178
2022-04-03,5.178
2022-04-04,5.282
2022-04-05,4.947
2022-04-06,4.845
2022-04-07,4.721
2022-04-08,4.781
2022-04-09,4.781
2022-04-10,4.781
2022-04-11,4.795
2022-04-12,4.825
2022-04-13,4.889
2022-04-14,4.78
2022-04-15,4.78
2022-04-16,4.78
2022-04-17,4.78
2022-04-18,4.734
2022-04-19,4.994
2022-04-20,4.777
2022-04-21,4.613
2022-04-22,4.446
2022-04-23,4.446
2022-04-24,4.446
2022-04-25,4.485
2022-04-26,4.261
2022-04-27,4.11
2022-04-28,4.19
2022-04-29,4.089
2022-04-30,4.089
2022-05-01,4.089
2022-05-02,4.193
2022-05-03,4.232
2022-05-04,4.411
2022-05-05,4.107
2022-05-06,4.006
2022-05-07,4.006
2022-05-08,4.006
2022-05-09,3.878
2022-05-10,4.0
2022-05-11,3.93
2022-05-12,4.19
2022-05-13,4.351
2022-05-14,4.351
2022-05-15,4.351
2022-05-16,4.427
2022-05-17,4.986
2022-05-18,5.07
2022-05-19,5.162
2022-05-20,5.005
2022-05-21,5.005
2022-05-22,5.005
2022-05-23,4.964
2022-05-24,4.754
2022-05-25,4.931
2022-05-26,4.807
2022-05-27,4.88
2022-05-28,4.88
2022-05-29,4.88
2022-05-30,4.88
2022-05-31,4.847
2022-06-01,4.764
2022-06-02,4.702
2022-06-03,4.499
2022-06-04,4.499
2022-06-05,4.499
2022-06-06,4.477
2022-06-07,4.538
2022-06-08,4.407
2022-06-09,4.259
2022-06-10,4.083
2022-06-11,4.083
2022-06-12,4.083
2022-06-13,3.752
2022-06-14,3.738
2022-06-15,3.793
2022-06-16,3.469
2022-06-17,3.483
2022-06-18,3.483
2022-06-19,3.483
2022-06-20,3.483
2022-06-21,3.488
2022-06-22,3.551
2022-06-23,3.645
2022-06-24,3.906
2022-06-25,3.906
2022-06-26,3.906
2022-06-27,3.878
2022-06-28,3.846
2022-06-29,3.695
2022-06-30,3.695
2022-07-01,3.74
2022-07-02,3.74
2022-07-03,3.74
2022-07-04,3.74
2022-07-05,3.735
2022-07-06,3.645
2022-07-07,3.754
2022-07-08,3.713
2022-07-09,3.713
2022-07-10,3.713
2022-07-11,3.608
2022-07-12,3.699
2022-07-13,3.711
2022-07-14,3.65
2022-07-15,3.763
2022-07-16,3.763
2022-07-17,3.763
2022-07-18,3.853
2022-07-19,4.013
2022-07-20,4.188
2022-07-21,4.2
2022-07-22,4.262
2022-07-23,4.262
2022-07-24,4.262
2022-07-25,4.257
2022-07-26,4.149
2022-07-27,4.26
2022-07-28,4.268
2022-07-29,4.082
2022-07-30,4.082
2022-07-31,4.082
2022-08-01,4.164
2022-08-02,4.227
2022-08-03,4.359
2022-08-04,4.434
2022-08-05,3.87
2022-08-06,3.87
2022-08-07,3.87
2022-08-08,4.096
2022-08-09,4.048
2022-08-10,4.12
2022-08-11,4.19
2022-08-12,4.21
2022-08-13,4.21
2022-08-14,4.21
2022-08-15,4.279
2022-08-16,4.297
2022-08-17,4.004
2022-08-18,3.964
2022-08-19,3.905
2022-08-20,3.905
2022-08-21,3.905
2022-08-22,3.613
2022-08-23,3.63
2022-08-24,3.793
2022-08-25,3.93
2022-08-26,3.815
2022-08-27,3.815
2022-08-28,3.815
2022-08-29,3.758
2022-08-30,3.746
2022-08-31,3.7
2022-09-01,3.59
2022-09-02,3.497
2022-09-03,3.497
2022-09-04,3.497
2022-09-05,3.497
2022-09-06,3.36
2022-09-07,3.325
2022-09-08,3.304
2022-09-09,3.494
2022-09-10,3.494
2022-09-11,3.494
2022-09-12,3.519
2022-09-13,3.283
2022-09-14,3.246
2022-09-15,3.251
2022-09-16,3.24
2022-09-17,3.24
2022-09-18,3.24
2022-09-19,3.287
2022-09-20,3.213
2022-09-21,3.036
2022-09-22,2.96
2022-09-23,2.953
2022-09-24,2.953
2022-09-25,2.953
2022-09-26,2.829
2022-09-27,2.797
2022-09-28,2.952
2022-09-29,2.856
2022-09-30,2.762
2022-10-01,2.762
2022-10-02,2.762
2022-10-03,2.882
2022-10-04,2.989
2022-10-05,2.932
2022-10-06,2.927
2022-10-07,2.873
2022-10-08,2.873
2022-10-09,2.873
2022-10-10,2.927
2022-10-11,2.895
2022-10-12,2.923
2022-10-13,3.031
2022-10-14,2.987
2022-10-15,2.987
2022-10-16,2.987
2022-10-17,3.068
2022-10-18,3.053
2022-10-19,3.006
2022-10-20,3.044
2022-10-21,3.066
2022-10-22,3.066
2022-10-23,3.066
2022-10-24,3.039
2022-10-25,3.101
2022-10-26,3.014
2022-10-27,3.018
2022-10-28,3.105
2022-10-29,3.105
2022-10-30,3.105
2022-10-31,3.084
2022-11-01,3.192
2022-11-02,2.978
2022-11-03,2.855
2022-11-04,2.615
2022-11-05,2.615
2022-11-06,2.615
2022-11-07,2.682
2022-11-08,2.769
2022-11-09,2.561
2022-11-10,2.779
2022-11-11,3.131
2022-11-12,3.131
2022-11-13,3.131
2022-11-14,3.03
2022-11-15,3.101
2022-11-16,2.958
2022-11-17,2.997
2022-11-18,2.996
2022-11-19,2.996
2022-11-20,2.996
2022-11-21,2.948
2022-11-22,2.988
2022-11-23,3.024
2022-11-24,3.024
2022-11-25,3.009
2022-11-26,3.009
2022-11-27,3.009
2022-11-28,2.961
2022-11-29,2.803
2022-11-30,2.839
2022-12-01,2.822
2022-12-02,2.735
2022-12-03,2.735
2022-12-04,2.735
2022-12-05,2.668
2022-12-06,2.549
2022-12-07,2.476
2022-12-08,2.52
2022-12-09,2.542
2022-12-10,2.542
2022-12-11,2.542
2022-12-12,2.66
2022-12-13,2.637
2022-12-14,2.607
2022-12-15,2.424
2022-12-16,2.387
2022-12-17,2.387
2022-12-18,2.387
2022-12-19,2.268
2022-12-20,2.263
2022-12-21,2.208
2022-12-22,2.263
2022-12-23,2.25
2022-12-24,2.25
2022-12-25,2.25
2022-12-26,2.25
2022-12-27,2.25
2022-12-28,2.096
2022-12-29,2.234
2022-12-30,2.268
2022-12-31,2.268
2023-01-01,2.268
2023-01-02,2.268
2023-01-03,2.301
2023-01-04,2.428
2023-01-05,2.456
2023-01-06,2.462
2023-01-07,2.462
2023-01-08,2.462
2023-01-09,2.509
2023-01-10,2.556
2023-01-11,2.556
2023-01-12,2.586
2023-01-13,2.544
2023-01-14,2.544
2023-01-15,2.544
2023-01-16,2.544
2023-01-17,2.544
2023-01-18,2.488
2023-01-19,2.473
2023-01-20,2.475
2023-01-21,2.475
2023-01-22,2.475
2023-01-23,2.552
2023-01-24,2.538
2023-01-25,2.538
2023-01-26,2.562
2023-01-27,2.642
2023-01-28,2.642
2023-01-29,2.642
2023-01-30,2.576
2023-01-31,2.725
2023-02-01,2.806
2023-02-02,2.899
2023-02-03,2.807
2023-02-04,2.807
2023-02-05,2.807
2023-02-06,2.713
2023-02-07,2.676
2023-02-08,2.656
2023-02-09,2.62
2023-02-10,2.642
2023-02-11,2.642
2023-02-12,2.642
2023-02-13,2.728
2023-02-14,2.709
2023-02-15,2.985
2023-02-16,3.018
2023-02-17,3.994
2023-02-18,3.994
2023-02-19,3.994
2023-02-20,3.994
2023-02-21,3.451
2023-02-22,3.456
2023-02-23,3.516
2023-02-24,3.381
2023-02-25,3.381
2023-02-26,3.381
2023-02-27,3.253
2023-02-28,3.194
2023-03-01,3.27
2023-03-02,3.236
2023-03-03,3.239
2023-03-04,3.239
2023-03-05,3.239
2023-03-06,3.049
2023-03-07,3.0
2023-03-08,3.036
2023-03-09,2.78
2023-03-10,2.614
2023-03-11,2.614
2023-03-12,2.614
2023-03-13,2.407
2023-03-14,2.37
2023-03-15,2.391
2023-03-16,2.341
2023-03-17,2.286
2023-03-18,2.286
2023-03-19,2.286
2023-03-20,2.276
2023-03-21,2.376
2023-03-22,2.28
2023-03-23,2.313
2023-03-24,2.234
2023-03-25,2.234
2023-03-26,2.234
2023-03-27,2.354
2023-03-28,2.376
2023-03-29,2.42
2023-03-30,2.421
2023-03-31,2.511
2023-04-01,2.511
2023-04-02,2.511
2023-04-03,2.459
2023-04-04,2.447
2023-04-05,2.429
2023-04-06,2.513
2023-04-07,2.513
2023-04-08,2.513
2023-04-09,2.513
2023-04-10,2.603
2023-04-11,2.649
2023-04-12,2.539
2023-04-13,2.63
2023-04-14,2.554
2023-04-15,2.554
2023-04-16,2.554
2023-04-17,2.633
2023-04-18,2.624
2023-04-19,2.647
2023-04-20,2.6
2023-04-21,2.623
2023-04-22,2.623
2023-04-23,2.623
2023-04-24,2.647
2023-04-25,2.487
2023-04-26,2.424
2023-04-27,2.482
2023-04-28,2.528
2023-04-29,2.528
2023-04-30,2.528
2023-05-01,2.568
2023-05-02,2.472
2023-05-03,2.391
2023-05-04,2.095
2023-05-05,2.152
2023-05-06,2.152
2023-05-07,2.152
2023-05-08,2.184
2023-05-09,2.307
2023-05-10,2.171
2023-05-11,2.072
2023-05-12,2.03
2023-05-13,2.03
2023-05-14,2.03
2023-05-15,2.076
2023-05-16,1.94
2023-05-17,2.033
2023-05-18,2.028
2023-05-19,1.94
2023-05-20,1.94
2023-05-21,1.94
2023-05-22,1.917
2023-05-23,1.87
2023-05-24,1.834
2023-05-25,1.734
2023-05-26,1.754
2023-05-27,1.754
2023-05-28,1.754
2023-05-29,1.754
2023-05-30,1.708
2023-05-31,1.64
2023-06-01,1.654
2023-06-02,1.688
2023-06-03,1.688
2023-06-04,1.688
2023-06-05,1.659
2023-06-06,1.707
2023-06-07,1.869
2023-06-08,1.84
2023-06-09,1.772
2023-06-10,1.772
2023-06-11,1.772
2023-06-12,1.752
2023-06-13,1.784
2023-06-14,1.763
2023-06-15,1.749
2023-06-16,1.701
2023-06-17,1.701
2023-06-18,1.701
2023-06-19,1.701
2023-06-20,1.586
2023-06-21,1.592
2023-06-22,1.584
2023-06-23,1.574
2023-06-24,1.574
2023-06-25,1.574
2023-06-26,1.669
2023-06-27,1.71
2023-06-28,1.719
2023-06-29,1.812
2023-06-30,1.769
2023-07-01,1.769
2023-07-02,1.769
2023-07-03,1.769
2023-07-04,1.769
2023-07-05,1.793
2023-07-06,1.792
2023-07-07,1.896
2023-07-08,1.896
2023-07-09,1.896
2023-07-10,1.898
2023-07-11,1.951
2023-07-12,1.927
2023-07-13,1.957
2023-07-14,1.927
2023-07-15,1.927
2023-07-16,1.927
2023-07-17,1.914
2023-07-18,2.034
2023-07-19,2.076
2023-07-20,2.0
2023-07-21,1.982
2023-07-22,1.982
2023-07-23,1.982
2023-07-24,1.957
2023-07-25,1.924
2023-07-26,1.996
2023-07-27,1.931
2023-07-28,1.975
2023-07-29,1.975
2023-07-30,1.975
2023-07-31,1.897
2023-08-01,1.891
2023-08-02,1.818
2023-08-03,1.878
2023-08-04,2.158
2023-08-05,2.158
2023-08-06,2.158
2023-08-07,2.154
2023-08-08,2.16
2023-08-09,2.041
2023-08-10,1.995
2023-08-11,1.99
2023-08-12,1.99
2023-08-13,1.99
2023-08-14,1.933
2023-08-15,1.922
2023-08-16,1.867
2023-08-17,1.892
2023-08-18,1.793
2023-08-19,1.793
2023-08-20,1.793
