,JBLU US Equity
2020-11-27,4.246
2020-11-28,4.246
2020-11-29,4.246
2020-11-30,4.078
2020-12-01,4.168
2020-12-02,4.046
2020-12-03,4.295
2020-12-04,4.219
2020-12-05,4.219
2020-12-06,4.219
2020-12-07,4.168
2020-12-08,4.168
2020-12-09,4.142
2020-12-10,4.189
2020-12-11,4.0
2020-12-12,4.0
2020-12-13,4.0
2020-12-14,3.946
2020-12-15,4.005
2020-12-16,3.959
2020-12-17,3.859
2020-12-18,3.878
2020-12-19,3.878
2020-12-20,3.878
2020-12-21,3.849
2020-12-22,3.751
2020-12-23,3.911
2020-12-24,3.9
2020-12-25,3.9
2020-12-26,3.9
2020-12-27,3.9
2020-12-28,4.003
2020-12-29,3.968
2020-12-30,4.015
2020-12-31,3.93
2021-01-01,3.93
2021-01-02,3.93
2021-01-03,3.93
2021-01-04,3.792
2021-01-05,3.862
2021-01-06,3.938
2021-01-07,3.922
2021-01-08,3.97
2021-01-09,3.97
2021-01-10,3.97
2021-01-11,3.93
2021-01-12,4.003
2021-01-13,4.032
2021-01-14,4.249
2021-01-15,4.035
2021-01-16,4.035
2021-01-17,4.035
2021-01-18,4.035
2021-01-19,4.07
2021-01-20,4.227
2021-01-21,4.127
2021-01-22,4.132
2021-01-23,4.132
2021-01-24,4.132
2021-01-25,3.943
2021-01-26,4.014
2021-01-27,3.968
2021-01-28,3.959
2021-01-29,3.876
2021-01-30,3.876
2021-01-31,3.876
2021-02-01,3.87
2021-02-02,3.9
2021-02-03,4.054
2021-02-04,4.311
2021-02-05,4.801
2021-02-06,4.801
2021-02-07,4.801
2021-02-08,5.003
2021-02-09,4.957
2021-02-10,5.058
2021-02-11,5.021
2021-02-12,5.0
2021-02-13,5.0
2021-02-14,5.0
2021-02-15,5.0
2021-02-16,5.085
2021-02-17,5.143
2021-02-18,5.109
2021-02-19,5.286
2021-02-20,5.286
2021-02-21,5.286
2021-02-22,5.62
2021-02-23,5.821
2021-02-24,5.818
2021-02-25,5.62
2021-02-26,5.602
2021-02-27,5.602
2021-02-28,5.602
2021-03-01,5.617
2021-03-02,5.611
2021-03-03,5.812
2021-03-04,5.72
2021-03-05,5.663
2021-03-06,5.663
2021-03-07,5.663
2021-03-08,6.219
2021-03-09,6.155
2021-03-10,6.049
2021-03-11,5.907
2021-03-12,6.211
2021-03-13,6.211
2021-03-14,6.211
2021-03-15,6.578
2021-03-16,6.304
2021-03-17,6.438
2021-03-18,6.292
2021-03-19,6.383
2021-03-20,6.383
2021-03-21,6.383
2021-03-22,5.926
2021-03-23,5.941
2021-03-24,5.799
2021-03-25,6.062
2021-03-26,6.077
2021-03-27,6.077
2021-03-28,6.077
2021-03-29,6.046
2021-03-30,6.349
2021-03-31,6.278
2021-04-01,6.287
2021-04-02,6.287
2021-04-03,6.287
2021-04-04,6.287
2021-04-05,6.534
2021-04-06,6.559
2021-04-07,6.497
2021-04-08,6.509
2021-04-09,6.5
2021-04-10,6.5
2021-04-11,6.5
2021-04-12,6.327
2021-04-13,6.41
2021-04-14,6.429
2021-04-15,6.429
2021-04-16,6.429
2021-04-17,6.429
2021-04-18,6.429
2021-04-19,6.429
2021-04-20,6.429
2021-04-21,6.429
2021-04-22,6.429
2021-04-23,6.429
2021-04-24,6.429
2021-04-25,6.429
2021-04-26,6.429
2021-04-27,6.429
2021-04-28,6.429
2021-04-29,6.429
2021-04-30,6.429
2021-05-01,6.429
2021-05-02,6.429
2021-05-03,6.429
2021-05-04,6.429
2021-05-05,6.429
2021-05-06,6.429
2021-05-07,6.429
2021-05-08,6.429
2021-05-09,6.429
2021-05-10,6.429
2021-05-11,6.429
2021-05-12,6.429
2021-05-13,14.037
2021-05-14,14.578
2021-05-15,14.578
2021-05-16,14.578
2021-05-17,14.748
2021-05-18,14.844
2021-05-19,14.644
2021-05-20,14.504
2021-05-21,14.37
2021-05-22,14.37
2021-05-23,14.37
2021-05-24,14.837
2021-05-25,14.711
2021-05-26,15.059
2021-05-27,15.222
2021-05-28,14.889
2021-05-29,14.889
2021-05-30,14.889
2021-05-31,14.889
2021-06-01,14.993
2021-06-02,14.756
2021-06-03,14.104
2021-06-04,14.119
2021-06-05,14.119
2021-06-06,14.119
2021-06-07,14.193
2021-06-08,14.319
2021-06-09,13.948
2021-06-10,13.659
2021-06-11,13.815
2021-06-12,13.815
2021-06-13,13.815
2021-06-14,13.578
2021-06-15,13.385
2021-06-16,13.356
2021-06-17,14.812
2021-06-18,14.795
2021-06-19,14.795
2021-06-20,14.795
2021-06-21,15.085
2021-06-22,14.923
2021-06-23,14.803
2021-06-24,14.846
2021-06-25,14.684
2021-06-26,14.684
2021-06-27,14.684
2021-06-28,14.47
2021-06-29,14.282
2021-06-30,14.342
2021-07-01,14.632
2021-07-02,14.615
2021-07-03,14.615
2021-07-04,14.615
2021-07-05,14.615
2021-07-06,14.162
2021-07-07,13.812
2021-07-08,13.726
2021-07-09,14.077
2021-07-10,14.077
2021-07-11,14.077
2021-07-12,13.636
2021-07-13,13.095
2021-07-14,12.909
2021-07-15,12.876
2021-07-16,12.264
2021-07-17,12.264
2021-07-18,12.264
2021-07-19,11.901
2021-07-20,12.686
2021-07-21,13.116
2021-07-22,12.942
2021-07-23,12.835
2021-07-24,12.835
2021-07-25,12.835
2021-07-26,13.281
2021-07-27,11.333
2021-07-28,11.598
2021-07-29,11.477
2021-07-30,11.205
2021-07-31,11.205
2021-08-01,11.205
2021-08-02,11.129
2021-08-03,11.113
2021-08-04,10.88
2021-08-05,11.406
2021-08-06,11.466
2021-08-07,11.466
2021-08-08,11.466
2021-08-09,11.383
2021-08-10,11.654
2021-08-11,12.975
2021-08-12,12.787
2021-08-13,12.582
2021-08-14,12.582
2021-08-15,12.582
2021-08-16,12.41
2021-08-17,12.098
2021-08-18,11.91
2021-08-19,11.566
2021-08-20,11.607
2021-08-21,11.607
2021-08-22,11.607
2021-08-23,12.066
2021-08-24,12.516
2021-08-25,12.598
2021-08-26,12.434
2021-08-27,12.639
2021-08-28,12.639
2021-08-29,12.639
2021-08-30,12.238
2021-08-31,12.402
2021-09-01,12.369
2021-09-02,12.459
2021-09-03,12.246
2021-09-04,12.246
2021-09-05,12.246
2021-09-06,12.246
2021-09-07,12.295
2021-09-08,12.057
2021-09-09,12.541
2021-09-10,11.038
2021-09-11,11.038
2021-09-12,11.038
2021-09-13,11.308
2021-09-14,11.173
2021-09-15,11.248
2021-09-16,11.451
2021-09-17,11.444
2021-09-18,11.444
2021-09-19,11.444
2021-09-20,11.662
2021-09-21,11.098
2021-09-22,11.414
2021-09-23,11.827
2021-09-24,12.068
2021-09-25,12.068
2021-09-26,12.068
2021-09-27,12.128
2021-09-28,12.0
2021-09-29,11.782
2021-09-30,11.496
2021-10-01,12.263
2021-10-02,12.263
2021-10-03,12.263
2021-10-04,12.158
2021-10-05,12.12
2021-10-06,12.258
2021-10-07,12.109
2021-10-08,12.141
2021-10-09,12.141
2021-10-10,12.141
2021-10-11,12.07
2021-10-12,12.359
2021-10-13,11.969
2021-10-14,12.07
2021-10-15,11.938
2021-10-16,11.938
2021-10-17,11.938
2021-10-18,11.688
2021-10-19,11.641
2021-10-20,11.641
2021-10-21,11.609
2021-10-22,11.438
2021-10-23,11.438
2021-10-24,11.438
2021-10-25,11.516
2021-10-26,11.061
2021-10-27,10.674
2021-10-28,10.72
2021-10-29,10.629
2021-10-30,10.629
2021-10-31,10.629
2021-11-01,11.076
2021-11-02,11.129
2021-11-03,11.477
2021-11-04,11.348
2021-11-05,12.212
2021-11-06,12.212
2021-11-07,12.212
2021-11-08,12.068
2021-11-09,12.053
2021-11-10,11.758
2021-11-11,11.659
2021-11-12,11.485
2021-11-13,11.485
2021-11-14,11.485
2021-11-15,11.636
2021-11-16,11.28
2021-11-17,8.348
2021-11-18,8.129
2021-11-19,8.0
2021-11-20,8.0
2021-11-21,8.0
2021-11-22,8.056
2021-11-23,7.967
2021-11-24,8.033
2021-11-25,8.033
2021-11-26,7.567
2021-11-27,7.567
2021-11-28,7.567
2021-11-29,7.517
2021-11-30,7.456
2021-12-01,7.144
2021-12-02,7.694
2021-12-03,7.556
2021-12-04,7.556
2021-12-05,7.556
2021-12-06,7.928
2021-12-07,7.817
2021-12-08,8.056
2021-12-09,8.011
2021-12-10,7.972
2021-12-11,7.972
2021-12-12,7.972
2021-12-13,7.761
2021-12-14,7.761
2021-12-15,7.756
2021-12-16,7.561
2021-12-17,7.728
2021-12-18,7.728
2021-12-19,7.728
2021-12-20,7.583
2021-12-21,8.067
2021-12-22,8.133
2021-12-23,8.15
2021-12-24,8.15
2021-12-25,8.15
2021-12-26,8.15
2021-12-27,8.089
2021-12-28,8.156
2021-12-29,7.989
2021-12-30,7.911
2021-12-31,7.911
2022-01-01,7.911
2022-01-02,7.911
2022-01-03,8.167
2022-01-04,8.178
2022-01-05,8.156
2022-01-06,8.167
2022-01-07,8.394
2022-01-08,8.394
2022-01-09,8.394
2022-01-10,8.128
2022-01-11,9.16
2022-01-12,9.0
2022-01-13,9.276
2022-01-14,9.11
2022-01-15,9.11
2022-01-16,9.11
2022-01-17,9.11
2022-01-18,9.031
2022-01-19,8.834
2022-01-20,9.203
2022-01-21,8.855
2022-01-22,8.855
2022-01-23,8.855
2022-01-24,8.855
2022-01-25,8.83
2022-01-26,8.688
2022-01-27,7.515
2022-01-28,7.526
2022-01-29,7.526
2022-01-30,7.526
2022-01-31,8.083
2022-02-01,8.215
2022-02-02,8.138
2022-02-03,7.967
2022-02-04,8.0
2022-02-05,8.0
2022-02-06,8.0
2022-02-07,8.287
2022-02-08,8.641
2022-02-09,8.762
2022-02-10,8.773
2022-02-11,8.387
2022-02-12,8.387
2022-02-13,8.387
2022-02-14,7.89
2022-02-15,8.371
2022-02-16,8.454
2022-02-17,8.24
2022-02-18,8.094
2022-02-19,8.094
2022-02-20,8.094
2022-02-21,8.094
2022-02-22,7.99
2022-02-23,7.781
2022-02-24,7.906
2022-02-25,8.104
2022-02-26,8.104
2022-02-27,8.104
2022-02-28,7.974
2022-03-01,7.514
2022-03-02,7.551
2022-03-03,7.693
2022-03-04,7.38
2022-03-05,7.38
2022-03-06,7.38
2022-03-07,6.411
2022-03-08,6.676
2022-03-09,7.106
2022-03-10,7.117
2022-03-11,7.034
2022-03-12,7.034
2022-03-13,7.034
2022-03-14,7.123
2022-03-15,7.637
2022-03-16,8.14
2022-03-17,7.86
2022-03-18,7.528
2022-03-19,7.528
2022-03-20,7.528
2022-03-21,7.143
2022-03-22,7.275
2022-03-23,7.194
2022-03-24,7.315
2022-03-25,7.376
2022-03-26,7.376
2022-03-27,7.376
2022-03-28,7.421
2022-03-29,7.614
2022-03-30,7.513
2022-03-31,7.573
2022-04-01,7.497
2022-04-02,7.497
2022-04-03,7.497
2022-04-04,6.902
2022-04-05,6.413
2022-04-06,6.118
2022-04-07,5.941
2022-04-08,5.848
2022-04-09,5.848
2022-04-10,5.848
2022-04-11,5.823
2022-04-12,6.022
2022-04-13,6.284
2022-04-14,6.324
2022-04-15,6.324
2022-04-16,6.324
2022-04-17,6.324
2022-04-18,6.264
2022-04-19,6.447
2022-04-20,6.457
2022-04-21,6.695
2022-04-22,6.857
2022-04-23,6.857
2022-04-24,6.857
2022-04-25,6.958
2022-04-26,6.305
2022-04-27,6.334
2022-04-28,6.476
2022-04-29,6.069
2022-04-30,6.069
2022-05-01,6.069
2022-05-02,6.229
2022-05-03,6.268
2022-05-04,6.318
2022-05-05,6.042
2022-05-06,5.854
2022-05-07,5.854
2022-05-08,5.854
2022-05-09,5.447
2022-05-10,5.535
2022-05-11,5.292
2022-05-12,5.281
2022-05-13,5.546
2022-05-14,5.546
2022-05-15,5.546
2022-05-16,5.209
2022-05-17,5.634
2022-05-18,5.469
2022-05-19,5.676
2022-05-20,5.642
2022-05-21,5.642
2022-05-22,5.642
2022-05-23,5.664
2022-05-24,5.443
2022-05-25,5.681
2022-05-26,5.875
2022-05-27,6.002
2022-05-28,6.002
2022-05-29,6.002
2022-05-30,6.002
2022-05-31,5.947
2022-06-01,5.67
2022-06-02,5.831
2022-06-03,5.797
2022-06-04,5.797
2022-06-05,5.797
2022-06-06,5.919
2022-06-07,5.914
2022-06-08,5.664
2022-06-09,5.502
2022-06-10,5.318
2022-06-11,5.318
2022-06-12,5.318
2022-06-13,4.71
2022-06-14,4.732
2022-06-15,4.81
2022-06-16,4.79
2022-06-17,5.044
2022-06-18,5.044
2022-06-19,5.044
2022-06-20,5.044
2022-06-21,4.962
2022-06-22,4.914
2022-06-23,4.814
2022-06-24,5.092
2022-06-25,5.092
2022-06-26,5.092
2022-06-27,4.603
2022-06-28,4.587
2022-06-29,4.708
2022-06-30,4.398
2022-07-01,4.482
2022-07-02,4.482
2022-07-03,4.482
2022-07-04,4.482
2022-07-05,4.503
2022-07-06,4.367
2022-07-07,4.375
2022-07-08,4.276
2022-07-09,4.276
2022-07-10,4.276
2022-07-11,4.188
2022-07-12,4.313
2022-07-13,4.229
2022-07-14,3.941
2022-07-15,4.036
2022-07-16,4.036
2022-07-17,4.036
2022-07-18,4.096
2022-07-19,4.325
2022-07-20,4.42
2022-07-21,4.29
2022-07-22,4.17
2022-07-23,4.17
2022-07-24,4.17
2022-07-25,4.205
2022-07-26,4.041
2022-07-27,4.185
2022-07-28,4.632
2022-07-29,4.66
2022-07-30,4.66
2022-07-31,4.66
2022-08-01,4.754
2022-08-02,4.861
2022-08-03,5.193
2022-08-04,5.248
2022-08-05,5.248
2022-08-06,5.248
2022-08-07,5.248
2022-08-08,5.218
2022-08-09,5.121
2022-08-10,5.339
2022-08-11,5.405
2022-08-12,5.519
2022-08-13,5.519
2022-08-14,5.519
2022-08-15,5.928
2022-08-16,5.586
2022-08-17,5.315
2022-08-18,5.37
2022-08-19,5.173
2022-08-20,5.173
2022-08-21,5.173
2022-08-22,4.975
2022-08-23,5.0
2022-08-24,5.037
2022-08-25,5.173
2022-08-26,4.957
2022-08-27,4.957
2022-08-28,4.957
2022-08-29,4.907
2022-08-30,4.951
2022-08-31,4.809
2022-09-01,4.753
2022-09-02,4.71
2022-09-03,4.71
2022-09-04,4.71
2022-09-05,4.71
2022-09-06,4.735
2022-09-07,4.988
2022-09-08,4.975
2022-09-09,5.105
2022-09-10,5.105
2022-09-11,5.105
2022-09-12,5.179
2022-09-13,4.926
2022-09-14,4.926
2022-09-15,4.988
2022-09-16,5.262
2022-09-17,5.262
2022-09-18,5.262
2022-09-19,5.422
2022-09-20,5.262
2022-09-21,5.076
2022-09-22,4.752
2022-09-23,4.625
2022-09-24,4.625
2022-09-25,4.625
2022-09-26,4.736
2022-09-27,4.843
2022-09-28,4.921
2022-09-29,4.75
2022-09-30,4.736
2022-10-01,4.736
2022-10-02,4.736
2022-10-03,4.743
2022-10-04,5.136
2022-10-05,5.107
2022-10-06,4.964
2022-10-07,4.721
2022-10-08,4.721
2022-10-09,4.721
2022-10-10,4.643
2022-10-11,4.557
2022-10-12,4.602
2022-10-13,4.744
2022-10-14,4.744
2022-10-15,4.744
2022-10-16,4.744
2022-10-17,4.872
2022-10-18,4.964
2022-10-19,4.872
2022-10-20,4.986
2022-10-21,5.092
2022-10-22,5.092
2022-10-23,5.092
2022-10-24,5.363
2022-10-25,5.206
2022-10-26,5.306
2022-10-27,5.42
2022-10-28,5.519
2022-10-29,5.519
2022-10-30,5.519
2022-10-31,5.718
2022-11-01,5.704
2022-11-02,5.498
2022-11-03,5.51
2022-11-04,5.843
2022-11-05,5.843
2022-11-06,5.843
2022-11-07,5.912
2022-11-08,5.928
2022-11-09,5.359
2022-11-10,5.886
2022-11-11,5.937
2022-11-12,5.937
2022-11-13,5.937
2022-11-14,5.857
2022-11-15,6.04
2022-11-16,5.798
2022-11-17,5.783
2022-11-18,5.754
2022-11-19,5.754
2022-11-20,5.754
2022-11-21,5.666
2022-11-22,5.71
2022-11-23,5.805
2022-11-24,5.805
2022-11-25,5.842
2022-11-26,5.842
2022-11-27,5.842
2022-11-28,5.615
2022-11-29,5.666
2022-11-30,5.827
2022-12-01,5.827
2022-12-02,5.813
2022-12-03,5.813
2022-12-04,5.813
2022-12-05,5.969
2022-12-06,5.961
2022-12-07,5.73
2022-12-08,5.566
2022-12-09,5.529
2022-12-10,5.529
2022-12-11,5.529
2022-12-12,5.73
2022-12-13,5.291
2022-12-14,5.216
2022-12-15,5.03
2022-12-16,5.055
2022-12-17,5.055
2022-12-18,5.055
2022-12-19,5.019
2022-12-20,5.019
2022-12-21,5.058
2022-12-22,4.896
2022-12-23,4.95
2022-12-24,4.95
2022-12-25,4.95
2022-12-26,4.95
2022-12-27,4.896
2022-12-28,4.751
2022-12-29,4.95
2022-12-30,4.973
2022-12-31,4.973
2023-01-01,4.973
2023-01-02,4.973
2023-01-03,4.988
2023-01-04,5.407
2023-01-05,5.385
2023-01-06,5.545
2023-01-07,5.545
2023-01-08,5.545
2023-01-09,5.654
2023-01-10,5.932
2023-01-11,6.233
2023-01-12,6.48
2023-01-13,6.576
2023-01-14,6.576
2023-01-15,6.576
2023-01-16,6.576
2023-01-17,6.736
2023-01-18,6.728
2023-01-19,6.784
2023-01-20,6.848
2023-01-21,6.848
2023-01-22,6.848
2023-01-23,6.903
2023-01-24,6.76
2023-01-25,6.712
2023-01-26,6.664
2023-01-27,6.883
2023-01-28,6.883
2023-01-29,6.883
2023-01-30,6.779
2023-01-31,6.908
2023-02-01,7.18
2023-02-02,8.159
2023-02-03,7.726
2023-02-04,7.726
2023-02-05,7.726
2023-02-06,7.796
2023-02-07,7.958
2023-02-08,7.406
2023-02-09,7.587
2023-02-10,7.435
2023-02-11,7.435
2023-02-12,7.435
2023-02-13,7.632
2023-02-14,7.845
2023-02-15,7.908
2023-02-16,7.782
2023-02-17,7.773
2023-02-18,7.773
2023-02-19,7.773
2023-02-20,7.773
2023-02-21,7.403
2023-02-22,7.394
2023-02-23,7.457
2023-02-24,7.349
2023-02-25,7.349
2023-02-26,7.349
2023-02-27,7.457
2023-02-28,7.124
2023-03-01,7.082
2023-03-02,7.142
2023-03-03,7.142
2023-03-04,7.142
2023-03-05,7.142
2023-03-06,7.21
2023-03-07,7.071
2023-03-08,6.984
2023-03-09,7.017
2023-03-10,6.889
2023-03-11,6.889
2023-03-12,6.889
2023-03-13,6.487
2023-03-14,6.56
2023-03-15,6.308
2023-03-16,6.472
2023-03-17,6.308
2023-03-18,6.308
2023-03-19,6.308
2023-03-20,6.208
2023-03-21,6.335
2023-03-22,6.135
2023-03-23,6.284
2023-03-24,6.351
2023-03-25,6.351
2023-03-26,6.351
2023-03-27,6.464
2023-03-28,6.559
2023-03-29,6.73
2023-03-30,6.73
2023-03-31,6.9
2023-04-01,6.9
2023-04-02,6.9
2023-04-03,6.796
2023-04-04,6.673
2023-04-05,6.54
2023-04-06,6.584
2023-04-07,6.584
2023-04-08,6.584
2023-04-09,6.584
2023-04-10,6.727
2023-04-11,6.197
2023-04-12,5.966
2023-04-13,5.966
2023-04-14,5.828
2023-04-15,5.828
2023-04-16,5.828
2023-04-17,5.837
2023-04-18,5.923
2023-04-19,6.009
2023-04-20,5.82
2023-04-21,5.94
2023-04-22,5.94
2023-04-23,5.94
2023-04-24,5.854
2023-04-25,5.891
2023-04-26,5.977
2023-04-27,6.394
2023-04-28,6.409
2023-04-29,6.409
2023-04-30,6.409
2023-05-01,6.329
2023-05-02,6.373
2023-05-03,6.346
2023-05-04,6.104
2023-05-05,6.302
2023-05-06,6.302
2023-05-07,6.302
2023-05-08,6.346
2023-05-09,6.379
2023-05-10,6.315
2023-05-11,6.233
2023-05-12,6.133
2023-05-13,6.133
2023-05-14,6.133
2023-05-15,6.306
2023-05-16,6.197
2023-05-17,6.57
2023-05-18,6.588
2023-05-19,6.469
2023-05-20,6.469
2023-05-21,6.469
2023-05-22,6.292
2023-05-23,6.238
2023-05-24,6.129
2023-05-25,6.192
2023-05-26,6.192
2023-05-27,6.192
2023-05-28,6.192
2023-05-29,6.192
2023-05-30,6.174
2023-05-31,6.192
2023-06-01,6.192
2023-06-02,6.51
2023-06-03,6.51
2023-06-04,6.51
2023-06-05,6.328
2023-06-06,6.709
2023-06-07,6.727
2023-06-08,6.727
2023-06-09,6.772
2023-06-10,6.772
2023-06-11,6.772
2023-06-12,6.999
2023-06-13,7.108
2023-06-14,7.28
2023-06-15,7.253
2023-06-16,7.307
2023-06-17,7.307
2023-06-18,7.307
2023-06-19,7.307
2023-06-20,7.353
2023-06-21,7.38
2023-06-22,7.714
2023-06-23,7.562
2023-06-24,7.562
2023-06-25,7.562
2023-06-26,7.602
2023-06-27,8.272
2023-06-28,8.244
2023-06-29,8.272
2023-06-30,8.366
2023-07-01,8.366
2023-07-02,8.366
2023-07-03,8.499
2023-07-04,8.499
2023-07-05,8.81
2023-07-06,8.178
2023-07-07,8.432
2023-07-08,8.432
2023-07-09,8.432
2023-07-10,8.847
2023-07-11,8.585
2023-07-12,8.395
2023-07-13,7.949
2023-07-14,7.645
2023-07-15,7.645
2023-07-16,7.645
2023-07-17,7.559
2023-07-18,7.78
2023-07-19,8.069
2023-07-20,7.752
2023-07-21,7.724
2023-07-22,7.724
2023-07-23,7.724
2023-07-24,7.789
2023-07-25,7.351
2023-07-26,7.276
2023-07-27,7.183
2023-07-28,7.323
2023-07-29,7.323
2023-07-30,7.323
2023-07-31,7.248
2023-08-01,9.437
2023-08-02,9.439
2023-08-03,9.5
2023-08-04,9.214
2023-08-05,9.214
2023-08-06,9.214
2023-08-07,8.338
2023-08-08,8.454
2023-08-09,8.351
2023-08-10,8.415
2023-08-11,8.376
2023-08-12,8.376
2023-08-13,8.376
2023-08-14,8.815
2023-08-15,8.602
2023-08-16,9.482
2023-08-17,9.556
2023-08-18,9.393
2023-08-19,9.393
2023-08-20,9.393
2023-08-21,9.334
2023-08-22,9.172
2023-08-23,9.305
2023-08-24,9.083
2023-08-25,9.031
2023-08-26,9.031
2023-08-27,9.031
2023-08-28,10.502
2023-08-29,10.536
2023-08-30,10.346
2023-08-31,10.242
2023-09-01,10.26
2023-09-02,10.26
2023-09-03,10.26
2023-09-04,10.26
2023-09-05,10.651
2023-09-06,9.507
2023-09-07,9.167
2023-09-08,8.81
2023-09-09,8.81
2023-09-10,8.81
2023-09-11,8.776
2023-09-12,8.707
2023-09-13,8.367
2023-09-14,8.724
2023-09-15,8.452
2023-09-16,8.452
