,PPBI US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,11.799
2020-07-29,12.169
2020-07-30,12.135
2020-07-31,11.964
2020-08-01,11.964
2020-08-02,11.964
2020-08-03,11.975
2020-08-04,11.782
2020-08-05,12.374
2020-08-06,12.345
2020-08-07,12.979
2020-08-08,12.979
2020-08-09,12.979
2020-08-10,13.29
2020-08-11,13.515
2020-08-12,13.457
2020-08-13,13.192
2020-08-14,13.278
2020-08-15,13.278
2020-08-16,13.278
2020-08-17,13.094
2020-08-18,12.581
2020-08-19,12.645
2020-08-20,12.288
2020-08-21,12.305
2020-08-22,12.305
2020-08-23,12.305
2020-08-24,13.054
2020-08-25,13.132
2020-08-26,12.749
2020-08-27,12.99
2020-08-28,13.002
2020-08-29,13.002
2020-08-30,13.002
2020-08-31,13.014
2020-09-01,12.795
2020-09-02,12.875
2020-09-03,12.916
2020-09-04,13.181
2020-09-05,13.181
2020-09-06,13.181
2020-09-07,13.181
2020-09-08,12.276
2020-09-09,12.109
2020-09-10,11.89
2020-09-11,12.391
2020-09-12,12.391
2020-09-13,12.391
2020-09-14,12.789
2020-09-15,12.662
2020-09-16,12.852
2020-09-17,12.852
2020-09-18,12.409
2020-09-19,12.409
2020-09-20,12.409
2020-09-21,11.504
2020-09-22,11.136
2020-09-23,10.761
2020-09-24,11.009
2020-09-25,11.216
2020-09-26,11.216
2020-09-27,11.216
2020-09-28,11.7
2020-09-29,11.66
2020-09-30,11.602
2020-10-01,11.942
2020-10-02,12.42
2020-10-03,12.42
2020-10-04,12.42
2020-10-05,13.048
2020-10-06,13.083
2020-10-07,13.567
2020-10-08,13.826
2020-10-09,13.883
2020-10-10,13.883
2020-10-11,13.883
2020-10-12,14.125
2020-10-13,13.878
2020-10-14,13.549
2020-10-15,13.837
2020-10-16,13.97
2020-10-17,13.97
2020-10-18,13.97
2020-10-19,13.832
2020-10-20,14.171
2020-10-21,14.223
2020-10-22,15.148
2020-10-23,15.335
2020-10-24,15.335
2020-10-25,15.335
2020-10-26,15.18
2020-10-27,14.477
2020-10-28,14.425
