,UPBD US Equity
2020-11-13,5.666
2020-11-14,5.666
2020-11-15,5.666
2020-11-16,5.957
2020-11-17,5.848
2020-11-18,5.886
2020-11-19,5.881
2020-11-20,5.826
2020-11-21,5.826
2020-11-22,5.826
2020-11-23,6.071
2020-11-24,6.247
2020-11-25,6.121
2020-11-26,6.121
2020-11-27,6.099
2020-11-28,6.099
2020-11-29,6.099
2020-11-30,5.804
2020-12-01,5.939
2020-12-02,5.914
2020-12-03,6.003
2020-12-04,6.116
2020-12-05,6.116
2020-12-06,6.116
2020-12-07,6.145
2020-12-08,5.908
2020-12-09,5.989
2020-12-10,5.996
2020-12-11,5.859
2020-12-12,5.859
2020-12-13,5.859
2020-12-14,5.874
2020-12-15,5.975
2020-12-16,6.035
2020-12-17,6.131
2020-12-18,6.099
2020-12-19,6.099
2020-12-20,6.099
2020-12-21,6.796
2020-12-22,6.874
2020-12-23,6.641
2020-12-24,6.609
2020-12-25,6.609
2020-12-26,6.609
2020-12-27,6.609
2020-12-28,6.61
2020-12-29,6.569
2020-12-30,6.647
2020-12-31,6.631
2021-01-01,6.631
2021-01-02,6.631
2021-01-03,6.631
2021-01-04,6.605
2021-01-05,6.875
2021-01-06,7.53
2021-01-07,7.525
2021-01-08,7.374
2021-01-09,7.374
2021-01-10,7.374
2021-01-11,7.403
2021-01-12,7.739
2021-01-13,7.907
2021-01-14,8.458
2021-01-15,8.202
2021-01-16,8.202
2021-01-17,8.202
2021-01-18,8.202
2021-01-19,8.112
2021-01-20,8.259
2021-01-21,8.179
2021-01-22,8.297
2021-01-23,8.297
2021-01-24,8.297
2021-01-25,8.046
2021-01-26,8.068
2021-01-27,7.623
2021-01-28,7.481
2021-01-29,7.499
2021-01-30,7.499
2021-01-31,7.499
2021-02-01,7.741
2021-02-02,7.992
2021-02-03,7.937
2021-02-04,8.269
2021-02-05,8.591
2021-02-06,8.591
2021-02-07,8.591
2021-02-08,9.123
2021-02-09,9.159
2021-02-10,9.057
2021-02-11,9.159
2021-02-12,9.248
2021-02-13,9.248
2021-02-14,9.248
2021-02-15,9.248
2021-02-16,8.988
2021-02-17,8.856
2021-02-18,8.886
2021-02-19,9.078
2021-02-20,9.078
2021-02-21,9.078
2021-02-22,9.438
2021-02-23,9.381
2021-02-24,9.437
2021-02-25,9.489
2021-02-26,6.302
2021-02-27,6.302
2021-02-28,6.302
2021-03-01,6.5
2021-03-02,6.422
2021-03-03,6.314
2021-03-04,5.851
2021-03-05,5.983
2021-03-06,5.983
2021-03-07,5.983
2021-03-08,6.429
2021-03-09,6.494
2021-03-10,6.669
2021-03-11,6.762
2021-03-12,6.974
2021-03-13,6.974
2021-03-14,6.974
2021-03-15,7.01
2021-03-16,6.829
2021-03-17,6.695
2021-03-18,6.529
2021-03-19,6.653
2021-03-20,6.653
2021-03-21,6.653
2021-03-22,6.482
2021-03-23,6.22
2021-03-24,6.069
2021-03-25,6.31
2021-03-26,6.459
2021-03-27,6.459
2021-03-28,6.459
2021-03-29,6.169
2021-03-30,6.341
2021-03-31,6.291
2021-04-01,6.435
2021-04-02,6.435
2021-04-03,6.435
2021-04-04,6.435
2021-04-05,6.354
2021-04-06,6.441
2021-04-07,6.328
2021-04-08,6.34
2021-04-09,6.376
2021-04-10,6.376
2021-04-11,6.376
2021-04-12,6.347
2021-04-13,6.253
2021-04-14,6.321
2021-04-15,6.243
2021-04-16,6.24
2021-04-17,6.24
2021-04-18,6.24
2021-04-19,6.16
2021-04-20,5.892
2021-04-21,6.018
2021-04-22,5.965
2021-04-23,6.17
2021-04-24,6.17
2021-04-25,6.17
2021-04-26,6.253
2021-04-27,6.581
2021-04-28,6.472
2021-04-29,6.585
2021-04-30,6.313
2021-05-01,6.313
2021-05-02,6.313
2021-05-03,6.61
2021-05-04,6.605
2021-05-05,6.621
2021-05-06,5.689
2021-05-07,5.803
2021-05-08,5.803
2021-05-09,5.803
2021-05-10,5.806
2021-05-11,5.768
2021-05-12,5.461
2021-05-13,5.382
2021-05-14,5.63
2021-05-15,5.63
2021-05-16,5.63
2021-05-17,5.526
2021-05-18,5.557
2021-05-19,5.466
2021-05-20,5.634
2021-05-21,5.634
2021-05-22,5.634
2021-05-23,5.634
2021-05-24,5.716
2021-05-25,5.674
2021-05-26,5.929
2021-05-27,6.091
2021-05-28,6.04
2021-05-29,6.04
2021-05-30,6.04
2021-05-31,6.04
2021-06-01,6.203
2021-06-02,5.97
2021-06-03,5.897
2021-06-04,5.873
2021-06-05,5.873
2021-06-06,5.873
2021-06-07,6.173
2021-06-08,6.401
2021-06-09,6.191
2021-06-10,6.024
2021-06-11,6.214
2021-06-12,6.214
2021-06-13,6.214
2021-06-14,6.079
2021-06-15,6.059
2021-06-16,5.93
2021-06-17,5.582
2021-06-18,5.296
2021-06-19,5.296
2021-06-20,5.296
2021-06-21,5.389
2021-06-22,5.115
2021-06-23,5.138
2021-06-24,5.204
2021-06-25,5.131
2021-06-26,5.131
2021-06-27,5.131
2021-06-28,5.283
2021-06-29,5.21
2021-06-30,5.216
2021-07-01,5.332
2021-07-02,5.291
2021-07-03,5.291
2021-07-04,5.291
2021-07-05,5.291
2021-07-06,5.143
2021-07-07,5.122
2021-07-08,5.043
2021-07-09,5.229
2021-07-10,5.229
2021-07-11,5.229
2021-07-12,5.235
2021-07-13,5.113
2021-07-14,5.081
2021-07-15,5.108
2021-07-16,5.08
2021-07-17,5.08
2021-07-18,5.08
2021-07-19,5.025
2021-07-20,5.255
2021-07-21,5.39
2021-07-22,5.35
2021-07-23,5.474
2021-07-24,5.474
2021-07-25,5.474
2021-07-26,5.505
2021-07-27,5.513
2021-07-28,5.523
2021-07-29,5.672
2021-07-30,5.624
2021-07-31,5.624
2021-08-01,5.624
2021-08-02,5.647
2021-08-03,5.81
2021-08-04,5.594
2021-08-05,5.61
2021-08-06,5.718
2021-08-07,5.718
2021-08-08,5.718
2021-08-09,5.373
2021-08-10,5.479
2021-08-11,5.572
2021-08-12,5.97
2021-08-13,5.852
2021-08-14,5.852
2021-08-15,5.852
2021-08-16,5.86
2021-08-17,5.555
2021-08-18,5.565
2021-08-19,5.634
2021-08-20,5.803
2021-08-21,5.803
2021-08-22,5.803
2021-08-23,5.838
2021-08-24,5.974
2021-08-25,5.946
2021-08-26,5.872
2021-08-27,5.996
2021-08-28,5.996
2021-08-29,5.996
2021-08-30,5.991
2021-08-31,5.802
2021-09-01,5.841
2021-09-02,5.896
2021-09-03,5.912
2021-09-04,5.912
2021-09-05,5.912
2021-09-06,5.912
2021-09-07,5.736
2021-09-08,5.648
2021-09-09,5.701
2021-09-10,5.512
2021-09-11,5.512
2021-09-12,5.512
2021-09-13,5.571
2021-09-14,5.481
2021-09-15,5.572
2021-09-16,5.662
2021-09-17,5.7
2021-09-18,5.7
2021-09-19,5.7
2021-09-20,5.564
2021-09-21,5.585
2021-09-22,5.682
2021-09-23,5.759
2021-09-24,5.514
2021-09-25,5.514
2021-09-26,5.514
2021-09-27,5.642
2021-09-28,5.44
2021-09-29,5.379
2021-09-30,5.197
2021-10-01,5.226
2021-10-02,5.226
2021-10-03,5.226
2021-10-04,5.246
2021-10-05,5.088
2021-10-06,5.06
2021-10-07,5.174
2021-10-08,5.039
2021-10-09,5.039
2021-10-10,5.039
2021-10-11,4.965
2021-10-12,4.932
2021-10-13,4.839
2021-10-14,4.979
2021-10-15,4.893
2021-10-16,4.893
2021-10-17,4.893
2021-10-18,5.027
2021-10-19,5.042
2021-10-20,5.15
2021-10-21,5.258
2021-10-22,5.317
2021-10-23,5.317
2021-10-24,5.317
2021-10-25,5.398
2021-10-26,5.016
2021-10-27,4.838
2021-10-28,4.96
2021-10-29,4.929
2021-10-30,4.929
2021-10-31,4.929
2021-11-01,5.046
2021-11-02,4.912
2021-11-03,5.116
2021-11-04,4.206
2021-11-05,4.052
2021-11-06,4.052
2021-11-07,4.052
2021-11-08,4.125
2021-11-09,4.147
2021-11-10,4.3
2021-11-11,4.305
2021-11-12,4.357
2021-11-13,4.357
2021-11-14,4.357
2021-11-15,4.334
2021-11-16,4.371
2021-11-17,4.304
2021-11-18,4.288
2021-11-19,4.239
2021-11-20,4.239
2021-11-21,4.239
2021-11-22,4.4
2021-11-23,4.336
2021-11-24,4.372
2021-11-25,4.372
2021-11-26,4.429
2021-11-27,4.429
2021-11-28,4.429
2021-11-29,4.377
2021-11-30,4.118
2021-12-01,4.045
2021-12-02,4.175
2021-12-03,4.247
2021-12-04,4.247
2021-12-05,4.247
2021-12-06,4.401
2021-12-07,4.592
2021-12-08,4.741
2021-12-09,4.729
2021-12-10,4.668
2021-12-11,4.668
2021-12-12,4.668
2021-12-13,4.64
2021-12-14,4.7
2021-12-15,4.487
2021-12-16,4.386
2021-12-17,4.428
2021-12-18,4.428
2021-12-19,4.428
2021-12-20,4.37
2021-12-21,4.623
2021-12-22,4.627
2021-12-23,4.519
2021-12-24,4.519
2021-12-25,4.519
2021-12-26,4.519
2021-12-27,4.618
2021-12-28,4.593
2021-12-29,4.633
2021-12-30,4.591
2021-12-31,4.509
2022-01-01,4.509
2022-01-02,4.509
2022-01-03,4.601
2022-01-04,4.639
2022-01-05,4.42
2022-01-06,4.451
2022-01-07,4.38
2022-01-08,4.38
2022-01-09,4.38
2022-01-10,4.271
2022-01-11,4.193
2022-01-12,4.371
2022-01-13,4.304
2022-01-14,4.248
2022-01-15,4.248
2022-01-16,4.248
2022-01-17,4.248
2022-01-18,4.112
2022-01-19,4.115
2022-01-20,3.971
2022-01-21,3.864
2022-01-22,3.864
2022-01-23,3.864
2022-01-24,4.233
2022-01-25,4.229
2022-01-26,4.045
2022-01-27,3.922
2022-01-28,4.064
2022-01-29,4.064
2022-01-30,4.064
2022-01-31,3.957
2022-02-01,4.034
2022-02-02,3.756
2022-02-03,3.67
2022-02-04,3.619
2022-02-05,3.619
2022-02-06,3.619
2022-02-07,3.707
2022-02-08,3.822
2022-02-09,3.893
2022-02-10,3.745
2022-02-11,3.655
2022-02-12,3.655
2022-02-13,3.655
2022-02-14,3.784
2022-02-15,3.927
2022-02-16,3.891
2022-02-17,3.806
2022-02-18,3.712
2022-02-19,3.712
2022-02-20,3.712
2022-02-21,3.712
2022-02-22,3.54
2022-02-23,3.263
2022-02-24,3.685
2022-02-25,3.729
2022-02-26,3.729
2022-02-27,3.729
2022-02-28,3.604
2022-03-01,3.435
2022-03-02,3.533
2022-03-03,3.68
2022-03-04,3.523
2022-03-05,3.523
2022-03-06,3.523
2022-03-07,3.41
2022-03-08,3.622
2022-03-09,3.529
2022-03-10,3.399
2022-03-11,3.288
2022-03-12,3.288
2022-03-13,3.288
2022-03-14,3.253
2022-03-15,3.383
2022-03-16,3.449
2022-03-17,3.456
2022-03-18,3.508
2022-03-19,3.508
2022-03-20,3.508
2022-03-21,3.347
2022-03-22,3.439
2022-03-23,3.3
2022-03-24,3.288
2022-03-25,3.229
2022-03-26,3.229
2022-03-27,3.229
2022-03-28,3.262
2022-03-29,3.423
2022-03-30,3.362
2022-03-31,3.196
2022-04-01,3.114
2022-04-02,3.114
2022-04-03,3.114
2022-04-04,3.125
2022-04-05,3.072
2022-04-06,3.125
2022-04-07,3.067
2022-04-08,3.154
2022-04-09,3.154
2022-04-10,3.154
2022-04-11,3.238
2022-04-12,3.183
2022-04-13,3.251
2022-04-14,3.215
2022-04-15,3.215
2022-04-16,3.215
2022-04-17,3.215
2022-04-18,3.178
2022-04-19,3.36
2022-04-20,3.304
2022-04-21,3.282
2022-04-22,3.156
2022-04-23,3.156
2022-04-24,3.156
2022-04-25,3.163
2022-04-26,3.068
2022-04-27,3.026
2022-04-28,3.184
2022-04-29,3.103
2022-04-30,3.103
2022-05-01,3.103
2022-05-02,3.287
2022-05-03,3.328
2022-05-04,3.369
2022-05-05,3.566
2022-05-06,3.94
2022-05-07,3.94
2022-05-08,3.94
2022-05-09,4.203
2022-05-10,3.977
2022-05-11,3.835
2022-05-12,4.013
2022-05-13,4.202
2022-05-14,4.202
2022-05-15,4.202
2022-05-16,4.282
2022-05-17,4.305
2022-05-18,3.917
2022-05-19,3.819
2022-05-20,3.722
2022-05-21,3.722
2022-05-22,3.722
2022-05-23,3.627
2022-05-24,3.552
2022-05-25,4.111
2022-05-26,4.127
2022-05-27,4.1
2022-05-28,4.1
2022-05-29,4.1
2022-05-30,4.1
2022-05-31,4.102
2022-06-01,3.925
2022-06-02,3.938
2022-06-03,3.77
2022-06-04,3.77
2022-06-05,3.77
2022-06-06,3.917
2022-06-07,3.88
2022-06-08,4.016
2022-06-09,3.959
2022-06-10,3.809
2022-06-11,3.809
2022-06-12,3.809
2022-06-13,3.657
2022-06-14,3.499
2022-06-15,3.496
2022-06-16,3.046
2022-06-17,3.067
2022-06-18,3.067
2022-06-19,3.067
2022-06-20,3.067
2022-06-21,3.076
2022-06-22,3.122
2022-06-23,3.226
2022-06-24,3.482
2022-06-25,3.482
2022-06-26,3.482
2022-06-27,3.376
2022-06-28,3.281
2022-06-29,2.972
2022-06-30,2.946
2022-07-01,2.991
2022-07-02,2.991
2022-07-03,2.991
2022-07-04,2.991
2022-07-05,3.104
2022-07-06,2.967
2022-07-07,3.197
2022-07-08,3.122
2022-07-09,3.122
2022-07-10,3.122
2022-07-11,3.084
2022-07-12,3.125
2022-07-13,3.132
2022-07-14,2.985
2022-07-15,3.226
2022-07-16,3.226
2022-07-17,3.226
2022-07-18,3.317
2022-07-19,3.402
2022-07-20,3.553
2022-07-21,3.567
2022-07-22,3.573
2022-07-23,3.573
2022-07-24,3.573
2022-07-25,3.562
2022-07-26,3.452
2022-07-27,3.651
2022-07-28,3.801
2022-07-29,3.852
2022-07-30,3.852
2022-07-31,3.852
2022-08-01,3.932
2022-08-02,3.932
2022-08-03,4.163
2022-08-04,4.718
2022-08-05,4.741
2022-08-06,4.741
2022-08-07,4.741
2022-08-08,4.914
2022-08-09,4.801
2022-08-10,4.931
2022-08-11,4.999
2022-08-12,5.124
2022-08-13,5.124
2022-08-14,5.124
2022-08-15,5.001
2022-08-16,5.204
2022-08-17,5.076
2022-08-18,5.021
2022-08-19,4.832
2022-08-20,4.832
2022-08-21,4.832
2022-08-22,4.707
2022-08-23,4.794
2022-08-24,4.674
2022-08-25,4.804
2022-08-26,4.509
2022-08-27,4.509
2022-08-28,4.509
2022-08-29,4.539
2022-08-30,4.426
2022-08-31,4.307
2022-09-01,4.289
2022-09-02,4.221
2022-09-03,4.221
2022-09-04,4.221
2022-09-05,4.221
2022-09-06,4.211
2022-09-07,4.296
2022-09-08,4.327
2022-09-09,4.401
2022-09-10,4.401
2022-09-11,4.401
2022-09-12,4.489
2022-09-13,4.301
2022-09-14,4.316
2022-09-15,4.352
2022-09-16,4.026
2022-09-17,4.026
2022-09-18,4.026
2022-09-19,4.136
2022-09-20,4.026
2022-09-21,3.971
2022-09-22,3.876
2022-09-23,3.807
2022-09-24,3.807
2022-09-25,3.807
2022-09-26,3.689
2022-09-27,3.751
2022-09-28,3.911
2022-09-29,3.722
2022-09-30,3.066
2022-10-01,3.066
2022-10-02,3.066
2022-10-03,3.41
2022-10-04,3.765
2022-10-05,3.789
2022-10-06,3.814
2022-10-07,3.599
2022-10-08,3.599
2022-10-09,3.599
2022-10-10,3.587
2022-10-11,3.576
2022-10-12,3.691
2022-10-13,3.744
2022-10-14,3.554
2022-10-15,3.554
2022-10-16,3.554
2022-10-17,3.559
2022-10-18,3.425
2022-10-19,3.28
2022-10-20,3.259
2022-10-21,3.35
2022-10-22,3.35
2022-10-23,3.35
2022-10-24,3.437
2022-10-25,3.753
2022-10-26,3.746
2022-10-27,3.806
2022-10-28,3.891
2022-10-29,3.891
2022-10-30,3.891
2022-10-31,3.933
2022-11-01,3.942
2022-11-02,3.716
2022-11-03,4.195
2022-11-04,4.188
2022-11-05,4.188
2022-11-06,4.188
2022-11-07,4.188
2022-11-08,4.203
2022-11-09,4.034
2022-11-10,4.513
2022-11-11,4.519
2022-11-12,4.519
2022-11-13,4.519
2022-11-14,4.369
2022-11-15,4.391
2022-11-16,4.29
2022-11-17,4.284
2022-11-18,4.32
2022-11-19,4.32
2022-11-20,4.32
2022-11-21,4.219
2022-11-22,4.379
2022-11-23,4.418
2022-11-24,4.418
2022-11-25,4.409
2022-11-26,4.409
2022-11-27,4.409
2022-11-28,4.462
2022-11-29,4.572
2022-11-30,4.754
2022-12-01,4.638
2022-12-02,4.661
2022-12-03,4.661
2022-12-04,4.661
2022-12-05,4.567
2022-12-06,4.659
2022-12-07,4.647
2022-12-08,4.671
2022-12-09,4.669
2022-12-10,4.669
2022-12-11,4.669
2022-12-12,4.976
2022-12-13,4.742
2022-12-14,4.758
2022-12-15,4.665
2022-12-16,4.547
2022-12-17,4.547
2022-12-18,4.547
2022-12-19,4.427
2022-12-20,4.387
2022-12-21,4.601
2022-12-22,4.545
2022-12-23,4.527
2022-12-24,4.527
2022-12-25,4.527
2022-12-26,4.527
2022-12-27,4.511
2022-12-28,4.417
2022-12-29,4.501
2022-12-30,4.509
2022-12-31,4.509
2023-01-01,4.509
2023-01-02,4.509
2023-01-03,4.757
2023-01-04,5.021
2023-01-05,5.099
2023-01-06,5.236
2023-01-07,5.236
2023-01-08,5.236
2023-01-09,5.206
2023-01-10,5.396
2023-01-11,5.536
2023-01-12,5.472
2023-01-13,5.481
2023-01-14,5.481
2023-01-15,5.481
2023-01-16,5.481
2023-01-17,5.405
2023-01-18,5.363
2023-01-19,5.138
2023-01-20,5.398
2023-01-21,5.398
2023-01-22,5.398
2023-01-23,5.625
2023-01-24,5.575
2023-01-25,5.555
2023-01-26,5.604
2023-01-27,5.744
2023-01-28,5.744
2023-01-29,5.744
2023-01-30,5.698
2023-01-31,5.881
2023-02-01,6.052
2023-02-02,6.559
2023-02-03,6.498
2023-02-04,6.498
2023-02-05,6.498
2023-02-06,6.378
2023-02-07,6.391
2023-02-08,6.255
2023-02-09,6.006
2023-02-10,5.929
2023-02-11,5.929
2023-02-12,5.929
2023-02-13,6.013
2023-02-14,5.995
2023-02-15,6.238
2023-02-16,6.185
2023-02-17,6.173
2023-02-18,6.173
2023-02-19,6.173
2023-02-20,6.173
2023-02-21,5.793
2023-02-22,5.979
2023-02-23,7.531
2023-02-24,7.52
2023-02-25,7.52
2023-02-26,7.52
2023-02-27,7.587
2023-02-28,7.528
2023-03-01,7.562
2023-03-02,7.528
2023-03-03,7.727
2023-03-04,7.727
2023-03-05,7.727
2023-03-06,7.542
2023-03-07,7.565
2023-03-08,7.598
2023-03-09,7.439
2023-03-10,7.24
2023-03-11,7.24
2023-03-12,7.24
2023-03-13,6.965
2023-03-14,6.92
2023-03-15,6.883
2023-03-16,6.923
2023-03-17,6.46
2023-03-18,6.46
2023-03-19,6.46
2023-03-20,6.32
2023-03-21,6.606
2023-03-22,6.404
2023-03-23,6.424
2023-03-24,6.572
2023-03-25,6.572
2023-03-26,6.572
2023-03-27,6.522
2023-03-28,6.519
2023-03-29,6.572
2023-03-30,6.536
2023-03-31,6.872
2023-04-01,6.872
2023-04-02,6.872
2023-04-03,6.763
2023-04-04,6.712
2023-04-05,6.615
2023-04-06,6.578
2023-04-07,6.578
2023-04-08,6.578
2023-04-09,6.578
2023-04-10,6.734
2023-04-11,6.84
2023-04-12,6.729
2023-04-13,6.771
2023-04-14,6.808
2023-04-15,6.808
2023-04-16,6.808
2023-04-17,6.855
2023-04-18,6.806
2023-04-19,6.718
2023-04-20,6.715
2023-04-21,6.71
2023-04-22,6.71
2023-04-23,6.71
2023-04-24,6.747
2023-04-25,7.021
2023-04-26,7.453
2023-04-27,7.641
2023-04-28,7.687
2023-04-29,7.687
2023-04-30,7.687
2023-05-01,7.756
2023-05-02,7.673
2023-05-03,7.742
2023-05-04,8.378
2023-05-05,8.789
2023-05-06,8.789
2023-05-07,8.789
2023-05-08,8.79
2023-05-09,8.785
2023-05-10,8.656
2023-05-11,8.728
2023-05-12,8.592
2023-05-13,8.592
2023-05-14,8.592
2023-05-15,8.868
2023-05-16,8.7
2023-05-17,8.868
2023-05-18,9.197
2023-05-19,8.901
2023-05-20,8.901
2023-05-21,8.901
2023-05-22,8.805
2023-05-23,8.822
2023-05-24,8.738
2023-05-25,8.578
2023-05-26,8.679
2023-05-27,8.679
2023-05-28,8.679
2023-05-29,8.679
2023-05-30,8.536
2023-05-31,8.382
2023-06-01,8.642
2023-06-02,9.236
2023-06-03,9.236
2023-06-04,9.236
2023-06-05,9.009
2023-06-06,9.377
2023-06-07,9.727
2023-06-08,9.654
2023-06-09,9.618
2023-06-10,9.618
2023-06-11,9.618
2023-06-12,9.573
2023-06-13,9.525
2023-06-14,9.318
2023-06-15,9.362
2023-06-16,9.136
2023-06-17,9.136
2023-06-18,9.136
2023-06-19,9.136
2023-06-20,9.184
2023-06-21,9.057
2023-06-22,8.844
2023-06-23,8.632
2023-06-24,8.632
2023-06-25,8.632
2023-06-26,8.615
2023-06-27,8.847
2023-06-28,8.878
2023-06-29,8.844
2023-06-30,8.813
2023-07-01,8.813
2023-07-02,8.813
2023-07-03,8.96
2023-07-04,8.96
2023-07-05,8.711
2023-07-06,8.624
2023-07-07,8.655
2023-07-08,8.655
2023-07-09,8.655
2023-07-10,8.74
2023-07-11,8.921
2023-07-12,8.935
2023-07-13,9.0
2023-07-14,9.051
2023-07-15,9.051
2023-07-16,9.051
2023-07-17,9.082
2023-07-18,9.447
2023-07-19,9.759
2023-07-20,9.617
2023-07-21,9.428
2023-07-22,9.428
2023-07-23,9.428
2023-07-24,9.547
2023-07-25,9.447
2023-07-26,9.869
2023-07-27,9.716
2023-07-28,9.739
2023-07-29,9.739
2023-07-30,9.739
2023-07-31,9.804
2023-08-01,9.832
2023-08-02,9.629
2023-08-03,8.48
2023-08-04,8.791
2023-08-05,8.791
2023-08-06,8.791
2023-08-07,8.642
2023-08-08,8.616
2023-08-09,8.532
2023-08-10,8.377
2023-08-11,8.181
2023-08-12,8.181
2023-08-13,8.181
2023-08-14,8.113
2023-08-15,8.047
2023-08-16,7.93
2023-08-17,7.597
2023-08-18,7.628
2023-08-19,7.628
2023-08-20,7.628
2023-08-21,7.618
2023-08-22,7.439
2023-08-23,7.613
2023-08-24,7.563
2023-08-25,7.727
2023-08-26,7.727
2023-08-27,7.727
2023-08-28,7.883
2023-08-29,7.935
2023-08-30,7.904
2023-08-31,7.958
2023-09-01,8.026
2023-09-02,8.026
