,HUBG US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,14.507
2020-08-15,14.507
2020-08-16,14.507
2020-08-17,14.337
2020-08-18,14.134
2020-08-19,14.233
2020-08-20,14.318
2020-08-21,14.622
2020-08-22,14.622
2020-08-23,14.622
2020-08-24,14.912
2020-08-25,14.814
2020-08-26,14.852
2020-08-27,14.846
2020-08-28,14.879
2020-08-29,14.879
2020-08-30,14.879
2020-08-31,14.748
2020-09-01,14.729
2020-09-02,14.986
2020-09-03,14.34
2020-09-04,14.164
2020-09-05,14.164
2020-09-06,14.164
2020-09-07,14.164
2020-09-08,13.978
2020-09-09,14.353
2020-09-10,14.118
2020-09-11,14.362
2020-09-12,14.362
2020-09-13,14.362
2020-09-14,14.153
2020-09-15,14.23
2020-09-16,14.173
2020-09-17,14.214
2020-09-18,13.696
2020-09-19,13.696
2020-09-20,13.696
2020-09-21,13.337
2020-09-22,12.419
2020-09-23,12.444
2020-09-24,12.679
2020-09-25,12.63
2020-09-26,12.63
2020-09-27,12.63
2020-09-28,12.89
2020-09-29,12.883
2020-09-30,12.8
2020-10-01,12.76
2020-10-02,13.056
2020-10-03,13.056
2020-10-04,13.056
2020-10-05,13.258
2020-10-06,13.467
2020-10-07,13.696
2020-10-08,13.745
2020-10-09,13.694
2020-10-10,13.694
2020-10-11,13.694
2020-10-12,13.877
2020-10-13,13.783
2020-10-14,13.936
2020-10-15,14.12
2020-10-16,13.518
2020-10-17,13.518
2020-10-18,13.518
2020-10-19,13.107
2020-10-20,13.148
2020-10-21,13.245
2020-10-22,13.367
2020-10-23,13.444
2020-10-24,13.444
2020-10-25,13.444
2020-10-26,13.306
2020-10-27,13.071
2020-10-28,12.625
2020-10-29,12.635
2020-10-30,12.949
2020-10-31,12.949
2020-11-01,12.949
2020-11-02,12.887
