,DGX US Equity
2020-12-01,13.52
2020-12-02,13.38
2020-12-03,13.212
2020-12-04,13.263
2020-12-05,13.263
2020-12-06,13.263
2020-12-07,13.221
2020-12-08,13.349
2020-12-09,13.357
2020-12-10,13.497
2020-12-11,13.13
2020-12-12,13.13
2020-12-13,13.13
2020-12-14,13.249
2020-12-15,13.393
2020-12-16,13.014
2020-12-17,12.986
2020-12-18,12.947
2020-12-19,12.947
2020-12-20,12.947
2020-12-21,12.999
2020-12-22,13.038
2020-12-23,12.998
2020-12-24,12.933
2020-12-25,12.933
2020-12-26,12.933
2020-12-27,12.933
2020-12-28,12.747
2020-12-29,12.736
2020-12-30,12.729
2020-12-31,12.819
2021-01-01,12.819
2021-01-02,12.819
2021-01-03,12.819
2021-01-04,13.029
2021-01-05,13.096
2021-01-06,13.523
2021-01-07,13.332
2021-01-08,13.228
2021-01-09,13.228
2021-01-10,13.228
2021-01-11,13.299
2021-01-12,13.578
2021-01-13,13.495
2021-01-14,13.443
2021-01-15,13.381
2021-01-16,13.381
2021-01-17,13.381
2021-01-18,13.381
2021-01-19,13.614
2021-01-20,13.762
2021-01-21,13.527
2021-01-22,13.449
2021-01-23,13.449
2021-01-24,13.449
2021-01-25,13.504
2021-01-26,13.614
2021-01-27,13.52
2021-01-28,13.369
2021-01-29,13.956
2021-01-30,13.956
2021-01-31,13.956
2021-02-01,14.408
2021-02-02,14.155
2021-02-03,13.713
2021-02-04,12.892
2021-02-05,12.871
2021-02-06,12.871
2021-02-07,12.871
2021-02-08,12.855
2021-02-09,12.871
2021-02-10,13.057
2021-02-11,13.217
2021-02-12,13.318
2021-02-13,13.318
2021-02-14,13.318
2021-02-15,13.318
2021-02-16,12.902
2021-02-17,12.877
2021-02-18,12.877
2021-02-19,12.601
2021-02-20,12.601
2021-02-21,12.601
2021-02-22,12.281
2021-02-23,12.417
2021-02-24,12.232
2021-02-25,12.114
2021-02-26,12.216
2021-02-27,12.216
2021-02-28,12.216
2021-03-01,12.319
2021-03-02,12.53
2021-03-03,12.352
2021-03-04,12.394
2021-03-05,12.466
2021-03-06,12.466
2021-03-07,12.466
2021-03-08,12.797
2021-03-09,12.669
2021-03-10,12.25
2021-03-11,12.773
2021-03-12,12.774
2021-03-13,12.774
2021-03-14,12.774
2021-03-15,12.931
2021-03-16,12.859
2021-03-17,12.905
2021-03-18,13.025
2021-03-19,13.132
2021-03-20,13.132
2021-03-21,13.132
2021-03-22,13.198
2021-03-23,13.125
2021-03-24,13.301
2021-03-25,13.328
2021-03-26,13.547
2021-03-27,13.547
2021-03-28,13.547
2021-03-29,13.421
2021-03-30,13.468
2021-03-31,13.453
2021-04-01,13.568
2021-04-02,13.568
2021-04-03,13.568
2021-04-04,13.568
2021-04-05,13.64
2021-04-06,13.514
2021-04-07,13.454
2021-04-08,13.34
2021-04-09,13.343
2021-04-10,13.343
2021-04-11,13.343
2021-04-12,13.572
2021-04-13,13.522
2021-04-14,13.412
2021-04-15,13.602
2021-04-16,13.703
2021-04-17,13.703
2021-04-18,13.703
2021-04-19,13.807
2021-04-20,13.625
2021-04-21,13.694
2021-04-22,13.515
2021-04-23,13.265
2021-04-24,13.265
2021-04-25,13.265
2021-04-26,13.372
2021-04-27,13.375
2021-04-28,13.312
2021-04-29,13.43
2021-04-30,13.473
2021-05-01,13.473
2021-05-02,13.473
2021-05-03,13.557
2021-05-04,13.933
2021-05-05,13.952
2021-05-06,14.138
2021-05-07,14.195
2021-05-08,14.195
2021-05-09,14.195
2021-05-10,14.453
2021-05-11,14.082
2021-05-12,13.894
2021-05-13,14.044
2021-05-14,13.834
2021-05-15,13.834
2021-05-16,13.834
2021-05-17,13.486
2021-05-18,13.382
2021-05-19,13.351
2021-05-20,13.429
2021-05-21,13.416
2021-05-22,13.416
2021-05-23,13.416
2021-05-24,13.328
2021-05-25,13.367
2021-05-26,13.551
2021-05-27,13.542
2021-05-28,13.451
2021-05-29,13.451
2021-05-30,13.451
2021-05-31,13.451
2021-06-01,13.002
2021-06-02,13.028
2021-06-03,13.09
2021-06-04,13.166
2021-06-05,13.166
2021-06-06,13.166
2021-06-07,13.171
2021-06-08,13.027
2021-06-09,13.025
2021-06-10,13.095
2021-06-11,13.004
2021-06-12,13.004
2021-06-13,13.004
2021-06-14,13.08
2021-06-15,13.094
2021-06-16,13.021
2021-06-17,13.085
2021-06-18,13.025
2021-06-19,13.025
2021-06-20,13.025
2021-06-21,13.222
2021-06-22,13.305
2021-06-23,13.195
2021-06-24,13.198
2021-06-25,13.243
2021-06-26,13.243
2021-06-27,13.243
2021-06-28,13.45
2021-06-29,13.585
2021-06-30,13.482
2021-07-01,13.582
2021-07-02,13.62
2021-07-03,13.62
2021-07-04,13.62
2021-07-05,13.62
2021-07-06,13.698
2021-07-07,13.818
2021-07-08,13.74
2021-07-09,13.86
2021-07-10,13.86
2021-07-11,13.86
2021-07-12,13.92
2021-07-13,13.86
2021-07-14,13.816
2021-07-15,13.76
2021-07-16,13.806
2021-07-17,13.806
2021-07-18,13.806
2021-07-19,13.984
2021-07-20,13.986
2021-07-21,13.936
2021-07-22,14.102
2021-07-23,14.137
2021-07-24,14.137
2021-07-25,14.137
2021-07-26,14.031
2021-07-27,14.191
2021-07-28,14.192
2021-07-29,14.321
2021-07-30,14.377
2021-07-31,14.377
2021-08-01,14.377
2021-08-02,14.503
2021-08-03,14.738
2021-08-04,14.875
2021-08-05,14.935
2021-08-06,14.864
2021-08-07,14.864
2021-08-08,14.864
2021-08-09,14.996
2021-08-10,15.064
2021-08-11,15.062
2021-08-12,15.013
2021-08-13,15.028
2021-08-14,15.028
2021-08-15,15.028
2021-08-16,15.346
2021-08-17,15.44
2021-08-18,15.121
2021-08-19,15.371
2021-08-20,15.412
2021-08-21,15.412
2021-08-22,15.412
2021-08-23,15.263
2021-08-24,15.161
2021-08-25,15.179
2021-08-26,15.167
2021-08-27,15.122
2021-08-28,15.122
2021-08-29,15.122
2021-08-30,15.287
2021-08-31,15.496
2021-09-01,15.568
2021-09-02,15.717
2021-09-03,15.801
2021-09-04,15.801
2021-09-05,15.801
2021-09-06,15.801
2021-09-07,15.771
2021-09-08,16.02
2021-09-09,15.954
2021-09-10,15.71
2021-09-11,15.71
2021-09-12,15.71
2021-09-13,15.604
2021-09-14,15.489
2021-09-15,15.587
2021-09-16,15.509
2021-09-17,15.485
2021-09-18,15.485
2021-09-19,15.485
2021-09-20,15.43
2021-09-21,15.442
2021-09-22,15.279
2021-09-23,15.36
2021-09-24,15.317
2021-09-25,15.317
2021-09-26,15.317
2021-09-27,14.93
2021-09-28,14.548
2021-09-29,14.71
2021-09-30,14.474
2021-10-01,14.274
2021-10-02,14.274
2021-10-03,14.274
2021-10-04,14.13
2021-10-05,14.123
2021-10-06,14.239
2021-10-07,14.356
2021-10-08,14.199
2021-10-09,14.199
2021-10-10,14.199
2021-10-11,14.042
2021-10-12,14.054
2021-10-13,14.101
2021-10-14,14.247
2021-10-15,14.256
2021-10-16,14.256
2021-10-17,14.256
2021-10-18,14.378
2021-10-19,14.577
2021-10-20,14.691
2021-10-21,14.519
2021-10-22,14.265
2021-10-23,14.265
2021-10-24,14.265
2021-10-25,14.121
2021-10-26,14.168
2021-10-27,14.017
2021-10-28,14.201
2021-10-29,14.293
2021-10-30,14.293
2021-10-31,14.293
2021-11-01,14.345
2021-11-02,14.045
2021-11-03,14.123
2021-11-04,14.004
2021-11-05,13.686
2021-11-06,13.686
2021-11-07,13.686
2021-11-08,13.849
2021-11-09,13.831
2021-11-10,14.098
2021-11-11,14.435
2021-11-12,14.607
2021-11-13,14.607
2021-11-14,14.607
2021-11-15,14.276
2021-11-16,14.412
2021-11-17,14.395
2021-11-18,14.394
2021-11-19,14.455
2021-11-20,14.455
2021-11-21,14.455
2021-11-22,14.679
2021-11-23,14.708
2021-11-24,14.56
2021-11-25,14.56
2021-11-26,15.089
2021-11-27,15.089
2021-11-28,15.089
2021-11-29,15.259
2021-11-30,14.478
2021-12-01,14.727
2021-12-02,15.027
2021-12-03,15.294
2021-12-04,15.294
2021-12-05,15.294
2021-12-06,15.351
2021-12-07,15.594
2021-12-08,15.595
2021-12-09,15.358
2021-12-10,15.586
2021-12-11,15.586
2021-12-12,15.586
2021-12-13,15.898
2021-12-14,16.012
2021-12-15,16.707
2021-12-16,17.053
2021-12-17,16.984
2021-12-18,16.984
2021-12-19,16.984
2021-12-20,17.013
2021-12-21,16.578
2021-12-22,16.644
2021-12-23,16.573
2021-12-24,16.573
2021-12-25,16.573
2021-12-26,16.573
2021-12-27,16.801
2021-12-28,16.8
2021-12-29,16.876
2021-12-30,16.998
2021-12-31,17.164
2022-01-01,17.164
2022-01-02,17.164
2022-01-03,16.305
2022-01-04,15.695
2022-01-05,15.607
2022-01-06,15.708
2022-01-07,15.241
2022-01-08,15.241
2022-01-09,15.241
2022-01-10,15.605
2022-01-11,15.146
2022-01-12,13.994
2022-01-13,13.791
2022-01-14,13.534
2022-01-15,13.534
2022-01-16,13.534
2022-01-17,13.534
2022-01-18,13.261
2022-01-19,13.276
2022-01-20,13.103
2022-01-21,13.155
2022-01-22,13.155
2022-01-23,13.155
2022-01-24,13.211
2022-01-25,13.104
2022-01-26,12.934
2022-01-27,12.903
2022-01-28,12.881
2022-01-29,12.881
2022-01-30,12.881
2022-01-31,12.898
2022-02-01,12.919
2022-02-02,12.983
2022-02-03,13.431
2022-02-04,13.223
2022-02-05,13.223
2022-02-06,13.223
2022-02-07,13.183
2022-02-08,13.414
2022-02-09,13.64
2022-02-10,13.333
2022-02-11,13.199
2022-02-12,13.199
2022-02-13,13.199
2022-02-14,13.204
2022-02-15,13.287
2022-02-16,13.405
2022-02-17,13.14
2022-02-18,13.37
2022-02-19,13.37
2022-02-20,13.37
2022-02-21,13.37
2022-02-22,13.286
2022-02-23,13.083
2022-02-24,13.216
2022-02-25,13.489
2022-02-26,13.489
2022-02-27,13.489
2022-02-28,13.396
2022-03-01,13.462
2022-03-02,13.752
2022-03-03,13.857
2022-03-04,14.047
2022-03-05,14.047
2022-03-06,14.047
2022-03-07,13.902
2022-03-08,13.718
2022-03-09,13.849
2022-03-10,13.889
2022-03-11,13.927
2022-03-12,13.927
2022-03-13,13.927
2022-03-14,14.108
2022-03-15,14.469
2022-03-16,14.637
2022-03-17,14.828
2022-03-18,14.817
2022-03-19,14.817
2022-03-20,14.817
2022-03-21,14.694
2022-03-22,14.687
2022-03-23,14.542
2022-03-24,14.504
2022-03-25,14.717
2022-03-26,14.717
2022-03-27,14.717
2022-03-28,14.801
2022-03-29,14.443
2022-03-30,14.194
2022-03-31,13.98
2022-04-01,13.926
2022-04-02,13.926
2022-04-03,13.926
2022-04-04,13.743
2022-04-05,13.654
2022-04-06,13.732
2022-04-07,14.089
2022-04-08,14.301
2022-04-09,14.301
2022-04-10,14.301
2022-04-11,14.034
2022-04-12,14.025
2022-04-13,14.002
2022-04-14,13.887
2022-04-15,13.887
2022-04-16,13.887
2022-04-17,13.887
2022-04-18,13.599
2022-04-19,13.872
2022-04-20,14.135
2022-04-21,14.791
2022-04-22,14.389
2022-04-23,14.389
2022-04-24,14.389
2022-04-25,14.234
2022-04-26,14.037
2022-04-27,14.324
2022-04-28,14.152
2022-04-29,13.945
2022-04-30,13.945
2022-05-01,13.945
2022-05-02,13.753
2022-05-03,13.895
2022-05-04,14.441
2022-05-05,14.144
2022-05-06,14.156
2022-05-07,14.156
2022-05-08,14.156
2022-05-09,14.147
2022-05-10,13.927
2022-05-11,13.799
2022-05-12,14.135
2022-05-13,14.166
2022-05-14,14.166
2022-05-15,14.166
2022-05-16,14.062
2022-05-17,14.595
2022-05-18,14.458
2022-05-19,14.548
2022-05-20,14.648
2022-05-21,14.648
2022-05-22,14.648
2022-05-23,14.493
2022-05-24,14.55
2022-05-25,14.648
2022-05-26,14.712
2022-05-27,15.101
2022-05-28,15.101
2022-05-29,15.101
2022-05-30,15.101
2022-05-31,14.647
2022-06-01,14.397
2022-06-02,14.4
2022-06-03,14.146
2022-06-04,14.146
2022-06-05,14.146
2022-06-06,14.109
2022-06-07,14.309
2022-06-08,14.079
2022-06-09,14.01
2022-06-10,13.632
2022-06-11,13.632
2022-06-12,13.632
2022-06-13,13.273
2022-06-14,13.198
2022-06-15,13.375
2022-06-16,13.292
2022-06-17,13.569
2022-06-18,13.569
2022-06-19,13.569
2022-06-20,13.569
2022-06-21,13.703
2022-06-22,13.953
2022-06-23,14.273
2022-06-24,14.573
2022-06-25,14.573
2022-06-26,14.573
2022-06-27,14.391
2022-06-28,14.173
2022-06-29,14.292
2022-06-30,13.812
2022-07-01,14.196
2022-07-02,14.196
2022-07-03,14.196
2022-07-04,14.196
2022-07-05,13.941
2022-07-06,14.188
2022-07-07,14.169
2022-07-08,14.156
2022-07-09,14.156
2022-07-10,14.156
2022-07-11,14.18
2022-07-12,14.112
2022-07-13,14.007
2022-07-14,14.022
2022-07-15,14.239
2022-07-16,14.239
2022-07-17,14.239
2022-07-18,14.008
2022-07-19,14.323
2022-07-20,14.132
2022-07-21,14.205
2022-07-22,13.729
2022-07-23,13.729
2022-07-24,13.729
2022-07-25,13.651
2022-07-26,13.875
2022-07-27,13.989
2022-07-28,14.081
2022-07-29,14.226
2022-07-30,14.226
2022-07-31,14.226
2022-08-01,14.236
2022-08-02,14.239
2022-08-03,14.367
2022-08-04,14.379
2022-08-05,14.518
2022-08-06,14.518
2022-08-07,14.518
2022-08-08,14.585
2022-08-09,14.501
2022-08-10,14.685
2022-08-11,14.642
2022-08-12,14.64
2022-08-13,14.64
2022-08-14,14.64
2022-08-15,14.697
2022-08-16,14.638
2022-08-17,14.358
2022-08-18,14.162
2022-08-19,14.112
2022-08-20,14.112
2022-08-21,14.112
2022-08-22,13.748
2022-08-23,13.546
2022-08-24,13.41
2022-08-25,13.604
2022-08-26,13.239
2022-08-27,13.239
2022-08-28,13.239
2022-08-29,13.19
2022-08-30,13.154
2022-08-31,13.053
2022-09-01,13.137
2022-09-02,13.042
2022-09-03,13.042
2022-09-04,13.042
2022-09-05,13.042
2022-09-06,13.067
2022-09-07,13.293
2022-09-08,13.58
2022-09-09,13.559
2022-09-10,13.559
2022-09-11,13.559
2022-09-12,13.731
2022-09-13,13.133
2022-09-14,12.932
2022-09-15,12.962
2022-09-16,13.009
2022-09-17,13.009
2022-09-18,13.009
2022-09-19,13.099
2022-09-20,12.968
2022-09-21,12.7
2022-09-22,12.812
2022-09-23,12.761
2022-09-24,12.761
2022-09-25,12.761
2022-09-26,12.85
2022-09-27,12.757
2022-09-28,13.055
2022-09-29,12.998
2022-09-30,12.796
2022-10-01,12.796
2022-10-02,12.796
2022-10-03,13.154
2022-10-04,13.433
2022-10-05,13.403
2022-10-06,13.262
2022-10-07,12.973
2022-10-08,12.973
2022-10-09,12.973
2022-10-10,13.047
2022-10-11,13.083
2022-10-12,13.086
2022-10-13,13.225
2022-10-14,13.267
2022-10-15,13.267
2022-10-16,13.267
2022-10-17,13.459
2022-10-18,13.632
2022-10-19,13.35
2022-10-20,14.36
2022-10-21,14.454
2022-10-22,14.454
2022-10-23,14.454
2022-10-24,14.662
2022-10-25,15.199
2022-10-26,15.142
2022-10-27,15.051
2022-10-28,15.416
2022-10-29,15.416
2022-10-30,15.416
2022-10-31,15.315
2022-11-01,15.223
2022-11-02,14.979
2022-11-03,15.246
2022-11-04,15.314
2022-11-05,15.314
2022-11-06,15.314
2022-11-07,15.583
2022-11-08,15.549
2022-11-09,15.506
2022-11-10,16.259
2022-11-11,16.104
2022-11-12,16.104
2022-11-13,16.104
2022-11-14,16.035
2022-11-15,15.774
2022-11-16,15.916
2022-11-17,15.563
2022-11-18,15.612
2022-11-19,15.612
2022-11-20,15.612
2022-11-21,15.7
2022-11-22,15.722
2022-11-23,15.91
2022-11-24,15.91
2022-11-25,15.975
2022-11-26,15.975
2022-11-27,15.975
2022-11-28,15.976
2022-11-29,15.969
2022-11-30,16.272
2022-12-01,16.355
2022-12-02,16.125
2022-12-03,16.125
2022-12-04,16.125
2022-12-05,15.96
2022-12-06,15.965
2022-12-07,15.968
2022-12-08,16.129
2022-12-09,15.952
2022-12-10,15.952
2022-12-11,15.952
2022-12-12,15.968
2022-12-13,16.049
2022-12-14,16.194
2022-12-15,15.992
2022-12-16,15.994
2022-12-17,15.994
2022-12-18,15.994
2022-12-19,16.231
2022-12-20,16.097
2022-12-21,16.643
2022-12-22,16.679
2022-12-23,16.752
2022-12-24,16.752
2022-12-25,16.752
2022-12-26,16.752
2022-12-27,16.856
2022-12-28,16.773
2022-12-29,16.803
2022-12-30,16.766
2022-12-31,16.766
2023-01-01,16.766
2023-01-02,16.766
2023-01-03,16.694
2023-01-04,16.566
2023-01-05,16.558
2023-01-06,16.68
2023-01-07,16.68
2023-01-08,16.68
2023-01-09,16.39
2023-01-10,16.348
2023-01-11,16.358
2023-01-12,15.853
2023-01-13,15.834
2023-01-14,15.834
2023-01-15,15.834
2023-01-16,15.834
2023-01-17,15.863
2023-01-18,15.599
2023-01-19,15.621
2023-01-20,15.635
2023-01-21,15.635
2023-01-22,15.635
2023-01-23,15.794
2023-01-24,15.46
2023-01-25,15.533
2023-01-26,15.753
2023-01-27,15.608
2023-01-28,15.608
2023-01-29,15.608
2023-01-30,15.622
2023-01-31,15.884
2023-02-01,15.901
2023-02-02,15.584
2023-02-03,15.335
2023-02-04,15.335
2023-02-05,15.335
2023-02-06,15.612
2023-02-07,15.668
2023-02-08,15.707
2023-02-09,15.679
2023-02-10,15.548
2023-02-11,15.548
2023-02-12,15.548
2023-02-13,15.706
2023-02-14,15.526
2023-02-15,15.744
2023-02-16,15.643
2023-02-17,15.809
2023-02-18,15.809
2023-02-19,15.809
2023-02-20,15.809
2023-02-21,15.363
2023-02-22,15.384
2023-02-23,15.241
2023-02-24,14.979
2023-02-25,14.979
2023-02-26,14.979
2023-02-27,14.837
2023-02-28,14.804
2023-03-01,14.873
2023-03-02,14.949
2023-03-03,15.066
2023-03-04,15.066
2023-03-05,15.066
2023-03-06,15.015
2023-03-07,14.736
2023-03-08,14.628
2023-03-09,14.408
2023-03-10,14.346
2023-03-11,14.346
2023-03-12,14.346
2023-03-13,14.212
2023-03-14,14.302
2023-03-15,14.19
2023-03-16,14.316
2023-03-17,14.052
2023-03-18,14.052
2023-03-19,14.052
2023-03-20,14.215
2023-03-21,14.536
2023-03-22,14.366
2023-03-23,14.48
2023-03-24,14.98
2023-03-25,14.98
2023-03-26,14.98
2023-03-27,14.912
2023-03-28,14.844
2023-03-29,14.811
2023-03-30,14.897
2023-03-31,15.132
2023-04-01,15.132
2023-04-02,15.132
2023-04-03,15.259
2023-04-04,15.102
2023-04-05,15.327
2023-04-06,15.352
2023-04-07,15.352
2023-04-08,15.352
2023-04-09,15.352
2023-04-10,15.267
2023-04-11,15.456
2023-04-12,15.305
2023-04-13,15.326
2023-04-14,15.291
2023-04-15,15.291
2023-04-16,15.291
2023-04-17,15.38
2023-04-18,15.274
2023-04-19,15.429
2023-04-20,15.462
2023-04-21,15.61
2023-04-22,15.61
2023-04-23,15.61
2023-04-24,15.757
2023-04-25,15.752
2023-04-26,15.788
2023-04-27,15.16
2023-04-28,15.012
2023-04-29,15.012
2023-04-30,15.012
2023-05-01,15.085
2023-05-02,14.966
2023-05-03,14.811
2023-05-04,14.685
2023-05-05,14.805
2023-05-06,14.805
2023-05-07,14.805
2023-05-08,14.611
2023-05-09,14.494
2023-05-10,14.372
2023-05-11,14.203
2023-05-12,14.187
2023-05-13,14.187
2023-05-14,14.187
2023-05-15,14.407
2023-05-16,14.206
2023-05-17,14.379
2023-05-18,14.246
2023-05-19,14.308
2023-05-20,14.308
2023-05-21,14.308
2023-05-22,14.322
2023-05-23,14.264
2023-05-24,14.368
2023-05-25,14.438
2023-05-26,14.556
2023-05-27,14.556
2023-05-28,14.556
2023-05-29,14.556
2023-05-30,14.568
2023-05-31,14.434
2023-06-01,14.599
2023-06-02,14.764
2023-06-03,14.764
2023-06-04,14.764
2023-06-05,14.618
2023-06-06,14.501
2023-06-07,14.692
2023-06-08,14.776
2023-06-09,14.639
2023-06-10,14.639
2023-06-11,14.639
2023-06-12,14.768
2023-06-13,14.841
2023-06-14,14.791
2023-06-15,14.894
2023-06-16,15.046
2023-06-17,15.046
2023-06-18,15.046
2023-06-19,15.046
2023-06-20,14.985
2023-06-21,15.053
2023-06-22,15.067
2023-06-23,15.36
2023-06-24,15.36
2023-06-25,15.36
2023-06-26,15.349
2023-06-27,15.476
2023-06-28,15.407
2023-06-29,15.296
2023-06-30,15.234
2023-07-01,15.234
2023-07-02,15.234
2023-07-03,15.081
2023-07-04,15.081
2023-07-05,14.978
2023-07-06,15.109
2023-07-07,15.058
2023-07-08,15.058
2023-07-09,15.058
2023-07-10,15.218
2023-07-11,15.276
2023-07-12,15.347
2023-07-13,15.329
2023-07-14,15.292
2023-07-15,15.292
2023-07-16,15.292
2023-07-17,15.234
2023-07-18,15.283
2023-07-19,15.62
2023-07-20,15.674
2023-07-21,15.758
2023-07-22,15.758
2023-07-23,15.758
2023-07-24,15.72
2023-07-25,15.818
2023-07-26,14.904
2023-07-27,14.586
2023-07-28,14.6
2023-07-29,14.6
2023-07-30,14.6
2023-07-31,14.643
2023-08-01,14.577
2023-08-02,14.594
2023-08-03,14.803
2023-08-04,14.691
2023-08-05,14.691
2023-08-06,14.691
2023-08-07,14.795
2023-08-08,14.612
2023-08-09,14.693
2023-08-10,14.56
2023-08-11,14.663
2023-08-12,14.663
2023-08-13,14.663
2023-08-14,14.68
2023-08-15,14.503
2023-08-16,14.376
2023-08-17,14.336
2023-08-18,14.472
2023-08-19,14.472
2023-08-20,14.472
2023-08-21,14.406
2023-08-22,14.351
2023-08-23,14.464
2023-08-24,14.442
2023-08-25,14.352
2023-08-26,14.352
2023-08-27,14.352
2023-08-28,14.357
2023-08-29,14.353
2023-08-30,14.607
2023-08-31,14.262
2023-09-01,14.12
2023-09-02,14.12
2023-09-03,14.12
2023-09-04,14.12
2023-09-05,13.765
2023-09-06,13.754
2023-09-07,13.728
2023-09-08,13.718
2023-09-09,13.718
2023-09-10,13.718
2023-09-11,13.685
2023-09-12,13.741
2023-09-13,13.838
2023-09-14,13.754
2023-09-15,13.632
2023-09-16,13.632
2023-09-17,13.632
2023-09-18,13.585
2023-09-19,13.562
2023-09-20,13.501
