,CXT US Equity
2020-10-29,2.064
2020-10-30,2.075
2020-10-31,2.075
2020-11-01,2.075
2020-11-02,2.148
2020-11-03,2.184
2020-11-04,2.134
2020-11-05,2.233
2020-11-06,2.16
2020-11-07,2.16
2020-11-08,2.16
2020-11-09,2.466
2020-11-10,2.566
2020-11-11,2.494
2020-11-12,2.435
2020-11-13,2.512
2020-11-14,2.512
2020-11-15,2.512
2020-11-16,2.678
2020-11-17,2.668
2020-11-18,2.649
2020-11-19,2.665
2020-11-20,2.696
2020-11-21,2.696
2020-11-22,2.696
2020-11-23,2.803
2020-11-24,2.965
2020-11-25,2.942
2020-11-26,2.942
2020-11-27,2.921
2020-11-28,2.921
2020-11-29,2.921
2020-11-30,2.86
2020-12-01,2.893
2020-12-02,2.897
2020-12-03,2.92
2020-12-04,3.032
2020-12-05,3.032
2020-12-06,3.032
2020-12-07,3.001
2020-12-08,3.017
2020-12-09,3.063
2020-12-10,3.133
2020-12-11,3.133
2020-12-12,3.133
2020-12-13,3.133
2020-12-14,3.106
2020-12-15,3.272
2020-12-16,3.236
2020-12-17,3.234
2020-12-18,3.23
2020-12-19,3.23
2020-12-20,3.23
2020-12-21,3.171
2020-12-22,3.165
2020-12-23,3.194
2020-12-24,3.211
2020-12-25,3.211
2020-12-26,3.211
2020-12-27,3.211
2020-12-28,3.198
2020-12-29,3.151
2020-12-30,3.204
2020-12-31,3.243
2021-01-01,3.243
2021-01-02,3.243
2021-01-03,3.243
2021-01-04,3.18
2021-01-05,3.287
2021-01-06,3.484
2021-01-07,3.465
2021-01-08,3.386
2021-01-09,3.386
2021-01-10,3.386
2021-01-11,3.391
2021-01-12,3.414
2021-01-13,3.37
2021-01-14,3.426
2021-01-15,3.371
2021-01-16,3.371
2021-01-17,3.371
2021-01-18,3.371
2021-01-19,3.413
2021-01-20,3.434
2021-01-21,3.39
2021-01-22,3.366
2021-01-23,3.366
2021-01-24,3.366
2021-01-25,3.28
2021-01-26,3.165
2021-01-27,3.168
2021-01-28,3.184
2021-01-29,3.165
2021-01-30,3.165
2021-01-31,3.165
2021-02-01,3.285
2021-02-02,3.358
2021-02-03,3.351
2021-02-04,3.4
2021-02-05,3.416
2021-02-06,3.416
2021-02-07,3.416
2021-02-08,3.479
2021-02-09,3.439
2021-02-10,3.454
2021-02-11,3.479
2021-02-12,3.484
2021-02-13,3.484
2021-02-14,3.484
2021-02-15,3.484
2021-02-16,3.501
2021-02-17,3.49
2021-02-18,3.449
2021-02-19,3.543
2021-02-20,3.543
2021-02-21,3.543
2021-02-22,3.586
2021-02-23,3.591
2021-02-24,3.663
2021-02-25,3.594
2021-02-26,3.524
2021-02-27,3.524
2021-02-28,3.524
2021-03-01,3.534
2021-03-02,3.58
2021-03-03,3.626
2021-03-04,3.542
2021-03-05,3.655
2021-03-06,3.655
2021-03-07,3.655
2021-03-08,3.701
2021-03-09,3.65
2021-03-10,3.72
2021-03-11,3.747
2021-03-12,3.818
2021-03-13,3.818
2021-03-14,3.818
2021-03-15,3.882
2021-03-16,3.792
2021-03-17,3.852
2021-03-18,3.855
2021-03-19,3.831
2021-03-20,3.831
2021-03-21,3.831
2021-03-22,3.781
2021-03-23,3.66
2021-03-24,3.705
2021-03-25,3.796
2021-03-26,3.878
2021-03-27,3.878
2021-03-28,3.878
2021-03-29,3.808
2021-03-30,3.859
2021-03-31,3.834
2021-04-01,3.88
2021-04-02,3.88
2021-04-03,3.88
2021-04-04,3.88
2021-04-05,3.876
2021-04-06,3.874
2021-04-07,3.835
2021-04-08,3.846
2021-04-09,3.904
2021-04-10,3.904
2021-04-11,3.904
2021-04-12,3.905
2021-04-13,3.865
2021-04-14,3.876
2021-04-15,3.87
2021-04-16,3.871
2021-04-17,3.871
2021-04-18,3.871
2021-04-19,3.829
2021-04-20,3.794
2021-04-21,3.879
2021-04-22,3.851
2021-04-23,3.907
2021-04-24,3.907
2021-04-25,3.907
2021-04-26,3.908
2021-04-27,3.904
2021-04-28,3.951
2021-04-29,3.915
2021-04-30,3.855
2021-05-01,3.855
2021-05-02,3.855
2021-05-03,3.883
2021-05-04,3.763
2021-05-05,3.683
2021-05-06,3.756
2021-05-07,3.776
2021-05-08,3.776
2021-05-09,3.776
2021-05-10,3.753
2021-05-11,3.676
2021-05-12,3.565
2021-05-13,3.66
2021-05-14,3.751
2021-05-15,3.751
2021-05-16,3.751
2021-05-17,3.707
2021-05-18,3.632
2021-05-19,3.566
2021-05-20,3.568
2021-05-21,3.59
2021-05-22,3.59
2021-05-23,3.59
2021-05-24,3.661
2021-05-25,3.624
2021-05-26,3.736
2021-05-27,3.773
2021-05-28,3.706
2021-05-29,3.706
2021-05-30,3.706
2021-05-31,3.706
2021-06-01,3.713
2021-06-02,3.682
2021-06-03,3.641
2021-06-04,3.653
2021-06-05,3.653
2021-06-06,3.653
2021-06-07,3.607
2021-06-08,3.621
2021-06-09,3.533
2021-06-10,3.551
2021-06-11,3.573
2021-06-12,3.573
2021-06-13,3.573
2021-06-14,3.524
2021-06-15,3.565
2021-06-16,3.52
2021-06-17,3.361
2021-06-18,3.358
2021-06-19,3.358
2021-06-20,3.358
2021-06-21,3.505
2021-06-22,3.472
2021-06-23,3.448
2021-06-24,3.516
2021-06-25,3.575
2021-06-26,3.575
2021-06-27,3.575
2021-06-28,3.536
2021-06-29,3.507
2021-06-30,3.585
2021-07-01,3.607
2021-07-02,3.632
2021-07-03,3.632
2021-07-04,3.632
2021-07-05,3.632
2021-07-06,3.632
2021-07-07,3.679
2021-07-08,3.585
2021-07-09,3.676
2021-07-10,3.676
2021-07-11,3.676
2021-07-12,3.655
2021-07-13,3.624
2021-07-14,3.631
2021-07-15,3.555
2021-07-16,3.523
2021-07-17,3.523
2021-07-18,3.523
2021-07-19,3.39
2021-07-20,3.55
2021-07-21,3.608
2021-07-22,3.553
2021-07-23,3.596
2021-07-24,3.596
2021-07-25,3.596
2021-07-26,3.575
2021-07-27,3.645
2021-07-28,3.625
2021-07-29,3.682
2021-07-30,3.728
2021-07-31,3.728
2021-08-01,3.728
2021-08-02,3.698
2021-08-03,3.763
2021-08-04,3.716
2021-08-05,3.767
2021-08-06,3.785
2021-08-07,3.785
2021-08-08,3.785
2021-08-09,3.72
2021-08-10,3.828
2021-08-11,3.95
2021-08-12,3.991
2021-08-13,3.912
2021-08-14,3.912
2021-08-15,3.912
2021-08-16,3.929
2021-08-17,3.842
2021-08-18,3.736
2021-08-19,3.703
2021-08-20,3.781
2021-08-21,3.781
2021-08-22,3.781
2021-08-23,3.797
2021-08-24,3.842
2021-08-25,3.893
2021-08-26,3.894
2021-08-27,3.982
2021-08-28,3.982
2021-08-29,3.982
2021-08-30,3.954
2021-08-31,3.919
2021-09-01,3.839
2021-09-02,3.812
2021-09-03,3.745
2021-09-04,3.745
2021-09-05,3.745
2021-09-06,3.745
2021-09-07,3.662
2021-09-08,3.679
2021-09-09,3.639
2021-09-10,3.615
2021-09-11,3.615
2021-09-12,3.615
2021-09-13,3.676
2021-09-14,3.655
2021-09-15,3.669
2021-09-16,3.624
2021-09-17,3.536
2021-09-18,3.536
2021-09-19,3.536
2021-09-20,3.485
2021-09-21,3.432
2021-09-22,3.485
2021-09-23,3.546
2021-09-24,3.586
2021-09-25,3.586
2021-09-26,3.586
2021-09-27,3.629
2021-09-28,3.646
2021-09-29,3.698
2021-09-30,3.651
2021-10-01,3.739
2021-10-02,3.739
2021-10-03,3.739
2021-10-04,3.702
2021-10-05,3.715
2021-10-06,3.728
2021-10-07,3.793
2021-10-08,3.758
2021-10-09,3.758
2021-10-10,3.758
2021-10-11,3.612
2021-10-12,3.6
2021-10-13,3.546
2021-10-14,3.651
2021-10-15,3.655
2021-10-16,3.655
2021-10-17,3.655
2021-10-18,3.685
2021-10-19,3.631
2021-10-20,3.683
2021-10-21,3.718
2021-10-22,3.7
2021-10-23,3.7
2021-10-24,3.7
2021-10-25,3.667
2021-10-26,3.774
2021-10-27,3.652
2021-10-28,3.694
2021-10-29,3.758
2021-10-30,3.758
2021-10-31,3.758
2021-11-01,3.854
2021-11-02,3.81
2021-11-03,3.813
2021-11-04,3.773
2021-11-05,3.865
2021-11-06,3.865
2021-11-07,3.865
2021-11-08,3.904
2021-11-09,3.92
2021-11-10,3.873
2021-11-11,3.877
2021-11-12,3.888
2021-11-13,3.888
2021-11-14,3.888
2021-11-15,3.923
2021-11-16,3.892
2021-11-17,3.816
2021-11-18,3.834
2021-11-19,3.774
2021-11-20,3.774
2021-11-21,3.774
2021-11-22,3.827
2021-11-23,3.831
2021-11-24,3.817
2021-11-25,3.817
2021-11-26,3.642
2021-11-27,3.642
2021-11-28,3.642
2021-11-29,3.648
2021-11-30,3.528
2021-12-01,3.453
2021-12-02,3.616
2021-12-03,3.583
2021-12-04,3.583
2021-12-05,3.583
2021-12-06,3.694
2021-12-07,3.723
2021-12-08,3.764
2021-12-09,3.76
2021-12-10,3.78
2021-12-11,3.78
2021-12-12,3.78
2021-12-13,3.655
2021-12-14,3.632
2021-12-15,3.662
2021-12-16,3.599
2021-12-17,3.509
2021-12-18,3.509
2021-12-19,3.509
2021-12-20,3.46
2021-12-21,3.589
2021-12-22,3.584
2021-12-23,3.643
2021-12-24,3.643
2021-12-25,3.643
2021-12-26,3.643
2021-12-27,3.729
2021-12-28,3.749
2021-12-29,3.728
2021-12-30,3.687
2021-12-31,3.718
2022-01-01,3.718
2022-01-02,3.718
2022-01-03,3.739
2022-01-04,3.838
2022-01-05,3.809
2022-01-06,3.817
2022-01-07,3.832
2022-01-08,3.832
2022-01-09,3.832
2022-01-10,3.74
2022-01-11,3.772
2022-01-12,3.808
2022-01-13,3.86
2022-01-14,3.904
2022-01-15,3.904
2022-01-16,3.904
2022-01-17,3.904
2022-01-18,3.828
2022-01-19,3.763
2022-01-20,3.712
2022-01-21,3.65
2022-01-22,3.65
2022-01-23,3.65
2022-01-24,3.738
2022-01-25,3.774
2022-01-26,3.784
2022-01-27,3.593
2022-01-28,3.617
2022-01-29,3.617
2022-01-30,3.617
2022-01-31,3.748
2022-02-01,3.756
2022-02-02,3.785
2022-02-03,3.683
2022-02-04,3.703
2022-02-05,3.703
2022-02-06,3.703
2022-02-07,3.683
2022-02-08,3.72
2022-02-09,3.795
2022-02-10,3.729
2022-02-11,3.682
2022-02-12,3.682
2022-02-13,3.682
2022-02-14,3.69
2022-02-15,3.758
2022-02-16,3.771
2022-02-17,3.705
2022-02-18,3.694
2022-02-19,3.694
2022-02-20,3.694
2022-02-21,3.694
2022-02-22,3.635
2022-02-23,3.599
2022-02-24,3.589
2022-02-25,3.695
2022-02-26,3.695
2022-02-27,3.695
2022-02-28,3.678
2022-03-01,3.537
2022-03-02,3.793
2022-03-03,3.792
2022-03-04,3.697
2022-03-05,3.697
2022-03-06,3.697
2022-03-07,3.571
2022-03-08,3.623
2022-03-09,3.745
2022-03-10,3.714
2022-03-11,3.731
2022-03-12,3.731
2022-03-13,3.731
2022-03-14,3.766
2022-03-15,3.768
2022-03-16,3.88
2022-03-17,3.927
2022-03-18,3.985
2022-03-19,3.985
2022-03-20,3.985
2022-03-21,3.975
2022-03-22,4.008
2022-03-23,3.912
2022-03-24,3.935
2022-03-25,3.987
2022-03-26,3.987
2022-03-27,3.987
2022-03-28,3.922
2022-03-29,4.005
2022-03-30,4.002
2022-03-31,3.904
2022-04-01,3.831
2022-04-02,3.831
2022-04-03,3.831
2022-04-04,4.027
2022-04-05,3.92
2022-04-06,3.845
2022-04-07,3.823
2022-04-08,3.824
2022-04-09,3.824
2022-04-10,3.824
2022-04-11,3.835
2022-04-12,3.872
2022-04-13,3.934
2022-04-14,3.948
2022-04-15,3.948
2022-04-16,3.948
2022-04-17,3.948
2022-04-18,3.939
2022-04-19,4.024
2022-04-20,4.146
2022-04-21,4.095
2022-04-22,3.932
2022-04-23,3.932
2022-04-24,3.932
2022-04-25,3.929
2022-04-26,3.733
2022-04-27,3.572
2022-04-28,3.678
2022-04-29,3.585
2022-04-30,3.585
2022-05-01,3.585
2022-05-02,3.637
2022-05-03,3.664
2022-05-04,3.758
2022-05-05,3.641
2022-05-06,3.58
2022-05-07,3.58
2022-05-08,3.58
2022-05-09,3.507
2022-05-10,3.432
2022-05-11,3.331
2022-05-12,3.369
2022-05-13,3.386
2022-05-14,3.386
2022-05-15,3.386
2022-05-16,3.376
2022-05-17,3.508
2022-05-18,3.511
2022-05-19,3.406
2022-05-20,3.349
2022-05-21,3.349
2022-05-22,3.349
2022-05-23,3.385
2022-05-24,3.362
2022-05-25,3.381
2022-05-26,3.519
2022-05-27,3.562
2022-05-28,3.562
2022-05-29,3.562
2022-05-30,3.562
2022-05-31,3.57
2022-06-01,3.483
2022-06-02,3.564
2022-06-03,3.515
2022-06-04,3.515
2022-06-05,3.515
2022-06-06,3.579
2022-06-07,3.717
2022-06-08,3.57
2022-06-09,3.515
2022-06-10,3.416
2022-06-11,3.416
2022-06-12,3.416
2022-06-13,3.265
2022-06-14,3.256
2022-06-15,3.298
2022-06-16,3.135
2022-06-17,3.117
2022-06-18,3.117
2022-06-19,3.117
2022-06-20,3.117
2022-06-21,3.137
2022-06-22,3.17
2022-06-23,3.14
2022-06-24,3.279
2022-06-25,3.279
2022-06-26,3.279
2022-06-27,3.252
2022-06-28,3.251
2022-06-29,3.197
2022-06-30,3.24
2022-07-01,3.265
2022-07-02,3.265
2022-07-03,3.265
2022-07-04,3.265
2022-07-05,3.279
2022-07-06,3.294
2022-07-07,3.354
2022-07-08,3.332
2022-07-09,3.332
2022-07-10,3.332
2022-07-11,3.33
2022-07-12,3.325
2022-07-13,3.261
2022-07-14,3.232
2022-07-15,3.297
2022-07-16,3.297
2022-07-17,3.297
2022-07-18,3.273
2022-07-19,3.412
2022-07-20,3.449
2022-07-21,3.514
2022-07-22,3.484
2022-07-23,3.484
2022-07-24,3.484
2022-07-25,3.572
2022-07-26,3.493
2022-07-27,3.56
2022-07-28,3.663
2022-07-29,3.759
2022-07-30,3.759
2022-07-31,3.759
2022-08-01,3.74
2022-08-02,3.732
2022-08-03,3.761
2022-08-04,3.822
2022-08-05,3.793
2022-08-06,3.793
2022-08-07,3.793
2022-08-08,3.798
2022-08-09,3.775
2022-08-10,3.849
2022-08-11,3.908
2022-08-12,4.008
2022-08-13,4.008
2022-08-14,4.008
2022-08-15,4.022
2022-08-16,4.101
2022-08-17,4.003
2022-08-18,4.04
2022-08-19,3.958
2022-08-20,3.958
2022-08-21,3.958
2022-08-22,3.877
2022-08-23,3.888
2022-08-24,3.89
2022-08-25,3.918
2022-08-26,3.74
2022-08-27,3.74
2022-08-28,3.74
2022-08-29,3.702
2022-08-30,3.65
2022-08-31,3.614
2022-09-01,3.575
2022-09-02,3.567
2022-09-03,3.567
2022-09-04,3.567
2022-09-05,3.567
2022-09-06,3.557
2022-09-07,3.636
2022-09-08,3.654
2022-09-09,3.677
2022-09-10,3.677
2022-09-11,3.677
2022-09-12,3.793
2022-09-13,3.603
2022-09-14,3.58
2022-09-15,3.555
2022-09-16,3.479
2022-09-17,3.479
2022-09-18,3.479
2022-09-19,3.509
2022-09-20,3.46
2022-09-21,3.424
2022-09-22,3.363
2022-09-23,3.309
2022-09-24,3.309
2022-09-25,3.309
2022-09-26,3.294
2022-09-27,3.297
2022-09-28,3.367
2022-09-29,3.348
2022-09-30,3.353
2022-10-01,3.353
2022-10-02,3.353
2022-10-03,3.46
2022-10-04,3.636
2022-10-05,3.634
2022-10-06,3.692
2022-10-07,3.592
2022-10-08,3.592
2022-10-09,3.592
2022-10-10,3.619
2022-10-11,3.622
2022-10-12,3.621
2022-10-13,3.704
2022-10-14,3.651
2022-10-15,3.651
2022-10-16,3.651
2022-10-17,3.707
2022-10-18,3.835
2022-10-19,3.808
2022-10-20,3.713
2022-10-21,3.834
2022-10-22,3.834
2022-10-23,3.834
2022-10-24,3.842
2022-10-25,3.778
2022-10-26,3.757
2022-10-27,3.783
2022-10-28,3.889
2022-10-29,3.889
2022-10-30,3.889
2022-10-31,3.888
2022-11-01,3.988
2022-11-02,3.838
2022-11-03,3.907
2022-11-04,4.013
2022-11-05,4.013
2022-11-06,4.013
2022-11-07,4.052
2022-11-08,3.998
2022-11-09,3.915
2022-11-10,4.031
2022-11-11,4.039
2022-11-12,4.039
2022-11-13,4.039
2022-11-14,4.083
2022-11-15,4.094
2022-11-16,4.056
2022-11-17,3.984
2022-11-18,4.061
2022-11-19,4.061
2022-11-20,4.061
2022-11-21,4.032
2022-11-22,4.046
2022-11-23,4.106
2022-11-24,4.106
2022-11-25,4.164
2022-11-26,4.164
2022-11-27,4.164
2022-11-28,4.08
2022-11-29,4.062
2022-11-30,4.124
2022-12-01,4.222
2022-12-02,4.115
2022-12-03,4.115
2022-12-04,4.115
2022-12-05,3.98
2022-12-06,3.937
2022-12-07,3.93
2022-12-08,3.942
2022-12-09,3.875
2022-12-10,3.875
2022-12-11,3.875
2022-12-12,4.009
2022-12-13,4.03
2022-12-14,4.01
2022-12-15,3.829
2022-12-16,3.747
2022-12-17,3.747
2022-12-18,3.747
2022-12-19,3.769
2022-12-20,3.784
2022-12-21,3.885
2022-12-22,3.849
2022-12-23,3.862
2022-12-24,3.862
2022-12-25,3.862
2022-12-26,3.862
2022-12-27,3.902
2022-12-28,3.809
2022-12-29,3.904
2022-12-30,3.9
2022-12-31,3.9
2023-01-01,3.9
2023-01-02,3.9
2023-01-03,3.934
2023-01-04,3.965
2023-01-05,3.98
2023-01-06,4.048
2023-01-07,4.048
2023-01-08,4.048
2023-01-09,4.076
2023-01-10,4.105
2023-01-11,4.114
2023-01-12,4.202
2023-01-13,4.191
2023-01-14,4.191
2023-01-15,4.191
2023-01-16,4.191
2023-01-17,4.218
2023-01-18,4.17
2023-01-19,4.104
2023-01-20,4.203
2023-01-21,4.203
2023-01-22,4.203
2023-01-23,4.278
2023-01-24,4.49
2023-01-25,4.516
2023-01-26,4.633
2023-01-27,4.492
2023-01-28,4.492
2023-01-29,4.492
2023-01-30,4.513
2023-01-31,4.593
2023-02-01,4.606
2023-02-02,4.657
2023-02-03,4.695
2023-02-04,4.695
2023-02-05,4.695
2023-02-06,4.71
2023-02-07,4.728
2023-02-08,4.704
2023-02-09,4.653
2023-02-10,4.681
2023-02-11,4.681
2023-02-12,4.681
2023-02-13,4.747
2023-02-14,4.747
2023-02-15,4.749
2023-02-16,4.722
2023-02-17,4.737
2023-02-18,4.737
2023-02-19,4.737
2023-02-20,4.737
2023-02-21,4.603
2023-02-22,4.627
2023-02-23,4.651
2023-02-24,4.646
2023-02-25,4.646
2023-02-26,4.646
2023-02-27,4.698
2023-02-28,4.732
2023-03-01,4.778
2023-03-02,4.835
2023-03-03,4.873
2023-03-04,4.873
2023-03-05,4.873
2023-03-06,4.807
2023-03-07,4.706
2023-03-08,4.719
2023-03-09,4.642
2023-03-10,4.448
2023-03-11,4.448
2023-03-12,4.448
2023-03-13,4.477
2023-03-14,4.706
2023-03-15,4.458
2023-03-16,4.498
2023-03-17,4.423
2023-03-18,4.423
2023-03-19,4.423
2023-03-20,4.518
2023-03-21,4.496
2023-03-22,4.4
2023-03-23,4.332
2023-03-24,4.197
2023-03-25,4.197
2023-03-26,4.197
2023-03-27,4.279
2023-03-28,4.25
2023-03-29,4.416
2023-03-30,4.353
2023-03-31,4.408
2023-04-01,4.408
2023-04-02,4.408
2023-04-03,4.444
2023-04-04,4.643
2023-04-05,4.698
2023-04-06,4.985
2023-04-07,4.985
2023-04-08,4.985
2023-04-09,4.985
2023-04-10,5.039
2023-04-11,5.175
2023-04-12,5.341
2023-04-13,5.227
2023-04-14,5.21
2023-04-15,5.21
2023-04-16,5.21
2023-04-17,5.269
2023-04-18,5.56
2023-04-19,5.577
2023-04-20,5.601
2023-04-21,5.589
2023-04-22,5.589
2023-04-23,5.589
2023-04-24,5.484
2023-04-25,5.338
2023-04-26,5.293
2023-04-27,5.401
2023-04-28,5.387
2023-04-29,5.387
2023-04-30,5.387
2023-05-01,5.429
2023-05-02,5.473
2023-05-03,5.394
2023-05-04,5.31
2023-05-05,5.453
2023-05-06,5.453
2023-05-07,5.453
2023-05-08,5.574
2023-05-09,5.677
2023-05-10,5.696
2023-05-11,11.325
2023-05-12,11.366
2023-05-13,11.366
2023-05-14,11.366
2023-05-15,11.761
2023-05-16,11.854
2023-05-17,11.998
2023-05-18,12.227
2023-05-19,12.497
2023-05-20,12.497
2023-05-21,12.497
2023-05-22,12.394
2023-05-23,12.271
2023-05-24,12.161
2023-05-25,12.248
2023-05-26,12.413
2023-05-27,12.413
2023-05-28,12.413
2023-05-29,12.413
2023-05-30,12.551
2023-05-31,12.287
2023-06-01,12.544
2023-06-02,12.814
2023-06-03,12.814
2023-06-04,12.814
2023-06-05,12.46
2023-06-06,12.908
2023-06-07,13.288
2023-06-08,13.197
2023-06-09,13.106
2023-06-10,13.106
2023-06-11,13.106
2023-06-12,12.97
2023-06-13,13.091
2023-06-14,13.026
2023-06-15,12.928
2023-06-16,12.803
2023-06-17,12.803
2023-06-18,12.803
2023-06-19,12.803
2023-06-20,12.68
2023-06-21,12.891
2023-06-22,12.582
2023-06-23,12.68
2023-06-24,12.68
2023-06-25,12.68
2023-06-26,12.784
2023-06-27,12.903
2023-06-28,12.931
2023-06-29,13.124
2023-06-30,13.124
2023-07-01,13.124
2023-07-02,13.124
2023-07-03,12.928
2023-07-04,12.928
2023-07-05,12.875
2023-07-06,12.842
2023-07-07,13.096
2023-07-08,13.096
2023-07-09,13.096
2023-07-10,13.338
2023-07-11,13.345
2023-07-12,13.275
2023-07-13,13.396
2023-07-14,13.121
2023-07-15,13.121
2023-07-16,13.121
2023-07-17,13.354
2023-07-18,13.64
2023-07-19,13.547
2023-07-20,13.303
2023-07-21,13.163
2023-07-22,13.163
2023-07-23,13.163
2023-07-24,13.277
2023-07-25,13.384
2023-07-26,13.475
2023-07-27,13.459
2023-07-28,13.293
2023-07-29,13.293
2023-07-30,13.293
2023-07-31,13.754
2023-08-01,13.735
2023-08-02,13.426
2023-08-03,13.491
2023-08-04,13.173
2023-08-05,13.173
2023-08-06,13.173
2023-08-07,13.359
2023-08-08,14.295
2023-08-09,13.8
2023-08-10,13.884
2023-08-11,13.723
2023-08-12,13.723
2023-08-13,13.723
2023-08-14,13.789
2023-08-15,13.729
2023-08-16,13.725
2023-08-17,13.513
2023-08-18,13.568
