,CCK US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,12.695
2020-07-24,12.663
2020-07-25,12.663
2020-07-26,12.663
2020-07-27,12.971
2020-07-28,12.697
2020-07-29,12.958
2020-07-30,12.895
2020-07-31,12.82
2020-08-01,12.82
2020-08-02,12.82
2020-08-03,12.997
2020-08-04,13.006
2020-08-05,13.1
2020-08-06,13.175
2020-08-07,13.28
2020-08-08,13.28
2020-08-09,13.28
2020-08-10,13.221
2020-08-11,13.173
2020-08-12,13.46
2020-08-13,13.76
2020-08-14,13.676
2020-08-15,13.676
2020-08-16,13.676
2020-08-17,13.662
2020-08-18,13.512
2020-08-19,13.34
2020-08-20,13.318
2020-08-21,13.427
2020-08-22,13.427
2020-08-23,13.427
2020-08-24,13.51
2020-08-25,13.488
2020-08-26,13.782
2020-08-27,13.786
2020-08-28,13.825
2020-08-29,13.825
2020-08-30,13.825
2020-08-31,13.764
2020-09-01,14.038
2020-09-02,14.362
2020-09-03,13.99
2020-09-04,13.854
2020-09-05,13.854
2020-09-06,13.854
2020-09-07,13.854
2020-09-08,13.327
2020-09-09,13.522
2020-09-10,13.354
2020-09-11,13.529
2020-09-12,13.529
2020-09-13,13.529
2020-09-14,13.565
2020-09-15,13.565
2020-09-16,13.703
2020-09-17,13.64
2020-09-18,11.516
2020-09-19,11.516
2020-09-20,11.516
2020-09-21,11.199
2020-09-22,11.366
2020-09-23,11.197
2020-09-24,11.303
2020-09-25,11.451
2020-09-26,11.451
2020-09-27,11.451
2020-09-28,11.689
2020-09-29,11.689
2020-09-30,11.765
2020-10-01,11.63
2020-10-02,11.742
2020-10-03,11.742
2020-10-04,11.742
2020-10-05,12.038
2020-10-06,11.952
2020-10-07,12.252
2020-10-08,12.583
2020-10-09,12.498
2020-10-10,12.498
2020-10-11,12.498
2020-10-12,12.506
2020-10-13,12.523
2020-10-14,11.251
2020-10-15,11.327
2020-10-16,10.788
2020-10-17,10.788
2020-10-18,10.788
2020-10-19,10.622
2020-10-20,11.247
2020-10-21,10.855
2020-10-22,11.006
2020-10-23,10.879
2020-10-24,10.879
2020-10-25,10.879
2020-10-26,10.616
2020-10-27,10.575
