,JPM US Equity
,BEST_PE_RATIO
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,6.144
2020-07-25,6.144
2020-07-26,6.144
2020-07-27,6.058
2020-07-28,6.084
2020-07-29,6.232
2020-07-30,6.066
2020-07-31,6.042
2020-08-01,6.042
2020-08-02,6.042
2020-08-03,6.008
2020-08-04,5.974
2020-08-05,6.077
2020-08-06,6.079
2020-08-07,6.213
2020-08-08,6.213
2020-08-09,6.213
2020-08-10,6.292
2020-08-11,6.491
2020-08-12,6.436
2020-08-13,6.4
2020-08-14,6.403
2020-08-15,6.403
2020-08-16,6.403
2020-08-17,6.234
2020-08-18,6.147
2020-08-19,6.161
2020-08-20,6.087
2020-08-21,6.084
2020-08-22,6.084
2020-08-23,6.084
2020-08-24,6.256
2020-08-25,6.283
2020-08-26,6.195
2020-08-27,6.399
2020-08-28,6.425
2020-08-29,6.425
2020-08-30,6.425
2020-08-31,6.264
2020-09-01,6.261
2020-09-02,6.355
2020-09-03,6.335
2020-09-04,6.472
2020-09-05,6.472
2020-09-06,6.472
2020-09-07,6.472
2020-09-08,6.247
2020-09-09,6.306
2020-09-10,6.241
2020-09-11,6.319
2020-09-12,6.319
2020-09-13,6.319
2020-09-14,6.406
2020-09-15,6.207
2020-09-16,6.233
2020-09-17,6.162
2020-09-18,6.149
2020-09-19,6.149
2020-09-20,6.149
2020-09-21,5.959
2020-09-22,5.894
2020-09-23,5.798
2020-09-24,5.793
2020-09-25,5.844
2020-09-26,5.844
2020-09-27,5.844
2020-09-28,6.012
2020-09-29,5.961
2020-09-30,6.019
2020-10-01,6.062
2020-10-02,6.12
2020-10-03,6.12
2020-10-04,6.12
2020-10-05,6.249
2020-10-06,6.185
2020-10-07,6.293
2020-10-08,6.422
2020-10-09,6.386
2020-10-10,6.386
2020-10-11,6.386
2020-10-12,6.464
2020-10-13,6.359
2020-10-14,6.324
2020-10-15,6.418
2020-10-16,6.405
2020-10-17,6.405
2020-10-18,6.405
2020-10-19,6.297
2020-10-20,6.333
2020-10-21,6.27
2020-10-22,6.492
2020-10-23,6.55
2020-10-24,6.55
2020-10-25,6.55
2020-10-26,6.388
2020-10-27,6.268
