,DISH US Equity
,BEST_PE_RATIO
2020-01-01,68.212
2020-01-02,68.721
2020-01-03,69.0
2020-01-04,69.0
2020-01-05,69.0
2020-01-06,68.538
2020-01-07,68.346
2020-01-08,68.25
2020-01-09,68.423
2020-01-10,68.0
2020-01-11,68.0
2020-01-12,68.0
2020-01-13,69.346
2020-01-14,70.365
2020-01-15,70.5
2020-01-16,70.808
2020-01-17,70.75
2020-01-18,70.75
2020-01-19,70.75
2020-01-20,70.75
2020-01-21,70.673
2020-01-22,70.673
2020-01-23,70.942
2020-01-24,70.654
2020-01-25,70.654
2020-01-26,70.654
2020-01-27,70.673
2020-01-28,70.673
2020-01-29,70.673
2020-01-30,71.346
2020-01-31,70.692
2020-02-01,70.692
2020-02-02,70.692
2020-02-03,70.673
2020-02-04,70.731
2020-02-05,72.962
2020-02-06,70.962
2020-02-07,70.731
2020-02-08,70.731
2020-02-09,70.731
2020-02-10,70.865
2020-02-11,75.923
2020-02-12,77.135
2020-02-13,77.269
2020-02-14,76.865
2020-02-15,76.865
2020-02-16,76.865
2020-02-17,76.865
2020-02-18,79.404
2020-02-19,17.704
2020-02-20,20.531
2020-02-21,20.396
2020-02-22,20.396
2020-02-23,20.396
2020-02-24,19.209
2020-02-25,18.838
2020-02-26,18.187
2020-02-27,16.765
2020-02-28,16.785
2020-02-29,16.785
2020-03-01,16.785
2020-03-02,17.191
2020-03-03,16.435
2020-03-04,16.96
2020-03-05,15.739
2020-03-06,14.627
2020-03-07,14.627
2020-03-08,14.627
2020-03-09,12.484
2020-03-10,13.19
2020-03-11,11.808
2020-03-12,9.94
2020-03-13,10.811
2020-03-14,10.811
2020-03-15,10.811
2020-03-16,9.409
2020-03-17,10.456
2020-03-18,9.384
2020-03-19,10.951
2020-03-20,10.0
2020-03-21,10.0
2020-03-22,10.0
2020-03-23,9.089
2020-03-24,10.386
2020-03-25,10.336
2020-03-26,11.177
2020-03-27,10.506
2020-03-28,10.506
2020-03-29,10.506
2020-03-30,10.381
2020-03-31,10.01
2020-04-01,8.026
2020-04-02,8.137
2020-04-03,8.146
2020-04-04,8.146
2020-04-05,8.146
2020-04-06,9.06
2020-04-07,8.914
2020-04-08,9.348
2020-04-09,9.901
2020-04-10,9.901
2020-04-11,9.901
2020-04-12,9.901
2020-04-13,40.741
2020-04-14,41.315
2020-04-15,39.056
2020-04-16,39.509
2020-04-17,41.704
2020-04-18,41.704
2020-04-19,41.704
2020-04-20,41.13
2020-04-21,39.944
