,EXEL US Equity,EXEL US Equity,EXEL US Equity,EXEL US Equity,EXEL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,19.86,20.07,19.47,19.67,2690807.0
2019-01-02,19.28,20.01,19.17,19.93,2897317.0
2019-01-03,19.93,20.0,19.13,19.6,4692628.0
2019-01-04,19.96,20.82,19.83,20.73,6101836.0
2019-01-05,19.96,20.82,19.83,20.73,6101836.0
2019-01-06,19.96,20.82,19.83,20.73,6101836.0
2019-01-07,21.03,22.01,20.97,21.9,4551559.0
2019-01-08,22.4,23.44,21.92,23.28,6114925.0
2019-01-09,23.38,23.86,22.86,23.67,4372404.0
2019-01-10,23.54,24.1,23.06,24.07,3628556.0
2019-01-11,23.94,24.25,23.37,23.76,4010066.0
2019-01-12,23.94,24.25,23.37,23.76,4010066.0
2019-01-13,23.94,24.25,23.37,23.76,4010066.0
2019-01-14,23.53,23.7,22.84,22.86,4046759.0
2019-01-15,23.22,24.19,22.71,24.05,6390692.0
2019-01-16,24.06,24.065,22.9,22.93,4154952.0
2019-01-17,22.9,23.58,22.76,22.82,4333354.0
2019-01-18,22.9,23.03,22.23,22.65,5942769.0
2019-01-19,22.9,23.03,22.23,22.65,5942769.0
2019-01-20,22.9,23.03,22.23,22.65,5942769.0
2019-01-21,22.9,23.03,22.23,22.65,5942769.0
2019-01-22,22.46,22.63,21.8,22.11,3650370.0
2019-01-23,22.13,22.31,21.61,22.12,5206331.0
2019-01-24,22.19,22.7569,22.19,22.64,3439295.0
2019-01-25,22.88,23.29,22.24,23.27,4239815.0
2019-01-26,22.88,23.29,22.24,23.27,4239815.0
2019-01-27,22.88,23.29,22.24,23.27,4239815.0
2019-01-28,23.05,23.44,22.6,23.07,3807440.0
2019-01-29,23.18,23.315,22.64,23.13,2686652.0
2019-01-30,23.33,23.39,22.7973,23.3,3089832.0
2019-01-31,23.29,23.82,23.25,23.57,4536942.0
2019-02-01,23.56,23.72,23.41,23.59,3945896.0
2019-02-02,23.56,23.72,23.41,23.59,3945896.0
2019-02-03,23.56,23.72,23.41,23.59,3945896.0
2019-02-04,23.64,23.69,23.0,23.21,2838135.0
2019-02-05,23.26,23.65,22.635,22.78,3844927.0
2019-02-06,22.73,23.04,22.575,22.6,3433307.0
2019-02-07,22.44,22.44,21.1,21.22,6138399.0
2019-02-08,21.01,21.3325,20.73,21.27,4571065.0
2019-02-09,21.01,21.3325,20.73,21.27,4571065.0
2019-02-10,21.01,21.3325,20.73,21.27,4571065.0
2019-02-11,21.3,21.56,20.8779,20.98,3282433.0
2019-02-12,21.13,21.92,21.013,21.68,6210927.0
2019-02-13,23.15,23.59,21.37,22.05,10182604.0
2019-02-14,22.0,22.66,21.38,22.3,5323668.0
2019-02-15,22.34,22.66,22.0,22.26,4092050.0
2019-02-16,22.34,22.66,22.0,22.26,4092050.0
2019-02-17,22.34,22.66,22.0,22.26,4092050.0
2019-02-18,22.34,22.66,22.0,22.26,4092050.0
2019-02-19,22.1,22.13,21.205,21.35,4847267.0
2019-02-20,21.36,21.67,20.7,21.24,3957368.0
2019-02-21,21.21,21.48,21.06,21.22,2082281.0
2019-02-22,21.22,21.52,21.065,21.52,1846966.0
2019-02-23,21.22,21.52,21.065,21.52,1846966.0
2019-02-24,21.22,21.52,21.065,21.52,1846966.0
2019-02-25,21.7,22.5,21.53,22.37,3887774.0
2019-02-26,22.32,22.88,22.09,22.49,2704538.0
