,NVRI US Equity,NVRI US Equity,NVRI US Equity,NVRI US Equity,NVRI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,20.1,20.2712,19.52,19.86,607763.0
2019-01-02,19.35,20.275,19.1641,20.24,557473.0
2019-01-03,19.95,20.05,19.1,19.23,354537.0
2019-01-04,19.66,20.49,19.53,20.29,643020.0
2019-01-05,19.66,20.49,19.53,20.29,643020.0
2019-01-06,19.66,20.49,19.53,20.29,643020.0
2019-01-07,20.29,20.9,20.1,20.45,380917.0
2019-01-08,20.78,21.05,20.36,20.84,323696.0
2019-01-09,20.98,21.98,20.98,21.73,536079.0
2019-01-10,21.39,21.75,21.23,21.69,309318.0
2019-01-11,21.39,21.815,21.15,21.75,258657.0
2019-01-12,21.39,21.815,21.15,21.75,258657.0
2019-01-13,21.39,21.815,21.15,21.75,258657.0
2019-01-14,21.5,21.6933,21.39,21.55,516186.0
2019-01-15,21.59,22.07,21.41,21.8,569771.0
2019-01-16,21.81,22.06,21.54,21.92,321559.0
2019-01-17,21.69,22.48,21.69,22.45,881064.0
2019-01-18,22.73,23.14,22.69,22.82,670008.0
2019-01-19,22.73,23.14,22.69,22.82,670008.0
2019-01-20,22.73,23.14,22.69,22.82,670008.0
2019-01-21,22.73,23.14,22.69,22.82,670008.0
2019-01-22,22.3,22.66,21.96,22.08,487874.0
2019-01-23,22.32,22.56,21.76,21.91,341480.0
2019-01-24,21.91,22.13,21.8019,21.88,281566.0
2019-01-25,22.2,22.43,21.56,21.6,368481.0
2019-01-26,22.2,22.43,21.56,21.6,368481.0
2019-01-27,22.2,22.43,21.56,21.6,368481.0
2019-01-28,21.16,21.1765,20.25,20.33,634831.0
2019-01-29,20.54,21.07,20.33,21.02,526874.0
2019-01-30,21.34,21.41,20.73,21.2,322811.0
2019-01-31,21.14,21.49,21.06,21.3,375387.0
2019-02-01,21.3,21.48,20.98,21.3,387005.0
2019-02-02,21.3,21.48,20.98,21.3,387005.0
