,ABG US Equity,ABG US Equity,ABG US Equity,ABG US Equity,ABG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,65.97,66.76,65.065,66.66,111051.0
2019-01-02,65.71,68.46,65.71,68.12,252935.0
2019-01-03,67.7,68.5,66.77,67.84,154084.0
2019-01-04,68.57,69.18,67.67,68.47,227180.0
2019-01-05,68.57,69.18,67.67,68.47,227180.0
2019-01-06,68.57,69.18,67.67,68.47,227180.0
2019-01-07,67.9,71.07,67.9,70.66,321297.0
2019-01-08,71.2,71.2,69.1,69.83,459163.0
2019-01-09,70.06,71.2,70.0,70.59,124918.0
2019-01-10,69.51,69.58,67.6425,68.96,316106.0
2019-01-11,68.76,70.19,67.88,69.64,145467.0
2019-01-12,68.76,70.19,67.88,69.64,145467.0
2019-01-13,68.76,70.19,67.88,69.64,145467.0
2019-01-14,69.13,69.9,68.32,69.12,217109.0
2019-01-15,69.17,70.085,67.82,69.39,217454.0
2019-01-16,69.23,70.21,69.1,70.02,125844.0
2019-01-17,69.92,72.13,69.69,71.09,196607.0
2019-01-18,71.78,72.84,71.5062,72.63,436862.0
2019-01-19,71.78,72.84,71.5062,72.63,436862.0
2019-01-20,71.78,72.84,71.5062,72.63,436862.0
2019-01-21,71.78,72.84,71.5062,72.63,436862.0
2019-01-22,72.16,72.5799,69.99,70.52,150559.0
2019-01-23,70.72,70.98,68.98,69.32,167028.0
2019-01-24,69.33,69.7,68.21,68.92,247463.0
2019-01-25,69.47,70.39,69.04,69.88,93451.0
2019-01-26,69.47,70.39,69.04,69.88,93451.0
2019-01-27,69.47,70.39,69.04,69.88,93451.0
2019-01-28,68.76,70.58,68.63,69.56,101656.0
2019-01-29,69.68,69.68,68.64,69.1,79103.0
2019-01-30,69.39,70.37,68.74,70.22,191565.0
2019-01-31,69.84,70.99,69.53,70.65,264851.0
2019-02-01,70.48,70.69,69.8,70.51,277599.0
2019-02-02,70.48,70.69,69.8,70.51,277599.0
2019-02-03,70.48,70.69,69.8,70.51,277599.0
2019-02-04,70.58,72.22,69.81,72.15,252706.0
2019-02-05,72.49,72.86,71.38,72.46,139629.0
2019-02-06,75.1,75.82,71.3575,73.63,333953.0
2019-02-07,73.62,73.62,68.58,69.18,223429.0
2019-02-08,69.18,69.66,68.67,69.02,221781.0
2019-02-09,69.18,69.66,68.67,69.02,221781.0
2019-02-10,69.18,69.66,68.67,69.02,221781.0
2019-02-11,69.03,69.575,67.91,69.02,151487.0
2019-02-12,69.4,70.0,68.9,69.98,160392.0
2019-02-13,70.3,71.02,69.58,70.62,152244.0
2019-02-14,69.83,70.67,69.2,69.99,211199.0
2019-02-15,70.6,72.196,70.18,71.9,182581.0
2019-02-16,70.6,72.196,70.18,71.9,182581.0
2019-02-17,70.6,72.196,70.18,71.9,182581.0
2019-02-18,70.6,72.196,70.18,71.9,182581.0
2019-02-19,70.65,72.0,69.85,70.8,150286.0
2019-02-20,70.96,73.29,70.92,72.95,143532.0
2019-02-21,72.95,73.09,70.495,71.0,158737.0
2019-02-22,70.93,71.92,70.02,70.37,121616.0
2019-02-23,70.93,71.92,70.02,70.37,121616.0
2019-02-24,70.93,71.92,70.02,70.37,121616.0
2019-02-25,70.69,71.26,70.12,70.78,219886.0
2019-02-26,71.13,71.68,70.16,71.38,95834.0
2019-02-27,71.45,72.75,71.45,71.57,158336.0
2019-02-28,71.5,72.67,70.235,71.79,105913.0
2019-03-01,72.55,73.23,70.66,71.19,174128.0
2019-03-02,72.55,73.23,70.66,71.19,174128.0
2019-03-03,72.55,73.23,70.66,71.19,174128.0
2019-03-04,71.22,71.22,68.57,68.76,213844.0
2019-03-05,69.22,69.22,67.6,68.04,189758.0
2019-03-06,67.84,68.134,66.69,66.99,294134.0
2019-03-07,66.99,67.59,65.54,66.39,164840.0
2019-03-08,65.95,67.3,65.77,67.03,184347.0
2019-03-09,65.95,67.3,65.77,67.03,184347.0
2019-03-10,65.95,67.3,65.77,67.03,184347.0
2019-03-11,66.86,67.94,66.68,67.63,118797.0
2019-03-12,68.08,68.24,67.38,68.0,111773.0
2019-03-13,68.24,69.48,68.24,69.0,143187.0
2019-03-14,68.52,68.715,67.79,67.85,83488.0
