,CSIQ US Equity,CSIQ US Equity,CSIQ US Equity,CSIQ US Equity,CSIQ US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,29.0,29.44,28.81,28.82,686547.0
2010-01-02,29.0,29.44,28.81,28.82,686547.0
2010-01-03,29.0,29.44,28.81,28.82,686547.0
2010-01-04,29.11,30.99,29.11,30.99,1593759.0
2010-01-05,31.12,32.89,30.87,32.71,1995230.0
2010-01-06,32.87,33.6799,32.15,32.35,1735130.0
2010-01-07,32.13,32.58,30.87,31.39,1856250.0
2010-01-08,31.48,32.88,31.2,32.68,1392284.0
2010-01-09,31.48,32.88,31.2,32.68,1392284.0
2010-01-10,31.48,32.88,31.2,32.68,1392284.0
2010-01-11,33.19,33.49,31.98,32.56,1220986.0
2010-01-12,31.91,31.9199,30.1,30.47,2017993.0
2010-01-13,30.53,31.14,28.69,30.74,2268809.0
2010-01-14,30.76,32.09,27.44,28.01,5305287.0
2010-01-15,28.21,28.255,25.77,25.93,5491729.0
2010-01-16,28.21,28.255,25.77,25.93,5491729.0
2010-01-17,28.21,28.255,25.77,25.93,5491729.0
2010-01-18,28.21,28.255,25.77,25.93,5491729.0
2010-01-19,25.5,26.74,25.13,26.32,3842479.0
2010-01-20,25.96,26.88,25.13,25.86,3011742.0
2010-01-21,25.9,26.3,23.88,24.17,4196647.0
2010-01-22,23.75,24.0,21.54,21.66,4451782.0
2010-01-23,23.75,24.0,21.54,21.66,4451782.0
2010-01-24,23.75,24.0,21.54,21.66,4451782.0
2010-01-25,22.03,23.25,21.82,22.346,2981819.0
2010-01-26,22.45,23.8,21.85,23.04,2930804.0
2010-01-27,23.64,23.8,21.67,22.38,3197510.0
2010-01-28,22.9,22.97,21.28,21.76,1613561.0
2010-01-29,22.08,22.79,20.84,21.13,2158718.0
2010-01-30,22.08,22.79,20.84,21.13,2158718.0
2010-01-31,22.08,22.79,20.84,21.13,2158718.0
2010-02-01,21.24,22.25,21.11,22.22,2086352.0
2010-02-02,22.33,23.03,22.26,23.03,1962541.0
2010-02-03,23.3,23.9,22.68,23.22,2392380.0
2010-02-04,22.72,22.8,20.95,21.07,2478262.0
2010-02-05,20.82,22.12,20.48,22.02,2807859.0
2010-02-06,20.82,22.12,20.48,22.02,2807859.0
2010-02-07,20.82,22.12,20.48,22.02,2807859.0
2010-02-08,22.0,22.0,20.59,20.66,2237623.0
2010-02-09,21.19,21.54,20.9,21.43,1729363.0
2010-02-10,21.62,22.0,20.48,21.28,1733411.0
2010-02-11,21.76,22.8,20.87,22.68,3482424.0
2010-02-12,22.3,23.47,21.68,23.0,3600903.0
2010-02-13,22.3,23.47,21.68,23.0,3600903.0
2010-02-14,22.3,23.47,21.68,23.0,3600903.0
2010-02-15,22.3,23.47,21.68,23.0,3600903.0
2010-02-16,23.4,24.7792,23.33,24.7,2448037.0
2010-02-17,25.18,25.44,23.75,24.34,2057061.0
2010-02-18,24.11,24.74,23.68,24.74,1475093.0
2010-02-19,22.01,22.1,20.61,20.85,6764259.0
2010-02-20,22.01,22.1,20.61,20.85,6764259.0
