,AX US Equity,AX US Equity,AX US Equity,AX US Equity,AX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,24.89,25.34,24.58,25.18,460722.0
2019-01-02,24.93,25.67,24.82,25.25,478823.0
2019-01-03,25.07,25.48,24.57,25.05,295963.0
2019-01-04,25.39,26.29,25.145,25.89,535634.0
2019-01-05,25.39,26.29,25.145,25.89,535634.0
2019-01-06,25.39,26.29,25.145,25.89,535634.0
2019-01-07,26.01,26.66,25.72,26.54,466525.0
2019-01-08,26.94,26.99,26.0,26.52,473981.0
2019-01-09,26.52,27.17,26.52,27.0,385541.0
2019-01-10,27.09,27.42,26.69,27.0,441373.0
2019-01-11,26.93,27.69,26.83,27.56,363383.0
2019-01-12,26.93,27.69,26.83,27.56,363383.0
2019-01-13,26.93,27.69,26.83,27.56,363383.0
2019-01-14,27.45,27.645,27.16,27.3,402253.0
2019-01-15,27.29,27.37,26.88,27.25,293322.0
2019-01-16,27.59,28.16,27.51,27.93,398668.0
2019-01-17,27.76,27.76,27.15,27.46,619494.0
2019-01-18,27.59,28.34,27.54,27.8,378349.0
2019-01-19,27.59,28.34,27.54,27.8,378349.0
2019-01-20,27.59,28.34,27.54,27.8,378349.0
2019-01-21,27.59,28.34,27.54,27.8,378349.0
2019-01-22,27.71,28.0,27.01,27.16,433599.0
2019-01-23,27.05,27.66,27.0,27.36,556335.0
2019-01-24,27.3,28.0,27.3,27.79,698710.0
2019-01-25,28.02,28.32,27.89,28.11,690049.0
2019-01-26,28.02,28.32,27.89,28.11,690049.0
2019-01-27,28.02,28.32,27.89,28.11,690049.0
2019-01-28,28.12,28.72,28.05,28.5,757538.0
2019-01-29,28.85,29.29,28.35,28.6,452016.0
2019-01-30,28.39,31.22,28.355,30.71,997870.0
2019-01-31,30.66,31.18,30.27,30.36,657015.0
2019-02-01,30.3,31.41,30.12,31.28,543508.0
2019-02-02,30.3,31.41,30.12,31.28,543508.0
2019-02-03,30.3,31.41,30.12,31.28,543508.0
2019-02-04,31.35,31.78,31.04,31.77,415587.0
