,NMIH US Equity,NMIH US Equity,NMIH US Equity,NMIH US Equity,NMIH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,17.68,17.89,17.41,17.85,324336.0
2019-01-02,17.57,18.08,17.42,17.86,260903.0
2019-01-03,17.82,17.99,17.38,17.47,201055.0
2019-01-04,17.74,18.25,17.74,18.14,279439.0
2019-01-05,17.74,18.25,17.74,18.14,279439.0
2019-01-06,17.74,18.25,17.74,18.14,279439.0
2019-01-07,18.14,18.46,17.96,18.26,318656.0
2019-01-08,18.42,18.6,18.23,18.5,420981.0
2019-01-09,18.6,18.8325,18.1877,18.55,517897.0
2019-01-10,18.47,19.15,18.372,19.11,298670.0
2019-01-11,19.04,19.16,18.71,19.08,388400.0
2019-01-12,19.04,19.16,18.71,19.08,388400.0
2019-01-13,19.04,19.16,18.71,19.08,388400.0
2019-01-14,18.99,19.46,18.96,19.1,524651.0
2019-01-15,19.21,19.47,19.02,19.46,283265.0
2019-01-16,19.5,19.89,19.49,19.84,275268.0
2019-01-17,19.76,20.0,19.6,19.8,387056.0
2019-01-18,19.9,20.03,19.48,20.0,366521.0
2019-01-19,19.9,20.03,19.48,20.0,366521.0
2019-01-20,19.9,20.03,19.48,20.0,366521.0
2019-01-21,19.9,20.03,19.48,20.0,366521.0
2019-01-22,19.89,20.03,19.6,19.85,439883.0
2019-01-23,19.89,20.61,19.87,20.53,452351.0
2019-01-24,20.53,20.99,20.53,20.88,496916.0
2019-01-25,21.0,21.79,20.93,21.7,484052.0
2019-01-26,21.0,21.79,20.93,21.7,484052.0
2019-01-27,21.0,21.79,20.93,21.7,484052.0
2019-01-28,21.53,21.72,21.47,21.55,310931.0
2019-01-29,21.63,21.925,21.3202,21.76,441797.0
2019-01-30,21.96,21.97,21.3245,21.67,421402.0
2019-01-31,21.68,22.02,21.63,22.0,332242.0
2019-02-01,22.0,22.25,21.91,22.22,396029.0
2019-02-02,22.0,22.25,21.91,22.22,396029.0
2019-02-03,22.0,22.25,21.91,22.22,396029.0
2019-02-04,22.24,22.385,22.1465,22.3,461990.0
2019-02-05,22.3,22.3,21.67,21.94,270625.0
2019-02-06,21.97,22.04,21.77,21.95,202625.0
2019-02-07,21.93,22.14,21.8,21.98,177837.0
2019-02-08,21.87,21.92,21.5,21.88,224658.0
2019-02-09,21.87,21.92,21.5,21.88,224658.0
2019-02-10,21.87,21.92,21.5,21.88,224658.0
2019-02-11,22.01,22.24,21.9,22.16,309821.0
2019-02-12,22.33,22.71,22.25,22.6,429107.0
2019-02-13,22.49,23.31,21.94,22.19,576559.0
2019-02-14,22.11,22.97,22.06,22.79,334877.0
2019-02-15,23.0,24.16,23.0,23.79,495863.0
2019-02-16,23.0,24.16,23.0,23.79,495863.0
2019-02-17,23.0,24.16,23.0,23.79,495863.0
2019-02-18,23.0,24.16,23.0,23.79,495863.0
2019-02-19,23.78,24.37,23.53,24.36,427038.0
2019-02-20,24.28,24.81,24.09,24.75,552692.0
2019-02-21,24.72,24.97,24.57,24.64,376283.0
2019-02-22,24.76,24.95,24.4,24.73,375708.0
2019-02-23,24.76,24.95,24.4,24.73,375708.0
2019-02-24,24.76,24.95,24.4,24.73,375708.0
2019-02-25,24.94,24.96,24.09,24.21,385142.0
2019-02-26,24.09,24.42,24.04,24.31,223130.0
2019-02-27,24.25,24.48,24.05,24.39,179315.0
2019-02-28,24.4,24.47,24.11,24.15,328811.0
2019-03-01,24.34,24.58,24.11,24.42,479896.0
2019-03-02,24.34,24.58,24.11,24.42,479896.0
2019-03-03,24.34,24.58,24.11,24.42,479896.0
2019-03-04,24.37,24.55,24.25,24.33,296895.0
2019-03-05,24.29,24.67,24.145,24.53,290160.0
2019-03-06,24.59,24.98,24.5285,24.79,652345.0
2019-03-07,24.82,24.924,24.47,24.73,418683.0
2019-03-08,24.48,24.81,24.02,24.74,731933.0
2019-03-09,24.48,24.81,24.02,24.74,731933.0
2019-03-10,24.48,24.81,24.02,24.74,731933.0
2019-03-11,24.8,25.51,24.68,25.48,633742.0
2019-03-12,25.5,26.19,25.5,25.91,780499.0
2019-03-13,26.05,26.28,25.7901,26.15,320133.0
2019-03-14,26.14,26.2366,25.82,25.93,263407.0
2019-03-15,25.84,26.11,25.66,25.73,807200.0
2019-03-16,25.84,26.11,25.66,25.73,807200.0
2019-03-17,25.84,26.11,25.66,25.73,807200.0
2019-03-18,25.78,26.48,25.78,26.19,643768.0
2019-03-19,26.31,26.53,25.91,25.93,319984.0
2019-03-20,25.92,26.24,25.62,25.78,386449.0
2019-03-21,25.54,26.5,25.39,26.47,588459.0
2019-03-22,26.31,26.31,25.25,25.3,468057.0
2019-03-23,26.31,26.31,25.25,25.3,468057.0
2019-03-24,26.31,26.31,25.25,25.3,468057.0
2019-03-25,25.3,25.36,24.6066,25.1,451906.0
2019-03-26,25.24,25.64,24.27,25.59,333597.0
2019-03-27,25.51,25.67,25.0,25.52,236611.0
2019-03-28,25.53,26.26,25.5169,26.23,280053.0
2019-03-29,26.45,26.56,25.67,25.87,545841.0
2019-03-30,26.45,26.56,25.67,25.87,545841.0
2019-03-31,26.45,26.56,25.67,25.87,545841.0
2019-04-01,26.07,26.83,26.05,26.68,422908.0
2019-04-02,26.66,27.12,26.56,27.05,558315.0
2019-04-03,27.23,27.35,26.06,26.2,448635.0
2019-04-04,26.25,26.76,26.05,26.64,501589.0
2019-04-05,26.65,27.0,26.48,26.92,395133.0
2019-04-06,26.65,27.0,26.48,26.92,395133.0
2019-04-07,26.65,27.0,26.48,26.92,395133.0
2019-04-08,26.91,27.65,26.85,27.63,294272.0
2019-04-09,27.47,27.8075,26.46,26.55,1256244.0
2019-04-10,26.75,27.17,26.62,27.0,1142703.0
2019-04-11,27.08,27.45,26.88,27.01,603964.0
2019-04-12,26.78,27.195,26.31,26.96,686953.0
2019-04-13,26.78,27.195,26.31,26.96,686953.0
2019-04-14,26.78,27.195,26.31,26.96,686953.0
2019-04-15,27.06,27.27,26.76,26.99,295999.0
2019-04-16,27.13,27.49,26.965,27.34,389956.0
2019-04-17,27.37,27.4,27.01,27.08,233666.0
2019-04-18,27.23,27.3128,26.43,26.49,406984.0
2019-04-19,27.23,27.3128,26.43,26.49,406984.0
2019-04-20,27.23,27.3128,26.43,26.49,406984.0
2019-04-21,27.23,27.3128,26.43,26.49,406984.0
2019-04-22,26.4,26.9,26.23,26.82,366918.0
2019-04-23,27.02,27.46,26.94,27.33,455521.0
2019-04-24,27.36,27.96,27.29,27.71,427541.0
2019-04-25,27.66,28.02,27.4,27.97,207113.0
2019-04-26,28.1,28.59,27.89,28.14,401134.0
2019-04-27,28.1,28.59,27.89,28.14,401134.0
2019-04-28,28.1,28.59,27.89,28.14,401134.0
2019-04-29,28.29,28.4063,27.975,28.04,604447.0
2019-04-30,28.12,28.23,27.8,28.08,362668.0
2019-05-01,28.32,28.53,27.81,27.84,551512.0
2019-05-02,28.85,28.85,27.78,28.08,391485.0
2019-05-03,28.13,28.18,26.98,27.4,728089.0
2019-05-04,28.13,28.18,26.98,27.4,728089.0
2019-05-05,28.13,28.18,26.98,27.4,728089.0
2019-05-06,26.86,28.3869,26.59,28.14,551031.0
2019-05-07,27.89,28.09,27.09,27.43,397173.0
2019-05-08,27.43,27.5464,27.1,27.28,226355.0
2019-05-09,27.06,27.63,26.6801,27.56,348951.0
