,BALY US Equity,BALY US Equity,BALY US Equity,BALY US Equity,BALY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,,,,,
2019-01-02,,,,,
2019-01-03,,,,,
2019-01-04,,,,,
2019-01-05,,,,,
2019-01-06,,,,,
2019-01-07,,,,,
2019-01-08,,,,,
2019-01-09,,,,,
2019-01-10,,,,,
2019-01-11,,,,,
2019-01-12,,,,,
2019-01-13,,,,,
2019-01-14,,,,,
2019-01-15,,,,,
2019-01-16,,,,,
2019-01-17,,,,,
2019-01-18,,,,,
2019-01-19,,,,,
2019-01-20,,,,,
2019-01-21,,,,,
2019-01-22,,,,,
2019-01-23,,,,,
2019-01-24,,,,,
2019-01-25,,,,,
2019-01-26,,,,,
2019-01-27,,,,,
2019-01-28,,,,,
2019-01-29,,,,,
2019-01-30,,,,,
2019-01-31,,,,,
2019-02-01,,,,,
2019-02-02,,,,,
2019-02-03,,,,,
2019-02-04,,,,,
2019-02-05,,,,,
2019-02-06,,,,,
2019-02-07,,,,,
2019-02-08,,,,,
2019-02-09,,,,,
2019-02-10,,,,,
2019-02-11,,,,,
2019-02-12,,,,,
2019-02-13,,,,,
2019-02-14,,,,,
2019-02-15,,,,,
2019-02-16,,,,,
2019-02-17,,,,,
2019-02-18,,,,,
2019-02-19,,,,,
2019-02-20,,,,,
2019-02-21,,,,,
2019-02-22,,,,,
2019-02-23,,,,,
2019-02-24,,,,,
2019-02-25,,,,,
2019-02-26,,,,,
2019-02-27,,,,,
2019-02-28,,,,,
2019-03-01,,,,,
2019-03-02,,,,,
2019-03-03,,,,,
2019-03-04,,,,,
2019-03-05,,,,,
2019-03-06,,,,,
2019-03-07,,,,,
2019-03-08,,,,,
2019-03-09,,,,,
2019-03-10,,,,,
2019-03-11,,,,,
2019-03-12,,,,,
2019-03-13,,,,,
2019-03-14,,,,,
2019-03-15,,,,,
2019-03-16,,,,,
2019-03-17,,,,,
2019-03-18,,,,,
2019-03-19,,,,,
2019-03-20,,,,,
2019-03-21,,,,,
2019-03-22,,,,,
2019-03-23,,,,,
2019-03-24,,,,,
2019-03-25,,,,,
2019-03-26,,,,,
2019-03-27,,,,,
2019-03-28,,,,,
2019-03-29,28.6579,29.5967,28.6579,29.5967,61185.0
