,CFR US Equity
2021-05-18,5.44
2021-05-19,5.44
2021-05-20,5.44
2021-05-21,5.44
2021-05-22,5.44
2021-05-23,5.44
2021-05-24,5.44
2021-05-25,5.44
2021-05-26,5.44
2021-05-27,5.44
2021-05-28,5.44
2021-05-29,5.44
2021-05-30,5.44
2021-05-31,5.44
2021-06-01,5.44
2021-06-02,5.44
2021-06-03,5.44
2021-06-04,5.44
2021-06-05,5.44
2021-06-06,5.44
2021-06-07,5.44
2021-06-08,5.44
2021-06-09,5.44
2021-06-10,5.44
2021-06-11,5.44
2021-06-12,5.44
2021-06-13,5.44
2021-06-14,5.44
2021-06-15,5.44
2021-06-16,5.44
2021-06-17,5.44
2021-06-18,5.44
2021-06-19,5.44
2021-06-20,5.44
2021-06-21,5.44
2021-06-22,5.44
2021-06-23,5.44
2021-06-24,5.44
2021-06-25,5.44
2021-06-26,5.44
2021-06-27,5.44
2021-06-28,5.44
2021-06-29,5.44
2021-06-30,5.44
2021-07-01,5.44
2021-07-02,5.44
2021-07-03,5.44
2021-07-04,5.44
2021-07-05,5.44
2021-07-06,5.44
2021-07-07,5.44
2021-07-08,5.44
2021-07-09,5.44
2021-07-10,5.44
2021-07-11,5.44
2021-07-12,5.44
2021-07-13,5.44
2021-07-14,5.44
2021-07-15,5.44
2021-07-16,5.44
2021-07-17,5.44
2021-07-18,5.44
2021-07-19,5.44
2021-07-20,5.44
2021-07-21,5.44
2021-07-22,5.44
2021-07-23,5.44
2021-07-24,5.44
2021-07-25,5.44
2021-07-26,5.44
2021-07-27,5.44
2021-07-28,5.44
2021-07-29,5.44
2021-07-30,5.44
2021-07-31,5.44
2021-08-01,5.44
2021-08-02,5.44
2021-08-03,5.44
2021-08-04,5.44
2021-08-05,5.44
2021-08-06,5.44
2021-08-07,5.44
2021-08-08,5.44
2021-08-09,5.44
2021-08-10,5.44
2021-08-11,5.44
2021-08-12,5.44
2021-08-13,5.44
2021-08-14,5.44
2021-08-15,5.44
2021-08-16,5.44
2021-08-17,5.44
2021-08-18,5.44
2021-08-19,5.44
2021-08-20,5.44
2021-08-21,5.44
2021-08-22,5.44
2021-08-23,5.44
2021-08-24,5.44
2021-08-25,5.44
2021-08-26,5.44
2021-08-27,5.44
2021-08-28,5.44
2021-08-29,5.44
2021-08-30,5.44
2021-08-31,5.44
2021-09-01,5.44
2021-09-02,5.44
2021-09-03,5.44
2021-09-04,5.44
2021-09-05,5.44
2021-09-06,5.44
2021-09-07,5.44
2021-09-08,5.44
2021-09-09,5.44
2021-09-10,5.44
2021-09-11,5.44
2021-09-12,5.44
2021-09-13,5.44
2021-09-14,5.44
2021-09-15,5.44
2021-09-16,5.44
2021-09-17,5.44
2021-09-18,5.44
2021-09-19,5.44
2021-09-20,5.44
2021-09-21,5.44
2021-09-22,5.44
2021-09-23,5.44
2021-09-24,5.44
2021-09-25,5.44
2021-09-26,5.44
2021-09-27,5.44
2021-09-28,5.44
2021-09-29,5.44
2021-09-30,5.44
2021-10-01,5.44
2021-10-02,5.44
2021-10-03,5.44
2021-10-04,5.44
2021-10-05,5.44
2021-10-06,5.44
2021-10-07,5.44
2021-10-08,5.44
2021-10-09,5.44
2021-10-10,5.44
2021-10-11,5.44
2021-10-12,5.44
2021-10-13,5.44
2021-10-14,5.44
2021-10-15,5.44
2021-10-16,5.44
2021-10-17,5.44
2021-10-18,5.44
2021-10-19,5.44
2021-10-20,5.44
2021-10-21,5.44
2021-10-22,5.44
2021-10-23,5.44
2021-10-24,5.44
2021-10-25,5.44
2021-10-26,5.44
2021-10-27,5.44
2021-10-28,5.44
2021-10-29,8.04
2021-10-30,8.04
2021-10-31,8.04
2021-11-01,8.04
2021-11-02,8.04
2021-11-03,8.04
2021-11-04,8.04
2021-11-05,8.04
2021-11-06,8.04
2021-11-07,8.04
2021-11-08,8.04
2021-11-09,8.04
2021-11-10,8.04
2021-11-11,8.04
2021-11-12,8.04
2021-11-13,8.04
2021-11-14,8.04
2021-11-15,8.04
2021-11-16,8.04
2021-11-17,8.04
2021-11-18,8.04
2021-11-19,8.04
2021-11-20,8.04
2021-11-21,8.04
2021-11-22,8.04
2021-11-23,8.04
2021-11-24,8.04
2021-11-25,8.04
2021-11-26,8.04
2021-11-27,8.04
2021-11-28,8.04
2021-11-29,8.04
2021-11-30,7.25
2021-12-01,7.25
2021-12-02,7.25
2021-12-03,7.25
2021-12-04,7.25
2021-12-05,7.25
2021-12-06,7.25
2021-12-07,7.25
2021-12-08,7.25
2021-12-09,7.25
2021-12-10,7.25
2021-12-11,7.25
2021-12-12,7.25
2021-12-13,7.25
2021-12-14,7.25
2021-12-15,7.25
2021-12-16,7.25
2021-12-17,7.25
2021-12-18,7.25
2021-12-19,7.25
2021-12-20,7.25
2021-12-21,7.25
2021-12-22,7.25
2021-12-23,7.25
2021-12-24,7.25
2021-12-25,7.25
2021-12-26,7.25
2021-12-27,7.25
2021-12-28,7.25
2021-12-29,7.25
2021-12-30,7.25
2021-12-31,7.25
2022-01-01,7.25
2022-01-02,7.25
2022-01-03,7.25
2022-01-04,7.25
2022-01-05,7.25
2022-01-06,7.25
2022-01-07,7.25
2022-01-08,7.25
2022-01-09,7.25
2022-01-10,7.25
2022-01-11,7.25
2022-01-12,7.25
2022-01-13,7.25
2022-01-14,7.25
2022-01-15,7.25
2022-01-16,7.25
2022-01-17,7.25
2022-01-18,7.25
2022-01-19,7.25
2022-01-20,7.25
2022-01-21,7.25
2022-01-22,7.25
2022-01-23,7.25
2022-01-24,7.25
2022-01-25,7.25
2022-01-26,7.25
2022-01-27,7.25
2022-01-28,7.25
2022-01-29,7.25
2022-01-30,7.25
2022-01-31,7.25
2022-02-01,7.25
2022-02-02,7.25
2022-02-03,7.25
2022-02-04,7.25
2022-02-05,7.25
2022-02-06,7.25
2022-02-07,7.25
2022-02-08,7.25
2022-02-09,7.25
2022-02-10,7.25
2022-02-11,9.58
2022-02-12,9.58
2022-02-13,9.58
2022-02-14,9.58
2022-02-15,9.58
2022-02-16,9.58
2022-02-17,9.58
2022-02-18,9.58
2022-02-19,9.58
2022-02-20,9.58
2022-02-21,9.58
2022-02-22,9.58
2022-02-23,9.58
2022-02-24,9.58
2022-02-25,9.58
2022-02-26,9.58
2022-02-27,9.58
2022-02-28,9.58
2022-03-01,9.58
2022-03-02,9.58
2022-03-03,9.58
2022-03-04,9.58
2022-03-05,9.58
2022-03-06,9.58
2022-03-07,9.58
2022-03-08,9.58
2022-03-09,9.58
2022-03-10,9.58
2022-03-11,9.58
2022-03-12,9.58
2022-03-13,9.58
2022-03-14,9.58
2022-03-15,9.58
2022-03-16,9.58
2022-03-17,9.58
2022-03-18,9.58
2022-03-19,9.58
2022-03-20,9.58
2022-03-21,9.58
2022-03-22,9.58
2022-03-23,9.58
2022-03-24,9.58
2022-03-25,9.58
2022-03-26,9.58
2022-03-27,9.58
2022-03-28,9.58
2022-03-29,9.58
2022-03-30,9.58
2022-03-31,9.58
2022-04-01,9.58
2022-04-02,9.58
2022-04-03,9.58
2022-04-04,9.58
2022-04-05,9.58
2022-04-06,9.58
2022-04-07,9.58
2022-04-08,9.58
2022-04-09,9.58
2022-04-10,9.58
2022-04-11,9.58
2022-04-12,9.58
2022-04-13,9.58
2022-04-14,9.58
2022-04-15,9.58
2022-04-16,9.58
2022-04-17,9.58
2022-04-18,9.58
2022-04-19,9.58
2022-04-20,9.58
2022-04-21,9.58
2022-04-22,9.58
2022-04-23,9.58
2022-04-24,9.58
2022-04-25,9.58
2022-04-26,9.58
2022-04-27,9.58
2022-04-28,9.58
2022-04-29,9.58
2022-04-30,9.58
2022-05-01,9.58
2022-05-02,9.58
2022-05-03,9.58
2022-05-04,9.58
2022-05-05,9.58
2022-05-06,10.29
2022-05-07,10.29
2022-05-08,10.29
2022-05-09,10.29
2022-05-10,10.29
2022-05-11,10.29
2022-05-12,10.29
2022-05-13,10.29
2022-05-14,10.29
2022-05-15,10.29
2022-05-16,10.29
2022-05-17,10.29
2022-05-18,10.29
2022-05-19,10.29
2022-05-20,10.29
2022-05-21,10.29
2022-05-22,10.29
2022-05-23,10.29
2022-05-24,10.29
2022-05-25,10.29
2022-05-26,10.29
2022-05-27,10.29
2022-05-28,10.29
2022-05-29,10.29
2022-05-30,10.29
2022-05-31,10.29
2022-06-01,10.29
2022-06-02,10.29
2022-06-03,10.29
2022-06-04,10.29
2022-06-05,10.29
2022-06-06,10.29
2022-06-07,10.29
2022-06-08,10.29
2022-06-09,10.29
2022-06-10,10.29
2022-06-11,10.29
2022-06-12,10.29
2022-06-13,10.29
2022-06-14,10.29
2022-06-15,10.29
2022-06-16,10.29
2022-06-17,10.29
2022-06-18,10.29
2022-06-19,10.29
2022-06-20,10.29
2022-06-21,10.29
2022-06-22,10.29
2022-06-23,10.29
2022-06-24,10.29
2022-06-25,10.29
2022-06-26,10.29
2022-06-27,10.29
2022-06-28,10.29
2022-06-29,10.29
2022-06-30,8.25
2022-07-01,9.1
2022-07-02,9.1
2022-07-03,9.1
2022-07-04,9.1
2022-07-05,9.1
2022-07-06,9.1
2022-07-07,9.1
2022-07-08,9.1
2022-07-09,9.1
2022-07-10,9.1
2022-07-11,9.1
2022-07-12,9.1
2022-07-13,9.1
2022-07-14,9.1
2022-07-15,9.1
2022-07-16,9.1
2022-07-17,9.1
2022-07-18,9.1
2022-07-19,9.1
2022-07-20,9.1
2022-07-21,9.1
2022-07-22,9.1
2022-07-23,9.1
2022-07-24,9.1
2022-07-25,9.1
2022-07-26,9.1
2022-07-27,9.1
2022-07-28,9.1
2022-07-29,9.313
2022-07-30,9.313
2022-07-31,9.313
2022-08-01,9.313
2022-08-02,9.468
2022-08-03,9.468
2022-08-04,9.468
2022-08-05,9.468
2022-08-06,9.468
2022-08-07,9.468
2022-08-08,9.468
2022-08-09,9.468
2022-08-10,9.468
2022-08-11,9.468
2022-08-12,9.468
2022-08-13,9.468
2022-08-14,9.468
2022-08-15,9.468
2022-08-16,9.468
2022-08-17,9.468
2022-08-18,9.468
2022-08-19,9.468
2022-08-20,9.468
2022-08-21,9.468
2022-08-22,9.228
2022-08-23,9.228
2022-08-24,9.228
2022-08-25,9.228
2022-08-26,9.228
2022-08-27,9.228
2022-08-28,9.228
2022-08-29,9.228
2022-08-30,9.228
2022-08-31,9.228
2022-09-01,9.228
2022-09-02,9.228
2022-09-03,9.228
2022-09-04,9.228
2022-09-05,9.228
2022-09-06,9.228
2022-09-07,9.228
2022-09-08,9.228
2022-09-09,9.228
2022-09-10,9.228
2022-09-11,9.228
2022-09-12,9.228
2022-09-13,9.228
2022-09-14,9.346
2022-09-15,9.346
2022-09-16,9.346
2022-09-17,9.346
2022-09-18,9.346
2022-09-19,9.346
2022-09-20,9.346
2022-09-21,9.346
2022-09-22,9.346
2022-09-23,9.346
2022-09-24,9.346
2022-09-25,9.346
2022-09-26,9.48
2022-09-27,9.48
2022-09-28,9.48
2022-09-29,9.873
2022-09-30,9.873
2022-10-01,9.873
2022-10-02,9.873
2022-10-03,9.873
2022-10-04,9.881
2022-10-05,9.881
2022-10-06,9.881
2022-10-07,9.881
2022-10-08,9.881
2022-10-09,9.881
2022-10-10,9.881
2022-10-11,9.696
2022-10-12,9.696
2022-10-13,9.696
2022-10-14,9.696
2022-10-15,9.696
2022-10-16,9.696
2022-10-17,9.696
2022-10-18,9.696
2022-10-19,9.696
2022-10-20,9.696
2022-10-21,9.696
2022-10-22,9.696
2022-10-23,9.696
2022-10-24,9.696
2022-10-25,9.696
2022-10-26,9.696
2022-10-27,10.137
2022-10-28,9.84
2022-10-29,9.84
2022-10-30,9.986
2022-10-31,10.141
2022-11-01,10.141
2022-11-02,10.141
2022-11-03,10.141
2022-11-04,10.141
2022-11-05,10.141
2022-11-06,10.141
2022-11-07,10.141
2022-11-08,10.141
2022-11-09,10.141
2022-11-10,10.141
2022-11-11,10.141
2022-11-12,10.141
2022-11-13,10.141
2022-11-14,10.141
2022-11-15,10.141
2022-11-16,10.141
2022-11-17,10.141
2022-11-18,10.141
2022-11-19,10.141
2022-11-20,10.141
2022-11-21,10.141
2022-11-22,10.141
2022-11-23,10.141
2022-11-24,10.141
2022-11-25,10.141
2022-11-26,10.141
2022-11-27,10.141
2022-11-28,10.141
2022-11-29,10.141
2022-11-30,10.141
2022-12-01,10.15
2022-12-02,10.15
2022-12-03,10.15
2022-12-04,10.15
2022-12-05,10.597
2022-12-06,10.655
2022-12-07,10.655
2022-12-08,10.655
2022-12-09,10.611
2022-12-10,10.611
2022-12-11,10.686
2022-12-12,10.686
2022-12-13,10.562
2022-12-14,10.562
2022-12-15,10.562
2022-12-16,10.562
2022-12-17,10.562
2022-12-18,10.562
2022-12-19,10.562
2022-12-20,10.584
2022-12-21,10.584
2022-12-22,10.584
2022-12-23,10.584
2022-12-24,10.584
2022-12-25,10.584
2022-12-26,10.584
2022-12-27,10.584
2022-12-28,10.584
2022-12-29,10.584
2022-12-30,10.584
2022-12-31,10.584
2023-01-01,10.584
2023-01-02,10.584
2023-01-03,10.526
2023-01-04,10.526
2023-01-05,10.526
2023-01-06,10.556
2023-01-07,10.556
2023-01-08,10.556
2023-01-09,10.628
2023-01-10,10.628
2023-01-11,10.628
2023-01-12,10.628
2023-01-13,10.628
2023-01-14,10.628
2023-01-15,10.628
2023-01-16,10.628
2023-01-17,10.628
2023-01-18,10.628
2023-01-19,10.628
2023-01-20,10.628
2023-01-21,10.628
2023-01-22,10.628
2023-01-23,10.628
2023-01-24,10.628
2023-01-25,10.628
2023-01-26,10.575
2023-01-27,10.521
2023-01-28,10.521
2023-01-29,10.501
2023-01-30,10.501
2023-01-31,10.501
2023-02-01,10.466
2023-02-02,10.466
2023-02-03,10.466
2023-02-04,10.466
2023-02-05,10.466
2023-02-06,10.451
2023-02-07,10.45
2023-02-08,10.45
2023-02-09,10.45
2023-02-10,10.45
2023-02-11,10.45
2023-02-12,10.45
2023-02-13,10.45
2023-02-14,10.45
2023-02-15,10.45
2023-02-16,10.45
2023-02-17,10.45
2023-02-18,10.45
2023-02-19,10.45
2023-02-20,10.45
2023-02-21,10.419
2023-02-22,10.419
2023-02-23,10.419
2023-02-24,10.419
2023-02-25,10.419
2023-02-26,10.419
2023-02-27,10.409
2023-02-28,10.409
2023-03-01,10.409
2023-03-02,10.409
2023-03-03,10.409
2023-03-04,10.409
2023-03-05,10.409
2023-03-06,10.409
2023-03-07,10.409
2023-03-08,10.426
2023-03-09,10.426
2023-03-10,10.426
2023-03-11,10.426
2023-03-12,10.453
2023-03-13,10.453
2023-03-14,10.453
2023-03-15,10.453
2023-03-16,10.426
2023-03-17,10.426
2023-03-18,10.426
2023-03-19,10.32
2023-03-20,10.32
2023-03-21,10.32
2023-03-22,10.32
2023-03-23,10.275
2023-03-24,10.231
2023-03-25,10.231
2023-03-26,10.231
2023-03-27,10.231
2023-03-28,10.234
2023-03-29,10.178
2023-03-30,10.131
2023-03-31,10.121
2023-04-01,10.121
2023-04-02,10.054
2023-04-03,10.008
2023-04-04,9.947
2023-04-05,9.876
2023-04-06,9.694
2023-04-07,9.694
2023-04-08,9.694
2023-04-09,9.694
2023-04-10,9.647
2023-04-11,9.503
2023-04-12,9.503
2023-04-13,9.503
2023-04-14,9.503
2023-04-15,9.503
2023-04-16,9.503
2023-04-17,9.503
2023-04-18,9.503
2023-04-19,9.503
2023-04-20,9.503
2023-04-21,9.503
2023-04-22,9.503
2023-04-23,9.503
2023-04-24,9.503
2023-04-25,9.503
2023-04-26,9.503
2023-04-27,9.465
2023-04-28,9.402
2023-04-29,9.402
2023-04-30,9.375
2023-05-01,9.397
2023-05-02,9.35
2023-05-03,9.35
2023-05-04,9.349
2023-05-05,9.349
2023-05-06,9.349
2023-05-07,9.349
2023-05-08,9.368
2023-05-09,9.368
2023-05-10,9.368
2023-05-11,9.315
2023-05-12,9.315
2023-05-13,9.315
2023-05-14,9.315
2023-05-15,9.315
2023-05-16,9.315
2023-05-17,9.315
2023-05-18,9.315
2023-05-19,9.315
2023-05-20,9.315
2023-05-21,9.315
2023-05-22,9.314
2023-05-23,9.314
2023-05-24,9.314
2023-05-25,9.314
2023-05-26,9.314
2023-05-27,9.314
2023-05-28,9.314
2023-05-29,9.314
2023-05-30,9.314
2023-05-31,9.314
2023-06-01,9.314
2023-06-02,9.314
2023-06-03,9.314
2023-06-04,9.314
2023-06-05,9.274
2023-06-06,9.276
2023-06-07,9.276
2023-06-08,9.276
2023-06-09,9.276
2023-06-10,9.276
2023-06-11,9.276
2023-06-12,9.276
2023-06-13,9.276
2023-06-14,9.276
2023-06-15,9.276
2023-06-16,9.276
2023-06-17,9.276
2023-06-18,9.276
2023-06-19,9.276
2023-06-20,9.294
2023-06-21,9.294
2023-06-22,9.294
2023-06-23,9.294
2023-06-24,9.294
2023-06-25,9.294
2023-06-26,9.198
2023-06-27,9.183
2023-06-28,9.183
2023-06-29,9.164
2023-06-30,9.162
2023-07-01,9.162
2023-07-02,9.162
2023-07-03,9.162
2023-07-04,9.162
2023-07-05,9.162
2023-07-06,9.162
2023-07-07,9.106
2023-07-08,9.106
2023-07-09,9.106
2023-07-10,9.106
2023-07-11,8.999
2023-07-12,8.999
2023-07-13,8.955
2023-07-14,8.955
2023-07-15,8.955
2023-07-16,8.955
2023-07-17,8.955
2023-07-18,8.955
2023-07-19,8.955
2023-07-20,8.955
2023-07-21,8.955
2023-07-22,8.955
2023-07-23,8.955
2023-07-24,8.955
2023-07-25,8.955
2023-07-26,8.955
2023-07-27,8.692
2023-07-28,8.697
2023-07-29,8.651
2023-07-30,8.609
2023-07-31,8.521
2023-08-01,8.507
2023-08-02,8.471
2023-08-03,8.415
2023-08-04,8.415
2023-08-05,8.415
2023-08-06,8.415
2023-08-07,8.432
2023-08-08,8.432
2023-08-09,8.402
2023-08-10,8.382
2023-08-11,8.382
2023-08-12,8.382
2023-08-13,8.382
2023-08-14,8.382
2023-08-15,8.382
2023-08-16,8.379
2023-08-17,8.379
2023-08-18,8.379
2023-08-19,8.379
2023-08-20,8.379
