,RSG US Equity
2021-04-25,5.187
2021-04-26,5.187
2021-04-27,5.187
2021-04-28,5.187
2021-04-29,5.187
2021-04-30,5.187
2021-05-01,5.187
2021-05-02,5.187
2021-05-03,5.187
2021-05-04,5.187
2021-05-05,5.187
2021-05-06,5.213
2021-05-07,5.213
2021-05-08,5.213
2021-05-09,5.213
2021-05-10,5.213
2021-05-11,5.213
2021-05-12,5.25
2021-05-13,5.25
2021-05-14,5.25
2021-05-15,5.25
2021-05-16,5.25
2021-05-17,5.25
2021-05-18,5.25
2021-05-19,5.25
2021-05-20,5.25
2021-05-21,5.25
2021-05-22,5.25
2021-05-23,5.25
2021-05-24,5.25
2021-05-25,5.25
2021-05-26,5.25
2021-05-27,5.25
2021-05-28,5.25
2021-05-29,5.25
2021-05-30,5.25
2021-05-31,5.25
2021-06-01,5.25
2021-06-02,5.25
2021-06-03,5.25
2021-06-04,5.25
2021-06-05,5.25
2021-06-06,5.25
2021-06-07,5.25
2021-06-08,5.25
2021-06-09,5.25
2021-06-10,5.25
2021-06-11,5.25
2021-06-12,5.25
2021-06-13,5.25
2021-06-14,5.25
2021-06-15,5.25
2021-06-16,5.25
2021-06-17,5.25
2021-06-18,5.25
2021-06-19,5.25
2021-06-20,5.25
2021-06-21,5.25
2021-06-22,5.25
2021-06-23,5.25
2021-06-24,5.25
2021-06-25,5.25
2021-06-26,5.25
2021-06-27,5.25
2021-06-28,5.25
2021-06-29,5.25
2021-06-30,5.25
2021-07-01,5.25
2021-07-02,5.25
2021-07-03,5.25
2021-07-04,5.25
2021-07-05,5.25
2021-07-06,5.25
2021-07-07,5.25
2021-07-08,5.25
2021-07-09,5.25
2021-07-10,5.25
2021-07-11,5.25
2021-07-12,5.25
2021-07-13,5.25
2021-07-14,5.25
2021-07-15,5.25
2021-07-16,5.25
2021-07-17,5.25
2021-07-18,5.25
2021-07-19,5.25
2021-07-20,5.25
2021-07-21,5.25
2021-07-22,5.25
2021-07-23,5.25
2021-07-24,5.25
2021-07-25,5.25
2021-07-26,5.25
2021-07-27,5.25
2021-07-28,5.25
2021-07-29,5.25
2021-07-30,5.407
2021-07-31,5.407
2021-08-01,5.407
2021-08-02,5.407
2021-08-03,5.407
2021-08-04,5.383
2021-08-05,5.383
2021-08-06,5.383
2021-08-07,5.383
2021-08-08,5.383
2021-08-09,5.383
2021-08-10,5.383
2021-08-11,5.383
2021-08-12,5.383
2021-08-13,5.383
2021-08-14,5.383
2021-08-15,5.383
2021-08-16,5.383
2021-08-17,5.383
2021-08-18,5.383
2021-08-19,5.383
2021-08-20,5.383
2021-08-21,5.383
2021-08-22,5.383
2021-08-23,5.383
2021-08-24,5.383
2021-08-25,5.383
2021-08-26,5.383
2021-08-27,5.383
2021-08-28,5.383
2021-08-29,5.383
2021-08-30,5.383
2021-08-31,5.383
2021-09-01,5.383
2021-09-02,5.383
2021-09-03,5.383
2021-09-04,5.383
2021-09-05,5.383
2021-09-06,5.383
2021-09-07,5.383
2021-09-08,5.383
2021-09-09,5.383
2021-09-10,5.383
2021-09-11,5.383
2021-09-12,5.383
2021-09-13,5.383
2021-09-14,5.383
2021-09-15,5.383
2021-09-16,5.383
2021-09-17,5.383
2021-09-18,5.383
2021-09-19,5.383
2021-09-20,5.383
2021-09-21,5.383
2021-09-22,5.383
2021-09-23,5.383
2021-09-24,5.383
2021-09-25,5.383
2021-09-26,5.383
2021-09-27,5.383
2021-09-28,5.383
2021-09-29,5.383
2021-09-30,5.383
2021-10-01,5.383
2021-10-02,5.383
2021-10-03,5.383
2021-10-04,5.383
2021-10-05,5.383
2021-10-06,5.383
2021-10-07,5.383
2021-10-08,5.383
2021-10-09,5.383
2021-10-10,5.383
2021-10-11,5.383
2021-10-12,5.383
2021-10-13,5.383
2021-10-14,5.383
2021-10-15,5.383
2021-10-16,5.383
2021-10-17,5.383
2021-10-18,5.383
2021-10-19,5.383
2021-10-20,5.383
2021-10-21,5.383
2021-10-22,5.383
2021-10-23,5.383
2021-10-24,5.383
2021-10-25,5.383
2021-10-26,5.383
2021-10-27,5.383
2021-10-28,5.383
2021-10-29,5.433
2021-10-30,5.483
2021-10-31,5.483
2021-11-01,5.483
2021-11-02,5.483
2021-11-03,5.483
2021-11-04,5.483
2021-11-05,5.483
2021-11-06,5.483
2021-11-07,5.483
2021-11-08,5.483
2021-11-09,5.483
2021-11-10,5.483
2021-11-11,5.483
2021-11-12,5.483
2021-11-13,5.483
2021-11-14,5.483
2021-11-15,5.483
2021-11-16,5.483
2021-11-17,5.483
2021-11-18,5.483
2021-11-19,5.483
2021-11-20,5.483
2021-11-21,5.483
2021-11-22,5.483
2021-11-23,5.483
2021-11-24,5.483
2021-11-25,5.483
2021-11-26,5.483
2021-11-27,5.483
2021-11-28,5.483
2021-11-29,5.483
2021-11-30,5.483
2021-12-01,5.483
2021-12-02,5.483
2021-12-03,5.483
2021-12-04,5.483
2021-12-05,5.483
2021-12-06,5.483
2021-12-07,5.483
2021-12-08,5.483
2021-12-09,5.483
2021-12-10,5.483
2021-12-11,5.483
2021-12-12,5.483
2021-12-13,5.483
2021-12-14,5.483
2021-12-15,5.483
2021-12-16,5.483
2021-12-17,5.483
2021-12-18,5.483
2021-12-19,5.483
2021-12-20,5.483
2021-12-21,5.483
2021-12-22,5.483
2021-12-23,5.483
2021-12-24,5.483
2021-12-25,5.483
2021-12-26,5.483
2021-12-27,5.483
2021-12-28,5.483
2021-12-29,5.483
2021-12-30,5.483
2021-12-31,5.483
2022-01-01,5.483
2022-01-02,5.483
2022-01-03,5.483
2022-01-04,5.483
2022-01-05,5.483
2022-01-06,5.483
2022-01-07,5.483
2022-01-08,5.483
2022-01-09,5.483
2022-01-10,5.14
2022-01-11,5.14
2022-01-12,5.14
2022-01-13,5.14
2022-01-14,5.14
2022-01-15,5.14
2022-01-16,5.14
2022-01-17,5.14
2022-01-18,5.14
2022-01-19,5.14
2022-01-20,5.14
2022-01-21,5.14
2022-01-22,5.14
2022-01-23,5.14
2022-01-24,5.14
2022-01-25,5.14
2022-01-26,5.14
2022-01-27,5.14
2022-01-28,5.14
2022-01-29,5.14
2022-01-30,5.14
2022-01-31,5.14
2022-02-01,5.14
2022-02-02,5.14
2022-02-03,5.14
2022-02-04,5.14
2022-02-05,5.14
2022-02-06,5.14
2022-02-07,5.14
2022-02-08,5.14
2022-02-09,5.14
2022-02-10,5.305
2022-02-11,5.53
2022-02-12,5.652
2022-02-13,5.652
2022-02-14,5.596
2022-02-15,5.596
2022-02-16,5.596
2022-02-17,5.596
2022-02-18,5.596
2022-02-19,5.596
2022-02-20,5.596
2022-02-21,5.596
2022-02-22,5.596
2022-02-23,5.596
2022-02-24,5.596
2022-02-25,5.596
2022-02-26,5.596
2022-02-27,5.596
2022-02-28,5.596
2022-03-01,5.596
2022-03-02,5.596
2022-03-03,5.596
2022-03-04,5.596
2022-03-05,5.596
2022-03-06,5.596
2022-03-07,5.596
2022-03-08,5.596
2022-03-09,5.596
2022-03-10,5.596
2022-03-11,5.596
2022-03-12,5.596
2022-03-13,5.596
2022-03-14,5.596
2022-03-15,5.596
2022-03-16,5.596
2022-03-17,5.596
2022-03-18,5.596
2022-03-19,5.596
2022-03-20,5.596
2022-03-21,5.596
2022-03-22,5.596
2022-03-23,5.596
2022-03-24,5.596
2022-03-25,5.596
2022-03-26,5.596
2022-03-27,5.596
2022-03-28,5.596
2022-03-29,5.596
2022-03-30,5.596
2022-03-31,5.596
2022-04-01,5.596
2022-04-02,5.596
2022-04-03,5.596
2022-04-04,5.596
2022-04-05,5.596
2022-04-06,5.596
2022-04-07,5.596
2022-04-08,5.596
2022-04-09,5.596
2022-04-10,5.596
2022-04-11,5.624
2022-04-12,5.624
2022-04-13,5.624
2022-04-14,5.624
2022-04-15,5.624
2022-04-16,5.624
2022-04-17,5.624
2022-04-18,5.624
2022-04-19,5.624
2022-04-20,5.624
2022-04-21,5.624
2022-04-22,5.624
2022-04-23,5.624
2022-04-24,5.624
2022-04-25,5.643
2022-04-26,5.643
2022-04-27,5.643
2022-04-28,5.643
2022-04-29,5.643
2022-04-30,5.643
2022-05-01,5.643
2022-05-02,5.643
2022-05-03,5.643
2022-05-04,5.643
2022-05-05,5.61
2022-05-06,5.656
2022-05-07,5.651
2022-05-08,5.684
2022-05-09,5.67
2022-05-10,5.75
2022-05-11,5.75
2022-05-12,5.75
2022-05-13,5.75
2022-05-14,5.75
2022-05-15,5.75
2022-05-16,5.75
2022-05-17,5.75
2022-05-18,5.75
2022-05-19,5.75
2022-05-20,5.75
2022-05-21,5.75
2022-05-22,5.75
2022-05-23,5.75
2022-05-24,5.75
2022-05-25,5.75
2022-05-26,5.75
2022-05-27,5.75
2022-05-28,5.75
2022-05-29,5.75
2022-05-30,5.75
2022-05-31,5.75
2022-06-01,5.75
2022-06-02,5.75
2022-06-03,5.75
2022-06-04,5.75
2022-06-05,5.75
2022-06-06,5.75
2022-06-07,5.75
2022-06-08,5.75
2022-06-09,5.75
2022-06-10,5.75
2022-06-11,5.75
2022-06-12,5.75
2022-06-13,5.75
2022-06-14,5.75
2022-06-15,5.75
2022-06-16,5.754
2022-06-17,5.754
2022-06-18,5.754
2022-06-19,5.754
2022-06-20,5.754
2022-06-21,5.754
2022-06-22,5.77
2022-06-23,5.77
2022-06-24,5.77
2022-06-25,5.77
2022-06-26,5.77
2022-06-27,5.77
2022-06-28,5.77
2022-06-29,5.77
2022-06-30,5.77
2022-07-01,5.77
2022-07-02,5.77
2022-07-03,5.77
2022-07-04,5.77
2022-07-05,5.77
2022-07-06,5.77
2022-07-07,5.77
2022-07-08,5.77
2022-07-09,5.77
2022-07-10,5.77
2022-07-11,5.77
2022-07-12,5.77
2022-07-13,5.77
2022-07-14,5.77
2022-07-15,5.77
2022-07-16,5.77
2022-07-17,5.77
2022-07-18,5.77
2022-07-19,5.757
2022-07-20,5.741
2022-07-21,5.741
2022-07-22,5.741
2022-07-23,5.741
2022-07-24,5.741
2022-07-25,5.731
2022-07-26,5.731
2022-07-27,5.731
2022-07-28,5.731
2022-07-29,5.731
2022-07-30,5.731
2022-07-31,5.731
2022-08-01,5.731
2022-08-02,5.731
2022-08-03,5.731
2022-08-04,5.831
2022-08-05,5.894
2022-08-06,5.895
2022-08-07,5.895
2022-08-08,5.938
2022-08-09,5.938
2022-08-10,5.938
2022-08-11,5.938
2022-08-12,5.938
2022-08-13,5.938
2022-08-14,5.938
2022-08-15,5.938
2022-08-16,5.938
2022-08-17,5.938
2022-08-18,5.938
2022-08-19,5.938
2022-08-20,5.938
2022-08-21,5.938
2022-08-22,5.938
2022-08-23,5.938
2022-08-24,5.938
2022-08-25,5.938
2022-08-26,5.938
2022-08-27,5.938
2022-08-28,5.938
2022-08-29,5.938
2022-08-30,5.938
2022-08-31,5.938
2022-09-01,5.938
2022-09-02,5.938
2022-09-03,5.938
2022-09-04,5.938
2022-09-05,5.938
2022-09-06,5.938
2022-09-07,5.938
2022-09-08,5.938
2022-09-09,5.938
2022-09-10,5.938
2022-09-11,5.938
2022-09-12,5.938
2022-09-13,5.938
2022-09-14,5.938
2022-09-15,5.938
2022-09-16,5.925
2022-09-17,5.925
2022-09-18,5.925
2022-09-19,5.925
2022-09-20,5.925
2022-09-21,5.925
2022-09-22,5.925
2022-09-23,5.925
2022-09-24,5.925
2022-09-25,5.925
2022-09-26,5.899
2022-09-27,5.902
2022-09-28,5.902
2022-09-29,5.902
2022-09-30,5.902
2022-10-01,5.902
2022-10-02,5.902
2022-10-03,5.902
2022-10-04,5.902
2022-10-05,5.902
2022-10-06,5.914
2022-10-07,5.914
2022-10-08,5.914
2022-10-09,5.914
2022-10-10,5.914
2022-10-11,5.914
2022-10-12,5.914
2022-10-13,5.873
2022-10-14,5.873
2022-10-15,5.873
2022-10-16,5.873
2022-10-17,5.873
2022-10-18,5.873
2022-10-19,5.873
2022-10-20,5.861
2022-10-21,5.875
2022-10-22,5.875
2022-10-23,5.875
2022-10-24,5.877
2022-10-25,5.877
2022-10-26,5.877
2022-10-27,5.773
2022-10-28,5.687
2022-10-29,5.693
2022-10-30,5.663
2022-10-31,5.663
2022-11-01,5.663
2022-11-02,5.664
2022-11-03,5.664
2022-11-04,5.664
2022-11-05,5.664
2022-11-06,5.664
2022-11-07,5.664
2022-11-08,5.664
2022-11-09,5.664
2022-11-10,5.664
2022-11-11,5.664
2022-11-12,5.664
2022-11-13,5.664
2022-11-14,5.664
2022-11-15,5.664
2022-11-16,5.664
2022-11-17,5.664
2022-11-18,5.664
2022-11-19,5.664
2022-11-20,5.664
2022-11-21,5.664
2022-11-22,5.664
2022-11-23,5.664
2022-11-24,5.664
2022-11-25,5.664
2022-11-26,5.664
2022-11-27,5.664
2022-11-28,5.664
2022-11-29,5.664
2022-11-30,5.664
2022-12-01,5.664
2022-12-02,5.664
2022-12-03,5.664
2022-12-04,5.664
2022-12-05,5.664
2022-12-06,5.656
2022-12-07,5.656
2022-12-08,5.656
2022-12-09,5.656
2022-12-10,5.656
2022-12-11,5.656
2022-12-12,5.656
2022-12-13,5.656
2022-12-14,5.656
2022-12-15,5.656
2022-12-16,5.656
2022-12-17,5.656
2022-12-18,5.656
2022-12-19,5.656
2022-12-20,5.656
2022-12-21,5.656
2022-12-22,5.656
2022-12-23,5.656
2022-12-24,5.656
2022-12-25,5.656
2022-12-26,5.656
2022-12-27,5.656
2022-12-28,5.656
2022-12-29,5.656
2022-12-30,5.656
2022-12-31,5.656
2023-01-01,5.656
2023-01-02,5.656
2023-01-03,5.656
2023-01-04,5.656
2023-01-05,5.656
2023-01-06,5.635
2023-01-07,5.635
2023-01-08,5.635
2023-01-09,5.635
2023-01-10,5.635
2023-01-11,5.635
2023-01-12,5.639
2023-01-13,5.639
2023-01-14,5.639
2023-01-15,5.639
2023-01-16,5.639
2023-01-17,5.639
2023-01-18,5.639
2023-01-19,5.639
2023-01-20,5.639
2023-01-21,5.639
2023-01-22,5.639
2023-01-23,5.641
2023-01-24,5.641
2023-01-25,5.641
2023-01-26,5.642
2023-01-27,5.642
2023-01-28,5.642
2023-01-29,5.642
2023-01-30,5.629
2023-01-31,5.658
2023-02-01,5.658
2023-02-02,5.658
2023-02-03,5.658
2023-02-04,5.658
2023-02-05,5.658
2023-02-06,5.658
2023-02-07,5.658
2023-02-08,5.658
2023-02-09,5.658
2023-02-10,5.658
2023-02-11,5.658
2023-02-12,5.658
2023-02-13,5.658
2023-02-14,5.658
2023-02-15,5.731
2023-02-16,5.777
2023-02-17,5.753
2023-02-18,5.753
2023-02-19,5.753
2023-02-20,5.753
2023-02-21,5.753
2023-02-22,5.753
2023-02-23,5.753
2023-02-24,5.753
2023-02-25,5.753
2023-02-26,5.753
2023-02-27,5.753
2023-02-28,5.753
2023-03-01,5.764
2023-03-02,5.764
2023-03-03,5.764
2023-03-04,5.764
2023-03-05,5.764
2023-03-06,5.764
2023-03-07,5.764
2023-03-08,5.764
2023-03-09,5.764
2023-03-10,5.764
2023-03-11,5.764
2023-03-12,5.764
2023-03-13,5.764
2023-03-14,5.764
2023-03-15,5.764
2023-03-16,5.764
2023-03-17,5.764
2023-03-18,5.764
2023-03-19,5.764
2023-03-20,5.764
2023-03-21,5.764
2023-03-22,5.772
2023-03-23,5.772
2023-03-24,5.772
2023-03-25,5.772
2023-03-26,5.772
2023-03-27,5.772
2023-03-28,5.771
2023-03-29,5.771
2023-03-30,5.776
2023-03-31,5.776
2023-04-01,5.776
2023-04-02,5.776
2023-04-03,5.776
2023-04-04,5.776
2023-04-05,5.776
2023-04-06,5.776
2023-04-07,5.776
2023-04-08,5.776
2023-04-09,5.776
2023-04-10,5.776
2023-04-11,5.776
2023-04-12,5.776
2023-04-13,5.776
2023-04-14,5.775
2023-04-15,5.775
2023-04-16,5.775
2023-04-17,5.768
2023-04-18,5.766
2023-04-19,5.766
2023-04-20,5.766
2023-04-21,5.766
2023-04-22,5.766
2023-04-23,5.766
2023-04-24,5.766
2023-04-25,5.765
2023-04-26,5.765
2023-04-27,5.775
2023-04-28,5.816
2023-04-29,5.827
2023-04-30,5.827
2023-05-01,5.827
2023-05-02,5.832
2023-05-03,5.832
2023-05-04,5.832
2023-05-05,5.832
2023-05-06,5.832
2023-05-07,5.832
2023-05-08,5.832
2023-05-09,5.832
2023-05-10,5.842
2023-05-11,5.842
2023-05-12,5.842
2023-05-13,5.842
2023-05-14,5.842
2023-05-15,5.842
2023-05-16,5.842
2023-05-17,5.842
2023-05-18,5.842
2023-05-19,5.842
2023-05-20,5.842
2023-05-21,5.842
2023-05-22,5.842
2023-05-23,5.842
2023-05-24,5.842
2023-05-25,5.842
2023-05-26,5.842
2023-05-27,5.842
2023-05-28,5.842
2023-05-29,5.842
2023-05-30,5.842
2023-05-31,5.842
2023-06-01,5.847
2023-06-02,5.847
2023-06-03,5.847
2023-06-04,5.847
2023-06-05,5.847
2023-06-06,5.853
2023-06-07,5.853
2023-06-08,5.846
2023-06-09,5.846
2023-06-10,5.846
2023-06-11,5.846
2023-06-12,5.846
2023-06-13,5.846
2023-06-14,5.846
2023-06-15,5.846
2023-06-16,5.846
2023-06-17,5.846
2023-06-18,5.846
2023-06-19,5.846
2023-06-20,5.846
2023-06-21,5.846
2023-06-22,5.846
2023-06-23,5.846
2023-06-24,5.846
2023-06-25,5.846
2023-06-26,5.846
2023-06-27,5.846
2023-06-28,5.846
2023-06-29,5.846
2023-06-30,5.846
2023-07-01,5.846
2023-07-02,5.846
2023-07-03,5.842
2023-07-04,5.842
2023-07-05,5.842
2023-07-06,5.842
2023-07-07,5.842
2023-07-08,5.842
2023-07-09,5.842
2023-07-10,5.84
2023-07-11,5.838
2023-07-12,5.841
2023-07-13,5.845
2023-07-14,5.846
2023-07-15,5.846
2023-07-16,5.846
2023-07-17,5.846
2023-07-18,5.846
2023-07-19,5.846
2023-07-20,5.829
2023-07-21,5.83
2023-07-22,5.83
2023-07-23,5.83
2023-07-24,5.832
2023-07-25,5.832
2023-07-26,5.832
2023-07-27,5.832
