,JPM US Equity
2021-05-16,13.587
2021-05-17,13.587
2021-05-18,13.587
2021-05-19,13.587
2021-05-20,13.587
2021-05-21,13.587
2021-05-22,13.587
2021-05-23,13.587
2021-05-24,13.587
2021-05-25,13.587
2021-05-26,13.587
2021-05-27,13.587
2021-05-28,13.587
2021-05-29,13.587
2021-05-30,13.587
2021-05-31,13.587
2021-06-01,13.587
2021-06-02,13.587
2021-06-03,13.587
2021-06-04,13.587
2021-06-05,13.587
2021-06-06,13.587
2021-06-07,13.587
2021-06-08,13.587
2021-06-09,13.587
2021-06-10,13.587
2021-06-11,13.587
2021-06-12,13.587
2021-06-13,13.587
2021-06-14,13.587
2021-06-15,13.587
2021-06-16,13.587
2021-06-17,13.587
2021-06-18,13.587
2021-06-19,13.587
2021-06-20,13.587
2021-06-21,13.587
2021-06-22,13.587
2021-06-23,13.587
2021-06-24,13.587
2021-06-25,13.587
2021-06-26,13.587
2021-06-27,13.587
2021-06-28,13.587
2021-06-29,13.587
2021-06-30,13.587
2021-07-01,13.587
2021-07-02,13.587
2021-07-03,13.587
2021-07-04,13.587
2021-07-05,13.587
2021-07-06,13.587
2021-07-07,13.587
2021-07-08,13.587
2021-07-09,13.587
2021-07-10,13.587
2021-07-11,13.587
2021-07-12,13.587
2021-07-13,13.637
2021-07-14,14.137
2021-07-15,14.137
2021-07-16,14.137
2021-07-17,14.137
2021-07-18,14.137
2021-07-19,14.137
2021-07-20,14.137
2021-07-21,14.137
2021-07-22,14.137
2021-07-23,14.137
2021-07-24,14.137
2021-07-25,14.137
2021-07-26,14.137
2021-07-27,14.137
2021-07-28,14.137
2021-07-29,14.137
2021-07-30,14.137
2021-07-31,14.137
2021-08-01,14.137
2021-08-02,14.137
2021-08-03,14.137
2021-08-04,14.137
2021-08-05,14.137
2021-08-06,14.137
2021-08-07,14.137
2021-08-08,14.137
2021-08-09,14.137
2021-08-10,14.137
2021-08-11,14.137
2021-08-12,14.137
2021-08-13,14.137
2021-08-14,14.137
2021-08-15,14.137
2021-08-16,14.137
2021-08-17,14.137
2021-08-18,14.137
2021-08-19,14.137
2021-08-20,14.137
2021-08-21,14.137
2021-08-22,14.137
2021-08-23,14.137
2021-08-24,14.137
2021-08-25,14.137
2021-08-26,14.137
2021-08-27,14.137
2021-08-28,14.137
2021-08-29,14.137
2021-08-30,14.137
2021-08-31,14.137
2021-09-01,14.137
2021-09-02,14.137
2021-09-03,14.137
2021-09-04,14.137
2021-09-05,14.137
2021-09-06,14.137
2021-09-07,14.137
2021-09-08,14.137
2021-09-09,14.137
2021-09-10,14.137
2021-09-11,14.137
2021-09-12,14.137
2021-09-13,14.137
2021-09-14,14.137
2021-09-15,14.137
2021-09-16,14.137
2021-09-17,14.137
2021-09-18,14.137
2021-09-19,14.137
2021-09-20,14.137
2021-09-21,14.137
2021-09-22,14.137
2021-09-23,14.137
2021-09-24,14.137
2021-09-25,14.137
2021-09-26,14.137
2021-09-27,14.137
2021-09-28,14.137
2021-09-29,14.137
2021-09-30,14.428
2021-10-01,14.428
2021-10-02,14.428
2021-10-03,14.428
2021-10-04,14.428
2021-10-05,14.428
2021-10-06,14.428
2021-10-07,14.428
2021-10-08,14.428
2021-10-09,14.428
2021-10-10,14.428
2021-10-11,14.428
2021-10-12,14.428
2021-10-13,14.42
2021-10-14,14.72
2021-10-15,14.72
2021-10-16,14.72
2021-10-17,14.72
2021-10-18,14.72
2021-10-19,14.72
2021-10-20,14.72
2021-10-21,14.72
2021-10-22,14.72
2021-10-23,14.72
2021-10-24,14.72
2021-10-25,14.808
2021-10-26,14.808
2021-10-27,14.808
2021-10-28,14.808
2021-10-29,14.808
2021-10-30,14.808
2021-10-31,14.808
2021-11-01,14.808
2021-11-02,14.808
2021-11-03,14.808
2021-11-04,14.808
2021-11-05,14.808
2021-11-06,14.808
2021-11-07,14.808
2021-11-08,14.808
2021-11-09,14.808
2021-11-10,14.808
2021-11-11,14.808
2021-11-12,14.808
2021-11-13,14.808
2021-11-14,14.808
2021-11-15,14.808
2021-11-16,14.808
2021-11-17,14.808
2021-11-18,14.808
2021-11-19,14.772
2021-11-20,14.772
2021-11-21,14.772
2021-11-22,14.772
2021-11-23,14.772
2021-11-24,14.772
2021-11-25,14.772
2021-11-26,14.772
2021-11-27,14.772
2021-11-28,14.772
2021-11-29,14.772
2021-11-30,14.772
2021-12-01,14.772
2021-12-02,14.772
2021-12-03,14.772
2021-12-04,14.772
2021-12-05,14.644
2021-12-06,14.644
2021-12-07,14.644
2021-12-08,14.644
2021-12-09,14.604
2021-12-10,14.604
2021-12-11,14.604
2021-12-12,14.604
2021-12-13,14.604
2021-12-14,14.604
2021-12-15,14.604
2021-12-16,14.604
2021-12-17,14.604
2021-12-18,14.604
2021-12-19,14.604
2021-12-20,14.604
2021-12-21,14.604
2021-12-22,14.604
2021-12-23,14.604
2021-12-24,14.604
2021-12-25,14.604
2021-12-26,14.604
2021-12-27,14.604
2021-12-28,14.604
2021-12-29,14.604
2021-12-30,14.604
2021-12-31,14.604
2022-01-01,14.604
2022-01-02,14.604
2022-01-03,14.604
2022-01-04,14.365
2022-01-05,14.463
2022-01-06,14.463
2022-01-07,14.463
2022-01-08,14.463
2022-01-09,14.463
2022-01-10,14.463
2022-01-11,14.463
2022-01-12,14.463
2022-01-13,14.487
2022-01-14,14.043
2022-01-15,14.043
2022-01-16,14.043
2022-01-17,14.053
2022-01-18,14.045
2022-01-19,14.068
2022-01-20,14.068
2022-01-21,14.083
2022-01-22,14.083
2022-01-23,14.139
2022-01-24,14.139
2022-01-25,14.103
2022-01-26,14.103
2022-01-27,14.103
2022-01-28,14.103
2022-01-29,14.129
2022-01-30,14.129
2022-01-31,14.129
2022-02-01,14.037
2022-02-02,14.037
2022-02-03,14.037
2022-02-04,14.037
2022-02-05,14.037
2022-02-06,14.037
2022-02-07,14.037
2022-02-08,14.037
2022-02-09,14.037
2022-02-10,14.037
2022-02-11,14.037
2022-02-12,14.037
2022-02-13,14.037
2022-02-14,14.037
2022-02-15,14.037
2022-02-16,14.037
2022-02-17,14.037
2022-02-18,14.037
2022-02-19,14.037
2022-02-20,14.037
2022-02-21,14.037
2022-02-22,14.037
2022-02-23,14.037
2022-02-24,14.037
2022-02-25,14.037
2022-02-26,14.037
2022-02-27,14.037
2022-02-28,13.949
2022-03-01,14.025
2022-03-02,14.025
2022-03-03,14.025
2022-03-04,14.025
2022-03-05,14.025
2022-03-06,14.025
2022-03-07,14.025
2022-03-08,14.025
2022-03-09,14.025
2022-03-10,14.025
2022-03-11,14.025
2022-03-12,14.025
2022-03-13,14.025
2022-03-14,14.014
2022-03-15,14.014
2022-03-16,14.014
2022-03-17,14.014
2022-03-18,14.014
2022-03-19,14.014
2022-03-20,14.014
2022-03-21,14.014
2022-03-22,14.045
2022-03-23,14.045
2022-03-24,14.045
2022-03-25,14.071
2022-03-26,14.071
2022-03-27,14.071
2022-03-28,14.058
2022-03-29,14.058
2022-03-30,14.016
2022-03-31,14.0
2022-04-01,14.0
2022-04-02,14.0
2022-04-03,14.0
2022-04-04,13.955
2022-04-05,13.955
2022-04-06,13.951
2022-04-07,13.951
2022-04-08,13.874
2022-04-09,13.874
2022-04-10,13.876
2022-04-11,13.855
2022-04-12,13.811
2022-04-13,13.874
2022-04-14,13.839
2022-04-15,13.839
2022-04-16,13.839
2022-04-17,13.839
2022-04-18,13.839
2022-04-19,13.784
2022-04-20,13.784
2022-04-21,13.784
2022-04-22,13.784
2022-04-23,13.784
2022-04-24,13.784
2022-04-25,13.784
2022-04-26,13.798
2022-04-27,13.798
2022-04-28,13.798
2022-04-29,13.798
2022-04-30,13.798
2022-05-01,13.798
2022-05-02,13.795
2022-05-03,13.795
2022-05-04,13.795
2022-05-05,13.795
2022-05-06,13.795
2022-05-07,13.795
2022-05-08,13.795
2022-05-09,13.795
2022-05-10,13.795
2022-05-11,13.795
2022-05-12,13.795
2022-05-13,13.845
2022-05-14,13.845
2022-05-15,13.845
2022-05-16,13.845
2022-05-17,13.845
2022-05-18,13.845
2022-05-19,13.814
2022-05-20,13.814
2022-05-21,13.814
2022-05-22,13.814
2022-05-23,13.983
2022-05-24,13.942
2022-05-25,13.944
2022-05-26,13.944
2022-05-27,13.944
2022-05-28,13.944
2022-05-29,13.944
2022-05-30,13.944
2022-05-31,13.944
2022-06-01,13.944
2022-06-02,13.944
2022-06-03,13.944
2022-06-04,13.944
2022-06-05,13.944
2022-06-06,13.944
2022-06-07,13.944
2022-06-08,13.935
2022-06-09,13.935
2022-06-10,13.935
2022-06-11,13.935
2022-06-12,13.935
2022-06-13,13.935
2022-06-14,13.935
2022-06-15,13.935
2022-06-16,13.935
2022-06-17,13.954
2022-06-18,13.954
2022-06-19,13.954
2022-06-20,13.954
2022-06-21,13.954
2022-06-22,13.954
2022-06-23,13.954
2022-06-24,13.945
2022-06-25,13.945
2022-06-26,13.945
2022-06-27,13.936
2022-06-28,13.926
2022-06-29,13.938
2022-06-30,13.891
2022-07-01,13.877
2022-07-02,13.877
2022-07-03,13.877
2022-07-04,13.877
2022-07-05,13.851
2022-07-06,13.851
2022-07-07,13.848
2022-07-08,13.848
2022-07-09,13.848
2022-07-10,13.848
2022-07-11,13.852
2022-07-12,13.736
2022-07-13,13.735
2022-07-14,13.642
2022-07-15,13.625
2022-07-16,13.704
2022-07-17,13.704
2022-07-18,13.667
2022-07-19,13.667
2022-07-20,13.667
2022-07-21,13.667
2022-07-22,13.667
2022-07-23,13.667
2022-07-24,13.667
2022-07-25,13.667
2022-07-26,13.525
2022-07-27,13.525
2022-07-28,13.508
2022-07-29,13.508
2022-07-30,13.508
2022-07-31,13.508
2022-08-01,13.508
2022-08-02,13.508
2022-08-03,13.508
2022-08-04,13.508
2022-08-05,13.508
2022-08-06,13.508
2022-08-07,13.508
2022-08-08,13.508
2022-08-09,13.508
2022-08-10,13.493
2022-08-11,13.493
2022-08-12,13.493
2022-08-13,13.493
2022-08-14,13.493
2022-08-15,13.493
2022-08-16,13.493
2022-08-17,13.493
2022-08-18,13.493
2022-08-19,13.493
2022-08-20,13.493
2022-08-21,13.493
2022-08-22,13.493
2022-08-23,13.493
2022-08-24,13.493
2022-08-25,13.493
2022-08-26,13.493
2022-08-27,13.493
2022-08-28,13.493
2022-08-29,13.493
2022-08-30,13.493
2022-08-31,13.493
2022-09-01,13.493
2022-09-02,13.493
2022-09-03,13.493
2022-09-04,13.493
2022-09-05,13.493
2022-09-06,13.49
2022-09-07,13.49
2022-09-08,13.49
2022-09-09,13.49
2022-09-10,13.49
2022-09-11,13.49
2022-09-12,13.49
2022-09-13,13.441
2022-09-14,13.439
2022-09-15,13.439
2022-09-16,13.437
2022-09-17,13.437
2022-09-18,13.437
2022-09-19,13.471
2022-09-20,13.478
2022-09-21,13.478
2022-09-22,13.452
2022-09-23,13.452
2022-09-24,13.452
2022-09-25,13.452
2022-09-26,13.452
2022-09-27,13.452
2022-09-28,13.452
2022-09-29,13.409
2022-09-30,13.409
2022-10-01,13.409
2022-10-02,13.409
2022-10-03,13.444
2022-10-04,13.444
2022-10-05,13.419
2022-10-06,13.419
2022-10-07,13.419
2022-10-08,13.419
2022-10-09,13.419
2022-10-10,13.419
2022-10-11,13.464
2022-10-12,13.464
2022-10-13,13.464
2022-10-14,13.425
2022-10-15,13.442
2022-10-16,13.506
2022-10-17,13.549
2022-10-18,13.549
2022-10-19,13.549
2022-10-20,13.549
2022-10-21,13.51
2022-10-22,13.51
2022-10-23,13.53
2022-10-24,13.53
2022-10-25,13.573
2022-10-26,13.573
2022-10-27,13.573
2022-10-28,13.573
2022-10-29,13.573
2022-10-30,13.573
2022-10-31,13.573
2022-11-01,13.573
2022-11-02,13.573
2022-11-03,13.573
2022-11-04,13.573
2022-11-05,13.573
2022-11-06,13.573
2022-11-07,13.573
2022-11-08,13.573
2022-11-09,13.573
2022-11-10,13.573
2022-11-11,13.573
2022-11-12,13.573
2022-11-13,13.573
2022-11-14,13.573
2022-11-15,13.573
2022-11-16,13.611
2022-11-17,13.611
2022-11-18,13.611
2022-11-19,13.611
2022-11-20,13.611
2022-11-21,13.639
2022-11-22,13.639
2022-11-23,13.639
2022-11-24,13.639
2022-11-25,13.639
2022-11-26,13.639
2022-11-27,13.639
2022-11-28,13.677
2022-11-29,13.682
2022-11-30,13.682
2022-12-01,13.679
2022-12-02,13.679
2022-12-03,13.679
2022-12-04,13.679
2022-12-05,13.679
2022-12-06,13.697
2022-12-07,13.697
2022-12-08,13.643
2022-12-09,13.652
2022-12-10,13.652
2022-12-11,13.62
2022-12-12,13.628
2022-12-13,13.628
2022-12-14,13.628
2022-12-15,13.628
2022-12-16,13.628
2022-12-17,13.628
2022-12-18,13.628
2022-12-19,13.59
2022-12-20,13.59
2022-12-21,13.59
2022-12-22,13.59
2022-12-23,13.59
2022-12-24,13.59
2022-12-25,13.59
2022-12-26,13.59
2022-12-27,13.588
2022-12-28,13.588
2022-12-29,13.588
2022-12-30,13.592
2022-12-31,13.592
2023-01-01,13.592
2023-01-02,13.592
2023-01-03,13.617
2023-01-04,13.628
2023-01-05,13.628
2023-01-06,13.628
2023-01-07,13.628
2023-01-08,13.628
2023-01-09,13.589
2023-01-10,13.696
2023-01-11,13.695
2023-01-12,13.695
2023-01-13,13.697
2023-01-14,13.698
2023-01-15,13.628
2023-01-16,13.598
2023-01-17,13.628
2023-01-18,13.607
2023-01-19,13.607
2023-01-20,13.607
2023-01-21,13.607
2023-01-22,13.612
2023-01-23,13.618
2023-01-24,13.618
2023-01-25,13.618
2023-01-26,13.618
2023-01-27,13.618
2023-01-28,13.618
2023-01-29,13.618
2023-01-30,13.61
2023-01-31,13.482
2023-02-01,13.482
2023-02-02,13.482
2023-02-03,13.482
2023-02-04,13.482
2023-02-05,13.482
2023-02-06,13.489
2023-02-07,13.489
2023-02-08,13.489
2023-02-09,13.483
2023-02-10,13.483
2023-02-11,13.483
2023-02-12,13.483
2023-02-13,13.49
2023-02-14,13.49
2023-02-15,13.49
2023-02-16,13.485
2023-02-17,13.485
2023-02-18,13.485
2023-02-19,13.485
2023-02-20,13.485
2023-02-21,13.485
2023-02-22,13.485
2023-02-23,13.485
2023-02-24,13.548
2023-02-25,13.548
2023-02-26,13.548
2023-02-27,13.548
2023-02-28,13.548
2023-03-01,13.548
2023-03-02,13.548
2023-03-03,13.557
2023-03-04,13.557
2023-03-05,13.557
2023-03-06,13.557
2023-03-07,13.557
2023-03-08,13.557
2023-03-09,13.557
2023-03-10,13.557
2023-03-11,13.557
2023-03-12,13.57
2023-03-13,13.57
2023-03-14,13.57
2023-03-15,13.57
2023-03-16,13.57
2023-03-17,13.57
2023-03-18,13.57
2023-03-19,13.57
2023-03-20,13.57
2023-03-21,13.57
2023-03-22,13.57
2023-03-23,13.507
2023-03-24,13.504
2023-03-25,13.504
2023-03-26,13.504
2023-03-27,13.51
2023-03-28,13.51
2023-03-29,13.51
2023-03-30,13.491
2023-03-31,13.479
2023-04-01,13.479
2023-04-02,13.479
2023-04-03,13.424
2023-04-04,13.424
2023-04-05,13.288
2023-04-06,13.235
2023-04-07,13.235
2023-04-08,13.235
2023-04-09,13.221
2023-04-10,13.204
2023-04-11,13.161
2023-04-12,13.152
2023-04-13,13.145
2023-04-14,13.304
2023-04-15,13.375
2023-04-16,13.51
2023-04-17,13.712
2023-04-18,13.712
2023-04-19,13.712
2023-04-20,13.712
2023-04-21,13.713
2023-04-22,13.713
2023-04-23,13.713
2023-04-24,13.712
2023-04-25,13.712
2023-04-26,13.702
2023-04-27,13.702
2023-04-28,13.702
2023-04-29,13.702
2023-04-30,13.702
2023-05-01,13.761
2023-05-02,13.79
2023-05-03,13.801
2023-05-04,13.798
2023-05-05,13.798
2023-05-06,13.798
2023-05-07,13.797
2023-05-08,13.805
2023-05-09,13.805
2023-05-10,13.805
2023-05-11,13.799
2023-05-12,13.799
2023-05-13,13.799
2023-05-14,13.902
2023-05-15,14.089
2023-05-16,14.112
2023-05-17,14.067
2023-05-18,14.067
2023-05-19,14.067
2023-05-20,14.067
2023-05-21,14.067
2023-05-22,14.054
2023-05-23,14.107
2023-05-24,14.14
2023-05-25,14.142
2023-05-26,14.16
2023-05-27,14.16
2023-05-28,14.16
2023-05-29,14.16
2023-05-30,14.16
2023-05-31,14.16
2023-06-01,14.16
2023-06-02,14.16
2023-06-03,14.16
2023-06-04,14.16
2023-06-05,14.16
2023-06-06,14.161
2023-06-07,14.161
2023-06-08,14.161
2023-06-09,14.161
2023-06-10,14.161
2023-06-11,14.161
2023-06-12,14.161
2023-06-13,14.156
2023-06-14,14.162
2023-06-15,14.162
2023-06-16,14.162
2023-06-17,14.162
2023-06-18,14.153
2023-06-19,14.153
2023-06-20,14.153
2023-06-21,14.153
2023-06-22,14.153
2023-06-23,14.138
2023-06-24,14.138
2023-06-25,14.138
2023-06-26,14.067
2023-06-27,14.057
2023-06-28,14.057
2023-06-29,14.057
2023-06-30,14.075
2023-07-01,14.075
2023-07-02,14.075
2023-07-03,14.075
2023-07-04,14.094
2023-07-05,14.1
2023-07-06,14.087
2023-07-07,14.089
2023-07-08,14.089
2023-07-09,14.089
2023-07-10,14.156
2023-07-11,14.053
2023-07-12,14.057
2023-07-13,14.057
2023-07-14,14.174
2023-07-15,14.179
2023-07-16,14.331
2023-07-17,14.404
2023-07-18,14.454
2023-07-19,14.454
2023-07-20,14.454
2023-07-21,14.454
2023-07-22,14.454
2023-07-23,14.454
2023-07-24,14.457
2023-07-25,14.457
2023-07-26,14.457
2023-07-27,14.457
2023-07-28,14.457
2023-07-29,14.457
2023-07-30,14.457
2023-07-31,14.457
2023-08-01,14.45
2023-08-02,14.45
2023-08-03,14.45
2023-08-04,14.45
2023-08-05,14.45
2023-08-06,14.435
2023-08-07,14.46
2023-08-08,14.46
2023-08-09,14.46
2023-08-10,14.464
2023-08-11,14.475
2023-08-12,14.475
2023-08-13,14.475
2023-08-14,14.535
2023-08-15,14.535
2023-08-16,14.535
2023-08-17,14.535
2023-08-18,14.535
