,DVA US Equity
2021-04-25,11.9
2021-04-26,11.9
2021-04-27,11.9
2021-04-28,11.9
2021-04-29,11.9
2021-04-30,11.9
2021-05-01,11.9
2021-05-02,11.9
2021-05-03,11.9
2021-05-04,11.9
2021-05-05,11.9
2021-05-06,11.9
2021-05-07,11.9
2021-05-08,11.9
2021-05-09,11.9
2021-05-10,11.9
2021-05-11,11.9
2021-05-12,11.9
2021-05-13,11.9
2021-05-14,11.9
2021-05-15,11.9
2021-05-16,11.9
2021-05-17,11.9
2021-05-18,11.9
2021-05-19,11.9
2021-05-20,11.9
2021-05-21,11.9
2021-05-22,11.9
2021-05-23,11.9
2021-05-24,11.9
2021-05-25,11.9
2021-05-26,11.9
2021-05-27,11.9
2021-05-28,11.9
2021-05-29,11.9
2021-05-30,11.9
2021-05-31,11.9
2021-06-01,11.9
2021-06-02,11.9
2021-06-03,11.9
2021-06-04,11.9
2021-06-05,11.9
2021-06-06,11.9
2021-06-07,11.9
2021-06-08,11.9
2021-06-09,11.9
2021-06-10,11.9
2021-06-11,11.9
2021-06-12,11.9
2021-06-13,11.9
2021-06-14,11.9
2021-06-15,11.9
2021-06-16,11.9
2021-06-17,11.9
2021-06-18,11.9
2021-06-19,11.9
2021-06-20,11.9
2021-06-21,11.9
2021-06-22,11.9
2021-06-23,11.9
2021-06-24,11.9
2021-06-25,11.9
2021-06-26,11.9
2021-06-27,11.9
2021-06-28,11.9
2021-06-29,11.9
2021-06-30,11.9
2021-07-01,11.9
2021-07-02,11.9
2021-07-03,11.9
2021-07-04,11.9
2021-07-05,11.9
2021-07-06,11.9
2021-07-07,11.9
2021-07-08,11.9
2021-07-09,11.9
2021-07-10,11.9
2021-07-11,11.9
2021-07-12,11.9
2021-07-13,11.9
2021-07-14,11.9
2021-07-15,11.9
2021-07-16,11.9
2021-07-17,11.9
2021-07-18,11.9
2021-07-19,11.9
2021-07-20,11.9
2021-07-21,11.905
2021-07-22,11.905
2021-07-23,11.905
2021-07-24,11.905
2021-07-25,11.905
2021-07-26,11.905
2021-07-27,11.905
2021-07-28,11.905
2021-07-29,11.905
2021-07-30,11.905
2021-07-31,11.905
2021-08-01,11.905
2021-08-02,11.905
2021-08-03,11.905
2021-08-04,12.28
2021-08-05,12.28
2021-08-06,12.28
2021-08-07,12.28
2021-08-08,12.28
2021-08-09,12.62
2021-08-10,12.62
2021-08-11,12.62
2021-08-12,12.62
2021-08-13,12.62
2021-08-14,12.62
2021-08-15,12.62
2021-08-16,12.62
2021-08-17,12.62
2021-08-18,12.62
2021-08-19,12.62
2021-08-20,12.62
2021-08-21,12.62
2021-08-22,12.62
2021-08-23,12.62
2021-08-24,12.62
2021-08-25,12.62
2021-08-26,12.62
2021-08-27,12.62
2021-08-28,12.62
2021-08-29,12.62
2021-08-30,12.62
2021-08-31,12.62
2021-09-01,12.62
2021-09-02,12.62
2021-09-03,12.62
2021-09-04,12.62
2021-09-05,12.62
2021-09-06,12.62
2021-09-07,12.62
2021-09-08,12.62
2021-09-09,12.62
2021-09-10,12.62
2021-09-11,12.62
2021-09-12,12.62
2021-09-13,12.62
2021-09-14,12.62
2021-09-15,12.62
2021-09-16,12.62
2021-09-17,12.62
2021-09-18,12.62
2021-09-19,12.62
2021-09-20,12.62
2021-09-21,12.62
2021-09-22,12.62
2021-09-23,12.62
2021-09-24,12.62
2021-09-25,12.62
2021-09-26,12.62
2021-09-27,12.62
2021-09-28,12.62
2021-09-29,12.62
2021-09-30,12.62
2021-10-01,12.62
2021-10-02,12.62
2021-10-03,12.62
2021-10-04,12.62
2021-10-05,12.62
2021-10-06,12.62
2021-10-07,12.62
2021-10-08,12.62
2021-10-09,12.62
2021-10-10,12.62
2021-10-11,12.62
2021-10-12,12.62
2021-10-13,12.62
2021-10-14,12.62
2021-10-15,12.62
2021-10-16,12.62
2021-10-17,12.62
2021-10-18,12.62
2021-10-19,12.62
2021-10-20,12.62
2021-10-21,12.62
2021-10-22,12.62
2021-10-23,12.62
2021-10-24,12.62
2021-10-25,12.62
2021-10-26,12.62
2021-10-27,12.62
2021-10-28,12.62
2021-10-29,12.62
2021-10-30,11.79
2021-10-31,11.79
2021-11-01,11.79
2021-11-02,11.38
2021-11-03,11.38
2021-11-04,11.38
2021-11-05,11.38
2021-11-06,11.38
2021-11-07,11.38
2021-11-08,11.38
2021-11-09,11.38
2021-11-10,11.38
2021-11-11,11.38
2021-11-12,11.38
2021-11-13,11.38
2021-11-14,11.38
2021-11-15,11.38
2021-11-16,11.38
2021-11-17,11.38
2021-11-18,11.38
2021-11-19,11.033
2021-11-20,11.033
2021-11-21,11.033
2021-11-22,11.033
2021-11-23,11.033
2021-11-24,11.033
2021-11-25,11.033
2021-11-26,11.033
2021-11-27,11.033
2021-11-28,11.033
2021-11-29,11.033
2021-11-30,11.033
2021-12-01,11.033
2021-12-02,11.033
2021-12-03,11.033
2021-12-04,11.033
2021-12-05,11.033
2021-12-06,11.033
2021-12-07,11.033
2021-12-08,11.033
2021-12-09,11.033
2021-12-10,11.033
2021-12-11,11.033
2021-12-12,11.033
2021-12-13,11.033
2021-12-14,11.033
2021-12-15,11.033
2021-12-16,11.033
2021-12-17,11.033
2021-12-18,10.707
2021-12-19,10.707
2021-12-20,11.06
2021-12-21,11.06
2021-12-22,11.06
2021-12-23,11.06
2021-12-24,11.06
2021-12-25,11.06
2021-12-26,11.06
2021-12-27,11.06
2021-12-28,11.06
2021-12-29,11.06
2021-12-30,11.06
2021-12-31,11.06
2022-01-01,11.06
2022-01-02,11.06
2022-01-03,11.378
2022-01-04,11.378
2022-01-05,11.378
2022-01-06,11.378
2022-01-07,11.378
2022-01-08,11.378
2022-01-09,11.378
2022-01-10,11.378
2022-01-11,11.378
2022-01-12,11.378
2022-01-13,11.378
2022-01-14,11.378
2022-01-15,11.378
2022-01-16,11.378
2022-01-17,11.378
2022-01-18,11.378
2022-01-19,11.378
2022-01-20,11.378
2022-01-21,11.378
2022-01-22,11.378
2022-01-23,11.378
2022-01-24,11.378
2022-01-25,11.378
2022-01-26,11.378
2022-01-27,11.378
2022-01-28,11.378
2022-01-29,11.378
2022-01-30,11.378
2022-01-31,11.378
2022-02-01,11.378
2022-02-02,11.378
2022-02-03,11.378
2022-02-04,11.378
2022-02-05,11.378
2022-02-06,11.378
2022-02-07,11.378
2022-02-08,11.378
2022-02-09,11.378
2022-02-10,11.408
2022-02-11,11.518
2022-02-12,11.518
2022-02-13,11.518
2022-02-14,11.572
2022-02-15,11.572
2022-02-16,11.572
2022-02-17,11.572
2022-02-18,11.572
2022-02-19,11.572
2022-02-20,11.572
2022-02-21,11.572
2022-02-22,11.572
2022-02-23,11.572
2022-02-24,11.572
2022-02-25,11.572
2022-02-26,11.572
2022-02-27,11.572
2022-02-28,11.572
2022-03-01,11.572
2022-03-02,11.572
2022-03-03,11.572
2022-03-04,11.572
2022-03-05,11.572
2022-03-06,11.572
2022-03-07,11.572
2022-03-08,11.572
2022-03-09,11.572
2022-03-10,11.572
2022-03-11,11.572
2022-03-12,11.572
2022-03-13,11.572
2022-03-14,11.572
2022-03-15,11.572
2022-03-16,11.572
2022-03-17,11.572
2022-03-18,11.572
2022-03-19,11.572
2022-03-20,11.572
2022-03-21,11.572
2022-03-22,11.572
2022-03-23,11.572
2022-03-24,11.572
2022-03-25,11.572
2022-03-26,11.572
2022-03-27,11.572
2022-03-28,11.572
2022-03-29,11.572
2022-03-30,11.572
2022-03-31,11.572
2022-04-01,11.572
2022-04-02,11.572
2022-04-03,11.572
2022-04-04,11.572
2022-04-05,11.383
2022-04-06,11.383
2022-04-07,11.383
2022-04-08,11.383
2022-04-09,11.383
2022-04-10,11.383
2022-04-11,11.383
2022-04-12,11.383
2022-04-13,11.383
2022-04-14,11.383
2022-04-15,11.383
2022-04-16,11.383
2022-04-17,11.383
2022-04-18,11.383
2022-04-19,11.383
2022-04-20,11.528
2022-04-21,11.528
2022-04-22,11.933
2022-04-23,11.933
2022-04-24,11.933
2022-04-25,11.933
2022-04-26,11.933
2022-04-27,11.933
2022-04-28,11.933
2022-04-29,11.933
2022-04-30,11.933
2022-05-01,11.933
2022-05-02,11.933
2022-05-03,11.933
2022-05-04,11.933
2022-05-05,11.96
2022-05-06,11.96
2022-05-07,11.873
2022-05-08,11.873
2022-05-09,11.873
2022-05-10,11.873
2022-05-11,11.793
2022-05-12,11.793
2022-05-13,11.793
2022-05-14,11.793
2022-05-15,11.793
2022-05-16,11.793
2022-05-17,11.793
2022-05-18,11.793
2022-05-19,11.793
2022-05-20,11.793
2022-05-21,11.793
2022-05-22,11.793
2022-05-23,11.793
2022-05-24,11.793
2022-05-25,11.793
2022-05-26,11.793
2022-05-27,11.793
2022-05-28,11.793
2022-05-29,11.793
2022-05-30,11.793
2022-05-31,11.793
2022-06-01,11.793
2022-06-02,11.665
2022-06-03,11.665
2022-06-04,11.665
2022-06-05,11.665
2022-06-06,11.665
2022-06-07,11.665
2022-06-08,11.665
2022-06-09,11.665
2022-06-10,11.665
2022-06-11,11.665
2022-06-12,11.665
2022-06-13,11.665
2022-06-14,11.665
2022-06-15,11.665
2022-06-16,11.34
2022-06-17,11.34
2022-06-18,11.34
2022-06-19,11.34
2022-06-20,11.34
2022-06-21,11.34
2022-06-22,11.34
2022-06-23,11.34
2022-06-24,11.34
2022-06-25,11.34
2022-06-26,11.34
2022-06-27,11.34
2022-06-28,11.34
2022-06-29,11.34
2022-06-30,11.34
2022-07-01,11.34
2022-07-02,11.34
2022-07-03,11.34
2022-07-04,11.34
2022-07-05,11.34
2022-07-06,11.34
2022-07-07,11.34
2022-07-08,11.34
2022-07-09,11.34
2022-07-10,11.34
2022-07-11,11.34
2022-07-12,11.34
2022-07-13,11.34
2022-07-14,11.34
2022-07-15,11.34
2022-07-16,11.34
2022-07-17,11.34
2022-07-18,11.34
2022-07-19,11.34
2022-07-20,11.34
2022-07-21,11.34
2022-07-22,11.34
2022-07-23,11.34
2022-07-24,11.34
2022-07-25,11.34
2022-07-26,11.34
2022-07-27,11.34
2022-07-28,11.34
2022-07-29,11.34
2022-07-30,11.34
2022-07-31,11.34
2022-08-01,11.34
2022-08-02,11.095
2022-08-03,11.033
2022-08-04,11.033
2022-08-05,11.033
2022-08-06,11.033
2022-08-07,11.033
2022-08-08,11.033
2022-08-09,11.033
2022-08-10,11.033
2022-08-11,11.035
2022-08-12,11.035
2022-08-13,11.035
2022-08-14,11.035
2022-08-15,11.035
2022-08-16,11.035
2022-08-17,11.035
2022-08-18,11.035
2022-08-19,11.146
2022-08-20,11.146
2022-08-21,11.146
2022-08-22,11.146
2022-08-23,11.146
2022-08-24,11.146
2022-08-25,11.146
2022-08-26,11.146
2022-08-27,11.146
2022-08-28,11.146
2022-08-29,11.146
2022-08-30,11.146
2022-08-31,11.146
2022-09-01,11.146
2022-09-02,11.146
2022-09-03,11.146
2022-09-04,11.146
2022-09-05,11.146
2022-09-06,11.146
2022-09-07,11.146
2022-09-08,11.146
2022-09-09,11.146
2022-09-10,11.146
2022-09-11,11.146
2022-09-12,11.146
2022-09-13,11.146
2022-09-14,11.146
2022-09-15,11.146
2022-09-16,11.146
2022-09-17,11.146
2022-09-18,11.146
2022-09-19,11.146
2022-09-20,11.146
2022-09-21,11.146
2022-09-22,11.146
2022-09-23,11.146
2022-09-24,11.146
2022-09-25,11.146
2022-09-26,11.146
2022-09-27,11.146
2022-09-28,11.146
2022-09-29,11.146
2022-09-30,11.146
2022-10-01,11.146
2022-10-02,11.146
2022-10-03,11.146
2022-10-04,11.146
2022-10-05,11.125
2022-10-06,11.125
2022-10-07,11.125
2022-10-08,11.125
2022-10-09,11.125
2022-10-10,11.125
2022-10-11,11.125
2022-10-12,11.125
2022-10-13,11.28
2022-10-14,11.28
2022-10-15,11.28
2022-10-16,11.28
2022-10-17,11.28
2022-10-18,11.28
2022-10-19,11.28
2022-10-20,11.28
2022-10-21,11.28
2022-10-22,11.28
2022-10-23,11.28
2022-10-24,11.28
2022-10-25,11.28
2022-10-26,11.28
2022-10-27,11.277
2022-10-28,10.612
2022-10-29,10.612
2022-10-30,10.612
2022-10-31,9.059
2022-11-01,9.059
2022-11-02,9.059
2022-11-03,9.059
2022-11-04,8.519
2022-11-05,8.519
2022-11-06,7.914
2022-11-07,7.914
2022-11-08,7.914
2022-11-09,7.914
2022-11-10,7.853
2022-11-11,8.006
2022-11-12,8.006
2022-11-13,8.006
2022-11-14,8.006
2022-11-15,8.006
2022-11-16,8.006
2022-11-17,8.006
2022-11-18,8.006
2022-11-19,8.006
2022-11-20,8.006
2022-11-21,8.006
2022-11-22,8.006
2022-11-23,8.006
2022-11-24,8.006
2022-11-25,8.006
2022-11-26,8.006
2022-11-27,8.006
2022-11-28,8.006
2022-11-29,8.006
2022-11-30,8.006
2022-12-01,8.006
2022-12-02,8.006
2022-12-03,8.006
2022-12-04,7.305
2022-12-05,7.305
2022-12-06,7.305
2022-12-07,7.305
2022-12-08,7.305
2022-12-09,7.305
2022-12-10,7.305
2022-12-11,7.305
2022-12-12,7.305
2022-12-13,7.305
2022-12-14,7.305
2022-12-15,7.305
2022-12-16,7.305
2022-12-17,7.305
2022-12-18,7.305
2022-12-19,7.305
2022-12-20,7.305
2022-12-21,7.305
2022-12-22,7.305
2022-12-23,7.305
2022-12-24,7.305
2022-12-25,7.305
2022-12-26,7.305
2022-12-27,7.305
2022-12-28,7.305
2022-12-29,7.305
2022-12-30,7.305
2022-12-31,7.305
2023-01-01,7.305
2023-01-02,7.305
2023-01-03,7.305
2023-01-04,7.305
2023-01-05,7.305
2023-01-06,7.305
2023-01-07,7.305
2023-01-08,7.305
2023-01-09,7.285
2023-01-10,7.285
2023-01-11,7.285
2023-01-12,7.42
2023-01-13,7.42
2023-01-14,7.42
2023-01-15,7.42
2023-01-16,7.42
2023-01-17,7.42
2023-01-18,7.42
2023-01-19,7.42
2023-01-20,7.42
2023-01-21,7.42
2023-01-22,7.42
2023-01-23,7.42
2023-01-24,7.42
2023-01-25,7.42
2023-01-26,7.42
2023-01-27,7.42
2023-01-28,7.42
2023-01-29,7.42
2023-01-30,7.42
2023-01-31,7.42
2023-02-01,7.42
2023-02-02,7.42
2023-02-03,7.42
2023-02-04,7.42
2023-02-05,7.42
2023-02-06,7.424
2023-02-07,7.424
2023-02-08,7.424
2023-02-09,7.424
2023-02-10,7.424
2023-02-11,7.424
2023-02-12,7.424
2023-02-13,7.424
2023-02-14,7.424
2023-02-15,7.424
2023-02-16,7.424
2023-02-17,7.424
2023-02-18,7.424
2023-02-19,7.424
2023-02-20,7.424
2023-02-21,7.424
2023-02-22,7.536
2023-02-23,7.326
2023-02-24,7.298
2023-02-25,7.298
2023-02-26,7.298
2023-02-27,7.298
2023-02-28,7.298
2023-03-01,7.298
2023-03-02,7.298
2023-03-03,7.298
2023-03-04,7.298
2023-03-05,7.298
2023-03-06,7.273
2023-03-07,7.273
2023-03-08,7.115
2023-03-09,7.115
2023-03-10,7.115
2023-03-11,7.115
2023-03-12,7.115
2023-03-13,7.115
2023-03-14,7.115
2023-03-15,7.115
2023-03-16,7.115
2023-03-17,7.115
2023-03-18,7.115
2023-03-19,7.115
2023-03-20,7.115
2023-03-21,7.115
2023-03-22,7.115
2023-03-23,7.115
2023-03-24,7.115
2023-03-25,7.115
2023-03-26,7.115
2023-03-27,7.115
2023-03-28,7.115
2023-03-29,7.115
2023-03-30,7.115
2023-03-31,7.115
2023-04-01,7.115
2023-04-02,7.115
2023-04-03,7.115
2023-04-04,7.115
2023-04-05,7.115
2023-04-06,7.115
2023-04-07,7.115
2023-04-08,7.115
2023-04-09,7.115
2023-04-10,7.115
2023-04-11,7.115
2023-04-12,7.115
2023-04-13,7.115
2023-04-14,7.115
2023-04-15,7.115
2023-04-16,7.115
2023-04-17,7.115
2023-04-18,7.115
2023-04-19,7.115
2023-04-20,7.041
2023-04-21,7.041
2023-04-22,7.041
2023-04-23,7.041
2023-04-24,7.041
2023-04-25,7.041
2023-04-26,7.041
2023-04-27,7.041
2023-04-28,7.041
2023-04-29,7.041
2023-04-30,7.041
2023-05-01,7.041
2023-05-02,7.041
2023-05-03,7.041
2023-05-04,7.041
2023-05-05,7.041
2023-05-06,7.041
2023-05-07,7.041
2023-05-08,7.029
2023-05-09,7.189
2023-05-10,7.288
2023-05-11,7.31
2023-05-12,7.332
2023-05-13,7.332
2023-05-14,7.332
2023-05-15,7.332
2023-05-16,7.332
2023-05-17,7.332
2023-05-18,7.332
2023-05-19,7.332
2023-05-20,7.332
2023-05-21,7.332
2023-05-22,7.348
2023-05-23,7.348
2023-05-24,7.348
2023-05-25,7.348
2023-05-26,7.348
2023-05-27,7.348
2023-05-28,7.348
2023-05-29,7.348
2023-05-30,7.348
2023-05-31,7.366
2023-06-01,7.366
2023-06-02,7.366
2023-06-03,7.366
2023-06-04,7.366
2023-06-05,7.366
2023-06-06,7.366
2023-06-07,7.329
2023-06-08,7.329
2023-06-09,7.329
2023-06-10,7.329
2023-06-11,7.329
2023-06-12,7.329
2023-06-13,7.329
2023-06-14,7.328
2023-06-15,7.328
2023-06-16,7.328
2023-06-17,7.328
2023-06-18,7.328
2023-06-19,7.328
2023-06-20,7.328
2023-06-21,7.328
2023-06-22,7.328
2023-06-23,7.328
2023-06-24,7.328
2023-06-25,7.328
2023-06-26,7.328
2023-06-27,7.328
2023-06-28,7.328
2023-06-29,7.328
2023-06-30,7.328
2023-07-01,7.328
2023-07-02,7.328
2023-07-03,7.328
2023-07-04,7.328
2023-07-05,7.328
2023-07-06,7.328
2023-07-07,7.328
2023-07-08,7.328
2023-07-09,7.328
2023-07-10,7.328
2023-07-11,7.328
2023-07-12,7.316
2023-07-13,7.316
2023-07-14,7.316
2023-07-15,7.316
2023-07-16,7.316
2023-07-17,7.316
2023-07-18,7.316
2023-07-19,7.316
2023-07-20,7.316
2023-07-21,7.316
2023-07-22,7.316
2023-07-23,7.316
2023-07-24,7.316
2023-07-25,7.316
2023-07-26,7.316
2023-07-27,7.316
