,LEN/B US Equity
2021-05-06,14.41
2021-05-07,14.41
2021-05-08,14.41
2021-05-09,14.41
2021-05-10,14.41
2021-05-11,14.41
2021-05-12,14.41
2021-05-13,14.41
2021-05-14,14.41
2021-05-15,14.41
2021-05-16,14.41
2021-05-17,14.41
2021-05-18,14.41
2021-05-19,14.41
2021-05-20,14.41
2021-05-21,14.41
2021-05-22,14.41
2021-05-23,14.41
2021-05-24,14.41
2021-05-25,14.41
2021-05-26,14.41
2021-05-27,14.41
2021-05-28,14.41
2021-05-29,14.41
2021-05-30,14.41
2021-05-31,14.41
2021-06-01,14.41
2021-06-02,14.41
2021-06-03,14.41
2021-06-04,14.41
2021-06-05,14.41
2021-06-06,14.41
2021-06-07,14.41
2021-06-08,14.41
2021-06-09,14.41
2021-06-10,14.41
2021-06-11,14.41
2021-06-12,14.41
2021-06-13,14.41
2021-06-14,14.41
2021-06-15,14.41
2021-06-16,14.41
2021-06-17,14.41
2021-06-18,14.41
2021-06-19,13.53
2021-06-20,13.53
2021-06-21,13.53
2021-06-22,13.53
2021-06-23,13.53
2021-06-24,13.53
2021-06-25,13.53
2021-06-26,13.53
2021-06-27,13.53
2021-06-28,13.53
2021-06-29,13.53
2021-06-30,13.53
2021-07-01,13.53
2021-07-02,13.53
2021-07-03,13.53
2021-07-04,13.53
2021-07-05,13.53
2021-07-06,13.53
2021-07-07,13.53
2021-07-08,13.53
2021-07-09,13.53
2021-07-10,13.53
2021-07-11,13.53
2021-07-12,13.53
2021-07-13,13.53
2021-07-14,13.53
2021-07-15,13.53
2021-07-16,13.53
2021-07-17,13.53
2021-07-18,13.53
2021-07-19,13.53
2021-07-20,13.53
2021-07-21,13.53
2021-07-22,13.53
2021-07-23,13.53
2021-07-24,13.53
2021-07-25,13.53
2021-07-26,13.53
2021-07-27,13.53
2021-07-28,13.53
2021-07-29,13.53
2021-07-30,13.53
2021-07-31,13.53
2021-08-01,13.53
2021-08-02,13.53
2021-08-03,13.53
2021-08-04,13.53
2021-08-05,13.53
2021-08-06,13.53
2021-08-07,13.53
2021-08-08,13.53
2021-08-09,13.53
2021-08-10,13.53
2021-08-11,13.53
2021-08-12,13.53
2021-08-13,13.53
2021-08-14,13.53
2021-08-15,13.53
2021-08-16,13.53
2021-08-17,13.53
2021-08-18,13.53
2021-08-19,13.53
2021-08-20,13.53
2021-08-21,13.53
2021-08-22,13.53
2021-08-23,13.53
2021-08-24,13.53
2021-08-25,13.53
2021-08-26,13.53
2021-08-27,13.53
2021-08-28,13.53
2021-08-29,13.53
2021-08-30,13.53
2021-08-31,13.53
2021-09-01,13.53
2021-09-02,13.53
2021-09-03,13.53
2021-09-04,13.53
2021-09-05,13.53
2021-09-06,13.53
2021-09-07,13.53
2021-09-08,13.53
2021-09-09,13.53
2021-09-10,13.53
2021-09-11,13.53
2021-09-12,13.53
2021-09-13,13.53
2021-09-14,13.53
2021-09-15,13.53
2021-09-16,13.53
2021-09-17,13.53
2021-09-18,13.53
2021-09-19,13.53
2021-09-20,13.53
2021-09-21,13.53
2021-09-22,14.01
2021-09-23,14.01
2021-09-24,14.01
2021-09-25,14.01
2021-09-26,14.01
2021-09-27,14.01
2021-09-28,14.01
2021-09-29,14.01
2021-09-30,14.01
2021-10-01,14.01
2021-10-02,14.01
2021-10-03,14.01
2021-10-04,14.01
2021-10-05,14.01
2021-10-06,14.01
2021-10-07,14.01
2021-10-08,14.01
2021-10-09,14.01
2021-10-10,14.01
2021-10-11,14.01
2021-10-12,14.01
2021-10-13,14.01
2021-10-14,14.01
2021-10-15,14.01
2021-10-16,14.01
2021-10-17,14.01
2021-10-18,14.01
2021-10-19,14.01
2021-10-20,14.01
2021-10-21,14.01
2021-10-22,14.01
2021-10-23,14.01
2021-10-24,14.01
2021-10-25,14.01
2021-10-26,14.01
2021-10-27,14.01
2021-10-28,14.01
2021-10-29,14.01
2021-10-30,14.01
2021-10-31,14.01
2021-11-01,14.01
2021-11-02,14.01
2021-11-03,14.01
2021-11-04,14.01
2021-11-05,14.01
2021-11-06,14.01
2021-11-07,14.01
2021-11-08,14.01
2021-11-09,14.01
2021-11-10,14.01
2021-11-11,14.01
2021-11-12,14.01
2021-11-13,14.01
2021-11-14,14.01
2021-11-15,14.01
2021-11-16,14.01
2021-11-17,14.01
2021-11-18,14.01
2021-11-19,14.01
2021-11-20,14.01
2021-11-21,14.01
2021-11-22,14.01
2021-11-23,14.01
2021-11-24,14.01
2021-11-25,14.01
2021-11-26,14.01
2021-11-27,14.01
2021-11-28,14.01
2021-11-29,14.01
2021-11-30,14.01
2021-12-01,16.755
2021-12-02,16.755
2021-12-03,16.755
2021-12-04,16.755
2021-12-05,16.755
2021-12-06,16.755
2021-12-07,16.755
2021-12-08,16.755
2021-12-09,16.755
2021-12-10,16.755
2021-12-11,16.755
2021-12-12,16.755
2021-12-13,16.755
2021-12-14,16.755
2021-12-15,16.755
2021-12-16,16.08
2021-12-17,17.46
2021-12-18,17.46
2021-12-19,17.46
2021-12-20,17.46
2021-12-21,17.46
2021-12-22,17.46
2021-12-23,17.46
2021-12-24,17.46
2021-12-25,17.46
2021-12-26,17.46
2021-12-27,17.46
2021-12-28,17.46
2021-12-29,17.46
2021-12-30,17.46
2021-12-31,17.46
2022-01-01,17.46
2022-01-02,17.46
2022-01-03,17.46
2022-01-04,17.46
2022-01-05,17.46
2022-01-06,17.46
2022-01-07,17.46
2022-01-08,17.46
2022-01-09,17.46
2022-01-10,17.46
2022-01-11,17.46
2022-01-12,17.46
2022-01-13,17.46
2022-01-14,17.46
2022-01-15,17.46
2022-01-16,17.46
2022-01-17,17.46
2022-01-18,17.46
2022-01-19,17.46
2022-01-20,17.46
2022-01-21,17.46
2022-01-22,17.46
2022-01-23,17.46
2022-01-24,17.46
2022-01-25,17.46
2022-01-26,17.46
2022-01-27,17.46
2022-01-28,17.46
2022-01-29,17.46
2022-01-30,17.46
2022-01-31,17.46
2022-02-01,17.46
2022-02-02,17.46
2022-02-03,17.46
2022-02-04,17.46
2022-02-05,17.685
2022-02-06,17.685
2022-02-07,17.685
2022-02-08,17.685
2022-02-09,17.685
2022-02-10,17.685
2022-02-11,17.685
2022-02-12,17.685
2022-02-13,17.685
2022-02-14,17.685
2022-02-15,17.685
2022-02-16,17.685
2022-02-17,17.685
2022-02-18,17.685
2022-02-19,17.685
2022-02-20,17.685
2022-02-21,17.685
2022-02-22,17.685
2022-02-23,17.685
2022-02-24,17.685
2022-02-25,17.685
2022-02-26,17.685
2022-02-27,17.685
2022-02-28,17.685
2022-03-01,17.685
2022-03-02,17.685
2022-03-03,17.685
2022-03-04,17.685
2022-03-05,17.685
2022-03-06,17.685
2022-03-07,17.685
2022-03-08,17.685
2022-03-09,17.685
2022-03-10,17.685
2022-03-11,18.273
2022-03-12,18.273
2022-03-13,18.273
2022-03-14,18.273
2022-03-15,18.273
2022-03-16,18.273
2022-03-17,18.723
2022-03-18,18.713
2022-03-19,18.713
2022-03-20,18.713
2022-03-21,18.713
2022-03-22,18.713
2022-03-23,18.713
2022-03-24,18.713
2022-03-25,19.1
2022-03-26,19.1
2022-03-27,19.1
2022-03-28,19.1
2022-03-29,19.1
2022-03-30,19.1
2022-03-31,19.1
2022-04-01,19.1
2022-04-02,19.1
2022-04-03,19.1
2022-04-04,19.1
2022-04-05,18.936
2022-04-06,18.936
2022-04-07,18.936
2022-04-08,18.936
2022-04-09,18.936
2022-04-10,18.936
2022-04-11,18.936
2022-04-12,18.936
2022-04-13,18.936
2022-04-14,18.936
2022-04-15,18.936
2022-04-16,18.936
2022-04-17,18.936
2022-04-18,18.936
2022-04-19,18.936
2022-04-20,18.936
2022-04-21,18.936
2022-04-22,19.097
2022-04-23,19.097
2022-04-24,19.097
2022-04-25,19.097
2022-04-26,19.097
2022-04-27,19.097
2022-04-28,19.097
2022-04-29,19.097
2022-04-30,19.097
2022-05-01,19.097
2022-05-02,19.097
2022-05-03,19.097
2022-05-04,19.097
2022-05-05,19.097
2022-05-06,19.097
2022-05-07,19.097
2022-05-08,19.097
2022-05-09,19.097
2022-05-10,19.097
2022-05-11,19.097
2022-05-12,19.097
2022-05-13,19.097
2022-05-14,18.427
2022-05-15,18.427
2022-05-16,18.427
2022-05-17,18.427
2022-05-18,18.427
2022-05-19,18.427
2022-05-20,18.427
2022-05-21,18.427
2022-05-22,18.427
2022-05-23,18.427
2022-05-24,18.427
2022-05-25,18.427
2022-05-26,18.427
2022-05-27,18.427
2022-05-28,18.427
2022-05-29,18.427
2022-05-30,18.427
2022-05-31,18.427
2022-06-01,18.427
2022-06-02,18.427
2022-06-03,18.428
2022-06-04,18.428
2022-06-05,18.428
2022-06-06,18.428
2022-06-07,18.428
2022-06-08,18.428
2022-06-09,18.428
2022-06-10,18.428
2022-06-11,18.428
2022-06-12,18.428
2022-06-13,18.428
2022-06-14,18.428
2022-06-15,18.428
2022-06-16,18.353
2022-06-17,18.353
2022-06-18,17.662
2022-06-19,17.662
2022-06-20,17.662
2022-06-21,17.627
2022-06-22,15.726
2022-06-23,15.726
2022-06-24,15.726
2022-06-25,15.726
2022-06-26,15.726
2022-06-27,13.735
2022-06-28,13.735
2022-06-29,13.735
2022-06-30,13.735
2022-07-01,13.735
2022-07-02,13.735
2022-07-03,13.735
2022-07-04,13.735
2022-07-05,14.366
2022-07-06,14.366
2022-07-07,14.366
2022-07-08,14.366
2022-07-09,14.366
2022-07-10,14.366
2022-07-11,14.366
2022-07-12,14.366
2022-07-13,14.366
2022-07-14,14.366
2022-07-15,14.366
2022-07-16,14.366
2022-07-17,14.366
2022-07-18,14.366
2022-07-19,14.366
2022-07-20,14.366
2022-07-21,14.366
2022-07-22,14.366
2022-07-23,14.366
2022-07-24,14.366
2022-07-25,14.366
2022-07-26,14.498
2022-07-27,14.498
2022-07-28,14.498
2022-07-29,14.498
2022-07-30,14.498
2022-07-31,14.498
2022-08-01,14.498
2022-08-02,14.498
2022-08-03,14.498
2022-08-04,14.498
2022-08-05,14.498
2022-08-06,14.498
2022-08-07,14.498
2022-08-08,14.498
2022-08-09,14.498
2022-08-10,14.498
2022-08-11,14.498
2022-08-12,14.861
2022-08-13,14.861
2022-08-14,14.861
2022-08-15,14.861
2022-08-16,14.861
2022-08-17,14.861
2022-08-18,14.861
2022-08-19,14.861
2022-08-20,14.861
2022-08-21,14.861
2022-08-22,14.861
2022-08-23,14.861
2022-08-24,14.861
2022-08-25,14.861
2022-08-26,14.861
2022-08-27,14.861
2022-08-28,14.861
2022-08-29,14.861
2022-08-30,14.861
2022-08-31,14.861
2022-09-01,14.861
2022-09-02,14.861
2022-09-03,14.861
2022-09-04,14.861
2022-09-05,14.861
2022-09-06,14.861
2022-09-07,14.861
2022-09-08,14.861
2022-09-09,14.861
2022-09-10,14.861
2022-09-11,14.861
2022-09-12,14.861
2022-09-13,14.861
2022-09-14,14.861
2022-09-15,14.861
2022-09-16,14.861
2022-09-17,14.861
2022-09-18,14.861
2022-09-19,15.008
2022-09-20,15.008
2022-09-21,15.008
2022-09-22,14.697
2022-09-23,14.38
2022-09-24,14.38
2022-09-25,14.38
2022-09-26,13.769
2022-09-27,13.769
2022-09-28,13.769
2022-09-29,13.769
2022-09-30,13.668
2022-10-01,13.668
2022-10-02,13.668
2022-10-03,13.278
2022-10-04,13.223
2022-10-05,13.223
2022-10-06,13.223
2022-10-07,13.223
2022-10-08,13.223
2022-10-09,13.223
2022-10-10,13.223
2022-10-11,13.223
2022-10-12,13.223
2022-10-13,13.223
2022-10-14,13.223
2022-10-15,13.223
2022-10-16,13.223
2022-10-17,13.289
2022-10-18,13.289
2022-10-19,13.289
2022-10-20,13.289
2022-10-21,13.289
2022-10-22,13.289
2022-10-23,13.289
2022-10-24,13.289
2022-10-25,13.289
2022-10-26,13.289
2022-10-27,13.289
2022-10-28,13.289
2022-10-29,13.289
2022-10-30,13.289
2022-10-31,13.289
2022-11-01,13.289
2022-11-02,13.289
2022-11-03,13.289
2022-11-04,13.289
2022-11-05,13.289
2022-11-06,13.289
2022-11-07,13.289
2022-11-08,13.289
2022-11-09,13.289
2022-11-10,13.289
2022-11-11,13.289
2022-11-12,13.289
2022-11-13,13.289
2022-11-14,13.289
2022-11-15,13.079
2022-11-16,13.079
2022-11-17,13.079
2022-11-18,13.025
2022-11-19,13.025
2022-11-20,12.95
2022-11-21,12.528
2022-11-22,12.528
2022-11-23,12.528
2022-11-24,12.528
2022-11-25,12.401
2022-11-26,12.401
2022-11-27,12.401
2022-11-28,12.401
2022-11-29,12.401
2022-11-30,12.401
2022-12-01,12.383
2022-12-02,12.396
2022-12-03,12.396
2022-12-04,12.396
2022-12-05,12.396
2022-12-06,12.396
2022-12-07,12.396
2022-12-08,12.396
2022-12-09,12.396
2022-12-10,12.396
2022-12-11,12.396
2022-12-12,12.396
2022-12-13,12.396
2022-12-14,12.291
2022-12-15,11.15
2022-12-16,10.791
2022-12-17,10.791
2022-12-18,10.791
2022-12-19,10.61
2022-12-20,10.553
2022-12-21,10.55
2022-12-22,10.054
2022-12-23,10.054
2022-12-24,10.054
2022-12-25,10.054
2022-12-26,10.054
2022-12-27,10.054
2022-12-28,9.996
2022-12-29,9.996
2022-12-30,9.996
2022-12-31,9.996
2023-01-01,9.996
2023-01-02,9.996
2023-01-03,9.996
2023-01-04,9.996
2023-01-05,9.996
2023-01-06,9.996
2023-01-07,9.996
2023-01-08,9.996
2023-01-09,9.996
2023-01-10,9.996
2023-01-11,10.113
2023-01-12,10.113
2023-01-13,9.969
2023-01-14,9.969
2023-01-15,9.969
2023-01-16,9.969
2023-01-17,9.969
2023-01-18,9.969
2023-01-19,9.969
2023-01-20,9.969
2023-01-21,9.969
2023-01-22,9.969
2023-01-23,9.969
2023-01-24,9.969
2023-01-25,9.969
2023-01-26,9.969
2023-01-27,9.969
2023-01-28,9.969
2023-01-29,9.969
2023-01-30,9.949
2023-01-31,9.949
2023-02-01,9.949
2023-02-02,9.949
2023-02-03,9.949
2023-02-04,9.949
2023-02-05,9.949
2023-02-06,9.949
2023-02-07,9.949
2023-02-08,9.949
2023-02-09,9.949
2023-02-10,9.949
2023-02-11,9.949
2023-02-12,9.949
2023-02-13,9.949
2023-02-14,9.949
2023-02-15,9.949
2023-02-16,9.949
2023-02-17,9.949
2023-02-18,9.949
2023-02-19,9.949
2023-02-20,10.059
2023-02-21,10.059
2023-02-22,10.059
2023-02-23,10.059
2023-02-24,10.059
2023-02-25,10.059
2023-02-26,10.059
2023-02-27,10.059
2023-02-28,10.059
2023-03-01,10.059
2023-03-02,10.059
2023-03-03,10.059
2023-03-04,10.059
2023-03-05,10.059
2023-03-06,10.059
2023-03-07,10.059
2023-03-08,10.059
2023-03-09,10.059
2023-03-10,10.059
2023-03-11,10.059
2023-03-12,10.059
2023-03-13,10.061
2023-03-14,10.061
2023-03-15,10.523
2023-03-16,10.674
2023-03-17,10.674
2023-03-18,10.674
2023-03-19,10.674
2023-03-20,10.681
2023-03-21,10.681
2023-03-22,10.681
2023-03-23,10.681
2023-03-24,10.681
2023-03-25,10.681
2023-03-26,10.681
2023-03-27,10.681
2023-03-28,10.648
2023-03-29,10.648
2023-03-30,10.648
2023-03-31,10.648
2023-04-01,10.648
2023-04-02,10.648
2023-04-03,10.648
2023-04-04,10.692
2023-04-05,10.692
2023-04-06,10.692
2023-04-07,10.692
2023-04-08,10.692
2023-04-09,10.692
2023-04-10,10.692
2023-04-11,10.692
2023-04-12,10.692
2023-04-13,10.692
2023-04-14,10.692
2023-04-15,10.692
2023-04-16,10.692
2023-04-17,10.692
2023-04-18,10.692
2023-04-19,10.692
2023-04-20,10.692
2023-04-21,10.692
2023-04-22,10.692
2023-04-23,10.692
2023-04-24,10.692
2023-04-25,10.692
2023-04-26,10.692
2023-04-27,10.692
2023-04-28,10.692
2023-04-29,10.692
2023-04-30,10.692
2023-05-01,10.692
2023-05-02,10.692
2023-05-03,10.692
2023-05-04,10.692
2023-05-05,10.692
2023-05-06,10.692
2023-05-07,10.692
2023-05-08,10.692
2023-05-09,10.692
2023-05-10,10.692
2023-05-11,10.692
2023-05-12,10.692
2023-05-13,10.692
2023-05-14,10.692
2023-05-15,10.692
2023-05-16,10.692
2023-05-17,10.692
2023-05-18,10.692
2023-05-19,10.692
2023-05-20,10.692
2023-05-21,10.692
2023-05-22,10.692
2023-05-23,10.692
2023-05-24,10.726
2023-05-25,10.732
2023-05-26,10.732
2023-05-27,10.732
2023-05-28,10.732
2023-05-29,10.732
2023-05-30,10.732
2023-05-31,10.624
2023-06-01,10.624
2023-06-02,10.624
2023-06-03,10.624
2023-06-04,10.624
2023-06-05,10.624
2023-06-06,10.647
2023-06-07,10.666
2023-06-08,10.666
2023-06-09,10.666
2023-06-10,10.666
2023-06-11,10.666
2023-06-12,10.63
2023-06-13,10.63
2023-06-14,10.643
2023-06-15,11.705
2023-06-16,12.868
2023-06-17,12.868
2023-06-18,12.868
2023-06-19,13.007
2023-06-20,13.251
2023-06-21,13.251
2023-06-22,13.251
2023-06-23,13.251
2023-06-24,13.251
2023-06-25,13.251
2023-06-26,13.251
2023-06-27,13.251
2023-06-28,13.175
2023-06-29,13.175
2023-06-30,13.175
2023-07-01,13.175
2023-07-02,13.175
2023-07-03,13.175
2023-07-04,13.175
2023-07-05,13.18
2023-07-06,13.18
2023-07-07,13.18
2023-07-08,13.18
2023-07-09,13.18
2023-07-10,13.18
2023-07-11,13.18
2023-07-12,13.18
2023-07-13,13.18
2023-07-14,13.18
2023-07-15,13.18
2023-07-16,13.18
2023-07-17,13.18
2023-07-18,13.18
2023-07-19,13.183
2023-07-20,13.183
2023-07-21,13.183
2023-07-22,13.183
2023-07-23,13.183
2023-07-24,13.262
2023-07-25,13.262
2023-07-26,13.262
2023-07-27,13.262
2023-07-28,13.262
2023-07-29,13.262
2023-07-30,13.262
2023-07-31,13.262
2023-08-01,13.262
2023-08-02,13.262
2023-08-03,13.262
2023-08-04,13.262
2023-08-05,13.262
2023-08-06,13.262
2023-08-07,13.262
