,CAR US Equity
2021-05-02,5.68
2021-05-03,5.68
2021-05-04,5.68
2021-05-05,5.8
2021-05-06,5.8
2021-05-07,5.8
2021-05-08,5.8
2021-05-09,5.8
2021-05-10,5.8
2021-05-11,5.8
2021-05-12,5.8
2021-05-13,5.8
2021-05-14,5.8
2021-05-15,5.8
2021-05-16,5.8
2021-05-17,5.8
2021-05-18,5.8
2021-05-19,5.8
2021-05-20,5.8
2021-05-21,5.8
2021-05-22,5.8
2021-05-23,5.8
2021-05-24,5.8
2021-05-25,5.8
2021-05-26,5.8
2021-05-27,5.8
2021-05-28,5.8
2021-05-29,5.8
2021-05-30,5.8
2021-05-31,5.8
2021-06-01,5.8
2021-06-02,5.8
2021-06-03,5.8
2021-06-04,5.8
2021-06-05,5.8
2021-06-06,5.8
2021-06-07,5.8
2021-06-08,5.8
2021-06-09,5.8
2021-06-10,5.8
2021-06-11,5.8
2021-06-12,5.8
2021-06-13,5.8
2021-06-14,5.8
2021-06-15,5.8
2021-06-16,5.8
2021-06-17,5.8
2021-06-18,5.8
2021-06-19,5.8
2021-06-20,5.8
2021-06-21,5.8
2021-06-22,5.8
2021-06-23,5.8
2021-06-24,5.8
2021-06-25,5.8
2021-06-26,5.8
2021-06-27,5.8
2021-06-28,5.8
2021-06-29,5.8
2021-06-30,5.8
2021-07-01,5.8
2021-07-02,5.8
2021-07-03,5.8
2021-07-04,5.8
2021-07-05,5.8
2021-07-06,5.8
2021-07-07,5.8
2021-07-08,5.8
2021-07-09,5.8
2021-07-10,5.8
2021-07-11,5.8
2021-07-12,5.8
2021-07-13,5.8
2021-07-14,5.8
2021-07-15,5.8
2021-07-16,5.8
2021-07-17,5.8
2021-07-18,5.8
2021-07-19,5.8
2021-07-20,5.8
2021-07-21,6.32
2021-07-22,6.32
2021-07-23,6.32
2021-07-24,6.32
2021-07-25,6.32
2021-07-26,6.32
2021-07-27,6.32
2021-07-28,6.32
2021-07-29,6.32
2021-07-30,6.32
2021-07-31,6.32
2021-08-01,6.32
2021-08-02,6.32
2021-08-03,6.32
2021-08-04,6.32
2021-08-05,6.79
2021-08-06,6.79
2021-08-07,6.79
2021-08-08,6.79
2021-08-09,6.79
2021-08-10,6.79
2021-08-11,6.79
2021-08-12,6.79
2021-08-13,6.79
2021-08-14,6.79
2021-08-15,6.79
2021-08-16,6.79
2021-08-17,6.79
2021-08-18,6.79
2021-08-19,6.79
2021-08-20,6.79
2021-08-21,6.79
2021-08-22,6.79
2021-08-23,6.79
2021-08-24,6.79
2021-08-25,6.79
2021-08-26,6.79
2021-08-27,6.79
2021-08-28,6.79
2021-08-29,6.79
2021-08-30,6.79
2021-08-31,6.79
2021-09-01,6.79
2021-09-02,6.79
2021-09-03,6.79
2021-09-04,6.79
2021-09-05,6.79
2021-09-06,6.79
2021-09-07,6.79
2021-09-08,6.79
2021-09-09,6.79
2021-09-10,6.79
2021-09-11,6.79
2021-09-12,6.79
2021-09-13,6.79
2021-09-14,6.79
2021-09-15,6.79
2021-09-16,6.79
2021-09-17,6.79
2021-09-18,6.79
2021-09-19,6.79
2021-09-20,6.79
2021-09-21,6.79
2021-09-22,6.79
2021-09-23,6.79
2021-09-24,6.79
2021-09-25,6.79
2021-09-26,6.79
2021-09-27,6.79
2021-09-28,6.79
2021-09-29,6.79
2021-09-30,6.79
2021-10-01,6.79
2021-10-02,6.79
2021-10-03,6.79
2021-10-04,6.79
2021-10-05,6.79
2021-10-06,6.79
2021-10-07,6.79
2021-10-08,6.79
2021-10-09,6.79
2021-10-10,6.79
2021-10-11,6.79
2021-10-12,6.79
2021-10-13,6.79
2021-10-14,6.79
2021-10-15,6.79
2021-10-16,6.79
2021-10-17,6.79
2021-10-18,6.79
2021-10-19,6.79
2021-10-20,6.79
2021-10-21,6.79
2021-10-22,6.79
2021-10-23,6.79
2021-10-24,6.79
2021-10-25,6.79
2021-10-26,6.79
2021-10-27,6.79
2021-10-28,6.79
2021-10-29,6.79
2021-10-30,6.79
2021-10-31,6.79
2021-11-01,6.79
2021-11-02,6.79
2021-11-03,6.79
2021-11-04,6.79
2021-11-05,6.79
2021-11-06,6.79
2021-11-07,6.79
2021-11-08,6.79
2021-11-09,6.79
2021-11-10,6.79
2021-11-11,6.79
2021-11-12,6.79
2021-11-13,6.79
2021-11-14,6.79
2021-11-15,6.79
2021-11-16,17.77
2021-11-17,17.77
2021-11-18,17.77
2021-11-19,17.77
2021-11-20,17.77
2021-11-21,17.77
2021-11-22,17.77
2021-11-23,17.77
2021-11-24,17.77
2021-11-25,17.77
2021-11-26,17.77
2021-11-27,17.77
2021-11-28,17.77
2021-11-29,16.59
2021-11-30,16.59
2021-12-01,16.59
2021-12-02,16.59
2021-12-03,16.59
2021-12-04,16.59
2021-12-05,16.59
2021-12-06,16.59
2021-12-07,16.59
2021-12-08,16.59
2021-12-09,16.59
2021-12-10,16.59
2021-12-11,16.59
2021-12-12,16.59
2021-12-13,16.59
2021-12-14,16.59
2021-12-15,16.59
2021-12-16,16.59
2021-12-17,16.59
2021-12-18,16.59
2021-12-19,16.59
2021-12-20,16.59
2021-12-21,16.59
2021-12-22,16.59
2021-12-23,16.59
2021-12-24,16.59
2021-12-25,16.59
2021-12-26,16.59
2021-12-27,16.59
2021-12-28,16.59
2021-12-29,16.59
2021-12-30,16.59
2021-12-31,16.59
2022-01-01,16.59
2022-01-02,16.59
2022-01-03,16.59
2022-01-04,16.59
2022-01-05,16.59
2022-01-06,16.59
2022-01-07,16.59
2022-01-08,16.59
2022-01-09,16.59
2022-01-10,16.59
2022-01-11,16.59
2022-01-12,16.59
2022-01-13,16.59
2022-01-14,16.59
2022-01-15,16.59
2022-01-16,16.59
2022-01-17,16.59
2022-01-18,16.59
2022-01-19,16.59
2022-01-20,15.305
2022-01-21,15.305
2022-01-22,15.305
2022-01-23,15.305
2022-01-24,15.305
2022-01-25,15.305
2022-01-26,15.305
2022-01-27,15.305
2022-01-28,15.305
2022-01-29,15.305
2022-01-30,15.305
2022-01-31,15.305
2022-02-01,15.305
2022-02-02,15.305
2022-02-03,15.305
2022-02-04,15.305
2022-02-05,15.305
2022-02-06,15.305
2022-02-07,15.305
2022-02-08,15.305
2022-02-09,15.305
2022-02-10,15.305
2022-02-11,15.305
2022-02-12,15.305
2022-02-13,15.305
2022-02-14,15.305
2022-02-15,15.213
2022-02-16,15.213
2022-02-17,15.213
2022-02-18,15.213
2022-02-19,15.213
2022-02-20,15.213
2022-02-21,15.213
2022-02-22,15.213
2022-02-23,15.213
2022-02-24,15.213
2022-02-25,15.213
2022-02-26,15.213
2022-02-27,15.213
2022-02-28,15.213
2022-03-01,15.213
2022-03-02,14.71
2022-03-03,14.71
2022-03-04,14.71
2022-03-05,14.71
2022-03-06,14.71
2022-03-07,14.71
2022-03-08,14.71
2022-03-09,14.71
2022-03-10,14.71
2022-03-11,14.717
2022-03-12,14.717
2022-03-13,14.717
2022-03-14,14.717
2022-03-15,14.717
2022-03-16,14.717
2022-03-17,14.717
2022-03-18,14.717
2022-03-19,14.717
2022-03-20,14.717
2022-03-21,14.717
2022-03-22,14.717
2022-03-23,14.717
2022-03-24,14.717
2022-03-25,14.717
2022-03-26,14.717
2022-03-27,14.717
2022-03-28,14.717
2022-03-29,14.717
2022-03-30,14.717
2022-03-31,14.717
2022-04-01,14.717
2022-04-02,14.717
2022-04-03,14.717
2022-04-04,14.717
2022-04-05,14.717
2022-04-06,14.717
2022-04-07,14.717
2022-04-08,14.717
2022-04-09,14.717
2022-04-10,14.717
2022-04-11,14.717
2022-04-12,14.717
2022-04-13,14.717
2022-04-14,14.717
2022-04-15,14.717
2022-04-16,14.717
2022-04-17,14.717
2022-04-18,14.717
2022-04-19,14.37
2022-04-20,15.685
2022-04-21,15.685
2022-04-22,15.685
2022-04-23,15.685
2022-04-24,15.685
2022-04-25,15.685
2022-04-26,15.685
2022-04-27,15.685
2022-04-28,15.685
2022-04-29,15.685
2022-04-30,15.685
2022-05-01,15.685
2022-05-02,15.685
2022-05-03,16.37
2022-05-04,16.37
2022-05-05,16.37
2022-05-06,16.37
2022-05-07,16.37
2022-05-08,16.37
2022-05-09,16.37
2022-05-10,16.37
2022-05-11,16.37
2022-05-12,18.193
2022-05-13,18.193
2022-05-14,18.193
2022-05-15,18.193
2022-05-16,18.193
2022-05-17,18.193
2022-05-18,18.193
2022-05-19,18.193
2022-05-20,18.193
2022-05-21,18.193
2022-05-22,18.193
2022-05-23,18.193
2022-05-24,18.193
2022-05-25,18.193
2022-05-26,18.193
2022-05-27,18.193
2022-05-28,18.193
2022-05-29,18.193
2022-05-30,18.193
2022-05-31,18.193
2022-06-01,18.193
2022-06-02,18.193
2022-06-03,18.193
2022-06-04,18.193
2022-06-05,18.193
2022-06-06,18.827
2022-06-07,18.827
2022-06-08,18.827
2022-06-09,18.827
2022-06-10,18.827
2022-06-11,18.827
2022-06-12,18.827
2022-06-13,18.827
2022-06-14,18.827
2022-06-15,19.893
2022-06-16,19.893
2022-06-17,19.893
2022-06-18,19.893
2022-06-19,19.893
2022-06-20,19.893
2022-06-21,19.893
2022-06-22,19.893
2022-06-23,19.893
2022-06-24,19.893
2022-06-25,19.893
2022-06-26,19.893
2022-06-27,19.893
2022-06-28,19.893
2022-06-29,19.893
2022-06-30,19.893
2022-07-01,19.893
2022-07-02,19.893
2022-07-03,19.893
2022-07-04,19.893
2022-07-05,18.678
2022-07-06,18.678
2022-07-07,18.678
2022-07-08,18.678
2022-07-09,18.678
2022-07-10,18.678
2022-07-11,18.678
2022-07-12,18.678
2022-07-13,18.678
2022-07-14,17.06
2022-07-15,17.06
2022-07-16,17.06
2022-07-17,17.06
2022-07-18,17.06
2022-07-19,17.06
2022-07-20,17.06
2022-07-21,17.06
2022-07-22,17.06
2022-07-23,17.06
2022-07-24,17.06
2022-07-25,17.06
2022-07-26,17.06
2022-07-27,17.06
2022-07-28,17.06
2022-07-29,17.06
2022-07-30,17.06
2022-07-31,17.06
2022-08-01,17.06
2022-08-02,18.183
2022-08-03,18.313
2022-08-04,18.313
2022-08-05,18.313
2022-08-06,18.313
2022-08-07,18.313
2022-08-08,18.313
2022-08-09,18.313
2022-08-10,18.313
2022-08-11,18.313
2022-08-12,18.313
2022-08-13,18.313
2022-08-14,18.313
2022-08-15,18.313
2022-08-16,18.313
2022-08-17,18.313
2022-08-18,18.313
2022-08-19,18.313
2022-08-20,18.313
2022-08-21,18.313
2022-08-22,18.313
2022-08-23,18.313
2022-08-24,18.313
2022-08-25,18.313
2022-08-26,18.313
2022-08-27,18.313
2022-08-28,18.313
2022-08-29,18.313
2022-08-30,18.313
2022-08-31,18.313
2022-09-01,18.313
2022-09-02,18.313
2022-09-03,18.313
2022-09-04,18.313
2022-09-05,18.313
2022-09-06,18.523
2022-09-07,18.523
2022-09-08,18.523
2022-09-09,18.523
2022-09-10,18.523
2022-09-11,18.523
2022-09-12,18.523
2022-09-13,18.523
2022-09-14,18.523
2022-09-15,18.523
2022-09-16,18.523
2022-09-17,18.523
2022-09-18,18.523
2022-09-19,18.523
2022-09-20,18.523
2022-09-21,18.523
2022-09-22,18.523
2022-09-23,18.523
2022-09-24,18.523
2022-09-25,18.523
2022-09-26,18.523
2022-09-27,18.523
2022-09-28,18.523
2022-09-29,18.523
2022-09-30,18.523
2022-10-01,18.523
2022-10-02,18.523
2022-10-03,18.523
2022-10-04,18.523
2022-10-05,18.523
2022-10-06,18.523
2022-10-07,18.09
2022-10-08,18.09
2022-10-09,18.09
2022-10-10,18.09
2022-10-11,18.09
2022-10-12,18.09
2022-10-13,18.09
2022-10-14,18.09
2022-10-15,18.09
2022-10-16,18.09
2022-10-17,18.09
2022-10-18,18.09
2022-10-19,18.09
2022-10-20,18.09
2022-10-21,18.09
2022-10-22,18.09
2022-10-23,18.09
2022-10-24,17.68
2022-10-25,17.68
2022-10-26,17.68
2022-10-27,17.68
2022-10-28,17.68
2022-10-29,17.68
2022-10-30,17.68
2022-10-31,17.68
2022-11-01,18.005
2022-11-02,19.998
2022-11-03,19.998
2022-11-04,19.998
2022-11-05,19.998
2022-11-06,19.998
2022-11-07,19.998
2022-11-08,19.998
2022-11-09,19.998
2022-11-10,19.998
2022-11-11,19.998
2022-11-12,19.998
2022-11-13,19.998
2022-11-14,18.76
2022-11-15,18.76
2022-11-16,18.76
2022-11-17,18.76
2022-11-18,18.76
2022-11-19,18.76
2022-11-20,18.76
2022-11-21,18.76
2022-11-22,18.76
2022-11-23,18.76
2022-11-24,18.76
2022-11-25,18.76
2022-11-26,18.76
2022-11-27,18.76
2022-11-28,18.76
2022-11-29,18.76
2022-11-30,18.76
2022-12-01,18.76
2022-12-02,18.76
2022-12-03,18.76
2022-12-04,18.76
2022-12-05,19.558
2022-12-06,19.558
2022-12-07,19.558
2022-12-08,19.558
2022-12-09,19.558
2022-12-10,19.558
2022-12-11,19.558
2022-12-12,19.558
2022-12-13,19.558
2022-12-14,19.558
2022-12-15,19.558
2022-12-16,19.558
2022-12-17,19.558
2022-12-18,19.558
2022-12-19,19.558
2022-12-20,19.558
2022-12-21,19.558
2022-12-22,19.558
2022-12-23,19.558
2022-12-24,19.558
2022-12-25,19.558
2022-12-26,19.558
2022-12-27,19.558
2022-12-28,19.558
2022-12-29,19.558
2022-12-30,19.558
2022-12-31,19.558
2023-01-01,19.558
2023-01-02,19.558
2023-01-03,19.558
2023-01-04,19.298
2023-01-05,19.298
2023-01-06,19.21
2023-01-07,19.21
2023-01-08,19.21
2023-01-09,19.21
2023-01-10,19.21
2023-01-11,19.21
2023-01-12,19.21
2023-01-13,19.21
2023-01-14,19.21
2023-01-15,19.21
2023-01-16,19.21
2023-01-17,19.21
2023-01-18,19.21
2023-01-19,19.21
2023-01-20,19.21
2023-01-21,19.21
2023-01-22,19.21
2023-01-23,19.21
2023-01-24,19.21
2023-01-25,18.965
2023-01-26,18.965
2023-01-27,18.965
2023-01-28,18.965
2023-01-29,18.965
2023-01-30,18.965
2023-01-31,18.965
2023-02-01,18.965
2023-02-02,18.965
2023-02-03,18.965
2023-02-04,18.965
2023-02-05,18.965
2023-02-06,18.965
2023-02-07,18.965
2023-02-08,18.965
2023-02-09,18.965
2023-02-10,18.965
2023-02-11,18.965
2023-02-12,18.965
2023-02-13,18.965
2023-02-14,19.55
2023-02-15,22.256
2023-02-16,22.256
2023-02-17,22.256
2023-02-18,22.256
2023-02-19,22.256
2023-02-20,22.256
2023-02-21,22.256
2023-02-22,23.089
2023-02-23,23.089
2023-02-24,23.404
2023-02-25,23.404
2023-02-26,23.404
2023-02-27,23.404
2023-02-28,23.404
2023-03-01,23.404
2023-03-02,23.404
2023-03-03,23.404
2023-03-04,22.412
2023-03-05,22.412
2023-03-06,22.412
2023-03-07,22.412
2023-03-08,22.412
2023-03-09,22.412
2023-03-10,22.412
2023-03-11,22.412
2023-03-12,22.412
2023-03-13,22.412
2023-03-14,22.412
2023-03-15,22.412
2023-03-16,22.412
2023-03-17,22.412
2023-03-18,22.412
2023-03-19,22.412
2023-03-20,22.412
2023-03-21,22.412
2023-03-22,22.412
2023-03-23,22.412
2023-03-24,22.412
2023-03-25,22.412
2023-03-26,22.412
2023-03-27,22.412
2023-03-28,22.412
2023-03-29,22.412
2023-03-30,22.412
2023-03-31,22.412
2023-04-01,22.412
2023-04-02,22.412
2023-04-03,22.412
2023-04-04,22.412
2023-04-05,22.412
2023-04-06,22.258
2023-04-07,22.258
2023-04-08,22.258
2023-04-09,22.258
2023-04-10,22.258
2023-04-11,22.258
2023-04-12,22.318
2023-04-13,22.318
2023-04-14,22.318
2023-04-15,22.318
2023-04-16,22.318
2023-04-17,22.318
2023-04-18,22.318
2023-04-19,21.652
2023-04-20,21.652
2023-04-21,21.818
2023-04-22,21.818
2023-04-23,21.818
2023-04-24,21.818
2023-04-25,21.818
2023-04-26,21.877
2023-04-27,21.877
2023-04-28,21.877
2023-04-29,21.877
2023-04-30,21.877
2023-05-01,21.877
2023-05-02,23.177
2023-05-03,23.0
2023-05-04,23.0
2023-05-05,23.356
2023-05-06,23.356
2023-05-07,23.356
2023-05-08,23.356
2023-05-09,23.356
2023-05-10,23.356
2023-05-11,23.356
2023-05-12,23.356
2023-05-13,23.356
2023-05-14,23.356
2023-05-15,23.64
2023-05-16,23.64
2023-05-17,23.64
2023-05-18,23.64
2023-05-19,23.64
2023-05-20,23.64
2023-05-21,23.64
2023-05-22,23.64
2023-05-23,23.64
2023-05-24,23.64
2023-05-25,23.64
2023-05-26,23.64
2023-05-27,23.64
2023-05-28,23.64
2023-05-29,23.64
2023-05-30,23.64
2023-05-31,23.779
2023-06-01,23.779
2023-06-02,24.136
2023-06-03,24.136
2023-06-04,24.136
2023-06-05,24.136
2023-06-06,24.136
2023-06-07,24.136
2023-06-08,24.136
2023-06-09,24.136
2023-06-10,24.136
2023-06-11,24.136
2023-06-12,24.136
2023-06-13,24.136
2023-06-14,24.136
2023-06-15,24.136
2023-06-16,24.136
2023-06-17,24.136
2023-06-18,24.136
2023-06-19,24.136
2023-06-20,24.217
2023-06-21,24.217
2023-06-22,24.217
2023-06-23,24.217
2023-06-24,24.217
2023-06-25,24.217
2023-06-26,24.217
2023-06-27,24.217
2023-06-28,24.217
2023-06-29,24.257
2023-06-30,24.257
2023-07-01,24.257
2023-07-02,24.257
2023-07-03,24.257
2023-07-04,24.223
2023-07-05,24.223
2023-07-06,24.223
2023-07-07,24.223
2023-07-08,24.223
2023-07-09,24.223
2023-07-10,24.223
2023-07-11,24.223
2023-07-12,24.223
2023-07-13,24.223
2023-07-14,24.223
2023-07-15,24.223
2023-07-16,24.223
2023-07-17,24.223
2023-07-18,24.223
2023-07-19,24.223
2023-07-20,24.266
2023-07-21,24.266
2023-07-22,24.266
2023-07-23,24.266
2023-07-24,24.266
2023-07-25,24.266
2023-07-26,24.266
2023-07-27,24.266
2023-07-28,24.266
2023-07-29,24.266
2023-07-30,24.266
2023-07-31,24.266
2023-08-01,24.379
2023-08-02,24.466
2023-08-03,25.254
