,HUBG US Equity
2021-05-22,2.14
2021-05-23,2.14
2021-05-24,2.14
2021-05-25,2.14
2021-05-26,2.14
2021-05-27,2.14
2021-05-28,2.14
2021-05-29,2.14
2021-05-30,2.14
2021-05-31,2.14
2021-06-01,2.14
2021-06-02,2.14
2021-06-03,2.223
2021-06-04,2.223
2021-06-05,2.223
2021-06-06,2.223
2021-06-07,2.223
2021-06-08,2.223
2021-06-09,2.223
2021-06-10,2.223
2021-06-11,2.223
2021-06-12,2.223
2021-06-13,2.223
2021-06-14,2.223
2021-06-15,2.223
2021-06-16,2.223
2021-06-17,2.223
2021-06-18,2.223
2021-06-19,2.223
2021-06-20,2.223
2021-06-21,2.223
2021-06-22,2.223
2021-06-23,2.223
2021-06-24,2.223
2021-06-25,2.223
2021-06-26,2.223
2021-06-27,2.223
2021-06-28,2.285
2021-06-29,2.285
2021-06-30,2.285
2021-07-01,2.285
2021-07-02,2.285
2021-07-03,2.285
2021-07-04,2.285
2021-07-05,2.285
2021-07-06,2.285
2021-07-07,2.285
2021-07-08,2.285
2021-07-09,2.285
2021-07-10,2.285
2021-07-11,2.285
2021-07-12,2.285
2021-07-13,2.285
2021-07-14,2.285
2021-07-15,2.285
2021-07-16,2.285
2021-07-17,2.285
2021-07-18,2.285
2021-07-19,2.285
2021-07-20,2.285
2021-07-21,2.285
2021-07-22,2.285
2021-07-23,2.285
2021-07-24,2.285
2021-07-25,2.285
2021-07-26,2.285
2021-07-27,2.285
2021-07-28,2.285
2021-07-29,2.37
2021-07-30,2.37
2021-07-31,2.48
2021-08-01,2.48
2021-08-02,2.475
2021-08-03,2.475
2021-08-04,2.475
2021-08-05,2.475
2021-08-06,2.475
2021-08-07,2.475
2021-08-08,2.475
2021-08-09,2.475
2021-08-10,2.475
2021-08-11,2.475
2021-08-12,2.475
2021-08-13,2.475
2021-08-14,2.475
2021-08-15,2.475
2021-08-16,2.475
2021-08-17,2.475
2021-08-18,2.475
2021-08-19,2.475
2021-08-20,2.475
2021-08-21,2.475
2021-08-22,2.475
2021-08-23,2.475
2021-08-24,2.475
2021-08-25,2.475
2021-08-26,2.475
2021-08-27,2.475
2021-08-28,2.475
2021-08-29,2.475
2021-08-30,2.43
2021-08-31,2.43
2021-09-01,2.43
2021-09-02,2.43
2021-09-03,2.43
2021-09-04,2.43
2021-09-05,2.43
2021-09-06,2.43
2021-09-07,2.43
2021-09-08,2.43
2021-09-09,2.43
2021-09-10,2.43
2021-09-11,2.43
2021-09-12,2.43
2021-09-13,2.43
2021-09-14,2.43
2021-09-15,2.43
2021-09-16,2.43
2021-09-17,2.43
2021-09-18,2.43
2021-09-19,2.43
2021-09-20,2.43
2021-09-21,2.43
2021-09-22,2.43
2021-09-23,2.43
2021-09-24,2.43
2021-09-25,2.43
2021-09-26,2.43
2021-09-27,2.43
2021-09-28,2.43
2021-09-29,2.43
2021-09-30,2.43
2021-10-01,2.43
2021-10-02,2.43
2021-10-03,2.43
2021-10-04,2.43
2021-10-05,2.43
2021-10-06,2.43
2021-10-07,2.43
2021-10-08,2.43
2021-10-09,2.43
2021-10-10,2.43
2021-10-11,2.43
2021-10-12,2.43
2021-10-13,2.43
2021-10-14,2.43
2021-10-15,2.43
2021-10-16,2.43
2021-10-17,2.43
2021-10-18,2.43
2021-10-19,2.43
2021-10-20,2.467
2021-10-21,2.467
2021-10-22,2.467
2021-10-23,2.467
2021-10-24,2.467
2021-10-25,2.467
2021-10-26,2.467
2021-10-27,2.467
2021-10-28,2.497
2021-10-29,2.497
2021-10-30,2.567
2021-10-31,2.567
2021-11-01,2.62
2021-11-02,2.62
2021-11-03,2.62
2021-11-04,2.62
2021-11-05,2.62
2021-11-06,2.62
2021-11-07,2.62
2021-11-08,2.62
2021-11-09,2.62
2021-11-10,2.62
2021-11-11,2.62
2021-11-12,2.62
2021-11-13,2.62
2021-11-14,2.62
2021-11-15,2.62
2021-11-16,2.62
2021-11-17,2.62
2021-11-18,2.62
2021-11-19,2.62
2021-11-20,2.62
2021-11-21,2.62
2021-11-22,2.62
2021-11-23,2.62
2021-11-24,2.62
2021-11-25,2.62
2021-11-26,2.62
2021-11-27,2.62
2021-11-28,2.62
2021-11-29,2.62
2021-11-30,2.62
2021-12-01,2.62
2021-12-02,2.62
2021-12-03,2.62
2021-12-04,2.62
2021-12-05,2.62
2021-12-06,2.62
2021-12-07,2.62
2021-12-08,2.68
2021-12-09,2.68
2021-12-10,2.68
2021-12-11,2.68
2021-12-12,2.68
2021-12-13,2.68
2021-12-14,2.68
2021-12-15,2.68
2021-12-16,2.68
2021-12-17,2.68
2021-12-18,2.68
2021-12-19,2.68
2021-12-20,2.68
2021-12-21,2.68
2021-12-22,2.68
2021-12-23,2.68
2021-12-24,2.68
2021-12-25,2.68
2021-12-26,2.68
2021-12-27,2.68
2021-12-28,2.68
2021-12-29,2.68
2021-12-30,2.68
2021-12-31,2.68
2022-01-01,2.68
2022-01-02,2.68
2022-01-03,2.68
2022-01-04,2.68
2022-01-05,2.68
2022-01-06,2.68
2022-01-07,2.68
2022-01-08,2.68
2022-01-09,2.68
2022-01-10,2.68
2022-01-11,2.68
2022-01-12,2.68
2022-01-13,2.68
2022-01-14,2.687
2022-01-15,2.687
2022-01-16,2.687
2022-01-17,2.687
2022-01-18,2.687
2022-01-19,2.703
2022-01-20,2.703
2022-01-21,2.703
2022-01-22,2.703
2022-01-23,2.703
2022-01-24,2.703
2022-01-25,2.703
2022-01-26,2.703
2022-01-27,2.703
2022-01-28,2.703
2022-01-29,2.703
2022-01-30,2.703
2022-01-31,2.703
2022-02-01,2.703
2022-02-02,2.703
2022-02-03,2.703
2022-02-04,2.703
2022-02-05,2.703
2022-02-06,2.703
2022-02-07,2.703
2022-02-08,2.7
2022-02-09,2.745
2022-02-10,2.993
2022-02-11,2.993
2022-02-12,2.993
2022-02-13,2.993
2022-02-14,2.866
2022-02-15,2.866
2022-02-16,2.866
2022-02-17,2.866
2022-02-18,2.866
2022-02-19,2.866
2022-02-20,2.866
2022-02-21,2.866
2022-02-22,2.866
2022-02-23,2.866
2022-02-24,2.866
2022-02-25,2.866
2022-02-26,2.866
2022-02-27,2.866
2022-02-28,2.866
2022-03-01,2.866
2022-03-02,2.866
2022-03-03,2.866
2022-03-04,2.866
2022-03-05,2.866
2022-03-06,2.866
2022-03-07,2.866
2022-03-08,2.866
2022-03-09,2.866
2022-03-10,2.866
2022-03-11,2.866
2022-03-12,2.866
2022-03-13,2.866
2022-03-14,2.866
2022-03-15,2.866
2022-03-16,2.866
2022-03-17,2.866
2022-03-18,2.866
2022-03-19,2.866
2022-03-20,2.866
2022-03-21,2.866
2022-03-22,2.866
2022-03-23,2.866
2022-03-24,2.866
2022-03-25,2.866
2022-03-26,2.866
2022-03-27,2.866
2022-03-28,2.866
2022-03-29,2.866
2022-03-30,2.866
2022-03-31,2.866
2022-04-01,2.866
2022-04-02,2.866
2022-04-03,2.866
2022-04-04,2.87
2022-04-05,2.87
2022-04-06,2.87
2022-04-07,2.862
2022-04-08,2.87
2022-04-09,2.87
2022-04-10,2.87
2022-04-11,2.87
2022-04-12,2.87
2022-04-13,2.87
2022-04-14,2.87
2022-04-15,2.87
2022-04-16,2.87
2022-04-17,2.87
2022-04-18,2.87
2022-04-19,2.87
2022-04-20,2.87
2022-04-21,2.87
2022-04-22,2.87
2022-04-23,2.87
2022-04-24,2.87
2022-04-25,2.87
2022-04-26,2.87
2022-04-27,2.87
2022-04-28,2.834
2022-04-29,3.023
2022-04-30,3.023
2022-05-01,3.023
2022-05-02,3.227
2022-05-03,3.588
2022-05-04,3.588
2022-05-05,3.544
2022-05-06,3.544
2022-05-07,3.544
2022-05-08,3.544
2022-05-09,3.415
2022-05-10,3.415
2022-05-11,3.415
2022-05-12,3.415
2022-05-13,3.415
2022-05-14,3.415
2022-05-15,3.415
2022-05-16,3.415
2022-05-17,3.415
2022-05-18,3.415
2022-05-19,3.415
2022-05-20,3.415
2022-05-21,3.415
2022-05-22,3.415
2022-05-23,3.415
2022-05-24,3.415
2022-05-25,3.415
2022-05-26,3.415
2022-05-27,3.415
2022-05-28,3.415
2022-05-29,3.415
2022-05-30,3.415
2022-05-31,3.415
2022-06-01,3.415
2022-06-02,3.415
2022-06-03,3.415
2022-06-04,3.415
2022-06-05,3.415
2022-06-06,3.415
2022-06-07,3.415
2022-06-08,3.415
2022-06-09,3.415
2022-06-10,3.415
2022-06-11,3.415
2022-06-12,3.415
2022-06-13,3.415
2022-06-14,3.415
2022-06-15,3.415
2022-06-16,3.415
2022-06-17,3.415
2022-06-18,3.415
2022-06-19,3.415
2022-06-20,3.415
2022-06-21,3.415
2022-06-22,3.415
2022-06-23,3.415
2022-06-24,3.415
2022-06-25,3.415
2022-06-26,3.415
2022-06-27,3.415
2022-06-28,3.415
2022-06-29,3.415
2022-06-30,3.415
2022-07-01,3.415
2022-07-02,3.415
2022-07-03,3.415
2022-07-04,3.415
2022-07-05,3.415
2022-07-06,3.415
2022-07-07,3.415
2022-07-08,3.412
2022-07-09,3.412
2022-07-10,3.412
2022-07-11,3.412
2022-07-12,3.395
2022-07-13,3.395
2022-07-14,3.395
2022-07-15,3.395
2022-07-16,3.395
2022-07-17,3.395
2022-07-18,3.395
2022-07-19,3.395
2022-07-20,3.395
2022-07-21,3.395
2022-07-22,3.395
2022-07-23,3.395
2022-07-24,3.395
2022-07-25,3.395
2022-07-26,3.395
2022-07-27,3.395
2022-07-28,3.395
2022-07-29,3.395
2022-07-30,3.395
2022-07-31,3.395
2022-08-01,3.395
2022-08-02,3.395
2022-08-03,3.477
2022-08-04,3.547
2022-08-05,3.547
2022-08-06,3.547
2022-08-07,3.547
2022-08-08,3.547
2022-08-09,3.547
2022-08-10,3.547
2022-08-11,3.547
2022-08-12,3.547
2022-08-13,3.547
2022-08-14,3.547
2022-08-15,3.582
2022-08-16,3.582
2022-08-17,3.582
2022-08-18,3.582
2022-08-19,3.582
2022-08-20,3.582
2022-08-21,3.582
2022-08-22,3.582
2022-08-23,3.582
2022-08-24,3.582
2022-08-25,3.582
2022-08-26,3.582
2022-08-27,3.582
2022-08-28,3.582
2022-08-29,3.582
2022-08-30,3.582
2022-08-31,3.582
2022-09-01,3.582
2022-09-02,3.582
2022-09-03,3.582
2022-09-04,3.582
2022-09-05,3.582
2022-09-06,3.582
2022-09-07,3.628
2022-09-08,3.628
2022-09-09,3.628
2022-09-10,3.628
2022-09-11,3.628
2022-09-12,3.628
2022-09-13,3.628
2022-09-14,3.628
2022-09-15,3.628
2022-09-16,3.628
2022-09-17,3.628
2022-09-18,3.628
2022-09-19,3.628
2022-09-20,3.628
2022-09-21,3.628
2022-09-22,3.628
2022-09-23,3.628
2022-09-24,3.628
2022-09-25,3.628
2022-09-26,3.628
2022-09-27,3.628
2022-09-28,3.628
2022-09-29,3.628
2022-09-30,3.628
2022-10-01,3.628
2022-10-02,3.628
2022-10-03,3.577
2022-10-04,3.643
2022-10-05,3.643
2022-10-06,3.643
2022-10-07,3.643
2022-10-08,3.643
2022-10-09,3.643
2022-10-10,3.643
2022-10-11,3.682
2022-10-12,3.647
2022-10-13,3.647
2022-10-14,3.647
2022-10-15,3.647
2022-10-16,3.647
2022-10-17,3.647
2022-10-18,3.647
2022-10-19,3.647
2022-10-20,3.647
2022-10-21,3.647
2022-10-22,3.647
2022-10-23,3.647
2022-10-24,3.647
2022-10-25,3.647
2022-10-26,3.647
2022-10-27,3.715
2022-10-28,3.683
2022-10-29,3.683
2022-10-30,3.68
2022-10-31,3.726
2022-11-01,3.726
2022-11-02,3.726
2022-11-03,3.726
2022-11-04,3.726
2022-11-05,3.726
2022-11-06,3.726
2022-11-07,3.726
2022-11-08,3.726
2022-11-09,3.726
2022-11-10,3.726
2022-11-11,3.726
2022-11-12,3.726
2022-11-13,3.726
2022-11-14,3.726
2022-11-15,3.726
2022-11-16,3.726
2022-11-17,3.726
2022-11-18,3.726
2022-11-19,3.726
2022-11-20,3.726
2022-11-21,3.726
2022-11-22,3.726
2022-11-23,3.726
2022-11-24,3.726
2022-11-25,3.726
2022-11-26,3.726
2022-11-27,3.726
2022-11-28,3.726
2022-11-29,3.726
2022-11-30,3.726
2022-12-01,3.726
2022-12-02,3.726
2022-12-03,3.726
2022-12-04,3.726
2022-12-05,3.726
2022-12-06,3.726
2022-12-07,3.726
2022-12-08,3.726
2022-12-09,3.726
2022-12-10,3.726
2022-12-11,3.726
2022-12-12,3.726
2022-12-13,3.726
2022-12-14,3.726
2022-12-15,3.726
2022-12-16,3.726
2022-12-17,3.726
2022-12-18,3.726
2022-12-19,3.726
2022-12-20,3.726
2022-12-21,3.726
2022-12-22,3.726
2022-12-23,3.726
2022-12-24,3.726
2022-12-25,3.726
2022-12-26,3.726
2022-12-27,3.726
2022-12-28,3.726
2022-12-29,3.726
2022-12-30,3.726
2022-12-31,3.726
2023-01-01,3.726
2023-01-02,3.726
2023-01-03,3.703
2023-01-04,3.703
2023-01-05,3.716
2023-01-06,3.716
2023-01-07,3.716
2023-01-08,3.716
2023-01-09,3.728
2023-01-10,3.772
2023-01-11,3.804
2023-01-12,3.804
2023-01-13,3.804
2023-01-14,3.804
2023-01-15,3.804
2023-01-16,3.804
2023-01-17,3.818
2023-01-18,3.818
2023-01-19,3.818
2023-01-20,3.818
2023-01-21,3.818
2023-01-22,3.818
2023-01-23,3.818
2023-01-24,3.818
2023-01-25,3.818
2023-01-26,3.818
2023-01-27,3.818
2023-01-28,3.818
2023-01-29,3.818
2023-01-30,3.818
2023-01-31,3.818
2023-02-01,3.818
2023-02-02,3.892
2023-02-03,3.929
2023-02-04,3.929
2023-02-05,3.929
2023-02-06,3.952
2023-02-07,3.953
2023-02-08,3.953
2023-02-09,3.954
2023-02-10,3.954
2023-02-11,3.954
2023-02-12,3.954
2023-02-13,3.954
2023-02-14,3.954
2023-02-15,3.954
2023-02-16,3.954
2023-02-17,3.954
2023-02-18,3.954
2023-02-19,3.954
2023-02-20,3.954
2023-02-21,3.954
2023-02-22,3.954
2023-02-23,3.954
2023-02-24,3.954
2023-02-25,3.954
2023-02-26,3.954
2023-02-27,3.954
2023-02-28,3.954
2023-03-01,3.954
2023-03-02,3.954
2023-03-03,3.937
2023-03-04,3.937
2023-03-05,3.937
2023-03-06,3.937
2023-03-07,3.937
2023-03-08,3.937
2023-03-09,3.937
2023-03-10,3.937
2023-03-11,3.937
2023-03-12,3.937
2023-03-13,3.937
2023-03-14,3.937
2023-03-15,3.937
2023-03-16,3.937
2023-03-17,3.937
2023-03-18,3.937
2023-03-19,3.937
2023-03-20,3.937
2023-03-21,3.937
2023-03-22,3.937
2023-03-23,3.937
2023-03-24,3.937
2023-03-25,3.937
2023-03-26,3.937
2023-03-27,3.937
2023-03-28,3.937
2023-03-29,3.937
2023-03-30,3.928
2023-03-31,3.928
2023-04-01,3.928
2023-04-02,3.928
2023-04-03,3.902
2023-04-04,3.901
2023-04-05,3.902
2023-04-06,3.902
2023-04-07,3.902
2023-04-08,3.902
2023-04-09,3.902
2023-04-10,3.881
2023-04-11,3.872
2023-04-12,3.872
2023-04-13,3.872
2023-04-14,3.848
2023-04-15,3.848
2023-04-16,3.848
2023-04-17,3.848
2023-04-18,3.848
2023-04-19,3.848
2023-04-20,3.848
2023-04-21,3.848
2023-04-22,3.848
2023-04-23,3.848
2023-04-24,3.848
2023-04-25,3.848
2023-04-26,3.848
2023-04-27,3.747
2023-04-28,3.667
2023-04-29,3.667
2023-04-30,3.613
2023-05-01,3.596
2023-05-02,3.596
2023-05-03,3.591
2023-05-04,3.591
2023-05-05,3.591
2023-05-06,3.591
2023-05-07,3.591
2023-05-08,3.565
2023-05-09,3.565
2023-05-10,3.565
2023-05-11,3.565
2023-05-12,3.565
2023-05-13,3.565
2023-05-14,3.565
2023-05-15,3.565
2023-05-16,3.565
2023-05-17,3.565
2023-05-18,3.544
2023-05-19,3.544
2023-05-20,3.544
2023-05-21,3.544
2023-05-22,3.544
2023-05-23,3.544
2023-05-24,3.544
2023-05-25,3.544
2023-05-26,3.544
2023-05-27,3.544
2023-05-28,3.544
2023-05-29,3.544
2023-05-30,3.544
2023-05-31,3.544
2023-06-01,3.544
2023-06-02,3.544
2023-06-03,3.544
2023-06-04,3.544
2023-06-05,3.544
2023-06-06,3.541
2023-06-07,3.541
2023-06-08,3.541
2023-06-09,3.541
2023-06-10,3.541
2023-06-11,3.541
2023-06-12,3.539
2023-06-13,3.539
2023-06-14,3.539
2023-06-15,3.539
2023-06-16,3.539
2023-06-17,3.539
2023-06-18,3.539
2023-06-19,3.539
2023-06-20,3.539
2023-06-21,3.539
2023-06-22,3.539
2023-06-23,3.539
2023-06-24,3.539
2023-06-25,3.539
2023-06-26,3.539
2023-06-27,3.522
2023-06-28,3.522
2023-06-29,3.516
2023-06-30,3.516
2023-07-01,3.516
2023-07-02,3.516
2023-07-03,3.516
2023-07-04,3.516
2023-07-05,3.516
2023-07-06,3.515
2023-07-07,3.512
2023-07-08,3.512
2023-07-09,3.512
2023-07-10,3.51
2023-07-11,3.489
2023-07-12,3.489
2023-07-13,3.472
2023-07-14,3.472
2023-07-15,3.472
2023-07-16,3.472
2023-07-17,3.472
2023-07-18,3.466
2023-07-19,3.456
2023-07-20,3.456
2023-07-21,3.456
2023-07-22,3.456
2023-07-23,3.456
2023-07-24,3.456
2023-07-25,3.456
2023-07-26,3.456
2023-07-27,3.428
2023-07-28,3.434
2023-07-29,3.434
2023-07-30,3.434
2023-07-31,3.408
2023-08-01,3.408
2023-08-02,3.408
2023-08-03,3.399
2023-08-04,3.399
2023-08-05,3.399
2023-08-06,3.399
2023-08-07,3.399
2023-08-08,3.399
2023-08-09,3.399
2023-08-10,3.399
2023-08-11,3.399
2023-08-12,3.399
2023-08-13,3.399
2023-08-14,3.389
2023-08-15,3.389
2023-08-16,3.389
2023-08-17,3.389
2023-08-18,3.389
2023-08-19,3.389
2023-08-20,3.389
2023-08-21,3.389
2023-08-22,3.389
2023-08-23,3.389
