,ALLY US Equity
2021-05-11,8.13
2021-05-12,8.13
2021-05-13,8.13
2021-05-14,8.13
2021-05-15,8.13
2021-05-16,8.13
2021-05-17,8.13
2021-05-18,8.13
2021-05-19,8.13
2021-05-20,8.13
2021-05-21,8.13
2021-05-22,8.13
2021-05-23,8.13
2021-05-24,8.13
2021-05-25,8.13
2021-05-26,8.13
2021-05-27,8.13
2021-05-28,8.13
2021-05-29,8.13
2021-05-30,8.13
2021-05-31,8.13
2021-06-01,8.13
2021-06-02,8.13
2021-06-03,8.13
2021-06-04,8.13
2021-06-05,8.13
2021-06-06,8.13
2021-06-07,8.13
2021-06-08,8.13
2021-06-09,8.13
2021-06-10,8.13
2021-06-11,8.13
2021-06-12,8.13
2021-06-13,8.13
2021-06-14,8.13
2021-06-15,8.13
2021-06-16,8.13
2021-06-17,8.13
2021-06-18,8.13
2021-06-19,8.13
2021-06-20,8.13
2021-06-21,8.13
2021-06-22,8.13
2021-06-23,8.13
2021-06-24,8.13
2021-06-25,8.13
2021-06-26,8.13
2021-06-27,8.13
2021-06-28,8.13
2021-06-29,8.13
2021-06-30,8.13
2021-07-01,8.13
2021-07-02,8.13
2021-07-03,8.13
2021-07-04,8.13
2021-07-05,8.13
2021-07-06,8.13
2021-07-07,8.13
2021-07-08,8.13
2021-07-09,8.13
2021-07-10,8.13
2021-07-11,8.13
2021-07-12,8.13
2021-07-13,8.13
2021-07-14,8.13
2021-07-15,8.13
2021-07-16,8.13
2021-07-17,8.13
2021-07-18,8.13
2021-07-19,8.13
2021-07-20,8.13
2021-07-21,8.13
2021-07-22,8.13
2021-07-23,8.13
2021-07-24,8.13
2021-07-25,8.13
2021-07-26,8.13
2021-07-27,8.13
2021-07-28,8.13
2021-07-29,8.13
2021-07-30,8.13
2021-07-31,8.13
2021-08-01,8.13
2021-08-02,8.13
2021-08-03,8.13
2021-08-04,8.13
2021-08-05,8.13
2021-08-06,8.13
2021-08-07,8.13
2021-08-08,8.13
2021-08-09,8.13
2021-08-10,8.13
2021-08-11,8.13
2021-08-12,8.13
2021-08-13,8.13
2021-08-14,8.13
2021-08-15,8.13
2021-08-16,8.13
2021-08-17,8.13
2021-08-18,8.13
2021-08-19,8.13
2021-08-20,8.13
2021-08-21,8.13
2021-08-22,8.13
2021-08-23,8.13
2021-08-24,8.13
2021-08-25,8.13
2021-08-26,8.13
2021-08-27,8.13
2021-08-28,8.13
2021-08-29,8.13
2021-08-30,8.13
2021-08-31,8.13
2021-09-01,8.13
2021-09-02,8.13
2021-09-03,8.13
2021-09-04,8.13
2021-09-05,8.13
2021-09-06,8.13
2021-09-07,8.13
2021-09-08,8.13
2021-09-09,8.13
2021-09-10,8.13
2021-09-11,8.13
2021-09-12,8.13
2021-09-13,8.13
2021-09-14,8.13
2021-09-15,8.13
2021-09-16,8.13
2021-09-17,8.13
2021-09-18,8.13
2021-09-19,8.13
2021-09-20,8.13
2021-09-21,8.13
2021-09-22,8.13
2021-09-23,8.13
2021-09-24,8.13
2021-09-25,8.13
2021-09-26,8.13
2021-09-27,8.13
2021-09-28,8.13
2021-09-29,8.13
2021-09-30,8.13
2021-10-01,8.13
2021-10-02,8.13
2021-10-03,8.13
2021-10-04,8.13
2021-10-05,8.13
2021-10-06,8.13
2021-10-07,8.13
2021-10-08,8.13
2021-10-09,8.13
2021-10-10,8.13
2021-10-11,8.13
2021-10-12,8.13
2021-10-13,8.13
2021-10-14,8.13
2021-10-15,8.13
2021-10-16,8.13
2021-10-17,8.13
2021-10-18,8.13
2021-10-19,8.13
2021-10-20,8.13
2021-10-21,8.13
2021-10-22,8.13
2021-10-23,8.13
2021-10-24,8.13
2021-10-25,8.13
2021-10-26,8.13
2021-10-27,8.13
2021-10-28,8.13
2021-10-29,8.13
2021-10-30,8.13
2021-10-31,8.13
2021-11-01,8.13
2021-11-02,8.13
2021-11-03,8.13
2021-11-04,8.13
2021-11-05,8.13
2021-11-06,8.13
2021-11-07,8.13
2021-11-08,8.13
2021-11-09,8.13
2021-11-10,8.13
2021-11-11,8.13
2021-11-12,8.13
2021-11-13,8.13
2021-11-14,8.13
2021-11-15,8.13
2021-11-16,8.13
2021-11-17,8.13
2021-11-18,8.13
2021-11-19,8.13
2021-11-20,8.13
2021-11-21,8.13
2021-11-22,8.13
2021-11-23,8.13
2021-11-24,8.13
2021-11-25,8.13
2021-11-26,8.13
2021-11-27,8.13
2021-11-28,8.13
2021-11-29,8.13
2021-11-30,8.13
2021-12-01,8.13
2021-12-02,8.13
2021-12-03,8.13
2021-12-04,8.13
2021-12-05,8.13
2021-12-06,8.13
2021-12-07,8.13
2021-12-08,8.13
2021-12-09,8.13
2021-12-10,8.13
2021-12-11,8.13
2021-12-12,8.13
2021-12-13,8.13
2021-12-14,8.13
2021-12-15,8.13
2021-12-16,8.13
2021-12-17,8.13
2021-12-18,8.13
2021-12-19,8.13
2021-12-20,8.13
2021-12-21,8.13
2021-12-22,8.13
2021-12-23,8.13
2021-12-24,8.13
2021-12-25,8.13
2021-12-26,8.13
2021-12-27,8.13
2021-12-28,8.13
2021-12-29,8.13
2021-12-30,8.13
2021-12-31,8.13
2022-01-01,8.13
2022-01-02,8.13
2022-01-03,8.13
2022-01-04,8.13
2022-01-05,8.13
2022-01-06,8.13
2022-01-07,8.13
2022-01-08,8.13
2022-01-09,8.13
2022-01-10,8.13
2022-01-11,8.13
2022-01-12,7.68
2022-01-13,7.68
2022-01-14,7.68
2022-01-15,7.68
2022-01-16,7.68
2022-01-17,7.68
2022-01-18,7.68
2022-01-19,7.68
2022-01-20,7.68
2022-01-21,8.28
2022-01-22,8.28
2022-01-23,8.28
2022-01-24,8.435
2022-01-25,8.404
2022-01-26,8.404
2022-01-27,8.404
2022-01-28,8.404
2022-01-29,8.404
2022-01-30,8.404
2022-01-31,8.404
2022-02-01,8.404
2022-02-02,8.404
2022-02-03,8.404
2022-02-04,8.404
2022-02-05,8.404
2022-02-06,8.404
2022-02-07,8.404
2022-02-08,8.404
2022-02-09,8.404
2022-02-10,8.404
2022-02-11,8.404
2022-02-12,8.404
2022-02-13,8.404
2022-02-14,8.404
2022-02-15,8.404
2022-02-16,8.404
2022-02-17,8.404
2022-02-18,8.404
2022-02-19,8.404
2022-02-20,8.404
2022-02-21,8.404
2022-02-22,8.404
2022-02-23,8.404
2022-02-24,8.404
2022-02-25,8.404
2022-02-26,8.404
2022-02-27,8.404
2022-02-28,8.404
2022-03-01,8.344
2022-03-02,8.344
2022-03-03,8.344
2022-03-04,8.344
2022-03-05,8.344
2022-03-06,8.344
2022-03-07,8.344
2022-03-08,8.344
2022-03-09,8.344
2022-03-10,8.344
2022-03-11,8.344
2022-03-12,8.344
2022-03-13,8.344
2022-03-14,8.344
2022-03-15,8.344
2022-03-16,8.344
2022-03-17,8.344
2022-03-18,8.344
2022-03-19,8.344
2022-03-20,8.344
2022-03-21,8.344
2022-03-22,8.344
2022-03-23,8.344
2022-03-24,8.344
2022-03-25,8.344
2022-03-26,8.344
2022-03-27,8.344
2022-03-28,8.298
2022-03-29,8.298
2022-03-30,8.298
2022-03-31,8.298
2022-04-01,8.358
2022-04-02,8.358
2022-04-03,8.358
2022-04-04,8.358
2022-04-05,8.358
2022-04-06,8.367
2022-04-07,8.367
2022-04-08,8.367
2022-04-09,8.367
2022-04-10,8.367
2022-04-11,8.399
2022-04-12,8.399
2022-04-13,8.399
2022-04-14,8.388
2022-04-15,8.335
2022-04-16,8.335
2022-04-17,8.335
2022-04-18,8.136
2022-04-19,8.136
2022-04-20,8.239
2022-04-21,8.239
2022-04-22,8.239
2022-04-23,8.239
2022-04-24,8.239
2022-04-25,8.239
2022-04-26,8.239
2022-04-27,8.239
2022-04-28,8.239
2022-04-29,8.239
2022-04-30,8.239
2022-05-01,8.239
2022-05-02,8.239
2022-05-03,8.239
2022-05-04,8.239
2022-05-05,8.239
2022-05-06,8.239
2022-05-07,8.239
2022-05-08,8.239
2022-05-09,8.239
2022-05-10,8.239
2022-05-11,8.239
2022-05-12,8.239
2022-05-13,8.239
2022-05-14,8.239
2022-05-15,8.239
2022-05-16,8.239
2022-05-17,8.239
2022-05-18,8.239
2022-05-19,8.239
2022-05-20,8.239
2022-05-21,8.239
2022-05-22,8.239
2022-05-23,8.239
2022-05-24,8.239
2022-05-25,8.239
2022-05-26,8.239
2022-05-27,8.239
2022-05-28,8.239
2022-05-29,8.239
2022-05-30,8.239
2022-05-31,8.239
2022-06-01,8.239
2022-06-02,8.239
2022-06-03,8.239
2022-06-04,8.239
2022-06-05,8.239
2022-06-06,8.239
2022-06-07,8.239
2022-06-08,8.239
2022-06-09,8.239
2022-06-10,8.239
2022-06-11,8.239
2022-06-12,8.239
2022-06-13,8.239
2022-06-14,8.711
2022-06-15,8.711
2022-06-16,8.711
2022-06-17,8.711
2022-06-18,8.711
2022-06-19,8.711
2022-06-20,8.711
2022-06-21,8.711
2022-06-22,8.711
2022-06-23,8.693
2022-06-24,8.693
2022-06-25,8.693
2022-06-26,8.693
2022-06-27,8.722
2022-06-28,8.722
2022-06-29,8.722
2022-06-30,8.418
2022-07-01,8.418
2022-07-02,8.418
2022-07-03,8.418
2022-07-04,8.418
2022-07-05,8.309
2022-07-06,8.309
2022-07-07,8.309
2022-07-08,8.309
2022-07-09,8.309
2022-07-10,8.309
2022-07-11,8.137
2022-07-12,8.048
2022-07-13,8.048
2022-07-14,8.048
2022-07-15,7.914
2022-07-16,7.914
2022-07-17,7.914
2022-07-18,7.914
2022-07-19,7.795
2022-07-20,7.763
2022-07-21,7.763
2022-07-22,7.763
2022-07-23,7.763
2022-07-24,7.763
2022-07-25,7.709
2022-07-26,7.709
2022-07-27,7.709
2022-07-28,7.709
2022-07-29,7.709
2022-07-30,7.709
2022-07-31,7.709
2022-08-01,7.439
2022-08-02,7.439
2022-08-03,7.439
2022-08-04,7.439
2022-08-05,7.439
2022-08-06,7.439
2022-08-07,7.439
2022-08-08,7.439
2022-08-09,7.439
2022-08-10,7.439
2022-08-11,7.439
2022-08-12,7.439
2022-08-13,7.439
2022-08-14,7.439
2022-08-15,7.439
2022-08-16,7.439
2022-08-17,7.439
2022-08-18,7.439
2022-08-19,7.439
2022-08-20,7.439
2022-08-21,7.439
2022-08-22,7.439
2022-08-23,7.439
2022-08-24,7.439
2022-08-25,7.439
2022-08-26,7.439
2022-08-27,7.439
2022-08-28,7.439
2022-08-29,7.439
2022-08-30,7.439
2022-08-31,7.439
2022-09-01,7.439
2022-09-02,7.439
2022-09-03,7.439
2022-09-04,7.439
2022-09-05,7.439
2022-09-06,7.439
2022-09-07,7.439
2022-09-08,7.439
2022-09-09,7.439
2022-09-10,7.439
2022-09-11,7.439
2022-09-12,7.439
2022-09-13,7.439
2022-09-14,7.439
2022-09-15,7.43
2022-09-16,7.487
2022-09-17,7.487
2022-09-18,7.487
2022-09-19,7.487
2022-09-20,7.487
2022-09-21,7.487
2022-09-22,7.448
2022-09-23,7.357
2022-09-24,7.357
2022-09-25,7.357
2022-09-26,7.357
2022-09-27,7.357
2022-09-28,7.357
2022-09-29,7.357
2022-09-30,7.357
2022-10-01,7.357
2022-10-02,7.357
2022-10-03,7.353
2022-10-04,7.353
2022-10-05,7.346
2022-10-06,7.346
2022-10-07,7.346
2022-10-08,7.346
2022-10-09,7.346
2022-10-10,7.327
2022-10-11,7.327
2022-10-12,7.283
2022-10-13,7.283
2022-10-14,7.129
2022-10-15,7.129
2022-10-16,7.129
2022-10-17,7.079
2022-10-18,7.079
2022-10-19,6.373
2022-10-20,5.956
2022-10-21,5.956
2022-10-22,5.956
2022-10-23,5.956
2022-10-24,5.787
2022-10-25,5.695
2022-10-26,5.695
2022-10-27,5.695
2022-10-28,5.695
2022-10-29,5.695
2022-10-30,5.695
2022-10-31,5.695
2022-11-01,5.26
2022-11-02,5.166
2022-11-03,5.166
2022-11-04,5.166
2022-11-05,5.166
2022-11-06,5.166
2022-11-07,5.166
2022-11-08,5.166
2022-11-09,5.166
2022-11-10,5.166
2022-11-11,5.166
2022-11-12,5.166
2022-11-13,5.166
2022-11-14,5.166
2022-11-15,5.166
2022-11-16,5.166
2022-11-17,5.166
2022-11-18,5.166
2022-11-19,5.166
2022-11-20,5.166
2022-11-21,5.166
2022-11-22,5.166
2022-11-23,5.166
2022-11-24,5.166
2022-11-25,5.166
2022-11-26,5.166
2022-11-27,5.166
2022-11-28,5.166
2022-11-29,5.166
2022-11-30,5.166
2022-12-01,5.096
2022-12-02,5.096
2022-12-03,5.096
2022-12-04,5.096
2022-12-05,5.046
2022-12-06,5.073
2022-12-07,5.073
2022-12-08,5.073
2022-12-09,5.061
2022-12-10,5.061
2022-12-11,5.001
2022-12-12,5.001
2022-12-13,5.001
2022-12-14,5.001
2022-12-15,5.001
2022-12-16,5.001
2022-12-17,5.001
2022-12-18,5.001
2022-12-19,5.001
2022-12-20,5.001
2022-12-21,4.997
2022-12-22,4.997
2022-12-23,4.997
2022-12-24,4.997
2022-12-25,4.997
2022-12-26,4.997
2022-12-27,4.997
2022-12-28,4.997
2022-12-29,4.997
2022-12-30,4.997
2022-12-31,4.997
2023-01-01,4.997
2023-01-02,4.997
2023-01-03,4.953
2023-01-04,5.008
2023-01-05,4.968
2023-01-06,4.968
2023-01-07,4.968
2023-01-08,4.968
2023-01-09,4.907
2023-01-10,4.785
2023-01-11,4.792
2023-01-12,4.791
2023-01-13,4.791
2023-01-14,4.791
2023-01-15,4.791
2023-01-16,4.791
2023-01-17,4.791
2023-01-18,4.792
2023-01-19,4.792
2023-01-20,4.975
2023-01-21,4.975
2023-01-22,4.975
2023-01-23,5.101
2023-01-24,5.101
2023-01-25,5.101
2023-01-26,5.221
2023-01-27,5.221
2023-01-28,5.221
2023-01-29,5.221
2023-01-30,5.221
2023-01-31,5.221
2023-02-01,5.221
2023-02-02,5.221
2023-02-03,5.178
2023-02-04,5.178
2023-02-05,5.178
2023-02-06,5.178
2023-02-07,5.178
2023-02-08,5.178
2023-02-09,5.178
2023-02-10,5.178
2023-02-11,5.178
2023-02-12,5.178
2023-02-13,5.178
2023-02-14,5.183
2023-02-15,5.183
2023-02-16,5.183
2023-02-17,5.183
2023-02-18,5.183
2023-02-19,5.183
2023-02-20,5.183
2023-02-21,5.184
2023-02-22,5.184
2023-02-23,5.184
2023-02-24,5.184
2023-02-25,5.184
2023-02-26,5.184
2023-02-27,5.2
2023-02-28,5.2
2023-03-01,5.2
2023-03-02,5.2
2023-03-03,5.2
2023-03-04,5.2
2023-03-05,5.2
2023-03-06,5.2
2023-03-07,5.2
2023-03-08,5.2
2023-03-09,5.2
2023-03-10,5.2
2023-03-11,5.2
2023-03-12,5.2
2023-03-13,5.2
2023-03-14,5.2
2023-03-15,5.2
2023-03-16,5.2
2023-03-17,5.2
2023-03-18,5.2
2023-03-19,5.2
2023-03-20,5.2
2023-03-21,5.2
2023-03-22,5.2
2023-03-23,5.2
2023-03-24,5.2
2023-03-25,5.2
2023-03-26,5.2
2023-03-27,5.2
2023-03-28,5.2
2023-03-29,5.165
2023-03-30,5.138
2023-03-31,5.138
2023-04-01,5.138
2023-04-02,5.138
2023-04-03,5.138
2023-04-04,5.119
2023-04-05,5.119
2023-04-06,5.088
2023-04-07,5.088
2023-04-08,5.088
2023-04-09,5.07
2023-04-10,5.05
2023-04-11,5.028
2023-04-12,5.015
2023-04-13,5.01
2023-04-14,5.01
2023-04-15,5.01
2023-04-16,5.013
2023-04-17,5.013
2023-04-18,5.005
2023-04-19,4.96
2023-04-20,4.923
2023-04-21,4.882
2023-04-22,4.882
2023-04-23,4.882
2023-04-24,4.92
2023-04-25,4.92
2023-04-26,4.876
2023-04-27,4.876
2023-04-28,4.876
2023-04-29,4.876
2023-04-30,4.876
2023-05-01,4.876
2023-05-02,4.864
2023-05-03,4.864
2023-05-04,4.864
2023-05-05,4.864
2023-05-06,4.864
2023-05-07,4.864
2023-05-08,4.864
2023-05-09,4.864
2023-05-10,4.864
2023-05-11,4.864
2023-05-12,4.864
2023-05-13,4.864
2023-05-14,4.864
2023-05-15,4.864
2023-05-16,4.864
2023-05-17,4.864
2023-05-18,4.864
2023-05-19,4.864
2023-05-20,4.864
2023-05-21,4.864
2023-05-22,4.864
2023-05-23,4.864
2023-05-24,4.864
2023-05-25,4.864
2023-05-26,4.864
2023-05-27,4.864
2023-05-28,4.864
2023-05-29,4.864
2023-05-30,4.864
2023-05-31,4.864
2023-06-01,4.864
2023-06-02,4.864
2023-06-03,4.864
2023-06-04,4.864
2023-06-05,4.864
2023-06-06,4.864
2023-06-07,4.864
2023-06-08,4.863
2023-06-09,4.863
2023-06-10,4.863
2023-06-11,4.863
2023-06-12,4.863
2023-06-13,4.863
2023-06-14,4.863
2023-06-15,4.863
2023-06-16,4.863
2023-06-17,4.863
2023-06-18,4.863
2023-06-19,4.863
2023-06-20,4.863
2023-06-21,4.863
2023-06-22,4.863
2023-06-23,4.863
2023-06-24,4.863
2023-06-25,4.863
2023-06-26,4.863
2023-06-27,4.863
2023-06-28,4.808
2023-06-29,4.802
2023-06-30,4.802
2023-07-01,4.802
2023-07-02,4.802
2023-07-03,4.802
2023-07-04,4.802
2023-07-05,4.802
2023-07-06,4.802
2023-07-07,4.785
2023-07-08,4.785
2023-07-09,4.784
2023-07-10,4.778
2023-07-11,4.792
2023-07-12,4.771
2023-07-13,4.759
2023-07-14,4.754
2023-07-15,4.754
2023-07-16,4.754
2023-07-17,4.754
2023-07-18,4.754
2023-07-19,4.55
2023-07-20,4.477
2023-07-21,4.477
2023-07-22,4.477
2023-07-23,4.477
2023-07-24,4.477
2023-07-25,4.477
2023-07-26,4.455
2023-07-27,4.455
2023-07-28,4.455
2023-07-29,4.455
2023-07-30,4.455
2023-07-31,4.419
2023-08-01,4.419
2023-08-02,4.408
2023-08-03,4.408
2023-08-04,4.408
2023-08-05,4.408
2023-08-06,4.408
2023-08-07,4.408
2023-08-08,4.408
2023-08-09,4.408
2023-08-10,4.408
2023-08-11,4.408
2023-08-12,4.408
2023-08-13,4.408
