,BOH US Equity
2021-06-17,5.82
2021-06-18,5.82
2021-06-19,5.82
2021-06-20,5.82
2021-06-21,5.82
2021-06-22,5.82
2021-06-23,5.82
2021-06-24,5.82
2021-06-25,5.82
2021-06-26,5.82
2021-06-27,5.82
2021-06-28,5.82
2021-06-29,5.82
2021-06-30,5.82
2021-07-01,5.82
2021-07-02,5.82
2021-07-03,5.82
2021-07-04,5.82
2021-07-05,5.82
2021-07-06,5.82
2021-07-07,6.07
2021-07-08,6.07
2021-07-09,6.07
2021-07-10,6.07
2021-07-11,6.07
2021-07-12,6.07
2021-07-13,6.07
2021-07-14,6.07
2021-07-15,6.07
2021-07-16,6.07
2021-07-17,6.07
2021-07-18,6.07
2021-07-19,6.07
2021-07-20,6.07
2021-07-21,6.07
2021-07-22,6.07
2021-07-23,6.07
2021-07-24,6.07
2021-07-25,6.07
2021-07-26,6.07
2021-07-27,6.07
2021-07-28,6.07
2021-07-29,5.72
2021-07-30,5.72
2021-07-31,5.72
2021-08-01,5.72
2021-08-02,5.72
2021-08-03,5.72
2021-08-04,5.72
2021-08-05,5.72
2021-08-06,5.72
2021-08-07,5.72
2021-08-08,5.72
2021-08-09,5.72
2021-08-10,5.72
2021-08-11,5.72
2021-08-12,5.72
2021-08-13,5.72
2021-08-14,5.72
2021-08-15,5.72
2021-08-16,5.72
2021-08-17,5.72
2021-08-18,5.72
2021-08-19,5.72
2021-08-20,5.72
2021-08-21,5.72
2021-08-22,5.72
2021-08-23,5.72
2021-08-24,5.72
2021-08-25,5.72
2021-08-26,5.72
2021-08-27,5.72
2021-08-28,5.72
2021-08-29,5.72
2021-08-30,5.72
2021-08-31,5.72
2021-09-01,5.72
2021-09-02,5.72
2021-09-03,5.72
2021-09-04,5.72
2021-09-05,5.72
2021-09-06,5.72
2021-09-07,5.72
2021-09-08,5.72
2021-09-09,5.72
2021-09-10,5.72
2021-09-11,5.72
2021-09-12,5.72
2021-09-13,5.72
2021-09-14,5.72
2021-09-15,5.72
2021-09-16,5.72
2021-09-17,5.72
2021-09-18,5.72
2021-09-19,5.72
2021-09-20,5.72
2021-09-21,5.72
2021-09-22,5.72
2021-09-23,5.72
2021-09-24,5.72
2021-09-25,5.72
2021-09-26,5.72
2021-09-27,5.72
2021-09-28,5.72
2021-09-29,5.72
2021-09-30,5.72
2021-10-01,5.72
2021-10-02,5.72
2021-10-03,5.72
2021-10-04,5.72
2021-10-05,5.72
2021-10-06,5.72
2021-10-07,5.72
2021-10-08,5.72
2021-10-09,5.72
2021-10-10,5.72
2021-10-11,5.72
2021-10-12,5.72
2021-10-13,5.72
2021-10-14,5.72
2021-10-15,5.72
2021-10-16,5.72
2021-10-17,5.72
2021-10-18,5.72
2021-10-19,5.72
2021-10-20,5.72
2021-10-21,5.72
2021-10-22,5.72
2021-10-23,5.72
2021-10-24,5.72
2021-10-25,5.72
2021-10-26,5.72
2021-10-27,5.72
2021-10-28,5.72
2021-10-29,5.72
2021-10-30,5.72
2021-10-31,5.72
2021-11-01,5.72
2021-11-02,5.72
2021-11-03,5.72
2021-11-04,5.72
2021-11-05,5.72
2021-11-06,5.72
2021-11-07,5.72
2021-11-08,5.72
2021-11-09,5.72
2021-11-10,5.72
2021-11-11,5.72
2021-11-12,5.72
2021-11-13,5.72
2021-11-14,5.72
2021-11-15,5.72
2021-11-16,5.72
2021-11-17,5.72
2021-11-18,5.72
2021-11-19,5.72
2021-11-20,5.72
2021-11-21,5.72
2021-11-22,5.72
2021-11-23,5.72
2021-11-24,5.72
2021-11-25,5.72
2021-11-26,5.72
2021-11-27,5.72
2021-11-28,5.72
2021-11-29,5.72
2021-11-30,5.72
2021-12-01,5.72
2021-12-02,5.72
2021-12-03,5.72
2021-12-04,5.72
2021-12-05,5.72
2021-12-06,5.72
2021-12-07,5.72
2021-12-08,5.72
2021-12-09,5.72
2021-12-10,5.72
2021-12-11,5.72
2021-12-12,5.72
2021-12-13,5.72
2021-12-14,5.72
2021-12-15,5.72
2021-12-16,5.72
2021-12-17,5.72
2021-12-18,5.72
2021-12-19,5.72
2021-12-20,5.72
2021-12-21,5.72
2021-12-22,5.72
2021-12-23,5.72
2021-12-24,5.72
2021-12-25,5.72
2021-12-26,5.72
2021-12-27,5.72
2021-12-28,5.72
2021-12-29,5.72
2021-12-30,5.72
2021-12-31,5.72
2022-01-01,5.72
2022-01-02,5.72
2022-01-03,5.72
2022-01-04,5.72
2022-01-05,5.72
2022-01-06,5.72
2022-01-07,5.72
2022-01-08,5.72
2022-01-09,5.72
2022-01-10,5.72
2022-01-11,5.72
2022-01-12,5.72
2022-01-13,5.72
2022-01-14,5.72
2022-01-15,5.72
2022-01-16,5.72
2022-01-17,5.72
2022-01-18,5.72
2022-01-19,5.72
2022-01-20,5.72
2022-01-21,6.31
2022-01-22,6.31
2022-01-23,6.31
2022-01-24,6.31
2022-01-25,5.87
2022-01-26,5.87
2022-01-27,5.87
2022-01-28,5.87
2022-01-29,5.87
2022-01-30,5.87
2022-01-31,5.87
2022-02-01,5.87
2022-02-02,5.87
2022-02-03,5.87
2022-02-04,5.87
2022-02-05,5.87
2022-02-06,5.87
2022-02-07,5.87
2022-02-08,5.87
2022-02-09,5.87
2022-02-10,5.87
2022-02-11,5.87
2022-02-12,5.87
2022-02-13,5.87
2022-02-14,5.87
2022-02-15,5.87
2022-02-16,5.87
2022-02-17,5.87
2022-02-18,5.87
2022-02-19,5.87
2022-02-20,5.87
2022-02-21,5.87
2022-02-22,5.87
2022-02-23,5.87
2022-02-24,5.87
2022-02-25,5.87
2022-02-26,5.87
2022-02-27,5.87
2022-02-28,5.87
2022-03-01,5.87
2022-03-02,5.87
2022-03-03,5.87
2022-03-04,5.87
2022-03-05,5.87
2022-03-06,5.87
2022-03-07,5.87
2022-03-08,5.87
2022-03-09,5.87
2022-03-10,6.25
2022-03-11,6.25
2022-03-12,6.25
2022-03-13,6.25
2022-03-14,6.25
2022-03-15,6.25
2022-03-16,6.25
2022-03-17,6.25
2022-03-18,6.25
2022-03-19,6.25
2022-03-20,6.25
2022-03-21,6.25
2022-03-22,6.25
2022-03-23,6.25
2022-03-24,6.25
2022-03-25,6.25
2022-03-26,6.25
2022-03-27,6.25
2022-03-28,6.25
2022-03-29,6.25
2022-03-30,6.25
2022-03-31,6.25
2022-04-01,6.25
2022-04-02,6.25
2022-04-03,6.25
2022-04-04,6.18
2022-04-05,6.18
2022-04-06,6.18
2022-04-07,6.18
2022-04-08,6.18
2022-04-09,6.18
2022-04-10,6.18
2022-04-11,6.18
2022-04-12,6.18
2022-04-13,6.18
2022-04-14,6.18
2022-04-15,6.18
2022-04-16,6.18
2022-04-17,6.18
2022-04-18,6.18
2022-04-19,6.18
2022-04-20,6.18
2022-04-21,6.18
2022-04-22,6.18
2022-04-23,6.18
2022-04-24,6.18
2022-04-25,6.315
2022-04-26,6.315
2022-04-27,6.025
2022-04-28,6.025
2022-04-29,6.025
2022-04-30,6.025
2022-05-01,6.025
2022-05-02,6.025
2022-05-03,6.025
2022-05-04,6.025
2022-05-05,6.025
2022-05-06,6.025
2022-05-07,6.025
2022-05-08,6.025
2022-05-09,6.025
2022-05-10,6.025
2022-05-11,6.025
2022-05-12,6.025
2022-05-13,6.025
2022-05-14,6.025
2022-05-15,6.025
2022-05-16,6.025
2022-05-17,6.025
2022-05-18,6.025
2022-05-19,6.025
2022-05-20,6.025
2022-05-21,6.025
2022-05-22,6.025
2022-05-23,6.025
2022-05-24,6.025
2022-05-25,6.245
2022-05-26,6.245
2022-05-27,6.245
2022-05-28,6.245
2022-05-29,6.245
2022-05-30,6.245
2022-05-31,6.245
2022-06-01,6.245
2022-06-02,6.245
2022-06-03,6.245
2022-06-04,6.245
2022-06-05,6.245
2022-06-06,6.245
2022-06-07,6.245
2022-06-08,6.245
2022-06-09,6.245
2022-06-10,6.245
2022-06-11,6.245
2022-06-12,6.245
2022-06-13,6.245
2022-06-14,6.245
2022-06-15,6.245
2022-06-16,6.245
2022-06-17,6.245
2022-06-18,6.245
2022-06-19,6.245
2022-06-20,6.245
2022-06-21,6.245
2022-06-22,6.245
2022-06-23,6.245
2022-06-24,6.245
2022-06-25,6.245
2022-06-26,6.245
2022-06-27,6.245
2022-06-28,6.245
2022-06-29,6.17
2022-06-30,6.095
2022-07-01,6.095
2022-07-02,6.095
2022-07-03,6.095
2022-07-04,6.095
2022-07-05,6.095
2022-07-06,6.095
2022-07-07,6.095
2022-07-08,6.095
2022-07-09,6.095
2022-07-10,6.095
2022-07-11,6.095
2022-07-12,6.095
2022-07-13,6.095
2022-07-14,6.095
2022-07-15,6.095
2022-07-16,6.095
2022-07-17,6.095
2022-07-18,6.095
2022-07-19,6.095
2022-07-20,6.095
2022-07-21,6.095
2022-07-22,6.095
2022-07-23,6.095
2022-07-24,6.095
2022-07-25,6.195
2022-07-26,6.955
2022-07-27,6.955
2022-07-28,6.955
2022-07-29,6.955
2022-07-30,6.955
2022-07-31,6.955
2022-08-01,6.955
2022-08-02,6.955
2022-08-03,6.955
2022-08-04,6.955
2022-08-05,6.955
2022-08-06,6.955
2022-08-07,6.955
2022-08-08,6.955
2022-08-09,6.955
2022-08-10,6.955
2022-08-11,6.955
2022-08-12,6.955
2022-08-13,6.955
2022-08-14,6.955
2022-08-15,6.955
2022-08-16,6.955
2022-08-17,6.955
2022-08-18,6.955
2022-08-19,6.955
2022-08-20,6.955
2022-08-21,6.955
2022-08-22,6.955
2022-08-23,6.955
2022-08-24,6.955
2022-08-25,6.955
2022-08-26,6.955
2022-08-27,6.955
2022-08-28,6.955
2022-08-29,6.955
2022-08-30,6.955
2022-08-31,6.955
2022-09-01,6.955
2022-09-02,6.955
2022-09-03,6.955
2022-09-04,6.955
2022-09-05,6.955
2022-09-06,6.955
2022-09-07,6.955
2022-09-08,6.955
2022-09-09,6.955
2022-09-10,6.955
2022-09-11,6.955
2022-09-12,6.955
2022-09-13,6.955
2022-09-14,6.955
2022-09-15,6.955
2022-09-16,6.955
2022-09-17,6.955
2022-09-18,6.955
2022-09-19,6.955
2022-09-20,6.955
2022-09-21,6.955
2022-09-22,6.955
2022-09-23,6.955
2022-09-24,6.955
2022-09-25,6.955
2022-09-26,6.955
2022-09-27,6.955
2022-09-28,6.955
2022-09-29,6.32
2022-09-30,6.32
2022-10-01,6.32
2022-10-02,6.32
2022-10-03,6.32
2022-10-04,6.32
2022-10-05,6.32
2022-10-06,6.32
2022-10-07,6.32
2022-10-08,6.32
2022-10-09,6.32
2022-10-10,6.32
2022-10-11,6.113
2022-10-12,6.113
2022-10-13,6.113
2022-10-14,6.113
2022-10-15,6.113
2022-10-16,6.113
2022-10-17,6.113
2022-10-18,6.113
2022-10-19,6.113
2022-10-20,6.113
2022-10-21,6.113
2022-10-22,6.113
2022-10-23,6.113
2022-10-24,5.925
2022-10-25,5.925
2022-10-26,5.925
2022-10-27,5.875
2022-10-28,5.875
2022-10-29,5.875
2022-10-30,5.875
2022-10-31,5.875
2022-11-01,5.875
2022-11-02,5.875
2022-11-03,5.875
2022-11-04,5.875
2022-11-05,5.875
2022-11-06,5.875
2022-11-07,5.875
2022-11-08,5.875
2022-11-09,5.875
2022-11-10,5.875
2022-11-11,5.875
2022-11-12,5.875
2022-11-13,5.875
2022-11-14,5.875
2022-11-15,5.875
2022-11-16,5.875
2022-11-17,5.875
2022-11-18,5.875
2022-11-19,5.875
2022-11-20,5.875
2022-11-21,5.875
2022-11-22,5.875
2022-11-23,5.875
2022-11-24,5.875
2022-11-25,5.875
2022-11-26,5.875
2022-11-27,5.875
2022-11-28,5.875
2022-11-29,5.875
2022-11-30,5.875
2022-12-01,5.875
2022-12-02,5.875
2022-12-03,5.875
2022-12-04,5.875
2022-12-05,5.875
2022-12-06,5.875
2022-12-07,5.875
2022-12-08,5.875
2022-12-09,5.875
2022-12-10,5.875
2022-12-11,5.875
2022-12-12,5.875
2022-12-13,5.875
2022-12-14,5.875
2022-12-15,5.875
2022-12-16,5.875
2022-12-17,5.875
2022-12-18,5.875
2022-12-19,5.875
2022-12-20,5.875
2022-12-21,5.875
2022-12-22,5.875
2022-12-23,5.875
2022-12-24,5.875
2022-12-25,5.875
2022-12-26,5.875
2022-12-27,5.875
2022-12-28,5.875
2022-12-29,5.875
2022-12-30,5.875
2022-12-31,5.875
2023-01-01,5.875
2023-01-02,5.875
2023-01-03,5.875
2023-01-04,5.875
2023-01-05,5.875
2023-01-06,5.875
2023-01-07,5.875
2023-01-08,5.875
2023-01-09,5.8
2023-01-10,5.8
2023-01-11,5.8
2023-01-12,5.8
2023-01-13,5.8
2023-01-14,5.8
2023-01-15,5.8
2023-01-16,5.8
2023-01-17,5.8
2023-01-18,5.8
2023-01-19,5.8
2023-01-20,5.8
2023-01-21,5.8
2023-01-22,5.8
2023-01-23,5.16
2023-01-24,5.16
2023-01-25,5.06
2023-01-26,5.06
2023-01-27,5.06
2023-01-28,5.06
2023-01-29,5.06
2023-01-30,5.06
2023-01-31,5.06
2023-02-01,5.06
2023-02-02,5.06
2023-02-03,5.06
2023-02-04,5.06
2023-02-05,5.06
2023-02-06,5.06
2023-02-07,5.06
2023-02-08,5.06
2023-02-09,5.06
2023-02-10,5.06
2023-02-11,5.06
2023-02-12,5.06
2023-02-13,5.06
2023-02-14,5.06
2023-02-15,5.06
2023-02-16,5.06
2023-02-17,5.06
2023-02-18,5.06
2023-02-19,5.06
2023-02-20,5.06
2023-02-21,5.06
2023-02-22,5.06
2023-02-23,5.06
2023-02-24,5.06
2023-02-25,5.06
2023-02-26,5.06
2023-02-27,5.06
2023-02-28,5.06
2023-03-01,5.06
2023-03-02,5.06
2023-03-03,5.06
2023-03-04,5.06
2023-03-05,5.06
2023-03-06,5.06
2023-03-07,5.06
2023-03-08,5.06
2023-03-09,5.06
2023-03-10,5.06
2023-03-11,5.06
2023-03-12,5.06
2023-03-13,5.06
2023-03-14,5.06
2023-03-15,5.06
2023-03-16,5.06
2023-03-17,5.06
2023-03-18,5.06
2023-03-19,5.06
2023-03-20,5.06
2023-03-21,5.06
2023-03-22,5.06
2023-03-23,5.06
2023-03-24,4.994
2023-03-25,4.994
2023-03-26,4.994
2023-03-27,4.994
2023-03-28,4.923
2023-03-29,4.923
2023-03-30,4.307
2023-03-31,4.307
2023-04-01,4.307
2023-04-02,4.307
2023-04-03,4.307
2023-04-04,4.236
2023-04-05,4.733
2023-04-06,4.721
2023-04-07,4.721
2023-04-08,4.721
2023-04-09,4.721
2023-04-10,4.721
2023-04-11,4.686
2023-04-12,4.686
2023-04-13,4.686
2023-04-14,4.686
2023-04-15,4.686
2023-04-16,4.686
2023-04-17,4.611
2023-04-18,4.611
2023-04-19,4.533
2023-04-20,4.533
2023-04-21,4.533
2023-04-22,4.533
2023-04-23,4.533
2023-04-24,4.422
2023-04-25,4.372
2023-04-26,4.372
2023-04-27,4.372
2023-04-28,4.372
2023-04-29,4.372
2023-04-30,4.372
2023-05-01,4.372
2023-05-02,4.405
2023-05-03,4.405
2023-05-04,4.405
2023-05-05,4.405
2023-05-06,4.405
2023-05-07,4.405
2023-05-08,4.293
2023-05-09,4.293
2023-05-10,4.293
2023-05-11,4.293
2023-05-12,4.293
2023-05-13,4.293
2023-05-14,4.293
2023-05-15,4.293
2023-05-16,4.293
2023-05-17,4.293
2023-05-18,4.293
2023-05-19,4.293
2023-05-20,4.293
2023-05-21,4.293
2023-05-22,4.293
2023-05-23,4.293
2023-05-24,4.293
2023-05-25,4.293
2023-05-26,4.293
2023-05-27,4.293
2023-05-28,4.293
2023-05-29,4.293
2023-05-30,4.293
2023-05-31,4.293
2023-06-01,4.293
2023-06-02,4.293
2023-06-03,4.293
2023-06-04,4.293
2023-06-05,4.293
2023-06-06,4.244
2023-06-07,4.244
2023-06-08,4.244
2023-06-09,4.244
2023-06-10,4.244
2023-06-11,4.244
2023-06-12,4.244
2023-06-13,4.244
2023-06-14,4.244
2023-06-15,4.244
2023-06-16,4.244
2023-06-17,4.244
2023-06-18,4.244
2023-06-19,4.244
2023-06-20,4.244
2023-06-21,4.244
2023-06-22,4.244
2023-06-23,4.15
2023-06-24,4.15
2023-06-25,4.15
2023-06-26,4.15
2023-06-27,4.138
2023-06-28,4.138
2023-06-29,4.138
2023-06-30,4.138
2023-07-01,4.138
2023-07-02,4.138
2023-07-03,4.138
2023-07-04,4.138
2023-07-05,4.152
2023-07-06,4.152
2023-07-07,4.152
2023-07-08,4.152
2023-07-09,4.152
2023-07-10,4.152
2023-07-11,3.992
2023-07-12,3.992
2023-07-13,3.992
2023-07-14,3.992
2023-07-15,3.992
2023-07-16,3.992
2023-07-17,3.992
2023-07-18,3.992
2023-07-19,3.992
2023-07-20,3.992
2023-07-21,3.992
2023-07-22,3.992
2023-07-23,3.992
2023-07-24,3.917
2023-07-25,3.84
2023-07-26,3.767
2023-07-27,3.767
2023-07-28,3.692
2023-07-29,3.692
2023-07-30,3.692
2023-07-31,3.692
2023-08-01,3.692
2023-08-02,3.692
2023-08-03,3.692
2023-08-04,3.692
2023-08-05,3.692
2023-08-06,3.692
2023-08-07,3.625
2023-08-08,3.625
2023-08-09,3.625
2023-08-10,3.613
2023-08-11,3.613
2023-08-12,3.613
2023-08-13,3.613
2023-08-14,3.613
2023-08-15,3.613
2023-08-16,3.613
2023-08-17,3.613
2023-08-18,3.613
2023-08-19,3.613
2023-08-20,3.613
2023-08-21,3.613
2023-08-22,3.613
2023-08-23,3.613
2023-08-24,3.613
2023-08-25,3.613
2023-08-26,3.613
2023-08-27,3.613
2023-08-28,3.613
2023-08-29,3.613
2023-08-30,3.613
2023-08-31,3.613
2023-09-01,3.628
2023-09-02,3.628
2023-09-03,3.628
2023-09-04,3.628
2023-09-05,3.628
2023-09-06,3.628
2023-09-07,3.628
2023-09-08,3.628
2023-09-09,3.628
2023-09-10,3.628
2023-09-11,3.628
2023-09-12,3.628
2023-09-13,3.628
2023-09-14,3.628
2023-09-15,3.628
2023-09-16,3.628
2023-09-17,3.628
2023-09-18,3.628
2023-09-19,3.628
