,FL US Equity
2021-04-29,6.647
2021-04-30,6.647
2021-05-01,6.647
2021-05-02,6.647
2021-05-03,6.647
2021-05-04,6.647
2021-05-05,6.647
2021-05-06,6.647
2021-05-07,6.647
2021-05-08,6.647
2021-05-09,6.647
2021-05-10,6.647
2021-05-11,6.647
2021-05-12,6.647
2021-05-13,6.647
2021-05-14,6.647
2021-05-15,6.647
2021-05-16,6.647
2021-05-17,6.56
2021-05-18,6.56
2021-05-19,6.56
2021-05-20,6.56
2021-05-21,6.56
2021-05-22,6.56
2021-05-23,6.56
2021-05-24,6.84
2021-05-25,6.84
2021-05-26,6.84
2021-05-27,7.007
2021-05-28,7.007
2021-05-29,7.007
2021-05-30,7.007
2021-05-31,7.007
2021-06-01,7.007
2021-06-02,7.007
2021-06-03,7.007
2021-06-04,7.007
2021-06-05,7.007
2021-06-06,7.007
2021-06-07,7.007
2021-06-08,7.007
2021-06-09,7.23
2021-06-10,7.23
2021-06-11,7.23
2021-06-12,7.23
2021-06-13,7.23
2021-06-14,7.23
2021-06-15,7.23
2021-06-16,7.23
2021-06-17,7.23
2021-06-18,7.23
2021-06-19,7.23
2021-06-20,7.23
2021-06-21,7.23
2021-06-22,7.23
2021-06-23,7.23
2021-06-24,7.23
2021-06-25,7.23
2021-06-26,7.23
2021-06-27,7.23
2021-06-28,7.23
2021-06-29,7.23
2021-06-30,7.23
2021-07-01,7.23
2021-07-02,7.23
2021-07-03,7.23
2021-07-04,7.23
2021-07-05,7.23
2021-07-06,7.23
2021-07-07,7.23
2021-07-08,7.23
2021-07-09,7.23
2021-07-10,7.23
2021-07-11,7.23
2021-07-12,7.23
2021-07-13,7.23
2021-07-14,7.23
2021-07-15,7.23
2021-07-16,7.23
2021-07-17,7.23
2021-07-18,7.23
2021-07-19,7.23
2021-07-20,7.23
2021-07-21,7.23
2021-07-22,7.23
2021-07-23,7.23
2021-07-24,7.23
2021-07-25,7.23
2021-07-26,7.23
2021-07-27,7.23
2021-07-28,7.23
2021-07-29,7.23
2021-07-30,7.23
2021-07-31,7.23
2021-08-01,7.23
2021-08-02,7.203
2021-08-03,7.203
2021-08-04,7.203
2021-08-05,7.203
2021-08-06,7.203
2021-08-07,7.203
2021-08-08,7.203
2021-08-09,7.203
2021-08-10,7.203
2021-08-11,7.203
2021-08-12,7.203
2021-08-13,7.203
2021-08-14,7.203
2021-08-15,7.203
2021-08-16,7.203
2021-08-17,7.203
2021-08-18,7.203
2021-08-19,7.203
2021-08-20,7.53
2021-08-21,7.53
2021-08-22,7.727
2021-08-23,7.727
2021-08-24,7.727
2021-08-25,7.727
2021-08-26,8.177
2021-08-27,8.177
2021-08-28,8.177
2021-08-29,8.177
2021-08-30,8.177
2021-08-31,8.177
2021-09-01,8.177
2021-09-02,8.177
2021-09-03,8.177
2021-09-04,8.177
2021-09-05,8.177
2021-09-06,8.177
2021-09-07,8.177
2021-09-08,8.177
2021-09-09,8.177
2021-09-10,8.177
2021-09-11,8.177
2021-09-12,8.177
2021-09-13,8.177
2021-09-14,8.177
2021-09-15,8.177
2021-09-16,8.177
2021-09-17,8.177
2021-09-18,8.177
2021-09-19,8.177
2021-09-20,8.177
2021-09-21,8.177
2021-09-22,8.177
2021-09-23,8.177
2021-09-24,8.177
2021-09-25,8.177
2021-09-26,8.177
2021-09-27,8.177
2021-09-28,8.177
2021-09-29,8.177
2021-09-30,8.177
2021-10-01,8.177
2021-10-02,8.177
2021-10-03,8.177
2021-10-04,8.177
2021-10-05,7.74
2021-10-06,7.74
2021-10-07,7.74
2021-10-08,7.74
2021-10-09,7.74
2021-10-10,7.74
2021-10-11,7.74
2021-10-12,7.74
2021-10-13,7.74
2021-10-14,7.74
2021-10-15,7.74
2021-10-16,7.74
2021-10-17,7.74
2021-10-18,7.74
2021-10-19,7.74
2021-10-20,7.74
2021-10-21,7.74
2021-10-22,7.74
2021-10-23,7.74
2021-10-24,7.74
2021-10-25,7.74
2021-10-26,7.74
2021-10-27,7.74
2021-10-28,7.74
2021-10-29,7.74
2021-10-30,7.74
2021-10-31,7.74
2021-11-01,7.74
2021-11-02,7.74
2021-11-03,7.74
2021-11-04,7.74
2021-11-05,7.74
2021-11-06,7.74
2021-11-07,7.74
2021-11-08,7.74
2021-11-09,7.74
2021-11-10,7.74
2021-11-11,7.74
2021-11-12,7.74
2021-11-13,7.74
2021-11-14,7.74
2021-11-15,7.74
2021-11-16,7.98
2021-11-17,7.98
2021-11-18,7.98
2021-11-19,7.85
2021-11-20,7.85
2021-11-21,7.923
2021-11-22,7.923
2021-11-23,7.923
2021-11-24,7.923
2021-11-25,7.923
2021-11-26,7.923
2021-11-27,7.923
2021-11-28,7.923
2021-11-29,7.923
2021-11-30,7.923
2021-12-01,7.65
2021-12-02,7.65
2021-12-03,7.65
2021-12-04,7.65
2021-12-05,7.65
2021-12-06,7.65
2021-12-07,7.563
2021-12-08,7.563
2021-12-09,7.563
2021-12-10,7.563
2021-12-11,7.563
2021-12-12,7.563
2021-12-13,7.563
2021-12-14,7.563
2021-12-15,7.563
2021-12-16,7.563
2021-12-17,7.563
2021-12-18,7.563
2021-12-19,7.563
2021-12-20,7.563
2021-12-21,7.563
2021-12-22,7.563
2021-12-23,7.563
2021-12-24,7.563
2021-12-25,7.563
2021-12-26,7.563
2021-12-27,7.563
2021-12-28,7.563
2021-12-29,7.563
2021-12-30,7.563
2021-12-31,7.563
2022-01-01,7.563
2022-01-02,7.563
2022-01-03,7.563
2022-01-04,7.563
2022-01-05,7.563
2022-01-06,7.563
2022-01-07,7.563
2022-01-08,7.563
2022-01-09,7.563
2022-01-10,7.563
2022-01-11,7.563
2022-01-12,7.563
2022-01-13,7.563
2022-01-14,7.563
2022-01-15,7.563
2022-01-16,7.563
2022-01-17,7.563
2022-01-18,7.563
2022-01-19,7.563
2022-01-20,7.563
2022-01-21,7.563
2022-01-22,7.563
2022-01-23,7.563
2022-01-24,7.563
2022-01-25,7.563
2022-01-26,7.563
2022-01-27,7.563
2022-01-28,7.563
2022-01-29,7.563
2022-01-30,7.563
2022-01-31,7.563
2022-02-01,7.763
2022-02-02,7.763
2022-02-03,7.763
2022-02-04,7.763
2022-02-05,7.763
2022-02-06,7.763
2022-02-07,7.763
2022-02-08,7.763
2022-02-09,7.763
2022-02-10,7.763
2022-02-11,7.763
2022-02-12,7.763
2022-02-13,7.763
2022-02-14,7.763
2022-02-15,7.763
2022-02-16,7.763
2022-02-17,7.763
2022-02-18,7.805
2022-02-19,7.805
2022-02-20,7.805
2022-02-21,7.805
2022-02-22,7.737
2022-02-23,7.737
2022-02-24,6.865
2022-02-25,6.865
2022-02-26,6.865
2022-02-27,5.504
2022-02-28,5.064
2022-03-01,4.583
2022-03-02,4.546
2022-03-03,4.546
2022-03-04,4.546
2022-03-05,4.546
2022-03-06,4.546
2022-03-07,4.669
2022-03-08,4.669
2022-03-09,4.669
2022-03-10,4.669
2022-03-11,4.669
2022-03-12,4.669
2022-03-13,4.669
2022-03-14,4.669
2022-03-15,4.669
2022-03-16,4.669
2022-03-17,4.669
2022-03-18,4.669
2022-03-19,4.669
2022-03-20,4.669
2022-03-21,4.669
2022-03-22,4.669
2022-03-23,4.669
2022-03-24,4.669
2022-03-25,4.669
2022-03-26,4.669
2022-03-27,4.669
2022-03-28,4.598
2022-03-29,4.598
2022-03-30,4.598
2022-03-31,4.598
2022-04-01,4.598
2022-04-02,4.598
2022-04-03,4.598
2022-04-04,4.598
2022-04-05,4.598
2022-04-06,4.598
2022-04-07,4.598
2022-04-08,4.598
2022-04-09,4.598
2022-04-10,4.598
2022-04-11,4.598
2022-04-12,4.598
2022-04-13,4.598
2022-04-14,4.598
2022-04-15,4.598
2022-04-16,4.598
2022-04-17,4.598
2022-04-18,4.598
2022-04-19,4.598
2022-04-20,4.598
2022-04-21,4.598
2022-04-22,4.598
2022-04-23,4.598
2022-04-24,4.598
2022-04-25,4.598
2022-04-26,4.598
2022-04-27,4.598
2022-04-28,4.598
2022-04-29,4.598
2022-04-30,4.598
2022-05-01,4.598
2022-05-02,4.598
2022-05-03,4.598
2022-05-04,4.598
2022-05-05,4.598
2022-05-06,4.598
2022-05-07,4.598
2022-05-08,4.598
2022-05-09,4.59
2022-05-10,4.59
2022-05-11,4.59
2022-05-12,4.59
2022-05-13,4.59
2022-05-14,4.59
2022-05-15,4.59
2022-05-16,4.538
2022-05-17,4.538
2022-05-18,4.537
2022-05-19,4.537
2022-05-20,4.529
2022-05-21,4.529
2022-05-22,4.579
2022-05-23,4.605
2022-05-24,4.506
2022-05-25,4.506
2022-05-26,4.506
2022-05-27,4.506
2022-05-28,4.506
2022-05-29,4.506
2022-05-30,4.506
2022-05-31,4.526
2022-06-01,4.526
2022-06-02,4.526
2022-06-03,4.526
2022-06-04,4.526
2022-06-05,4.526
2022-06-06,4.725
2022-06-07,4.725
2022-06-08,4.725
2022-06-09,4.725
2022-06-10,4.758
2022-06-11,4.758
2022-06-12,4.758
2022-06-13,4.758
2022-06-14,4.758
2022-06-15,4.758
2022-06-16,4.758
2022-06-17,4.758
2022-06-18,4.758
2022-06-19,4.758
2022-06-20,4.758
2022-06-21,4.758
2022-06-22,4.758
2022-06-23,4.758
2022-06-24,4.758
2022-06-25,4.758
2022-06-26,4.758
2022-06-27,4.758
2022-06-28,4.758
2022-06-29,4.758
2022-06-30,4.758
2022-07-01,4.758
2022-07-02,4.758
2022-07-03,4.758
2022-07-04,4.758
2022-07-05,4.758
2022-07-06,4.758
2022-07-07,4.758
2022-07-08,4.758
2022-07-09,4.758
2022-07-10,4.758
2022-07-11,4.758
2022-07-12,4.758
2022-07-13,4.758
2022-07-14,4.758
2022-07-15,4.742
2022-07-16,4.742
2022-07-17,4.742
2022-07-18,4.742
2022-07-19,4.742
2022-07-20,4.562
2022-07-21,4.562
2022-07-22,4.562
2022-07-23,4.562
2022-07-24,4.562
2022-07-25,4.562
2022-07-26,4.562
2022-07-27,4.562
2022-07-28,4.562
2022-07-29,4.562
2022-07-30,4.562
2022-07-31,4.562
2022-08-01,4.562
2022-08-02,4.562
2022-08-03,4.562
2022-08-04,4.562
2022-08-05,4.562
2022-08-06,4.562
2022-08-07,4.562
2022-08-08,4.605
2022-08-09,4.605
2022-08-10,4.605
2022-08-11,4.605
2022-08-12,4.605
2022-08-13,4.605
2022-08-14,4.605
2022-08-15,4.596
2022-08-16,4.541
2022-08-17,4.53
2022-08-18,4.53
2022-08-19,4.578
2022-08-20,4.578
2022-08-21,4.565
2022-08-22,4.586
2022-08-23,4.609
2022-08-24,4.609
2022-08-25,4.609
2022-08-26,4.609
2022-08-27,4.609
2022-08-28,4.609
2022-08-29,4.609
2022-08-30,4.609
2022-08-31,4.609
2022-09-01,4.625
2022-09-02,4.625
2022-09-03,4.625
2022-09-04,4.625
2022-09-05,4.625
2022-09-06,4.625
2022-09-07,4.625
2022-09-08,4.625
2022-09-09,4.625
2022-09-10,4.625
2022-09-11,4.625
2022-09-12,4.625
2022-09-13,4.625
2022-09-14,4.625
2022-09-15,4.625
2022-09-16,4.586
2022-09-17,4.586
2022-09-18,4.586
2022-09-19,4.586
2022-09-20,4.586
2022-09-21,4.586
2022-09-22,4.586
2022-09-23,4.586
2022-09-24,4.586
2022-09-25,4.586
2022-09-26,4.586
2022-09-27,4.586
2022-09-28,4.586
2022-09-29,4.586
2022-09-30,4.586
2022-10-01,4.586
2022-10-02,4.586
2022-10-03,4.586
2022-10-04,4.586
2022-10-05,4.586
2022-10-06,4.586
2022-10-07,4.586
2022-10-08,4.586
2022-10-09,4.586
2022-10-10,4.586
2022-10-11,4.586
2022-10-12,4.613
2022-10-13,4.613
2022-10-14,4.613
2022-10-15,4.613
2022-10-16,4.613
2022-10-17,4.613
2022-10-18,4.613
2022-10-19,4.613
2022-10-20,4.613
2022-10-21,4.59
2022-10-22,4.59
2022-10-23,4.59
2022-10-24,4.59
2022-10-25,4.59
2022-10-26,4.59
2022-10-27,4.59
2022-10-28,4.59
2022-10-29,4.59
2022-10-30,4.59
2022-10-31,4.571
2022-11-01,4.571
2022-11-02,4.571
2022-11-03,4.571
2022-11-04,4.571
2022-11-05,4.571
2022-11-06,4.528
2022-11-07,4.541
2022-11-08,4.541
2022-11-09,4.541
2022-11-10,4.541
2022-11-11,4.541
2022-11-12,4.541
2022-11-13,4.541
2022-11-14,4.413
2022-11-15,4.378
2022-11-16,4.351
2022-11-17,4.351
2022-11-18,4.454
2022-11-19,4.454
2022-11-20,4.47
2022-11-21,4.462
2022-11-22,4.459
2022-11-23,4.459
2022-11-24,4.459
2022-11-25,4.459
2022-11-26,4.459
2022-11-27,4.459
2022-11-28,4.428
2022-11-29,4.428
2022-11-30,4.428
2022-12-01,4.428
2022-12-02,4.476
2022-12-03,4.476
2022-12-04,4.476
2022-12-05,4.476
2022-12-06,4.476
2022-12-07,4.476
2022-12-08,4.476
2022-12-09,4.476
2022-12-10,4.476
2022-12-11,4.476
2022-12-12,4.476
2022-12-13,4.476
2022-12-14,4.476
2022-12-15,4.476
2022-12-16,4.476
2022-12-17,4.476
2022-12-18,4.476
2022-12-19,4.476
2022-12-20,4.476
2022-12-21,4.476
2022-12-22,4.476
2022-12-23,4.476
2022-12-24,4.476
2022-12-25,4.476
2022-12-26,4.476
2022-12-27,4.476
2022-12-28,4.476
2022-12-29,4.476
2022-12-30,4.476
2022-12-31,4.476
2023-01-01,4.476
2023-01-02,4.476
2023-01-03,4.476
2023-01-04,4.365
2023-01-05,4.345
2023-01-06,4.345
2023-01-07,4.345
2023-01-08,4.345
2023-01-09,4.345
2023-01-10,4.345
2023-01-11,4.345
2023-01-12,4.345
2023-01-13,4.345
2023-01-14,4.345
2023-01-15,4.345
2023-01-16,4.345
2023-01-17,4.408
2023-01-18,4.408
2023-01-19,4.408
2023-01-20,4.408
2023-01-21,4.408
2023-01-22,4.408
2023-01-23,4.408
2023-01-24,4.408
2023-01-25,4.408
2023-01-26,4.466
2023-01-27,4.474
2023-01-28,4.474
2023-01-29,4.474
2023-01-30,4.474
2023-01-31,4.474
2023-02-01,4.509
2023-02-02,4.509
2023-02-03,4.509
2023-02-04,4.509
2023-02-05,4.509
2023-02-06,4.509
2023-02-07,4.509
2023-02-08,4.509
2023-02-09,4.509
2023-02-10,4.509
2023-02-11,4.509
2023-02-12,4.509
2023-02-13,4.509
2023-02-14,4.509
2023-02-15,4.509
2023-02-16,4.509
2023-02-17,4.497
2023-02-18,4.497
2023-02-19,4.497
2023-02-20,4.497
2023-02-21,4.497
2023-02-22,4.497
2023-02-23,4.497
2023-02-24,4.497
2023-02-25,4.497
2023-02-26,4.497
2023-02-27,4.497
2023-02-28,4.497
2023-03-01,4.497
2023-03-02,4.497
2023-03-03,4.497
2023-03-04,4.497
2023-03-05,4.497
2023-03-06,4.497
2023-03-07,4.497
2023-03-08,4.497
2023-03-09,4.497
2023-03-10,4.497
2023-03-11,4.497
2023-03-12,4.497
2023-03-13,4.504
2023-03-14,4.504
2023-03-15,4.504
2023-03-16,4.491
2023-03-17,4.515
2023-03-18,4.515
2023-03-19,4.515
2023-03-20,4.488
2023-03-21,4.425
2023-03-22,4.336
2023-03-23,4.336
2023-03-24,4.336
2023-03-25,4.336
2023-03-26,4.336
2023-03-27,4.276
2023-03-28,4.276
2023-03-29,4.239
2023-03-30,4.211
2023-03-31,4.211
2023-04-01,4.211
2023-04-02,4.211
2023-04-03,4.216
2023-04-04,4.216
2023-04-05,4.216
2023-04-06,4.216
2023-04-07,4.216
2023-04-08,4.216
2023-04-09,4.216
2023-04-10,4.127
2023-04-11,4.127
2023-04-12,4.127
2023-04-13,4.127
2023-04-14,4.127
2023-04-15,4.127
2023-04-16,4.127
2023-04-17,4.127
2023-04-18,4.125
2023-04-19,4.125
2023-04-20,4.125
2023-04-21,4.125
2023-04-22,4.125
2023-04-23,4.125
2023-04-24,4.125
2023-04-25,4.125
2023-04-26,4.125
2023-04-27,4.125
2023-04-28,4.125
2023-04-29,4.125
2023-04-30,4.125
2023-05-01,4.125
2023-05-02,4.124
2023-05-03,4.124
2023-05-04,4.124
2023-05-05,4.124
2023-05-06,4.124
2023-05-07,4.124
2023-05-08,4.128
2023-05-09,4.128
2023-05-10,4.128
2023-05-11,4.128
2023-05-12,4.128
2023-05-13,4.128
2023-05-14,4.128
2023-05-15,4.128
2023-05-16,4.128
2023-05-17,4.128
2023-05-18,4.128
2023-05-19,3.571
2023-05-20,3.571
2023-05-21,3.369
2023-05-22,3.224
2023-05-23,3.164
2023-05-24,3.164
2023-05-25,3.164
2023-05-26,3.164
2023-05-27,3.164
2023-05-28,3.164
2023-05-29,3.164
2023-05-30,3.164
2023-05-31,3.164
2023-06-01,3.164
2023-06-02,3.108
2023-06-03,3.108
2023-06-04,3.108
2023-06-05,3.108
2023-06-06,2.963
2023-06-07,2.963
2023-06-08,2.963
2023-06-09,2.963
2023-06-10,2.963
2023-06-11,2.963
2023-06-12,2.963
2023-06-13,2.963
2023-06-14,2.963
2023-06-15,2.966
2023-06-16,2.966
2023-06-17,2.966
2023-06-18,2.966
2023-06-19,2.966
2023-06-20,2.966
2023-06-21,2.966
2023-06-22,2.966
2023-06-23,2.966
2023-06-24,2.966
2023-06-25,2.966
2023-06-26,2.966
2023-06-27,2.968
2023-06-28,2.987
2023-06-29,2.987
2023-06-30,2.987
2023-07-01,2.987
2023-07-02,2.987
2023-07-03,2.987
2023-07-04,2.987
2023-07-05,2.987
2023-07-06,2.987
2023-07-07,2.987
2023-07-08,2.987
2023-07-09,2.987
2023-07-10,2.987
2023-07-11,2.987
2023-07-12,2.974
2023-07-13,2.974
2023-07-14,2.974
2023-07-15,2.974
2023-07-16,2.974
2023-07-17,2.974
2023-07-18,2.974
2023-07-19,2.974
2023-07-20,2.974
2023-07-21,2.974
2023-07-22,2.974
2023-07-23,2.974
2023-07-24,2.974
2023-07-25,2.974
2023-07-26,2.974
2023-07-27,2.974
2023-07-28,2.974
2023-07-29,2.974
2023-07-30,2.974
2023-07-31,2.974
2023-08-01,2.974
