,NMRK US Equity
2021-04-02,2.1
2021-04-03,2.1
2021-04-04,2.1
2021-04-05,2.1
2021-04-06,2.1
2021-04-07,2.1
2021-04-08,2.1
2021-04-09,2.1
2021-04-10,2.1
2021-04-11,2.1
2021-04-12,2.1
2021-04-13,2.1
2021-04-14,2.1
2021-04-15,2.1
2021-04-16,2.1
2021-04-17,2.1
2021-04-18,2.1
2021-04-19,2.1
2021-04-20,2.1
2021-04-21,2.1
2021-04-22,2.1
2021-04-23,2.1
2021-04-24,2.1
2021-04-25,2.1
2021-04-26,2.1
2021-04-27,2.1
2021-04-28,2.1
2021-04-29,2.1
2021-04-30,2.1
2021-05-01,2.1
2021-05-02,2.1
2021-05-03,2.1
2021-05-04,2.1
2021-05-05,2.1
2021-05-06,2.1
2021-05-07,2.1
2021-05-08,2.1
2021-05-09,2.1
2021-05-10,2.1
2021-05-11,2.1
2021-05-12,2.1
2021-05-13,2.1
2021-05-14,2.1
2021-05-15,2.1
2021-05-16,2.1
2021-05-17,2.1
2021-05-18,2.1
2021-05-19,2.1
2021-05-20,2.1
2021-05-21,2.1
2021-05-22,2.1
2021-05-23,2.1
2021-05-24,2.1
2021-05-25,2.1
2021-05-26,2.1
2021-05-27,2.1
2021-05-28,2.1
2021-05-29,2.1
2021-05-30,2.1
2021-05-31,2.1
2021-06-01,2.1
2021-06-02,2.1
2021-06-03,2.1
2021-06-04,2.1
2021-06-05,2.1
2021-06-06,2.1
2021-06-07,2.1
2021-06-08,2.1
2021-06-09,2.1
2021-06-10,2.1
2021-06-11,2.1
2021-06-12,2.1
2021-06-13,2.1
2021-06-14,2.1
2021-06-15,2.1
2021-06-16,2.1
2021-06-17,2.1
2021-06-18,2.1
2021-06-19,2.1
2021-06-20,2.1
2021-06-21,2.1
2021-06-22,2.1
2021-06-23,2.1
2021-06-24,2.1
2021-06-25,2.1
2021-06-26,2.1
2021-06-27,2.1
2021-06-28,2.1
2021-06-29,2.1
2021-06-30,2.1
2021-07-01,2.1
2021-07-02,2.1
2021-07-03,2.1
2021-07-04,2.1
2021-07-05,2.1
2021-07-06,2.1
2021-07-07,2.1
2021-07-08,2.1
2021-07-09,2.1
2021-07-10,2.1
2021-07-11,2.1
2021-07-12,2.1
2021-07-13,2.1
2021-07-14,2.1
2021-07-15,2.1
2021-07-16,2.1
2021-07-17,2.1
2021-07-18,2.1
2021-07-19,2.1
2021-07-20,2.1
2021-07-21,2.1
2021-07-22,2.1
2021-07-23,2.1
2021-07-24,2.1
2021-07-25,2.1
2021-07-26,2.1
2021-07-27,2.1
2021-07-28,2.1
2021-07-29,2.1
2021-07-30,2.1
2021-07-31,2.1
2021-08-01,2.1
2021-08-02,2.1
2021-08-03,2.1
2021-08-04,2.1
2021-08-05,2.1
2021-08-06,2.3
2021-08-07,2.3
2021-08-08,2.3
2021-08-09,2.3
2021-08-10,2.3
2021-08-11,2.3
2021-08-12,2.3
2021-08-13,2.3
2021-08-14,2.3
2021-08-15,2.3
2021-08-16,2.3
2021-08-17,2.3
2021-08-18,2.3
2021-08-19,2.3
2021-08-20,2.3
2021-08-21,2.3
2021-08-22,2.3
2021-08-23,2.3
2021-08-24,2.3
2021-08-25,2.3
2021-08-26,2.3
2021-08-27,2.3
2021-08-28,2.3
2021-08-29,2.3
2021-08-30,2.3
2021-08-31,2.3
2021-09-01,2.3
2021-09-02,2.3
2021-09-03,2.3
2021-09-04,2.3
2021-09-05,2.3
2021-09-06,2.3
2021-09-07,2.3
2021-09-08,2.3
2021-09-09,2.3
2021-09-10,2.3
2021-09-11,2.3
2021-09-12,2.3
2021-09-13,2.3
2021-09-14,2.3
2021-09-15,2.3
2021-09-16,2.3
2021-09-17,2.3
2021-09-18,2.3
2021-09-19,2.3
2021-09-20,2.3
2021-09-21,2.3
2021-09-22,2.3
2021-09-23,2.3
2021-09-24,2.3
2021-09-25,2.3
2021-09-26,2.3
2021-09-27,2.3
2021-09-28,2.3
2021-09-29,2.3
2021-09-30,2.3
2021-10-01,2.3
2021-10-02,2.3
2021-10-03,2.3
2021-10-04,2.3
2021-10-05,2.3
2021-10-06,2.3
2021-10-07,2.3
2021-10-08,2.3
2021-10-09,2.3
2021-10-10,2.3
2021-10-11,2.3
2021-10-12,2.3
2021-10-13,2.3
2021-10-14,2.3
2021-10-15,2.3
2021-10-16,2.3
2021-10-17,2.3
2021-10-18,2.3
2021-10-19,2.3
2021-10-20,2.3
2021-10-21,2.3
2021-10-22,2.3
2021-10-23,2.3
2021-10-24,2.3
2021-10-25,2.3
2021-10-26,2.3
2021-10-27,2.3
2021-10-28,2.3
2021-10-29,2.3
2021-10-30,2.3
2021-10-31,2.3
2021-11-01,2.3
2021-11-02,2.3
2021-11-03,2.3
2021-11-04,2.3
2021-11-05,2.4
2021-11-06,2.4
2021-11-07,2.4
2021-11-08,2.4
2021-11-09,2.4
2021-11-10,2.4
2021-11-11,2.4
2021-11-12,2.4
2021-11-13,2.4
2021-11-14,2.4
2021-11-15,2.4
2021-11-16,2.4
2021-11-17,2.4
2021-11-18,2.4
2021-11-19,2.4
2021-11-20,2.4
2021-11-21,2.4
2021-11-22,2.4
2021-11-23,2.4
2021-11-24,2.4
2021-11-25,2.4
2021-11-26,2.4
2021-11-27,2.4
2021-11-28,2.4
2021-11-29,2.4
2021-11-30,2.4
2021-12-01,2.4
2021-12-02,2.4
2021-12-03,2.4
2021-12-04,2.4
2021-12-05,2.4
2021-12-06,2.4
2021-12-07,2.4
2021-12-08,2.4
2021-12-09,2.4
2021-12-10,2.4
2021-12-11,2.4
2021-12-12,2.4
2021-12-13,2.4
2021-12-14,2.4
2021-12-15,2.4
2021-12-16,2.4
2021-12-17,2.4
2021-12-18,2.4
2021-12-19,2.4
2021-12-20,2.4
2021-12-21,2.4
2021-12-22,2.4
2021-12-23,2.4
2021-12-24,2.4
2021-12-25,2.4
2021-12-26,2.4
2021-12-27,2.4
2021-12-28,2.4
2021-12-29,2.4
2021-12-30,2.4
2021-12-31,2.4
2022-01-01,2.4
2022-01-02,2.4
2022-01-03,2.4
2022-01-04,2.4
2022-01-05,2.4
2022-01-06,2.4
2022-01-07,2.4
2022-01-08,2.4
2022-01-09,2.4
2022-01-10,2.4
2022-01-11,2.4
2022-01-12,2.4
2022-01-13,2.4
2022-01-14,2.4
2022-01-15,2.4
2022-01-16,2.4
2022-01-17,2.4
2022-01-18,2.4
2022-01-19,2.4
2022-01-20,2.4
2022-01-21,2.45
2022-01-22,2.45
2022-01-23,2.45
2022-01-24,2.45
2022-01-25,2.45
2022-01-26,2.45
2022-01-27,2.45
2022-01-28,2.45
2022-01-29,2.45
2022-01-30,2.45
2022-01-31,2.45
2022-02-01,2.45
2022-02-02,2.45
2022-02-03,2.45
2022-02-04,2.45
2022-02-05,2.45
2022-02-06,2.45
2022-02-07,2.45
2022-02-08,2.45
2022-02-09,2.45
2022-02-10,2.45
2022-02-11,2.4
2022-02-12,2.4
2022-02-13,2.4
2022-02-14,2.4
2022-02-15,2.4
2022-02-16,2.4
2022-02-17,2.4
2022-02-18,2.4
2022-02-19,2.4
2022-02-20,2.4
2022-02-21,2.4
2022-02-22,2.4
2022-02-23,2.4
2022-02-24,2.4
2022-02-25,2.4
2022-02-26,2.4
2022-02-27,2.4
2022-02-28,2.4
2022-03-01,2.4
2022-03-02,2.4
2022-03-03,2.4
2022-03-04,2.4
2022-03-05,2.4
2022-03-06,2.4
2022-03-07,2.4
2022-03-08,2.4
2022-03-09,2.4
2022-03-10,2.4
2022-03-11,2.4
2022-03-12,2.4
2022-03-13,2.4
2022-03-14,2.4
2022-03-15,2.4
2022-03-16,2.4
2022-03-17,2.4
2022-03-18,2.4
2022-03-19,2.4
2022-03-20,2.4
2022-03-21,2.4
2022-03-22,2.4
2022-03-23,2.4
2022-03-24,2.4
2022-03-25,2.4
2022-03-26,2.4
2022-03-27,2.4
2022-03-28,2.4
2022-03-29,2.4
2022-03-30,2.4
2022-03-31,2.4
2022-04-01,2.4
2022-04-02,2.4
2022-04-03,2.4
2022-04-04,2.4
2022-04-05,2.38
2022-04-06,2.38
2022-04-07,2.38
2022-04-08,2.38
2022-04-09,2.38
2022-04-10,2.38
2022-04-11,2.38
2022-04-12,2.38
2022-04-13,2.38
2022-04-14,2.38
2022-04-15,2.38
2022-04-16,2.38
2022-04-17,2.38
2022-04-18,2.38
2022-04-19,2.38
2022-04-20,2.38
2022-04-21,2.38
2022-04-22,2.38
2022-04-23,2.38
2022-04-24,2.38
2022-04-25,2.355
2022-04-26,2.355
2022-04-27,2.355
2022-04-28,2.355
2022-04-29,2.355
2022-04-30,2.355
2022-05-01,2.355
2022-05-02,2.355
2022-05-03,2.355
2022-05-04,2.355
2022-05-05,2.355
2022-05-06,2.355
2022-05-07,2.355
2022-05-08,2.355
2022-05-09,2.355
2022-05-10,2.355
2022-05-11,2.355
2022-05-12,2.355
2022-05-13,2.355
2022-05-14,2.355
2022-05-15,2.355
2022-05-16,2.355
2022-05-17,2.355
2022-05-18,2.355
2022-05-19,2.355
2022-05-20,2.355
2022-05-21,2.355
2022-05-22,2.355
2022-05-23,2.355
2022-05-24,2.355
2022-05-25,2.355
2022-05-26,2.355
2022-05-27,2.355
2022-05-28,2.355
2022-05-29,2.355
2022-05-30,2.355
2022-05-31,2.355
2022-06-01,2.355
2022-06-02,2.355
2022-06-03,2.355
2022-06-04,2.355
2022-06-05,2.355
2022-06-06,2.355
2022-06-07,2.355
2022-06-08,2.355
2022-06-09,2.355
2022-06-10,2.355
2022-06-11,2.355
2022-06-12,2.355
2022-06-13,2.355
2022-06-14,2.355
2022-06-15,2.183
2022-06-16,2.183
2022-06-17,2.183
2022-06-18,2.183
2022-06-19,2.183
2022-06-20,2.183
2022-06-21,2.183
2022-06-22,2.183
2022-06-23,2.183
2022-06-24,2.183
2022-06-25,2.183
2022-06-26,2.183
2022-06-27,2.183
2022-06-28,2.183
2022-06-29,2.183
2022-06-30,2.183
2022-07-01,2.183
2022-07-02,2.183
2022-07-03,2.183
2022-07-04,2.183
2022-07-05,2.183
2022-07-06,2.183
2022-07-07,2.183
2022-07-08,2.183
2022-07-09,2.183
2022-07-10,2.183
2022-07-11,2.183
2022-07-12,2.183
2022-07-13,2.183
2022-07-14,2.183
2022-07-15,2.183
2022-07-16,2.183
2022-07-17,2.183
2022-07-18,2.183
2022-07-19,2.183
2022-07-20,2.183
2022-07-21,2.027
2022-07-22,2.027
2022-07-23,2.027
2022-07-24,2.027
2022-07-25,2.027
2022-07-26,2.027
2022-07-27,2.027
2022-07-28,2.027
2022-07-29,2.037
2022-07-30,2.037
2022-07-31,2.037
2022-08-01,1.973
2022-08-02,1.973
2022-08-03,1.973
2022-08-04,1.973
2022-08-05,1.973
2022-08-06,1.973
2022-08-07,1.973
2022-08-08,1.973
2022-08-09,1.973
2022-08-10,1.973
2022-08-11,1.973
2022-08-12,1.973
2022-08-13,1.973
2022-08-14,1.973
2022-08-15,1.973
2022-08-16,1.973
2022-08-17,1.973
2022-08-18,1.973
2022-08-19,1.973
2022-08-20,1.973
2022-08-21,1.973
2022-08-22,1.973
2022-08-23,1.973
2022-08-24,1.973
2022-08-25,1.973
2022-08-26,1.973
2022-08-27,1.973
2022-08-28,1.973
2022-08-29,1.973
2022-08-30,2.014
2022-08-31,2.014
2022-09-01,2.014
2022-09-02,2.014
2022-09-03,2.014
2022-09-04,2.014
2022-09-05,2.014
2022-09-06,2.014
2022-09-07,2.014
2022-09-08,2.014
2022-09-09,2.014
2022-09-10,2.014
2022-09-11,2.014
2022-09-12,2.014
2022-09-13,2.014
2022-09-14,2.014
2022-09-15,2.014
2022-09-16,2.014
2022-09-17,2.014
2022-09-18,2.014
2022-09-19,2.012
2022-09-20,2.012
2022-09-21,2.012
2022-09-22,2.012
2022-09-23,2.012
2022-09-24,2.012
2022-09-25,2.012
2022-09-26,2.012
2022-09-27,2.012
2022-09-28,2.012
2022-09-29,2.012
2022-09-30,2.012
2022-10-01,2.012
2022-10-02,2.04
2022-10-03,2.04
2022-10-04,2.04
2022-10-05,2.04
2022-10-06,2.04
2022-10-07,2.04
2022-10-08,2.04
2022-10-09,2.04
2022-10-10,2.038
2022-10-11,2.038
2022-10-12,2.038
2022-10-13,2.038
2022-10-14,2.038
2022-10-15,2.038
2022-10-16,2.038
2022-10-17,2.038
2022-10-18,2.048
2022-10-19,2.048
2022-10-20,2.01
2022-10-21,2.01
2022-10-22,2.01
2022-10-23,2.022
2022-10-24,2.022
2022-10-25,2.022
2022-10-26,2.022
2022-10-27,2.022
2022-10-28,2.002
2022-10-29,2.002
2022-10-30,2.002
2022-10-31,1.98
2022-11-01,1.888
2022-11-02,1.888
2022-11-03,1.888
2022-11-04,1.888
2022-11-05,1.888
2022-11-06,1.888
2022-11-07,1.844
2022-11-08,1.844
2022-11-09,1.844
2022-11-10,1.844
2022-11-11,1.844
2022-11-12,1.844
2022-11-13,1.844
2022-11-14,1.844
2022-11-15,1.676
2022-11-16,1.676
2022-11-17,1.676
2022-11-18,1.676
2022-11-19,1.676
2022-11-20,1.676
2022-11-21,1.676
2022-11-22,1.676
2022-11-23,1.676
2022-11-24,1.676
2022-11-25,1.676
2022-11-26,1.676
2022-11-27,1.676
2022-11-28,1.676
2022-11-29,1.676
2022-11-30,1.676
2022-12-01,1.676
2022-12-02,1.676
2022-12-03,1.676
2022-12-04,1.676
2022-12-05,1.676
2022-12-06,1.676
2022-12-07,1.676
2022-12-08,1.676
2022-12-09,1.676
2022-12-10,1.676
2022-12-11,1.676
2022-12-12,1.602
2022-12-13,1.602
2022-12-14,1.602
2022-12-15,1.602
2022-12-16,1.602
2022-12-17,1.602
2022-12-18,1.602
2022-12-19,1.602
2022-12-20,1.602
2022-12-21,1.602
2022-12-22,1.602
2022-12-23,1.602
2022-12-24,1.602
2022-12-25,1.602
2022-12-26,1.602
2022-12-27,1.602
2022-12-28,1.602
2022-12-29,1.602
2022-12-30,1.602
2022-12-31,1.602
2023-01-01,1.602
2023-01-02,1.602
2023-01-03,1.602
2023-01-04,1.602
2023-01-05,1.602
2023-01-06,1.602
2023-01-07,1.602
2023-01-08,1.602
2023-01-09,1.602
2023-01-10,1.602
2023-01-11,1.602
2023-01-12,1.602
2023-01-13,1.602
2023-01-14,1.602
2023-01-15,1.602
2023-01-16,1.602
2023-01-17,1.602
2023-01-18,1.602
2023-01-19,1.602
2023-01-20,1.542
2023-01-21,1.542
2023-01-22,1.542
2023-01-23,1.542
2023-01-24,1.542
2023-01-25,1.542
2023-01-26,1.53
2023-01-27,1.524
2023-01-28,1.524
2023-01-29,1.524
2023-01-30,1.524
2023-01-31,1.54
2023-02-01,1.54
2023-02-02,1.54
2023-02-03,1.54
2023-02-04,1.54
2023-02-05,1.54
2023-02-06,1.54
2023-02-07,1.54
2023-02-08,1.54
2023-02-09,1.54
2023-02-10,1.54
2023-02-11,1.54
2023-02-12,1.54
2023-02-13,1.54
2023-02-14,1.54
2023-02-15,1.54
2023-02-16,1.52
2023-02-17,1.52
2023-02-18,1.52
2023-02-19,1.52
2023-02-20,1.52
2023-02-21,1.52
2023-02-22,1.52
2023-02-23,1.52
2023-02-24,1.52
2023-02-25,1.52
2023-02-26,1.52
2023-02-27,1.52
2023-02-28,1.52
2023-03-01,1.52
2023-03-02,1.52
2023-03-03,1.52
2023-03-04,1.52
2023-03-05,1.52
2023-03-06,1.52
2023-03-07,1.52
2023-03-08,1.52
2023-03-09,1.52
2023-03-10,1.52
2023-03-11,1.52
2023-03-12,1.52
2023-03-13,1.52
2023-03-14,1.52
2023-03-15,1.494
2023-03-16,1.494
2023-03-17,1.494
2023-03-18,1.494
2023-03-19,1.494
2023-03-20,1.494
2023-03-21,1.494
2023-03-22,1.494
2023-03-23,1.494
2023-03-24,1.494
2023-03-25,1.494
2023-03-26,1.494
2023-03-27,1.494
2023-03-28,1.494
2023-03-29,1.494
2023-03-30,1.494
2023-03-31,1.494
2023-04-01,1.494
2023-04-02,1.494
2023-04-03,1.494
2023-04-04,1.494
2023-04-05,1.494
2023-04-06,1.494
2023-04-07,1.494
2023-04-08,1.494
2023-04-09,1.494
2023-04-10,1.452
2023-04-11,1.452
2023-04-12,1.452
2023-04-13,1.452
2023-04-14,1.452
2023-04-15,1.448
2023-04-16,1.448
2023-04-17,1.448
2023-04-18,1.448
2023-04-19,1.448
2023-04-20,1.438
2023-04-21,1.438
2023-04-22,1.438
2023-04-23,1.396
2023-04-24,1.396
2023-04-25,1.396
2023-04-26,1.396
2023-04-27,1.396
2023-04-28,1.396
2023-04-29,1.396
2023-04-30,1.396
2023-05-01,1.396
2023-05-02,1.396
2023-05-03,1.396
2023-05-04,1.396
2023-05-05,1.35
2023-05-06,1.352
2023-05-07,1.352
2023-05-08,1.346
2023-05-09,1.346
2023-05-10,1.346
2023-05-11,1.346
2023-05-12,1.346
2023-05-13,1.346
2023-05-14,1.346
2023-05-15,1.346
2023-05-16,1.346
2023-05-17,1.346
2023-05-18,1.346
2023-05-19,1.346
2023-05-20,1.346
2023-05-21,1.346
2023-05-22,1.346
2023-05-23,1.37
2023-05-24,1.37
2023-05-25,1.37
2023-05-26,1.37
2023-05-27,1.37
2023-05-28,1.37
2023-05-29,1.37
2023-05-30,1.37
2023-05-31,1.37
2023-06-01,1.37
2023-06-02,1.37
2023-06-03,1.37
2023-06-04,1.37
2023-06-05,1.37
2023-06-06,1.37
2023-06-07,1.37
2023-06-08,1.37
2023-06-09,1.37
2023-06-10,1.37
2023-06-11,1.37
2023-06-12,1.37
2023-06-13,1.37
2023-06-14,1.37
2023-06-15,1.37
2023-06-16,1.37
2023-06-17,1.37
2023-06-18,1.37
2023-06-19,1.37
2023-06-20,1.37
2023-06-21,1.37
2023-06-22,1.37
2023-06-23,1.385
2023-06-24,1.385
2023-06-25,1.385
2023-06-26,1.385
2023-06-27,1.385
2023-06-28,1.385
2023-06-29,1.34
2023-06-30,1.34
2023-07-01,1.34
2023-07-02,1.34
2023-07-03,1.34
2023-07-04,1.34
