,SOI US Equity
2021-05-01,0.57
2021-05-02,0.57
2021-05-03,0.57
2021-05-04,0.55
2021-05-05,0.55
2021-05-06,0.55
2021-05-07,0.55
2021-05-08,0.55
2021-05-09,0.55
2021-05-10,0.55
2021-05-11,0.55
2021-05-12,0.55
2021-05-13,0.55
2021-05-14,0.55
2021-05-15,0.55
2021-05-16,0.55
2021-05-17,0.55
2021-05-18,0.55
2021-05-19,0.55
2021-05-20,0.55
2021-05-21,0.55
2021-05-22,0.55
2021-05-23,0.55
2021-05-24,0.55
2021-05-25,0.55
2021-05-26,0.55
2021-05-27,0.55
2021-05-28,0.55
2021-05-29,0.55
2021-05-30,0.55
2021-05-31,0.55
2021-06-01,0.55
2021-06-02,0.55
2021-06-03,0.55
2021-06-04,0.55
2021-06-05,0.55
2021-06-06,0.55
2021-06-07,0.55
2021-06-08,0.55
2021-06-09,0.55
2021-06-10,0.55
2021-06-11,0.55
2021-06-12,0.55
2021-06-13,0.55
2021-06-14,0.55
2021-06-15,0.55
2021-06-16,0.55
2021-06-17,0.55
2021-06-18,0.55
2021-06-19,0.55
2021-06-20,0.55
2021-06-21,0.55
2021-06-22,0.55
2021-06-23,0.55
2021-06-24,0.55
2021-06-25,0.55
2021-06-26,0.55
2021-06-27,0.55
2021-06-28,0.55
2021-06-29,0.55
2021-06-30,0.55
2021-07-01,0.55
2021-07-02,0.55
2021-07-03,0.55
2021-07-04,0.55
2021-07-05,0.55
2021-07-06,0.55
2021-07-07,0.55
2021-07-08,0.55
2021-07-09,0.55
2021-07-10,0.55
2021-07-11,0.55
2021-07-12,0.55
2021-07-13,0.55
2021-07-14,0.55
2021-07-15,0.55
2021-07-16,0.55
2021-07-17,0.55
2021-07-18,0.55
2021-07-19,0.55
2021-07-20,0.55
2021-07-21,0.55
2021-07-22,0.55
2021-07-23,0.55
2021-07-24,0.55
2021-07-25,0.55
2021-07-26,0.55
2021-07-27,0.55
2021-07-28,0.55
2021-07-29,0.55
2021-07-30,0.55
2021-07-31,0.55
2021-08-01,0.55
2021-08-02,0.53
2021-08-03,0.53
2021-08-04,0.53
2021-08-05,0.53
2021-08-06,0.53
2021-08-07,0.53
2021-08-08,0.53
2021-08-09,0.53
2021-08-10,0.53
2021-08-11,0.53
2021-08-12,0.53
2021-08-13,0.53
2021-08-14,0.53
2021-08-15,0.53
2021-08-16,0.53
2021-08-17,0.53
2021-08-18,0.53
2021-08-19,0.53
2021-08-20,0.53
2021-08-21,0.53
2021-08-22,0.53
2021-08-23,0.53
2021-08-24,0.53
2021-08-25,0.53
2021-08-26,0.53
2021-08-27,0.53
2021-08-28,0.53
2021-08-29,0.53
2021-08-30,0.53
2021-08-31,0.53
2021-09-01,0.53
2021-09-02,0.53
2021-09-03,0.53
2021-09-04,0.53
2021-09-05,0.53
2021-09-06,0.53
2021-09-07,0.53
2021-09-08,0.53
2021-09-09,0.53
2021-09-10,0.53
2021-09-11,0.53
2021-09-12,0.53
2021-09-13,0.53
2021-09-14,0.53
2021-09-15,0.53
2021-09-16,0.53
2021-09-17,0.53
2021-09-18,0.53
2021-09-19,0.53
2021-09-20,0.53
2021-09-21,0.53
2021-09-22,0.53
2021-09-23,0.53
2021-09-24,0.53
2021-09-25,0.53
2021-09-26,0.53
2021-09-27,0.53
2021-09-28,0.53
2021-09-29,0.53
2021-09-30,0.53
2021-10-01,0.53
2021-10-02,0.53
2021-10-03,0.53
2021-10-04,0.53
2021-10-05,0.53
2021-10-06,0.53
2021-10-07,0.53
2021-10-08,0.53
2021-10-09,0.53
2021-10-10,0.53
2021-10-11,0.53
2021-10-12,0.53
2021-10-13,0.53
2021-10-14,0.53
2021-10-15,0.53
2021-10-16,0.53
2021-10-17,0.53
2021-10-18,0.53
2021-10-19,0.53
2021-10-20,0.53
2021-10-21,0.53
2021-10-22,0.53
2021-10-23,0.53
2021-10-24,0.53
2021-10-25,0.53
2021-10-26,0.53
2021-10-27,0.53
2021-10-28,0.53
2021-10-29,0.53
2021-10-30,0.53
2021-10-31,0.53
2021-11-01,0.53
2021-11-02,0.53
2021-11-03,0.53
2021-11-04,0.53
2021-11-05,0.53
2021-11-06,0.53
2021-11-07,0.53
2021-11-08,0.53
2021-11-09,0.53
2021-11-10,0.53
2021-11-11,0.53
2021-11-12,0.53
2021-11-13,0.53
2021-11-14,0.53
2021-11-15,0.53
2021-11-16,0.53
2021-11-17,0.53
2021-11-18,0.53
2021-11-19,0.53
2021-11-20,0.53
2021-11-21,0.53
2021-11-22,0.53
2021-11-23,0.53
2021-11-24,0.53
2021-11-25,0.53
2021-11-26,0.53
2021-11-27,0.53
2021-11-28,0.53
2021-11-29,0.53
2021-11-30,0.53
2021-12-01,0.53
2021-12-02,0.53
2021-12-03,0.53
2021-12-04,0.53
2021-12-05,0.53
2021-12-06,0.53
2021-12-07,0.53
2021-12-08,0.53
2021-12-09,0.53
2021-12-10,0.53
2021-12-11,0.53
2021-12-12,0.53
2021-12-13,0.53
2021-12-14,0.53
2021-12-15,0.53
2021-12-16,0.53
2021-12-17,0.53
2021-12-18,0.53
2021-12-19,0.53
2021-12-20,0.53
2021-12-21,0.53
2021-12-22,0.53
2021-12-23,0.53
2021-12-24,0.53
2021-12-25,0.53
2021-12-26,0.53
2021-12-27,0.53
2021-12-28,0.53
2021-12-29,0.53
2021-12-30,0.53
2021-12-31,0.53
2022-01-01,0.53
2022-01-02,0.53
2022-01-03,0.53
2022-01-04,0.53
2022-01-05,0.53
2022-01-06,0.53
2022-01-07,0.53
2022-01-08,0.53
2022-01-09,0.53
2022-01-10,0.53
2022-01-11,0.53
2022-01-12,0.53
2022-01-13,0.53
2022-01-14,0.53
2022-01-15,0.53
2022-01-16,0.53
2022-01-17,0.53
2022-01-18,0.53
2022-01-19,0.53
2022-01-20,0.53
2022-01-21,0.53
2022-01-22,0.53
2022-01-23,0.53
2022-01-24,0.53
2022-01-25,0.53
2022-01-26,0.53
2022-01-27,0.53
2022-01-28,0.53
2022-01-29,0.53
2022-01-30,0.53
2022-01-31,0.53
2022-02-01,0.53
2022-02-02,0.53
2022-02-03,0.53
2022-02-04,0.53
2022-02-05,0.53
2022-02-06,0.53
2022-02-07,0.53
2022-02-08,0.53
2022-02-09,0.53
2022-02-10,0.53
2022-02-11,0.53
2022-02-12,0.53
2022-02-13,0.53
2022-02-14,0.53
2022-02-15,0.53
2022-02-16,0.53
2022-02-17,0.53
2022-02-18,0.53
2022-02-19,0.53
2022-02-20,0.53
2022-02-21,0.53
2022-02-22,0.53
2022-02-23,0.5
2022-02-24,0.5
2022-02-25,0.5
2022-02-26,0.5
2022-02-27,0.5
2022-02-28,0.5
2022-03-01,0.5
2022-03-02,0.5
2022-03-03,0.5
2022-03-04,0.48
2022-03-05,0.48
2022-03-06,0.48
2022-03-07,0.48
2022-03-08,0.48
2022-03-09,0.48
2022-03-10,0.48
2022-03-11,0.48
2022-03-12,0.48
2022-03-13,0.48
2022-03-14,0.48
2022-03-15,0.48
2022-03-16,0.48
2022-03-17,0.48
2022-03-18,0.48
2022-03-19,0.48
2022-03-20,0.48
2022-03-21,0.48
2022-03-22,0.48
2022-03-23,0.48
2022-03-24,0.48
2022-03-25,0.48
2022-03-26,0.48
2022-03-27,0.48
2022-03-28,0.48
2022-03-29,0.48
2022-03-30,0.48
2022-03-31,0.48
2022-04-01,0.48
2022-04-02,0.48
2022-04-03,0.48
2022-04-04,0.48
2022-04-05,0.5
2022-04-06,0.5
2022-04-07,0.5
2022-04-08,0.5
2022-04-09,0.5
2022-04-10,0.5
2022-04-11,0.5
2022-04-12,0.5
2022-04-13,0.5
2022-04-14,0.5
2022-04-15,0.5
2022-04-16,0.5
2022-04-17,0.5
2022-04-18,0.5
2022-04-19,0.5
2022-04-20,0.5
2022-04-21,0.5
2022-04-22,0.5
2022-04-23,0.5
2022-04-24,0.5
2022-04-25,0.5
2022-04-26,0.5
2022-04-27,0.5
2022-04-28,0.5
2022-04-29,0.5
2022-04-30,0.5
2022-05-01,0.5
2022-05-02,0.5
2022-05-03,0.5
2022-05-04,0.5
2022-05-05,0.5
2022-05-06,0.5
2022-05-07,0.5
2022-05-08,0.5
2022-05-09,0.5
2022-05-10,0.5
2022-05-11,0.5
2022-05-12,0.5
2022-05-13,0.5
2022-05-14,0.5
2022-05-15,0.5
2022-05-16,0.5
2022-05-17,0.5
2022-05-18,0.5
2022-05-19,0.5
2022-05-20,0.5
2022-05-21,0.5
2022-05-22,0.5
2022-05-23,0.5
2022-05-24,0.5
2022-05-25,0.5
2022-05-26,0.5
2022-05-27,0.5
2022-05-28,0.5
2022-05-29,0.5
2022-05-30,0.5
2022-05-31,0.5
2022-06-01,0.5
2022-06-02,0.5
2022-06-03,0.5
2022-06-04,0.5
2022-06-05,0.5
2022-06-06,0.5
2022-06-07,0.5
2022-06-08,0.5
2022-06-09,0.5
2022-06-10,0.5
2022-06-11,0.5
2022-06-12,0.5
2022-06-13,0.5
2022-06-14,0.5
2022-06-15,0.5
2022-06-16,0.5
2022-06-17,0.5
2022-06-18,0.5
2022-06-19,0.5
2022-06-20,0.5
2022-06-21,0.5
2022-06-22,0.5
2022-06-23,0.5
2022-06-24,0.5
2022-06-25,0.5
2022-06-26,0.5
2022-06-27,0.5
2022-06-28,0.5
2022-06-29,0.5
2022-06-30,0.5
2022-07-01,0.5
2022-07-02,0.5
2022-07-03,0.5
2022-07-04,0.5
2022-07-05,0.5
2022-07-06,0.5
2022-07-07,0.5
2022-07-08,0.5
2022-07-09,0.5
2022-07-10,0.5
2022-07-11,0.5
2022-07-12,0.5
2022-07-13,0.5
2022-07-14,0.5
2022-07-15,0.5
2022-07-16,0.5
2022-07-17,0.5
2022-07-18,0.5
2022-07-19,0.5
2022-07-20,0.5
2022-07-21,0.5
2022-07-22,0.5
2022-07-23,0.5
2022-07-24,0.5
2022-07-25,0.5
2022-07-26,0.5
2022-07-27,0.5
2022-07-28,0.5
2022-07-29,0.5
2022-07-30,0.5
2022-07-31,0.5
2022-08-01,0.5
2022-08-02,0.5
2022-08-03,0.725
2022-08-04,0.725
2022-08-05,0.725
2022-08-06,0.725
2022-08-07,0.725
2022-08-08,0.725
2022-08-09,0.725
2022-08-10,0.725
2022-08-11,0.725
2022-08-12,0.725
2022-08-13,0.725
2022-08-14,0.725
2022-08-15,0.725
2022-08-16,0.725
2022-08-17,0.725
2022-08-18,0.725
2022-08-19,0.725
2022-08-20,0.725
2022-08-21,0.725
2022-08-22,0.725
2022-08-23,0.725
2022-08-24,0.725
2022-08-25,0.725
2022-08-26,0.725
2022-08-27,0.725
2022-08-28,0.725
2022-08-29,0.725
2022-08-30,0.725
2022-08-31,0.725
2022-09-01,0.725
2022-09-02,1.1
2022-09-03,1.1
2022-09-04,1.1
2022-09-05,1.1
2022-09-06,1.1
2022-09-07,1.1
2022-09-08,1.1
2022-09-09,1.1
2022-09-10,1.1
2022-09-11,1.1
2022-09-12,1.1
2022-09-13,1.1
2022-09-14,1.1
2022-09-15,1.1
2022-09-16,1.1
2022-09-17,1.1
2022-09-18,1.1
2022-09-19,1.1
2022-09-20,1.1
2022-09-21,1.1
2022-09-22,1.1
2022-09-23,1.1
2022-09-24,1.1
2022-09-25,1.1
2022-09-26,1.1
2022-09-27,1.1
2022-09-28,1.1
2022-09-29,1.1
2022-09-30,1.1
2022-10-01,1.1
2022-10-02,1.1
2022-10-03,1.1
2022-10-04,1.1
2022-10-05,1.1
2022-10-06,1.333
2022-10-07,1.333
2022-10-08,1.333
2022-10-09,1.333
2022-10-10,1.333
2022-10-11,1.333
2022-10-12,1.333
2022-10-13,1.333
2022-10-14,1.333
2022-10-15,1.333
2022-10-16,1.333
2022-10-17,1.333
2022-10-18,1.333
2022-10-19,1.333
2022-10-20,1.333
2022-10-21,1.333
2022-10-22,1.333
2022-10-23,1.333
2022-10-24,1.333
2022-10-25,1.333
2022-10-26,1.333
2022-10-27,1.333
2022-10-28,1.333
2022-10-29,1.333
2022-10-30,1.333
2022-10-31,1.333
2022-11-01,1.693
2022-11-02,1.848
2022-11-03,1.848
2022-11-04,1.843
2022-11-05,1.843
2022-11-06,1.843
2022-11-07,1.843
2022-11-08,1.843
2022-11-09,1.843
2022-11-10,1.843
2022-11-11,1.843
2022-11-12,1.843
2022-11-13,1.843
2022-11-14,1.843
2022-11-15,1.995
2022-11-16,1.995
2022-11-17,1.995
2022-11-18,1.995
2022-11-19,1.995
2022-11-20,1.995
2022-11-21,1.995
2022-11-22,1.995
2022-11-23,1.995
2022-11-24,1.995
2022-11-25,1.995
2022-11-26,1.995
2022-11-27,1.995
2022-11-28,1.995
2022-11-29,1.995
2022-11-30,1.995
2022-12-01,1.995
2022-12-02,1.995
2022-12-03,1.995
2022-12-04,1.995
2022-12-05,1.995
2022-12-06,1.995
2022-12-07,1.995
2022-12-08,1.995
2022-12-09,1.995
2022-12-10,1.995
2022-12-11,1.995
2022-12-12,1.995
2022-12-13,1.995
2022-12-14,1.995
2022-12-15,1.995
2022-12-16,1.995
2022-12-17,1.995
2022-12-18,1.995
2022-12-19,1.995
2022-12-20,1.856
2022-12-21,1.856
2022-12-22,1.856
2022-12-23,1.835
2022-12-24,1.835
2022-12-25,1.835
2022-12-26,1.835
2022-12-27,1.835
2022-12-28,1.835
2022-12-29,1.835
2022-12-30,1.835
2022-12-31,1.835
2023-01-01,1.835
2023-01-02,1.835
2023-01-03,1.835
2023-01-04,1.835
2023-01-05,1.835
2023-01-06,1.835
2023-01-07,1.835
2023-01-08,1.835
2023-01-09,1.835
2023-01-10,1.835
2023-01-11,1.835
2023-01-12,1.835
2023-01-13,1.835
2023-01-14,1.835
2023-01-15,1.835
2023-01-16,1.835
2023-01-17,1.835
2023-01-18,1.835
2023-01-19,1.835
2023-01-20,1.835
2023-01-21,1.835
2023-01-22,1.835
2023-01-23,1.835
2023-01-24,1.835
2023-01-25,1.835
2023-01-26,1.835
2023-01-27,1.835
2023-01-28,1.835
2023-01-29,1.835
2023-01-30,1.835
2023-01-31,1.835
2023-02-01,1.835
2023-02-02,1.835
2023-02-03,1.835
2023-02-04,1.835
2023-02-05,1.835
2023-02-06,1.835
2023-02-07,1.835
2023-02-08,1.835
2023-02-09,1.835
2023-02-10,1.835
2023-02-11,1.835
2023-02-12,1.835
2023-02-13,1.835
2023-02-14,1.835
2023-02-15,1.835
2023-02-16,1.835
2023-02-17,1.835
2023-02-18,1.835
2023-02-19,1.835
2023-02-20,1.835
2023-02-21,1.835
2023-02-22,1.835
2023-02-23,1.772
2023-02-24,1.772
2023-02-25,1.755
2023-02-26,1.755
2023-02-27,1.767
2023-02-28,1.767
2023-03-01,1.767
2023-03-02,1.767
2023-03-03,1.767
2023-03-04,1.767
2023-03-05,1.767
2023-03-06,1.767
2023-03-07,1.725
2023-03-08,1.725
2023-03-09,1.725
2023-03-10,1.725
2023-03-11,1.725
2023-03-12,1.725
2023-03-13,1.725
2023-03-14,1.725
2023-03-15,1.682
2023-03-16,1.682
2023-03-17,1.682
2023-03-18,1.682
2023-03-19,1.682
2023-03-20,1.682
2023-03-21,1.682
2023-03-22,1.682
2023-03-23,1.682
2023-03-24,1.682
2023-03-25,1.682
2023-03-26,1.682
2023-03-27,1.682
2023-03-28,1.682
2023-03-29,1.682
2023-03-30,1.682
2023-03-31,1.682
2023-04-01,1.682
2023-04-02,1.682
2023-04-03,1.682
2023-04-04,1.682
2023-04-05,1.682
2023-04-06,1.682
2023-04-07,1.682
2023-04-08,1.682
2023-04-09,1.682
2023-04-10,1.682
2023-04-11,1.682
2023-04-12,1.682
2023-04-13,1.682
2023-04-14,1.662
2023-04-15,1.662
2023-04-16,1.662
2023-04-17,1.662
2023-04-18,1.662
2023-04-19,1.662
2023-04-20,1.662
2023-04-21,1.662
2023-04-22,1.662
2023-04-23,1.662
2023-04-24,1.662
2023-04-25,1.662
2023-04-26,1.662
2023-04-27,1.662
2023-04-28,1.662
2023-04-29,1.662
2023-04-30,1.662
2023-05-01,1.662
2023-05-02,1.662
2023-05-03,1.628
2023-05-04,1.622
2023-05-05,1.768
2023-05-06,1.768
2023-05-07,1.768
2023-05-08,1.678
2023-05-09,1.678
2023-05-10,1.678
2023-05-11,1.678
2023-05-12,1.678
2023-05-13,1.678
2023-05-14,1.678
2023-05-15,1.678
2023-05-16,1.678
2023-05-17,1.573
2023-05-18,1.573
2023-05-19,1.573
2023-05-20,1.573
2023-05-21,1.573
2023-05-22,1.573
2023-05-23,1.573
2023-05-24,1.573
2023-05-25,1.573
2023-05-26,1.573
2023-05-27,1.573
2023-05-28,1.573
2023-05-29,1.573
2023-05-30,1.573
2023-05-31,1.573
2023-06-01,1.573
2023-06-02,1.573
2023-06-03,1.573
2023-06-04,1.573
2023-06-05,1.573
2023-06-06,1.573
2023-06-07,1.573
2023-06-08,1.573
2023-06-09,1.573
2023-06-10,1.573
2023-06-11,1.573
2023-06-12,1.573
2023-06-13,1.573
2023-06-14,1.573
2023-06-15,1.573
2023-06-16,1.598
2023-06-17,1.598
2023-06-18,1.598
2023-06-19,1.598
2023-06-20,1.598
2023-06-21,1.598
2023-06-22,1.598
2023-06-23,1.598
2023-06-24,1.598
2023-06-25,1.598
2023-06-26,1.598
2023-06-27,1.598
2023-06-28,1.598
2023-06-29,1.598
2023-06-30,1.598
2023-07-01,1.598
2023-07-02,1.598
2023-07-03,1.598
2023-07-04,1.598
2023-07-05,1.598
2023-07-06,1.598
2023-07-07,1.598
2023-07-08,1.598
2023-07-09,1.598
2023-07-10,1.598
2023-07-11,1.598
2023-07-12,1.598
2023-07-13,1.598
2023-07-14,1.598
2023-07-15,1.598
2023-07-16,1.598
2023-07-17,1.54
2023-07-18,1.566
2023-07-19,1.566
2023-07-20,1.566
2023-07-21,1.566
2023-07-22,1.566
2023-07-23,1.566
2023-07-24,1.566
2023-07-25,1.566
2023-07-26,1.566
2023-07-27,1.566
2023-07-28,1.632
2023-07-29,1.632
2023-07-30,1.638
2023-07-31,1.572
2023-08-01,1.572
2023-08-02,1.572
