,MGY US Equity
2021-05-02,1.987
2021-05-03,1.987
2021-05-04,1.987
2021-05-05,1.987
2021-05-06,1.987
2021-05-07,2.08
2021-05-08,2.08
2021-05-09,2.08
2021-05-10,2.08
2021-05-11,2.08
2021-05-12,2.08
2021-05-13,2.08
2021-05-14,2.08
2021-05-15,2.08
2021-05-16,2.08
2021-05-17,2.08
2021-05-18,2.08
2021-05-19,2.08
2021-05-20,2.08
2021-05-21,2.08
2021-05-22,2.08
2021-05-23,2.08
2021-05-24,2.08
2021-05-25,2.08
2021-05-26,2.08
2021-05-27,2.08
2021-05-28,2.08
2021-05-29,2.08
2021-05-30,2.08
2021-05-31,2.08
2021-06-01,2.08
2021-06-02,2.08
2021-06-03,2.08
2021-06-04,2.08
2021-06-05,2.08
2021-06-06,2.08
2021-06-07,2.08
2021-06-08,2.08
2021-06-09,2.08
2021-06-10,2.08
2021-06-11,2.08
2021-06-12,2.08
2021-06-13,2.08
2021-06-14,2.08
2021-06-15,2.08
2021-06-16,2.08
2021-06-17,2.08
2021-06-18,2.08
2021-06-19,2.08
2021-06-20,2.08
2021-06-21,2.08
2021-06-22,2.08
2021-06-23,2.08
2021-06-24,2.08
2021-06-25,2.08
2021-06-26,2.08
2021-06-27,2.08
2021-06-28,2.08
2021-06-29,2.08
2021-06-30,2.313
2021-07-01,2.313
2021-07-02,2.313
2021-07-03,2.313
2021-07-04,2.313
2021-07-05,2.313
2021-07-06,2.313
2021-07-07,2.313
2021-07-08,2.313
2021-07-09,2.313
2021-07-10,2.313
2021-07-11,2.313
2021-07-12,2.313
2021-07-13,2.313
2021-07-14,2.313
2021-07-15,2.313
2021-07-16,2.313
2021-07-17,2.313
2021-07-18,2.313
2021-07-19,2.313
2021-07-20,2.313
2021-07-21,2.313
2021-07-22,2.313
2021-07-23,2.313
2021-07-24,2.313
2021-07-25,2.313
2021-07-26,2.255
2021-07-27,2.255
2021-07-28,2.255
2021-07-29,2.255
2021-07-30,2.255
2021-07-31,2.255
2021-08-01,2.255
2021-08-02,2.255
2021-08-03,2.255
2021-08-04,2.273
2021-08-05,2.273
2021-08-06,2.273
2021-08-07,2.273
2021-08-08,2.273
2021-08-09,2.245
2021-08-10,2.245
2021-08-11,2.245
2021-08-12,2.255
2021-08-13,2.255
2021-08-14,2.255
2021-08-15,2.255
2021-08-16,2.255
2021-08-17,2.255
2021-08-18,2.255
2021-08-19,2.255
2021-08-20,2.255
2021-08-21,2.255
2021-08-22,2.255
2021-08-23,2.255
2021-08-24,2.255
2021-08-25,2.255
2021-08-26,2.255
2021-08-27,2.255
2021-08-28,2.255
2021-08-29,2.255
2021-08-30,2.255
2021-08-31,2.255
2021-09-01,2.255
2021-09-02,2.255
2021-09-03,2.255
2021-09-04,2.255
2021-09-05,2.255
2021-09-06,2.255
2021-09-07,2.255
2021-09-08,2.255
2021-09-09,2.255
2021-09-10,2.255
2021-09-11,2.255
2021-09-12,2.255
2021-09-13,2.255
2021-09-14,2.255
2021-09-15,2.268
2021-09-16,2.268
2021-09-17,2.268
2021-09-18,2.268
2021-09-19,2.268
2021-09-20,2.268
2021-09-21,2.268
2021-09-22,2.268
2021-09-23,2.268
2021-09-24,2.268
2021-09-25,2.268
2021-09-26,2.268
2021-09-27,2.268
2021-09-28,2.268
2021-09-29,2.268
2021-09-30,2.268
2021-10-01,2.268
2021-10-02,2.268
2021-10-03,2.268
2021-10-04,2.268
2021-10-05,2.268
2021-10-06,2.268
2021-10-07,2.268
2021-10-08,2.328
2021-10-09,2.328
2021-10-10,2.328
2021-10-11,2.328
2021-10-12,2.328
2021-10-13,2.328
2021-10-14,2.328
2021-10-15,2.328
2021-10-16,2.328
2021-10-17,2.328
2021-10-18,2.46
2021-10-19,2.46
2021-10-20,2.46
2021-10-21,2.46
2021-10-22,2.46
2021-10-23,2.46
2021-10-24,2.46
2021-10-25,2.46
2021-10-26,2.46
2021-10-27,2.46
2021-10-28,2.46
2021-10-29,2.46
2021-10-30,2.46
2021-10-31,2.46
2021-11-01,2.46
2021-11-02,2.46
2021-11-03,2.46
2021-11-04,2.485
2021-11-05,2.485
2021-11-06,2.485
2021-11-07,2.485
2021-11-08,2.485
2021-11-09,2.485
2021-11-10,2.485
2021-11-11,2.475
2021-11-12,2.475
2021-11-13,2.475
2021-11-14,2.475
2021-11-15,2.475
2021-11-16,2.475
2021-11-17,2.475
2021-11-18,2.475
2021-11-19,2.475
2021-11-20,2.475
2021-11-21,2.475
2021-11-22,2.475
2021-11-23,2.475
2021-11-24,2.475
2021-11-25,2.475
2021-11-26,2.475
2021-11-27,2.475
2021-11-28,2.475
2021-11-29,2.475
2021-11-30,2.475
2021-12-01,2.475
2021-12-02,2.475
2021-12-03,2.475
2021-12-04,2.475
2021-12-05,2.475
2021-12-06,2.475
2021-12-07,1.88
2021-12-08,1.88
2021-12-09,1.88
2021-12-10,1.88
2021-12-11,1.88
2021-12-12,1.88
2021-12-13,1.88
2021-12-14,1.88
2021-12-15,1.88
2021-12-16,1.88
2021-12-17,1.88
2021-12-18,1.88
2021-12-19,1.88
2021-12-20,1.88
2021-12-21,1.88
2021-12-22,1.88
2021-12-23,1.88
2021-12-24,1.88
2021-12-25,1.88
2021-12-26,1.88
2021-12-27,1.88
2021-12-28,1.88
2021-12-29,1.88
2021-12-30,1.88
2021-12-31,1.88
2022-01-01,1.88
2022-01-02,1.88
2022-01-03,1.88
2022-01-04,1.88
2022-01-05,1.88
2022-01-06,1.88
2022-01-07,1.88
2022-01-08,1.88
2022-01-09,1.88
2022-01-10,1.88
2022-01-11,1.88
2022-01-12,1.88
2022-01-13,1.88
2022-01-14,1.88
2022-01-15,1.88
2022-01-16,1.88
2022-01-17,1.88
2022-01-18,1.89
2022-01-19,1.89
2022-01-20,1.89
2022-01-21,1.89
2022-01-22,1.89
2022-01-23,1.89
2022-01-24,1.97
2022-01-25,1.97
2022-01-26,1.97
2022-01-27,1.97
2022-01-28,1.97
2022-01-29,1.97
2022-01-30,1.97
2022-01-31,1.97
2022-02-01,1.97
2022-02-02,1.97
2022-02-03,1.97
2022-02-04,1.97
2022-02-05,1.97
2022-02-06,1.97
2022-02-07,1.97
2022-02-08,1.97
2022-02-09,1.97
2022-02-10,1.97
2022-02-11,1.97
2022-02-12,1.97
2022-02-13,1.97
2022-02-14,1.97
2022-02-15,1.97
2022-02-16,1.97
2022-02-17,1.917
2022-02-18,1.877
2022-02-19,1.877
2022-02-20,1.877
2022-02-21,1.877
2022-02-22,1.877
2022-02-23,1.877
2022-02-24,1.877
2022-02-25,1.877
2022-02-26,1.877
2022-02-27,1.877
2022-02-28,1.877
2022-03-01,1.877
2022-03-02,1.877
2022-03-03,1.877
2022-03-04,1.877
2022-03-05,1.877
2022-03-06,1.877
2022-03-07,1.877
2022-03-08,1.877
2022-03-09,1.877
2022-03-10,2.31
2022-03-11,2.31
2022-03-12,2.31
2022-03-13,2.518
2022-03-14,2.67
2022-03-15,2.67
2022-03-16,2.67
2022-03-17,2.67
2022-03-18,2.67
2022-03-19,2.67
2022-03-20,2.67
2022-03-21,2.67
2022-03-22,2.945
2022-03-23,2.945
2022-03-24,2.945
2022-03-25,2.945
2022-03-26,2.945
2022-03-27,2.945
2022-03-28,2.945
2022-03-29,2.945
2022-03-30,2.945
2022-03-31,2.945
2022-04-01,2.945
2022-04-02,2.945
2022-04-03,2.945
2022-04-04,2.953
2022-04-05,3.13
2022-04-06,3.13
2022-04-07,3.575
2022-04-08,3.575
2022-04-09,3.575
2022-04-10,3.575
2022-04-11,3.625
2022-04-12,3.638
2022-04-13,3.638
2022-04-14,3.677
2022-04-15,3.677
2022-04-16,3.677
2022-04-17,3.677
2022-04-18,3.802
2022-04-19,3.802
2022-04-20,3.808
2022-04-21,3.808
2022-04-22,3.857
2022-04-23,3.857
2022-04-24,3.857
2022-04-25,3.857
2022-04-26,3.857
2022-04-27,3.857
2022-04-28,3.857
2022-04-29,3.857
2022-04-30,3.857
2022-05-01,3.857
2022-05-02,3.857
2022-05-03,3.857
2022-05-04,3.857
2022-05-05,3.857
2022-05-06,3.857
2022-05-07,3.857
2022-05-08,3.857
2022-05-09,3.857
2022-05-10,3.686
2022-05-11,3.699
2022-05-12,3.689
2022-05-13,3.689
2022-05-14,3.689
2022-05-15,3.689
2022-05-16,3.689
2022-05-17,3.713
2022-05-18,3.567
2022-05-19,3.567
2022-05-20,3.567
2022-05-21,3.567
2022-05-22,3.567
2022-05-23,3.567
2022-05-24,3.567
2022-05-25,3.567
2022-05-26,3.567
2022-05-27,3.567
2022-05-28,3.567
2022-05-29,3.567
2022-05-30,3.567
2022-05-31,3.567
2022-06-01,3.567
2022-06-02,3.567
2022-06-03,3.567
2022-06-04,3.567
2022-06-05,3.567
2022-06-06,3.567
2022-06-07,3.567
2022-06-08,3.567
2022-06-09,3.567
2022-06-10,3.567
2022-06-11,3.567
2022-06-12,3.567
2022-06-13,3.567
2022-06-14,3.567
2022-06-15,3.567
2022-06-16,3.567
2022-06-17,3.567
2022-06-18,3.567
2022-06-19,3.567
2022-06-20,3.567
2022-06-21,3.567
2022-06-22,3.567
2022-06-23,3.567
2022-06-24,3.567
2022-06-25,3.567
2022-06-26,3.567
2022-06-27,3.567
2022-06-28,3.567
2022-06-29,3.567
2022-06-30,3.567
2022-07-01,3.567
2022-07-02,3.567
2022-07-03,3.567
2022-07-04,3.541
2022-07-05,3.541
2022-07-06,3.549
2022-07-07,3.549
2022-07-08,3.549
2022-07-09,3.549
2022-07-10,3.549
2022-07-11,3.6
2022-07-12,3.6
2022-07-13,3.536
2022-07-14,3.577
2022-07-15,3.577
2022-07-16,3.577
2022-07-17,3.577
2022-07-18,3.569
2022-07-19,3.569
2022-07-20,3.569
2022-07-21,3.569
2022-07-22,3.57
2022-07-23,3.57
2022-07-24,3.57
2022-07-25,3.569
2022-07-26,3.569
2022-07-27,3.569
2022-07-28,3.569
2022-07-29,3.73
2022-07-30,3.73
2022-07-31,3.73
2022-08-01,3.73
2022-08-02,3.73
2022-08-03,3.748
2022-08-04,3.748
2022-08-05,3.748
2022-08-06,3.748
2022-08-07,3.748
2022-08-08,3.748
2022-08-09,3.758
2022-08-10,3.785
2022-08-11,3.785
2022-08-12,3.785
2022-08-13,3.785
2022-08-14,3.785
2022-08-15,3.785
2022-08-16,3.785
2022-08-17,3.785
2022-08-18,3.785
2022-08-19,3.785
2022-08-20,3.785
2022-08-21,3.785
2022-08-22,3.797
2022-08-23,3.797
2022-08-24,3.797
2022-08-25,3.797
2022-08-26,3.797
2022-08-27,3.797
2022-08-28,3.797
2022-08-29,3.669
2022-08-30,3.669
2022-08-31,3.669
2022-09-01,3.669
2022-09-02,3.684
2022-09-03,3.684
2022-09-04,3.684
2022-09-05,3.684
2022-09-06,3.684
2022-09-07,3.684
2022-09-08,3.684
2022-09-09,3.684
2022-09-10,3.684
2022-09-11,3.684
2022-09-12,3.684
2022-09-13,3.684
2022-09-14,3.684
2022-09-15,3.634
2022-09-16,3.634
2022-09-17,3.634
2022-09-18,3.634
2022-09-19,3.634
2022-09-20,3.634
2022-09-21,3.634
2022-09-22,3.634
2022-09-23,3.634
2022-09-24,3.634
2022-09-25,3.634
2022-09-26,3.634
2022-09-27,3.634
2022-09-28,3.634
2022-09-29,3.634
2022-09-30,3.726
2022-10-01,3.726
2022-10-02,3.726
2022-10-03,3.611
2022-10-04,3.611
2022-10-05,3.611
2022-10-06,3.611
2022-10-07,3.611
2022-10-08,3.611
2022-10-09,3.611
2022-10-10,3.604
2022-10-11,3.604
2022-10-12,3.529
2022-10-13,3.529
2022-10-14,3.529
2022-10-15,3.529
2022-10-16,3.529
2022-10-17,3.495
2022-10-18,3.509
2022-10-19,3.465
2022-10-20,3.478
2022-10-21,3.478
2022-10-22,3.478
2022-10-23,3.478
2022-10-24,3.47
2022-10-25,3.47
2022-10-26,3.47
2022-10-27,3.47
2022-10-28,3.47
2022-10-29,3.47
2022-10-30,3.47
2022-10-31,3.47
2022-11-01,3.47
2022-11-02,3.498
2022-11-03,3.523
2022-11-04,3.523
2022-11-05,3.523
2022-11-06,3.523
2022-11-07,3.523
2022-11-08,3.523
2022-11-09,3.523
2022-11-10,3.523
2022-11-11,3.548
2022-11-12,3.548
2022-11-13,3.548
2022-11-14,3.59
2022-11-15,3.59
2022-11-16,3.53
2022-11-17,3.53
2022-11-18,3.531
2022-11-19,3.531
2022-11-20,3.531
2022-11-21,3.531
2022-11-22,3.531
2022-11-23,3.54
2022-11-24,3.54
2022-11-25,3.54
2022-11-26,3.54
2022-11-27,3.54
2022-11-28,3.54
2022-11-29,3.54
2022-11-30,3.54
2022-12-01,3.451
2022-12-02,3.451
2022-12-03,3.451
2022-12-04,3.451
2022-12-05,3.461
2022-12-06,3.461
2022-12-07,3.461
2022-12-08,3.461
2022-12-09,3.461
2022-12-10,3.461
2022-12-11,3.461
2022-12-12,3.461
2022-12-13,3.461
2022-12-14,3.461
2022-12-15,3.461
2022-12-16,3.461
2022-12-17,3.461
2022-12-18,3.461
2022-12-19,3.461
2022-12-20,3.461
2022-12-21,3.461
2022-12-22,3.461
2022-12-23,3.461
2022-12-24,3.461
2022-12-25,3.461
2022-12-26,3.461
2022-12-27,3.461
2022-12-28,3.486
2022-12-29,3.486
2022-12-30,3.486
2022-12-31,3.486
2023-01-01,3.486
2023-01-02,3.486
2023-01-03,3.515
2023-01-04,3.515
2023-01-05,3.515
2023-01-06,3.424
2023-01-07,3.424
2023-01-08,3.492
2023-01-09,3.317
2023-01-10,3.215
2023-01-11,3.216
2023-01-12,3.216
2023-01-13,3.216
2023-01-14,3.216
2023-01-15,3.216
2023-01-16,3.2
2023-01-17,3.2
2023-01-18,3.2
2023-01-19,3.2
2023-01-20,3.221
2023-01-21,3.221
2023-01-22,3.221
2023-01-23,3.089
2023-01-24,3.096
2023-01-25,3.096
2023-01-26,3.079
2023-01-27,3.079
2023-01-28,3.079
2023-01-29,3.079
2023-01-30,3.074
2023-01-31,3.064
2023-02-01,3.064
2023-02-02,3.063
2023-02-03,3.063
2023-02-04,3.063
2023-02-05,3.063
2023-02-06,3.063
2023-02-07,3.063
2023-02-08,3.063
2023-02-09,3.042
2023-02-10,3.042
2023-02-11,3.042
2023-02-12,3.042
2023-02-13,3.042
2023-02-14,3.028
2023-02-15,3.091
2023-02-16,3.085
2023-02-17,3.08
2023-02-18,3.08
2023-02-19,3.08
2023-02-20,3.08
2023-02-21,3.08
2023-02-22,3.074
2023-02-23,3.074
2023-02-24,3.074
2023-02-25,3.074
2023-02-26,3.074
2023-02-27,3.074
2023-02-28,3.074
2023-03-01,3.074
2023-03-02,3.067
2023-03-03,3.069
2023-03-04,3.069
2023-03-05,3.069
2023-03-06,3.033
2023-03-07,2.972
2023-03-08,2.972
2023-03-09,2.955
2023-03-10,2.955
2023-03-11,2.955
2023-03-12,2.955
2023-03-13,2.955
2023-03-14,2.955
2023-03-15,2.964
2023-03-16,2.964
2023-03-17,2.964
2023-03-18,2.983
2023-03-19,2.983
2023-03-20,2.983
2023-03-21,2.983
2023-03-22,2.983
2023-03-23,3.015
2023-03-24,3.015
2023-03-25,3.015
2023-03-26,3.015
2023-03-27,3.015
2023-03-28,3.015
2023-03-29,3.015
2023-03-30,2.999
2023-03-31,2.999
2023-04-01,2.999
2023-04-02,2.999
2023-04-03,2.941
2023-04-04,2.938
2023-04-05,2.931
2023-04-06,2.921
2023-04-07,2.921
2023-04-08,2.914
2023-04-09,2.914
2023-04-10,2.949
2023-04-11,2.978
2023-04-12,2.955
2023-04-13,2.951
2023-04-14,2.951
2023-04-15,2.951
2023-04-16,2.951
2023-04-17,2.914
2023-04-18,2.896
2023-04-19,2.862
2023-04-20,2.871
2023-04-21,2.87
2023-04-22,2.87
2023-04-23,2.87
2023-04-24,2.87
2023-04-25,2.87
2023-04-26,2.87
2023-04-27,2.87
2023-04-28,2.87
2023-04-29,2.87
2023-04-30,2.87
2023-05-01,2.87
2023-05-02,2.87
2023-05-03,2.882
2023-05-04,2.862
2023-05-05,2.818
2023-05-06,2.818
2023-05-07,2.782
2023-05-08,2.738
2023-05-09,2.738
2023-05-10,2.74
2023-05-11,2.785
2023-05-12,2.781
2023-05-13,2.781
2023-05-14,2.781
2023-05-15,2.769
2023-05-16,2.802
2023-05-17,2.775
2023-05-18,2.765
2023-05-19,2.674
2023-05-20,2.674
2023-05-21,2.674
2023-05-22,2.627
2023-05-23,2.627
2023-05-24,2.627
2023-05-25,2.627
2023-05-26,2.627
2023-05-27,2.627
2023-05-28,2.627
2023-05-29,2.627
2023-05-30,2.627
2023-05-31,2.627
2023-06-01,2.627
2023-06-02,2.627
2023-06-03,2.627
2023-06-04,2.627
2023-06-05,2.613
2023-06-06,2.613
2023-06-07,2.613
2023-06-08,2.613
2023-06-09,2.613
2023-06-10,2.613
2023-06-11,2.613
2023-06-12,2.52
2023-06-13,2.539
2023-06-14,2.539
2023-06-15,2.539
2023-06-16,2.539
2023-06-17,2.539
2023-06-18,2.539
2023-06-19,2.539
2023-06-20,2.514
2023-06-21,2.514
2023-06-22,2.514
2023-06-23,2.503
2023-06-24,2.503
2023-06-25,2.503
2023-06-26,2.503
2023-06-27,2.503
2023-06-28,2.493
2023-06-29,2.493
2023-06-30,2.47
2023-07-01,2.47
2023-07-02,2.47
2023-07-03,2.47
2023-07-04,2.47
2023-07-05,2.466
2023-07-06,2.466
2023-07-07,2.466
2023-07-08,2.466
2023-07-09,2.466
2023-07-10,2.457
2023-07-11,2.456
2023-07-12,2.444
2023-07-13,2.398
2023-07-14,2.397
2023-07-15,2.397
2023-07-16,2.397
2023-07-17,2.411
2023-07-18,2.366
2023-07-19,2.303
2023-07-20,2.287
2023-07-21,2.285
2023-07-22,2.285
2023-07-23,2.254
2023-07-24,2.254
2023-07-25,2.254
2023-07-26,2.254
2023-07-27,2.254
2023-07-28,2.254
2023-07-29,2.254
2023-07-30,2.254
2023-07-31,2.236
2023-08-01,2.244
2023-08-02,2.241
2023-08-03,2.279
2023-08-04,2.277
