,INTU US Equity
2021-04-29,12.423
2021-04-30,12.423
2021-05-01,12.423
2021-05-02,12.423
2021-05-03,12.423
2021-05-04,12.423
2021-05-05,12.423
2021-05-06,12.423
2021-05-07,12.425
2021-05-08,12.425
2021-05-09,12.425
2021-05-10,12.425
2021-05-11,12.558
2021-05-12,12.475
2021-05-13,12.475
2021-05-14,12.475
2021-05-15,12.475
2021-05-16,12.475
2021-05-17,12.475
2021-05-18,12.475
2021-05-19,12.475
2021-05-20,12.475
2021-05-21,12.475
2021-05-22,12.475
2021-05-23,12.475
2021-05-24,12.475
2021-05-25,13.123
2021-05-26,14.105
2021-05-27,14.27
2021-05-28,14.27
2021-05-29,14.27
2021-05-30,14.27
2021-05-31,14.27
2021-06-01,14.27
2021-06-02,14.27
2021-06-03,14.27
2021-06-04,14.27
2021-06-05,14.27
2021-06-06,14.27
2021-06-07,14.27
2021-06-08,14.27
2021-06-09,14.27
2021-06-10,14.27
2021-06-11,14.27
2021-06-12,14.27
2021-06-13,14.27
2021-06-14,14.27
2021-06-15,14.27
2021-06-16,14.27
2021-06-17,14.27
2021-06-18,14.27
2021-06-19,14.27
2021-06-20,14.27
2021-06-21,14.27
2021-06-22,14.27
2021-06-23,14.27
2021-06-24,14.27
2021-06-25,14.27
2021-06-26,14.27
2021-06-27,14.27
2021-06-28,14.27
2021-06-29,14.27
2021-06-30,14.27
2021-07-01,14.27
2021-07-02,14.27
2021-07-03,14.27
2021-07-04,14.27
2021-07-05,14.27
2021-07-06,14.27
2021-07-07,14.27
2021-07-08,14.27
2021-07-09,14.27
2021-07-10,14.27
2021-07-11,14.27
2021-07-12,14.27
2021-07-13,14.27
2021-07-14,14.27
2021-07-15,14.27
2021-07-16,14.27
2021-07-17,14.27
2021-07-18,14.27
2021-07-19,14.27
2021-07-20,14.27
2021-07-21,14.27
2021-07-22,14.27
2021-07-23,14.27
2021-07-24,14.27
2021-07-25,14.27
2021-07-26,14.27
2021-07-27,14.27
2021-07-28,14.27
2021-07-29,14.27
2021-07-30,14.27
2021-07-31,14.27
2021-08-01,14.27
2021-08-02,14.27
2021-08-03,14.27
2021-08-04,14.27
2021-08-05,14.27
2021-08-06,14.27
2021-08-07,14.27
2021-08-08,14.27
2021-08-09,14.27
2021-08-10,14.27
2021-08-11,14.27
2021-08-12,14.27
2021-08-13,14.27
2021-08-14,14.27
2021-08-15,14.27
2021-08-16,14.27
2021-08-17,14.27
2021-08-18,14.27
2021-08-19,14.27
2021-08-20,14.27
2021-08-21,14.27
2021-08-22,14.27
2021-08-23,14.27
2021-08-24,14.413
2021-08-25,14.643
2021-08-26,14.643
2021-08-27,14.643
2021-08-28,14.643
2021-08-29,14.643
2021-08-30,14.643
2021-08-31,14.643
2021-09-01,14.643
2021-09-02,14.643
2021-09-03,14.643
2021-09-04,14.643
2021-09-05,14.643
2021-09-06,14.643
2021-09-07,14.643
2021-09-08,14.643
2021-09-09,14.643
2021-09-10,14.643
2021-09-11,14.643
2021-09-12,14.643
2021-09-13,14.643
2021-09-14,14.643
2021-09-15,14.69
2021-09-16,14.69
2021-09-17,14.725
2021-09-18,14.725
2021-09-19,14.725
2021-09-20,14.725
2021-09-21,14.725
2021-09-22,14.725
2021-09-23,14.725
2021-09-24,14.725
2021-09-25,14.725
2021-09-26,14.725
2021-09-27,14.725
2021-09-28,14.725
2021-09-29,14.725
2021-09-30,14.725
2021-10-01,14.725
2021-10-02,14.725
2021-10-03,14.725
2021-10-04,14.725
2021-10-05,14.725
2021-10-06,14.725
2021-10-07,14.725
2021-10-08,14.725
2021-10-09,14.725
2021-10-10,14.725
2021-10-11,14.725
2021-10-12,14.725
2021-10-13,14.725
2021-10-14,14.725
2021-10-15,14.725
2021-10-16,14.725
2021-10-17,14.725
2021-10-18,14.725
2021-10-19,14.725
2021-10-20,14.725
2021-10-21,14.725
2021-10-22,14.725
2021-10-23,14.725
2021-10-24,14.725
2021-10-25,14.725
2021-10-26,14.725
2021-10-27,14.725
2021-10-28,14.725
2021-10-29,14.725
2021-10-30,14.725
2021-10-31,14.725
2021-11-01,14.722
2021-11-02,14.722
2021-11-03,14.722
2021-11-04,14.722
2021-11-05,14.722
2021-11-06,14.722
2021-11-07,14.722
2021-11-08,14.722
2021-11-09,14.722
2021-11-10,14.722
2021-11-11,14.722
2021-11-12,14.722
2021-11-13,14.722
2021-11-14,14.722
2021-11-15,14.722
2021-11-16,14.722
2021-11-17,14.722
2021-11-18,15.143
2021-11-19,16.173
2021-11-20,16.173
2021-11-21,16.173
2021-11-22,16.173
2021-11-23,16.173
2021-11-24,16.173
2021-11-25,16.173
2021-11-26,16.173
2021-11-27,16.173
2021-11-28,16.173
2021-11-29,16.173
2021-11-30,16.173
2021-12-01,16.173
2021-12-02,16.173
2021-12-03,16.173
2021-12-04,16.173
2021-12-05,16.173
2021-12-06,16.173
2021-12-07,16.173
2021-12-08,16.173
2021-12-09,16.173
2021-12-10,16.165
2021-12-11,16.165
2021-12-12,16.165
2021-12-13,16.165
2021-12-14,16.165
2021-12-15,16.165
2021-12-16,16.165
2021-12-17,16.165
2021-12-18,16.165
2021-12-19,16.165
2021-12-20,16.165
2021-12-21,16.165
2021-12-22,16.165
2021-12-23,16.165
2021-12-24,16.165
2021-12-25,16.165
2021-12-26,16.165
2021-12-27,16.165
2021-12-28,16.165
2021-12-29,16.165
2021-12-30,16.165
2021-12-31,16.165
2022-01-01,16.165
2022-01-02,16.165
2022-01-03,16.165
2022-01-04,16.165
2022-01-05,16.165
2022-01-06,16.165
2022-01-07,16.165
2022-01-08,16.165
2022-01-09,16.165
2022-01-10,16.165
2022-01-11,16.165
2022-01-12,16.215
2022-01-13,16.215
2022-01-14,16.215
2022-01-15,16.215
2022-01-16,16.215
2022-01-17,16.215
2022-01-18,16.215
2022-01-19,16.215
2022-01-20,16.215
2022-01-21,16.215
2022-01-22,16.215
2022-01-23,16.215
2022-01-24,16.215
2022-01-25,16.215
2022-01-26,16.215
2022-01-27,16.215
2022-01-28,16.215
2022-01-29,16.215
2022-01-30,16.215
2022-01-31,16.181
2022-02-01,16.181
2022-02-02,16.181
2022-02-03,16.174
2022-02-04,16.174
2022-02-05,16.174
2022-02-06,16.174
2022-02-07,16.174
2022-02-08,16.174
2022-02-09,16.174
2022-02-10,16.174
2022-02-11,16.174
2022-02-12,16.174
2022-02-13,16.174
2022-02-14,16.132
2022-02-15,16.132
2022-02-16,16.133
2022-02-17,16.133
2022-02-18,16.133
2022-02-19,16.133
2022-02-20,16.133
2022-02-21,16.133
2022-02-22,16.133
2022-02-23,16.042
2022-02-24,16.311
2022-02-25,16.279
2022-02-26,16.279
2022-02-27,16.279
2022-02-28,16.279
2022-03-01,16.279
2022-03-02,16.279
2022-03-03,16.279
2022-03-04,16.279
2022-03-05,16.279
2022-03-06,16.279
2022-03-07,16.279
2022-03-08,16.279
2022-03-09,16.279
2022-03-10,16.279
2022-03-11,16.279
2022-03-12,16.279
2022-03-13,16.279
2022-03-14,16.279
2022-03-15,16.279
2022-03-16,16.279
2022-03-17,16.279
2022-03-18,16.279
2022-03-19,16.279
2022-03-20,16.279
2022-03-21,16.279
2022-03-22,16.279
2022-03-23,16.279
2022-03-24,16.279
2022-03-25,16.279
2022-03-26,16.279
2022-03-27,16.279
2022-03-28,16.279
2022-03-29,16.313
2022-03-30,16.313
2022-03-31,16.313
2022-04-01,16.313
2022-04-02,16.313
2022-04-03,16.313
2022-04-04,16.313
2022-04-05,16.313
2022-04-06,16.313
2022-04-07,16.313
2022-04-08,16.313
2022-04-09,16.313
2022-04-10,16.313
2022-04-11,16.313
2022-04-12,16.313
2022-04-13,16.313
2022-04-14,16.305
2022-04-15,16.305
2022-04-16,16.305
2022-04-17,16.305
2022-04-18,16.305
2022-04-19,16.305
2022-04-20,16.305
2022-04-21,16.305
2022-04-22,16.305
2022-04-23,16.305
2022-04-24,16.305
2022-04-25,16.305
2022-04-26,16.305
2022-04-27,16.305
2022-04-28,16.305
2022-04-29,16.305
2022-04-30,16.305
2022-05-01,16.305
2022-05-02,16.305
2022-05-03,16.305
2022-05-04,16.305
2022-05-05,16.305
2022-05-06,16.31
2022-05-07,16.31
2022-05-08,16.31
2022-05-09,16.31
2022-05-10,16.31
2022-05-11,16.308
2022-05-12,16.308
2022-05-13,16.308
2022-05-14,16.308
2022-05-15,16.308
2022-05-16,16.308
2022-05-17,16.308
2022-05-18,16.308
2022-05-19,16.308
2022-05-20,16.308
2022-05-21,16.308
2022-05-22,16.308
2022-05-23,16.308
2022-05-24,16.298
2022-05-25,16.378
2022-05-26,16.378
2022-05-27,16.379
2022-05-28,16.379
2022-05-29,16.379
2022-05-30,16.379
2022-05-31,16.379
2022-06-01,16.379
2022-06-02,16.379
2022-06-03,16.379
2022-06-04,16.379
2022-06-05,16.379
2022-06-06,16.379
2022-06-07,16.391
2022-06-08,16.391
2022-06-09,16.391
2022-06-10,16.391
2022-06-11,16.391
2022-06-12,16.391
2022-06-13,16.391
2022-06-14,16.391
2022-06-15,16.391
2022-06-16,16.391
2022-06-17,16.391
2022-06-18,16.391
2022-06-19,16.391
2022-06-20,16.391
2022-06-21,16.391
2022-06-22,16.391
2022-06-23,16.391
2022-06-24,16.391
2022-06-25,16.391
2022-06-26,16.391
2022-06-27,16.391
2022-06-28,16.391
2022-06-29,16.391
2022-06-30,16.391
2022-07-01,16.391
2022-07-02,16.391
2022-07-03,16.391
2022-07-04,16.391
2022-07-05,16.391
2022-07-06,16.391
2022-07-07,16.391
2022-07-08,16.391
2022-07-09,16.391
2022-07-10,16.391
2022-07-11,16.391
2022-07-12,16.391
2022-07-13,16.391
2022-07-14,16.391
2022-07-15,16.391
2022-07-16,16.391
2022-07-17,16.391
2022-07-18,16.396
2022-07-19,16.382
2022-07-20,16.382
2022-07-21,16.382
2022-07-22,16.382
2022-07-23,16.382
2022-07-24,16.382
2022-07-25,16.382
2022-07-26,16.382
2022-07-27,16.382
2022-07-28,16.382
2022-07-29,16.382
2022-07-30,16.382
2022-07-31,16.382
2022-08-01,16.382
2022-08-02,16.382
2022-08-03,16.382
2022-08-04,16.382
2022-08-05,16.382
2022-08-06,16.382
2022-08-07,16.382
2022-08-08,16.382
2022-08-09,16.382
2022-08-10,16.382
2022-08-11,16.382
2022-08-12,16.382
2022-08-13,16.382
2022-08-14,16.382
2022-08-15,16.382
2022-08-16,16.351
2022-08-17,16.34
2022-08-18,16.253
2022-08-19,16.253
2022-08-20,16.253
2022-08-21,16.253
2022-08-22,16.253
2022-08-23,16.201
2022-08-24,15.987
2022-08-25,15.999
2022-08-26,15.999
2022-08-27,15.999
2022-08-28,15.999
2022-08-29,15.999
2022-08-30,15.999
2022-08-31,16.036
2022-09-01,16.027
2022-09-02,16.027
2022-09-03,16.027
2022-09-04,16.027
2022-09-05,15.986
2022-09-06,15.986
2022-09-07,15.986
2022-09-08,15.986
2022-09-09,15.986
2022-09-10,15.986
2022-09-11,15.986
2022-09-12,15.986
2022-09-13,15.986
2022-09-14,15.986
2022-09-15,15.986
2022-09-16,15.986
2022-09-17,15.943
2022-09-18,15.943
2022-09-19,15.943
2022-09-20,15.943
2022-09-21,15.943
2022-09-22,15.93
2022-09-23,15.93
2022-09-24,15.93
2022-09-25,15.93
2022-09-26,15.921
2022-09-27,15.921
2022-09-28,15.921
2022-09-29,15.933
2022-09-30,15.932
2022-10-01,15.94
2022-10-02,15.937
2022-10-03,15.937
2022-10-04,15.937
2022-10-05,15.937
2022-10-06,15.937
2022-10-07,15.937
2022-10-08,15.937
2022-10-09,15.937
2022-10-10,15.937
2022-10-11,15.907
2022-10-12,15.907
2022-10-13,15.919
2022-10-14,15.919
2022-10-15,15.919
2022-10-16,15.919
2022-10-17,15.919
2022-10-18,15.919
2022-10-19,15.919
2022-10-20,15.913
2022-10-21,15.913
2022-10-22,15.913
2022-10-23,15.913
2022-10-24,15.913
2022-10-25,15.913
2022-10-26,15.913
2022-10-27,15.913
2022-10-28,15.913
2022-10-29,15.913
2022-10-30,15.913
2022-10-31,15.913
2022-11-01,15.886
2022-11-02,15.891
2022-11-03,15.891
2022-11-04,15.891
2022-11-05,15.891
2022-11-06,15.891
2022-11-07,15.891
2022-11-08,15.891
2022-11-09,15.891
2022-11-10,15.878
2022-11-11,15.878
2022-11-12,15.878
2022-11-13,15.878
2022-11-14,15.878
2022-11-15,15.878
2022-11-16,15.878
2022-11-17,15.878
2022-11-18,15.857
2022-11-19,15.857
2022-11-20,15.857
2022-11-21,15.848
2022-11-22,15.84
2022-11-23,15.84
2022-11-24,15.84
2022-11-25,15.84
2022-11-26,15.84
2022-11-27,15.84
2022-11-28,15.84
2022-11-29,15.773
2022-11-30,15.608
2022-12-01,15.584
2022-12-02,15.575
2022-12-03,15.575
2022-12-04,15.575
2022-12-05,15.561
2022-12-06,15.561
2022-12-07,15.561
2022-12-08,15.561
2022-12-09,15.561
2022-12-10,15.561
2022-12-11,15.561
2022-12-12,15.57
2022-12-13,15.543
2022-12-14,15.543
2022-12-15,15.543
2022-12-16,15.543
2022-12-17,15.543
2022-12-18,15.543
2022-12-19,15.543
2022-12-20,15.543
2022-12-21,15.543
2022-12-22,15.543
2022-12-23,15.543
2022-12-24,15.543
2022-12-25,15.543
2022-12-26,15.543
2022-12-27,15.543
2022-12-28,15.543
2022-12-29,15.543
2022-12-30,15.543
2022-12-31,15.543
2023-01-01,15.543
2023-01-02,15.543
2023-01-03,15.543
2023-01-04,15.526
2023-01-05,15.526
2023-01-06,15.526
2023-01-07,15.526
2023-01-08,15.526
2023-01-09,15.526
2023-01-10,15.526
2023-01-11,15.549
2023-01-12,15.549
2023-01-13,15.549
2023-01-14,15.549
2023-01-15,15.549
2023-01-16,15.549
2023-01-17,15.553
2023-01-18,15.538
2023-01-19,15.538
2023-01-20,15.538
2023-01-21,15.538
2023-01-22,15.538
2023-01-23,15.538
2023-01-24,15.538
2023-01-25,15.538
2023-01-26,15.538
2023-01-27,15.538
2023-01-28,15.538
2023-01-29,15.538
2023-01-30,15.538
2023-01-31,15.538
2023-02-01,15.538
2023-02-02,15.533
2023-02-03,15.533
2023-02-04,15.533
2023-02-05,15.533
2023-02-06,15.533
2023-02-07,15.533
2023-02-08,15.533
2023-02-09,15.533
2023-02-10,15.533
2023-02-11,15.533
2023-02-12,15.533
2023-02-13,15.533
2023-02-14,15.533
2023-02-15,15.533
2023-02-16,15.533
2023-02-17,15.533
2023-02-18,15.533
2023-02-19,15.533
2023-02-20,15.533
2023-02-21,15.533
2023-02-22,15.533
2023-02-23,15.564
2023-02-24,15.546
2023-02-25,15.546
2023-02-26,15.546
2023-02-27,15.573
2023-02-28,15.573
2023-03-01,15.573
2023-03-02,15.573
2023-03-03,15.573
2023-03-04,15.573
2023-03-05,15.573
2023-03-06,15.573
2023-03-07,15.573
2023-03-08,15.573
2023-03-09,15.522
2023-03-10,15.52
2023-03-11,15.52
2023-03-12,15.52
2023-03-13,15.52
2023-03-14,15.518
2023-03-15,15.518
2023-03-16,15.489
2023-03-17,15.489
2023-03-18,15.489
2023-03-19,15.489
2023-03-20,15.489
2023-03-21,15.489
2023-03-22,15.489
2023-03-23,15.489
2023-03-24,15.489
2023-03-25,15.489
2023-03-26,15.489
2023-03-27,15.489
2023-03-28,15.489
2023-03-29,15.489
2023-03-30,15.489
2023-03-31,15.489
2023-04-01,15.489
2023-04-02,15.489
2023-04-03,15.489
2023-04-04,15.489
2023-04-05,15.489
2023-04-06,15.489
2023-04-07,15.489
2023-04-08,15.489
2023-04-09,15.489
2023-04-10,15.489
2023-04-11,15.489
2023-04-12,15.489
2023-04-13,15.489
2023-04-14,15.489
2023-04-15,15.489
2023-04-16,15.489
2023-04-17,15.489
2023-04-18,15.489
2023-04-19,15.489
2023-04-20,15.489
2023-04-21,15.489
2023-04-22,15.489
2023-04-23,15.489
2023-04-24,15.541
2023-04-25,15.541
2023-04-26,15.541
2023-04-27,15.541
2023-04-28,15.541
2023-04-29,15.541
2023-04-30,15.541
2023-05-01,15.541
2023-05-02,15.541
2023-05-03,15.541
2023-05-04,15.541
2023-05-05,15.541
2023-05-06,15.541
2023-05-07,15.541
2023-05-08,15.541
2023-05-09,15.53
2023-05-10,15.53
2023-05-11,15.53
2023-05-12,15.53
2023-05-13,15.53
2023-05-14,15.53
2023-05-15,15.522
2023-05-16,15.522
2023-05-17,15.522
2023-05-18,15.522
2023-05-19,15.522
2023-05-20,15.522
2023-05-21,15.522
2023-05-22,15.522
2023-05-23,15.679
2023-05-24,15.991
2023-05-25,16.0
2023-05-26,16.113
2023-05-27,16.113
2023-05-28,16.113
2023-05-29,16.113
2023-05-30,16.104
2023-05-31,16.104
2023-06-01,16.104
2023-06-02,16.104
2023-06-03,16.104
2023-06-04,16.104
2023-06-05,16.104
2023-06-06,16.054
2023-06-07,16.054
2023-06-08,16.054
2023-06-09,16.037
2023-06-10,16.037
2023-06-11,16.037
2023-06-12,16.037
2023-06-13,16.037
2023-06-14,16.037
2023-06-15,16.037
2023-06-16,16.037
2023-06-17,16.037
2023-06-18,16.037
2023-06-19,16.037
2023-06-20,16.037
2023-06-21,16.037
2023-06-22,16.037
2023-06-23,16.037
2023-06-24,16.037
2023-06-25,16.037
2023-06-26,16.037
2023-06-27,16.037
2023-06-28,16.037
2023-06-29,16.037
2023-06-30,16.037
2023-07-01,16.037
2023-07-02,16.037
2023-07-03,16.037
2023-07-04,16.037
2023-07-05,16.037
2023-07-06,16.037
2023-07-07,16.037
2023-07-08,16.037
2023-07-09,16.037
2023-07-10,16.037
2023-07-11,16.037
2023-07-12,16.037
2023-07-13,16.014
2023-07-14,16.014
2023-07-15,16.014
2023-07-16,16.014
2023-07-17,16.014
2023-07-18,15.986
2023-07-19,16.024
2023-07-20,16.024
2023-07-21,16.024
2023-07-22,16.024
2023-07-23,16.024
2023-07-24,16.024
2023-07-25,16.024
2023-07-26,16.024
2023-07-27,16.024
2023-07-28,16.024
2023-07-29,16.024
2023-07-30,16.024
2023-07-31,16.072
2023-08-01,16.072
