,AEE US Equity
2021-04-12,4.588
2021-04-13,4.588
2021-04-14,4.588
2021-04-15,4.588
2021-04-16,4.588
2021-04-17,4.588
2021-04-18,4.588
2021-04-19,4.588
2021-04-20,4.588
2021-04-21,4.588
2021-04-22,4.588
2021-04-23,4.588
2021-04-24,4.588
2021-04-25,4.588
2021-04-26,4.588
2021-04-27,4.588
2021-04-28,4.588
2021-04-29,4.588
2021-04-30,4.588
2021-05-01,4.588
2021-05-02,4.588
2021-05-03,4.588
2021-05-04,4.588
2021-05-05,4.588
2021-05-06,4.588
2021-05-07,4.588
2021-05-08,4.588
2021-05-09,4.588
2021-05-10,4.588
2021-05-11,4.592
2021-05-12,4.592
2021-05-13,4.592
2021-05-14,4.592
2021-05-15,4.592
2021-05-16,4.592
2021-05-17,4.602
2021-05-18,4.602
2021-05-19,4.602
2021-05-20,4.602
2021-05-21,4.602
2021-05-22,4.602
2021-05-23,4.602
2021-05-24,4.602
2021-05-25,4.598
2021-05-26,4.598
2021-05-27,4.598
2021-05-28,4.596
2021-05-29,4.596
2021-05-30,4.596
2021-05-31,4.596
2021-06-01,4.596
2021-06-02,4.596
2021-06-03,4.596
2021-06-04,4.596
2021-06-05,4.596
2021-06-06,4.596
2021-06-07,4.596
2021-06-08,4.596
2021-06-09,4.596
2021-06-10,4.596
2021-06-11,4.596
2021-06-12,4.596
2021-06-13,4.596
2021-06-14,4.596
2021-06-15,4.607
2021-06-16,4.607
2021-06-17,4.607
2021-06-18,4.607
2021-06-19,4.607
2021-06-20,4.607
2021-06-21,4.607
2021-06-22,4.607
2021-06-23,4.607
2021-06-24,4.607
2021-06-25,4.607
2021-06-26,4.607
2021-06-27,4.607
2021-06-28,4.607
2021-06-29,4.607
2021-06-30,4.607
2021-07-01,4.607
2021-07-02,4.607
2021-07-03,4.607
2021-07-04,4.607
2021-07-05,4.607
2021-07-06,4.607
2021-07-07,4.607
2021-07-08,4.607
2021-07-09,4.607
2021-07-10,4.607
2021-07-11,4.607
2021-07-12,4.607
2021-07-13,4.607
2021-07-14,4.607
2021-07-15,4.607
2021-07-16,4.607
2021-07-17,4.607
2021-07-18,4.607
2021-07-19,4.607
2021-07-20,4.59
2021-07-21,4.59
2021-07-22,4.59
2021-07-23,4.591
2021-07-24,4.591
2021-07-25,4.591
2021-07-26,4.591
2021-07-27,4.591
2021-07-28,4.591
2021-07-29,4.591
2021-07-30,4.591
2021-07-31,4.591
2021-08-01,4.591
2021-08-02,4.591
2021-08-03,4.591
2021-08-04,4.591
2021-08-05,4.591
2021-08-06,4.591
2021-08-07,4.591
2021-08-08,4.591
2021-08-09,4.591
2021-08-10,4.591
2021-08-11,4.591
2021-08-12,4.591
2021-08-13,4.593
2021-08-14,4.593
2021-08-15,4.593
2021-08-16,4.593
2021-08-17,4.593
2021-08-18,4.593
2021-08-19,4.593
2021-08-20,4.593
2021-08-21,4.593
2021-08-22,4.593
2021-08-23,4.593
2021-08-24,4.599
2021-08-25,4.599
2021-08-26,4.599
2021-08-27,4.599
2021-08-28,4.599
2021-08-29,4.599
2021-08-30,4.595
2021-08-31,4.595
2021-09-01,4.595
2021-09-02,4.595
2021-09-03,4.595
2021-09-04,4.595
2021-09-05,4.595
2021-09-06,4.595
2021-09-07,4.595
2021-09-08,4.595
2021-09-09,4.595
2021-09-10,4.595
2021-09-11,4.595
2021-09-12,4.595
2021-09-13,4.595
2021-09-14,4.595
2021-09-15,4.595
2021-09-16,4.613
2021-09-17,4.613
2021-09-18,4.613
2021-09-19,4.613
2021-09-20,4.613
2021-09-21,4.613
2021-09-22,4.613
2021-09-23,4.613
2021-09-24,4.613
2021-09-25,4.613
2021-09-26,4.613
2021-09-27,4.623
2021-09-28,4.623
2021-09-29,4.623
2021-09-30,4.613
2021-10-01,4.613
2021-10-02,4.613
2021-10-03,4.613
2021-10-04,4.613
2021-10-05,4.613
2021-10-06,4.613
2021-10-07,4.613
2021-10-08,4.613
2021-10-09,4.613
2021-10-10,4.613
2021-10-11,4.619
2021-10-12,4.619
2021-10-13,4.619
2021-10-14,4.619
2021-10-15,4.619
2021-10-16,4.619
2021-10-17,4.619
2021-10-18,4.619
2021-10-19,4.62
2021-10-20,4.62
2021-10-21,4.62
2021-10-22,4.62
2021-10-23,4.62
2021-10-24,4.62
2021-10-25,4.62
2021-10-26,4.62
2021-10-27,4.62
2021-10-28,4.62
2021-10-29,4.62
2021-10-30,4.62
2021-10-31,4.62
2021-11-01,4.62
2021-11-02,4.62
2021-11-03,4.62
2021-11-04,4.62
2021-11-05,4.62
2021-11-06,4.62
2021-11-07,4.62
2021-11-08,4.62
2021-11-09,4.62
2021-11-10,4.61
2021-11-11,4.61
2021-11-12,4.61
2021-11-13,4.61
2021-11-14,4.61
2021-11-15,4.61
2021-11-16,4.61
2021-11-17,4.61
2021-11-18,4.61
2021-11-19,4.61
2021-11-20,4.61
2021-11-21,4.61
2021-11-22,4.61
2021-11-23,4.61
2021-11-24,4.601
2021-11-25,4.601
2021-11-26,4.601
2021-11-27,4.601
2021-11-28,4.601
2021-11-29,4.601
2021-11-30,4.606
2021-12-01,4.606
2021-12-02,4.606
2021-12-03,4.606
2021-12-04,4.606
2021-12-05,4.606
2021-12-06,4.606
2021-12-07,4.606
2021-12-08,4.598
2021-12-09,4.598
2021-12-10,4.598
2021-12-11,4.598
2021-12-12,4.598
2021-12-13,4.598
2021-12-14,4.598
2021-12-15,4.598
2021-12-16,4.598
2021-12-17,4.598
2021-12-18,4.598
2021-12-19,4.598
2021-12-20,4.598
2021-12-21,4.598
2021-12-22,4.598
2021-12-23,4.598
2021-12-24,4.598
2021-12-25,4.598
2021-12-26,4.598
2021-12-27,4.598
2021-12-28,4.598
2021-12-29,4.598
2021-12-30,4.598
2021-12-31,4.598
2022-01-01,4.598
2022-01-02,4.598
2022-01-03,4.598
2022-01-04,4.598
2022-01-05,4.608
2022-01-06,4.608
2022-01-07,4.608
2022-01-08,4.608
2022-01-09,4.608
2022-01-10,4.608
2022-01-11,4.608
2022-01-12,4.608
2022-01-13,4.608
2022-01-14,4.608
2022-01-15,4.608
2022-01-16,4.608
2022-01-17,4.608
2022-01-18,4.608
2022-01-19,4.61
2022-01-20,4.61
2022-01-21,4.61
2022-01-22,4.61
2022-01-23,4.62
2022-01-24,4.623
2022-01-25,4.618
2022-01-26,4.618
2022-01-27,4.618
2022-01-28,4.618
2022-01-29,4.618
2022-01-30,4.62
2022-01-31,4.62
2022-02-01,4.62
2022-02-02,4.62
2022-02-03,4.62
2022-02-04,4.62
2022-02-05,4.62
2022-02-06,4.62
2022-02-07,4.62
2022-02-08,4.62
2022-02-09,4.62
2022-02-10,4.62
2022-02-11,4.62
2022-02-12,4.62
2022-02-13,4.62
2022-02-14,4.62
2022-02-15,4.62
2022-02-16,4.62
2022-02-17,4.62
2022-02-18,4.625
2022-02-19,4.631
2022-02-20,4.631
2022-02-21,4.629
2022-02-22,4.629
2022-02-23,4.626
2022-02-24,4.626
2022-02-25,4.626
2022-02-26,4.626
2022-02-27,4.626
2022-02-28,4.626
2022-03-01,4.626
2022-03-02,4.626
2022-03-03,4.637
2022-03-04,4.637
2022-03-05,4.637
2022-03-06,4.637
2022-03-07,4.633
2022-03-08,4.633
2022-03-09,4.633
2022-03-10,4.633
2022-03-11,4.633
2022-03-12,4.633
2022-03-13,4.633
2022-03-14,4.643
2022-03-15,4.643
2022-03-16,4.643
2022-03-17,4.643
2022-03-18,4.643
2022-03-19,4.643
2022-03-20,4.638
2022-03-21,4.638
2022-03-22,4.638
2022-03-23,4.638
2022-03-24,4.638
2022-03-25,4.638
2022-03-26,4.638
2022-03-27,4.638
2022-03-28,4.638
2022-03-29,4.638
2022-03-30,4.638
2022-03-31,4.638
2022-04-01,4.638
2022-04-02,4.638
2022-04-03,4.638
2022-04-04,4.638
2022-04-05,4.638
2022-04-06,4.638
2022-04-07,4.638
2022-04-08,4.638
2022-04-09,4.638
2022-04-10,4.638
2022-04-11,4.638
2022-04-12,4.638
2022-04-13,4.638
2022-04-14,4.644
2022-04-15,4.644
2022-04-16,4.644
2022-04-17,4.644
2022-04-18,4.644
2022-04-19,4.648
2022-04-20,4.649
2022-04-21,4.66
2022-04-22,4.66
2022-04-23,4.66
2022-04-24,4.66
2022-04-25,4.656
2022-04-26,4.656
2022-04-27,4.656
2022-04-28,4.656
2022-04-29,4.656
2022-04-30,4.656
2022-05-01,4.656
2022-05-02,4.658
2022-05-03,4.658
2022-05-04,4.658
2022-05-05,4.658
2022-05-06,4.658
2022-05-07,4.658
2022-05-08,4.659
2022-05-09,4.659
2022-05-10,4.659
2022-05-11,4.659
2022-05-12,4.659
2022-05-13,4.659
2022-05-14,4.659
2022-05-15,4.66
2022-05-16,4.66
2022-05-17,4.66
2022-05-18,4.66
2022-05-19,4.66
2022-05-20,4.66
2022-05-21,4.66
2022-05-22,4.66
2022-05-23,4.66
2022-05-24,4.66
2022-05-25,4.666
2022-05-26,4.666
2022-05-27,4.666
2022-05-28,4.666
2022-05-29,4.666
2022-05-30,4.666
2022-05-31,4.666
2022-06-01,4.666
2022-06-02,4.666
2022-06-03,4.666
2022-06-04,4.666
2022-06-05,4.669
2022-06-06,4.669
2022-06-07,4.669
2022-06-08,4.669
2022-06-09,4.669
2022-06-10,4.669
2022-06-11,4.669
2022-06-12,4.669
2022-06-13,4.669
2022-06-14,4.669
2022-06-15,4.669
2022-06-16,4.669
2022-06-17,4.669
2022-06-18,4.669
2022-06-19,4.669
2022-06-20,4.669
2022-06-21,4.669
2022-06-22,4.669
2022-06-23,4.669
2022-06-24,4.675
2022-06-25,4.675
2022-06-26,4.675
2022-06-27,4.675
2022-06-28,4.675
2022-06-29,4.675
2022-06-30,4.675
2022-07-01,4.675
2022-07-02,4.675
2022-07-03,4.675
2022-07-04,4.675
2022-07-05,4.675
2022-07-06,4.675
2022-07-07,4.675
2022-07-08,4.678
2022-07-09,4.678
2022-07-10,4.678
2022-07-11,4.678
2022-07-12,4.678
2022-07-13,4.678
2022-07-14,4.678
2022-07-15,4.678
2022-07-16,4.678
2022-07-17,4.678
2022-07-18,4.677
2022-07-19,4.671
2022-07-20,4.669
2022-07-21,4.672
2022-07-22,4.672
2022-07-23,4.672
2022-07-24,4.672
2022-07-25,4.672
2022-07-26,4.672
2022-07-27,4.672
2022-07-28,4.672
2022-07-29,4.672
2022-07-30,4.672
2022-07-31,4.672
2022-08-01,4.672
2022-08-02,4.672
2022-08-03,4.672
2022-08-04,4.672
2022-08-05,4.676
2022-08-06,4.676
2022-08-07,4.676
2022-08-08,4.676
2022-08-09,4.676
2022-08-10,4.676
2022-08-11,4.678
2022-08-12,4.678
2022-08-13,4.678
2022-08-14,4.678
2022-08-15,4.674
2022-08-16,4.674
2022-08-17,4.674
2022-08-18,4.674
2022-08-19,4.674
2022-08-20,4.674
2022-08-21,4.674
2022-08-22,4.674
2022-08-23,4.676
2022-08-24,4.676
2022-08-25,4.676
2022-08-26,4.676
2022-08-27,4.676
2022-08-28,4.679
2022-08-29,4.679
2022-08-30,4.679
2022-08-31,4.678
2022-09-01,4.678
2022-09-02,4.678
2022-09-03,4.678
2022-09-04,4.678
2022-09-05,4.67
2022-09-06,4.67
2022-09-07,4.67
2022-09-08,4.67
2022-09-09,4.648
2022-09-10,4.648
2022-09-11,4.648
2022-09-12,4.648
2022-09-13,4.648
2022-09-14,4.648
2022-09-15,4.648
2022-09-16,4.648
2022-09-17,4.648
2022-09-18,4.648
2022-09-19,4.648
2022-09-20,4.648
2022-09-21,4.648
2022-09-22,4.648
2022-09-23,4.648
2022-09-24,4.648
2022-09-25,4.648
2022-09-26,4.648
2022-09-27,4.648
2022-09-28,4.648
2022-09-29,4.648
2022-09-30,4.648
2022-10-01,4.648
2022-10-02,4.648
2022-10-03,4.648
2022-10-04,4.648
2022-10-05,4.648
2022-10-06,4.648
2022-10-07,4.648
2022-10-08,4.648
2022-10-09,4.648
2022-10-10,4.648
2022-10-11,4.648
2022-10-12,4.648
2022-10-13,4.648
2022-10-14,4.648
2022-10-15,4.648
2022-10-16,4.648
2022-10-17,4.646
2022-10-18,4.646
2022-10-19,4.645
2022-10-20,4.65
2022-10-21,4.65
2022-10-22,4.65
2022-10-23,4.65
2022-10-24,4.65
2022-10-25,4.65
2022-10-26,4.65
2022-10-27,4.65
2022-10-28,4.65
2022-10-29,4.65
2022-10-30,4.65
2022-10-31,4.65
2022-11-01,4.65
2022-11-02,4.65
2022-11-03,4.65
2022-11-04,4.65
2022-11-05,4.65
2022-11-06,4.65
2022-11-07,4.65
2022-11-08,4.651
2022-11-09,4.651
2022-11-10,4.651
2022-11-11,4.647
2022-11-12,4.647
2022-11-13,4.647
2022-11-14,4.647
2022-11-15,4.647
2022-11-16,4.647
2022-11-17,4.647
2022-11-18,4.647
2022-11-19,4.647
2022-11-20,4.651
2022-11-21,4.651
2022-11-22,4.652
2022-11-23,4.652
2022-11-24,4.652
2022-11-25,4.652
2022-11-26,4.652
2022-11-27,4.652
2022-11-28,4.652
2022-11-29,4.652
2022-11-30,4.652
2022-12-01,4.652
2022-12-02,4.652
2022-12-03,4.652
2022-12-04,4.652
2022-12-05,4.652
2022-12-06,4.667
2022-12-07,4.667
2022-12-08,4.667
2022-12-09,4.667
2022-12-10,4.667
2022-12-11,4.667
2022-12-12,4.667
2022-12-13,4.67
2022-12-14,4.67
2022-12-15,4.672
2022-12-16,4.672
2022-12-17,4.672
2022-12-18,4.672
2022-12-19,4.672
2022-12-20,4.672
2022-12-21,4.672
2022-12-22,4.672
2022-12-23,4.672
2022-12-24,4.672
2022-12-25,4.672
2022-12-26,4.672
2022-12-27,4.672
2022-12-28,4.672
2022-12-29,4.672
2022-12-30,4.672
2022-12-31,4.672
2023-01-01,4.672
2023-01-02,4.672
2023-01-03,4.675
2023-01-04,4.675
2023-01-05,4.675
2023-01-06,4.675
2023-01-07,4.675
2023-01-08,4.675
2023-01-09,4.675
2023-01-10,4.675
2023-01-11,4.675
2023-01-12,4.674
2023-01-13,4.674
2023-01-14,4.674
2023-01-15,4.674
2023-01-16,4.674
2023-01-17,4.65
2023-01-18,4.65
2023-01-19,4.676
2023-01-20,4.676
2023-01-21,4.676
2023-01-22,4.678
2023-01-23,4.678
2023-01-24,4.683
2023-01-25,4.683
2023-01-26,4.683
2023-01-27,4.683
2023-01-28,4.683
2023-01-29,4.683
2023-01-30,4.683
2023-01-31,4.683
2023-02-01,4.683
2023-02-02,4.683
2023-02-03,4.683
2023-02-04,4.683
2023-02-05,4.683
2023-02-06,4.683
2023-02-07,4.683
2023-02-08,4.683
2023-02-09,4.683
2023-02-10,4.683
2023-02-11,4.683
2023-02-12,4.683
2023-02-13,4.683
2023-02-14,4.683
2023-02-15,4.683
2023-02-16,4.687
2023-02-17,4.687
2023-02-18,4.687
2023-02-19,4.687
2023-02-20,4.687
2023-02-21,4.687
2023-02-22,4.68
2023-02-23,4.68
2023-02-24,4.68
2023-02-25,4.68
2023-02-26,4.68
2023-02-27,4.68
2023-02-28,4.68
2023-03-01,4.678
2023-03-02,4.678
2023-03-03,4.678
2023-03-04,4.678
2023-03-05,4.678
2023-03-06,4.678
2023-03-07,4.679
2023-03-08,4.679
2023-03-09,4.679
2023-03-10,4.679
2023-03-11,4.679
2023-03-12,4.679
2023-03-13,4.679
2023-03-14,4.68
2023-03-15,4.68
2023-03-16,4.68
2023-03-17,4.672
2023-03-18,4.67
2023-03-19,4.67
2023-03-20,4.67
2023-03-21,4.67
2023-03-22,4.673
2023-03-23,4.673
2023-03-24,4.675
2023-03-25,4.675
2023-03-26,4.675
2023-03-27,4.675
2023-03-28,4.675
2023-03-29,4.675
2023-03-30,4.675
2023-03-31,4.675
2023-04-01,4.675
2023-04-02,4.675
2023-04-03,4.675
2023-04-04,4.675
2023-04-05,4.675
2023-04-06,4.675
2023-04-07,4.675
2023-04-08,4.675
2023-04-09,4.678
2023-04-10,4.678
2023-04-11,4.681
2023-04-12,4.681
2023-04-13,4.681
2023-04-14,4.681
2023-04-15,4.681
2023-04-16,4.681
2023-04-17,4.68
2023-04-18,4.681
2023-04-19,4.682
2023-04-20,4.682
2023-04-21,4.682
2023-04-22,4.682
2023-04-23,4.682
2023-04-24,4.682
2023-04-25,4.682
2023-04-26,4.682
2023-04-27,4.682
2023-04-28,4.682
2023-04-29,4.682
2023-04-30,4.682
2023-05-01,4.682
2023-05-02,4.682
2023-05-03,4.682
2023-05-04,4.682
2023-05-05,4.682
2023-05-06,4.682
2023-05-07,4.686
2023-05-08,4.686
2023-05-09,4.686
2023-05-10,4.686
2023-05-11,4.686
2023-05-12,4.686
2023-05-13,4.686
2023-05-14,4.686
2023-05-15,4.689
2023-05-16,4.689
2023-05-17,4.689
2023-05-18,4.691
2023-05-19,4.691
2023-05-20,4.691
2023-05-21,4.691
2023-05-22,4.69
2023-05-23,4.69
2023-05-24,4.69
2023-05-25,4.69
2023-05-26,4.69
2023-05-27,4.69
2023-05-28,4.69
2023-05-29,4.69
2023-05-30,4.69
2023-05-31,4.69
2023-06-01,4.69
2023-06-02,4.69
2023-06-03,4.69
2023-06-04,4.69
2023-06-05,4.686
2023-06-06,4.69
2023-06-07,4.69
2023-06-08,4.69
2023-06-09,4.69
2023-06-10,4.69
2023-06-11,4.69
2023-06-12,4.689
2023-06-13,4.678
2023-06-14,4.678
2023-06-15,4.678
2023-06-16,4.678
2023-06-17,4.678
2023-06-18,4.678
2023-06-19,4.678
2023-06-20,4.678
2023-06-21,4.678
2023-06-22,4.678
2023-06-23,4.678
2023-06-24,4.678
2023-06-25,4.678
2023-06-26,4.678
2023-06-27,4.678
2023-06-28,4.678
2023-06-29,4.678
2023-06-30,4.678
2023-07-01,4.678
2023-07-02,4.678
2023-07-03,4.678
2023-07-04,4.678
2023-07-05,4.678
2023-07-06,4.678
2023-07-07,4.678
2023-07-08,4.678
2023-07-09,4.678
2023-07-10,4.678
2023-07-11,4.678
2023-07-12,4.678
2023-07-13,4.678
2023-07-14,4.678
