,OSK US Equity
2021-04-20,7.84
2021-04-21,7.84
2021-04-22,7.84
2021-04-23,7.84
2021-04-24,7.84
2021-04-25,7.84
2021-04-26,7.84
2021-04-27,7.84
2021-04-28,7.84
2021-04-29,7.84
2021-04-30,7.84
2021-05-01,7.84
2021-05-02,7.84
2021-05-03,7.84
2021-05-04,7.84
2021-05-05,7.84
2021-05-06,7.84
2021-05-07,7.84
2021-05-08,7.84
2021-05-09,7.84
2021-05-10,7.84
2021-05-11,7.84
2021-05-12,7.84
2021-05-13,7.84
2021-05-14,7.84
2021-05-15,7.84
2021-05-16,7.84
2021-05-17,7.84
2021-05-18,7.84
2021-05-19,7.84
2021-05-20,7.84
2021-05-21,7.84
2021-05-22,7.84
2021-05-23,7.84
2021-05-24,7.84
2021-05-25,7.84
2021-05-26,7.84
2021-05-27,7.84
2021-05-28,7.84
2021-05-29,7.84
2021-05-30,7.84
2021-05-31,7.84
2021-06-01,7.84
2021-06-02,7.84
2021-06-03,7.84
2021-06-04,7.84
2021-06-05,7.84
2021-06-06,7.84
2021-06-07,7.84
2021-06-08,7.84
2021-06-09,7.84
2021-06-10,7.84
2021-06-11,7.84
2021-06-12,7.84
2021-06-13,7.84
2021-06-14,7.84
2021-06-15,7.84
2021-06-16,7.84
2021-06-17,7.84
2021-06-18,7.84
2021-06-19,7.84
2021-06-20,7.84
2021-06-21,7.84
2021-06-22,7.84
2021-06-23,7.84
2021-06-24,7.84
2021-06-25,7.84
2021-06-26,7.84
2021-06-27,7.84
2021-06-28,7.84
2021-06-29,7.84
2021-06-30,7.84
2021-07-01,7.84
2021-07-02,7.84
2021-07-03,7.84
2021-07-04,7.84
2021-07-05,7.84
2021-07-06,7.84
2021-07-07,7.84
2021-07-08,7.84
2021-07-09,7.84
2021-07-10,7.84
2021-07-11,7.84
2021-07-12,7.84
2021-07-13,7.84
2021-07-14,7.84
2021-07-15,7.84
2021-07-16,7.84
2021-07-17,7.84
2021-07-18,7.84
2021-07-19,7.84
2021-07-20,7.84
2021-07-21,7.84
2021-07-22,7.84
2021-07-23,7.84
2021-07-24,7.84
2021-07-25,7.84
2021-07-26,7.84
2021-07-27,7.84
2021-07-28,7.84
2021-07-29,7.84
2021-07-30,7.84
2021-07-31,7.84
2021-08-01,7.84
2021-08-02,7.84
2021-08-03,7.84
2021-08-04,7.84
2021-08-05,7.84
2021-08-06,7.84
2021-08-07,7.84
2021-08-08,7.84
2021-08-09,7.84
2021-08-10,7.84
2021-08-11,7.84
2021-08-12,7.84
2021-08-13,7.84
2021-08-14,7.84
2021-08-15,7.84
2021-08-16,7.84
2021-08-17,7.84
2021-08-18,7.84
2021-08-19,7.84
2021-08-20,7.84
2021-08-21,7.84
2021-08-22,7.84
2021-08-23,7.84
2021-08-24,7.84
2021-08-25,7.84
2021-08-26,7.84
2021-08-27,7.84
2021-08-28,7.84
2021-08-29,7.84
2021-08-30,7.84
2021-08-31,7.84
2021-09-01,7.84
2021-09-02,7.84
2021-09-03,7.84
2021-09-04,7.84
2021-09-05,7.84
2021-09-06,7.84
2021-09-07,7.84
2021-09-08,7.84
2021-09-09,7.84
2021-09-10,7.84
2021-09-11,7.84
2021-09-12,7.84
2021-09-13,7.84
2021-09-14,7.84
2021-09-15,7.84
2021-09-16,7.84
2021-09-17,7.84
2021-09-18,7.84
2021-09-19,7.84
2021-09-20,7.84
2021-09-21,7.84
2021-09-22,7.84
2021-09-23,7.84
2021-09-24,7.84
2021-09-25,7.84
2021-09-26,7.84
2021-09-27,7.84
2021-09-28,7.84
2021-09-29,7.84
2021-09-30,7.84
2021-10-01,7.84
2021-10-02,7.84
2021-10-03,7.84
2021-10-04,7.84
2021-10-05,7.84
2021-10-06,7.84
2021-10-07,7.84
2021-10-08,7.84
2021-10-09,7.84
2021-10-10,7.84
2021-10-11,7.84
2021-10-12,7.84
2021-10-13,7.84
2021-10-14,7.84
2021-10-15,7.84
2021-10-16,7.84
2021-10-17,7.84
2021-10-18,7.84
2021-10-19,7.84
2021-10-20,7.84
2021-10-21,7.84
2021-10-22,7.84
2021-10-23,7.84
2021-10-24,7.84
2021-10-25,7.84
2021-10-26,7.84
2021-10-27,7.84
2021-10-28,7.84
2021-10-29,7.84
2021-10-30,7.84
2021-10-31,7.84
2021-11-01,7.84
2021-11-02,7.84
2021-11-03,7.84
2021-11-04,7.84
2021-11-05,7.84
2021-11-06,7.84
2021-11-07,7.84
2021-11-08,7.84
2021-11-09,7.84
2021-11-10,10.73
2021-11-11,10.73
2021-11-12,10.73
2021-11-13,10.73
2021-11-14,10.73
2021-11-15,10.73
2021-11-16,10.73
2021-11-17,10.73
2021-11-18,10.73
2021-11-19,10.73
2021-11-20,10.73
2021-11-21,10.73
2021-11-22,10.73
2021-11-23,10.73
2021-11-24,10.73
2021-11-25,10.73
2021-11-26,10.73
2021-11-27,10.73
2021-11-28,10.73
2021-11-29,10.73
2021-11-30,10.73
2021-12-01,10.73
2021-12-02,10.73
2021-12-03,10.73
2021-12-04,10.73
2021-12-05,10.73
2021-12-06,10.73
2021-12-07,10.73
2021-12-08,10.73
2021-12-09,10.73
2021-12-10,10.73
2021-12-11,10.73
2021-12-12,10.73
2021-12-13,10.73
2021-12-14,10.73
2021-12-15,10.73
2021-12-16,10.73
2021-12-17,10.73
2021-12-18,10.73
2021-12-19,10.09
2021-12-20,10.09
2021-12-21,10.09
2021-12-22,10.09
2021-12-23,10.09
2021-12-24,10.09
2021-12-25,10.09
2021-12-26,10.09
2021-12-27,10.09
2021-12-28,10.09
2021-12-29,10.09
2021-12-30,10.09
2021-12-31,10.09
2022-01-01,10.09
2022-01-02,10.09
2022-01-03,10.09
2022-01-04,10.09
2022-01-05,10.09
2022-01-06,10.09
2022-01-07,10.09
2022-01-08,10.09
2022-01-09,10.09
2022-01-10,10.09
2022-01-11,10.09
2022-01-12,10.09
2022-01-13,10.09
2022-01-14,10.09
2022-01-15,10.09
2022-01-16,10.09
2022-01-17,10.09
2022-01-18,10.09
2022-01-19,10.09
2022-01-20,10.09
2022-01-21,10.09
2022-01-22,10.09
2022-01-23,10.09
2022-01-24,10.09
2022-01-25,10.09
2022-01-26,10.256
2022-01-27,10.089
2022-01-28,10.101
2022-01-29,10.101
2022-01-30,10.101
2022-01-31,10.023
2022-02-01,10.023
2022-02-02,10.023
2022-02-03,10.023
2022-02-04,10.023
2022-02-05,10.023
2022-02-06,10.023
2022-02-07,10.023
2022-02-08,10.023
2022-02-09,10.023
2022-02-10,10.023
2022-02-11,10.023
2022-02-12,10.023
2022-02-13,10.023
2022-02-14,10.092
2022-02-15,10.092
2022-02-16,10.092
2022-02-17,10.092
2022-02-18,10.092
2022-02-19,10.092
2022-02-20,10.092
2022-02-21,10.092
2022-02-22,10.092
2022-02-23,10.092
2022-02-24,10.092
2022-02-25,10.092
2022-02-26,10.092
2022-02-27,10.092
2022-02-28,10.092
2022-03-01,10.092
2022-03-02,10.092
2022-03-03,10.092
2022-03-04,10.092
2022-03-05,10.092
2022-03-06,10.092
2022-03-07,10.092
2022-03-08,10.092
2022-03-09,10.092
2022-03-10,10.092
2022-03-11,10.092
2022-03-12,10.092
2022-03-13,10.092
2022-03-14,10.092
2022-03-15,10.092
2022-03-16,10.092
2022-03-17,10.092
2022-03-18,10.092
2022-03-19,10.092
2022-03-20,10.092
2022-03-21,10.092
2022-03-22,10.092
2022-03-23,10.092
2022-03-24,10.009
2022-03-25,10.009
2022-03-26,10.009
2022-03-27,10.009
2022-03-28,10.01
2022-03-29,10.01
2022-03-30,10.01
2022-03-31,10.01
2022-04-01,10.01
2022-04-02,10.01
2022-04-03,10.01
2022-04-04,10.01
2022-04-05,10.01
2022-04-06,10.01
2022-04-07,9.871
2022-04-08,9.871
2022-04-09,9.871
2022-04-10,9.871
2022-04-11,9.871
2022-04-12,9.871
2022-04-13,9.764
2022-04-14,9.764
2022-04-15,9.764
2022-04-16,9.764
2022-04-17,9.764
2022-04-18,9.738
2022-04-19,9.738
2022-04-20,9.738
2022-04-21,9.738
2022-04-22,9.738
2022-04-23,9.738
2022-04-24,9.738
2022-04-25,9.738
2022-04-26,9.738
2022-04-27,9.606
2022-04-28,9.548
2022-04-29,9.548
2022-04-30,9.548
2022-05-01,9.548
2022-05-02,9.46
2022-05-03,9.42
2022-05-04,9.42
2022-05-05,9.42
2022-05-06,9.524
2022-05-07,9.524
2022-05-08,9.524
2022-05-09,9.524
2022-05-10,9.524
2022-05-11,9.524
2022-05-12,9.524
2022-05-13,9.524
2022-05-14,9.524
2022-05-15,9.524
2022-05-16,9.524
2022-05-17,9.524
2022-05-18,9.524
2022-05-19,9.524
2022-05-20,9.524
2022-05-21,9.524
2022-05-22,9.524
2022-05-23,9.524
2022-05-24,9.524
2022-05-25,9.524
2022-05-26,9.524
2022-05-27,9.524
2022-05-28,9.524
2022-05-29,9.524
2022-05-30,9.524
2022-05-31,9.524
2022-06-01,9.524
2022-06-02,9.524
2022-06-03,9.524
2022-06-04,9.524
2022-06-05,9.524
2022-06-06,9.524
2022-06-07,9.524
2022-06-08,9.524
2022-06-09,9.524
2022-06-10,9.524
2022-06-11,9.524
2022-06-12,9.524
2022-06-13,9.524
2022-06-14,9.524
2022-06-15,9.524
2022-06-16,9.524
2022-06-17,9.524
2022-06-18,9.524
2022-06-19,9.524
2022-06-20,9.524
2022-06-21,9.524
2022-06-22,9.524
2022-06-23,9.547
2022-06-24,9.547
2022-06-25,9.547
2022-06-26,9.547
2022-06-27,9.547
2022-06-28,9.547
2022-06-29,9.547
2022-06-30,9.547
2022-07-01,9.547
2022-07-02,9.547
2022-07-03,9.547
2022-07-04,9.547
2022-07-05,9.547
2022-07-06,9.547
2022-07-07,9.547
2022-07-08,9.258
2022-07-09,9.258
2022-07-10,9.258
2022-07-11,9.258
2022-07-12,9.103
2022-07-13,9.103
2022-07-14,9.103
2022-07-15,9.103
2022-07-16,9.103
2022-07-17,9.103
2022-07-18,8.992
2022-07-19,8.418
2022-07-20,8.418
2022-07-21,8.418
2022-07-22,8.418
2022-07-23,8.418
2022-07-24,8.418
2022-07-25,8.418
2022-07-26,8.418
2022-07-27,8.418
2022-07-28,8.061
2022-07-29,8.24
2022-07-30,8.24
2022-07-31,8.24
2022-08-01,8.015
2022-08-02,7.937
2022-08-03,7.937
2022-08-04,8.026
2022-08-05,8.026
2022-08-06,8.026
2022-08-07,8.026
2022-08-08,8.026
2022-08-09,8.026
2022-08-10,8.026
2022-08-11,7.85
2022-08-12,7.85
2022-08-13,7.85
2022-08-14,7.85
2022-08-15,7.85
2022-08-16,7.85
2022-08-17,7.85
2022-08-18,7.85
2022-08-19,7.85
2022-08-20,7.85
2022-08-21,7.858
2022-08-22,7.858
2022-08-23,7.858
2022-08-24,7.858
2022-08-25,7.858
2022-08-26,7.858
2022-08-27,7.858
2022-08-28,7.858
2022-08-29,7.858
2022-08-30,7.858
2022-08-31,7.858
2022-09-01,7.858
2022-09-02,7.858
2022-09-03,7.858
2022-09-04,7.858
2022-09-05,7.858
2022-09-06,7.858
2022-09-07,7.858
2022-09-08,7.858
2022-09-09,7.858
2022-09-10,7.858
2022-09-11,7.858
2022-09-12,7.858
2022-09-13,7.858
2022-09-14,7.858
2022-09-15,7.858
2022-09-16,7.858
2022-09-17,7.858
2022-09-18,7.858
2022-09-19,7.858
2022-09-20,7.854
2022-09-21,7.854
2022-09-22,7.854
2022-09-23,7.854
2022-09-24,7.854
2022-09-25,7.854
2022-09-26,7.854
2022-09-27,7.854
2022-09-28,7.854
2022-09-29,7.854
2022-09-30,7.854
2022-10-01,7.854
2022-10-02,7.854
2022-10-03,7.854
2022-10-04,7.854
2022-10-05,7.868
2022-10-06,7.868
2022-10-07,7.868
2022-10-08,7.868
2022-10-09,7.868
2022-10-10,7.868
2022-10-11,7.789
2022-10-12,7.734
2022-10-13,7.806
2022-10-14,7.806
2022-10-15,7.806
2022-10-16,7.806
2022-10-17,7.806
2022-10-18,7.778
2022-10-19,7.778
2022-10-20,7.778
2022-10-21,7.767
2022-10-22,7.767
2022-10-23,7.767
2022-10-24,7.767
2022-10-25,7.767
2022-10-26,7.767
2022-10-27,7.795
2022-10-28,7.76
2022-10-29,7.76
2022-10-30,7.753
2022-10-31,7.753
2022-11-01,7.753
2022-11-02,7.753
2022-11-03,7.753
2022-11-04,7.753
2022-11-05,7.753
2022-11-06,7.753
2022-11-07,7.753
2022-11-08,7.643
2022-11-09,7.528
2022-11-10,7.528
2022-11-11,7.5
2022-11-12,7.5
2022-11-13,7.5
2022-11-14,7.5
2022-11-15,7.5
2022-11-16,7.5
2022-11-17,7.5
2022-11-18,7.5
2022-11-19,7.5
2022-11-20,7.5
2022-11-21,7.5
2022-11-22,7.5
2022-11-23,7.5
2022-11-24,7.5
2022-11-25,7.5
2022-11-26,7.5
2022-11-27,7.5
2022-11-28,7.5
2022-11-29,7.5
2022-11-30,7.5
2022-12-01,7.5
2022-12-02,7.5
2022-12-03,7.5
2022-12-04,7.5
2022-12-05,7.5
2022-12-06,7.5
2022-12-07,7.5
2022-12-08,7.5
2022-12-09,7.5
2022-12-10,7.5
2022-12-11,7.5
2022-12-12,7.5
2022-12-13,7.5
2022-12-14,7.489
2022-12-15,7.489
2022-12-16,7.489
2022-12-17,7.489
2022-12-18,7.503
2022-12-19,7.503
2022-12-20,7.53
2022-12-21,7.53
2022-12-22,7.53
2022-12-23,7.53
2022-12-24,7.53
2022-12-25,7.53
2022-12-26,7.53
2022-12-27,7.53
2022-12-28,7.53
2022-12-29,7.53
2022-12-30,7.53
2022-12-31,7.53
2023-01-01,7.53
2023-01-02,7.53
2023-01-03,7.53
2023-01-04,7.53
2023-01-05,7.53
2023-01-06,7.53
2023-01-07,7.53
2023-01-08,7.528
2023-01-09,7.528
2023-01-10,7.526
2023-01-11,7.526
2023-01-12,7.555
2023-01-13,7.555
2023-01-14,7.555
2023-01-15,7.555
2023-01-16,7.555
2023-01-17,7.555
2023-01-18,7.568
2023-01-19,7.606
2023-01-20,7.591
2023-01-21,7.591
2023-01-22,7.591
2023-01-23,7.591
2023-01-24,7.591
2023-01-25,7.591
2023-01-26,7.591
2023-01-27,7.591
2023-01-28,7.591
2023-01-29,7.591
2023-01-30,7.591
2023-01-31,7.283
2023-02-01,7.23
2023-02-02,7.259
2023-02-03,7.259
2023-02-04,7.259
2023-02-05,7.283
2023-02-06,7.283
2023-02-07,7.283
2023-02-08,7.283
2023-02-09,7.246
2023-02-10,7.246
2023-02-11,7.246
2023-02-12,7.248
2023-02-13,7.248
2023-02-14,7.246
2023-02-15,7.246
2023-02-16,7.17
2023-02-17,7.17
2023-02-18,7.17
2023-02-19,7.17
2023-02-20,7.17
2023-02-21,7.17
2023-02-22,7.17
2023-02-23,7.17
2023-02-24,7.178
2023-02-25,7.178
2023-02-26,7.178
2023-02-27,7.191
2023-02-28,7.191
2023-03-01,7.191
2023-03-02,7.191
2023-03-03,7.191
2023-03-04,7.191
2023-03-05,7.191
2023-03-06,7.191
2023-03-07,7.191
2023-03-08,7.191
2023-03-09,7.191
2023-03-10,7.191
2023-03-11,7.191
2023-03-12,7.191
2023-03-13,7.191
2023-03-14,7.191
2023-03-15,7.19
2023-03-16,7.19
2023-03-17,7.19
2023-03-18,7.19
2023-03-19,7.19
2023-03-20,7.19
2023-03-21,7.19
2023-03-22,7.19
2023-03-23,7.19
2023-03-24,7.19
2023-03-25,7.19
2023-03-26,7.19
2023-03-27,7.19
2023-03-28,7.17
2023-03-29,7.17
2023-03-30,7.17
2023-03-31,7.17
2023-04-01,7.17
2023-04-02,7.17
2023-04-03,7.17
2023-04-04,7.15
2023-04-05,7.15
2023-04-06,7.15
2023-04-07,7.15
2023-04-08,7.15
2023-04-09,7.15
2023-04-10,7.161
2023-04-11,7.143
2023-04-12,7.143
2023-04-13,7.144
2023-04-14,7.144
2023-04-15,7.144
2023-04-16,7.144
2023-04-17,7.144
2023-04-18,7.132
2023-04-19,7.132
2023-04-20,7.131
2023-04-21,7.131
2023-04-22,7.131
2023-04-23,7.131
2023-04-24,7.131
2023-04-25,7.131
2023-04-26,7.131
2023-04-27,7.244
2023-04-28,7.191
2023-04-29,7.21
2023-04-30,7.217
2023-05-01,7.314
2023-05-02,7.314
2023-05-03,7.314
2023-05-04,7.314
2023-05-05,7.314
2023-05-06,7.314
2023-05-07,7.314
2023-05-08,7.314
2023-05-09,7.291
2023-05-10,7.291
2023-05-11,7.3
2023-05-12,7.3
2023-05-13,7.3
2023-05-14,7.3
2023-05-15,7.3
2023-05-16,7.3
2023-05-17,7.3
2023-05-18,7.3
2023-05-19,7.3
2023-05-20,7.3
2023-05-21,7.3
2023-05-22,7.3
2023-05-23,7.225
2023-05-24,7.225
2023-05-25,7.225
2023-05-26,7.225
2023-05-27,7.225
2023-05-28,7.225
2023-05-29,7.225
2023-05-30,7.186
2023-05-31,7.251
2023-06-01,7.251
2023-06-02,7.251
2023-06-03,7.251
2023-06-04,7.251
2023-06-05,7.251
2023-06-06,7.314
2023-06-07,7.314
2023-06-08,7.314
2023-06-09,7.314
2023-06-10,7.314
2023-06-11,7.314
2023-06-12,7.314
2023-06-13,7.314
2023-06-14,7.314
2023-06-15,7.314
2023-06-16,7.314
2023-06-17,7.314
2023-06-18,7.314
2023-06-19,7.314
2023-06-20,7.314
2023-06-21,7.314
2023-06-22,7.314
2023-06-23,7.314
2023-06-24,7.314
2023-06-25,7.314
2023-06-26,7.314
2023-06-27,7.314
2023-06-28,7.377
2023-06-29,7.306
2023-06-30,7.306
2023-07-01,7.306
2023-07-02,7.306
2023-07-03,7.306
2023-07-04,7.313
2023-07-05,7.313
2023-07-06,7.313
2023-07-07,7.313
2023-07-08,7.313
2023-07-09,7.321
2023-07-10,7.321
2023-07-11,7.321
2023-07-12,7.321
2023-07-13,7.321
2023-07-14,7.321
2023-07-15,7.321
2023-07-16,7.321
2023-07-17,7.334
2023-07-18,7.334
2023-07-19,7.334
2023-07-20,7.334
2023-07-21,7.334
2023-07-22,7.334
2023-07-23,7.334
