,TROW US Equity
2021-06-12,14.0
2021-06-13,14.0
2021-06-14,14.0
2021-06-15,14.0
2021-06-16,14.0
2021-06-17,14.0
2021-06-18,14.0
2021-06-19,14.0
2021-06-20,14.0
2021-06-21,14.0
2021-06-22,14.0
2021-06-23,14.0
2021-06-24,14.0
2021-06-25,14.0
2021-06-26,14.0
2021-06-27,14.0
2021-06-28,14.0
2021-06-29,14.39
2021-06-30,14.39
2021-07-01,14.39
2021-07-02,14.39
2021-07-03,14.39
2021-07-04,14.39
2021-07-05,14.39
2021-07-06,14.39
2021-07-07,14.39
2021-07-08,14.39
2021-07-09,14.39
2021-07-10,14.39
2021-07-11,14.39
2021-07-12,14.9
2021-07-13,14.9
2021-07-14,14.9
2021-07-15,14.9
2021-07-16,14.9
2021-07-17,14.9
2021-07-18,14.9
2021-07-19,14.9
2021-07-20,14.9
2021-07-21,14.9
2021-07-22,14.9
2021-07-23,14.9
2021-07-24,14.9
2021-07-25,14.9
2021-07-26,14.9
2021-07-27,14.9
2021-07-28,14.9
2021-07-29,14.8
2021-07-30,14.8
2021-07-31,14.605
2021-08-01,14.605
2021-08-02,14.605
2021-08-03,14.605
2021-08-04,14.605
2021-08-05,14.605
2021-08-06,14.605
2021-08-07,14.605
2021-08-08,14.605
2021-08-09,14.605
2021-08-10,14.605
2021-08-11,14.605
2021-08-12,14.605
2021-08-13,14.605
2021-08-14,14.605
2021-08-15,14.605
2021-08-16,14.605
2021-08-17,14.605
2021-08-18,14.605
2021-08-19,14.605
2021-08-20,14.605
2021-08-21,14.605
2021-08-22,14.605
2021-08-23,14.605
2021-08-24,14.605
2021-08-25,14.605
2021-08-26,14.605
2021-08-27,14.605
2021-08-28,14.605
2021-08-29,14.605
2021-08-30,14.605
2021-08-31,14.605
2021-09-01,14.605
2021-09-02,14.605
2021-09-03,14.605
2021-09-04,14.605
2021-09-05,14.605
2021-09-06,14.605
2021-09-07,14.605
2021-09-08,14.605
2021-09-09,14.605
2021-09-10,14.605
2021-09-11,14.605
2021-09-12,14.605
2021-09-13,14.605
2021-09-14,14.605
2021-09-15,14.605
2021-09-16,14.605
2021-09-17,14.605
2021-09-18,14.605
2021-09-19,14.605
2021-09-20,14.605
2021-09-21,14.605
2021-09-22,14.605
2021-09-23,14.605
2021-09-24,14.605
2021-09-25,14.605
2021-09-26,14.605
2021-09-27,14.605
2021-09-28,14.605
2021-09-29,14.605
2021-09-30,14.605
2021-10-01,14.605
2021-10-02,14.605
2021-10-03,14.605
2021-10-04,14.605
2021-10-05,14.605
2021-10-06,14.605
2021-10-07,14.605
2021-10-08,14.605
2021-10-09,14.605
2021-10-10,14.605
2021-10-11,14.605
2021-10-12,14.605
2021-10-13,14.605
2021-10-14,14.605
2021-10-15,14.605
2021-10-16,14.605
2021-10-17,14.605
2021-10-18,14.52
2021-10-19,14.52
2021-10-20,14.52
2021-10-21,14.52
2021-10-22,14.52
2021-10-23,14.52
2021-10-24,14.52
2021-10-25,14.52
2021-10-26,14.52
2021-10-27,14.52
2021-10-28,14.52
2021-10-29,14.77
2021-10-30,14.77
2021-10-31,14.77
2021-11-01,14.77
2021-11-02,15.025
2021-11-03,15.025
2021-11-04,15.025
2021-11-05,15.025
2021-11-06,15.025
2021-11-07,15.025
2021-11-08,15.025
2021-11-09,15.025
2021-11-10,15.025
2021-11-11,15.025
2021-11-12,15.025
2021-11-13,14.92
2021-11-14,14.92
2021-11-15,14.92
2021-11-16,14.92
2021-11-17,14.92
2021-11-18,14.92
2021-11-19,14.92
2021-11-20,14.92
2021-11-21,14.92
2021-11-22,14.92
2021-11-23,14.92
2021-11-24,14.92
2021-11-25,14.92
2021-11-26,14.92
2021-11-27,14.92
2021-11-28,14.92
2021-11-29,14.92
2021-11-30,14.92
2021-12-01,14.92
2021-12-02,14.92
2021-12-03,14.92
2021-12-04,14.92
2021-12-05,14.92
2021-12-06,14.92
2021-12-07,14.92
2021-12-08,14.92
2021-12-09,14.92
2021-12-10,14.92
2021-12-11,14.92
2021-12-12,14.92
2021-12-13,14.92
2021-12-14,14.92
2021-12-15,14.92
2021-12-16,14.82
2021-12-17,14.82
2021-12-18,14.82
2021-12-19,14.82
2021-12-20,14.82
2021-12-21,14.82
2021-12-22,14.82
2021-12-23,14.82
2021-12-24,14.82
2021-12-25,14.82
2021-12-26,14.82
2021-12-27,14.82
2021-12-28,14.82
2021-12-29,14.82
2021-12-30,14.82
2021-12-31,14.82
2022-01-01,14.82
2022-01-02,14.82
2022-01-03,13.553
2022-01-04,13.553
2022-01-05,13.553
2022-01-06,13.553
2022-01-07,13.553
2022-01-08,13.553
2022-01-09,13.553
2022-01-10,13.553
2022-01-11,13.553
2022-01-12,13.415
2022-01-13,13.415
2022-01-14,13.415
2022-01-15,13.415
2022-01-16,13.415
2022-01-17,13.415
2022-01-18,13.338
2022-01-19,13.338
2022-01-20,13.338
2022-01-21,13.338
2022-01-22,13.338
2022-01-23,13.338
2022-01-24,13.338
2022-01-25,13.338
2022-01-26,13.338
2022-01-27,12.965
2022-01-28,13.355
2022-01-29,12.796
2022-01-30,12.796
2022-01-31,12.814
2022-02-01,12.814
2022-02-02,12.814
2022-02-03,12.814
2022-02-04,12.814
2022-02-05,12.814
2022-02-06,12.814
2022-02-07,12.814
2022-02-08,12.814
2022-02-09,12.814
2022-02-10,12.814
2022-02-11,12.814
2022-02-12,12.814
2022-02-13,12.814
2022-02-14,12.814
2022-02-15,12.814
2022-02-16,12.814
2022-02-17,12.814
2022-02-18,12.629
2022-02-19,12.629
2022-02-20,12.629
2022-02-21,12.629
2022-02-22,12.703
2022-02-23,12.703
2022-02-24,12.703
2022-02-25,12.703
2022-02-26,12.703
2022-02-27,12.703
2022-02-28,12.703
2022-03-01,12.703
2022-03-02,12.703
2022-03-03,12.703
2022-03-04,12.703
2022-03-05,12.703
2022-03-06,12.703
2022-03-07,12.703
2022-03-08,12.703
2022-03-09,12.703
2022-03-10,12.559
2022-03-11,12.559
2022-03-12,12.559
2022-03-13,12.559
2022-03-14,12.559
2022-03-15,12.559
2022-03-16,12.559
2022-03-17,12.559
2022-03-18,12.559
2022-03-19,12.559
2022-03-20,12.559
2022-03-21,12.559
2022-03-22,12.559
2022-03-23,12.559
2022-03-24,12.559
2022-03-25,12.559
2022-03-26,12.559
2022-03-27,12.559
2022-03-28,12.559
2022-03-29,12.559
2022-03-30,12.666
2022-03-31,12.666
2022-04-01,12.666
2022-04-02,12.666
2022-04-03,12.666
2022-04-04,12.666
2022-04-05,12.666
2022-04-06,12.497
2022-04-07,12.386
2022-04-08,12.309
2022-04-09,12.309
2022-04-10,12.309
2022-04-11,12.273
2022-04-12,12.268
2022-04-13,12.216
2022-04-14,12.216
2022-04-15,12.216
2022-04-16,12.216
2022-04-17,12.216
2022-04-18,12.216
2022-04-19,12.216
2022-04-20,12.216
2022-04-21,12.26
2022-04-22,12.218
2022-04-23,12.218
2022-04-24,12.218
2022-04-25,12.218
2022-04-26,12.218
2022-04-27,12.218
2022-04-28,12.319
2022-04-29,11.71
2022-04-30,11.585
2022-05-01,11.585
2022-05-02,11.479
2022-05-03,11.479
2022-05-04,11.405
2022-05-05,11.405
2022-05-06,11.405
2022-05-07,11.405
2022-05-08,11.405
2022-05-09,11.405
2022-05-10,11.388
2022-05-11,11.314
2022-05-12,11.314
2022-05-13,11.314
2022-05-14,11.314
2022-05-15,11.314
2022-05-16,11.314
2022-05-17,11.314
2022-05-18,11.314
2022-05-19,11.223
2022-05-20,11.17
2022-05-21,11.17
2022-05-22,11.17
2022-05-23,11.17
2022-05-24,11.17
2022-05-25,11.17
2022-05-26,11.17
2022-05-27,11.17
2022-05-28,11.17
2022-05-29,11.17
2022-05-30,11.17
2022-05-31,11.17
2022-06-01,11.17
2022-06-02,11.17
2022-06-03,11.17
2022-06-04,11.17
2022-06-05,11.17
2022-06-06,11.17
2022-06-07,11.17
2022-06-08,11.17
2022-06-09,11.17
2022-06-10,10.795
2022-06-11,10.795
2022-06-12,10.795
2022-06-13,10.795
2022-06-14,10.795
2022-06-15,10.795
2022-06-16,10.795
2022-06-17,10.795
2022-06-18,10.795
2022-06-19,10.795
2022-06-20,10.795
2022-06-21,10.795
2022-06-22,10.795
2022-06-23,10.795
2022-06-24,10.795
2022-06-25,10.795
2022-06-26,10.795
2022-06-27,10.795
2022-06-28,10.63
2022-06-29,10.63
2022-06-30,10.338
2022-07-01,10.338
2022-07-02,10.338
2022-07-03,10.338
2022-07-04,10.338
2022-07-05,10.338
2022-07-06,10.338
2022-07-07,10.338
2022-07-08,10.338
2022-07-09,10.338
2022-07-10,10.338
2022-07-11,9.729
2022-07-12,9.414
2022-07-13,9.352
2022-07-14,9.353
2022-07-15,9.13
2022-07-16,9.13
2022-07-17,9.13
2022-07-18,9.13
2022-07-19,8.966
2022-07-20,8.966
2022-07-21,8.966
2022-07-22,8.966
2022-07-23,8.966
2022-07-24,8.984
2022-07-25,8.984
2022-07-26,8.984
2022-07-27,8.984
2022-07-28,8.928
2022-07-29,8.858
2022-07-30,8.858
2022-07-31,8.858
2022-08-01,8.884
2022-08-02,8.856
2022-08-03,8.84
2022-08-04,8.84
2022-08-05,8.84
2022-08-06,8.84
2022-08-07,8.84
2022-08-08,8.84
2022-08-09,8.84
2022-08-10,8.84
2022-08-11,8.84
2022-08-12,8.917
2022-08-13,8.917
2022-08-14,8.917
2022-08-15,8.917
2022-08-16,8.917
2022-08-17,8.917
2022-08-18,8.917
2022-08-19,8.917
2022-08-20,8.917
2022-08-21,8.917
2022-08-22,8.917
2022-08-23,8.917
2022-08-24,8.917
2022-08-25,8.917
2022-08-26,8.917
2022-08-27,8.917
2022-08-28,8.917
2022-08-29,8.917
2022-08-30,8.917
2022-08-31,8.917
2022-09-01,8.917
2022-09-02,8.933
2022-09-03,8.933
2022-09-04,8.933
2022-09-05,8.933
2022-09-06,8.933
2022-09-07,8.933
2022-09-08,8.933
2022-09-09,8.933
2022-09-10,8.933
2022-09-11,8.933
2022-09-12,8.933
2022-09-13,8.933
2022-09-14,8.933
2022-09-15,8.933
2022-09-16,8.88
2022-09-17,8.88
2022-09-18,8.88
2022-09-19,8.88
2022-09-20,8.88
2022-09-21,8.87
2022-09-22,8.87
2022-09-23,8.87
2022-09-24,8.87
2022-09-25,8.87
2022-09-26,8.876
2022-09-27,8.876
2022-09-28,8.876
2022-09-29,8.876
2022-09-30,8.68
2022-10-01,8.68
2022-10-02,8.68
2022-10-03,8.521
2022-10-04,8.521
2022-10-05,8.521
2022-10-06,8.498
2022-10-07,8.498
2022-10-08,8.498
2022-10-09,8.498
2022-10-10,8.498
2022-10-11,8.333
2022-10-12,8.108
2022-10-13,8.108
2022-10-14,8.108
2022-10-15,8.108
2022-10-16,8.108
2022-10-17,8.108
2022-10-18,7.97
2022-10-19,7.911
2022-10-20,7.911
2022-10-21,7.911
2022-10-22,7.911
2022-10-23,7.911
2022-10-24,7.911
2022-10-25,7.911
2022-10-26,7.887
2022-10-27,7.816
2022-10-28,7.721
2022-10-29,7.721
2022-10-30,7.721
2022-10-31,7.721
2022-11-01,7.721
2022-11-02,7.721
2022-11-03,7.721
2022-11-04,7.721
2022-11-05,7.721
2022-11-06,7.687
2022-11-07,7.687
2022-11-08,7.687
2022-11-09,7.687
2022-11-10,7.715
2022-11-11,7.715
2022-11-12,7.715
2022-11-13,7.715
2022-11-14,7.715
2022-11-15,7.718
2022-11-16,7.718
2022-11-17,7.718
2022-11-18,7.718
2022-11-19,7.718
2022-11-20,7.718
2022-11-21,7.718
2022-11-22,7.736
2022-11-23,7.736
2022-11-24,7.736
2022-11-25,7.736
2022-11-26,7.736
2022-11-27,7.736
2022-11-28,7.736
2022-11-29,7.736
2022-11-30,7.736
2022-12-01,7.736
2022-12-02,7.736
2022-12-03,7.736
2022-12-04,7.788
2022-12-05,7.788
2022-12-06,7.788
2022-12-07,7.788
2022-12-08,7.788
2022-12-09,7.744
2022-12-10,7.744
2022-12-11,7.744
2022-12-12,7.744
2022-12-13,7.744
2022-12-14,7.81
2022-12-15,7.81
2022-12-16,7.789
2022-12-17,7.789
2022-12-18,7.789
2022-12-19,7.789
2022-12-20,7.789
2022-12-21,7.789
2022-12-22,7.789
2022-12-23,7.789
2022-12-24,7.789
2022-12-25,7.789
2022-12-26,7.789
2022-12-27,7.789
2022-12-28,7.789
2022-12-29,7.789
2022-12-30,7.789
2022-12-31,7.789
2023-01-01,7.789
2023-01-02,7.789
2023-01-03,7.789
2023-01-04,7.775
2023-01-05,7.775
2023-01-06,7.775
2023-01-07,7.775
2023-01-08,7.775
2023-01-09,7.775
2023-01-10,7.802
2023-01-11,7.836
2023-01-12,7.786
2023-01-13,7.778
2023-01-14,7.778
2023-01-15,7.778
2023-01-16,7.778
2023-01-17,7.778
2023-01-18,7.778
2023-01-19,7.792
2023-01-20,7.766
2023-01-21,7.766
2023-01-22,7.766
2023-01-23,7.745
2023-01-24,7.745
2023-01-25,7.745
2023-01-26,7.442
2023-01-27,7.245
2023-01-28,7.287
2023-01-29,7.251
2023-01-30,7.179
2023-01-31,7.139
2023-02-01,7.139
2023-02-02,7.139
2023-02-03,7.139
2023-02-04,7.139
2023-02-05,7.139
2023-02-06,7.126
2023-02-07,7.126
2023-02-08,7.126
2023-02-09,7.126
2023-02-10,7.132
2023-02-11,7.132
2023-02-12,7.132
2023-02-13,7.132
2023-02-14,7.132
2023-02-15,7.132
2023-02-16,7.132
2023-02-17,7.166
2023-02-18,7.166
2023-02-19,7.166
2023-02-20,7.166
2023-02-21,7.166
2023-02-22,7.166
2023-02-23,7.166
2023-02-24,7.166
2023-02-25,7.166
2023-02-26,7.166
2023-02-27,7.166
2023-02-28,7.166
2023-03-01,7.166
2023-03-02,7.166
2023-03-03,7.166
2023-03-04,7.166
2023-03-05,7.166
2023-03-06,7.166
2023-03-07,7.166
2023-03-08,7.166
2023-03-09,7.127
2023-03-10,7.146
2023-03-11,7.146
2023-03-12,7.146
2023-03-13,7.146
2023-03-14,7.146
2023-03-15,7.146
2023-03-16,7.146
2023-03-17,7.146
2023-03-18,7.146
2023-03-19,7.146
2023-03-20,7.146
2023-03-21,7.146
2023-03-22,7.146
2023-03-23,7.146
2023-03-24,7.073
2023-03-25,7.073
2023-03-26,7.073
2023-03-27,7.073
2023-03-28,7.076
2023-03-29,7.076
2023-03-30,7.076
2023-03-31,6.991
2023-04-01,6.991
2023-04-02,6.991
2023-04-03,6.991
2023-04-04,6.965
2023-04-05,6.965
2023-04-06,6.965
2023-04-07,6.965
2023-04-08,6.965
2023-04-09,6.965
2023-04-10,6.991
2023-04-11,6.998
2023-04-12,6.99
2023-04-13,7.005
2023-04-14,7.013
2023-04-15,7.013
2023-04-16,7.013
2023-04-17,7.033
2023-04-18,7.004
2023-04-19,7.008
2023-04-20,7.002
2023-04-21,7.002
2023-04-22,7.002
2023-04-23,7.002
2023-04-24,7.002
2023-04-25,7.002
2023-04-26,7.002
2023-04-27,7.002
2023-04-28,7.002
2023-04-29,7.002
2023-04-30,7.002
2023-05-01,7.002
2023-05-02,6.91
2023-05-03,6.941
2023-05-04,6.892
2023-05-05,6.892
2023-05-06,6.892
2023-05-07,6.892
2023-05-08,6.892
2023-05-09,6.892
2023-05-10,6.892
2023-05-11,6.892
2023-05-12,6.892
2023-05-13,6.892
2023-05-14,6.892
2023-05-15,6.892
2023-05-16,6.891
2023-05-17,6.891
2023-05-18,6.873
2023-05-19,6.873
2023-05-20,6.873
2023-05-21,6.873
2023-05-22,6.873
2023-05-23,6.873
2023-05-24,6.873
2023-05-25,6.873
2023-05-26,6.866
2023-05-27,6.866
2023-05-28,6.866
2023-05-29,6.866
2023-05-30,6.866
2023-05-31,6.866
2023-06-01,6.847
2023-06-02,6.847
2023-06-03,6.847
2023-06-04,6.847
2023-06-05,6.847
2023-06-06,6.847
2023-06-07,6.847
2023-06-08,6.847
2023-06-09,6.847
2023-06-10,6.847
2023-06-11,6.847
2023-06-12,6.846
2023-06-13,6.846
2023-06-14,6.846
2023-06-15,6.846
2023-06-16,6.846
2023-06-17,6.846
2023-06-18,6.846
2023-06-19,6.846
2023-06-20,6.846
2023-06-21,6.846
2023-06-22,6.846
2023-06-23,6.846
2023-06-24,6.846
2023-06-25,6.846
2023-06-26,6.846
2023-06-27,6.863
2023-06-28,6.863
2023-06-29,6.863
2023-06-30,6.863
2023-07-01,6.863
2023-07-02,6.863
2023-07-03,6.863
2023-07-04,6.863
2023-07-05,6.863
2023-07-06,6.88
2023-07-07,6.88
2023-07-08,6.88
2023-07-09,6.907
2023-07-10,6.839
2023-07-11,6.894
2023-07-12,6.907
2023-07-13,6.949
2023-07-14,6.96
2023-07-15,6.96
2023-07-16,6.96
2023-07-17,6.964
2023-07-18,6.964
2023-07-19,6.964
2023-07-20,6.964
2023-07-21,6.964
2023-07-22,6.964
2023-07-23,6.964
2023-07-24,6.979
2023-07-25,6.979
2023-07-26,6.979
2023-07-27,6.979
2023-07-28,7.085
2023-07-29,7.098
2023-07-30,7.173
2023-07-31,7.343
2023-08-01,7.343
2023-08-02,7.357
2023-08-03,7.357
2023-08-04,7.357
2023-08-05,7.357
2023-08-06,7.357
2023-08-07,7.357
2023-08-08,7.357
2023-08-09,7.357
2023-08-10,7.366
2023-08-11,7.43
2023-08-12,7.43
2023-08-13,7.43
2023-08-14,7.443
2023-08-15,7.443
2023-08-16,7.443
2023-08-17,7.45
2023-08-18,7.45
2023-08-19,7.45
2023-08-20,7.45
2023-08-21,7.45
2023-08-22,7.45
2023-08-23,7.45
2023-08-24,7.45
2023-08-25,7.45
2023-08-26,7.45
2023-08-27,7.45
2023-08-28,7.45
2023-08-29,7.45
2023-08-30,7.45
2023-08-31,7.45
2023-09-01,7.523
2023-09-02,7.523
2023-09-03,7.523
2023-09-04,7.523
2023-09-05,7.523
2023-09-06,7.523
2023-09-07,7.523
2023-09-08,7.523
2023-09-09,7.523
2023-09-10,7.523
2023-09-11,7.523
2023-09-12,7.523
2023-09-13,7.502
