,ESNT US Equity
2021-06-01,6.95
2021-06-02,6.95
2021-06-03,6.95
2021-06-04,6.95
2021-06-05,6.95
2021-06-06,6.95
2021-06-07,6.95
2021-06-08,6.95
2021-06-09,6.95
2021-06-10,6.95
2021-06-11,6.95
2021-06-12,6.95
2021-06-13,6.95
2021-06-14,6.95
2021-06-15,6.95
2021-06-16,6.95
2021-06-17,6.95
2021-06-18,6.95
2021-06-19,6.95
2021-06-20,6.95
2021-06-21,6.95
2021-06-22,6.95
2021-06-23,6.95
2021-06-24,6.95
2021-06-25,6.95
2021-06-26,6.95
2021-06-27,6.95
2021-06-28,6.95
2021-06-29,6.95
2021-06-30,6.95
2021-07-01,6.95
2021-07-02,6.95
2021-07-03,6.95
2021-07-04,6.95
2021-07-05,6.95
2021-07-06,6.95
2021-07-07,6.95
2021-07-08,6.95
2021-07-09,6.95
2021-07-10,6.95
2021-07-11,6.95
2021-07-12,6.95
2021-07-13,6.95
2021-07-14,6.95
2021-07-15,6.95
2021-07-16,6.95
2021-07-17,6.95
2021-07-18,6.95
2021-07-19,6.95
2021-07-20,6.95
2021-07-21,6.95
2021-07-22,6.95
2021-07-23,6.95
2021-07-24,6.95
2021-07-25,6.95
2021-07-26,6.95
2021-07-27,6.95
2021-07-28,6.95
2021-07-29,6.95
2021-07-30,6.95
2021-07-31,6.95
2021-08-01,6.95
2021-08-02,6.95
2021-08-03,6.95
2021-08-04,6.95
2021-08-05,6.95
2021-08-06,6.95
2021-08-07,6.95
2021-08-08,6.95
2021-08-09,6.95
2021-08-10,6.95
2021-08-11,6.95
2021-08-12,6.95
2021-08-13,6.95
2021-08-14,6.95
2021-08-15,6.95
2021-08-16,6.95
2021-08-17,6.95
2021-08-18,6.95
2021-08-19,6.95
2021-08-20,6.95
2021-08-21,6.95
2021-08-22,6.95
2021-08-23,6.95
2021-08-24,6.95
2021-08-25,6.95
2021-08-26,6.95
2021-08-27,6.95
2021-08-28,6.95
2021-08-29,6.95
2021-08-30,6.95
2021-08-31,6.95
2021-09-01,6.95
2021-09-02,6.95
2021-09-03,6.95
2021-09-04,6.95
2021-09-05,6.95
2021-09-06,6.95
2021-09-07,6.95
2021-09-08,6.95
2021-09-09,6.95
2021-09-10,6.95
2021-09-11,6.95
2021-09-12,6.95
2021-09-13,6.95
2021-09-14,6.95
2021-09-15,6.95
2021-09-16,6.95
2021-09-17,6.95
2021-09-18,6.95
2021-09-19,6.95
2021-09-20,6.95
2021-09-21,6.95
2021-09-22,6.95
2021-09-23,6.95
2021-09-24,6.95
2021-09-25,6.95
2021-09-26,6.95
2021-09-27,6.95
2021-09-28,6.95
2021-09-29,6.95
2021-09-30,6.95
2021-10-01,6.95
2021-10-02,6.95
2021-10-03,6.95
2021-10-04,6.95
2021-10-05,6.95
2021-10-06,6.95
2021-10-07,6.95
2021-10-08,6.95
2021-10-09,6.95
2021-10-10,6.95
2021-10-11,6.95
2021-10-12,6.95
2021-10-13,6.915
2021-10-14,6.915
2021-10-15,6.915
2021-10-16,6.915
2021-10-17,6.915
2021-10-18,6.915
2021-10-19,6.915
2021-10-20,6.915
2021-10-21,6.915
2021-10-22,6.915
2021-10-23,6.915
2021-10-24,6.915
2021-10-25,6.915
2021-10-26,6.915
2021-10-27,6.915
2021-10-28,6.915
2021-10-29,6.915
2021-10-30,6.915
2021-10-31,6.915
2021-11-01,6.915
2021-11-02,6.915
2021-11-03,6.915
2021-11-04,6.915
2021-11-05,6.915
2021-11-06,6.915
2021-11-07,6.915
2021-11-08,7.07
2021-11-09,7.07
2021-11-10,7.07
2021-11-11,7.07
2021-11-12,7.07
2021-11-13,7.07
2021-11-14,7.07
2021-11-15,7.07
2021-11-16,7.07
2021-11-17,7.07
2021-11-18,7.07
2021-11-19,7.07
2021-11-20,7.07
2021-11-21,7.07
2021-11-22,7.07
2021-11-23,7.07
2021-11-24,7.07
2021-11-25,7.07
2021-11-26,7.07
2021-11-27,7.07
2021-11-28,7.07
2021-11-29,7.07
2021-11-30,7.07
2021-12-01,7.07
2021-12-02,7.07
2021-12-03,7.07
2021-12-04,7.07
2021-12-05,7.07
2021-12-06,7.07
2021-12-07,7.07
2021-12-08,7.07
2021-12-09,7.07
2021-12-10,7.07
2021-12-11,7.07
2021-12-12,7.07
2021-12-13,7.52
2021-12-14,7.52
2021-12-15,7.52
2021-12-16,7.52
2021-12-17,7.52
2021-12-18,7.52
2021-12-19,7.52
2021-12-20,7.52
2021-12-21,7.52
2021-12-22,7.52
2021-12-23,7.52
2021-12-24,7.52
2021-12-25,7.52
2021-12-26,7.52
2021-12-27,7.52
2021-12-28,7.52
2021-12-29,7.52
2021-12-30,7.52
2021-12-31,7.52
2022-01-01,7.52
2022-01-02,7.52
2022-01-03,7.52
2022-01-04,7.52
2022-01-05,7.52
2022-01-06,7.52
2022-01-07,7.52
2022-01-08,7.52
2022-01-09,7.52
2022-01-10,7.52
2022-01-11,7.52
2022-01-12,7.52
2022-01-13,7.52
2022-01-14,7.52
2022-01-15,7.52
2022-01-16,7.52
2022-01-17,7.52
2022-01-18,7.52
2022-01-19,7.52
2022-01-20,7.52
2022-01-21,7.52
2022-01-22,7.52
2022-01-23,7.52
2022-01-24,7.52
2022-01-25,7.52
2022-01-26,7.52
2022-01-27,7.52
2022-01-28,7.52
2022-01-29,7.52
2022-01-30,7.52
2022-01-31,7.52
2022-02-01,7.52
2022-02-02,7.52
2022-02-03,7.52
2022-02-04,7.52
2022-02-05,7.52
2022-02-06,7.52
2022-02-07,7.52
2022-02-08,7.52
2022-02-09,7.52
2022-02-10,7.52
2022-02-11,7.52
2022-02-12,7.52
2022-02-13,7.52
2022-02-14,7.17
2022-02-15,7.17
2022-02-16,7.17
2022-02-17,7.17
2022-02-18,7.17
2022-02-19,7.17
2022-02-20,7.17
2022-02-21,7.17
2022-02-22,7.17
2022-02-23,7.17
2022-02-24,7.17
2022-02-25,7.17
2022-02-26,7.17
2022-02-27,7.17
2022-02-28,7.17
2022-03-01,7.17
2022-03-02,7.17
2022-03-03,7.17
2022-03-04,7.17
2022-03-05,7.17
2022-03-06,7.17
2022-03-07,7.17
2022-03-08,7.17
2022-03-09,7.17
2022-03-10,7.17
2022-03-11,7.17
2022-03-12,7.17
2022-03-13,7.17
2022-03-14,7.17
2022-03-15,7.17
2022-03-16,7.17
2022-03-17,7.17
2022-03-18,7.17
2022-03-19,7.17
2022-03-20,7.17
2022-03-21,7.17
2022-03-22,7.17
2022-03-23,7.17
2022-03-24,7.17
2022-03-25,7.17
2022-03-26,7.17
2022-03-27,7.17
2022-03-28,7.305
2022-03-29,7.305
2022-03-30,7.305
2022-03-31,7.305
2022-04-01,7.187
2022-04-02,7.187
2022-04-03,7.187
2022-04-04,7.187
2022-04-05,7.187
2022-04-06,7.187
2022-04-07,7.187
2022-04-08,7.187
2022-04-09,7.187
2022-04-10,7.187
2022-04-11,7.187
2022-04-12,7.187
2022-04-13,7.187
2022-04-14,7.187
2022-04-15,7.187
2022-04-16,7.187
2022-04-17,7.187
2022-04-18,7.187
2022-04-19,7.187
2022-04-20,7.187
2022-04-21,7.187
2022-04-22,7.187
2022-04-23,7.187
2022-04-24,7.187
2022-04-25,7.187
2022-04-26,7.187
2022-04-27,7.187
2022-04-28,7.187
2022-04-29,7.187
2022-04-30,7.187
2022-05-01,7.187
2022-05-02,7.187
2022-05-03,7.187
2022-05-04,7.187
2022-05-05,7.187
2022-05-06,7.187
2022-05-07,7.187
2022-05-08,7.187
2022-05-09,7.187
2022-05-10,7.187
2022-05-11,7.187
2022-05-12,7.187
2022-05-13,7.187
2022-05-14,7.187
2022-05-15,7.187
2022-05-16,7.187
2022-05-17,7.187
2022-05-18,7.187
2022-05-19,7.187
2022-05-20,7.187
2022-05-21,7.187
2022-05-22,7.187
2022-05-23,7.187
2022-05-24,7.187
2022-05-25,7.187
2022-05-26,7.187
2022-05-27,7.187
2022-05-28,7.187
2022-05-29,7.187
2022-05-30,7.187
2022-05-31,7.187
2022-06-01,7.187
2022-06-02,7.187
2022-06-03,7.187
2022-06-04,7.187
2022-06-05,7.187
2022-06-06,7.187
2022-06-07,7.187
2022-06-08,7.187
2022-06-09,7.187
2022-06-10,7.187
2022-06-11,7.187
2022-06-12,7.187
2022-06-13,7.187
2022-06-14,7.187
2022-06-15,7.187
2022-06-16,7.187
2022-06-17,7.187
2022-06-18,7.187
2022-06-19,7.187
2022-06-20,7.187
2022-06-21,7.187
2022-06-22,7.187
2022-06-23,7.187
2022-06-24,7.187
2022-06-25,7.187
2022-06-26,7.187
2022-06-27,7.187
2022-06-28,7.187
2022-06-29,7.187
2022-06-30,7.187
2022-07-01,7.187
2022-07-02,7.187
2022-07-03,7.187
2022-07-04,7.187
2022-07-05,6.8
2022-07-06,6.8
2022-07-07,6.8
2022-07-08,6.8
2022-07-09,6.8
2022-07-10,6.8
2022-07-11,6.8
2022-07-12,6.8
2022-07-13,6.8
2022-07-14,6.775
2022-07-15,6.775
2022-07-16,6.775
2022-07-17,6.775
2022-07-18,6.775
2022-07-19,6.775
2022-07-20,6.775
2022-07-21,6.775
2022-07-22,6.775
2022-07-23,6.775
2022-07-24,6.775
2022-07-25,6.775
2022-07-26,6.775
2022-07-27,6.775
2022-07-28,6.775
2022-07-29,6.775
2022-07-30,6.775
2022-07-31,6.897
2022-08-01,6.897
2022-08-02,6.897
2022-08-03,6.897
2022-08-04,6.897
2022-08-05,7.008
2022-08-06,7.008
2022-08-07,6.86
2022-08-08,6.86
2022-08-09,6.86
2022-08-10,6.86
2022-08-11,6.86
2022-08-12,6.86
2022-08-13,6.86
2022-08-14,6.86
2022-08-15,6.86
2022-08-16,6.888
2022-08-17,6.888
2022-08-18,6.888
2022-08-19,6.888
2022-08-20,6.888
2022-08-21,6.888
2022-08-22,6.888
2022-08-23,6.888
2022-08-24,6.888
2022-08-25,6.888
2022-08-26,6.888
2022-08-27,6.888
2022-08-28,6.888
2022-08-29,6.888
2022-08-30,6.888
2022-08-31,6.888
2022-09-01,6.888
2022-09-02,6.888
2022-09-03,6.888
2022-09-04,6.888
2022-09-05,6.888
2022-09-06,6.888
2022-09-07,6.888
2022-09-08,6.888
2022-09-09,6.888
2022-09-10,6.888
2022-09-11,6.888
2022-09-12,6.888
2022-09-13,6.888
2022-09-14,6.888
2022-09-15,6.888
2022-09-16,6.888
2022-09-17,6.888
2022-09-18,6.888
2022-09-19,6.888
2022-09-20,6.888
2022-09-21,6.888
2022-09-22,6.888
2022-09-23,6.888
2022-09-24,6.888
2022-09-25,6.888
2022-09-26,6.888
2022-09-27,6.888
2022-09-28,6.888
2022-09-29,6.888
2022-09-30,6.888
2022-10-01,6.888
2022-10-02,6.888
2022-10-03,6.888
2022-10-04,6.888
2022-10-05,6.888
2022-10-06,6.888
2022-10-07,6.888
2022-10-08,6.888
2022-10-09,6.888
2022-10-10,6.858
2022-10-11,6.858
2022-10-12,6.858
2022-10-13,6.858
2022-10-14,6.858
2022-10-15,6.858
2022-10-16,6.87
2022-10-17,6.83
2022-10-18,6.83
2022-10-19,6.83
2022-10-20,6.83
2022-10-21,6.83
2022-10-22,6.83
2022-10-23,6.83
2022-10-24,6.83
2022-10-25,6.83
2022-10-26,6.83
2022-10-27,6.83
2022-10-28,6.83
2022-10-29,6.83
2022-10-30,6.83
2022-10-31,6.83
2022-11-01,6.83
2022-11-02,6.83
2022-11-03,6.83
2022-11-04,6.74
2022-11-05,6.74
2022-11-06,6.745
2022-11-07,6.869
2022-11-08,6.7
2022-11-09,6.7
2022-11-10,6.683
2022-11-11,6.683
2022-11-12,6.683
2022-11-13,6.683
2022-11-14,6.683
2022-11-15,6.683
2022-11-16,6.683
2022-11-17,6.683
2022-11-18,6.683
2022-11-19,6.683
2022-11-20,6.683
2022-11-21,6.682
2022-11-22,6.682
2022-11-23,6.682
2022-11-24,6.682
2022-11-25,6.682
2022-11-26,6.682
2022-11-27,6.682
2022-11-28,6.682
2022-11-29,6.682
2022-11-30,6.682
2022-12-01,6.682
2022-12-02,6.682
2022-12-03,6.682
2022-12-04,6.682
2022-12-05,6.682
2022-12-06,6.65
2022-12-07,6.65
2022-12-08,6.65
2022-12-09,6.65
2022-12-10,6.65
2022-12-11,6.65
2022-12-12,6.65
2022-12-13,6.65
2022-12-14,6.651
2022-12-15,6.651
2022-12-16,6.651
2022-12-17,6.651
2022-12-18,6.651
2022-12-19,6.651
2022-12-20,6.651
2022-12-21,6.651
2022-12-22,6.651
2022-12-23,6.651
2022-12-24,6.651
2022-12-25,6.651
2022-12-26,6.651
2022-12-27,6.651
2022-12-28,6.651
2022-12-29,6.651
2022-12-30,6.651
2022-12-31,6.651
2023-01-01,6.651
2023-01-02,6.651
2023-01-03,6.651
2023-01-04,6.651
2023-01-05,6.63
2023-01-06,6.636
2023-01-07,6.636
2023-01-08,6.636
2023-01-09,6.613
2023-01-10,6.613
2023-01-11,6.613
2023-01-12,6.613
2023-01-13,6.613
2023-01-14,6.613
2023-01-15,6.613
2023-01-16,6.613
2023-01-17,6.613
2023-01-18,6.613
2023-01-19,6.613
2023-01-20,6.613
2023-01-21,6.613
2023-01-22,6.613
2023-01-23,6.613
2023-01-24,6.613
2023-01-25,6.613
2023-01-26,6.613
2023-01-27,6.613
2023-01-28,6.613
2023-01-29,6.613
2023-01-30,6.613
2023-01-31,6.613
2023-02-01,6.613
2023-02-02,6.613
2023-02-03,6.613
2023-02-04,6.613
2023-02-05,6.613
2023-02-06,6.613
2023-02-07,6.613
2023-02-08,6.613
2023-02-09,6.613
2023-02-10,6.591
2023-02-11,6.591
2023-02-12,6.528
2023-02-13,6.56
2023-02-14,6.56
2023-02-15,6.56
2023-02-16,6.56
2023-02-17,6.56
2023-02-18,6.56
2023-02-19,6.56
2023-02-20,6.56
2023-02-21,6.56
2023-02-22,6.56
2023-02-23,6.56
2023-02-24,6.56
2023-02-25,6.56
2023-02-26,6.56
2023-02-27,6.56
2023-02-28,6.56
2023-03-01,6.56
2023-03-02,6.56
2023-03-03,6.56
2023-03-04,6.56
2023-03-05,6.56
2023-03-06,6.56
2023-03-07,6.56
2023-03-08,6.56
2023-03-09,6.56
2023-03-10,6.56
2023-03-11,6.56
2023-03-12,6.56
2023-03-13,6.56
2023-03-14,6.56
2023-03-15,6.56
2023-03-16,6.56
2023-03-17,6.56
2023-03-18,6.56
2023-03-19,6.56
2023-03-20,6.56
2023-03-21,6.56
2023-03-22,6.56
2023-03-23,6.56
2023-03-24,6.56
2023-03-25,6.56
2023-03-26,6.56
2023-03-27,6.56
2023-03-28,6.56
2023-03-29,6.56
2023-03-30,6.56
2023-03-31,6.56
2023-04-01,6.56
2023-04-02,6.56
2023-04-03,6.56
2023-04-04,6.56
2023-04-05,6.56
2023-04-06,6.56
2023-04-07,6.56
2023-04-08,6.56
2023-04-09,6.56
2023-04-10,6.561
2023-04-11,6.561
2023-04-12,6.561
2023-04-13,6.561
2023-04-14,6.561
2023-04-15,6.561
2023-04-16,6.549
2023-04-17,6.55
2023-04-18,6.55
2023-04-19,6.55
2023-04-20,6.55
2023-04-21,6.55
2023-04-22,6.55
2023-04-23,6.55
2023-04-24,6.55
2023-04-25,6.55
2023-04-26,6.55
2023-04-27,6.55
2023-04-28,6.55
2023-04-29,6.55
2023-04-30,6.55
2023-05-01,6.55
2023-05-02,6.55
2023-05-03,6.55
2023-05-04,6.55
2023-05-05,6.567
2023-05-06,6.567
2023-05-07,6.576
2023-05-08,6.574
2023-05-09,6.583
2023-05-10,6.583
2023-05-11,6.583
2023-05-12,6.583
2023-05-13,6.583
2023-05-14,6.583
2023-05-15,6.601
2023-05-16,6.601
2023-05-17,6.601
2023-05-18,6.601
2023-05-19,6.601
2023-05-20,6.601
2023-05-21,6.601
2023-05-22,6.601
2023-05-23,6.601
2023-05-24,6.601
2023-05-25,6.601
2023-05-26,6.581
2023-05-27,6.581
2023-05-28,6.581
2023-05-29,6.581
2023-05-30,6.581
2023-05-31,6.581
2023-06-01,6.581
2023-06-02,6.581
2023-06-03,6.581
2023-06-04,6.581
2023-06-05,6.581
2023-06-06,6.581
2023-06-07,6.581
2023-06-08,6.581
2023-06-09,6.581
2023-06-10,6.581
2023-06-11,6.581
2023-06-12,6.581
2023-06-13,6.581
2023-06-14,6.581
2023-06-15,6.581
2023-06-16,6.581
2023-06-17,6.581
2023-06-18,6.581
2023-06-19,6.581
2023-06-20,6.581
2023-06-21,6.581
2023-06-22,6.581
2023-06-23,6.581
2023-06-24,6.581
2023-06-25,6.581
2023-06-26,6.581
2023-06-27,6.581
2023-06-28,6.589
2023-06-29,6.589
2023-06-30,6.589
2023-07-01,6.589
2023-07-02,6.589
2023-07-03,6.589
2023-07-04,6.589
2023-07-05,6.589
2023-07-06,6.589
2023-07-07,6.589
2023-07-08,6.589
2023-07-09,6.589
2023-07-10,6.584
2023-07-11,6.58
2023-07-12,6.58
2023-07-13,6.58
2023-07-14,6.58
2023-07-15,6.58
2023-07-16,6.58
2023-07-17,6.58
2023-07-18,6.58
2023-07-19,6.58
2023-07-20,6.58
2023-07-21,6.58
2023-07-22,6.58
2023-07-23,6.58
2023-07-24,6.58
2023-07-25,6.58
2023-07-26,6.58
2023-07-27,6.58
2023-07-28,6.58
2023-07-29,6.58
2023-07-30,6.58
2023-07-31,6.58
2023-08-01,6.58
2023-08-02,6.58
2023-08-03,6.58
2023-08-04,6.663
2023-08-05,6.644
2023-08-06,6.698
2023-08-07,6.68
2023-08-08,6.68
2023-08-09,6.68
2023-08-10,6.68
2023-08-11,6.68
2023-08-12,6.68
2023-08-13,6.655
2023-08-14,6.655
2023-08-15,6.655
2023-08-16,6.655
2023-08-17,6.655
2023-08-18,6.655
2023-08-19,6.655
2023-08-20,6.655
2023-08-21,6.655
2023-08-22,6.655
2023-08-23,6.655
2023-08-24,6.655
2023-08-25,6.655
2023-08-26,6.655
2023-08-27,6.655
2023-08-28,6.655
2023-08-29,6.655
2023-08-30,6.655
2023-08-31,6.655
2023-09-01,6.655
2023-09-02,6.655
2023-09-03,6.655
