,EA US Equity
2021-04-16,8.113
2021-04-17,8.113
2021-04-18,8.113
2021-04-19,8.113
2021-04-20,8.113
2021-04-21,8.113
2021-04-22,8.113
2021-04-23,8.113
2021-04-24,8.113
2021-04-25,8.113
2021-04-26,8.113
2021-04-27,8.113
2021-04-28,8.113
2021-04-29,8.113
2021-04-30,8.113
2021-05-01,8.113
2021-05-02,8.113
2021-05-03,8.113
2021-05-04,8.113
2021-05-05,8.113
2021-05-06,8.113
2021-05-07,8.113
2021-05-08,8.113
2021-05-09,8.113
2021-05-10,8.543
2021-05-11,8.566
2021-05-12,8.444
2021-05-13,8.444
2021-05-14,8.719
2021-05-15,8.719
2021-05-16,8.719
2021-05-17,8.719
2021-05-18,8.719
2021-05-19,8.719
2021-05-20,8.719
2021-05-21,8.719
2021-05-22,8.719
2021-05-23,8.719
2021-05-24,8.719
2021-05-25,8.719
2021-05-26,8.719
2021-05-27,8.719
2021-05-28,8.719
2021-05-29,8.719
2021-05-30,8.719
2021-05-31,8.579
2021-06-01,8.719
2021-06-02,8.719
2021-06-03,8.719
2021-06-04,8.719
2021-06-05,8.719
2021-06-06,8.719
2021-06-07,8.719
2021-06-08,8.719
2021-06-09,8.719
2021-06-10,8.719
2021-06-11,8.719
2021-06-12,8.719
2021-06-13,8.719
2021-06-14,8.719
2021-06-15,8.719
2021-06-16,8.719
2021-06-17,8.719
2021-06-18,8.719
2021-06-19,8.719
2021-06-20,8.719
2021-06-21,8.719
2021-06-22,8.719
2021-06-23,8.719
2021-06-24,8.511
2021-06-25,8.511
2021-06-26,8.511
2021-06-27,8.511
2021-06-28,8.511
2021-06-29,8.511
2021-06-30,8.511
2021-07-01,8.351
2021-07-02,8.351
2021-07-03,8.351
2021-07-04,8.351
2021-07-05,8.351
2021-07-06,8.351
2021-07-07,8.351
2021-07-08,8.351
2021-07-09,8.351
2021-07-10,8.351
2021-07-11,8.351
2021-07-12,8.319
2021-07-13,8.319
2021-07-14,8.319
2021-07-15,8.319
2021-07-16,8.319
2021-07-17,8.319
2021-07-18,8.319
2021-07-19,8.414
2021-07-20,8.414
2021-07-21,8.46
2021-07-22,8.46
2021-07-23,8.46
2021-07-24,8.46
2021-07-25,8.46
2021-07-26,8.46
2021-07-27,8.46
2021-07-28,8.46
2021-07-29,8.46
2021-07-30,8.46
2021-07-31,8.46
2021-08-01,8.46
2021-08-02,8.467
2021-08-03,8.467
2021-08-04,8.408
2021-08-05,8.398
2021-08-06,8.386
2021-08-07,8.386
2021-08-08,8.386
2021-08-09,8.386
2021-08-10,8.386
2021-08-11,8.386
2021-08-12,8.386
2021-08-13,8.386
2021-08-14,8.335
2021-08-15,8.335
2021-08-16,8.386
2021-08-17,8.386
2021-08-18,8.386
2021-08-19,8.386
2021-08-20,8.386
2021-08-21,8.386
2021-08-22,8.386
2021-08-23,8.386
2021-08-24,8.386
2021-08-25,8.386
2021-08-26,8.386
2021-08-27,8.386
2021-08-28,8.386
2021-08-29,8.386
2021-08-30,8.386
2021-08-31,8.386
2021-09-01,8.386
2021-09-02,8.386
2021-09-03,8.386
2021-09-04,8.386
2021-09-05,8.386
2021-09-06,8.386
2021-09-07,8.386
2021-09-08,8.386
2021-09-09,8.386
2021-09-10,8.386
2021-09-11,8.386
2021-09-12,8.386
2021-09-13,8.386
2021-09-14,8.391
2021-09-15,8.391
2021-09-16,8.391
2021-09-17,8.431
2021-09-18,8.431
2021-09-19,8.431
2021-09-20,8.445
2021-09-21,8.445
2021-09-22,8.445
2021-09-23,8.445
2021-09-24,8.445
2021-09-25,8.445
2021-09-26,8.445
2021-09-27,8.445
2021-09-28,8.445
2021-09-29,8.445
2021-09-30,8.445
2021-10-01,8.445
2021-10-02,8.445
2021-10-03,8.445
2021-10-04,8.445
2021-10-05,8.445
2021-10-06,8.445
2021-10-07,8.445
2021-10-08,8.445
2021-10-09,8.445
2021-10-10,8.445
2021-10-11,8.445
2021-10-12,8.445
2021-10-13,8.445
2021-10-14,8.445
2021-10-15,8.445
2021-10-16,8.445
2021-10-17,8.445
2021-10-18,8.421
2021-10-19,8.421
2021-10-20,8.421
2021-10-21,8.421
2021-10-22,8.421
2021-10-23,8.421
2021-10-24,8.421
2021-10-25,8.421
2021-10-26,8.389
2021-10-27,8.389
2021-10-28,8.389
2021-10-29,8.389
2021-10-30,8.389
2021-10-31,8.38
2021-11-01,8.381
2021-11-02,8.381
2021-11-03,8.381
2021-11-04,8.531
2021-11-05,8.555
2021-11-06,8.555
2021-11-07,8.555
2021-11-08,8.557
2021-11-09,8.568
2021-11-10,8.568
2021-11-11,8.568
2021-11-12,8.576
2021-11-13,8.576
2021-11-14,8.576
2021-11-15,8.604
2021-11-16,8.604
2021-11-17,8.604
2021-11-18,8.604
2021-11-19,8.604
2021-11-20,8.604
2021-11-21,8.604
2021-11-22,8.57
2021-11-23,8.57
2021-11-24,8.57
2021-11-25,8.57
2021-11-26,8.57
2021-11-27,8.57
2021-11-28,8.57
2021-11-29,8.57
2021-11-30,8.57
2021-12-01,8.57
2021-12-02,8.543
2021-12-03,8.543
2021-12-04,8.543
2021-12-05,8.543
2021-12-06,8.543
2021-12-07,8.544
2021-12-08,8.537
2021-12-09,8.537
2021-12-10,8.537
2021-12-11,8.537
2021-12-12,8.537
2021-12-13,8.537
2021-12-14,8.537
2021-12-15,8.537
2021-12-16,8.537
2021-12-17,8.537
2021-12-18,8.537
2021-12-19,8.537
2021-12-20,8.537
2021-12-21,8.537
2021-12-22,8.537
2021-12-23,8.537
2021-12-24,8.537
2021-12-25,8.537
2021-12-26,8.537
2021-12-27,8.537
2021-12-28,8.537
2021-12-29,8.537
2021-12-30,8.537
2021-12-31,8.537
2022-01-01,8.537
2022-01-02,8.537
2022-01-03,8.537
2022-01-04,8.537
2022-01-05,8.537
2022-01-06,8.537
2022-01-07,8.537
2022-01-08,8.537
2022-01-09,8.537
2022-01-10,8.494
2022-01-11,8.499
2022-01-12,8.527
2022-01-13,8.527
2022-01-14,8.527
2022-01-15,8.527
2022-01-16,8.527
2022-01-17,8.527
2022-01-18,8.527
2022-01-19,8.516
2022-01-20,8.516
2022-01-21,8.516
2022-01-22,8.516
2022-01-23,8.516
2022-01-24,8.295
2022-01-25,8.295
2022-01-26,8.295
2022-01-27,8.295
2022-01-28,8.295
2022-01-29,8.295
2022-01-30,8.295
2022-01-31,8.235
2022-02-01,8.21
2022-02-02,8.242
2022-02-03,8.25
2022-02-04,8.25
2022-02-05,8.25
2022-02-06,8.25
2022-02-07,8.246
2022-02-08,8.246
2022-02-09,8.246
2022-02-10,8.246
2022-02-11,8.246
2022-02-12,8.246
2022-02-13,8.246
2022-02-14,8.246
2022-02-15,8.246
2022-02-16,8.246
2022-02-17,8.246
2022-02-18,8.246
2022-02-19,8.246
2022-02-20,8.246
2022-02-21,8.246
2022-02-22,8.246
2022-02-23,8.246
2022-02-24,8.246
2022-02-25,8.246
2022-02-26,8.246
2022-02-27,8.246
2022-02-28,8.246
2022-03-01,8.246
2022-03-02,8.246
2022-03-03,8.246
2022-03-04,8.246
2022-03-05,8.246
2022-03-06,8.246
2022-03-07,8.246
2022-03-08,8.246
2022-03-09,8.22
2022-03-10,8.22
2022-03-11,8.22
2022-03-12,8.22
2022-03-13,8.22
2022-03-14,8.22
2022-03-15,8.22
2022-03-16,8.22
2022-03-17,8.22
2022-03-18,8.22
2022-03-19,8.22
2022-03-20,8.22
2022-03-21,8.22
2022-03-22,8.22
2022-03-23,8.22
2022-03-24,8.22
2022-03-25,8.22
2022-03-26,8.22
2022-03-27,8.22
2022-03-28,8.22
2022-03-29,8.22
2022-03-30,8.204
2022-03-31,8.204
2022-04-01,8.204
2022-04-02,8.204
2022-04-03,8.204
2022-04-04,8.204
2022-04-05,8.204
2022-04-06,8.204
2022-04-07,8.204
2022-04-08,8.204
2022-04-09,8.204
2022-04-10,8.204
2022-04-11,8.204
2022-04-12,8.204
2022-04-13,8.204
2022-04-14,8.19
2022-04-15,8.19
2022-04-16,8.19
2022-04-17,8.19
2022-04-18,8.19
2022-04-19,8.189
2022-04-20,8.189
2022-04-21,8.11
2022-04-22,8.154
2022-04-23,8.154
2022-04-24,8.126
2022-04-25,8.126
2022-04-26,8.126
2022-04-27,8.126
2022-04-28,8.126
2022-04-29,8.126
2022-04-30,8.126
2022-05-01,8.126
2022-05-02,8.126
2022-05-03,8.126
2022-05-04,8.126
2022-05-05,8.121
2022-05-06,8.121
2022-05-07,8.121
2022-05-08,8.121
2022-05-09,8.106
2022-05-10,8.09
2022-05-11,8.007
2022-05-12,7.996
2022-05-13,7.983
2022-05-14,7.983
2022-05-15,7.983
2022-05-16,7.983
2022-05-17,7.983
2022-05-18,7.983
2022-05-19,7.983
2022-05-20,7.983
2022-05-21,7.983
2022-05-22,7.983
2022-05-23,7.983
2022-05-24,7.983
2022-05-25,7.931
2022-05-26,7.954
2022-05-27,7.954
2022-05-28,7.954
2022-05-29,7.954
2022-05-30,7.954
2022-05-31,7.925
2022-06-01,7.925
2022-06-02,7.925
2022-06-03,7.925
2022-06-04,7.925
2022-06-05,7.925
2022-06-06,7.925
2022-06-07,7.925
2022-06-08,7.925
2022-06-09,8.055
2022-06-10,8.058
2022-06-11,8.058
2022-06-12,8.051
2022-06-13,8.051
2022-06-14,8.051
2022-06-15,8.051
2022-06-16,8.051
2022-06-17,8.051
2022-06-18,8.051
2022-06-19,8.051
2022-06-20,8.051
2022-06-21,8.051
2022-06-22,8.051
2022-06-23,8.051
2022-06-24,8.051
2022-06-25,8.051
2022-06-26,8.051
2022-06-27,8.051
2022-06-28,8.051
2022-06-29,8.051
2022-06-30,8.051
2022-07-01,8.051
2022-07-02,8.051
2022-07-03,8.051
2022-07-04,8.051
2022-07-05,8.051
2022-07-06,8.051
2022-07-07,8.031
2022-07-08,8.031
2022-07-09,8.031
2022-07-10,8.031
2022-07-11,8.031
2022-07-12,8.031
2022-07-13,8.031
2022-07-14,8.031
2022-07-15,8.031
2022-07-16,7.903
2022-07-17,7.903
2022-07-18,7.897
2022-07-19,7.907
2022-07-20,7.907
2022-07-21,7.907
2022-07-22,7.932
2022-07-23,7.932
2022-07-24,7.932
2022-07-25,7.932
2022-07-26,7.932
2022-07-27,7.919
2022-07-28,7.919
2022-07-29,7.919
2022-07-30,7.919
2022-07-31,7.901
2022-08-01,7.888
2022-08-02,7.879
2022-08-03,7.915
2022-08-04,7.784
2022-08-05,7.763
2022-08-06,7.763
2022-08-07,7.763
2022-08-08,7.756
2022-08-09,7.756
2022-08-10,7.756
2022-08-11,7.756
2022-08-12,7.756
2022-08-13,7.756
2022-08-14,7.756
2022-08-15,7.756
2022-08-16,7.756
2022-08-17,7.756
2022-08-18,7.756
2022-08-19,7.756
2022-08-20,7.756
2022-08-21,7.756
2022-08-22,7.756
2022-08-23,7.756
2022-08-24,7.756
2022-08-25,7.756
2022-08-26,7.756
2022-08-27,7.756
2022-08-28,7.756
2022-08-29,7.756
2022-08-30,7.756
2022-08-31,7.756
2022-09-01,7.756
2022-09-02,7.756
2022-09-03,7.756
2022-09-04,7.756
2022-09-05,7.756
2022-09-06,7.727
2022-09-07,7.709
2022-09-08,7.709
2022-09-09,7.709
2022-09-10,7.709
2022-09-11,7.709
2022-09-12,7.709
2022-09-13,7.719
2022-09-14,7.719
2022-09-15,7.71
2022-09-16,7.71
2022-09-17,7.71
2022-09-18,7.71
2022-09-19,7.71
2022-09-20,7.71
2022-09-21,7.71
2022-09-22,7.71
2022-09-23,7.71
2022-09-24,7.71
2022-09-25,7.71
2022-09-26,7.71
2022-09-27,7.71
2022-09-28,7.71
2022-09-29,7.71
2022-09-30,7.71
2022-10-01,7.71
2022-10-02,7.71
2022-10-03,7.71
2022-10-04,7.71
2022-10-05,7.71
2022-10-06,7.71
2022-10-07,7.71
2022-10-08,7.71
2022-10-09,7.71
2022-10-10,7.712
2022-10-11,7.712
2022-10-12,7.712
2022-10-13,7.712
2022-10-14,7.712
2022-10-15,7.712
2022-10-16,7.712
2022-10-17,7.712
2022-10-18,7.707
2022-10-19,7.707
2022-10-20,7.707
2022-10-21,7.706
2022-10-22,7.706
2022-10-23,7.693
2022-10-24,7.692
2022-10-25,7.728
2022-10-26,7.728
2022-10-27,7.726
2022-10-28,7.726
2022-10-29,7.726
2022-10-30,7.726
2022-10-31,7.726
2022-11-01,7.678
2022-11-02,7.826
2022-11-03,7.828
2022-11-04,7.842
2022-11-05,7.842
2022-11-06,7.842
2022-11-07,7.844
2022-11-08,7.834
2022-11-09,7.834
2022-11-10,7.834
2022-11-11,7.834
2022-11-12,7.834
2022-11-13,7.834
2022-11-14,7.83
2022-11-15,7.83
2022-11-16,7.83
2022-11-17,7.83
2022-11-18,7.83
2022-11-19,7.83
2022-11-20,7.83
2022-11-21,7.83
2022-11-22,7.83
2022-11-23,7.83
2022-11-24,7.83
2022-11-25,7.83
2022-11-26,7.83
2022-11-27,7.83
2022-11-28,7.83
2022-11-29,7.83
2022-11-30,7.83
2022-12-01,7.83
2022-12-02,7.83
2022-12-03,7.83
2022-12-04,7.83
2022-12-05,7.83
2022-12-06,7.83
2022-12-07,7.83
2022-12-08,7.83
2022-12-09,7.83
2022-12-10,7.83
2022-12-11,7.83
2022-12-12,7.83
2022-12-13,7.83
2022-12-14,7.83
2022-12-15,7.83
2022-12-16,7.83
2022-12-17,7.83
2022-12-18,7.836
2022-12-19,7.836
2022-12-20,7.836
2022-12-21,7.836
2022-12-22,7.836
2022-12-23,7.836
2022-12-24,7.836
2022-12-25,7.836
2022-12-26,7.836
2022-12-27,7.836
2022-12-28,7.836
2022-12-29,7.836
2022-12-30,7.836
2022-12-31,7.836
2023-01-01,7.836
2023-01-02,7.836
2023-01-03,7.836
2023-01-04,7.836
2023-01-05,7.836
2023-01-06,7.836
2023-01-07,7.836
2023-01-08,7.836
2023-01-09,7.836
2023-01-10,7.836
2023-01-11,7.836
2023-01-12,7.835
2023-01-13,7.835
2023-01-14,7.835
2023-01-15,7.835
2023-01-16,7.835
2023-01-17,7.771
2023-01-18,7.758
2023-01-19,7.76
2023-01-20,7.76
2023-01-21,7.773
2023-01-22,7.773
2023-01-23,7.76
2023-01-24,7.764
2023-01-25,7.764
2023-01-26,7.761
2023-01-27,7.697
2023-01-28,7.697
2023-01-29,7.706
2023-01-30,7.706
2023-01-31,7.295
2023-02-01,6.858
2023-02-02,6.799
2023-02-03,6.799
2023-02-04,6.799
2023-02-05,6.799
2023-02-06,6.783
2023-02-07,6.783
2023-02-08,6.75
2023-02-09,6.75
2023-02-10,6.75
2023-02-11,6.75
2023-02-12,6.75
2023-02-13,6.75
2023-02-14,6.75
2023-02-15,6.513
2023-02-16,6.52
2023-02-17,6.52
2023-02-18,6.52
2023-02-19,6.52
2023-02-20,6.516
2023-02-21,6.516
2023-02-22,6.516
2023-02-23,6.516
2023-02-24,6.516
2023-02-25,6.516
2023-02-26,6.516
2023-02-27,6.516
2023-02-28,6.516
2023-03-01,6.516
2023-03-02,6.516
2023-03-03,6.516
2023-03-04,6.516
2023-03-05,6.516
2023-03-06,6.516
2023-03-07,6.516
2023-03-08,6.516
2023-03-09,6.516
2023-03-10,6.516
2023-03-11,6.516
2023-03-12,6.516
2023-03-13,6.516
2023-03-14,6.516
2023-03-15,6.516
2023-03-16,6.516
2023-03-17,6.516
2023-03-18,6.516
2023-03-19,6.516
2023-03-20,6.516
2023-03-21,6.516
2023-03-22,6.516
2023-03-23,6.516
2023-03-24,6.516
2023-03-25,6.516
2023-03-26,6.516
2023-03-27,6.516
2023-03-28,6.516
2023-03-29,6.518
2023-03-30,6.528
2023-03-31,6.528
2023-04-01,6.528
2023-04-02,6.528
2023-04-03,6.528
2023-04-04,6.528
2023-04-05,6.528
2023-04-06,6.528
2023-04-07,6.528
2023-04-08,6.53
2023-04-09,6.53
2023-04-10,6.53
2023-04-11,6.53
2023-04-12,6.532
2023-04-13,6.532
2023-04-14,6.532
2023-04-15,6.532
2023-04-16,6.532
2023-04-17,6.532
2023-04-18,6.532
2023-04-19,6.532
2023-04-20,6.534
2023-04-21,6.534
2023-04-22,6.534
2023-04-23,6.534
2023-04-24,6.534
2023-04-25,6.539
2023-04-26,6.539
2023-04-27,6.539
2023-04-28,6.539
2023-04-29,6.539
2023-04-30,6.539
2023-05-01,6.555
2023-05-02,6.555
2023-05-03,6.545
2023-05-04,6.545
2023-05-05,6.545
2023-05-06,6.545
2023-05-07,6.545
2023-05-08,6.545
2023-05-09,6.633
2023-05-10,6.739
2023-05-11,6.717
2023-05-12,6.717
2023-05-13,6.717
2023-05-14,6.717
2023-05-15,6.724
2023-05-16,6.733
2023-05-17,6.733
2023-05-18,6.733
2023-05-19,6.733
2023-05-20,6.746
2023-05-21,6.746
2023-05-22,6.746
2023-05-23,6.746
2023-05-24,6.746
2023-05-25,6.746
2023-05-26,6.746
2023-05-27,6.746
2023-05-28,6.746
2023-05-29,6.746
2023-05-30,6.746
2023-05-31,6.746
2023-06-01,6.746
2023-06-02,6.746
2023-06-03,6.746
2023-06-04,6.746
2023-06-05,6.746
2023-06-06,6.746
2023-06-07,6.764
2023-06-08,6.764
2023-06-09,6.76
2023-06-10,6.76
2023-06-11,6.76
2023-06-12,6.76
2023-06-13,6.76
2023-06-14,6.76
2023-06-15,6.76
2023-06-16,6.76
2023-06-17,6.76
2023-06-18,6.76
2023-06-19,6.76
2023-06-20,6.76
2023-06-21,6.76
2023-06-22,6.76
2023-06-23,6.76
2023-06-24,6.76
2023-06-25,6.76
2023-06-26,6.76
2023-06-27,6.76
2023-06-28,6.76
2023-06-29,6.778
2023-06-30,6.778
2023-07-01,6.778
2023-07-02,6.778
2023-07-03,6.778
2023-07-04,6.778
2023-07-05,6.778
2023-07-06,6.778
2023-07-07,6.778
2023-07-08,6.778
2023-07-09,6.778
2023-07-10,6.778
2023-07-11,6.778
2023-07-12,6.778
2023-07-13,6.854
2023-07-14,6.854
2023-07-15,6.854
2023-07-16,6.854
2023-07-17,6.864
2023-07-18,6.864
2023-07-19,6.864
