,AEO US Equity
2021-04-19,2.14
2021-04-20,2.14
2021-04-21,2.14
2021-04-22,2.14
2021-04-23,2.14
2021-04-24,2.14
2021-04-25,2.14
2021-04-26,2.14
2021-04-27,2.14
2021-04-28,2.14
2021-04-29,2.14
2021-04-30,2.14
2021-05-01,2.14
2021-05-02,2.14
2021-05-03,2.14
2021-05-04,2.14
2021-05-05,2.14
2021-05-06,2.14
2021-05-07,2.14
2021-05-08,2.14
2021-05-09,2.14
2021-05-10,2.14
2021-05-11,2.14
2021-05-12,2.14
2021-05-13,2.14
2021-05-14,2.14
2021-05-15,2.14
2021-05-16,2.14
2021-05-17,2.14
2021-05-18,2.14
2021-05-19,2.14
2021-05-20,2.14
2021-05-21,2.14
2021-05-22,2.14
2021-05-23,2.14
2021-05-24,2.14
2021-05-25,2.14
2021-05-26,2.14
2021-05-27,2.26
2021-05-28,2.26
2021-05-29,2.26
2021-05-30,2.26
2021-05-31,2.26
2021-06-01,3.05
2021-06-02,3.05
2021-06-03,3.05
2021-06-04,3.05
2021-06-05,3.05
2021-06-06,3.05
2021-06-07,3.05
2021-06-08,3.05
2021-06-09,3.05
2021-06-10,3.05
2021-06-11,3.05
2021-06-12,3.05
2021-06-13,3.05
2021-06-14,3.05
2021-06-15,3.05
2021-06-16,3.05
2021-06-17,3.05
2021-06-18,3.05
2021-06-19,3.05
2021-06-20,3.05
2021-06-21,3.05
2021-06-22,3.05
2021-06-23,3.05
2021-06-24,3.05
2021-06-25,3.05
2021-06-26,3.05
2021-06-27,3.05
2021-06-28,3.05
2021-06-29,3.05
2021-06-30,3.05
2021-07-01,3.05
2021-07-02,3.05
2021-07-03,3.05
2021-07-04,3.05
2021-07-05,3.05
2021-07-06,3.05
2021-07-07,3.05
2021-07-08,3.05
2021-07-09,3.05
2021-07-10,3.05
2021-07-11,3.05
2021-07-12,3.05
2021-07-13,3.05
2021-07-14,3.05
2021-07-15,3.05
2021-07-16,3.05
2021-07-17,3.05
2021-07-18,3.05
2021-07-19,3.05
2021-07-20,2.925
2021-07-21,2.925
2021-07-22,2.925
2021-07-23,2.925
2021-07-24,2.925
2021-07-25,2.925
2021-07-26,2.925
2021-07-27,2.925
2021-07-28,2.925
2021-07-29,2.925
2021-07-30,2.925
2021-07-31,2.925
2021-08-01,2.925
2021-08-02,2.925
2021-08-03,2.925
2021-08-04,2.925
2021-08-05,3.105
2021-08-06,3.105
2021-08-07,3.105
2021-08-08,3.105
2021-08-09,3.105
2021-08-10,3.105
2021-08-11,3.105
2021-08-12,3.105
2021-08-13,3.105
2021-08-14,3.105
2021-08-15,3.105
2021-08-16,3.105
2021-08-17,3.105
2021-08-18,3.105
2021-08-19,3.105
2021-08-20,3.105
2021-08-21,3.105
2021-08-22,3.105
2021-08-23,3.105
2021-08-24,3.105
2021-08-25,3.105
2021-08-26,3.105
2021-08-27,3.105
2021-08-28,3.105
2021-08-29,3.105
2021-08-30,3.105
2021-08-31,3.105
2021-09-01,3.105
2021-09-02,3.04
2021-09-03,3.04
2021-09-04,3.04
2021-09-05,3.04
2021-09-06,3.04
2021-09-07,3.28
2021-09-08,3.28
2021-09-09,3.28
2021-09-10,3.28
2021-09-11,3.28
2021-09-12,3.28
2021-09-13,3.28
2021-09-14,3.28
2021-09-15,3.28
2021-09-16,3.28
2021-09-17,3.28
2021-09-18,3.28
2021-09-19,3.28
2021-09-20,3.28
2021-09-21,3.28
2021-09-22,3.28
2021-09-23,3.28
2021-09-24,3.28
2021-09-25,3.28
2021-09-26,3.28
2021-09-27,3.28
2021-09-28,3.28
2021-09-29,3.28
2021-09-30,3.28
2021-10-01,3.28
2021-10-02,3.28
2021-10-03,3.28
2021-10-04,3.28
2021-10-05,3.28
2021-10-06,3.28
2021-10-07,3.28
2021-10-08,3.28
2021-10-09,3.28
2021-10-10,3.28
2021-10-11,3.28
2021-10-12,3.28
2021-10-13,3.28
2021-10-14,3.28
2021-10-15,3.28
2021-10-16,3.28
2021-10-17,3.28
2021-10-18,3.28
2021-10-19,3.28
2021-10-20,3.28
2021-10-21,3.28
2021-10-22,3.28
2021-10-23,3.28
2021-10-24,3.28
2021-10-25,3.28
2021-10-26,3.28
2021-10-27,3.28
2021-10-28,3.28
2021-10-29,3.28
2021-10-30,3.28
2021-10-31,3.28
2021-11-01,3.28
2021-11-02,3.28
2021-11-03,3.28
2021-11-04,3.28
2021-11-05,3.28
2021-11-06,3.28
2021-11-07,3.28
2021-11-08,3.28
2021-11-09,3.28
2021-11-10,3.28
2021-11-11,3.28
2021-11-12,3.28
2021-11-13,3.28
2021-11-14,3.28
2021-11-15,3.28
2021-11-16,3.28
2021-11-17,3.28
2021-11-18,3.28
2021-11-19,3.28
2021-11-20,3.28
2021-11-21,3.28
2021-11-22,3.28
2021-11-23,2.42
2021-11-24,2.435
2021-11-25,2.435
2021-11-26,2.435
2021-11-27,2.435
2021-11-28,2.435
2021-11-29,2.435
2021-11-30,2.435
2021-12-01,2.435
2021-12-02,2.435
2021-12-03,2.435
2021-12-04,2.435
2021-12-05,2.435
2021-12-06,2.435
2021-12-07,2.435
2021-12-08,2.435
2021-12-09,2.435
2021-12-10,2.435
2021-12-11,2.435
2021-12-12,2.435
2021-12-13,2.435
2021-12-14,2.435
2021-12-15,2.435
2021-12-16,2.435
2021-12-17,2.435
2021-12-18,2.435
2021-12-19,2.435
2021-12-20,2.435
2021-12-21,2.435
2021-12-22,2.435
2021-12-23,2.435
2021-12-24,2.435
2021-12-25,2.435
2021-12-26,2.435
2021-12-27,2.435
2021-12-28,2.435
2021-12-29,2.435
2021-12-30,2.435
2021-12-31,2.435
2022-01-01,2.435
2022-01-02,2.435
2022-01-03,2.435
2022-01-04,2.435
2022-01-05,2.435
2022-01-06,2.435
2022-01-07,2.435
2022-01-08,2.435
2022-01-09,2.435
2022-01-10,2.435
2022-01-11,2.435
2022-01-12,2.435
2022-01-13,2.35
2022-01-14,2.35
2022-01-15,2.35
2022-01-16,2.35
2022-01-17,2.35
2022-01-18,2.35
2022-01-19,2.35
2022-01-20,2.35
2022-01-21,2.35
2022-01-22,2.35
2022-01-23,2.35
2022-01-24,2.35
2022-01-25,2.35
2022-01-26,2.35
2022-01-27,2.35
2022-01-28,2.35
2022-01-29,2.35
2022-01-30,2.35
2022-01-31,2.35
2022-02-01,2.35
2022-02-02,2.35
2022-02-03,2.35
2022-02-04,2.35
2022-02-05,2.35
2022-02-06,2.71
2022-02-07,2.71
2022-02-08,2.71
2022-02-09,2.71
2022-02-10,2.71
2022-02-11,2.71
2022-02-12,2.71
2022-02-13,2.71
2022-02-14,2.71
2022-02-15,2.71
2022-02-16,2.71
2022-02-17,2.71
2022-02-18,2.747
2022-02-19,2.747
2022-02-20,2.747
2022-02-21,2.747
2022-02-22,2.747
2022-02-23,2.747
2022-02-24,2.747
2022-02-25,2.747
2022-02-26,2.747
2022-02-27,2.747
2022-02-28,2.747
2022-03-01,2.747
2022-03-02,2.813
2022-03-03,2.417
2022-03-04,2.755
2022-03-05,2.755
2022-03-06,2.755
2022-03-07,2.755
2022-03-08,2.755
2022-03-09,2.755
2022-03-10,2.755
2022-03-11,2.755
2022-03-12,2.755
2022-03-13,2.755
2022-03-14,2.755
2022-03-15,2.755
2022-03-16,2.755
2022-03-17,2.755
2022-03-18,2.755
2022-03-19,2.755
2022-03-20,2.755
2022-03-21,2.755
2022-03-22,2.755
2022-03-23,2.755
2022-03-24,2.755
2022-03-25,2.755
2022-03-26,2.755
2022-03-27,2.755
2022-03-28,2.755
2022-03-29,2.755
2022-03-30,2.755
2022-03-31,2.755
2022-04-01,2.734
2022-04-02,2.734
2022-04-03,2.734
2022-04-04,2.734
2022-04-05,2.734
2022-04-06,2.734
2022-04-07,2.734
2022-04-08,2.734
2022-04-09,2.734
2022-04-10,2.734
2022-04-11,2.734
2022-04-12,2.734
2022-04-13,2.734
2022-04-14,2.734
2022-04-15,2.734
2022-04-16,2.734
2022-04-17,2.734
2022-04-18,2.734
2022-04-19,2.734
2022-04-20,2.734
2022-04-21,2.734
2022-04-22,2.734
2022-04-23,2.734
2022-04-24,2.734
2022-04-25,2.734
2022-04-26,2.734
2022-04-27,2.734
2022-04-28,2.734
2022-04-29,2.734
2022-04-30,2.734
2022-05-01,2.734
2022-05-02,2.734
2022-05-03,2.734
2022-05-04,2.734
2022-05-05,2.71
2022-05-06,2.71
2022-05-07,2.71
2022-05-08,2.71
2022-05-09,2.708
2022-05-10,2.708
2022-05-11,2.708
2022-05-12,2.708
2022-05-13,2.708
2022-05-14,2.708
2022-05-15,2.708
2022-05-16,2.708
2022-05-17,2.708
2022-05-18,2.688
2022-05-19,2.688
2022-05-20,2.688
2022-05-21,2.688
2022-05-22,2.688
2022-05-23,2.688
2022-05-24,2.334
2022-05-25,2.334
2022-05-26,2.228
2022-05-27,1.962
2022-05-28,1.972
2022-05-29,1.972
2022-05-30,1.782
2022-05-31,1.682
2022-06-01,1.682
2022-06-02,1.682
2022-06-03,1.682
2022-06-04,1.69
2022-06-05,1.69
2022-06-06,1.69
2022-06-07,1.69
2022-06-08,1.69
2022-06-09,1.69
2022-06-10,1.69
2022-06-11,1.69
2022-06-12,1.69
2022-06-13,1.69
2022-06-14,1.69
2022-06-15,1.69
2022-06-16,1.69
2022-06-17,1.69
2022-06-18,1.69
2022-06-19,1.69
2022-06-20,1.69
2022-06-21,1.69
2022-06-22,1.69
2022-06-23,1.69
2022-06-24,1.707
2022-06-25,1.707
2022-06-26,1.707
2022-06-27,1.707
2022-06-28,1.707
2022-06-29,1.707
2022-06-30,1.707
2022-07-01,1.707
2022-07-02,1.707
2022-07-03,1.707
2022-07-04,1.707
2022-07-05,1.707
2022-07-06,1.707
2022-07-07,1.707
2022-07-08,1.707
2022-07-09,1.707
2022-07-10,1.707
2022-07-11,1.707
2022-07-12,1.666
2022-07-13,1.666
2022-07-14,1.666
2022-07-15,1.594
2022-07-16,1.594
2022-07-17,1.594
2022-07-18,1.594
2022-07-19,1.594
2022-07-20,1.594
2022-07-21,1.594
2022-07-22,1.594
2022-07-23,1.594
2022-07-24,1.594
2022-07-25,1.623
2022-07-26,1.623
2022-07-27,1.623
2022-07-28,1.623
2022-07-29,1.623
2022-07-30,1.623
2022-07-31,1.623
2022-08-01,1.623
2022-08-02,1.623
2022-08-03,1.623
2022-08-04,1.623
2022-08-05,1.623
2022-08-06,1.623
2022-08-07,1.529
2022-08-08,1.529
2022-08-09,1.529
2022-08-10,1.529
2022-08-11,1.529
2022-08-12,1.529
2022-08-13,1.529
2022-08-14,1.529
2022-08-15,1.529
2022-08-16,1.467
2022-08-17,1.467
2022-08-18,1.467
2022-08-19,1.467
2022-08-20,1.467
2022-08-21,1.467
2022-08-22,1.467
2022-08-23,1.467
2022-08-24,1.467
2022-08-25,1.467
2022-08-26,1.467
2022-08-27,1.467
2022-08-28,1.467
2022-08-29,1.46
2022-08-30,1.46
2022-08-31,1.46
2022-09-01,1.46
2022-09-02,1.46
2022-09-03,1.46
2022-09-04,1.46
2022-09-05,1.46
2022-09-06,1.46
2022-09-07,1.409
2022-09-08,1.384
2022-09-09,1.333
2022-09-10,1.333
2022-09-11,1.333
2022-09-12,1.31
2022-09-13,1.31
2022-09-14,1.31
2022-09-15,1.31
2022-09-16,1.284
2022-09-17,1.284
2022-09-18,1.284
2022-09-19,1.284
2022-09-20,1.284
2022-09-21,1.251
2022-09-22,1.251
2022-09-23,1.251
2022-09-24,1.251
2022-09-25,1.251
2022-09-26,1.251
2022-09-27,1.251
2022-09-28,1.251
2022-09-29,1.251
2022-09-30,1.251
2022-10-01,1.251
2022-10-02,1.251
2022-10-03,1.251
2022-10-04,1.251
2022-10-05,1.251
2022-10-06,1.251
2022-10-07,1.251
2022-10-08,1.251
2022-10-09,1.251
2022-10-10,1.251
2022-10-11,1.251
2022-10-12,1.251
2022-10-13,1.251
2022-10-14,1.251
2022-10-15,1.251
2022-10-16,1.251
2022-10-17,1.251
2022-10-18,1.251
2022-10-19,1.251
2022-10-20,1.251
2022-10-21,1.251
2022-10-22,1.251
2022-10-23,1.251
2022-10-24,1.251
2022-10-25,1.251
2022-10-26,1.251
2022-10-27,1.251
2022-10-28,1.251
2022-10-29,1.251
2022-10-30,1.251
2022-10-31,1.251
2022-11-01,1.251
2022-11-02,1.251
2022-11-03,1.251
2022-11-04,1.251
2022-11-05,1.251
2022-11-06,1.251
2022-11-07,1.251
2022-11-08,1.251
2022-11-09,1.251
2022-11-10,1.251
2022-11-11,1.251
2022-11-12,1.251
2022-11-13,1.251
2022-11-14,1.25
2022-11-15,1.25
2022-11-16,1.25
2022-11-17,1.25
2022-11-18,1.25
2022-11-19,1.25
2022-11-20,1.25
2022-11-21,1.25
2022-11-22,1.256
2022-11-23,1.33
2022-11-24,1.33
2022-11-25,1.33
2022-11-26,1.33
2022-11-27,1.33
2022-11-28,1.419
2022-11-29,1.419
2022-11-30,1.419
2022-12-01,1.419
2022-12-02,1.419
2022-12-03,1.419
2022-12-04,1.419
2022-12-05,1.419
2022-12-06,1.346
2022-12-07,1.346
2022-12-08,1.346
2022-12-09,1.346
2022-12-10,1.346
2022-12-11,1.346
2022-12-12,1.346
2022-12-13,1.346
2022-12-14,1.346
2022-12-15,1.346
2022-12-16,1.346
2022-12-17,1.346
2022-12-18,1.346
2022-12-19,1.346
2022-12-20,1.346
2022-12-21,1.346
2022-12-22,1.346
2022-12-23,1.346
2022-12-24,1.346
2022-12-25,1.346
2022-12-26,1.346
2022-12-27,1.346
2022-12-28,1.346
2022-12-29,1.346
2022-12-30,1.346
2022-12-31,1.346
2023-01-01,1.346
2023-01-02,1.346
2023-01-03,1.315
2023-01-04,1.31
2023-01-05,1.298
2023-01-06,1.298
2023-01-07,1.298
2023-01-08,1.298
2023-01-09,1.295
2023-01-10,1.299
2023-01-11,1.299
2023-01-12,1.29
2023-01-13,1.29
2023-01-14,1.29
2023-01-15,1.29
2023-01-16,1.29
2023-01-17,1.29
2023-01-18,1.29
2023-01-19,1.29
2023-01-20,1.29
2023-01-21,1.29
2023-01-22,1.29
2023-01-23,1.325
2023-01-24,1.325
2023-01-25,1.325
2023-01-26,1.325
2023-01-27,1.325
2023-01-28,1.325
2023-01-29,1.325
2023-01-30,1.325
2023-01-31,1.325
2023-02-01,1.325
2023-02-02,1.325
2023-02-03,1.325
2023-02-04,1.325
2023-02-05,1.325
2023-02-06,1.325
2023-02-07,1.331
2023-02-08,1.331
2023-02-09,1.331
2023-02-10,1.331
2023-02-11,1.331
2023-02-12,1.331
2023-02-13,1.331
2023-02-14,1.331
2023-02-15,1.331
2023-02-16,1.331
2023-02-17,1.331
2023-02-18,1.331
2023-02-19,1.331
2023-02-20,1.331
2023-02-21,1.331
2023-02-22,1.331
2023-02-23,1.331
2023-02-24,1.331
2023-02-25,1.331
2023-02-26,1.331
2023-02-27,1.331
2023-02-28,1.331
2023-03-01,1.285
2023-03-02,1.259
2023-03-03,1.259
2023-03-04,1.259
2023-03-05,1.259
2023-03-06,1.259
2023-03-07,1.259
2023-03-08,1.259
2023-03-09,1.259
2023-03-10,1.259
2023-03-11,1.259
2023-03-12,1.259
2023-03-13,1.259
2023-03-14,1.259
2023-03-15,1.217
2023-03-16,1.217
2023-03-17,1.217
2023-03-18,1.217
2023-03-19,1.217
2023-03-20,1.217
2023-03-21,1.217
2023-03-22,1.217
2023-03-23,1.217
2023-03-24,1.27
2023-03-25,1.27
2023-03-26,1.27
2023-03-27,1.27
2023-03-28,1.27
2023-03-29,1.238
2023-03-30,1.238
2023-03-31,1.238
2023-04-01,1.238
2023-04-02,1.238
2023-04-03,1.234
2023-04-04,1.234
2023-04-05,1.234
2023-04-06,1.234
2023-04-07,1.234
2023-04-08,1.234
2023-04-09,1.234
2023-04-10,1.234
2023-04-11,1.234
2023-04-12,1.234
2023-04-13,1.234
2023-04-14,1.234
2023-04-15,1.234
2023-04-16,1.234
2023-04-17,1.234
2023-04-18,1.234
2023-04-19,1.234
2023-04-20,1.234
2023-04-21,1.234
2023-04-22,1.234
2023-04-23,1.234
2023-04-24,1.234
2023-04-25,1.234
2023-04-26,1.234
2023-04-27,1.234
2023-04-28,1.234
2023-04-29,1.234
2023-04-30,1.234
2023-05-01,1.234
2023-05-02,1.232
2023-05-03,1.232
2023-05-04,1.232
2023-05-05,1.232
2023-05-06,1.232
2023-05-07,1.232
2023-05-08,1.243
2023-05-09,1.243
2023-05-10,1.243
2023-05-11,1.243
2023-05-12,1.243
2023-05-13,1.243
2023-05-14,1.243
2023-05-15,1.243
2023-05-16,1.243
2023-05-17,1.243
2023-05-18,1.243
2023-05-19,1.243
2023-05-20,1.243
2023-05-21,1.243
2023-05-22,1.243
2023-05-23,1.243
2023-05-24,1.183
2023-05-25,1.124
2023-05-26,1.124
2023-05-27,1.124
2023-05-28,1.124
2023-05-29,1.124
2023-05-30,1.084
2023-05-31,1.084
2023-06-01,1.084
2023-06-02,1.084
2023-06-03,1.084
2023-06-04,1.084
2023-06-05,1.084
2023-06-06,1.091
2023-06-07,1.079
2023-06-08,1.079
2023-06-09,1.079
2023-06-10,1.079
2023-06-11,1.079
2023-06-12,1.079
2023-06-13,1.079
2023-06-14,1.079
2023-06-15,1.079
2023-06-16,1.079
2023-06-17,1.079
2023-06-18,1.079
2023-06-19,1.079
2023-06-20,1.079
2023-06-21,1.079
2023-06-22,1.079
2023-06-23,1.079
2023-06-24,1.079
2023-06-25,1.079
2023-06-26,1.079
2023-06-27,1.079
2023-06-28,1.079
2023-06-29,1.079
2023-06-30,1.079
2023-07-01,1.079
2023-07-02,1.079
2023-07-03,1.079
2023-07-04,1.079
2023-07-05,1.079
2023-07-06,1.079
2023-07-07,1.079
2023-07-08,1.079
2023-07-09,1.079
2023-07-10,1.079
2023-07-11,1.079
2023-07-12,1.079
2023-07-13,1.079
2023-07-14,1.079
2023-07-15,1.079
2023-07-16,1.079
2023-07-17,1.079
2023-07-18,1.079
2023-07-19,1.079
2023-07-20,1.079
2023-07-21,1.079
