,SNX US Equity
2021-06-23,10.53
2021-06-24,10.53
2021-06-25,10.53
2021-06-26,10.53
2021-06-27,10.53
2021-06-28,11.65
2021-06-29,11.65
2021-06-30,11.65
2021-07-01,11.65
2021-07-02,11.65
2021-07-03,11.65
2021-07-04,11.65
2021-07-05,11.65
2021-07-06,11.65
2021-07-07,11.65
2021-07-08,11.65
2021-07-09,11.65
2021-07-10,11.65
2021-07-11,11.65
2021-07-12,11.65
2021-07-13,11.65
2021-07-14,11.65
2021-07-15,11.65
2021-07-16,11.65
2021-07-17,11.65
2021-07-18,11.65
2021-07-19,11.65
2021-07-20,11.65
2021-07-21,11.65
2021-07-22,11.65
2021-07-23,11.65
2021-07-24,11.65
2021-07-25,11.65
2021-07-26,11.65
2021-07-27,11.65
2021-07-28,11.65
2021-07-29,11.65
2021-07-30,11.65
2021-07-31,11.65
2021-08-01,11.65
2021-08-02,11.65
2021-08-03,11.65
2021-08-04,11.65
2021-08-05,11.65
2021-08-06,11.65
2021-08-07,11.65
2021-08-08,11.65
2021-08-09,11.65
2021-08-10,11.65
2021-08-11,11.65
2021-08-12,11.65
2021-08-13,11.65
2021-08-14,11.65
2021-08-15,11.65
2021-08-16,11.65
2021-08-17,11.65
2021-08-18,11.65
2021-08-19,11.65
2021-08-20,11.65
2021-08-21,11.65
2021-08-22,11.65
2021-08-23,11.65
2021-08-24,11.65
2021-08-25,11.65
2021-08-26,11.65
2021-08-27,11.65
2021-08-28,11.65
2021-08-29,11.65
2021-08-30,11.65
2021-08-31,11.65
2021-09-01,11.65
2021-09-02,11.65
2021-09-03,11.65
2021-09-04,11.65
2021-09-05,11.65
2021-09-06,11.65
2021-09-07,11.65
2021-09-08,11.65
2021-09-09,11.65
2021-09-10,11.65
2021-09-11,11.65
2021-09-12,11.65
2021-09-13,11.65
2021-09-14,11.65
2021-09-15,11.65
2021-09-16,11.65
2021-09-17,11.65
2021-09-18,11.65
2021-09-19,11.65
2021-09-20,11.65
2021-09-21,11.65
2021-09-22,11.65
2021-09-23,11.65
2021-09-24,11.65
2021-09-25,11.65
2021-09-26,11.65
2021-09-27,11.65
2021-09-28,11.65
2021-09-29,11.65
2021-09-30,11.96
2021-10-01,11.96
2021-10-02,11.96
2021-10-03,11.96
2021-10-04,11.96
2021-10-05,11.96
2021-10-06,11.96
2021-10-07,11.96
2021-10-08,11.96
2021-10-09,11.96
2021-10-10,11.96
2021-10-11,11.96
2021-10-12,11.96
2021-10-13,11.96
2021-10-14,11.96
2021-10-15,11.96
2021-10-16,11.96
2021-10-17,11.96
2021-10-18,11.96
2021-10-19,11.96
2021-10-20,11.96
2021-10-21,11.96
2021-10-22,11.96
2021-10-23,11.96
2021-10-24,11.96
2021-10-25,11.96
2021-10-26,11.96
2021-10-27,11.96
2021-10-28,11.96
2021-10-29,11.96
2021-10-30,11.96
2021-10-31,11.96
2021-11-01,11.96
2021-11-02,11.96
2021-11-03,11.96
2021-11-04,11.96
2021-11-05,11.96
2021-11-06,11.96
2021-11-07,11.96
2021-11-08,11.96
2021-11-09,11.96
2021-11-10,11.96
2021-11-11,11.96
2021-11-12,11.96
2021-11-13,11.96
2021-11-14,11.96
2021-11-15,11.96
2021-11-16,11.96
2021-11-17,11.96
2021-11-18,11.96
2021-11-19,11.96
2021-11-20,11.96
2021-11-21,11.96
2021-11-22,11.96
2021-11-23,11.96
2021-11-24,11.96
2021-11-25,11.96
2021-11-26,11.96
2021-11-27,11.96
2021-11-28,11.96
2021-11-29,11.96
2021-11-30,11.96
2021-12-01,11.96
2021-12-02,11.96
2021-12-03,11.96
2021-12-04,11.96
2021-12-05,11.96
2021-12-06,11.96
2021-12-07,11.96
2021-12-08,11.96
2021-12-09,11.96
2021-12-10,11.96
2021-12-11,11.96
2021-12-12,11.96
2021-12-13,11.96
2021-12-14,11.96
2021-12-15,11.96
2021-12-16,11.96
2021-12-17,11.96
2021-12-18,11.96
2021-12-19,11.96
2021-12-20,11.96
2021-12-21,11.96
2021-12-22,11.96
2021-12-23,11.96
2021-12-24,11.96
2021-12-25,11.96
2021-12-26,11.96
2021-12-27,11.96
2021-12-28,11.96
2021-12-29,11.96
2021-12-30,11.96
2021-12-31,11.96
2022-01-01,11.96
2022-01-02,11.96
2022-01-03,11.96
2022-01-04,11.96
2022-01-05,11.96
2022-01-06,11.96
2022-01-07,11.96
2022-01-08,11.96
2022-01-09,11.96
2022-01-10,11.96
2022-01-11,11.96
2022-01-12,13.35
2022-01-13,13.35
2022-01-14,13.35
2022-01-15,13.35
2022-01-16,13.35
2022-01-17,13.35
2022-01-18,13.35
2022-01-19,13.35
2022-01-20,13.35
2022-01-21,13.35
2022-01-22,13.35
2022-01-23,13.35
2022-01-24,13.35
2022-01-25,13.35
2022-01-26,13.35
2022-01-27,13.35
2022-01-28,13.35
2022-01-29,13.35
2022-01-30,13.35
2022-01-31,13.35
2022-02-01,13.35
2022-02-02,13.35
2022-02-03,13.35
2022-02-04,13.35
2022-02-05,13.35
2022-02-06,13.35
2022-02-07,13.35
2022-02-08,13.35
2022-02-09,13.35
2022-02-10,13.35
2022-02-11,13.35
2022-02-12,13.35
2022-02-13,13.35
2022-02-14,13.35
2022-02-15,13.35
2022-02-16,13.35
2022-02-17,13.35
2022-02-18,13.35
2022-02-19,13.35
2022-02-20,13.35
2022-02-21,13.35
2022-02-22,13.35
2022-02-23,13.35
2022-02-24,13.35
2022-02-25,13.35
2022-02-26,13.35
2022-02-27,13.35
2022-02-28,13.35
2022-03-01,13.35
2022-03-02,13.35
2022-03-03,13.35
2022-03-04,13.35
2022-03-05,13.35
2022-03-06,13.35
2022-03-07,13.35
2022-03-08,13.35
2022-03-09,13.35
2022-03-10,13.35
2022-03-11,13.35
2022-03-12,13.35
2022-03-13,13.35
2022-03-14,13.35
2022-03-15,13.35
2022-03-16,13.35
2022-03-17,13.35
2022-03-18,13.35
2022-03-19,13.35
2022-03-20,13.35
2022-03-21,13.35
2022-03-22,13.35
2022-03-23,13.35
2022-03-24,13.35
2022-03-25,8.445
2022-03-26,8.445
2022-03-27,8.445
2022-03-28,8.445
2022-03-29,8.445
2022-03-30,8.445
2022-03-31,13.43
2022-04-01,13.43
2022-04-02,13.43
2022-04-03,13.43
2022-04-04,13.43
2022-04-05,13.43
2022-04-06,13.43
2022-04-07,13.43
2022-04-08,13.43
2022-04-09,13.43
2022-04-10,13.43
2022-04-11,13.43
2022-04-12,13.43
2022-04-13,13.43
2022-04-14,13.43
2022-04-15,13.43
2022-04-16,13.43
2022-04-17,13.43
2022-04-18,13.43
2022-04-19,13.43
2022-04-20,13.43
2022-04-21,13.43
2022-04-22,13.43
2022-04-23,13.43
2022-04-24,13.43
2022-04-25,13.43
2022-04-26,13.43
2022-04-27,13.43
2022-04-28,13.43
2022-04-29,13.43
2022-04-30,13.43
2022-05-01,13.43
2022-05-02,13.43
2022-05-03,13.43
2022-05-04,13.43
2022-05-05,13.43
2022-05-06,13.43
2022-05-07,13.43
2022-05-08,13.43
2022-05-09,13.43
2022-05-10,13.43
2022-05-11,13.43
2022-05-12,13.43
2022-05-13,13.43
2022-05-14,13.43
2022-05-15,13.43
2022-05-16,13.43
2022-05-17,13.43
2022-05-18,13.43
2022-05-19,13.43
2022-05-20,13.43
2022-05-21,13.43
2022-05-22,13.43
2022-05-23,13.43
2022-05-24,13.43
2022-05-25,13.43
2022-05-26,13.43
2022-05-27,13.43
2022-05-28,13.43
2022-05-29,13.43
2022-05-30,13.43
2022-05-31,13.43
2022-06-01,13.43
2022-06-02,13.43
2022-06-03,13.43
2022-06-04,13.43
2022-06-05,13.43
2022-06-06,13.43
2022-06-07,13.43
2022-06-08,13.43
2022-06-09,13.43
2022-06-10,13.43
2022-06-11,13.43
2022-06-12,13.43
2022-06-13,13.43
2022-06-14,13.43
2022-06-15,13.43
2022-06-16,13.43
2022-06-17,13.43
2022-06-18,13.43
2022-06-19,13.43
2022-06-20,13.43
2022-06-21,13.43
2022-06-22,13.43
2022-06-23,13.43
2022-06-24,13.43
2022-06-25,13.43
2022-06-26,13.43
2022-06-27,13.43
2022-06-28,13.66
2022-06-29,13.66
2022-06-30,13.66
2022-07-01,13.66
2022-07-02,13.66
2022-07-03,13.66
2022-07-04,13.66
2022-07-05,13.66
2022-07-06,13.66
2022-07-07,13.66
2022-07-08,13.66
2022-07-09,13.66
2022-07-10,13.66
2022-07-11,13.66
2022-07-12,13.66
2022-07-13,13.66
2022-07-14,14.04
2022-07-15,14.04
2022-07-16,14.04
2022-07-17,14.04
2022-07-18,14.04
2022-07-19,14.04
2022-07-20,14.04
2022-07-21,14.04
2022-07-22,14.04
2022-07-23,14.04
2022-07-24,14.04
2022-07-25,14.04
2022-07-26,14.04
2022-07-27,14.04
2022-07-28,14.04
2022-07-29,14.04
2022-07-30,14.04
2022-07-31,14.04
2022-08-01,14.04
2022-08-02,14.04
2022-08-03,14.04
2022-08-04,14.04
2022-08-05,14.04
2022-08-06,14.04
2022-08-07,14.04
2022-08-08,14.04
2022-08-09,14.04
2022-08-10,14.04
2022-08-11,14.04
2022-08-12,14.04
2022-08-13,14.04
2022-08-14,14.04
2022-08-15,14.04
2022-08-16,14.025
2022-08-17,14.025
2022-08-18,14.025
2022-08-19,14.025
2022-08-20,14.025
2022-08-21,14.025
2022-08-22,14.025
2022-08-23,14.025
2022-08-24,14.025
2022-08-25,14.025
2022-08-26,14.025
2022-08-27,14.025
2022-08-28,14.025
2022-08-29,14.025
2022-08-30,14.025
2022-08-31,14.025
2022-09-01,14.025
2022-09-02,14.025
2022-09-03,14.025
2022-09-04,14.025
2022-09-05,14.025
2022-09-06,14.025
2022-09-07,14.025
2022-09-08,14.025
2022-09-09,14.025
2022-09-10,14.025
2022-09-11,14.025
2022-09-12,14.025
2022-09-13,13.98
2022-09-14,13.98
2022-09-15,13.98
2022-09-16,13.98
2022-09-17,13.98
2022-09-18,13.98
2022-09-19,13.98
2022-09-20,13.98
2022-09-21,13.98
2022-09-22,13.98
2022-09-23,13.886
2022-09-24,13.886
2022-09-25,13.886
2022-09-26,13.886
2022-09-27,13.9
2022-09-28,13.96
2022-09-29,13.864
2022-09-30,13.864
2022-10-01,13.864
2022-10-02,13.864
2022-10-03,13.864
2022-10-04,13.893
2022-10-05,13.893
2022-10-06,13.893
2022-10-07,13.893
2022-10-08,13.893
2022-10-09,13.893
2022-10-10,13.893
2022-10-11,13.893
2022-10-12,13.893
2022-10-13,13.893
2022-10-14,13.913
2022-10-15,13.913
2022-10-16,13.913
2022-10-17,13.913
2022-10-18,13.913
2022-10-19,13.913
2022-10-20,13.913
2022-10-21,13.913
2022-10-22,13.913
2022-10-23,13.913
2022-10-24,13.913
2022-10-25,13.913
2022-10-26,13.913
2022-10-27,13.913
2022-10-28,13.913
2022-10-29,13.913
2022-10-30,13.913
2022-10-31,13.913
2022-11-01,13.913
2022-11-02,13.913
2022-11-03,13.913
2022-11-04,13.913
2022-11-05,13.913
2022-11-06,13.913
2022-11-07,13.913
2022-11-08,13.913
2022-11-09,13.913
2022-11-10,13.913
2022-11-11,13.913
2022-11-12,13.913
2022-11-13,13.913
2022-11-14,13.913
2022-11-15,13.913
2022-11-16,13.913
2022-11-17,13.913
2022-11-18,13.913
2022-11-19,13.913
2022-11-20,13.913
2022-11-21,13.913
2022-11-22,13.913
2022-11-23,13.913
2022-11-24,13.913
2022-11-25,13.913
2022-11-26,13.913
2022-11-27,13.913
2022-11-28,13.913
2022-11-29,13.913
2022-11-30,13.913
2022-12-01,13.913
2022-12-02,13.913
2022-12-03,13.913
2022-12-04,13.913
2022-12-05,13.913
2022-12-06,13.913
2022-12-07,13.913
2022-12-08,13.913
2022-12-09,13.913
2022-12-10,13.913
2022-12-11,13.913
2022-12-12,13.913
2022-12-13,13.913
2022-12-14,13.913
2022-12-15,13.913
2022-12-16,13.913
2022-12-17,13.913
2022-12-18,13.913
2022-12-19,13.913
2022-12-20,13.913
2022-12-21,13.913
2022-12-22,13.913
2022-12-23,13.913
2022-12-24,13.913
2022-12-25,13.913
2022-12-26,13.913
2022-12-27,13.913
2022-12-28,13.911
2022-12-29,13.911
2022-12-30,13.911
2022-12-31,13.911
2023-01-01,13.911
2023-01-02,13.911
2023-01-03,13.911
2023-01-04,13.843
2023-01-05,13.843
2023-01-06,13.843
2023-01-07,13.843
2023-01-08,13.843
2023-01-09,13.843
2023-01-10,13.484
2023-01-11,13.366
2023-01-12,13.373
2023-01-13,13.373
2023-01-14,13.373
2023-01-15,13.373
2023-01-16,13.373
2023-01-17,13.307
2023-01-18,13.307
2023-01-19,13.307
2023-01-20,13.307
2023-01-21,13.307
2023-01-22,13.307
2023-01-23,13.307
2023-01-24,13.327
2023-01-25,13.316
2023-01-26,13.327
2023-01-27,13.327
2023-01-28,13.327
2023-01-29,13.327
2023-01-30,13.327
2023-01-31,13.327
2023-02-01,13.327
2023-02-02,13.327
2023-02-03,13.327
2023-02-04,13.327
2023-02-05,13.327
2023-02-06,13.327
2023-02-07,13.233
2023-02-08,13.233
2023-02-09,13.233
2023-02-10,13.233
2023-02-11,13.233
2023-02-12,13.233
2023-02-13,13.233
2023-02-14,13.233
2023-02-15,13.243
2023-02-16,13.243
2023-02-17,13.243
2023-02-18,13.243
2023-02-19,13.243
2023-02-20,13.218
2023-02-21,13.218
2023-02-22,13.218
2023-02-23,13.218
2023-02-24,13.218
2023-02-25,13.218
2023-02-26,13.218
2023-02-27,13.218
2023-02-28,13.218
2023-03-01,13.218
2023-03-02,13.218
2023-03-03,13.218
2023-03-04,13.218
2023-03-05,13.218
2023-03-06,13.218
2023-03-07,13.218
2023-03-08,13.218
2023-03-09,13.218
2023-03-10,13.218
2023-03-11,13.218
2023-03-12,13.218
2023-03-13,13.256
2023-03-14,13.256
2023-03-15,13.256
2023-03-16,13.256
2023-03-17,13.347
2023-03-18,13.347
2023-03-19,13.347
2023-03-20,13.347
2023-03-21,13.338
2023-03-22,13.338
2023-03-23,13.338
2023-03-24,13.338
2023-03-25,13.338
2023-03-26,13.338
2023-03-27,13.338
2023-03-28,12.919
2023-03-29,12.79
2023-03-30,12.79
2023-03-31,12.79
2023-04-01,12.79
2023-04-02,12.758
2023-04-03,12.636
2023-04-04,12.636
2023-04-05,12.636
2023-04-06,12.636
2023-04-07,12.636
2023-04-08,12.636
2023-04-09,12.636
2023-04-10,12.636
2023-04-11,12.583
2023-04-12,12.583
2023-04-13,12.583
2023-04-14,12.583
2023-04-15,12.583
2023-04-16,12.583
2023-04-17,12.583
2023-04-18,12.583
2023-04-19,12.583
2023-04-20,12.583
2023-04-21,12.583
2023-04-22,12.583
2023-04-23,12.583
2023-04-24,12.537
2023-04-25,12.537
2023-04-26,12.537
2023-04-27,12.537
2023-04-28,12.537
2023-04-29,12.537
2023-04-30,12.537
2023-05-01,12.517
2023-05-02,12.517
2023-05-03,12.517
2023-05-04,12.517
2023-05-05,12.517
2023-05-06,12.517
2023-05-07,12.517
2023-05-08,12.517
2023-05-09,12.517
2023-05-10,12.517
2023-05-11,12.517
2023-05-12,12.517
2023-05-13,12.517
2023-05-14,12.517
2023-05-15,12.517
2023-05-16,12.517
2023-05-17,12.517
2023-05-18,12.517
2023-05-19,12.517
2023-05-20,12.517
2023-05-21,12.517
2023-05-22,12.517
2023-05-23,12.517
2023-05-24,12.517
2023-05-25,12.517
2023-05-26,12.517
2023-05-27,12.517
2023-05-28,12.517
2023-05-29,12.517
2023-05-30,12.517
2023-05-31,12.517
2023-06-01,12.517
2023-06-02,12.517
2023-06-03,12.517
2023-06-04,12.517
2023-06-05,12.517
2023-06-06,12.517
2023-06-07,12.517
2023-06-08,12.496
2023-06-09,12.496
2023-06-10,12.496
2023-06-11,12.496
2023-06-12,12.496
2023-06-13,12.458
2023-06-14,12.445
2023-06-15,12.445
2023-06-16,12.445
2023-06-17,12.445
2023-06-18,12.445
2023-06-19,12.445
2023-06-20,12.437
2023-06-21,12.437
2023-06-22,12.437
2023-06-23,12.437
2023-06-24,12.437
2023-06-25,12.437
2023-06-26,12.437
2023-06-27,12.078
2023-06-28,12.028
2023-06-29,12.028
2023-06-30,12.028
2023-07-01,12.028
2023-07-02,12.028
2023-07-03,12.028
2023-07-04,11.959
2023-07-05,11.96
2023-07-06,11.96
2023-07-07,11.942
2023-07-08,11.942
2023-07-09,11.942
2023-07-10,11.942
2023-07-11,11.924
2023-07-12,11.924
2023-07-13,11.924
2023-07-14,11.924
2023-07-15,11.924
2023-07-16,11.924
2023-07-17,11.924
2023-07-18,11.924
2023-07-19,11.92
2023-07-20,11.92
2023-07-21,11.92
2023-07-22,11.92
2023-07-23,11.92
2023-07-24,11.92
2023-07-25,11.92
2023-07-26,11.92
2023-07-27,11.92
2023-07-28,11.92
2023-07-29,11.92
2023-07-30,11.92
2023-07-31,11.92
2023-08-01,11.92
2023-08-02,11.92
2023-08-03,11.92
2023-08-04,11.92
2023-08-05,11.92
2023-08-06,11.92
2023-08-07,11.92
2023-08-08,11.92
2023-08-09,11.92
2023-08-10,11.92
2023-08-11,11.92
2023-08-12,11.92
2023-08-13,11.92
2023-08-14,11.92
2023-08-15,11.92
2023-08-16,11.92
2023-08-17,11.92
2023-08-18,11.92
2023-08-19,11.92
2023-08-20,11.92
2023-08-21,11.92
2023-08-22,11.92
2023-08-23,11.92
2023-08-24,11.92
2023-08-25,11.92
2023-08-26,11.92
2023-08-27,11.92
2023-08-28,11.92
2023-08-29,11.92
2023-08-30,11.92
2023-08-31,11.92
2023-09-01,11.937
2023-09-02,11.937
2023-09-03,11.937
2023-09-04,11.937
2023-09-05,11.937
2023-09-06,11.937
2023-09-07,11.937
2023-09-08,11.937
2023-09-09,11.937
2023-09-10,11.937
2023-09-11,11.937
2023-09-12,11.937
2023-09-13,11.937
2023-09-14,11.937
2023-09-15,11.937
2023-09-16,11.937
2023-09-17,11.937
2023-09-18,12.007
2023-09-19,12.007
2023-09-20,12.007
2023-09-21,12.007
2023-09-22,12.007
2023-09-23,12.007
2023-09-24,12.007
