,SKYW US Equity
2021-04-10,9.1
2021-04-11,9.1
2021-04-12,9.1
2021-04-13,9.1
2021-04-14,9.1
2021-04-15,9.1
2021-04-16,9.1
2021-04-17,9.1
2021-04-18,9.1
2021-04-19,9.1
2021-04-20,9.1
2021-04-21,9.1
2021-04-22,9.1
2021-04-23,9.1
2021-04-24,9.1
2021-04-25,9.1
2021-04-26,9.1
2021-04-27,9.1
2021-04-28,9.1
2021-04-29,9.1
2021-04-30,9.1
2021-05-01,9.1
2021-05-02,9.1
2021-05-03,9.1
2021-05-04,9.1
2021-05-05,9.1
2021-05-06,9.1
2021-05-07,9.1
2021-05-08,9.1
2021-05-09,9.1
2021-05-10,9.1
2021-05-11,9.1
2021-05-12,9.1
2021-05-13,9.1
2021-05-14,9.1
2021-05-15,9.1
2021-05-16,9.1
2021-05-17,9.1
2021-05-18,9.1
2021-05-19,9.1
2021-05-20,9.1
2021-05-21,9.1
2021-05-22,9.1
2021-05-23,9.1
2021-05-24,9.1
2021-05-25,9.1
2021-05-26,9.1
2021-05-27,9.1
2021-05-28,9.1
2021-05-29,9.1
2021-05-30,9.1
2021-05-31,9.1
2021-06-01,9.1
2021-06-02,9.1
2021-06-03,9.1
2021-06-04,9.1
2021-06-05,9.1
2021-06-06,9.1
2021-06-07,9.1
2021-06-08,9.1
2021-06-09,9.1
2021-06-10,9.1
2021-06-11,9.1
2021-06-12,9.1
2021-06-13,9.1
2021-06-14,9.1
2021-06-15,9.1
2021-06-16,9.1
2021-06-17,9.1
2021-06-18,9.1
2021-06-19,9.1
2021-06-20,9.1
2021-06-21,9.1
2021-06-22,9.1
2021-06-23,9.1
2021-06-24,9.1
2021-06-25,9.1
2021-06-26,9.1
2021-06-27,9.1
2021-06-28,9.1
2021-06-29,9.1
2021-06-30,9.1
2021-07-01,9.1
2021-07-02,9.1
2021-07-03,9.1
2021-07-04,9.1
2021-07-05,9.1
2021-07-06,9.1
2021-07-07,9.1
2021-07-08,9.1
2021-07-09,9.1
2021-07-10,9.1
2021-07-11,9.1
2021-07-12,9.1
2021-07-13,9.1
2021-07-14,9.1
2021-07-15,9.1
2021-07-16,9.1
2021-07-17,9.1
2021-07-18,9.1
2021-07-19,9.1
2021-07-20,9.1
2021-07-21,9.1
2021-07-22,9.1
2021-07-23,9.1
2021-07-24,9.1
2021-07-25,9.1
2021-07-26,9.1
2021-07-27,9.1
2021-07-28,9.1
2021-07-29,9.1
2021-07-30,9.1
2021-07-31,9.1
2021-08-01,9.1
2021-08-02,9.1
2021-08-03,9.1
2021-08-04,9.1
2021-08-05,9.1
2021-08-06,9.1
2021-08-07,9.1
2021-08-08,9.1
2021-08-09,9.1
2021-08-10,9.1
2021-08-11,9.1
2021-08-12,9.1
2021-08-13,9.1
2021-08-14,9.1
2021-08-15,9.1
2021-08-16,9.1
2021-08-17,9.1
2021-08-18,9.1
2021-08-19,9.1
2021-08-20,9.1
2021-08-21,9.1
2021-08-22,9.1
2021-08-23,9.1
2021-08-24,9.1
2021-08-25,9.1
2021-08-26,9.1
2021-08-27,9.1
2021-08-28,9.1
2021-08-29,9.1
2021-08-30,9.1
2021-08-31,9.1
2021-09-01,9.1
2021-09-02,9.1
2021-09-03,9.1
2021-09-04,9.1
2021-09-05,9.1
2021-09-06,9.1
2021-09-07,9.1
2021-09-08,9.1
2021-09-09,9.1
2021-09-10,9.1
2021-09-11,9.1
2021-09-12,9.1
2021-09-13,9.1
2021-09-14,9.1
2021-09-15,9.1
2021-09-16,9.1
2021-09-17,9.1
2021-09-18,9.1
2021-09-19,9.1
2021-09-20,9.1
2021-09-21,9.1
2021-09-22,9.1
2021-09-23,9.1
2021-09-24,9.1
2021-09-25,9.1
2021-09-26,9.1
2021-09-27,9.1
2021-09-28,9.1
2021-09-29,9.1
2021-09-30,9.1
2021-10-01,9.1
2021-10-02,9.1
2021-10-03,9.1
2021-10-04,9.1
2021-10-05,9.1
2021-10-06,9.1
2021-10-07,9.1
2021-10-08,9.1
2021-10-09,9.1
2021-10-10,9.1
2021-10-11,9.1
2021-10-12,9.1
2021-10-13,9.1
2021-10-14,9.1
2021-10-15,9.1
2021-10-16,9.1
2021-10-17,9.1
2021-10-18,9.1
2021-10-19,9.1
2021-10-20,9.1
2021-10-21,9.1
2021-10-22,9.1
2021-10-23,9.1
2021-10-24,9.1
2021-10-25,9.1
2021-10-26,9.1
2021-10-27,9.1
2021-10-28,9.1
2021-10-29,9.1
2021-10-30,9.1
2021-10-31,9.1
2021-11-01,9.1
2021-11-02,9.1
2021-11-03,9.1
2021-11-04,9.1
2021-11-05,9.1
2021-11-06,9.1
2021-11-07,9.1
2021-11-08,9.1
2021-11-09,9.1
2021-11-10,9.1
2021-11-11,9.1
2021-11-12,9.1
2021-11-13,9.1
2021-11-14,9.1
2021-11-15,9.1
2021-11-16,9.1
2021-11-17,9.1
2021-11-18,9.1
2021-11-19,9.1
2021-11-20,9.1
2021-11-21,9.1
2021-11-22,9.1
2021-11-23,9.1
2021-11-24,9.1
2021-11-25,9.1
2021-11-26,9.1
2021-11-27,9.1
2021-11-28,9.1
2021-11-29,9.1
2021-11-30,9.1
2021-12-01,9.1
2021-12-02,9.1
2021-12-03,9.1
2021-12-04,9.1
2021-12-05,9.1
2021-12-06,9.1
2021-12-07,9.1
2021-12-08,9.1
2021-12-09,9.1
2021-12-10,9.1
2021-12-11,9.1
2021-12-12,9.1
2021-12-13,9.1
2021-12-14,9.1
2021-12-15,9.1
2021-12-16,9.1
2021-12-17,9.1
2021-12-18,9.1
2021-12-19,9.1
2021-12-20,9.1
2021-12-21,9.1
2021-12-22,9.1
2021-12-23,9.1
2021-12-24,9.1
2021-12-25,9.1
2021-12-26,9.1
2021-12-27,9.1
2021-12-28,9.1
2021-12-29,9.1
2021-12-30,9.1
2021-12-31,9.1
2022-01-01,9.1
2022-01-02,9.1
2022-01-03,9.1
2022-01-04,9.1
2022-01-05,9.1
2022-01-06,9.1
2022-01-07,9.1
2022-01-08,9.1
2022-01-09,9.1
2022-01-10,9.1
2022-01-11,9.1
2022-01-12,9.1
2022-01-13,9.1
2022-01-14,9.1
2022-01-15,9.1
2022-01-16,9.1
2022-01-17,9.1
2022-01-18,9.1
2022-01-19,9.1
2022-01-20,9.1
2022-01-21,9.1
2022-01-22,9.1
2022-01-23,9.1
2022-01-24,9.1
2022-01-25,9.1
2022-01-26,9.1
2022-01-27,9.1
2022-01-28,9.1
2022-01-29,9.1
2022-01-30,9.1
2022-01-31,9.1
2022-02-01,9.1
2022-02-02,9.1
2022-02-03,10.25
2022-02-04,10.25
2022-02-05,10.25
2022-02-06,10.25
2022-02-07,10.25
2022-02-08,10.25
2022-02-09,10.25
2022-02-10,10.25
2022-02-11,10.25
2022-02-12,10.25
2022-02-13,10.25
2022-02-14,10.25
2022-02-15,10.25
2022-02-16,10.25
2022-02-17,10.25
2022-02-18,10.25
2022-02-19,10.25
2022-02-20,10.25
2022-02-21,10.25
2022-02-22,10.25
2022-02-23,10.25
2022-02-24,10.25
2022-02-25,10.25
2022-02-26,10.25
2022-02-27,10.25
2022-02-28,10.25
2022-03-01,10.25
2022-03-02,10.25
2022-03-03,10.25
2022-03-04,10.25
2022-03-05,10.25
2022-03-06,10.25
2022-03-07,10.25
2022-03-08,10.25
2022-03-09,10.25
2022-03-10,10.25
2022-03-11,10.25
2022-03-12,10.25
2022-03-13,10.25
2022-03-14,10.25
2022-03-15,10.25
2022-03-16,10.25
2022-03-17,10.25
2022-03-18,10.25
2022-03-19,10.25
2022-03-20,10.25
2022-03-21,10.25
2022-03-22,7.875
2022-03-23,7.875
2022-03-24,7.875
2022-03-25,7.875
2022-03-26,7.875
2022-03-27,7.875
2022-03-28,7.875
2022-03-29,7.875
2022-03-30,7.875
2022-03-31,7.875
2022-04-01,7.875
2022-04-02,7.875
2022-04-03,7.875
2022-04-04,7.875
2022-04-05,7.875
2022-04-06,7.3
2022-04-07,7.3
2022-04-08,7.3
2022-04-09,7.3
2022-04-10,7.3
2022-04-11,6.667
2022-04-12,6.667
2022-04-13,6.667
2022-04-14,6.667
2022-04-15,6.667
2022-04-16,6.667
2022-04-17,6.667
2022-04-18,6.667
2022-04-19,6.667
2022-04-20,6.667
2022-04-21,6.667
2022-04-22,6.667
2022-04-23,6.667
2022-04-24,6.667
2022-04-25,6.667
2022-04-26,6.667
2022-04-27,6.667
2022-04-28,6.667
2022-04-29,5.24
2022-04-30,5.24
2022-05-01,5.24
2022-05-02,5.24
2022-05-03,5.24
2022-05-04,5.24
2022-05-05,5.24
2022-05-06,5.24
2022-05-07,5.24
2022-05-08,5.24
2022-05-09,5.24
2022-05-10,5.24
2022-05-11,5.24
2022-05-12,5.24
2022-05-13,5.24
2022-05-14,5.24
2022-05-15,5.24
2022-05-16,5.24
2022-05-17,5.24
2022-05-18,5.24
2022-05-19,5.24
2022-05-20,5.24
2022-05-21,5.24
2022-05-22,5.24
2022-05-23,5.24
2022-05-24,5.24
2022-05-25,5.24
2022-05-26,5.24
2022-05-27,5.24
2022-05-28,5.24
2022-05-29,5.24
2022-05-30,5.24
2022-05-31,5.24
2022-06-01,5.24
2022-06-02,5.24
2022-06-03,5.24
2022-06-04,5.24
2022-06-05,5.24
2022-06-06,5.24
2022-06-07,5.24
2022-06-08,5.24
2022-06-09,5.24
2022-06-10,5.24
2022-06-11,5.24
2022-06-12,5.24
2022-06-13,5.24
2022-06-14,5.24
2022-06-15,5.24
2022-06-16,3.31
2022-06-17,3.31
2022-06-18,3.31
2022-06-19,3.31
2022-06-20,3.31
2022-06-21,3.31
2022-06-22,3.31
2022-06-23,3.31
2022-06-24,3.31
2022-06-25,3.31
2022-06-26,3.31
2022-06-27,3.213
2022-06-28,3.213
2022-06-29,3.213
2022-06-30,3.213
2022-07-01,3.213
2022-07-02,3.213
2022-07-03,3.213
2022-07-04,3.213
2022-07-05,3.213
2022-07-06,3.213
2022-07-07,3.213
2022-07-08,3.213
2022-07-09,3.213
2022-07-10,3.213
2022-07-11,3.213
2022-07-12,3.213
2022-07-13,3.213
2022-07-14,3.213
2022-07-15,3.213
2022-07-16,3.213
2022-07-17,3.213
2022-07-18,3.213
2022-07-19,3.213
2022-07-20,3.213
2022-07-21,3.213
2022-07-22,3.213
2022-07-23,3.213
2022-07-24,3.213
2022-07-25,3.213
2022-07-26,3.213
2022-07-27,3.213
2022-07-28,2.397
2022-07-29,3.04
2022-07-30,3.04
2022-07-31,3.04
2022-08-01,3.04
2022-08-02,3.04
2022-08-03,3.04
2022-08-04,3.04
2022-08-05,3.04
2022-08-06,3.04
2022-08-07,3.04
2022-08-08,3.04
2022-08-09,3.04
2022-08-10,3.04
2022-08-11,3.04
2022-08-12,3.04
2022-08-13,3.04
2022-08-14,3.04
2022-08-15,3.04
2022-08-16,3.04
2022-08-17,3.04
2022-08-18,3.04
2022-08-19,3.04
2022-08-20,3.04
2022-08-21,3.04
2022-08-22,3.04
2022-08-23,3.04
2022-08-24,3.04
2022-08-25,3.04
2022-08-26,3.04
2022-08-27,3.04
2022-08-28,3.04
2022-08-29,3.04
2022-08-30,3.04
2022-08-31,3.04
2022-09-01,3.05
2022-09-02,3.05
2022-09-03,3.05
2022-09-04,3.05
2022-09-05,3.05
2022-09-06,3.05
2022-09-07,3.05
2022-09-08,2.65
2022-09-09,2.65
2022-09-10,2.65
2022-09-11,2.65
2022-09-12,2.65
2022-09-13,2.65
2022-09-14,2.65
2022-09-15,2.65
2022-09-16,2.65
2022-09-17,2.65
2022-09-18,2.65
2022-09-19,2.65
2022-09-20,2.65
2022-09-21,2.65
2022-09-22,2.65
2022-09-23,2.65
2022-09-24,2.65
2022-09-25,2.65
2022-09-26,2.65
2022-09-27,2.65
2022-09-28,2.65
2022-09-29,2.65
2022-09-30,2.65
2022-10-01,2.65
2022-10-02,2.65
2022-10-03,2.65
2022-10-04,2.65
2022-10-05,2.65
2022-10-06,2.65
2022-10-07,2.65
2022-10-08,2.65
2022-10-09,2.65
2022-10-10,2.65
2022-10-11,2.65
2022-10-12,2.65
2022-10-13,2.65
2022-10-14,2.65
2022-10-15,2.65
2022-10-16,2.65
2022-10-17,2.65
2022-10-18,2.65
2022-10-19,2.65
2022-10-20,2.65
2022-10-21,2.65
2022-10-22,2.65
2022-10-23,2.65
2022-10-24,2.65
2022-10-25,2.65
2022-10-26,2.65
2022-10-27,2.15
2022-10-28,2.15
2022-10-29,2.15
2022-10-30,2.15
2022-10-31,2.15
2022-11-01,2.15
2022-11-02,2.15
2022-11-03,2.15
2022-11-04,2.15
2022-11-05,2.15
2022-11-06,2.15
2022-11-07,2.15
2022-11-08,2.15
2022-11-09,2.15
2022-11-10,2.15
2022-11-11,2.15
2022-11-12,2.15
2022-11-13,2.15
2022-11-14,2.15
2022-11-15,2.15
2022-11-16,2.15
2022-11-17,2.15
2022-11-18,2.15
2022-11-19,2.15
2022-11-20,2.15
2022-11-21,2.15
2022-11-22,2.15
2022-11-23,2.15
2022-11-24,2.15
2022-11-25,2.15
2022-11-26,2.15
2022-11-27,2.15
2022-11-28,2.15
2022-11-29,2.15
2022-11-30,2.15
2022-12-01,2.15
2022-12-02,2.15
2022-12-03,2.15
2022-12-04,2.15
2022-12-05,2.15
2022-12-06,2.15
2022-12-07,2.15
2022-12-08,2.15
2022-12-09,2.15
2022-12-10,2.15
2022-12-11,2.15
2022-12-12,2.15
2022-12-13,2.15
2022-12-14,2.15
2022-12-15,2.15
2022-12-16,2.1
2022-12-17,2.1
2022-12-18,2.1
2022-12-19,2.017
2022-12-20,2.017
2022-12-21,2.017
2022-12-22,2.017
2022-12-23,2.017
2022-12-24,2.017
2022-12-25,2.017
2022-12-26,2.017
2022-12-27,2.017
2022-12-28,2.017
2022-12-29,2.017
2022-12-30,2.017
2022-12-31,2.017
2023-01-01,2.017
2023-01-02,2.017
2023-01-03,2.017
2023-01-04,2.017
2023-01-05,2.017
2023-01-06,2.017
2023-01-07,2.017
2023-01-08,2.017
2023-01-09,1.863
2023-01-10,1.863
2023-01-11,1.863
2023-01-12,1.863
2023-01-13,1.863
2023-01-14,1.863
2023-01-15,1.863
2023-01-16,1.863
2023-01-17,1.863
2023-01-18,1.964
2023-01-19,1.964
2023-01-20,1.964
2023-01-21,1.964
2023-01-22,1.964
2023-01-23,1.964
2023-01-24,1.964
2023-01-25,1.964
2023-01-26,1.964
2023-01-27,1.964
2023-01-28,1.964
2023-01-29,1.964
2023-01-30,1.964
2023-01-31,1.964
2023-02-01,1.964
2023-02-02,2.164
2023-02-03,2.054
2023-02-04,2.054
2023-02-05,2.054
2023-02-06,2.054
2023-02-07,2.054
2023-02-08,2.054
2023-02-09,2.054
2023-02-10,2.054
2023-02-11,2.054
2023-02-12,2.054
2023-02-13,2.054
2023-02-14,2.054
2023-02-15,2.054
2023-02-16,1.936
2023-02-17,1.936
2023-02-18,1.936
2023-02-19,1.936
2023-02-20,1.936
2023-02-21,1.936
2023-02-22,1.936
2023-02-23,1.936
2023-02-24,1.936
2023-02-25,1.936
2023-02-26,1.936
2023-02-27,1.936
2023-02-28,1.936
2023-03-01,1.936
2023-03-02,1.936
2023-03-03,1.936
2023-03-04,1.936
2023-03-05,1.936
2023-03-06,1.936
2023-03-07,1.936
2023-03-08,1.936
2023-03-09,1.936
2023-03-10,1.936
2023-03-11,1.936
2023-03-12,1.936
2023-03-13,1.936
2023-03-14,1.936
2023-03-15,1.936
2023-03-16,1.936
2023-03-17,1.936
2023-03-18,1.936
2023-03-19,1.936
2023-03-20,1.936
2023-03-21,1.936
2023-03-22,1.936
2023-03-23,1.936
2023-03-24,1.936
2023-03-25,1.936
2023-03-26,1.936
2023-03-27,1.936
2023-03-28,1.936
2023-03-29,1.936
2023-03-30,1.936
2023-03-31,1.936
2023-04-01,1.936
2023-04-02,1.936
2023-04-03,1.936
2023-04-04,1.936
2023-04-05,1.936
2023-04-06,1.896
2023-04-07,1.896
2023-04-08,1.896
2023-04-09,1.896
2023-04-10,1.896
2023-04-11,1.928
2023-04-12,1.928
2023-04-13,1.928
2023-04-14,1.928
2023-04-15,1.928
2023-04-16,1.928
2023-04-17,1.928
2023-04-18,1.928
2023-04-19,1.928
2023-04-20,1.928
2023-04-21,1.918
2023-04-22,1.918
2023-04-23,1.918
2023-04-24,1.918
2023-04-25,1.918
2023-04-26,1.918
2023-04-27,2.198
2023-04-28,2.482
2023-04-29,2.482
2023-04-30,2.482
2023-05-01,2.482
2023-05-02,2.482
2023-05-03,2.482
2023-05-04,2.482
2023-05-05,2.482
2023-05-06,2.482
2023-05-07,2.482
2023-05-08,2.482
2023-05-09,2.482
2023-05-10,2.482
2023-05-11,2.806
2023-05-12,2.806
2023-05-13,2.806
2023-05-14,2.806
2023-05-15,2.806
2023-05-16,2.806
2023-05-17,2.806
2023-05-18,2.806
2023-05-19,2.806
2023-05-20,2.806
2023-05-21,2.806
2023-05-22,2.806
2023-05-23,2.806
2023-05-24,2.806
2023-05-25,2.806
2023-05-26,2.806
2023-05-27,2.806
2023-05-28,2.806
2023-05-29,2.806
2023-05-30,2.806
2023-05-31,2.806
2023-06-01,2.806
2023-06-02,2.806
2023-06-03,2.806
2023-06-04,2.806
2023-06-05,2.806
2023-06-06,2.806
2023-06-07,2.806
2023-06-08,2.806
2023-06-09,2.806
2023-06-10,2.806
2023-06-11,2.806
2023-06-12,2.806
2023-06-13,2.806
2023-06-14,2.806
2023-06-15,2.806
2023-06-16,2.806
2023-06-17,2.806
2023-06-18,2.806
2023-06-19,2.806
2023-06-20,2.806
2023-06-21,2.806
2023-06-22,2.806
2023-06-23,2.806
2023-06-24,2.806
2023-06-25,2.806
2023-06-26,2.806
2023-06-27,2.806
2023-06-28,2.806
2023-06-29,2.806
2023-06-30,2.806
2023-07-01,2.806
2023-07-02,2.806
2023-07-03,2.806
2023-07-04,2.806
2023-07-05,2.806
2023-07-06,2.806
2023-07-07,2.806
2023-07-08,2.806
2023-07-09,2.806
2023-07-10,2.806
2023-07-11,2.722
2023-07-12,2.722
2023-07-13,2.722
