,BANR US Equity
2021-06-17,5.13
2021-06-18,5.13
2021-06-19,5.13
2021-06-20,5.13
2021-06-21,5.13
2021-06-22,5.13
2021-06-23,5.13
2021-06-24,5.13
2021-06-25,5.13
2021-06-26,5.13
2021-06-27,5.13
2021-06-28,5.13
2021-06-29,5.13
2021-06-30,5.13
2021-07-01,5.13
2021-07-02,5.13
2021-07-03,5.13
2021-07-04,5.13
2021-07-05,5.13
2021-07-06,5.13
2021-07-07,4.72
2021-07-08,4.72
2021-07-09,4.72
2021-07-10,4.72
2021-07-11,4.72
2021-07-12,4.72
2021-07-13,4.72
2021-07-14,4.72
2021-07-15,4.72
2021-07-16,4.72
2021-07-17,4.72
2021-07-18,4.72
2021-07-19,4.72
2021-07-20,4.72
2021-07-21,4.72
2021-07-22,4.72
2021-07-23,4.72
2021-07-24,4.72
2021-07-25,4.55
2021-07-26,4.55
2021-07-27,4.55
2021-07-28,4.55
2021-07-29,4.55
2021-07-30,4.55
2021-07-31,4.55
2021-08-01,4.55
2021-08-02,4.55
2021-08-03,4.55
2021-08-04,4.55
2021-08-05,4.55
2021-08-06,4.55
2021-08-07,4.55
2021-08-08,4.55
2021-08-09,4.55
2021-08-10,4.55
2021-08-11,4.55
2021-08-12,4.55
2021-08-13,4.55
2021-08-14,4.55
2021-08-15,4.55
2021-08-16,4.55
2021-08-17,4.55
2021-08-18,4.55
2021-08-19,4.55
2021-08-20,4.55
2021-08-21,4.55
2021-08-22,4.55
2021-08-23,4.55
2021-08-24,4.55
2021-08-25,4.55
2021-08-26,4.55
2021-08-27,4.55
2021-08-28,4.55
2021-08-29,4.55
2021-08-30,4.55
2021-08-31,4.55
2021-09-01,4.55
2021-09-02,4.55
2021-09-03,4.55
2021-09-04,4.55
2021-09-05,4.55
2021-09-06,4.55
2021-09-07,4.55
2021-09-08,4.55
2021-09-09,4.55
2021-09-10,4.55
2021-09-11,4.55
2021-09-12,4.55
2021-09-13,4.55
2021-09-14,4.55
2021-09-15,4.55
2021-09-16,4.55
2021-09-17,4.55
2021-09-18,4.55
2021-09-19,4.55
2021-09-20,4.55
2021-09-21,4.55
2021-09-22,4.55
2021-09-23,4.55
2021-09-24,4.55
2021-09-25,4.55
2021-09-26,4.55
2021-09-27,4.55
2021-09-28,4.55
2021-09-29,4.55
2021-09-30,4.55
2021-10-01,4.55
2021-10-02,4.55
2021-10-03,4.55
2021-10-04,4.55
2021-10-05,4.55
2021-10-06,4.55
2021-10-07,4.55
2021-10-08,4.55
2021-10-09,4.55
2021-10-10,4.55
2021-10-11,4.55
2021-10-12,4.55
2021-10-13,4.55
2021-10-14,4.55
2021-10-15,4.55
2021-10-16,4.55
2021-10-17,4.55
2021-10-18,4.55
2021-10-19,4.55
2021-10-20,4.55
2021-10-21,4.55
2021-10-22,4.55
2021-10-23,4.55
2021-10-24,4.55
2021-10-25,4.55
2021-10-26,4.55
2021-10-27,4.55
2021-10-28,4.55
2021-10-29,4.55
2021-10-30,4.55
2021-10-31,4.55
2021-11-01,4.55
2021-11-02,4.55
2021-11-03,4.55
2021-11-04,4.55
2021-11-05,4.55
2021-11-06,4.55
2021-11-07,4.55
2021-11-08,4.55
2021-11-09,4.55
2021-11-10,4.55
2021-11-11,4.55
2021-11-12,4.55
2021-11-13,4.55
2021-11-14,4.55
2021-11-15,4.55
2021-11-16,4.55
2021-11-17,4.55
2021-11-18,4.55
2021-11-19,4.55
2021-11-20,4.55
2021-11-21,4.55
2021-11-22,4.55
2021-11-23,4.55
2021-11-24,4.55
2021-11-25,4.55
2021-11-26,4.55
2021-11-27,4.55
2021-11-28,4.55
2021-11-29,4.55
2021-11-30,4.55
2021-12-01,4.55
2021-12-02,4.55
2021-12-03,4.55
2021-12-04,4.55
2021-12-05,4.55
2021-12-06,4.55
2021-12-07,4.55
2021-12-08,4.55
2021-12-09,4.55
2021-12-10,4.55
2021-12-11,4.55
2021-12-12,4.55
2021-12-13,4.55
2021-12-14,4.55
2021-12-15,4.55
2021-12-16,4.55
2021-12-17,4.55
2021-12-18,4.55
2021-12-19,4.55
2021-12-20,4.55
2021-12-21,4.55
2021-12-22,4.55
2021-12-23,4.55
2021-12-24,4.55
2021-12-25,4.55
2021-12-26,4.55
2021-12-27,4.55
2021-12-28,4.55
2021-12-29,4.55
2021-12-30,4.55
2021-12-31,4.55
2022-01-01,4.55
2022-01-02,4.55
2022-01-03,4.55
2022-01-04,4.55
2022-01-05,4.55
2022-01-06,4.55
2022-01-07,4.55
2022-01-08,4.55
2022-01-09,4.55
2022-01-10,4.55
2022-01-11,4.55
2022-01-12,4.55
2022-01-13,4.55
2022-01-14,4.55
2022-01-15,4.55
2022-01-16,4.55
2022-01-17,4.55
2022-01-18,4.55
2022-01-19,4.55
2022-01-20,4.55
2022-01-21,6.09
2022-01-22,6.09
2022-01-23,5.99
2022-01-24,5.99
2022-01-25,5.99
2022-01-26,5.99
2022-01-27,5.99
2022-01-28,5.99
2022-01-29,5.99
2022-01-30,5.99
2022-01-31,5.99
2022-02-01,5.99
2022-02-02,5.99
2022-02-03,5.99
2022-02-04,5.99
2022-02-05,5.99
2022-02-06,5.99
2022-02-07,5.99
2022-02-08,5.99
2022-02-09,5.99
2022-02-10,5.99
2022-02-11,5.99
2022-02-12,5.99
2022-02-13,5.99
2022-02-14,5.99
2022-02-15,5.99
2022-02-16,5.99
2022-02-17,5.99
2022-02-18,5.99
2022-02-19,5.99
2022-02-20,5.99
2022-02-21,5.99
2022-02-22,5.99
2022-02-23,5.99
2022-02-24,5.99
2022-02-25,5.99
2022-02-26,5.99
2022-02-27,5.99
2022-02-28,5.99
2022-03-01,5.99
2022-03-02,5.99
2022-03-03,5.99
2022-03-04,5.99
2022-03-05,5.99
2022-03-06,5.99
2022-03-07,5.99
2022-03-08,5.99
2022-03-09,5.99
2022-03-10,6.33
2022-03-11,6.33
2022-03-12,6.33
2022-03-13,6.33
2022-03-14,6.33
2022-03-15,6.33
2022-03-16,6.33
2022-03-17,6.33
2022-03-18,6.33
2022-03-19,6.33
2022-03-20,6.33
2022-03-21,6.33
2022-03-22,6.33
2022-03-23,6.33
2022-03-24,6.33
2022-03-25,6.33
2022-03-26,6.33
2022-03-27,6.33
2022-03-28,6.28
2022-03-29,6.28
2022-03-30,6.28
2022-03-31,6.28
2022-04-01,6.28
2022-04-02,6.28
2022-04-03,6.28
2022-04-04,6.28
2022-04-05,6.28
2022-04-06,6.28
2022-04-07,6.28
2022-04-08,6.28
2022-04-09,6.28
2022-04-10,6.28
2022-04-11,6.28
2022-04-12,6.28
2022-04-13,6.28
2022-04-14,6.28
2022-04-15,6.28
2022-04-16,6.28
2022-04-17,6.28
2022-04-18,6.28
2022-04-19,6.28
2022-04-20,6.28
2022-04-21,6.09
2022-04-22,6.09
2022-04-23,6.09
2022-04-24,5.945
2022-04-25,5.945
2022-04-26,5.945
2022-04-27,5.945
2022-04-28,5.945
2022-04-29,5.945
2022-04-30,5.945
2022-05-01,5.945
2022-05-02,5.945
2022-05-03,5.945
2022-05-04,5.945
2022-05-05,5.945
2022-05-06,5.945
2022-05-07,5.945
2022-05-08,5.945
2022-05-09,5.945
2022-05-10,5.945
2022-05-11,5.945
2022-05-12,5.945
2022-05-13,5.945
2022-05-14,5.945
2022-05-15,5.945
2022-05-16,5.945
2022-05-17,5.945
2022-05-18,5.945
2022-05-19,5.945
2022-05-20,5.945
2022-05-21,5.945
2022-05-22,5.945
2022-05-23,5.945
2022-05-24,5.945
2022-05-25,6.04
2022-05-26,6.04
2022-05-27,6.04
2022-05-28,6.04
2022-05-29,6.04
2022-05-30,6.04
2022-05-31,6.04
2022-06-01,6.04
2022-06-02,6.04
2022-06-03,6.04
2022-06-04,6.04
2022-06-05,6.04
2022-06-06,6.04
2022-06-07,6.04
2022-06-08,6.04
2022-06-09,6.04
2022-06-10,6.04
2022-06-11,6.04
2022-06-12,6.04
2022-06-13,6.04
2022-06-14,6.04
2022-06-15,6.04
2022-06-16,6.04
2022-06-17,6.04
2022-06-18,6.04
2022-06-19,6.04
2022-06-20,6.04
2022-06-21,6.04
2022-06-22,6.04
2022-06-23,6.04
2022-06-24,6.04
2022-06-25,6.04
2022-06-26,6.04
2022-06-27,6.04
2022-06-28,6.04
2022-06-29,6.04
2022-06-30,6.09
2022-07-01,6.09
2022-07-02,6.09
2022-07-03,6.09
2022-07-04,6.09
2022-07-05,6.09
2022-07-06,6.09
2022-07-07,6.09
2022-07-08,6.09
2022-07-09,6.09
2022-07-10,6.09
2022-07-11,6.09
2022-07-12,6.09
2022-07-13,6.09
2022-07-14,6.09
2022-07-15,6.09
2022-07-16,6.09
2022-07-17,6.09
2022-07-18,6.09
2022-07-19,6.09
2022-07-20,6.09
2022-07-21,6.09
2022-07-22,6.14
2022-07-23,6.14
2022-07-24,6.06
2022-07-25,6.06
2022-07-26,6.06
2022-07-27,6.06
2022-07-28,6.06
2022-07-29,6.06
2022-07-30,6.06
2022-07-31,6.06
2022-08-01,6.06
2022-08-02,6.06
2022-08-03,6.06
2022-08-04,6.06
2022-08-05,6.06
2022-08-06,6.06
2022-08-07,6.06
2022-08-08,6.06
2022-08-09,6.06
2022-08-10,6.06
2022-08-11,6.06
2022-08-12,6.06
2022-08-13,6.06
2022-08-14,6.06
2022-08-15,6.06
2022-08-16,6.06
2022-08-17,6.06
2022-08-18,6.06
2022-08-19,6.06
2022-08-20,6.06
2022-08-21,6.06
2022-08-22,6.06
2022-08-23,6.06
2022-08-24,6.06
2022-08-25,6.06
2022-08-26,6.06
2022-08-27,6.06
2022-08-28,6.06
2022-08-29,6.06
2022-08-30,6.06
2022-08-31,6.06
2022-09-01,6.06
2022-09-02,6.06
2022-09-03,6.06
2022-09-04,6.06
2022-09-05,6.06
2022-09-06,6.06
2022-09-07,6.06
2022-09-08,6.06
2022-09-09,6.06
2022-09-10,6.06
2022-09-11,6.06
2022-09-12,6.06
2022-09-13,6.06
2022-09-14,6.06
2022-09-15,6.06
2022-09-16,6.06
2022-09-17,6.06
2022-09-18,6.06
2022-09-19,6.06
2022-09-20,6.06
2022-09-21,6.06
2022-09-22,6.06
2022-09-23,6.06
2022-09-24,6.06
2022-09-25,6.06
2022-09-26,6.06
2022-09-27,6.06
2022-09-28,6.06
2022-09-29,6.065
2022-09-30,6.065
2022-10-01,6.065
2022-10-02,6.065
2022-10-03,6.065
2022-10-04,6.065
2022-10-05,6.065
2022-10-06,6.165
2022-10-07,6.165
2022-10-08,6.165
2022-10-09,6.165
2022-10-10,6.165
2022-10-11,6.165
2022-10-12,6.165
2022-10-13,6.165
2022-10-14,6.165
2022-10-15,6.165
2022-10-16,6.165
2022-10-17,6.165
2022-10-18,6.165
2022-10-19,6.165
2022-10-20,6.413
2022-10-21,6.413
2022-10-22,6.388
2022-10-23,6.388
2022-10-24,6.483
2022-10-25,6.483
2022-10-26,6.483
2022-10-27,6.483
2022-10-28,6.483
2022-10-29,6.483
2022-10-30,6.483
2022-10-31,6.483
2022-11-01,6.483
2022-11-02,6.483
2022-11-03,6.483
2022-11-04,6.483
2022-11-05,6.483
2022-11-06,6.483
2022-11-07,6.483
2022-11-08,6.483
2022-11-09,6.483
2022-11-10,6.483
2022-11-11,6.483
2022-11-12,6.483
2022-11-13,6.483
2022-11-14,6.483
2022-11-15,6.483
2022-11-16,6.483
2022-11-17,6.483
2022-11-18,6.483
2022-11-19,6.483
2022-11-20,6.483
2022-11-21,6.483
2022-11-22,6.483
2022-11-23,6.483
2022-11-24,6.483
2022-11-25,6.483
2022-11-26,6.483
2022-11-27,6.483
2022-11-28,6.483
2022-11-29,6.483
2022-11-30,6.483
2022-12-01,6.483
2022-12-02,6.483
2022-12-03,6.483
2022-12-04,6.483
2022-12-05,6.483
2022-12-06,6.483
2022-12-07,6.483
2022-12-08,6.483
2022-12-09,6.483
2022-12-10,6.483
2022-12-11,6.483
2022-12-12,6.45
2022-12-13,6.45
2022-12-14,6.475
2022-12-15,6.475
2022-12-16,6.475
2022-12-17,6.475
2022-12-18,6.475
2022-12-19,6.475
2022-12-20,6.475
2022-12-21,6.475
2022-12-22,6.475
2022-12-23,6.475
2022-12-24,6.475
2022-12-25,6.475
2022-12-26,6.475
2022-12-27,6.475
2022-12-28,6.475
2022-12-29,6.475
2022-12-30,6.475
2022-12-31,6.475
2023-01-01,6.475
2023-01-02,6.475
2023-01-03,6.475
2023-01-04,6.443
2023-01-05,6.443
2023-01-06,6.443
2023-01-07,6.443
2023-01-08,6.443
2023-01-09,6.443
2023-01-10,6.443
2023-01-11,6.443
2023-01-12,6.443
2023-01-13,6.443
2023-01-14,6.443
2023-01-15,6.443
2023-01-16,6.443
2023-01-17,6.443
2023-01-18,6.443
2023-01-19,6.443
2023-01-20,6.427
2023-01-21,6.427
2023-01-22,6.427
2023-01-23,6.504
2023-01-24,6.504
2023-01-25,6.504
2023-01-26,6.504
2023-01-27,6.504
2023-01-28,6.504
2023-01-29,6.504
2023-01-30,6.504
2023-01-31,6.51
2023-02-01,6.51
2023-02-02,6.51
2023-02-03,6.51
2023-02-04,6.51
2023-02-05,6.51
2023-02-06,6.51
2023-02-07,6.51
2023-02-08,6.51
2023-02-09,6.51
2023-02-10,6.51
2023-02-11,6.51
2023-02-12,6.51
2023-02-13,6.51
2023-02-14,6.51
2023-02-15,6.51
2023-02-16,6.51
2023-02-17,6.51
2023-02-18,6.51
2023-02-19,6.51
2023-02-20,6.51
2023-02-21,6.51
2023-02-22,6.51
2023-02-23,6.51
2023-02-24,6.51
2023-02-25,6.51
2023-02-26,6.51
2023-02-27,6.51
2023-02-28,6.51
2023-03-01,6.51
2023-03-02,6.51
2023-03-03,6.51
2023-03-04,6.51
2023-03-05,6.51
2023-03-06,6.51
2023-03-07,6.51
2023-03-08,6.51
2023-03-09,6.51
2023-03-10,6.51
2023-03-11,6.51
2023-03-12,6.51
2023-03-13,6.51
2023-03-14,6.51
2023-03-15,6.51
2023-03-16,6.51
2023-03-17,6.51
2023-03-18,6.51
2023-03-19,6.51
2023-03-20,6.51
2023-03-21,6.51
2023-03-22,6.51
2023-03-23,6.51
2023-03-24,6.51
2023-03-25,6.51
2023-03-26,6.51
2023-03-27,6.51
2023-03-28,6.427
2023-03-29,6.427
2023-03-30,6.333
2023-03-31,6.333
2023-04-01,6.333
2023-04-02,6.333
2023-04-03,6.073
2023-04-04,6.032
2023-04-05,6.032
2023-04-06,6.032
2023-04-07,6.032
2023-04-08,6.032
2023-04-09,6.032
2023-04-10,6.032
2023-04-11,6.032
2023-04-12,6.032
2023-04-13,6.032
2023-04-14,6.032
2023-04-15,6.032
2023-04-16,6.032
2023-04-17,6.032
2023-04-18,6.032
2023-04-19,6.032
2023-04-20,5.973
2023-04-21,5.992
2023-04-22,5.992
2023-04-23,5.992
2023-04-24,5.853
2023-04-25,5.853
2023-04-26,5.853
2023-04-27,5.853
2023-04-28,5.853
2023-04-29,5.853
2023-04-30,5.853
2023-05-01,5.853
2023-05-02,5.853
2023-05-03,5.853
2023-05-04,5.853
2023-05-05,5.853
2023-05-06,5.853
2023-05-07,5.853
2023-05-08,5.853
2023-05-09,5.853
2023-05-10,5.853
2023-05-11,5.853
2023-05-12,5.853
2023-05-13,5.853
2023-05-14,5.853
2023-05-15,5.853
2023-05-16,5.853
2023-05-17,5.853
2023-05-18,5.853
2023-05-19,5.853
2023-05-20,5.853
2023-05-21,5.853
2023-05-22,5.853
2023-05-23,5.853
2023-05-24,5.853
2023-05-25,5.853
2023-05-26,5.853
2023-05-27,5.853
2023-05-28,5.853
2023-05-29,5.853
2023-05-30,5.853
2023-05-31,5.853
2023-06-01,5.853
2023-06-02,5.853
2023-06-03,5.853
2023-06-04,5.853
2023-06-05,5.853
2023-06-06,5.853
2023-06-07,5.853
2023-06-08,5.853
2023-06-09,5.853
2023-06-10,5.853
2023-06-11,5.853
2023-06-12,5.853
2023-06-13,5.853
2023-06-14,5.853
2023-06-15,5.853
2023-06-16,5.853
2023-06-17,5.853
2023-06-18,5.853
2023-06-19,5.853
2023-06-20,5.853
2023-06-21,5.853
2023-06-22,5.853
2023-06-23,5.828
2023-06-24,5.828
2023-06-25,5.828
2023-06-26,5.828
2023-06-27,5.807
2023-06-28,5.807
2023-06-29,5.807
2023-06-30,5.807
2023-07-01,5.807
2023-07-02,5.807
2023-07-03,5.807
2023-07-04,5.807
2023-07-05,5.807
2023-07-06,5.807
2023-07-07,5.807
2023-07-08,5.807
2023-07-09,5.807
2023-07-10,5.807
2023-07-11,5.807
2023-07-12,5.807
2023-07-13,5.807
2023-07-14,5.807
2023-07-15,5.807
2023-07-16,5.807
2023-07-17,5.807
2023-07-18,5.807
2023-07-19,5.807
2023-07-20,5.854
2023-07-21,5.16
2023-07-22,5.16
2023-07-23,5.16
2023-07-24,5.16
2023-07-25,5.16
2023-07-26,5.16
2023-07-27,5.16
2023-07-28,5.16
2023-07-29,5.16
2023-07-30,5.16
2023-07-31,5.16
2023-08-01,5.16
2023-08-02,5.16
2023-08-03,5.16
2023-08-04,5.16
2023-08-05,5.16
2023-08-06,5.16
2023-08-07,5.16
2023-08-08,5.16
2023-08-09,5.16
2023-08-10,5.16
2023-08-11,5.16
2023-08-12,5.16
2023-08-13,5.16
2023-08-14,5.16
2023-08-15,5.16
2023-08-16,5.16
2023-08-17,5.16
2023-08-18,5.16
2023-08-19,5.16
2023-08-20,5.16
2023-08-21,5.16
2023-08-22,5.16
2023-08-23,5.16
2023-08-24,5.16
2023-08-25,5.16
2023-08-26,5.16
2023-08-27,5.16
2023-08-28,5.16
2023-08-29,5.16
2023-08-30,5.16
2023-08-31,5.16
2023-09-01,5.16
2023-09-02,5.16
2023-09-03,5.16
2023-09-04,5.16
2023-09-05,5.16
2023-09-06,5.16
2023-09-07,5.16
2023-09-08,5.16
2023-09-09,5.16
2023-09-10,5.16
2023-09-11,5.16
2023-09-12,5.16
2023-09-13,5.16
2023-09-14,5.16
2023-09-15,5.16
2023-09-16,5.16
2023-09-17,5.16
2023-09-18,5.16
2023-09-19,5.16
