,WAFD US Equity
2021-06-17,2.36
2021-06-18,2.36
2021-06-19,2.36
2021-06-20,2.36
2021-06-21,2.36
2021-06-22,2.36
2021-06-23,2.36
2021-06-24,2.36
2021-06-25,2.36
2021-06-26,2.36
2021-06-27,2.36
2021-06-28,2.36
2021-06-29,2.36
2021-06-30,2.36
2021-07-01,2.36
2021-07-02,2.36
2021-07-03,2.36
2021-07-04,2.36
2021-07-05,2.36
2021-07-06,2.36
2021-07-07,2.77
2021-07-08,2.77
2021-07-09,2.77
2021-07-10,2.77
2021-07-11,2.77
2021-07-12,2.77
2021-07-13,2.77
2021-07-14,2.97
2021-07-15,2.97
2021-07-16,2.97
2021-07-17,2.97
2021-07-18,2.97
2021-07-19,2.97
2021-07-20,2.97
2021-07-21,2.97
2021-07-22,2.97
2021-07-23,2.97
2021-07-24,2.97
2021-07-25,2.97
2021-07-26,2.97
2021-07-27,2.97
2021-07-28,2.97
2021-07-29,2.97
2021-07-30,2.97
2021-07-31,2.97
2021-08-01,2.97
2021-08-02,2.97
2021-08-03,2.97
2021-08-04,2.97
2021-08-05,2.97
2021-08-06,2.97
2021-08-07,2.97
2021-08-08,2.97
2021-08-09,2.97
2021-08-10,2.97
2021-08-11,2.97
2021-08-12,2.97
2021-08-13,2.97
2021-08-14,2.97
2021-08-15,2.97
2021-08-16,2.97
2021-08-17,2.97
2021-08-18,2.97
2021-08-19,2.97
2021-08-20,2.97
2021-08-21,2.97
2021-08-22,2.97
2021-08-23,2.97
2021-08-24,2.97
2021-08-25,2.97
2021-08-26,2.97
2021-08-27,2.97
2021-08-28,2.97
2021-08-29,2.97
2021-08-30,2.97
2021-08-31,2.97
2021-09-01,2.97
2021-09-02,2.97
2021-09-03,2.97
2021-09-04,2.97
2021-09-05,2.97
2021-09-06,2.97
2021-09-07,2.97
2021-09-08,2.97
2021-09-09,2.97
2021-09-10,2.97
2021-09-11,2.97
2021-09-12,2.97
2021-09-13,2.97
2021-09-14,2.97
2021-09-15,2.97
2021-09-16,2.97
2021-09-17,2.97
2021-09-18,2.97
2021-09-19,2.97
2021-09-20,2.97
2021-09-21,2.97
2021-09-22,2.97
2021-09-23,2.97
2021-09-24,2.97
2021-09-25,2.97
2021-09-26,2.97
2021-09-27,2.97
2021-09-28,2.97
2021-09-29,2.97
2021-09-30,2.97
2021-10-01,2.97
2021-10-02,2.97
2021-10-03,2.97
2021-10-04,2.97
2021-10-05,2.97
2021-10-06,2.97
2021-10-07,2.97
2021-10-08,2.97
2021-10-09,2.97
2021-10-10,2.97
2021-10-11,2.97
2021-10-12,2.97
2021-10-13,2.97
2021-10-14,2.97
2021-10-15,2.97
2021-10-16,2.97
2021-10-17,2.97
2021-10-18,2.97
2021-10-19,2.97
2021-10-20,2.97
2021-10-21,2.97
2021-10-22,2.97
2021-10-23,2.97
2021-10-24,2.97
2021-10-25,2.97
2021-10-26,2.97
2021-10-27,2.97
2021-10-28,2.97
2021-10-29,2.97
2021-10-30,2.97
2021-10-31,2.97
2021-11-01,2.97
2021-11-02,2.97
2021-11-03,2.97
2021-11-04,2.97
2021-11-05,2.97
2021-11-06,2.97
2021-11-07,2.97
2021-11-08,2.97
2021-11-09,2.97
2021-11-10,2.97
2021-11-11,2.97
2021-11-12,2.97
2021-11-13,2.97
2021-11-14,2.97
2021-11-15,2.97
2021-11-16,2.97
2021-11-17,2.97
2021-11-18,2.97
2021-11-19,2.97
2021-11-20,2.97
2021-11-21,2.97
2021-11-22,2.97
2021-11-23,2.97
2021-11-24,2.97
2021-11-25,2.97
2021-11-26,2.97
2021-11-27,2.97
2021-11-28,2.97
2021-11-29,2.97
2021-11-30,2.97
2021-12-01,2.97
2021-12-02,2.97
2021-12-03,2.97
2021-12-04,2.97
2021-12-05,2.97
2021-12-06,2.97
2021-12-07,2.97
2021-12-08,2.97
2021-12-09,2.97
2021-12-10,2.97
2021-12-11,2.97
2021-12-12,2.97
2021-12-13,2.97
2021-12-14,2.97
2021-12-15,2.97
2021-12-16,2.97
2021-12-17,2.97
2021-12-18,2.97
2021-12-19,2.97
2021-12-20,2.97
2021-12-21,2.97
2021-12-22,2.97
2021-12-23,2.97
2021-12-24,2.97
2021-12-25,2.97
2021-12-26,2.97
2021-12-27,2.97
2021-12-28,2.97
2021-12-29,2.97
2021-12-30,2.97
2021-12-31,2.97
2022-01-01,2.97
2022-01-02,2.97
2022-01-03,2.97
2022-01-04,2.97
2022-01-05,2.97
2022-01-06,2.97
2022-01-07,2.97
2022-01-08,2.97
2022-01-09,2.97
2022-01-10,2.97
2022-01-11,2.97
2022-01-12,2.97
2022-01-13,2.97
2022-01-14,2.97
2022-01-15,2.97
2022-01-16,2.97
2022-01-17,2.97
2022-01-18,3.39
2022-01-19,3.39
2022-01-20,3.39
2022-01-21,3.39
2022-01-22,3.39
2022-01-23,3.39
2022-01-24,3.39
2022-01-25,3.39
2022-01-26,3.39
2022-01-27,3.39
2022-01-28,3.39
2022-01-29,3.39
2022-01-30,3.39
2022-01-31,3.39
2022-02-01,3.39
2022-02-02,3.39
2022-02-03,3.39
2022-02-04,3.39
2022-02-05,3.39
2022-02-06,3.39
2022-02-07,3.39
2022-02-08,3.39
2022-02-09,3.39
2022-02-10,3.39
2022-02-11,3.39
2022-02-12,3.39
2022-02-13,3.39
2022-02-14,3.39
2022-02-15,3.39
2022-02-16,3.39
2022-02-17,3.39
2022-02-18,3.39
2022-02-19,3.39
2022-02-20,3.39
2022-02-21,3.39
2022-02-22,3.39
2022-02-23,3.39
2022-02-24,3.39
2022-02-25,3.39
2022-02-26,3.39
2022-02-27,3.39
2022-02-28,3.39
2022-03-01,3.39
2022-03-02,3.39
2022-03-03,3.39
2022-03-04,3.39
2022-03-05,3.39
2022-03-06,3.39
2022-03-07,3.39
2022-03-08,3.39
2022-03-09,3.39
2022-03-10,3.43
2022-03-11,3.43
2022-03-12,3.43
2022-03-13,3.43
2022-03-14,3.43
2022-03-15,3.43
2022-03-16,3.43
2022-03-17,3.43
2022-03-18,3.43
2022-03-19,3.43
2022-03-20,3.43
2022-03-21,3.43
2022-03-22,3.43
2022-03-23,3.43
2022-03-24,3.43
2022-03-25,3.43
2022-03-26,3.43
2022-03-27,3.43
2022-03-28,3.43
2022-03-29,3.43
2022-03-30,3.43
2022-03-31,3.43
2022-04-01,3.43
2022-04-02,3.43
2022-04-03,3.43
2022-04-04,3.36
2022-04-05,3.36
2022-04-06,3.36
2022-04-07,3.36
2022-04-08,3.36
2022-04-09,3.36
2022-04-10,3.36
2022-04-11,3.36
2022-04-12,3.36
2022-04-13,3.36
2022-04-14,3.53
2022-04-15,3.53
2022-04-16,3.53
2022-04-17,3.53
2022-04-18,3.52
2022-04-19,3.52
2022-04-20,3.52
2022-04-21,3.52
2022-04-22,3.52
2022-04-23,3.52
2022-04-24,3.52
2022-04-25,3.52
2022-04-26,3.52
2022-04-27,3.52
2022-04-28,3.52
2022-04-29,3.52
2022-04-30,3.52
2022-05-01,3.52
2022-05-02,3.52
2022-05-03,3.52
2022-05-04,3.52
2022-05-05,3.52
2022-05-06,3.52
2022-05-07,3.52
2022-05-08,3.52
2022-05-09,3.52
2022-05-10,3.52
2022-05-11,3.52
2022-05-12,3.52
2022-05-13,3.52
2022-05-14,3.52
2022-05-15,3.52
2022-05-16,3.52
2022-05-17,3.52
2022-05-18,3.52
2022-05-19,3.52
2022-05-20,3.52
2022-05-21,3.52
2022-05-22,3.52
2022-05-23,3.52
2022-05-24,3.52
2022-05-25,3.785
2022-05-26,3.785
2022-05-27,3.785
2022-05-28,3.785
2022-05-29,3.785
2022-05-30,3.785
2022-05-31,3.785
2022-06-01,3.785
2022-06-02,3.785
2022-06-03,3.785
2022-06-04,3.785
2022-06-05,3.785
2022-06-06,3.785
2022-06-07,3.785
2022-06-08,3.785
2022-06-09,3.785
2022-06-10,3.785
2022-06-11,3.785
2022-06-12,3.785
2022-06-13,3.785
2022-06-14,3.785
2022-06-15,3.785
2022-06-16,3.785
2022-06-17,3.785
2022-06-18,3.785
2022-06-19,3.785
2022-06-20,3.785
2022-06-21,3.785
2022-06-22,3.785
2022-06-23,3.785
2022-06-24,3.785
2022-06-25,3.785
2022-06-26,3.785
2022-06-27,3.785
2022-06-28,3.785
2022-06-29,3.735
2022-06-30,3.675
2022-07-01,3.675
2022-07-02,3.675
2022-07-03,3.675
2022-07-04,3.675
2022-07-05,3.675
2022-07-06,3.675
2022-07-07,3.675
2022-07-08,3.675
2022-07-09,3.675
2022-07-10,3.675
2022-07-11,3.675
2022-07-12,3.675
2022-07-13,3.675
2022-07-14,3.675
2022-07-15,3.675
2022-07-16,3.675
2022-07-17,3.675
2022-07-18,3.675
2022-07-19,3.675
2022-07-20,3.675
2022-07-21,3.675
2022-07-22,3.675
2022-07-23,3.675
2022-07-24,3.675
2022-07-25,3.675
2022-07-26,3.675
2022-07-27,3.675
2022-07-28,3.675
2022-07-29,3.675
2022-07-30,3.675
2022-07-31,3.675
2022-08-01,3.675
2022-08-02,3.675
2022-08-03,3.675
2022-08-04,3.675
2022-08-05,3.675
2022-08-06,3.675
2022-08-07,3.675
2022-08-08,3.675
2022-08-09,3.675
2022-08-10,3.675
2022-08-11,3.675
2022-08-12,3.675
2022-08-13,3.675
2022-08-14,3.675
2022-08-15,3.675
2022-08-16,3.675
2022-08-17,3.675
2022-08-18,3.675
2022-08-19,3.675
2022-08-20,3.675
2022-08-21,3.675
2022-08-22,3.675
2022-08-23,3.675
2022-08-24,3.675
2022-08-25,3.675
2022-08-26,3.675
2022-08-27,3.675
2022-08-28,3.675
2022-08-29,3.675
2022-08-30,3.675
2022-08-31,3.675
2022-09-01,3.675
2022-09-02,3.675
2022-09-03,3.675
2022-09-04,3.675
2022-09-05,3.675
2022-09-06,3.675
2022-09-07,3.675
2022-09-08,3.675
2022-09-09,3.675
2022-09-10,3.675
2022-09-11,3.675
2022-09-12,3.675
2022-09-13,3.675
2022-09-14,3.675
2022-09-15,3.675
2022-09-16,3.675
2022-09-17,3.675
2022-09-18,3.675
2022-09-19,3.675
2022-09-20,3.675
2022-09-21,3.675
2022-09-22,3.675
2022-09-23,3.675
2022-09-24,3.675
2022-09-25,3.675
2022-09-26,3.675
2022-09-27,3.675
2022-09-28,3.675
2022-09-29,3.625
2022-09-30,3.625
2022-10-01,3.625
2022-10-02,3.625
2022-10-03,3.625
2022-10-04,3.625
2022-10-05,3.625
2022-10-06,3.625
2022-10-07,3.625
2022-10-08,3.625
2022-10-09,3.625
2022-10-10,3.625
2022-10-11,3.625
2022-10-12,3.625
2022-10-13,3.625
2022-10-14,3.875
2022-10-15,3.875
2022-10-16,4.175
2022-10-17,4.117
2022-10-18,4.117
2022-10-19,4.117
2022-10-20,4.117
2022-10-21,4.117
2022-10-22,4.117
2022-10-23,4.117
2022-10-24,4.117
2022-10-25,4.117
2022-10-26,4.117
2022-10-27,4.117
2022-10-28,4.117
2022-10-29,4.117
2022-10-30,4.117
2022-10-31,4.117
2022-11-01,4.117
2022-11-02,4.117
2022-11-03,4.117
2022-11-04,4.117
2022-11-05,4.117
2022-11-06,4.117
2022-11-07,4.117
2022-11-08,4.117
2022-11-09,4.117
2022-11-10,4.117
2022-11-11,4.117
2022-11-12,4.117
2022-11-13,4.117
2022-11-14,4.32
2022-11-15,4.32
2022-11-16,4.32
2022-11-17,4.32
2022-11-18,4.32
2022-11-19,4.32
2022-11-20,4.32
2022-11-21,4.32
2022-11-22,4.32
2022-11-23,4.32
2022-11-24,4.32
2022-11-25,4.32
2022-11-26,4.32
2022-11-27,4.32
2022-11-28,4.32
2022-11-29,4.32
2022-11-30,4.32
2022-12-01,4.32
2022-12-02,4.32
2022-12-03,4.32
2022-12-04,4.32
2022-12-05,4.32
2022-12-06,4.32
2022-12-07,4.32
2022-12-08,4.32
2022-12-09,4.32
2022-12-10,4.32
2022-12-11,4.32
2022-12-12,4.32
2022-12-13,4.32
2022-12-14,4.32
2022-12-15,4.32
2022-12-16,4.32
2022-12-17,4.32
2022-12-18,4.32
2022-12-19,4.32
2022-12-20,4.32
2022-12-21,4.32
2022-12-22,4.32
2022-12-23,4.32
2022-12-24,4.32
2022-12-25,4.32
2022-12-26,4.32
2022-12-27,4.32
2022-12-28,4.32
2022-12-29,4.32
2022-12-30,4.32
2022-12-31,4.32
2023-01-01,4.32
2023-01-02,4.32
2023-01-03,4.32
2023-01-04,4.32
2023-01-05,4.32
2023-01-06,4.32
2023-01-07,4.32
2023-01-08,4.32
2023-01-09,4.32
2023-01-10,4.32
2023-01-11,4.32
2023-01-12,4.32
2023-01-13,4.387
2023-01-14,4.42
2023-01-15,4.42
2023-01-16,4.433
2023-01-17,4.433
2023-01-18,4.433
2023-01-19,4.433
2023-01-20,4.433
2023-01-21,4.433
2023-01-22,4.433
2023-01-23,4.433
2023-01-24,4.433
2023-01-25,4.433
2023-01-26,4.433
2023-01-27,4.433
2023-01-28,4.433
2023-01-29,4.433
2023-01-30,4.433
2023-01-31,4.433
2023-02-01,4.433
2023-02-02,4.433
2023-02-03,4.433
2023-02-04,4.433
2023-02-05,4.433
2023-02-06,4.433
2023-02-07,4.433
2023-02-08,4.433
2023-02-09,4.433
2023-02-10,4.433
2023-02-11,4.433
2023-02-12,4.433
2023-02-13,4.433
2023-02-14,4.433
2023-02-15,4.433
2023-02-16,4.433
2023-02-17,4.433
2023-02-18,4.433
2023-02-19,4.433
2023-02-20,4.433
2023-02-21,4.433
2023-02-22,4.433
2023-02-23,4.433
2023-02-24,4.433
2023-02-25,4.433
2023-02-26,4.433
2023-02-27,4.433
2023-02-28,4.433
2023-03-01,4.433
2023-03-02,4.433
2023-03-03,4.433
2023-03-04,4.433
2023-03-05,4.433
2023-03-06,4.433
2023-03-07,4.433
2023-03-08,4.433
2023-03-09,4.433
2023-03-10,4.433
2023-03-11,4.433
2023-03-12,4.433
2023-03-13,4.433
2023-03-14,4.433
2023-03-15,4.433
2023-03-16,4.433
2023-03-17,4.433
2023-03-18,4.433
2023-03-19,4.433
2023-03-20,4.433
2023-03-21,4.433
2023-03-22,4.433
2023-03-23,4.433
2023-03-24,4.433
2023-03-25,4.433
2023-03-26,4.433
2023-03-27,4.433
2023-03-28,4.433
2023-03-29,4.433
2023-03-30,4.2
2023-03-31,4.22
2023-04-01,4.22
2023-04-02,4.22
2023-04-03,4.22
2023-04-04,4.158
2023-04-05,4.158
2023-04-06,4.26
2023-04-07,4.26
2023-04-08,4.26
2023-04-09,4.26
2023-04-10,4.26
2023-04-11,4.26
2023-04-12,4.26
2023-04-13,4.26
2023-04-14,4.093
2023-04-15,4.093
2023-04-16,3.858
2023-04-17,3.858
2023-04-18,3.858
2023-04-19,3.858
2023-04-20,3.858
2023-04-21,3.858
2023-04-22,3.858
2023-04-23,3.858
2023-04-24,3.858
2023-04-25,3.858
2023-04-26,3.858
2023-04-27,3.735
2023-04-28,3.735
2023-04-29,3.735
2023-04-30,3.735
2023-05-01,3.735
2023-05-02,3.735
2023-05-03,3.735
2023-05-04,3.698
2023-05-05,3.698
2023-05-06,3.698
2023-05-07,3.698
2023-05-08,3.698
2023-05-09,3.698
2023-05-10,3.698
2023-05-11,3.698
2023-05-12,3.698
2023-05-13,3.698
2023-05-14,3.698
2023-05-15,3.695
2023-05-16,3.695
2023-05-17,3.695
2023-05-18,3.695
2023-05-19,3.695
2023-05-20,3.695
2023-05-21,3.695
2023-05-22,3.695
2023-05-23,3.695
2023-05-24,3.695
2023-05-25,3.695
2023-05-26,3.695
2023-05-27,3.695
2023-05-28,3.695
2023-05-29,3.695
2023-05-30,3.695
2023-05-31,3.695
2023-06-01,3.695
2023-06-02,3.695
2023-06-03,3.695
2023-06-04,3.695
2023-06-05,3.695
2023-06-06,3.695
2023-06-07,3.695
2023-06-08,3.695
2023-06-09,3.695
2023-06-10,3.695
2023-06-11,3.695
2023-06-12,3.695
2023-06-13,3.695
2023-06-14,3.695
2023-06-15,3.695
2023-06-16,3.63
2023-06-17,3.63
2023-06-18,3.63
2023-06-19,3.63
2023-06-20,3.63
2023-06-21,3.63
2023-06-22,3.63
2023-06-23,3.715
2023-06-24,3.715
2023-06-25,3.715
2023-06-26,3.715
2023-06-27,3.677
2023-06-28,3.623
2023-06-29,3.623
2023-06-30,3.623
2023-07-01,3.623
2023-07-02,3.623
2023-07-03,3.623
2023-07-04,3.623
2023-07-05,3.623
2023-07-06,3.623
2023-07-07,3.623
2023-07-08,3.623
2023-07-09,3.623
2023-07-10,3.603
2023-07-11,3.603
2023-07-12,3.603
2023-07-13,3.603
2023-07-14,3.603
2023-07-15,3.615
2023-07-16,3.615
2023-07-17,3.563
2023-07-18,3.563
2023-07-19,3.563
2023-07-20,3.563
2023-07-21,3.563
2023-07-22,3.563
2023-07-23,3.563
2023-07-24,3.563
2023-07-25,3.563
2023-07-26,3.563
2023-07-27,3.563
2023-07-28,3.515
2023-07-29,3.515
2023-07-30,3.515
2023-07-31,3.515
2023-08-01,3.515
2023-08-02,3.515
2023-08-03,3.515
2023-08-04,3.515
2023-08-05,3.515
2023-08-06,3.515
2023-08-07,3.515
2023-08-08,3.51
2023-08-09,3.51
2023-08-10,3.51
2023-08-11,3.51
2023-08-12,3.51
2023-08-13,3.51
2023-08-14,3.51
2023-08-15,3.51
2023-08-16,3.51
2023-08-17,3.51
2023-08-18,3.51
2023-08-19,3.51
2023-08-20,3.51
2023-08-21,3.51
2023-08-22,3.51
2023-08-23,3.51
2023-08-24,3.51
2023-08-25,3.51
2023-08-26,3.51
2023-08-27,3.51
2023-08-28,3.51
2023-08-29,3.51
2023-08-30,3.51
2023-08-31,3.51
2023-09-01,3.567
2023-09-02,3.567
2023-09-03,3.567
2023-09-04,3.567
2023-09-05,3.567
2023-09-06,3.567
2023-09-07,3.567
2023-09-08,3.567
2023-09-09,3.567
2023-09-10,3.567
2023-09-11,3.567
2023-09-12,3.567
2023-09-13,3.567
2023-09-14,3.567
2023-09-15,3.567
2023-09-16,3.567
2023-09-17,3.567
2023-09-18,3.567
2023-09-19,3.567
