,SMG US Equity
2021-05-01,11.24
2021-05-02,11.24
2021-05-03,11.24
2021-05-04,11.24
2021-05-05,11.24
2021-05-06,12.26
2021-05-07,12.26
2021-05-08,12.26
2021-05-09,12.26
2021-05-10,12.26
2021-05-11,12.26
2021-05-12,12.26
2021-05-13,12.26
2021-05-14,12.26
2021-05-15,12.26
2021-05-16,12.26
2021-05-17,12.26
2021-05-18,12.26
2021-05-19,12.26
2021-05-20,12.26
2021-05-21,12.26
2021-05-22,12.26
2021-05-23,12.26
2021-05-24,12.26
2021-05-25,12.26
2021-05-26,12.26
2021-05-27,12.26
2021-05-28,12.26
2021-05-29,12.26
2021-05-30,12.26
2021-05-31,12.26
2021-06-01,12.26
2021-06-02,12.26
2021-06-03,12.26
2021-06-04,12.26
2021-06-05,12.26
2021-06-06,12.26
2021-06-07,12.26
2021-06-08,12.195
2021-06-09,12.195
2021-06-10,12.195
2021-06-11,12.195
2021-06-12,12.195
2021-06-13,12.195
2021-06-14,12.195
2021-06-15,12.195
2021-06-16,12.195
2021-06-17,12.195
2021-06-18,12.195
2021-06-19,12.195
2021-06-20,12.195
2021-06-21,12.195
2021-06-22,12.195
2021-06-23,11.19
2021-06-24,11.19
2021-06-25,11.19
2021-06-26,11.19
2021-06-27,11.19
2021-06-28,11.19
2021-06-29,11.19
2021-06-30,11.19
2021-07-01,11.19
2021-07-02,11.19
2021-07-03,11.19
2021-07-04,11.19
2021-07-05,11.19
2021-07-06,11.19
2021-07-07,11.19
2021-07-08,11.19
2021-07-09,11.19
2021-07-10,11.19
2021-07-11,11.19
2021-07-12,11.19
2021-07-13,11.19
2021-07-14,11.19
2021-07-15,11.19
2021-07-16,11.19
2021-07-17,11.19
2021-07-18,11.19
2021-07-19,11.19
2021-07-20,11.19
2021-07-21,11.19
2021-07-22,11.19
2021-07-23,11.19
2021-07-24,11.19
2021-07-25,11.19
2021-07-26,11.19
2021-07-27,11.19
2021-07-28,11.19
2021-07-29,11.19
2021-07-30,11.19
2021-07-31,11.19
2021-08-01,11.19
2021-08-02,11.19
2021-08-03,11.19
2021-08-04,11.18
2021-08-05,11.08
2021-08-06,11.08
2021-08-07,11.08
2021-08-08,11.08
2021-08-09,11.08
2021-08-10,11.08
2021-08-11,11.08
2021-08-12,11.08
2021-08-13,11.08
2021-08-14,11.08
2021-08-15,11.08
2021-08-16,11.08
2021-08-17,11.08
2021-08-18,11.08
2021-08-19,11.08
2021-08-20,11.08
2021-08-21,11.08
2021-08-22,11.08
2021-08-23,11.08
2021-08-24,11.08
2021-08-25,11.08
2021-08-26,11.08
2021-08-27,11.08
2021-08-28,11.08
2021-08-29,11.08
2021-08-30,11.08
2021-08-31,11.08
2021-09-01,10.797
2021-09-02,10.797
2021-09-03,10.797
2021-09-04,10.797
2021-09-05,10.797
2021-09-06,10.797
2021-09-07,10.797
2021-09-08,10.797
2021-09-09,10.797
2021-09-10,10.797
2021-09-11,10.797
2021-09-12,10.797
2021-09-13,10.797
2021-09-14,10.797
2021-09-15,10.797
2021-09-16,10.797
2021-09-17,10.797
2021-09-18,10.797
2021-09-19,10.797
2021-09-20,10.797
2021-09-21,10.797
2021-09-22,10.797
2021-09-23,10.797
2021-09-24,10.797
2021-09-25,10.797
2021-09-26,10.797
2021-09-27,10.797
2021-09-28,10.797
2021-09-29,10.797
2021-09-30,10.797
2021-10-01,10.797
2021-10-02,10.797
2021-10-03,10.797
2021-10-04,10.797
2021-10-05,10.797
2021-10-06,10.797
2021-10-07,10.797
2021-10-08,10.797
2021-10-09,10.797
2021-10-10,10.797
2021-10-11,10.797
2021-10-12,10.797
2021-10-13,10.797
2021-10-14,10.797
2021-10-15,10.797
2021-10-16,10.797
2021-10-17,10.797
2021-10-18,10.797
2021-10-19,10.797
2021-10-20,10.797
2021-10-21,10.797
2021-10-22,10.797
2021-10-23,10.797
2021-10-24,10.797
2021-10-25,10.797
2021-10-26,10.797
2021-10-27,10.797
2021-10-28,10.797
2021-10-29,10.797
2021-10-30,10.797
2021-10-31,10.797
2021-11-01,10.797
2021-11-02,10.797
2021-11-03,10.74
2021-11-04,10.765
2021-11-05,10.765
2021-11-06,10.765
2021-11-07,10.765
2021-11-08,10.765
2021-11-09,10.765
2021-11-10,10.765
2021-11-11,10.765
2021-11-12,10.765
2021-11-13,10.765
2021-11-14,10.765
2021-11-15,10.555
2021-11-16,10.555
2021-11-17,10.555
2021-11-18,10.62
2021-11-19,10.62
2021-11-20,10.62
2021-11-21,10.62
2021-11-22,10.62
2021-11-23,10.62
2021-11-24,10.62
2021-11-25,10.62
2021-11-26,10.62
2021-11-27,10.62
2021-11-28,10.62
2021-11-29,10.62
2021-11-30,10.62
2021-12-01,10.62
2021-12-02,10.62
2021-12-03,10.62
2021-12-04,10.62
2021-12-05,10.62
2021-12-06,10.628
2021-12-07,10.628
2021-12-08,10.628
2021-12-09,10.628
2021-12-10,10.628
2021-12-11,10.628
2021-12-12,10.628
2021-12-13,10.628
2021-12-14,10.628
2021-12-15,10.628
2021-12-16,10.628
2021-12-17,10.628
2021-12-18,10.628
2021-12-19,10.628
2021-12-20,10.628
2021-12-21,10.628
2021-12-22,10.628
2021-12-23,10.628
2021-12-24,10.628
2021-12-25,10.628
2021-12-26,10.628
2021-12-27,10.628
2021-12-28,10.628
2021-12-29,10.628
2021-12-30,10.628
2021-12-31,10.628
2022-01-01,10.628
2022-01-02,10.628
2022-01-03,10.628
2022-01-04,10.612
2022-01-05,10.493
2022-01-06,10.5
2022-01-07,10.5
2022-01-08,10.5
2022-01-09,10.5
2022-01-10,10.5
2022-01-11,10.5
2022-01-12,10.5
2022-01-13,10.5
2022-01-14,10.5
2022-01-15,10.5
2022-01-16,10.5
2022-01-17,10.5
2022-01-18,10.501
2022-01-19,10.501
2022-01-20,10.501
2022-01-21,10.501
2022-01-22,10.501
2022-01-23,10.501
2022-01-24,10.501
2022-01-25,10.501
2022-01-26,10.608
2022-01-27,10.608
2022-01-28,10.608
2022-01-29,10.608
2022-01-30,10.608
2022-01-31,10.608
2022-02-01,10.666
2022-02-02,10.649
2022-02-03,10.649
2022-02-04,10.649
2022-02-05,10.649
2022-02-06,10.649
2022-02-07,10.649
2022-02-08,10.683
2022-02-09,10.67
2022-02-10,10.67
2022-02-11,10.67
2022-02-12,10.67
2022-02-13,10.67
2022-02-14,10.67
2022-02-15,10.671
2022-02-16,10.674
2022-02-17,10.674
2022-02-18,10.674
2022-02-19,10.674
2022-02-20,10.674
2022-02-21,10.674
2022-02-22,10.674
2022-02-23,10.674
2022-02-24,10.674
2022-02-25,10.674
2022-02-26,10.674
2022-02-27,10.674
2022-02-28,10.674
2022-03-01,10.674
2022-03-02,10.674
2022-03-03,10.674
2022-03-04,10.693
2022-03-05,10.693
2022-03-06,10.693
2022-03-07,10.693
2022-03-08,10.539
2022-03-09,10.376
2022-03-10,10.376
2022-03-11,10.376
2022-03-12,10.376
2022-03-13,10.376
2022-03-14,10.376
2022-03-15,10.284
2022-03-16,10.284
2022-03-17,10.238
2022-03-18,10.238
2022-03-19,10.238
2022-03-20,10.238
2022-03-21,10.238
2022-03-22,10.238
2022-03-23,10.238
2022-03-24,10.238
2022-03-25,10.238
2022-03-26,10.238
2022-03-27,10.238
2022-03-28,10.238
2022-03-29,10.238
2022-03-30,10.238
2022-03-31,10.238
2022-04-01,10.238
2022-04-02,10.238
2022-04-03,10.238
2022-04-04,10.238
2022-04-05,10.238
2022-04-06,10.238
2022-04-07,10.238
2022-04-08,10.238
2022-04-09,10.238
2022-04-10,10.238
2022-04-11,10.238
2022-04-12,10.238
2022-04-13,10.238
2022-04-14,10.238
2022-04-15,10.238
2022-04-16,10.238
2022-04-17,10.238
2022-04-18,10.238
2022-04-19,10.141
2022-04-20,10.141
2022-04-21,9.984
2022-04-22,9.984
2022-04-23,9.984
2022-04-24,9.984
2022-04-25,9.984
2022-04-26,9.984
2022-04-27,9.783
2022-04-28,9.783
2022-04-29,9.783
2022-04-30,9.783
2022-05-01,9.783
2022-05-02,9.783
2022-05-03,9.576
2022-05-04,9.463
2022-05-05,9.26
2022-05-06,9.26
2022-05-07,9.26
2022-05-08,9.26
2022-05-09,9.26
2022-05-10,9.209
2022-05-11,9.209
2022-05-12,9.209
2022-05-13,9.209
2022-05-14,9.209
2022-05-15,9.209
2022-05-16,9.209
2022-05-17,9.209
2022-05-18,9.209
2022-05-19,9.209
2022-05-20,9.209
2022-05-21,9.209
2022-05-22,9.209
2022-05-23,9.209
2022-05-24,9.209
2022-05-25,9.209
2022-05-26,9.209
2022-05-27,9.209
2022-05-28,9.209
2022-05-29,9.209
2022-05-30,9.209
2022-05-31,9.209
2022-06-01,9.143
2022-06-02,8.901
2022-06-03,8.901
2022-06-04,8.901
2022-06-05,8.901
2022-06-06,8.901
2022-06-07,8.901
2022-06-08,8.789
2022-06-09,8.186
2022-06-10,8.026
2022-06-11,8.026
2022-06-12,8.026
2022-06-13,7.744
2022-06-14,7.744
2022-06-15,7.744
2022-06-16,7.744
2022-06-17,7.744
2022-06-18,7.744
2022-06-19,7.744
2022-06-20,7.744
2022-06-21,7.744
2022-06-22,7.744
2022-06-23,7.744
2022-06-24,7.744
2022-06-25,7.744
2022-06-26,7.744
2022-06-27,7.744
2022-06-28,7.744
2022-06-29,7.746
2022-06-30,7.746
2022-07-01,7.746
2022-07-02,7.746
2022-07-03,7.746
2022-07-04,7.746
2022-07-05,7.746
2022-07-06,7.746
2022-07-07,7.746
2022-07-08,7.746
2022-07-09,7.746
2022-07-10,7.746
2022-07-11,7.746
2022-07-12,7.746
2022-07-13,7.746
2022-07-14,7.746
2022-07-15,7.746
2022-07-16,7.746
2022-07-17,7.746
2022-07-18,7.746
2022-07-19,7.746
2022-07-20,7.45
2022-07-21,7.45
2022-07-22,7.183
2022-07-23,7.183
2022-07-24,7.183
2022-07-25,7.183
2022-07-26,7.183
2022-07-27,7.183
2022-07-28,7.183
2022-07-29,7.183
2022-07-30,7.176
2022-07-31,7.176
2022-08-01,7.176
2022-08-02,7.176
2022-08-03,6.784
2022-08-04,6.417
2022-08-05,6.144
2022-08-06,6.144
2022-08-07,6.144
2022-08-08,6.144
2022-08-09,6.144
2022-08-10,6.144
2022-08-11,6.144
2022-08-12,6.144
2022-08-13,6.144
2022-08-14,6.144
2022-08-15,6.04
2022-08-16,6.04
2022-08-17,6.04
2022-08-18,6.04
2022-08-19,6.04
2022-08-20,6.04
2022-08-21,6.04
2022-08-22,6.04
2022-08-23,6.04
2022-08-24,6.04
2022-08-25,6.04
2022-08-26,6.04
2022-08-27,6.04
2022-08-28,6.04
2022-08-29,5.969
2022-08-30,5.969
2022-08-31,5.961
2022-09-01,5.961
2022-09-02,5.961
2022-09-03,5.961
2022-09-04,5.961
2022-09-05,5.961
2022-09-06,5.961
2022-09-07,5.819
2022-09-08,5.819
2022-09-09,5.819
2022-09-10,5.819
2022-09-11,5.819
2022-09-12,5.819
2022-09-13,5.819
2022-09-14,5.819
2022-09-15,5.819
2022-09-16,5.819
2022-09-17,5.819
2022-09-18,5.819
2022-09-19,5.819
2022-09-20,5.819
2022-09-21,5.819
2022-09-22,5.819
2022-09-23,5.819
2022-09-24,5.819
2022-09-25,5.819
2022-09-26,5.819
2022-09-27,5.819
2022-09-28,5.819
2022-09-29,5.819
2022-09-30,5.819
2022-10-01,5.819
2022-10-02,5.816
2022-10-03,5.816
2022-10-04,5.816
2022-10-05,5.816
2022-10-06,5.725
2022-10-07,5.542
2022-10-08,5.542
2022-10-09,5.542
2022-10-10,5.542
2022-10-11,5.542
2022-10-12,5.542
2022-10-13,5.542
2022-10-14,5.542
2022-10-15,5.542
2022-10-16,5.542
2022-10-17,5.542
2022-10-18,5.542
2022-10-19,5.542
2022-10-20,5.542
2022-10-21,5.542
2022-10-22,5.542
2022-10-23,5.542
2022-10-24,5.542
2022-10-25,5.542
2022-10-26,5.555
2022-10-27,5.555
2022-10-28,5.555
2022-10-29,5.555
2022-10-30,5.555
2022-10-31,5.555
2022-11-01,5.555
2022-11-02,5.05
2022-11-03,4.799
2022-11-04,4.799
2022-11-05,4.799
2022-11-06,4.799
2022-11-07,4.799
2022-11-08,4.651
2022-11-09,4.651
2022-11-10,4.651
2022-11-11,4.651
2022-11-12,4.651
2022-11-13,4.651
2022-11-14,4.651
2022-11-15,4.651
2022-11-16,4.651
2022-11-17,4.651
2022-11-18,4.651
2022-11-19,4.651
2022-11-20,4.651
2022-11-21,4.651
2022-11-22,4.651
2022-11-23,4.651
2022-11-24,4.651
2022-11-25,4.651
2022-11-26,4.651
2022-11-27,4.651
2022-11-28,4.651
2022-11-29,4.651
2022-11-30,4.651
2022-12-01,4.651
2022-12-02,4.651
2022-12-03,4.651
2022-12-04,4.651
2022-12-05,4.651
2022-12-06,4.651
2022-12-07,4.651
2022-12-08,4.651
2022-12-09,4.651
2022-12-10,4.651
2022-12-11,4.651
2022-12-12,4.651
2022-12-13,4.651
2022-12-14,4.651
2022-12-15,4.51
2022-12-16,4.51
2022-12-17,4.51
2022-12-18,4.51
2022-12-19,4.51
2022-12-20,4.51
2022-12-21,4.51
2022-12-22,4.51
2022-12-23,4.51
2022-12-24,4.51
2022-12-25,4.51
2022-12-26,4.51
2022-12-27,4.51
2022-12-28,4.51
2022-12-29,4.51
2022-12-30,4.51
2022-12-31,4.51
2023-01-01,4.51
2023-01-02,4.51
2023-01-03,4.51
2023-01-04,4.51
2023-01-05,4.51
2023-01-06,4.51
2023-01-07,4.51
2023-01-08,4.51
2023-01-09,4.51
2023-01-10,4.51
2023-01-11,4.51
2023-01-12,4.51
2023-01-13,4.51
2023-01-14,4.51
2023-01-15,4.51
2023-01-16,4.51
2023-01-17,4.51
2023-01-18,4.51
2023-01-19,4.51
2023-01-20,4.51
2023-01-21,4.51
2023-01-22,4.51
2023-01-23,4.51
2023-01-24,4.51
2023-01-25,4.51
2023-01-26,4.474
2023-01-27,4.503
2023-01-28,4.503
2023-01-29,4.503
2023-01-30,4.474
2023-01-31,4.556
2023-02-01,4.516
2023-02-02,4.516
2023-02-03,4.543
2023-02-04,4.543
2023-02-05,4.543
2023-02-06,4.543
2023-02-07,4.543
2023-02-08,4.543
2023-02-09,4.543
2023-02-10,4.543
2023-02-11,4.543
2023-02-12,4.543
2023-02-13,4.543
2023-02-14,4.543
2023-02-15,4.503
2023-02-16,4.503
2023-02-17,4.503
2023-02-18,4.503
2023-02-19,4.503
2023-02-20,4.503
2023-02-21,4.566
2023-02-22,4.515
2023-02-23,4.515
2023-02-24,4.515
2023-02-25,4.515
2023-02-26,4.515
2023-02-27,4.515
2023-02-28,4.515
2023-03-01,4.512
2023-03-02,4.512
2023-03-03,4.512
2023-03-04,4.512
2023-03-05,4.512
2023-03-06,4.512
2023-03-07,4.512
2023-03-08,4.512
2023-03-09,4.512
2023-03-10,4.512
2023-03-11,4.512
2023-03-12,4.512
2023-03-13,4.512
2023-03-14,4.512
2023-03-15,4.512
2023-03-16,4.512
2023-03-17,4.512
2023-03-18,4.512
2023-03-19,4.512
2023-03-20,4.512
2023-03-21,4.512
2023-03-22,4.512
2023-03-23,4.489
2023-03-24,4.489
2023-03-25,4.489
2023-03-26,4.489
2023-03-27,4.489
2023-03-28,4.489
2023-03-29,4.489
2023-03-30,4.489
2023-03-31,3.985
2023-04-01,3.985
2023-04-02,3.985
2023-04-03,3.985
2023-04-04,3.985
2023-04-05,3.985
2023-04-06,3.989
2023-04-07,3.989
2023-04-08,3.989
2023-04-09,3.989
2023-04-10,3.989
2023-04-11,3.989
2023-04-12,3.989
2023-04-13,3.989
2023-04-14,3.989
2023-04-15,3.989
2023-04-16,3.989
2023-04-17,3.989
2023-04-18,3.99
2023-04-19,3.99
2023-04-20,3.99
2023-04-21,3.99
2023-04-22,3.99
2023-04-23,3.99
2023-04-24,3.99
2023-04-25,3.99
2023-04-26,3.933
2023-04-27,3.933
2023-04-28,3.933
2023-04-29,3.933
2023-04-30,3.893
2023-05-01,3.918
2023-05-02,3.918
2023-05-03,3.849
2023-05-04,3.82
2023-05-05,3.769
2023-05-06,3.769
2023-05-07,3.769
2023-05-08,3.723
2023-05-09,3.723
2023-05-10,3.723
2023-05-11,3.723
2023-05-12,3.723
2023-05-13,3.723
2023-05-14,3.723
2023-05-15,3.723
2023-05-16,3.723
2023-05-17,4.132
2023-05-18,4.132
2023-05-19,4.132
2023-05-20,4.132
2023-05-21,4.132
2023-05-22,4.132
2023-05-23,4.132
2023-05-24,4.132
2023-05-25,4.132
2023-05-26,4.132
2023-05-27,4.132
2023-05-28,4.132
2023-05-29,4.132
2023-05-30,4.132
2023-05-31,4.132
2023-06-01,4.132
2023-06-02,4.132
2023-06-03,4.132
2023-06-04,4.132
2023-06-05,4.132
2023-06-06,4.132
2023-06-07,4.132
2023-06-08,4.132
2023-06-09,4.132
2023-06-10,4.132
2023-06-11,4.132
2023-06-12,4.132
2023-06-13,4.132
2023-06-14,4.114
2023-06-15,4.114
2023-06-16,4.114
2023-06-17,4.114
2023-06-18,4.114
2023-06-19,4.114
2023-06-20,4.114
2023-06-21,4.114
2023-06-22,4.114
2023-06-23,4.114
2023-06-24,4.114
2023-06-25,4.114
2023-06-26,4.114
2023-06-27,4.069
2023-06-28,4.069
2023-06-29,4.069
2023-06-30,4.069
2023-07-01,4.069
2023-07-02,4.069
2023-07-03,4.069
2023-07-04,4.069
2023-07-05,4.069
2023-07-06,4.069
2023-07-07,4.069
2023-07-08,4.069
2023-07-09,4.069
2023-07-10,4.028
2023-07-11,4.028
2023-07-12,3.991
2023-07-13,3.991
2023-07-14,3.991
2023-07-15,3.991
2023-07-16,3.991
2023-07-17,3.991
2023-07-18,3.883
2023-07-19,3.883
2023-07-20,3.883
2023-07-21,3.883
2023-07-22,3.883
2023-07-23,3.883
2023-07-24,3.883
2023-07-25,3.883
2023-07-26,3.883
2023-07-27,3.883
2023-07-28,3.883
2023-07-29,3.883
2023-07-30,3.883
2023-07-31,3.883
2023-08-01,3.883
2023-08-02,3.672
