,AMP US Equity
2021-05-08,33.3
2021-05-09,33.3
2021-05-10,33.3
2021-05-11,33.3
2021-05-12,33.3
2021-05-13,33.3
2021-05-14,33.3
2021-05-15,33.3
2021-05-16,33.3
2021-05-17,33.3
2021-05-18,33.3
2021-05-19,33.3
2021-05-20,33.3
2021-05-21,33.3
2021-05-22,33.3
2021-05-23,33.3
2021-05-24,33.3
2021-05-25,33.3
2021-05-26,33.3
2021-05-27,33.3
2021-05-28,33.3
2021-05-29,33.3
2021-05-30,33.3
2021-05-31,33.3
2021-06-01,33.3
2021-06-02,33.3
2021-06-03,33.3
2021-06-04,33.3
2021-06-05,33.3
2021-06-06,33.3
2021-06-07,33.3
2021-06-08,33.3
2021-06-09,33.3
2021-06-10,33.3
2021-06-11,33.3
2021-06-12,33.3
2021-06-13,33.3
2021-06-14,33.3
2021-06-15,33.3
2021-06-16,33.3
2021-06-17,33.3
2021-06-18,33.3
2021-06-19,33.3
2021-06-20,33.3
2021-06-21,33.3
2021-06-22,33.3
2021-06-23,33.3
2021-06-24,33.3
2021-06-25,33.3
2021-06-26,33.3
2021-06-27,33.3
2021-06-28,33.3
2021-06-29,33.3
2021-06-30,33.3
2021-07-01,33.3
2021-07-02,33.3
2021-07-03,33.3
2021-07-04,33.3
2021-07-05,33.3
2021-07-06,33.3
2021-07-07,33.3
2021-07-08,33.3
2021-07-09,33.3
2021-07-10,33.3
2021-07-11,33.3
2021-07-12,33.3
2021-07-13,33.3
2021-07-14,33.3
2021-07-15,33.3
2021-07-16,33.3
2021-07-17,33.3
2021-07-18,33.3
2021-07-19,33.3
2021-07-20,33.3
2021-07-21,33.3
2021-07-22,33.3
2021-07-23,33.3
2021-07-24,33.3
2021-07-25,33.3
2021-07-26,33.3
2021-07-27,33.3
2021-07-28,33.3
2021-07-29,33.3
2021-07-30,33.3
2021-07-31,33.3
2021-08-01,33.3
2021-08-02,33.3
2021-08-03,33.3
2021-08-04,33.3
2021-08-05,33.3
2021-08-06,33.3
2021-08-07,33.3
2021-08-08,33.3
2021-08-09,33.3
2021-08-10,33.3
2021-08-11,33.3
2021-08-12,33.3
2021-08-13,33.3
2021-08-14,33.3
2021-08-15,33.3
2021-08-16,33.3
2021-08-17,33.3
2021-08-18,33.3
2021-08-19,33.3
2021-08-20,33.3
2021-08-21,33.3
2021-08-22,33.3
2021-08-23,33.3
2021-08-24,33.3
2021-08-25,33.3
2021-08-26,33.3
2021-08-27,33.3
2021-08-28,33.3
2021-08-29,33.3
2021-08-30,33.3
2021-08-31,33.3
2021-09-01,33.3
2021-09-02,33.3
2021-09-03,33.3
2021-09-04,33.3
2021-09-05,33.3
2021-09-06,33.3
2021-09-07,33.3
2021-09-08,33.3
2021-09-09,33.3
2021-09-10,33.3
2021-09-11,33.3
2021-09-12,33.3
2021-09-13,33.3
2021-09-14,33.3
2021-09-15,33.3
2021-09-16,33.3
2021-09-17,33.3
2021-09-18,33.3
2021-09-19,33.3
2021-09-20,33.3
2021-09-21,33.3
2021-09-22,33.3
2021-09-23,33.3
2021-09-24,33.3
2021-09-25,33.3
2021-09-26,33.3
2021-09-27,33.3
2021-09-28,33.3
2021-09-29,33.3
2021-09-30,33.3
2021-10-01,33.3
2021-10-02,33.3
2021-10-03,33.3
2021-10-04,33.3
2021-10-05,33.3
2021-10-06,33.3
2021-10-07,33.3
2021-10-08,33.3
2021-10-09,33.3
2021-10-10,33.3
2021-10-11,33.3
2021-10-12,33.3
2021-10-13,33.3
2021-10-14,33.3
2021-10-15,33.3
2021-10-16,33.3
2021-10-17,33.3
2021-10-18,33.3
2021-10-19,33.3
2021-10-20,33.3
2021-10-21,33.3
2021-10-22,33.3
2021-10-23,33.3
2021-10-24,33.3
2021-10-25,33.3
2021-10-26,33.3
2021-10-27,33.3
2021-10-28,33.3
2021-10-29,33.3
2021-10-30,33.3
2021-10-31,33.3
2021-11-01,33.3
2021-11-02,33.3
2021-11-03,33.3
2021-11-04,33.3
2021-11-05,33.3
2021-11-06,33.3
2021-11-07,33.3
2021-11-08,33.3
2021-11-09,33.3
2021-11-10,33.3
2021-11-11,33.3
2021-11-12,33.3
2021-11-13,33.3
2021-11-14,33.3
2021-11-15,33.3
2021-11-16,33.3
2021-11-17,33.3
2021-11-18,33.3
2021-11-19,33.3
2021-11-20,33.3
2021-11-21,33.3
2021-11-22,33.3
2021-11-23,33.3
2021-11-24,33.3
2021-11-25,33.3
2021-11-26,33.3
2021-11-27,33.3
2021-11-28,33.3
2021-11-29,33.3
2021-11-30,33.3
2021-12-01,33.3
2021-12-02,33.3
2021-12-03,33.3
2021-12-04,33.3
2021-12-05,33.3
2021-12-06,33.3
2021-12-07,33.3
2021-12-08,33.3
2021-12-09,33.3
2021-12-10,33.3
2021-12-11,33.3
2021-12-12,33.3
2021-12-13,33.3
2021-12-14,33.3
2021-12-15,33.3
2021-12-16,33.3
2021-12-17,33.3
2021-12-18,33.3
2021-12-19,33.3
2021-12-20,33.3
2021-12-21,33.3
2021-12-22,33.3
2021-12-23,33.3
2021-12-24,33.3
2021-12-25,33.3
2021-12-26,33.3
2021-12-27,33.3
2021-12-28,33.3
2021-12-29,33.3
2021-12-30,33.3
2021-12-31,33.3
2022-01-01,33.3
2022-01-02,33.3
2022-01-03,33.3
2022-01-04,30.97
2022-01-05,31.735
2022-01-06,31.735
2022-01-07,31.735
2022-01-08,31.735
2022-01-09,31.735
2022-01-10,31.735
2022-01-11,31.735
2022-01-12,31.735
2022-01-13,31.735
2022-01-14,31.735
2022-01-15,31.735
2022-01-16,31.735
2022-01-17,31.735
2022-01-18,31.735
2022-01-19,31.735
2022-01-20,31.735
2022-01-21,31.735
2022-01-22,31.735
2022-01-23,31.735
2022-01-24,31.735
2022-01-25,33.19
2022-01-26,33.19
2022-01-27,33.202
2022-01-28,32.63
2022-01-29,32.63
2022-01-30,32.63
2022-01-31,32.952
2022-02-01,32.952
2022-02-02,32.952
2022-02-03,32.952
2022-02-04,33.178
2022-02-05,33.178
2022-02-06,33.178
2022-02-07,33.178
2022-02-08,33.188
2022-02-09,33.188
2022-02-10,33.188
2022-02-11,33.188
2022-02-12,33.188
2022-02-13,33.188
2022-02-14,33.188
2022-02-15,33.188
2022-02-16,33.188
2022-02-17,33.188
2022-02-18,33.188
2022-02-19,33.188
2022-02-20,33.188
2022-02-21,33.188
2022-02-22,33.188
2022-02-23,33.188
2022-02-24,33.188
2022-02-25,33.188
2022-02-26,33.188
2022-02-27,33.188
2022-02-28,33.188
2022-03-01,33.188
2022-03-02,33.188
2022-03-03,33.188
2022-03-04,33.188
2022-03-05,33.188
2022-03-06,33.188
2022-03-07,33.188
2022-03-08,33.188
2022-03-09,33.188
2022-03-10,33.188
2022-03-11,33.188
2022-03-12,33.188
2022-03-13,33.188
2022-03-14,33.188
2022-03-15,33.188
2022-03-16,33.188
2022-03-17,33.188
2022-03-18,33.134
2022-03-19,33.134
2022-03-20,33.134
2022-03-21,33.134
2022-03-22,33.134
2022-03-23,33.134
2022-03-24,33.134
2022-03-25,33.134
2022-03-26,33.134
2022-03-27,33.134
2022-03-28,33.134
2022-03-29,33.134
2022-03-30,33.134
2022-03-31,33.384
2022-04-01,33.53
2022-04-02,33.53
2022-04-03,33.53
2022-04-04,33.49
2022-04-05,33.49
2022-04-06,33.49
2022-04-07,33.49
2022-04-08,33.53
2022-04-09,33.53
2022-04-10,33.72
2022-04-11,33.72
2022-04-12,33.72
2022-04-13,33.72
2022-04-14,33.72
2022-04-15,33.72
2022-04-16,33.72
2022-04-17,33.72
2022-04-18,33.72
2022-04-19,33.72
2022-04-20,33.72
2022-04-21,33.72
2022-04-22,33.72
2022-04-23,33.72
2022-04-24,33.72
2022-04-25,33.095
2022-04-26,32.915
2022-04-27,32.894
2022-04-28,32.894
2022-04-29,33.206
2022-04-30,33.206
2022-05-01,33.206
2022-05-02,32.703
2022-05-03,32.703
2022-05-04,32.703
2022-05-05,32.703
2022-05-06,32.703
2022-05-07,32.703
2022-05-08,32.703
2022-05-09,32.703
2022-05-10,32.703
2022-05-11,32.779
2022-05-12,32.779
2022-05-13,32.779
2022-05-14,32.779
2022-05-15,32.779
2022-05-16,32.779
2022-05-17,32.779
2022-05-18,32.779
2022-05-19,32.779
2022-05-20,32.779
2022-05-21,32.779
2022-05-22,32.779
2022-05-23,32.779
2022-05-24,32.779
2022-05-25,32.779
2022-05-26,32.779
2022-05-27,32.779
2022-05-28,32.779
2022-05-29,32.779
2022-05-30,32.779
2022-05-31,32.779
2022-06-01,32.779
2022-06-02,32.779
2022-06-03,32.779
2022-06-04,32.779
2022-06-05,32.779
2022-06-06,32.779
2022-06-07,32.779
2022-06-08,32.779
2022-06-09,32.779
2022-06-10,32.779
2022-06-11,32.779
2022-06-12,32.779
2022-06-13,32.779
2022-06-14,32.779
2022-06-15,32.779
2022-06-16,32.779
2022-06-17,32.779
2022-06-18,32.779
2022-06-19,32.779
2022-06-20,32.779
2022-06-21,32.779
2022-06-22,32.779
2022-06-23,32.779
2022-06-24,32.413
2022-06-25,32.413
2022-06-26,32.413
2022-06-27,32.413
2022-06-28,32.413
2022-06-29,32.413
2022-06-30,31.946
2022-07-01,31.946
2022-07-02,31.946
2022-07-03,31.946
2022-07-04,31.946
2022-07-05,31.946
2022-07-06,31.391
2022-07-07,31.391
2022-07-08,31.116
2022-07-09,31.116
2022-07-10,31.116
2022-07-11,31.116
2022-07-12,30.473
2022-07-13,30.473
2022-07-14,30.473
2022-07-15,30.473
2022-07-16,30.473
2022-07-17,30.473
2022-07-18,30.473
2022-07-19,30.473
2022-07-20,30.473
2022-07-21,30.473
2022-07-22,30.473
2022-07-23,30.473
2022-07-24,30.473
2022-07-25,30.473
2022-07-26,30.473
2022-07-27,30.733
2022-07-28,31.046
2022-07-29,31.05
2022-07-30,31.05
2022-07-31,31.148
2022-08-01,31.181
2022-08-02,31.181
2022-08-03,31.181
2022-08-04,31.181
2022-08-05,30.956
2022-08-06,30.956
2022-08-07,30.956
2022-08-08,30.956
2022-08-09,30.956
2022-08-10,30.956
2022-08-11,30.956
2022-08-12,30.956
2022-08-13,30.956
2022-08-14,30.956
2022-08-15,30.956
2022-08-16,30.956
2022-08-17,30.956
2022-08-18,30.956
2022-08-19,30.956
2022-08-20,30.956
2022-08-21,30.956
2022-08-22,30.956
2022-08-23,30.956
2022-08-24,30.956
2022-08-25,30.956
2022-08-26,30.956
2022-08-27,30.956
2022-08-28,30.956
2022-08-29,30.956
2022-08-30,30.956
2022-08-31,30.956
2022-09-01,30.956
2022-09-02,30.956
2022-09-03,30.956
2022-09-04,30.956
2022-09-05,30.956
2022-09-06,30.956
2022-09-07,30.956
2022-09-08,30.956
2022-09-09,30.956
2022-09-10,30.956
2022-09-11,30.956
2022-09-12,30.956
2022-09-13,30.956
2022-09-14,30.956
2022-09-15,30.956
2022-09-16,30.956
2022-09-17,30.956
2022-09-18,30.956
2022-09-19,30.956
2022-09-20,30.956
2022-09-21,30.956
2022-09-22,30.956
2022-09-23,30.956
2022-09-24,30.956
2022-09-25,30.956
2022-09-26,30.956
2022-09-27,30.956
2022-09-28,30.956
2022-09-29,30.956
2022-09-30,30.876
2022-10-01,30.876
2022-10-02,30.876
2022-10-03,30.936
2022-10-04,30.936
2022-10-05,30.726
2022-10-06,30.726
2022-10-07,30.726
2022-10-08,30.726
2022-10-09,30.726
2022-10-10,30.604
2022-10-11,30.479
2022-10-12,30.416
2022-10-13,30.416
2022-10-14,30.416
2022-10-15,30.416
2022-10-16,30.203
2022-10-17,30.203
2022-10-18,30.103
2022-10-19,30.103
2022-10-20,30.103
2022-10-21,30.103
2022-10-22,30.103
2022-10-23,30.103
2022-10-24,30.103
2022-10-25,30.103
2022-10-26,30.972
2022-10-27,31.663
2022-10-28,31.663
2022-10-29,31.663
2022-10-30,31.663
2022-10-31,31.663
2022-11-01,31.663
2022-11-02,31.663
2022-11-03,31.663
2022-11-04,31.663
2022-11-05,31.663
2022-11-06,31.663
2022-11-07,31.663
2022-11-08,31.471
2022-11-09,31.471
2022-11-10,31.471
2022-11-11,31.471
2022-11-12,31.395
2022-11-13,31.395
2022-11-14,31.395
2022-11-15,31.395
2022-11-16,31.395
2022-11-17,31.395
2022-11-18,31.39
2022-11-19,31.39
2022-11-20,31.39
2022-11-21,31.524
2022-11-22,31.661
2022-11-23,31.661
2022-11-24,31.661
2022-11-25,31.661
2022-11-26,31.661
2022-11-27,31.661
2022-11-28,31.661
2022-11-29,31.661
2022-11-30,31.661
2022-12-01,31.661
2022-12-02,31.661
2022-12-03,31.661
2022-12-04,31.661
2022-12-05,31.661
2022-12-06,31.661
2022-12-07,31.661
2022-12-08,31.661
2022-12-09,31.661
2022-12-10,31.661
2022-12-11,31.661
2022-12-12,31.661
2022-12-13,31.661
2022-12-14,31.661
2022-12-15,31.661
2022-12-16,31.661
2022-12-17,31.669
2022-12-18,31.669
2022-12-19,31.669
2022-12-20,31.669
2022-12-21,31.669
2022-12-22,31.669
2022-12-23,31.669
2022-12-24,31.669
2022-12-25,31.669
2022-12-26,31.669
2022-12-27,31.669
2022-12-28,31.669
2022-12-29,31.669
2022-12-30,31.669
2022-12-31,31.669
2023-01-01,31.669
2023-01-02,31.669
2023-01-03,31.631
2023-01-04,31.57
2023-01-05,31.538
2023-01-06,31.538
2023-01-07,31.538
2023-01-08,31.538
2023-01-09,31.665
2023-01-10,31.665
2023-01-11,31.665
2023-01-12,31.665
2023-01-13,31.808
2023-01-14,31.808
2023-01-15,31.808
2023-01-16,31.808
2023-01-17,31.885
2023-01-18,31.885
2023-01-19,31.885
2023-01-20,31.885
2023-01-21,31.885
2023-01-22,31.885
2023-01-23,31.878
2023-01-24,31.929
2023-01-25,32.044
2023-01-26,32.916
2023-01-27,32.909
2023-01-28,32.909
2023-01-29,32.909
2023-01-30,33.28
2023-01-31,33.312
2023-02-01,33.412
2023-02-02,33.412
2023-02-03,33.412
2023-02-04,33.412
2023-02-05,33.412
2023-02-06,33.412
2023-02-07,33.412
2023-02-08,33.214
2023-02-09,33.214
2023-02-10,33.214
2023-02-11,33.214
2023-02-12,33.214
2023-02-13,33.214
2023-02-14,33.214
2023-02-15,33.214
2023-02-16,33.214
2023-02-17,33.214
2023-02-18,33.214
2023-02-19,33.214
2023-02-20,33.214
2023-02-21,33.214
2023-02-22,33.214
2023-02-23,33.214
2023-02-24,33.214
2023-02-25,33.214
2023-02-26,33.214
2023-02-27,33.214
2023-02-28,33.214
2023-03-01,33.214
2023-03-02,33.214
2023-03-03,33.214
2023-03-04,33.214
2023-03-05,33.214
2023-03-06,33.214
2023-03-07,33.214
2023-03-08,33.214
2023-03-09,33.214
2023-03-10,33.214
2023-03-11,33.214
2023-03-12,33.214
2023-03-13,33.214
2023-03-14,33.214
2023-03-15,33.214
2023-03-16,33.214
2023-03-17,33.214
2023-03-18,33.214
2023-03-19,33.214
2023-03-20,33.214
2023-03-21,33.214
2023-03-22,33.214
2023-03-23,33.214
2023-03-24,33.214
2023-03-25,33.214
2023-03-26,33.214
2023-03-27,33.214
2023-03-28,32.906
2023-03-29,32.906
2023-03-30,32.906
2023-03-31,32.906
2023-04-01,32.906
2023-04-02,32.906
2023-04-03,32.953
2023-04-04,32.813
2023-04-05,32.813
2023-04-06,32.813
2023-04-07,32.813
2023-04-08,32.813
2023-04-09,32.813
2023-04-10,32.813
2023-04-11,32.813
2023-04-12,32.786
2023-04-13,32.813
2023-04-14,32.812
2023-04-15,32.812
2023-04-16,32.812
2023-04-17,32.812
2023-04-18,32.812
2023-04-19,32.744
2023-04-20,32.744
2023-04-21,32.721
2023-04-22,32.721
2023-04-23,32.721
2023-04-24,32.721
2023-04-25,32.778
2023-04-26,32.923
2023-04-27,32.923
2023-04-28,32.923
2023-04-29,32.923
2023-04-30,32.923
2023-05-01,32.923
2023-05-02,32.923
2023-05-03,32.931
2023-05-04,32.931
2023-05-05,32.931
2023-05-06,32.931
2023-05-07,32.931
2023-05-08,32.937
2023-05-09,32.937
2023-05-10,32.937
2023-05-11,32.937
2023-05-12,32.937
2023-05-13,32.937
2023-05-14,32.937
2023-05-15,32.937
2023-05-16,32.937
2023-05-17,32.937
2023-05-18,32.937
2023-05-19,33.02
2023-05-20,33.02
2023-05-21,33.02
2023-05-22,33.02
2023-05-23,33.02
2023-05-24,33.02
2023-05-25,33.02
2023-05-26,33.02
2023-05-27,33.02
2023-05-28,33.02
2023-05-29,33.02
2023-05-30,33.02
2023-05-31,33.235
2023-06-01,33.235
2023-06-02,33.228
2023-06-03,33.228
2023-06-04,33.228
2023-06-05,33.228
2023-06-06,33.103
2023-06-07,33.103
2023-06-08,33.028
2023-06-09,33.028
2023-06-10,33.028
2023-06-11,33.028
2023-06-12,33.028
2023-06-13,33.028
2023-06-14,33.028
2023-06-15,33.028
2023-06-16,33.039
2023-06-17,33.039
2023-06-18,33.039
2023-06-19,33.039
2023-06-20,33.039
2023-06-21,33.039
2023-06-22,33.039
2023-06-23,33.039
2023-06-24,33.039
2023-06-25,33.039
2023-06-26,33.039
2023-06-27,33.104
2023-06-28,33.104
2023-06-29,33.104
2023-06-30,33.104
2023-07-01,33.104
2023-07-02,33.104
2023-07-03,33.104
2023-07-04,33.104
2023-07-05,33.104
2023-07-06,33.195
2023-07-07,33.216
2023-07-08,33.216
2023-07-09,33.216
2023-07-10,33.231
2023-07-11,33.281
2023-07-12,33.299
2023-07-13,33.299
2023-07-14,33.299
2023-07-15,33.299
2023-07-16,33.299
2023-07-17,33.316
2023-07-18,33.317
2023-07-19,33.292
2023-07-20,33.292
2023-07-21,33.292
2023-07-22,33.292
2023-07-23,33.292
2023-07-24,33.292
2023-07-25,33.292
2023-07-26,33.292
2023-07-27,33.278
2023-07-28,33.067
2023-07-29,33.067
2023-07-30,33.083
2023-07-31,33.203
2023-08-01,33.234
2023-08-02,33.234
2023-08-03,33.234
2023-08-04,33.267
2023-08-05,33.267
2023-08-06,33.267
2023-08-07,33.267
2023-08-08,33.267
2023-08-09,33.193
2023-08-10,33.193
