,H US Equity
2020-09-24,1.609
2020-09-25,1.581
2020-09-26,1.581
2020-09-27,1.581
2020-09-28,1.549
2020-09-29,1.585
2020-09-30,1.582
2020-10-01,1.574
2020-10-02,1.573
2020-10-03,1.573
2020-10-04,1.573
2020-10-05,1.542
2020-10-06,1.526
2020-10-07,1.477
2020-10-08,1.431
2020-10-09,1.47
2020-10-10,1.47
2020-10-11,1.47
2020-10-12,1.461
2020-10-13,1.524
2020-10-14,1.556
2020-10-15,1.535
2020-10-16,1.526
2020-10-17,1.526
2020-10-18,1.526
2020-10-19,1.558
2020-10-20,1.518
2020-10-21,1.524
2020-10-22,1.437
2020-10-23,1.431
2020-10-24,1.431
2020-10-25,1.431
2020-10-26,1.506
2020-10-27,1.548
2020-10-28,1.597
2020-10-29,1.547
2020-10-30,1.531
2020-10-31,1.531
2020-11-01,1.531
2020-11-02,1.518
2020-11-03,1.447
2020-11-04,1.47
2020-11-05,1.487
2020-11-06,1.498
2020-11-07,1.498
2020-11-08,1.498
2020-11-09,1.25
2020-11-10,1.274
2020-11-11,1.296
2020-11-12,1.282
2020-11-13,1.222
2020-11-14,1.222
2020-11-15,1.222
2020-11-16,1.182
2020-11-17,0.856
2020-11-18,0.862
2020-11-19,0.86
2020-11-20,0.874
2020-11-21,0.874
2020-11-22,0.874
2020-11-23,0.842
2020-11-24,0.814
2020-11-25,0.822
2020-11-26,0.822
2020-11-27,0.82
2020-11-28,0.82
2020-11-29,0.82
2020-11-30,0.838
2020-12-01,0.824
2020-12-02,0.819
2020-12-03,0.809
2020-12-04,0.796
2020-12-05,0.796
2020-12-06,0.796
2020-12-07,0.816
2020-12-08,0.817
2020-12-09,0.816
2020-12-10,0.808
2020-12-11,0.82
2020-12-12,0.82
2020-12-13,0.82
2020-12-14,0.849
2020-12-15,0.826
2020-12-16,0.828
2020-12-17,0.824
2020-12-18,0.827
2020-12-19,0.827
2020-12-20,0.827
2020-12-21,0.833
2020-12-22,0.845
2020-12-23,0.827
2020-12-24,0.828
2020-12-25,0.828
2020-12-26,0.828
2020-12-27,0.828
2020-12-28,0.823
2020-12-29,0.827
2020-12-30,0.819
2020-12-31,0.812
2021-01-01,0.812
2021-01-02,0.812
2021-01-03,0.812
2021-01-04,0.849
2021-01-05,0.843
2021-01-06,0.815
2021-01-07,0.809
2021-01-08,0.811
2021-01-09,0.811
2021-01-10,0.811
2021-01-11,0.823
2021-01-12,0.819
2021-01-13,0.837
2021-01-14,0.829
2021-01-15,0.85
2021-01-16,0.85
2021-01-17,0.85
2021-01-18,0.85
2021-01-19,0.845
2021-01-20,0.839
2021-01-21,0.832
2021-01-22,0.849
2021-01-23,0.849
2021-01-24,0.849
2021-01-25,0.854
2021-01-26,0.857
2021-01-27,0.914
2021-01-28,0.881
2021-01-29,0.918
2021-01-30,0.918
2021-01-31,0.918
2021-02-01,0.901
2021-02-02,0.868
2021-02-03,0.853
2021-02-04,0.838
2021-02-05,0.816
2021-02-06,0.816
2021-02-07,0.816
2021-02-08,0.817
2021-02-09,0.824
2021-02-10,0.819
2021-02-11,0.815
2021-02-12,0.789
2021-02-13,0.789
2021-02-14,0.789
2021-02-15,0.789
2021-02-16,0.766
2021-02-17,0.769
2021-02-18,0.768
2021-02-19,0.733
2021-02-20,0.733
2021-02-21,0.733
2021-02-22,0.721
2021-02-23,0.698
2021-02-24,0.662
2021-02-25,0.692
2021-02-26,0.686
2021-02-27,0.686
2021-02-28,0.686
2021-03-01,0.684
2021-03-02,0.685
2021-03-03,0.685
2021-03-04,0.711
2021-03-05,0.699
2021-03-06,0.699
2021-03-07,0.699
2021-03-08,0.689
2021-03-09,0.896
2021-03-10,0.906
2021-03-11,0.891
2021-03-12,0.89
2021-03-13,0.89
2021-03-14,0.89
2021-03-15,0.863
2021-03-16,0.891
2021-03-17,0.859
2021-03-18,0.883
2021-03-19,0.884
2021-03-20,0.884
2021-03-21,0.884
2021-03-22,0.899
2021-03-23,0.963
2021-03-24,0.956
2021-03-25,0.932
2021-03-26,0.926
2021-03-27,0.926
2021-03-28,0.926
2021-03-29,0.944
2021-03-30,0.923
2021-03-31,0.93
2021-04-01,0.919
2021-04-02,0.919
2021-04-03,0.919
2021-04-04,0.919
2021-04-05,0.897
2021-04-06,0.893
2021-04-07,0.907
2021-04-08,0.911
2021-04-09,0.913
2021-04-10,0.913
2021-04-11,0.913
2021-04-12,0.91
2021-04-13,0.919
2021-04-14,0.914
2021-04-15,0.919
2021-04-16,0.913
2021-04-17,0.913
2021-04-18,0.913
2021-04-19,0.934
2021-04-20,0.962
2021-04-21,0.939
2021-04-22,0.936
2021-04-23,0.924
2021-04-24,0.924
2021-04-25,0.924
2021-04-26,0.926
2021-04-27,0.916
2021-04-28,0.924
2021-04-29,0.917
2021-04-30,0.934
2021-05-01,0.934
2021-05-02,0.934
2021-05-03,0.938
2021-05-04,0.953
2021-05-05,0.961
2021-05-06,0.975
2021-05-07,0.955
2021-05-08,0.955
2021-05-09,0.955
2021-05-10,0.976
2021-05-11,0.981
2021-05-12,1.02
2021-05-13,1.005
2021-05-14,0.97
2021-05-15,0.97
2021-05-16,0.97
2021-05-17,0.988
2021-05-18,1.018
2021-05-19,1.028
2021-05-20,1.028
2021-05-21,1.024
2021-05-22,1.024
2021-05-23,1.024
2021-05-24,1.019
2021-05-25,1.018
2021-05-26,0.999
2021-05-27,0.998
2021-05-28,1.004
2021-05-29,1.004
2021-05-30,1.004
2021-05-31,1.004
2021-06-01,0.981
2021-06-02,0.988
2021-06-03,1.091
2021-06-04,1.085
2021-06-05,1.085
2021-06-06,1.085
2021-06-07,0.989
2021-06-08,0.947
2021-06-09,0.967
2021-06-10,0.969
2021-06-11,0.958
2021-06-12,0.958
2021-06-13,0.958
2021-06-14,0.953
2021-06-15,0.956
2021-06-16,0.941
2021-06-17,0.949
2021-06-18,0.98
2021-06-19,0.98
2021-06-20,0.98
2021-06-21,0.947
2021-06-22,0.955
2021-06-23,0.957
2021-06-24,0.965
2021-06-25,0.967
2021-06-26,0.967
2021-06-27,0.967
2021-06-28,1.01
2021-06-29,1.022
2021-06-30,1.01
2021-07-01,0.997
2021-07-02,0.989
2021-07-03,0.989
2021-07-04,0.989
2021-07-05,0.989
2021-07-06,1.002
2021-07-07,1.01
2021-07-08,1.02
2021-07-09,0.987
2021-07-10,0.987
2021-07-11,0.987
2021-07-12,0.991
2021-07-13,1.014
2021-07-14,1.01
2021-07-15,1.01
2021-07-16,1.038
2021-07-17,1.038
2021-07-18,1.038
2021-07-19,1.088
2021-07-20,1.058
2021-07-21,1.01
2021-07-22,1.013
2021-07-23,1.012
2021-07-24,1.012
2021-07-25,1.012
2021-07-26,0.997
2021-07-27,0.994
2021-07-28,0.991
2021-07-29,0.968
2021-07-30,0.981
2021-07-31,0.981
2021-08-01,0.981
2021-08-02,1.013
2021-08-03,1.034
2021-08-04,1.075
2021-08-05,1.047
2021-08-06,0.999
2021-08-07,0.999
2021-08-08,0.999
2021-08-09,1.019
2021-08-10,1.011
2021-08-11,1.021
2021-08-12,1.04
2021-08-13,1.045
2021-08-14,1.045
2021-08-15,1.045
2021-08-16,1.043
2021-08-17,1.056
2021-08-18,1.071
2021-08-19,1.087
2021-08-20,1.074
2021-08-21,1.074
2021-08-22,1.074
2021-08-23,1.055
2021-08-24,1.008
2021-08-25,1.004
2021-08-26,1.03
2021-08-27,1.011
2021-08-28,1.011
2021-08-29,1.011
2021-08-30,1.026
2021-08-31,1.024
2021-09-01,1.028
2021-09-02,1.021
2021-09-03,1.052
2021-09-04,1.052
2021-09-05,1.052
2021-09-06,1.052
2021-09-07,1.049
2021-09-08,1.063
2021-09-09,1.045
2021-09-10,1.044
2021-09-11,1.044
2021-09-12,1.044
2021-09-13,1.015
2021-09-14,1.004
2021-09-15,0.999
2021-09-16,0.997
2021-09-17,1.0
2021-09-18,1.0
2021-09-19,1.0
2021-09-20,1.012
2021-09-21,1.023
2021-09-22,0.999
2021-09-23,0.979
2021-09-24,0.945
2021-09-25,0.945
2021-09-26,0.945
2021-09-27,0.939
2021-09-28,0.94
2021-09-29,0.959
2021-09-30,0.978
2021-10-01,0.921
2021-10-02,0.921
2021-10-03,0.921
2021-10-04,0.934
2021-10-05,0.918
2021-10-06,0.925
2021-10-07,0.922
2021-10-08,0.9
2021-10-09,0.9
2021-10-10,0.9
2021-10-11,0.892
2021-10-12,0.876
2021-10-13,0.887
2021-10-14,0.884
2021-10-15,0.876
2021-10-16,0.876
2021-10-17,0.876
2021-10-18,0.877
2021-10-19,0.887
2021-10-20,0.909
2021-10-21,0.899
2021-10-22,0.911
2021-10-23,0.911
2021-10-24,0.911
2021-10-25,0.907
2021-10-26,0.908
2021-10-27,0.88
2021-10-28,0.883
2021-10-29,0.885
2021-10-30,0.885
2021-10-31,0.885
2021-11-01,0.879
2021-11-02,0.903
2021-11-03,0.89
2021-11-04,0.849
2021-11-05,0.824
2021-11-06,0.824
2021-11-07,0.824
2021-11-08,0.83
2021-11-09,0.838
2021-11-10,0.856
2021-11-11,0.876
2021-11-12,0.89
2021-11-13,0.89
2021-11-14,0.89
2021-11-15,0.896
2021-11-16,0.937
2021-11-17,0.922
2021-11-18,0.931
2021-11-19,0.926
2021-11-20,0.926
2021-11-21,0.926
2021-11-22,0.933
2021-11-23,0.932
2021-11-24,0.946
2021-11-25,0.946
2021-11-26,1.003
2021-11-27,1.003
2021-11-28,1.003
2021-11-29,0.975
2021-11-30,0.995
2021-12-01,1.007
2021-12-02,0.941
2021-12-03,0.975
2021-12-04,0.975
2021-12-05,0.975
2021-12-06,0.929
2021-12-07,0.913
2021-12-08,0.917
2021-12-09,0.913
2021-12-10,0.907
2021-12-11,0.907
2021-12-12,0.907
2021-12-13,0.949
2021-12-14,0.94
2021-12-15,0.951
2021-12-16,0.962
2021-12-17,0.938
2021-12-18,0.938
2021-12-19,0.938
2021-12-20,0.942
2021-12-21,0.886
2021-12-22,0.857
2021-12-23,0.837
2021-12-24,0.837
2021-12-25,0.837
2021-12-26,0.837
2021-12-27,0.819
2021-12-28,0.817
2021-12-29,0.822
2021-12-30,0.825
2021-12-31,0.817
2022-01-01,0.817
2022-01-02,0.817
2022-01-03,0.548
2022-01-04,0.548
2022-01-05,0.56
2022-01-06,0.553
2022-01-07,0.539
2022-01-08,0.539
2022-01-09,0.539
2022-01-10,0.55
2022-01-11,0.546
2022-01-12,0.551
2022-01-13,0.552
2022-01-14,0.698
2022-01-15,0.698
2022-01-16,0.698
2022-01-17,0.698
2022-01-18,0.716
2022-01-19,0.74
2022-01-20,0.727
2022-01-21,0.739
2022-01-22,0.739
2022-01-23,0.739
2022-01-24,0.733
2022-01-25,0.734
2022-01-26,0.712
2022-01-27,0.742
2022-01-28,0.717
2022-01-29,0.717
2022-01-30,0.717
2022-01-31,0.702
2022-02-01,0.692
2022-02-02,0.692
2022-02-03,0.695
2022-02-04,0.691
2022-02-05,0.691
2022-02-06,0.691
2022-02-07,0.673
2022-02-08,0.654
2022-02-09,0.654
2022-02-10,0.639
2022-02-11,0.655
2022-02-12,0.655
2022-02-13,0.655
2022-02-14,0.655
2022-02-15,0.606
2022-02-16,0.604
2022-02-17,0.63
2022-02-18,0.637
2022-02-19,0.637
2022-02-20,0.637
2022-02-21,0.637
2022-02-22,0.653
2022-02-23,0.682
2022-02-24,0.673
2022-02-25,0.642
2022-02-26,0.642
2022-02-27,0.642
2022-02-28,0.683
2022-03-01,0.721
2022-03-02,0.694
2022-03-03,0.716
2022-03-04,0.732
2022-03-05,0.732
2022-03-06,0.732
2022-03-07,0.807
2022-03-08,0.784
2022-03-09,0.747
2022-03-10,0.73
2022-03-11,0.733
2022-03-12,0.733
2022-03-13,0.733
2022-03-14,0.563
2022-03-15,0.683
2022-03-16,0.658
2022-03-17,0.66
2022-03-18,0.657
2022-03-19,0.657
2022-03-20,0.657
2022-03-21,0.67
2022-03-22,0.658
2022-03-23,0.664
2022-03-24,0.651
2022-03-25,0.65
2022-03-26,0.65
2022-03-27,0.65
2022-03-28,0.657
2022-03-29,0.629
2022-03-30,0.642
2022-03-31,0.649
2022-04-01,0.653
2022-04-02,0.653
2022-04-03,0.653
2022-04-04,0.651
2022-04-05,0.649
2022-04-06,0.591
2022-04-07,0.595
2022-04-08,0.603
2022-04-09,0.603
2022-04-10,0.603
2022-04-11,0.612
2022-04-12,0.601
2022-04-13,0.563
2022-04-14,0.545
2022-04-15,0.545
2022-04-16,0.545
2022-04-17,0.545
2022-04-18,0.548
2022-04-19,0.531
2022-04-20,0.534
2022-04-21,0.606
2022-04-22,0.62
2022-04-23,0.62
2022-04-24,0.62
2022-04-25,0.603
2022-04-26,0.613
2022-04-27,0.608
2022-04-28,0.599
2022-04-29,0.619
2022-04-30,0.619
2022-05-01,0.619
2022-05-02,0.624
2022-05-03,0.657
2022-05-04,0.652
2022-05-05,0.68
2022-05-06,0.688
2022-05-07,0.688
2022-05-08,0.688
2022-05-09,0.737
2022-05-10,0.693
2022-05-11,0.705
2022-05-12,0.733
2022-05-13,0.608
2022-05-14,0.608
2022-05-15,0.608
2022-05-16,0.627
2022-05-17,0.615
2022-05-18,0.643
2022-05-19,0.618
2022-05-20,0.631
2022-05-21,0.631
2022-05-22,0.631
2022-05-23,0.617
2022-05-24,0.629
2022-05-25,0.615
2022-05-26,0.588
2022-05-27,0.576
2022-05-28,0.576
2022-05-29,0.576
2022-05-30,0.576
2022-05-31,0.575
2022-06-01,0.572
2022-06-02,0.559
2022-06-03,0.552
2022-06-04,0.552
2022-06-05,0.552
2022-06-06,0.535
2022-06-07,0.54
2022-06-08,0.544
2022-06-09,0.563
2022-06-10,0.643
2022-06-11,0.643
2022-06-12,0.643
2022-06-13,0.692
2022-06-14,0.686
2022-06-15,0.665
2022-06-16,0.714
2022-06-17,0.718
2022-06-18,0.718
2022-06-19,0.718
2022-06-20,0.718
2022-06-21,0.726
2022-06-22,0.746
2022-06-23,0.765
2022-06-24,0.714
2022-06-25,0.714
2022-06-26,0.714
2022-06-27,0.706
2022-06-28,0.72
2022-06-29,0.724
2022-06-30,0.737
2022-07-01,0.725
2022-07-02,0.725
2022-07-03,0.725
2022-07-04,0.725
2022-07-05,0.725
2022-07-06,0.744
2022-07-07,0.712
2022-07-08,0.716
2022-07-09,0.716
2022-07-10,0.716
2022-07-11,0.718
2022-07-12,0.717
2022-07-13,0.714
2022-07-14,0.723
2022-07-15,0.707
2022-07-16,0.707
2022-07-17,0.707
2022-07-18,0.698
2022-07-19,0.671
2022-07-20,0.661
2022-07-21,0.664
2022-07-22,0.669
2022-07-23,0.669
2022-07-24,0.669
2022-07-25,0.661
2022-07-26,0.673
2022-07-27,0.641
2022-07-28,0.643
2022-07-29,0.644
2022-07-30,0.644
2022-07-31,0.644
2022-08-01,0.637
2022-08-02,0.639
2022-08-03,0.629
2022-08-04,0.622
2022-08-05,0.524
2022-08-06,0.524
2022-08-07,0.524
2022-08-08,0.521
2022-08-09,0.566
2022-08-10,0.478
2022-08-11,0.468
2022-08-12,0.455
2022-08-13,0.455
2022-08-14,0.455
2022-08-15,0.454
2022-08-16,0.487
2022-08-17,0.489
2022-08-18,0.485
2022-08-19,0.505
2022-08-20,0.505
2022-08-21,0.505
2022-08-22,0.515
2022-08-23,0.505
2022-08-24,0.495
2022-08-25,0.49
2022-08-26,0.509
2022-08-27,0.509
2022-08-28,0.509
2022-08-29,0.513
2022-08-30,0.518
2022-08-31,0.517
2022-09-01,0.524
2022-09-02,0.526
2022-09-03,0.526
2022-09-04,0.526
2022-09-05,0.526
2022-09-06,0.528
2022-09-07,0.515
2022-09-08,0.509
2022-09-09,0.498
2022-09-10,0.498
2022-09-11,0.498
2022-09-12,0.492
2022-09-13,0.512
2022-09-14,0.497
2022-09-15,0.496
2022-09-16,0.52
2022-09-17,0.52
2022-09-18,0.52
2022-09-19,0.516
2022-09-20,0.519
2022-09-21,0.543
2022-09-22,0.571
2022-09-23,0.588
2022-09-24,0.588
2022-09-25,0.588
2022-09-26,0.593
2022-09-27,0.607
2022-09-28,0.587
2022-09-29,0.602
2022-09-30,0.605
2022-10-01,0.605
2022-10-02,0.605
2022-10-03,0.594
2022-10-04,0.569
2022-10-05,0.571
2022-10-06,0.585
2022-10-07,0.591
2022-10-08,0.591
2022-10-09,0.591
2022-10-10,0.597
2022-10-11,0.607
2022-10-12,0.595
2022-10-13,0.59
2022-10-14,0.588
2022-10-15,0.588
2022-10-16,0.588
2022-10-17,0.571
2022-10-18,0.563
2022-10-19,0.514
2022-10-20,0.523
2022-10-21,0.503
2022-10-22,0.503
2022-10-23,0.503
2022-10-24,0.506
2022-10-25,0.496
2022-10-26,0.498
2022-10-27,0.489
2022-10-28,0.48
2022-10-29,0.48
2022-10-30,0.48
2022-10-31,0.473
2022-11-01,0.474
2022-11-02,0.484
2022-11-03,0.494
2022-11-04,0.493
2022-11-05,0.493
2022-11-06,0.493
2022-11-07,0.503
2022-11-08,0.497
2022-11-09,0.505
2022-11-10,0.481
2022-11-11,0.498
2022-11-12,0.498
2022-11-13,0.498
2022-11-14,0.522
2022-11-15,0.518
2022-11-16,0.508
2022-11-17,0.507
2022-11-18,0.499
2022-11-19,0.499
2022-11-20,0.499
2022-11-21,0.503
2022-11-22,0.493
2022-11-23,0.497
2022-11-24,0.497
2022-11-25,0.497
2022-11-26,0.497
2022-11-27,0.497
2022-11-28,0.507
2022-11-29,0.488
2022-11-30,0.509
2022-12-01,0.506
2022-12-02,0.512
2022-12-03,0.512
2022-12-04,0.512
2022-12-05,0.521
2022-12-06,0.664
2022-12-07,0.67
2022-12-08,0.659
2022-12-09,0.649
2022-12-10,0.649
2022-12-11,0.649
2022-12-12,0.639
2022-12-13,0.634
2022-12-14,0.643
2022-12-15,0.66
2022-12-16,0.667
2022-12-17,0.667
2022-12-18,0.667
2022-12-19,0.679
2022-12-20,0.68
2022-12-21,0.697
2022-12-22,0.707
2022-12-23,0.703
2022-12-24,0.703
2022-12-25,0.703
2022-12-26,0.703
2022-12-27,0.711
2022-12-28,0.727
2022-12-29,0.716
2022-12-30,0.708
2022-12-31,0.708
2023-01-01,0.708
2023-01-02,0.708
2023-01-03,0.655
2023-01-04,0.635
2023-01-05,0.633
2023-01-06,0.611
2023-01-07,0.611
2023-01-08,0.611
2023-01-09,0.602
2023-01-10,0.592
2023-01-11,0.568
2023-01-12,0.562
2023-01-13,0.555
2023-01-14,0.555
2023-01-15,0.555
2023-01-16,0.555
2023-01-17,0.554
2023-01-18,0.557
2023-01-19,0.554
2023-01-20,0.533
2023-01-21,0.533
2023-01-22,0.533
2023-01-23,0.499
2023-01-24,0.493
2023-01-25,0.492
2023-01-26,0.511
2023-01-27,0.509
2023-01-28,0.509
2023-01-29,0.509
2023-01-30,0.524
2023-01-31,0.523
2023-02-01,0.521
2023-02-02,0.517
2023-02-03,0.519
2023-02-04,0.519
2023-02-05,0.519
2023-02-06,0.516
2023-02-07,0.503
2023-02-08,0.512
2023-02-09,0.511
2023-02-10,0.522
2023-02-11,0.522
2023-02-12,0.522
2023-02-13,0.513
2023-02-14,0.492
2023-02-15,0.487
2023-02-16,0.488
2023-02-17,0.502
2023-02-18,0.502
2023-02-19,0.502
2023-02-20,0.502
2023-02-21,0.506
2023-02-22,0.507
2023-02-23,0.499
2023-02-24,0.494
2023-02-25,0.494
2023-02-26,0.494
2023-02-27,0.491
2023-02-28,0.491
2023-03-01,0.487
2023-03-02,0.477
2023-03-03,0.465
2023-03-04,0.465
2023-03-05,0.465
2023-03-06,0.561
2023-03-07,0.574
2023-03-08,0.581
2023-03-09,0.62
2023-03-10,0.629
2023-03-11,0.629
2023-03-12,0.629
2023-03-13,0.646
2023-03-14,0.631
2023-03-15,0.657
2023-03-16,0.647
2023-03-17,0.656
2023-03-18,0.656
2023-03-19,0.656
2023-03-20,0.636
2023-03-21,0.599
2023-03-22,0.616
2023-03-23,0.629
2023-03-24,0.646
2023-03-25,0.646
2023-03-26,0.646
2023-03-27,0.642
2023-03-28,0.639
2023-03-29,0.619
2023-03-30,0.609
2023-03-31,0.599
2023-04-01,0.599
2023-04-02,0.599
2023-04-03,0.608
2023-04-04,0.608
2023-04-05,0.622
2023-04-06,0.619
2023-04-07,0.619
2023-04-08,0.619
2023-04-09,0.619
2023-04-10,0.614
2023-04-11,0.602
2023-04-12,0.612
2023-04-13,0.596
2023-04-14,0.598
2023-04-15,0.598
2023-04-16,0.598
2023-04-17,0.589
2023-04-18,0.572
2023-04-19,0.573
2023-04-20,0.575
2023-04-21,0.57
2023-04-22,0.57
2023-04-23,0.57
2023-04-24,0.568
2023-04-25,0.579
2023-04-26,0.604
2023-04-27,0.601
2023-04-28,0.586
2023-04-29,0.586
2023-04-30,0.586
2023-05-01,0.58
2023-05-02,0.562
2023-05-03,0.566
2023-05-04,0.577
2023-05-05,0.576
2023-05-06,0.576
2023-05-07,0.576
2023-05-08,0.569
2023-05-09,0.576
2023-05-10,0.6
2023-05-11,0.549
2023-05-12,0.537
2023-05-13,0.537
2023-05-14,0.537
2023-05-15,0.501
2023-05-16,0.509
2023-05-17,0.507
2023-05-18,0.496
2023-05-19,0.503
2023-05-20,0.503
2023-05-21,0.503
2023-05-22,0.514
2023-05-23,0.524
2023-05-24,0.525
2023-05-25,0.521
2023-05-26,0.517
2023-05-27,0.517
2023-05-28,0.517
2023-05-29,0.517
2023-05-30,0.524
2023-05-31,0.53
2023-06-01,0.519
2023-06-02,0.495
2023-06-03,0.495
2023-06-04,0.495
2023-06-05,0.498
2023-06-06,0.468
2023-06-07,0.471
2023-06-08,0.473
2023-06-09,0.475
2023-06-10,0.475
2023-06-11,0.475
2023-06-12,0.472
2023-06-13,0.471
2023-06-14,0.47
2023-06-15,0.487
2023-06-16,0.485
2023-06-17,0.485
2023-06-18,0.485
2023-06-19,0.485
2023-06-20,0.502
2023-06-21,0.489
2023-06-22,0.497
2023-06-23,0.511
