,MKC US Equity
,BEST_DIV_YLD
2020-01-01,1.143
2020-01-02,1.158
2020-01-03,1.14
2020-01-04,1.14
2020-01-05,1.14
2020-01-06,1.133
2020-01-07,1.153
2020-01-08,1.159
2020-01-09,1.196
2020-01-10,1.181
2020-01-11,1.181
2020-01-12,1.181
2020-01-13,1.174
2020-01-14,1.163
2020-01-15,1.158
2020-01-16,1.161
2020-01-17,1.15
2020-01-18,1.15
2020-01-19,1.15
2020-01-20,1.15
2020-01-21,1.134
2020-01-22,1.125
2020-01-23,1.123
2020-01-24,1.124
2020-01-25,1.124
2020-01-26,1.124
2020-01-27,1.123
2020-01-28,1.168
2020-01-29,1.159
2020-01-30,1.172
2020-01-31,1.188
2020-02-01,1.188
2020-02-02,1.188
2020-02-03,1.189
2020-02-04,1.207
2020-02-05,1.198
2020-02-06,1.197
2020-02-07,1.189
2020-02-08,1.189
2020-02-09,1.189
2020-02-10,1.186
2020-02-11,1.188
2020-02-12,1.176
2020-02-13,1.161
2020-02-14,1.163
2020-02-15,1.163
2020-02-16,1.163
2020-02-17,1.163
2020-02-18,1.176
2020-02-19,1.183
2020-02-20,1.184
2020-02-21,1.196
2020-02-22,1.196
2020-02-23,1.196
2020-02-24,1.205
2020-02-25,1.225
2020-02-26,1.267
2020-02-27,1.291
2020-02-28,1.327
2020-02-29,1.327
2020-03-01,1.327
2020-03-02,1.272
2020-03-03,1.294
2020-03-04,1.261
2020-03-05,1.264
2020-03-06,1.288
2020-03-07,1.288
2020-03-08,1.288
2020-03-09,1.347
2020-03-10,1.28
2020-03-11,1.323
2020-03-12,1.479
2020-03-13,1.437
2020-03-14,1.437
2020-03-15,1.437
2020-03-16,1.612
2020-03-17,1.399
2020-03-18,1.376
2020-03-19,1.544
2020-03-20,1.558
2020-03-21,1.558
2020-03-22,1.558
2020-03-23,1.704
2020-03-24,1.553
2020-03-25,1.562
2020-03-26,1.474
2020-03-27,1.467
2020-03-28,1.467
2020-03-29,1.467
2020-03-30,1.355
2020-03-31,1.374
2020-04-01,1.4
2020-04-02,1.336
2020-04-03,1.321
2020-04-04,1.321
2020-04-05,1.321
2020-04-06,1.276
2020-04-07,1.291
2020-04-08,1.301
2020-04-09,1.252
2020-04-10,1.252
2020-04-11,1.252
2020-04-12,1.252
2020-04-13,1.299
2020-04-14,1.261
2020-04-15,1.266
2020-04-16,1.243
2020-04-17,1.231
2020-04-18,1.231
2020-04-19,1.231
2020-04-20,1.238
2020-04-21,1.278
2020-04-22,1.26
2020-04-23,1.274
2020-04-24,1.252
2020-04-25,1.252
2020-04-26,1.252
2020-04-27,1.232
2020-04-28,1.233
2020-04-29,1.235
2020-04-30,1.232
2020-05-01,1.251
2020-05-02,1.251
2020-05-03,1.251
2020-05-04,1.228
2020-05-05,1.206
2020-05-06,1.206
2020-05-07,1.201
2020-05-08,1.178
2020-05-09,1.178
2020-05-10,1.178
2020-05-11,1.172
2020-05-12,1.146
2020-05-13,1.146
2020-05-14,1.101
2020-05-15,1.086
2020-05-16,1.086
2020-05-17,1.086
2020-05-18,1.096
2020-05-19,1.12
2020-05-20,1.113
2020-05-21,1.133
2020-05-22,1.124
2020-05-23,1.124
2020-05-24,1.124
2020-05-25,1.124
2020-05-26,1.13
2020-05-27,1.123
2020-05-28,1.12
2020-05-29,1.103
2020-05-30,1.103
2020-05-31,1.103
2020-06-01,1.094
2020-06-02,1.101
2020-06-03,1.108
2020-06-04,1.131
2020-06-05,1.131
2020-06-06,1.131
2020-06-07,1.131
2020-06-08,1.118
2020-06-09,1.129
2020-06-10,1.121
2020-06-11,1.151
2020-06-12,1.16
2020-06-13,1.16
2020-06-14,1.16
2020-06-15,1.134
2020-06-16,1.117
2020-06-17,1.109
2020-06-18,1.111
2020-06-19,1.122
2020-06-20,1.122
2020-06-21,1.122
2020-06-22,1.119
2020-06-23,1.121
2020-06-24,1.122
2020-06-25,1.082
2020-06-26,1.273
2020-06-27,1.273
2020-06-28,1.273
2020-06-29,1.251
2020-06-30,1.25
2020-07-01,1.25
2020-07-02,1.231
2020-07-03,1.231
2020-07-04,1.231
2020-07-05,1.231
2020-07-06,1.231
2020-07-07,1.221
2020-07-08,1.217
2020-07-09,1.216
2020-07-10,1.203
2020-07-11,1.203
2020-07-12,1.203
2020-07-13,1.222
2020-07-14,1.18
2020-07-15,1.425
2020-07-16,1.421
2020-07-17,1.412
2020-07-18,1.412
2020-07-19,1.412
2020-07-20,1.407
2020-07-21,1.392
2020-07-22,1.391
2020-07-23,1.376
2020-07-24,1.393
2020-07-25,1.393
2020-07-26,1.393
2020-07-27,1.375
2020-07-28,1.397
2020-07-29,1.387
2020-07-30,1.391
2020-07-31,1.383
2020-08-01,1.383
2020-08-02,1.383
2020-08-03,1.373
2020-08-04,1.36
2020-08-05,1.367
2020-08-06,1.354
2020-08-07,1.337
2020-08-08,1.337
2020-08-09,1.337
2020-08-10,1.336
2020-08-11,1.363
2020-08-12,1.337
2020-08-13,1.334
2020-08-14,1.337
2020-08-15,1.337
2020-08-16,1.337
2020-08-17,1.332
2020-08-18,1.331
2020-08-19,1.331
2020-08-20,1.329
2020-08-21,1.327
2020-08-22,1.327
2020-08-23,1.327
