,ALLY US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,9.203
2020-07-08,9.175
2020-07-09,9.473
2020-07-10,8.969
2020-07-11,8.969
2020-07-12,8.969
2020-07-13,8.794
2020-07-14,8.668
2020-07-15,8.237
2020-07-16,8.053
2020-07-17,8.476
2020-07-18,8.476
2020-07-19,8.476
2020-07-20,8.496
2020-07-21,8.461
2020-07-22,8.398
2020-07-23,8.437
2020-07-24,8.52
2020-07-25,8.52
2020-07-26,8.52
2020-07-27,8.643
2020-07-28,8.664
2020-07-29,8.5
2020-07-30,8.716
2020-07-31,8.898
2020-08-01,8.898
2020-08-02,8.898
2020-08-03,8.703
2020-08-04,8.699
2020-08-05,8.404
2020-08-06,8.48
2020-08-07,8.33
2020-08-08,8.33
2020-08-09,8.33
2020-08-10,8.133
2020-08-11,7.974
2020-08-12,8.063
2020-08-13,8.02
2020-08-14,7.9
2020-08-15,7.9
2020-08-16,7.9
2020-08-17,8.152
2020-08-18,8.155
2020-08-19,8.031
2020-08-20,8.185
2020-08-21,8.276
2020-08-22,8.276
2020-08-23,8.276
2020-08-24,7.807
2020-08-25,7.945
2020-08-26,8.02
2020-08-27,7.729
2020-08-28,7.594
2020-08-29,7.594
2020-08-30,7.594
2020-08-31,7.817
2020-09-01,7.807
2020-09-02,7.594
2020-09-03,7.524
2020-09-04,7.086
2020-09-05,7.086
2020-09-06,7.086
2020-09-07,7.086
2020-09-08,7.387
2020-09-09,7.418
2020-09-10,7.569
2020-09-11,7.48
2020-09-12,7.48
2020-09-13,7.48
2020-09-14,7.327
2020-09-15,7.212
2020-09-16,6.959
2020-09-17,6.855
2020-09-18,6.962
2020-09-19,6.962
2020-09-20,6.962
2020-09-21,7.285
2020-09-22,7.393
2020-09-23,7.643
2020-09-24,7.588
2020-09-25,7.3
2020-09-26,7.3
2020-09-27,7.3
2020-09-28,7.171
2020-09-29,7.315
2020-09-30,7.134
