,SR US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,6.881
2020-11-20,6.871
2020-11-21,6.871
2020-11-22,6.871
2020-11-23,6.781
2020-11-24,6.476
2020-11-25,6.569
2020-11-26,6.569
2020-11-27,6.64
2020-11-28,6.64
2020-11-29,6.64
2020-11-30,6.82
2020-12-01,6.851
2020-12-02,6.809
2020-12-03,6.786
2020-12-04,6.714
2020-12-05,6.714
2020-12-06,6.714
2020-12-07,6.763
2020-12-08,6.785
2020-12-09,6.67
2020-12-10,6.655
2020-12-11,6.613
2020-12-12,6.613
2020-12-13,6.613
2020-12-14,6.584
2020-12-15,6.404
2020-12-16,6.558
2020-12-17,6.544
2020-12-18,6.724
2020-12-19,6.724
2020-12-20,6.724
2020-12-21,7.053
2020-12-22,6.843
2020-12-23,6.829
2020-12-24,6.794
2020-12-25,6.794
2020-12-26,6.794
2020-12-27,6.794
2020-12-28,6.738
2020-12-29,6.856
2020-12-30,6.815
2020-12-31,6.744
2021-01-01,6.744
2021-01-02,6.744
2021-01-03,6.744
2021-01-04,6.811
2021-01-05,6.922
2021-01-06,6.775
2021-01-07,6.939
2021-01-08,6.951
2021-01-09,6.951
2021-01-10,6.951
2021-01-11,7.085
2021-01-12,7.078
2021-01-13,7.018
2021-01-14,7.055
2021-01-15,7.005
2021-01-16,7.005
2021-01-17,7.005
2021-01-18,7.005
2021-01-19,7.061
2021-01-20,6.355
2021-01-21,6.319
2021-01-22,6.252
2021-01-23,6.252
2021-01-24,6.252
2021-01-25,6.268
2021-01-26,6.4
2021-01-27,6.34
2021-01-28,6.385
2021-01-29,6.309
2021-01-30,6.309
2021-01-31,6.309
2021-02-01,6.191
2021-02-02,6.13
2021-02-03,6.2
2021-02-04,6.03
2021-02-05,5.93
2021-02-06,5.93
2021-02-07,5.93
2021-02-08,5.962
2021-02-09,6.009
2021-02-10,6.106
2021-02-11,6.049
2021-02-12,6.035
2021-02-13,6.035
2021-02-14,6.035
2021-02-15,6.035
2021-02-16,5.956
2021-02-17,5.808
2021-02-18,5.71
2021-02-19,5.705
2021-02-20,5.705
2021-02-21,5.705
2021-02-22,5.784
2021-02-23,5.62
2021-02-24,5.672
2021-02-25,5.682
2021-02-26,5.812
2021-02-27,5.812
2021-02-28,5.812
2021-03-01,5.764
2021-03-02,5.778
2021-03-03,5.738
2021-03-04,5.679
2021-03-05,5.443
2021-03-06,5.443
2021-03-07,5.443
2021-03-08,5.305
2021-03-09,5.364
2021-03-10,5.279
2021-03-11,5.25
2021-03-12,5.092
2021-03-13,5.092
2021-03-14,5.092
2021-03-15,5.125
2021-03-16,5.065
2021-03-17,5.206
2021-03-18,5.163
2021-03-19,5.188
2021-03-20,5.188
2021-03-21,5.188
2021-03-22,5.288
2021-03-23,5.343
2021-03-24,5.294
2021-03-25,5.241
2021-03-26,5.166
2021-03-27,5.166
2021-03-28,5.166
2021-03-29,5.196
2021-03-30,5.178
2021-03-31,5.177
2021-04-01,5.214
2021-04-02,5.214
2021-04-03,5.214
2021-04-04,5.214
2021-04-05,5.163
2021-04-06,5.136
2021-04-07,5.118
2021-04-08,5.052
2021-04-09,5.023
2021-04-10,5.023
2021-04-11,5.023
2021-04-12,4.982
2021-04-13,5.02
2021-04-14,5.021
2021-04-15,4.767
2021-04-16,4.775
2021-04-17,4.775
2021-04-18,4.775
2021-04-19,4.987
2021-04-20,4.967
2021-04-21,4.973
2021-04-22,5.017
2021-04-23,5.039
2021-04-24,5.039
2021-04-25,5.039
2021-04-26,5.098
2021-04-27,5.13
2021-04-28,5.168
2021-04-29,5.126
2021-04-30,5.108
2021-05-01,5.108
2021-05-02,5.108
2021-05-03,5.07
2021-05-04,5.071
2021-05-05,5.111
2021-05-06,5.036
2021-05-07,5.071
2021-05-08,5.071
2021-05-09,5.071
2021-05-10,4.979
2021-05-11,5.024
2021-05-12,5.201
2021-05-13,5.097
2021-05-14,5.099
2021-05-15,5.099
2021-05-16,5.099
2021-05-17,5.167
2021-05-18,5.22
2021-05-19,5.286
2021-05-20,5.277
2021-05-21,5.29
2021-05-22,5.29
2021-05-23,5.29
2021-05-24,5.262
2021-05-25,5.353
2021-05-26,5.319
2021-05-27,5.362
2021-05-28,5.37
2021-05-29,5.37
2021-05-30,5.37
2021-05-31,5.37
2021-06-01,5.33
2021-06-02,5.302
2021-06-03,5.283
2021-06-04,5.34
2021-06-05,5.34
2021-06-06,5.34
2021-06-07,5.308
2021-06-08,5.266
2021-06-09,5.207
2021-06-10,5.11
2021-06-11,5.039
2021-06-12,5.039
2021-06-13,5.039
2021-06-14,5.059
2021-06-15,5.044
2021-06-16,4.999
2021-06-17,5.018
2021-06-18,5.26
2021-06-19,5.26
2021-06-20,5.26
2021-06-21,5.108
2021-06-22,5.359
2021-06-23,5.424
2021-06-24,5.367
2021-06-25,5.213
2021-06-26,5.213
2021-06-27,5.213
2021-06-28,5.228
2021-06-29,5.274
2021-06-30,5.278
2021-07-01,5.223
2021-07-02,5.24
2021-07-03,5.24
2021-07-04,5.24
2021-07-05,5.24
2021-07-06,5.29
2021-07-07,5.282
2021-07-08,5.336
2021-07-09,5.286
2021-07-10,5.286
2021-07-11,5.286
2021-07-12,5.25
2021-07-13,4.697
2021-07-14,4.704
2021-07-15,4.599
2021-07-16,4.61
2021-07-17,4.61
2021-07-18,4.61
2021-07-19,4.788
2021-07-20,4.77
2021-07-21,4.801
2021-07-22,4.925
2021-07-23,4.783
2021-07-24,4.783
2021-07-25,4.783
2021-07-26,4.747
2021-07-27,4.681
2021-07-28,4.693
2021-07-29,4.685
2021-07-30,4.742
2021-07-31,4.742
2021-08-01,4.742
2021-08-02,4.695
2021-08-03,4.599
2021-08-04,4.614
2021-08-05,4.585
2021-08-06,4.624
2021-08-07,4.624
2021-08-08,4.624
2021-08-09,4.671
2021-08-10,4.688
2021-08-11,4.649
2021-08-12,4.7
2021-08-13,4.656
2021-08-14,4.656
2021-08-15,4.656
2021-08-16,4.655
2021-08-17,4.68
2021-08-18,4.782
2021-08-19,4.855
2021-08-20,4.834
2021-08-21,4.834
2021-08-22,4.834
2021-08-23,4.865
2021-08-24,4.902
2021-08-25,4.965
2021-08-26,5.084
2021-08-27,5.049
2021-08-28,5.049
2021-08-29,5.049
2021-08-30,5.045
2021-08-31,5.044
2021-09-01,4.985
2021-09-02,4.996
2021-09-03,5.084
2021-09-04,5.084
2021-09-05,5.084
2021-09-06,5.084
2021-09-07,5.249
2021-09-08,5.132
2021-09-09,5.103
2021-09-10,5.253
2021-09-11,5.253
2021-09-12,5.253
2021-09-13,5.226
2021-09-14,5.298
2021-09-15,5.373
2021-09-16,5.29
2021-09-17,5.326
2021-09-18,5.326
2021-09-19,5.326
2021-09-20,5.377
2021-09-21,5.395
2021-09-22,5.419
2021-09-23,5.465
2021-09-24,5.453
2021-09-25,5.453
2021-09-26,5.453
2021-09-27,5.402
2021-09-28,5.474
2021-09-29,5.368
2021-09-30,5.444
2021-10-01,5.365
2021-10-02,5.365
2021-10-03,5.365
2021-10-04,5.272
2021-10-05,5.26
2021-10-06,5.246
2021-10-07,5.213
2021-10-08,5.225
2021-10-09,5.225
2021-10-10,5.225
2021-10-11,5.248
2021-10-12,5.197
2021-10-13,5.099
2021-10-14,5.048
2021-10-15,5.179
2021-10-16,5.179
2021-10-17,5.179
2021-10-18,5.28
2021-10-19,5.269
2021-10-20,5.164
2021-10-21,5.197
2021-10-22,5.184
2021-10-23,5.184
2021-10-24,5.184
2021-10-25,5.116
2021-10-26,5.106
2021-10-27,5.22
2021-10-28,5.253
2021-10-29,5.307
2021-10-30,5.307
2021-10-31,5.307
2021-11-01,5.198
2021-11-02,5.262
2021-11-03,5.272
2021-11-04,5.302
2021-11-05,5.258
2021-11-06,5.258
2021-11-07,5.258
2021-11-08,5.425
2021-11-09,5.405
2021-11-10,5.273
2021-11-11,5.293
2021-11-12,5.371
2021-11-13,5.371
2021-11-14,5.371
2021-11-15,5.236
2021-11-16,5.344
2021-11-17,5.381
2021-11-18,5.435
2021-11-19,5.409
2021-11-20,5.409
2021-11-21,5.409
2021-11-22,5.32
2021-11-23,5.319
2021-11-24,5.307
2021-11-25,5.307
2021-11-26,5.422
2021-11-27,5.422
2021-11-28,5.422
2021-11-29,5.381
2021-11-30,5.571
2021-12-01,5.591
2021-12-02,5.492
2021-12-03,5.401
2021-12-04,5.401
2021-12-05,5.401
2021-12-06,5.221
2021-12-07,5.295
2021-12-08,5.244
2021-12-09,5.267
2021-12-10,5.227
2021-12-11,5.227
2021-12-12,5.227
2021-12-13,5.236
2021-12-14,5.298
2021-12-15,5.195
2021-12-16,5.208
2021-12-17,5.162
2021-12-18,5.162
2021-12-19,5.162
2021-12-20,5.12
2021-12-21,5.197
2021-12-22,5.148
2021-12-23,5.139
2021-12-24,5.139
2021-12-25,5.139
2021-12-26,5.139
2021-12-27,5.116
2021-12-28,5.12
2021-12-29,5.087
2021-12-30,5.08
2021-12-31,5.061
2022-01-01,5.061
2022-01-02,5.061
2022-01-03,5.06
2022-01-04,5.047
2022-01-05,5.03
2022-01-06,4.999
2022-01-07,4.969
2022-01-08,4.969
2022-01-09,4.969
2022-01-10,4.964
2022-01-11,5.013
2022-01-12,5.09
2022-01-13,5.003
2022-01-14,4.951
2022-01-15,4.951
2022-01-16,4.951
2022-01-17,4.951
2022-01-18,4.961
2022-01-19,5.02
2022-01-20,5.124
2022-01-21,5.141
2022-01-22,5.141
2022-01-23,5.141
2022-01-24,5.234
2022-01-25,5.165
2022-01-26,5.204
2022-01-27,5.111
2022-01-28,5.042
2022-01-29,5.042
2022-01-30,5.042
2022-01-31,5.024
2022-02-01,4.994
2022-02-02,5.173
2022-02-03,5.132
2022-02-04,5.21
2022-02-05,5.21
2022-02-06,5.21
2022-02-07,5.214
2022-02-08,5.2
2022-02-09,5.176
2022-02-10,5.202
2022-02-11,5.096
2022-02-12,5.096
2022-02-13,5.096
2022-02-14,5.143
2022-02-15,5.186
2022-02-16,5.13
2022-02-17,5.199
2022-02-18,5.278
2022-02-19,5.278
2022-02-20,5.278
2022-02-21,5.278
2022-02-22,5.199
2022-02-23,5.281
2022-02-24,5.142
2022-02-25,5.016
2022-02-26,5.016
2022-02-27,5.016
2022-02-28,4.946
2022-03-01,5.029
2022-03-02,4.945
2022-03-03,4.812
2022-03-04,4.689
2022-03-05,4.689
2022-03-06,4.689
2022-03-07,4.639
2022-03-08,4.728
2022-03-09,4.839
2022-03-10,4.816
2022-03-11,4.788
2022-03-12,4.788
2022-03-13,4.788
2022-03-14,4.838
2022-03-15,4.848
2022-03-16,4.898
2022-03-17,4.879
2022-03-18,4.953
2022-03-19,4.953
2022-03-20,4.953
2022-03-21,4.856
2022-03-22,4.885
2022-03-23,4.914
2022-03-24,4.895
2022-03-25,4.749
2022-03-26,4.749
2022-03-27,4.749
2022-03-28,4.73
2022-03-29,4.63
2022-03-30,4.579
2022-03-31,4.579
2022-04-01,4.525
2022-04-02,4.525
2022-04-03,4.525
2022-04-04,4.555
2022-04-05,4.489
2022-04-06,4.408
2022-04-07,4.404
2022-04-08,4.321
2022-04-09,4.321
2022-04-10,4.321
2022-04-11,4.335
2022-04-12,4.332
2022-04-13,4.392
2022-04-14,4.353
2022-04-15,4.353
2022-04-16,4.353
2022-04-17,4.353
2022-04-18,4.293
2022-04-19,4.208
2022-04-20,4.209
2022-04-21,4.214
2022-04-22,4.268
2022-04-23,4.268
2022-04-24,4.268
2022-04-25,4.364
2022-04-26,4.371
2022-04-27,4.406
2022-04-28,4.404
2022-04-29,4.52
2022-04-30,4.52
2022-05-01,4.52
2022-05-02,4.507
2022-05-03,4.548
2022-05-04,4.413
2022-05-05,4.462
2022-05-06,4.436
2022-05-07,4.436
2022-05-08,4.436
2022-05-09,4.342
2022-05-10,4.407
2022-05-11,4.426
2022-05-12,4.389
2022-05-13,4.404
2022-05-14,4.404
2022-05-15,4.404
2022-05-16,4.352
2022-05-17,4.26
2022-05-18,4.276
2022-05-19,4.326
2022-05-20,4.353
2022-05-21,4.353
2022-05-22,4.353
2022-05-23,4.345
2022-05-24,4.21
2022-05-25,4.196
2022-05-26,4.189
2022-05-27,4.161
2022-05-28,4.161
2022-05-29,4.161
2022-05-30,4.161
2022-05-31,4.19
2022-06-01,4.217
2022-06-02,4.195
2022-06-03,4.227
2022-06-04,4.227
2022-06-05,4.227
2022-06-06,4.191
2022-06-07,4.17
2022-06-08,4.222
2022-06-09,4.279
2022-06-10,4.225
2022-06-11,4.225
2022-06-12,4.225
2022-06-13,4.415
2022-06-14,4.456
2022-06-15,4.5
2022-06-16,4.536
2022-06-17,4.601
2022-06-18,4.601
2022-06-19,4.601
2022-06-20,4.601
2022-06-21,4.523
2022-06-22,4.521
2022-06-23,4.508
2022-06-24,4.439
2022-06-25,4.439
2022-06-26,4.439
2022-06-27,4.336
2022-06-28,4.371
2022-06-29,4.383
2022-06-30,4.372
2022-07-01,4.261
2022-07-02,4.261
2022-07-03,4.261
2022-07-04,4.261
2022-07-05,4.494
2022-07-06,4.466
2022-07-07,4.523
2022-07-08,4.555
2022-07-09,4.555
2022-07-10,4.555
2022-07-11,4.581
2022-07-12,4.621
2022-07-13,4.647
2022-07-14,4.658
2022-07-15,4.599
2022-07-16,4.599
2022-07-17,4.599
2022-07-18,4.635
2022-07-19,4.585
2022-07-20,4.653
2022-07-21,4.674
2022-07-22,4.639
2022-07-23,4.639
2022-07-24,4.639
2022-07-25,4.556
2022-07-26,4.524
2022-07-27,4.506
2022-07-28,4.371
2022-07-29,4.322
2022-07-30,4.322
2022-07-31,4.322
2022-08-01,4.329
2022-08-02,4.387
2022-08-03,4.403
2022-08-04,4.434
2022-08-05,4.487
2022-08-06,4.487
2022-08-07,4.487
2022-08-08,4.419
2022-08-09,4.341
2022-08-10,4.351
2022-08-11,4.38
2022-08-12,4.295
2022-08-13,4.295
2022-08-14,4.295
2022-08-15,4.259
2022-08-16,4.197
2022-08-17,4.243
2022-08-18,4.235
2022-08-19,4.248
2022-08-20,4.248
2022-08-21,4.248
2022-08-22,4.356
2022-08-23,4.383
2022-08-24,4.419
2022-08-25,4.363
2022-08-26,4.451
2022-08-27,4.451
2022-08-28,4.451
2022-08-29,4.484
2022-08-30,4.599
2022-08-31,4.648
2022-09-01,4.651
2022-09-02,4.715
2022-09-03,4.715
2022-09-04,4.715
2022-09-05,4.715
2022-09-06,4.734
2022-09-07,4.645
2022-09-08,4.676
2022-09-09,4.584
2022-09-10,4.584
2022-09-11,4.584
2022-09-12,4.494
2022-09-13,4.66
2022-09-14,4.609
2022-09-15,4.681
2022-09-16,4.652
2022-09-17,4.652
2022-09-18,4.652
2022-09-19,4.564
2022-09-20,4.637
2022-09-21,4.695
2022-09-22,4.641
2022-09-23,4.742
2022-09-24,4.742
2022-09-25,4.742
2022-09-26,4.833
2022-09-27,4.964
2022-09-28,4.891
2022-09-29,5.033
2022-09-30,5.169
2022-10-01,5.169
2022-10-02,5.169
2022-10-03,5.026
2022-10-04,4.906
2022-10-05,5.005
2022-10-06,5.117
2022-10-07,5.197
2022-10-08,5.197
2022-10-09,5.197
2022-10-10,5.193
2022-10-11,5.064
2022-10-12,5.119
2022-10-13,4.93
2022-10-14,5.098
2022-10-15,5.098
2022-10-16,5.098
2022-10-17,4.98
2022-10-18,4.892
2022-10-19,4.92
2022-10-20,4.972
2022-10-21,4.93
2022-10-22,4.93
2022-10-23,4.93
2022-10-24,4.911
2022-10-25,4.816
2022-10-26,4.743
2022-10-27,4.663
2022-10-28,4.623
2022-10-29,4.623
2022-10-30,4.623
2022-10-31,4.615
2022-11-01,4.58
2022-11-02,4.657
2022-11-03,4.743
2022-11-04,4.705
2022-11-05,4.705
2022-11-06,4.705
2022-11-07,4.778
2022-11-08,4.74
2022-11-09,4.71
2022-11-10,4.531
2022-11-11,4.568
2022-11-12,4.568
2022-11-13,4.568
2022-11-14,4.633
2022-11-15,4.602
2022-11-16,4.758
2022-11-17,4.7
2022-11-18,4.553
2022-11-19,4.553
2022-11-20,4.553
2022-11-21,4.453
2022-11-22,4.402
2022-11-23,4.38
2022-11-24,4.38
2022-11-25,4.321
2022-11-26,4.321
2022-11-27,4.321
2022-11-28,4.379
2022-11-29,4.412
2022-11-30,4.354
2022-12-01,4.532
2022-12-02,4.689
2022-12-03,4.689
2022-12-04,4.689
2022-12-05,4.949
2022-12-06,4.773
2022-12-07,4.685
2022-12-08,4.684
2022-12-09,4.711
2022-12-10,4.711
2022-12-11,4.711
2022-12-12,4.661
2022-12-13,4.69
2022-12-14,4.7
2022-12-15,4.78
2022-12-16,4.858
2022-12-17,4.858
2022-12-18,4.858
2022-12-19,4.814
2022-12-20,4.803
2022-12-21,4.678
2022-12-22,4.669
2022-12-23,4.586
2022-12-24,4.586
2022-12-25,4.586
2022-12-26,4.586
2022-12-27,4.571
2022-12-28,4.614
2022-12-29,4.554
2022-12-30,4.642
2022-12-31,4.642
2023-01-01,4.642
2023-01-02,4.642
2023-01-03,4.602
2023-01-04,4.514
2023-01-05,4.561
2023-01-06,4.433
2023-01-07,4.433
2023-01-08,4.433
2023-01-09,4.46
2023-01-10,4.438
2023-01-11,4.39
2023-01-12,4.389
2023-01-13,4.372
2023-01-14,4.372
2023-01-15,4.372
2023-01-16,4.372
2023-01-17,4.462
2023-01-18,4.541
2023-01-19,4.556
2023-01-20,4.567
2023-01-21,4.567
2023-01-22,4.567
2023-01-23,4.541
2023-01-24,4.5
2023-01-25,4.499
2023-01-26,4.499
2023-01-27,4.483
2023-01-28,4.483
2023-01-29,4.483
2023-01-30,4.506
2023-01-31,4.416
2023-02-01,4.3
2023-02-02,4.285
2023-02-03,4.223
2023-02-04,4.223
2023-02-05,4.223
2023-02-06,4.245
2023-02-07,4.289
2023-02-08,4.393
2023-02-09,4.454
2023-02-10,4.387
2023-02-11,4.387
2023-02-12,4.387
2023-02-13,4.368
2023-02-14,4.461
2023-02-15,4.435
2023-02-16,4.446
2023-02-17,4.378
2023-02-18,4.378
2023-02-19,4.378
2023-02-20,4.378
2023-02-21,4.454
2023-02-22,4.428
2023-02-23,4.44
2023-02-24,4.456
2023-02-25,4.456
2023-02-26,4.456
2023-02-27,4.482
2023-02-28,4.535
2023-03-01,4.532
2023-03-02,4.58
2023-03-03,4.562
2023-03-04,4.562
2023-03-05,4.562
2023-03-06,4.642
2023-03-07,4.692
2023-03-08,4.672
2023-03-09,4.699
2023-03-10,4.752
2023-03-11,4.752
2023-03-12,4.752
2023-03-13,4.664
2023-03-14,4.546
2023-03-15,4.553
2023-03-16,4.456
2023-03-17,4.522
2023-03-18,4.522
2023-03-19,4.522
2023-03-20,4.5
2023-03-21,4.594
2023-03-22,4.694
2023-03-23,4.735
2023-03-24,4.572
2023-03-25,4.572
2023-03-26,4.572
2023-03-27,4.567
2023-03-28,4.57
2023-03-29,4.502
2023-03-30,4.467
2023-03-31,4.511
2023-04-01,4.511
2023-04-02,4.511
2023-04-03,4.543
2023-04-04,4.548
2023-04-05,4.424
2023-04-06,4.451
2023-04-07,4.451
2023-04-08,4.451
2023-04-09,4.451
2023-04-10,4.435
2023-04-11,4.452
2023-04-12,4.537
2023-04-13,4.565
2023-04-14,4.652
2023-04-15,4.652
2023-04-16,4.652
2023-04-17,4.542
2023-04-18,4.584
2023-04-19,4.523
2023-04-20,4.534
2023-04-21,4.526
2023-04-22,4.526
2023-04-23,4.526
2023-04-24,4.544
2023-04-25,4.531
2023-04-26,4.677
2023-04-27,4.603
2023-04-28,4.672
2023-04-29,4.672
2023-04-30,4.672
2023-05-01,4.678
2023-05-02,4.748
2023-05-03,4.674
2023-05-04,4.626
2023-05-05,4.549
2023-05-06,4.549
2023-05-07,4.549
2023-05-08,4.631
2023-05-09,4.623
2023-05-10,4.564
2023-05-11,4.612
2023-05-12,4.58
2023-05-13,4.58
2023-05-14,4.58
2023-05-15,4.651
2023-05-16,4.706
2023-05-17,4.626
2023-05-18,4.644
2023-05-19,4.63
2023-05-20,4.63
2023-05-21,4.63
2023-05-22,4.637
2023-05-23,4.628
2023-05-24,4.767
2023-05-25,4.796
2023-05-26,4.791
2023-05-27,4.791
2023-05-28,4.791
2023-05-29,4.791
2023-05-30,4.853
2023-05-31,4.876
2023-06-01,4.951
2023-06-02,4.806
2023-06-03,4.806
2023-06-04,4.806
2023-06-05,4.871
2023-06-06,4.791
2023-06-07,4.614
2023-06-08,4.662
2023-06-09,4.697
2023-06-10,4.697
2023-06-11,4.697
2023-06-12,4.728
2023-06-13,4.696
2023-06-14,4.853
2023-06-15,4.874
2023-06-16,4.889
2023-06-17,4.889
2023-06-18,4.889
2023-06-19,4.889
2023-06-20,4.932
2023-06-21,4.861
2023-06-22,4.869
2023-06-23,4.955
2023-06-24,4.955
2023-06-25,4.955
2023-06-26,4.934
2023-06-27,4.925
2023-06-28,4.965
2023-06-29,4.931
2023-06-30,4.898
2023-07-01,4.898
2023-07-02,4.898
2023-07-03,4.894
2023-07-04,4.894
2023-07-05,4.882
2023-07-06,4.976
2023-07-07,5.001
2023-07-08,5.001
2023-07-09,5.001
2023-07-10,4.934
2023-07-11,4.918
2023-07-12,4.866
2023-07-13,4.867
2023-07-14,4.93
2023-07-15,4.93
2023-07-16,4.93
2023-07-17,4.92
2023-07-18,4.893
2023-07-19,4.835
2023-07-20,4.749
2023-07-21,4.764
2023-07-22,4.764
2023-07-23,4.764
2023-07-24,4.757
2023-07-25,4.773
2023-07-26,4.766
2023-07-27,4.867
2023-07-28,4.903
2023-07-29,4.903
2023-07-30,4.903
2023-07-31,4.891
2023-08-01,5.011
2023-08-02,5.069
2023-08-03,5.124
2023-08-04,5.117
2023-08-05,5.117
2023-08-06,5.117
2023-08-07,5.111
2023-08-08,5.178
2023-08-09,5.162
2023-08-10,5.184
2023-08-11,5.184
2023-08-12,5.184
2023-08-13,5.184
2023-08-14,5.281
2023-08-15,5.304
2023-08-16,5.268
2023-08-17,5.249
2023-08-18,5.257
2023-08-19,5.257
2023-08-20,5.257
2023-08-21,5.279
2023-08-22,5.271
2023-08-23,5.284
2023-08-24,5.309
2023-08-25,5.284
2023-08-26,5.284
2023-08-27,5.284
2023-08-28,5.264
2023-08-29,5.229
2023-08-30,5.247
2023-08-31,5.324
2023-09-01,5.333
2023-09-02,5.333
2023-09-03,5.333
2023-09-04,5.333
2023-09-05,5.45
2023-09-06,5.358
2023-09-07,5.274
2023-09-08,5.249
2023-09-09,5.249
2023-09-10,5.249
2023-09-11,5.212
2023-09-12,5.177
2023-09-13,5.126
2023-09-14,5.099
2023-09-15,5.102
2023-09-16,5.102
2023-09-17,5.102
2023-09-18,5.167
2023-09-19,5.245
