,MAXR US Equity
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,0.186
2020-11-07,0.186
2020-11-08,0.186
2020-11-09,0.185
2020-11-10,0.168
2020-11-11,0.169
2020-11-12,0.171
2020-11-13,0.161
2020-11-14,0.161
2020-11-15,0.161
2020-11-16,0.159
2020-11-17,0.145
2020-11-18,0.145
2020-11-19,0.144
2020-11-20,0.15
2020-11-21,0.15
2020-11-22,0.15
2020-11-23,0.147
2020-11-24,0.145
2020-11-25,0.141
2020-11-26,0.141
2020-11-27,0.141
2020-11-28,0.141
2020-11-29,0.141
2020-11-30,0.144
2020-12-01,0.144
2020-12-02,0.144
2020-12-03,0.142
2020-12-04,0.131
2020-12-05,0.131
2020-12-06,0.131
2020-12-07,0.129
2020-12-08,0.124
2020-12-09,0.124
2020-12-10,0.116
2020-12-11,0.108
2020-12-12,0.108
2020-12-13,0.108
2020-12-14,0.118
2020-12-15,0.113
2020-12-16,0.114
2020-12-17,0.118
2020-12-18,0.119
2020-12-19,0.119
2020-12-20,0.119
2020-12-21,0.118
2020-12-22,0.12
2020-12-23,0.114
2020-12-24,0.113
2020-12-25,0.113
2020-12-26,0.113
2020-12-27,0.113
2020-12-28,0.115
2020-12-29,0.117
2020-12-30,0.114
2020-12-31,0.104
2021-01-01,0.104
2021-01-02,0.104
2021-01-03,0.104
2021-01-04,0.111
2021-01-05,0.107
2021-01-06,0.103
2021-01-07,0.099
2021-01-08,0.103
2021-01-09,0.103
2021-01-10,0.103
2021-01-11,0.103
2021-01-12,0.102
2021-01-13,0.103
2021-01-14,0.086
2021-01-15,0.082
2021-01-16,0.082
2021-01-17,0.082
2021-01-18,0.082
2021-01-19,0.073
2021-01-20,0.073
2021-01-21,0.079
2021-01-22,0.08
2021-01-23,0.08
2021-01-24,0.08
2021-01-25,0.08
2021-01-26,0.083
2021-01-27,0.092
2021-01-28,0.091
2021-01-29,0.096
2021-01-30,0.096
2021-01-31,0.096
2021-02-01,0.092
2021-02-02,0.091
2021-02-03,0.088
2021-02-04,0.082
2021-02-05,0.078
2021-02-06,0.078
2021-02-07,0.078
2021-02-08,0.076
2021-02-09,0.075
2021-02-10,0.078
2021-02-11,0.08
2021-02-12,0.08
2021-02-13,0.08
2021-02-14,0.08
2021-02-15,0.08
2021-02-16,0.081
2021-02-17,0.085
2021-02-18,0.091
2021-02-19,0.084
2021-02-20,0.084
2021-02-21,0.084
2021-02-22,0.087
2021-02-23,0.088
2021-02-24,0.088
2021-02-25,0.09
2021-02-26,0.084
2021-02-27,0.084
2021-02-28,0.084
2021-03-01,0.077
2021-03-02,0.08
2021-03-03,0.086
2021-03-04,0.092
2021-03-05,0.093
2021-03-06,0.093
2021-03-07,0.093
2021-03-08,0.095
2021-03-09,0.091
2021-03-10,0.09
2021-03-11,0.085
2021-03-12,0.086
2021-03-13,0.086
2021-03-14,0.086
2021-03-15,0.084
2021-03-16,0.091
2021-03-17,0.094
2021-03-18,0.105
2021-03-19,0.107
2021-03-20,0.107
2021-03-21,0.107
2021-03-22,0.103
2021-03-23,0.109
2021-03-24,0.119
2021-03-25,0.112
2021-03-26,0.107
2021-03-27,0.107
2021-03-28,0.107
2021-03-29,0.112
2021-03-30,0.11
2021-03-31,0.106
2021-04-01,0.105
2021-04-02,0.105
2021-04-03,0.105
2021-04-04,0.105
2021-04-05,0.102
2021-04-06,0.106
2021-04-07,0.106
2021-04-08,0.102
2021-04-09,0.104
2021-04-10,0.104
2021-04-11,0.104
2021-04-12,0.109
2021-04-13,0.109
2021-04-14,0.107
2021-04-15,0.108
2021-04-16,0.105
2021-04-17,0.105
2021-04-18,0.105
2021-04-19,0.109
2021-04-20,0.111
2021-04-21,0.107
2021-04-22,0.105
2021-04-23,0.102
2021-04-24,0.102
2021-04-25,0.102
2021-04-26,0.099
2021-04-27,0.098
2021-04-28,0.099
2021-04-29,0.102
2021-04-30,0.103
2021-05-01,0.103
2021-05-02,0.103
2021-05-03,0.102
2021-05-04,0.138
2021-05-05,0.143
2021-05-06,0.131
2021-05-07,0.127
2021-05-08,0.127
2021-05-09,0.127
2021-05-10,0.136
2021-05-11,0.129
2021-05-12,0.134
2021-05-13,0.133
2021-05-14,0.128
2021-05-15,0.128
2021-05-16,0.128
2021-05-17,0.133
2021-05-18,0.136
2021-05-19,0.137
2021-05-20,0.136
2021-05-21,0.136
2021-05-22,0.136
2021-05-23,0.136
2021-05-24,0.134
2021-05-25,0.135
2021-05-26,0.129
2021-05-27,0.125
2021-05-28,0.129
2021-05-29,0.129
2021-05-30,0.129
2021-05-31,0.129
2021-06-01,0.122
2021-06-02,0.123
2021-06-03,0.119
2021-06-04,0.117
2021-06-05,0.117
2021-06-06,0.117
2021-06-07,0.114
2021-06-08,0.112
2021-06-09,0.113
2021-06-10,0.112
2021-06-11,0.111
2021-06-12,0.111
2021-06-13,0.111
2021-06-14,0.11
2021-06-15,0.111
2021-06-16,0.1
2021-06-17,0.1
2021-06-18,0.103
2021-06-19,0.103
2021-06-20,0.103
2021-06-21,0.102
2021-06-22,0.102
2021-06-23,0.099
2021-06-24,0.097
2021-06-25,0.097
2021-06-26,0.097
2021-06-27,0.097
2021-06-28,0.097
2021-06-29,0.1
2021-06-30,0.1
2021-07-01,0.098
2021-07-02,0.1
2021-07-03,0.1
2021-07-04,0.1
2021-07-05,0.1
2021-07-06,0.104
2021-07-07,0.108
2021-07-08,0.112
2021-07-09,0.112
2021-07-10,0.112
2021-07-11,0.112
2021-07-12,0.114
2021-07-13,0.113
2021-07-14,0.118
2021-07-15,0.121
2021-07-16,0.119
2021-07-17,0.119
2021-07-18,0.119
2021-07-19,0.13
2021-07-20,0.126
2021-07-21,0.117
2021-07-22,0.115
2021-07-23,0.117
2021-07-24,0.117
2021-07-25,0.117
2021-07-26,0.115
2021-07-27,0.118
2021-07-28,0.115
2021-07-29,0.114
2021-07-30,0.111
2021-07-31,0.111
2021-08-01,0.111
2021-08-02,0.113
2021-08-03,0.113
2021-08-04,0.118
2021-08-05,0.137
2021-08-06,0.127
2021-08-07,0.127
2021-08-08,0.127
2021-08-09,0.124
2021-08-10,0.124
2021-08-11,0.124
2021-08-12,0.125
2021-08-13,0.132
2021-08-14,0.132
2021-08-15,0.132
2021-08-16,0.136
2021-08-17,0.139
2021-08-18,0.139
2021-08-19,0.147
2021-08-20,0.145
2021-08-21,0.145
2021-08-22,0.145
2021-08-23,0.138
2021-08-24,0.133
2021-08-25,0.132
2021-08-26,0.134
2021-08-27,0.128
2021-08-28,0.128
2021-08-29,0.128
2021-08-30,0.128
2021-08-31,0.126
2021-09-01,0.125
2021-09-02,0.123
2021-09-03,0.125
2021-09-04,0.125
2021-09-05,0.125
2021-09-06,0.125
2021-09-07,0.128
2021-09-08,0.131
2021-09-09,0.129
2021-09-10,0.13
2021-09-11,0.13
2021-09-12,0.13
2021-09-13,0.128
2021-09-14,0.136
2021-09-15,0.134
2021-09-16,0.134
2021-09-17,0.133
2021-09-18,0.133
2021-09-19,0.133
2021-09-20,0.141
2021-09-21,0.139
2021-09-22,0.136
2021-09-23,0.134
2021-09-24,0.136
2021-09-25,0.136
2021-09-26,0.136
2021-09-27,0.132
2021-09-28,0.138
2021-09-29,0.141
2021-09-30,0.142
2021-10-01,0.139
2021-10-02,0.139
2021-10-03,0.139
2021-10-04,0.141
2021-10-05,0.145
2021-10-06,0.146
2021-10-07,0.143
2021-10-08,0.141
2021-10-09,0.141
2021-10-10,0.141
2021-10-11,0.141
2021-10-12,0.14
2021-10-13,0.138
2021-10-14,0.133
2021-10-15,0.136
2021-10-16,0.136
2021-10-17,0.136
2021-10-18,0.139
2021-10-19,0.136
2021-10-20,0.135
2021-10-21,0.134
2021-10-22,0.137
2021-10-23,0.137
2021-10-24,0.137
2021-10-25,0.136
2021-10-26,0.142
2021-10-27,0.142
2021-10-28,0.146
2021-10-29,0.151
2021-10-30,0.151
2021-10-31,0.151
2021-11-01,0.148
2021-11-02,0.154
2021-11-03,0.148
2021-11-04,0.126
2021-11-05,0.125
2021-11-06,0.125
2021-11-07,0.125
2021-11-08,0.129
2021-11-09,0.127
2021-11-10,0.131
2021-11-11,0.098
2021-11-12,0.097
2021-11-13,0.097
2021-11-14,0.097
2021-11-15,0.102
2021-11-16,0.105
2021-11-17,0.096
2021-11-18,0.103
2021-11-19,0.107
2021-11-20,0.107
2021-11-21,0.107
2021-11-22,0.108
2021-11-23,0.108
2021-11-24,0.108
2021-11-25,0.108
2021-11-26,0.117
2021-11-27,0.117
2021-11-28,0.117
2021-11-29,0.113
2021-11-30,0.116
2021-12-01,0.122
2021-12-02,0.117
2021-12-03,0.12
2021-12-04,0.12
2021-12-05,0.12
2021-12-06,0.118
2021-12-07,0.117
2021-12-08,0.114
2021-12-09,0.114
2021-12-10,0.116
2021-12-11,0.116
2021-12-12,0.116
2021-12-13,0.121
2021-12-14,0.124
2021-12-15,0.124
2021-12-16,0.122
2021-12-17,0.117
2021-12-18,0.117
2021-12-19,0.117
2021-12-20,0.12
2021-12-21,0.111
2021-12-22,0.108
2021-12-23,0.106
2021-12-24,0.106
2021-12-25,0.106
2021-12-26,0.106
2021-12-27,0.109
2021-12-28,0.109
2021-12-29,0.115
2021-12-30,0.111
2021-12-31,0.112
2022-01-01,0.112
2022-01-02,0.112
2022-01-03,0.109
2022-01-04,0.106
2022-01-05,0.111
2022-01-06,0.112
2022-01-07,0.111
2022-01-08,0.111
2022-01-09,0.111
2022-01-10,0.113
2022-01-11,0.108
2022-01-12,0.109
2022-01-13,0.111
2022-01-14,0.112
2022-01-15,0.112
2022-01-16,0.112
2022-01-17,0.112
2022-01-18,0.118
2022-01-19,0.122
2022-01-20,0.117
2022-01-21,0.123
2022-01-22,0.123
2022-01-23,0.123
2022-01-24,0.119
2022-01-25,0.124
2022-01-26,0.127
2022-01-27,0.135
2022-01-28,0.135
2022-01-29,0.135
2022-01-30,0.135
2022-01-31,0.127
2022-02-01,0.126
2022-02-02,0.13
2022-02-03,0.136
2022-02-04,0.133
2022-02-05,0.133
2022-02-06,0.133
2022-02-07,0.128
2022-02-08,0.124
2022-02-09,0.119
2022-02-10,0.121
2022-02-11,0.121
2022-02-12,0.121
2022-02-13,0.121
2022-02-14,0.123
2022-02-15,0.116
2022-02-16,0.116
2022-02-17,0.119
2022-02-18,0.121
2022-02-19,0.121
2022-02-20,0.121
2022-02-21,0.121
2022-02-22,0.122
2022-02-23,0.135
2022-02-24,0.097
2022-02-25,0.094
2022-02-26,0.094
2022-02-27,0.094
2022-02-28,0.083
2022-03-01,0.08
2022-03-02,0.076
2022-03-03,0.079
2022-03-04,0.082
2022-03-05,0.082
2022-03-06,0.082
2022-03-07,0.081
2022-03-08,0.08
2022-03-09,0.077
2022-03-10,0.078
2022-03-11,0.083
2022-03-12,0.083
2022-03-13,0.083
2022-03-14,0.086
2022-03-15,0.091
2022-03-16,0.09
2022-03-17,0.084
2022-03-18,0.081
2022-03-19,0.081
2022-03-20,0.081
2022-03-21,0.081
2022-03-22,0.078
2022-03-23,0.078
2022-03-24,0.075
2022-03-25,0.075
2022-03-26,0.075
2022-03-27,0.075
2022-03-28,0.075
2022-03-29,0.07
2022-03-30,0.069
2022-03-31,0.069
2022-04-01,0.07
2022-04-02,0.07
2022-04-03,0.07
2022-04-04,0.069
2022-04-05,0.07
2022-04-06,0.071
2022-04-07,0.071
2022-04-08,0.073
2022-04-09,0.073
2022-04-10,0.073
2022-04-11,0.073
2022-04-12,0.071
2022-04-13,0.076
2022-04-14,0.075
2022-04-15,0.075
2022-04-16,0.075
2022-04-17,0.075
2022-04-18,0.075
2022-04-19,0.074
2022-04-20,0.076
2022-04-21,0.083
2022-04-22,0.084
2022-04-23,0.084
2022-04-24,0.084
2022-04-25,0.083
2022-04-26,0.086
2022-04-27,0.087
2022-04-28,0.087
2022-04-29,0.09
2022-04-30,0.09
2022-05-01,0.09
2022-05-02,0.088
2022-05-03,0.087
2022-05-04,0.084
2022-05-05,0.087
2022-05-06,0.09
2022-05-07,0.09
2022-05-08,0.09
2022-05-09,0.101
2022-05-10,0.1
2022-05-11,0.104
2022-05-12,0.105
2022-05-13,0.1
2022-05-14,0.1
2022-05-15,0.1
2022-05-16,0.117
2022-05-17,0.119
2022-05-18,0.125
2022-05-19,0.127
2022-05-20,0.132
2022-05-21,0.132
2022-05-22,0.132
2022-05-23,0.132
2022-05-24,0.139
2022-05-25,0.118
2022-05-26,0.114
2022-05-27,0.111
2022-05-28,0.111
2022-05-29,0.111
2022-05-30,0.111
2022-05-31,0.114
2022-06-01,0.116
2022-06-02,0.111
2022-06-03,0.113
2022-06-04,0.113
2022-06-05,0.113
2022-06-06,0.113
2022-06-07,0.113
2022-06-08,0.115
2022-06-09,0.119
2022-06-10,0.148
2022-06-11,0.148
2022-06-12,0.148
2022-06-13,0.151
2022-06-14,0.153
2022-06-15,0.152
2022-06-16,0.164
2022-06-17,0.159
2022-06-18,0.159
2022-06-19,0.159
2022-06-20,0.159
2022-06-21,0.15
2022-06-22,0.15
2022-06-23,0.15
2022-06-24,0.145
2022-06-25,0.145
2022-06-26,0.145
2022-06-27,0.148
2022-06-28,0.15
2022-06-29,0.154
2022-06-30,0.153
2022-07-01,0.151
2022-07-02,0.151
2022-07-03,0.151
2022-07-04,0.151
2022-07-05,0.153
2022-07-06,0.156
2022-07-07,0.15
2022-07-08,0.153
2022-07-09,0.153
2022-07-10,0.153
2022-07-11,0.161
2022-07-12,0.159
2022-07-13,0.161
2022-07-14,0.137
2022-07-15,0.139
2022-07-16,0.139
2022-07-17,0.139
2022-07-18,0.139
2022-07-19,0.131
2022-07-20,0.128
2022-07-21,0.128
2022-07-22,0.131
2022-07-23,0.131
2022-07-24,0.131
2022-07-25,0.129
2022-07-26,0.133
2022-07-27,0.129
2022-07-28,0.128
2022-07-29,0.124
2022-07-30,0.124
2022-07-31,0.124
2022-08-01,0.124
2022-08-02,0.121
2022-08-03,0.119
2022-08-04,0.12
2022-08-05,0.12
2022-08-06,0.12
2022-08-07,0.12
2022-08-08,0.118
2022-08-09,0.119
2022-08-10,0.131
2022-08-11,0.126
2022-08-12,0.12
2022-08-13,0.12
2022-08-14,0.12
2022-08-15,0.122
2022-08-16,0.125
2022-08-17,0.129
2022-08-18,0.127
2022-08-19,0.133
2022-08-20,0.133
2022-08-21,0.133
2022-08-22,0.137
2022-08-23,0.137
2022-08-24,0.133
2022-08-25,0.131
2022-08-26,0.138
2022-08-27,0.138
2022-08-28,0.138
2022-08-29,0.142
2022-08-30,0.141
2022-08-31,0.143
2022-09-01,0.147
2022-09-02,0.151
2022-09-03,0.151
2022-09-04,0.151
2022-09-05,0.151
2022-09-06,0.154
2022-09-07,0.15
2022-09-08,0.152
2022-09-09,0.145
2022-09-10,0.145
2022-09-11,0.145
2022-09-12,0.143
2022-09-13,0.151
2022-09-14,0.155
2022-09-15,0.158
2022-09-16,0.163
2022-09-17,0.163
2022-09-18,0.163
2022-09-19,0.158
2022-09-20,0.16
2022-09-21,0.163
2022-09-22,0.168
2022-09-23,0.176
2022-09-24,0.176
2022-09-25,0.176
2022-09-26,0.184
2022-09-27,0.186
2022-09-28,0.183
2022-09-29,0.186
2022-09-30,0.182
2022-10-01,0.182
2022-10-02,0.182
2022-10-03,0.171
2022-10-04,0.156
2022-10-05,0.159
2022-10-06,0.161
2022-10-07,0.165
2022-10-08,0.165
2022-10-09,0.165
2022-10-10,0.17
2022-10-11,0.173
2022-10-12,0.179
2022-10-13,0.172
2022-10-14,0.179
2022-10-15,0.179
2022-10-16,0.179
2022-10-17,0.168
2022-10-18,0.163
2022-10-19,0.166
2022-10-20,0.168
2022-10-21,0.166
2022-10-22,0.166
2022-10-23,0.166
2022-10-24,0.166
2022-10-25,0.16
2022-10-26,0.158
2022-10-27,0.157
2022-10-28,0.151
2022-10-29,0.151
2022-10-30,0.151
2022-10-31,0.152
2022-11-01,0.152
2022-11-02,0.162
2022-11-03,0.166
2022-11-04,0.15
2022-11-05,0.15
2022-11-06,0.15
2022-11-07,0.139
2022-11-08,0.139
2022-11-09,0.143
2022-11-10,0.13
2022-11-11,0.129
2022-11-12,0.129
2022-11-13,0.129
2022-11-14,0.159
2022-11-15,0.154
2022-11-16,0.159
2022-11-17,0.155
2022-11-18,0.151
2022-11-19,0.151
2022-11-20,0.151
2022-11-21,0.15
2022-11-22,0.154
2022-11-23,0.173
2022-11-24,0.173
2022-11-25,0.168
2022-11-26,0.168
2022-11-27,0.168
2022-11-28,0.175
2022-11-29,0.174
2022-11-30,0.165
2022-12-01,0.161
2022-12-02,0.156
2022-12-03,0.156
2022-12-04,0.156
2022-12-05,0.16
2022-12-06,0.167
2022-12-07,0.166
2022-12-08,0.163
2022-12-09,0.167
2022-12-10,0.167
2022-12-11,0.167
2022-12-12,0.164
2022-12-13,0.163
2022-12-14,0.166
2022-12-15,0.173
2022-12-16,0.077
2022-12-17,0.077
2022-12-18,0.077
2022-12-19,0.078
2022-12-20,0.078
2022-12-21,0.077
2022-12-22,0.077
2022-12-23,0.077
2022-12-24,0.077
2022-12-25,0.077
2022-12-26,0.077
2022-12-27,0.078
2022-12-28,0.078
2022-12-29,0.077
2022-12-30,0.077
2022-12-31,0.077
2023-01-01,0.077
2023-01-02,0.077
2023-01-03,0.078
2023-01-04,0.078
2023-01-05,0.079
2023-01-06,0.078
2023-01-07,0.078
2023-01-08,0.078
2023-01-09,0.079
2023-01-10,0.079
2023-01-11,0.078
2023-01-12,0.078
2023-01-13,0.078
2023-01-14,0.078
2023-01-15,0.078
2023-01-16,0.078
2023-01-17,0.078
2023-01-18,0.078
2023-01-19,0.078
2023-01-20,0.078
2023-01-21,0.078
2023-01-22,0.078
2023-01-23,0.078
2023-01-24,0.078
2023-01-25,0.078
2023-01-26,0.078
2023-01-27,0.078
2023-01-28,0.078
2023-01-29,0.078
2023-01-30,0.078
2023-01-31,0.077
2023-02-01,0.077
2023-02-02,0.077
2023-02-03,0.078
2023-02-04,0.078
2023-02-05,0.078
2023-02-06,0.078
2023-02-07,0.077
2023-02-08,0.077
2023-02-09,0.078
2023-02-10,0.078
2023-02-11,0.078
2023-02-12,0.078
2023-02-13,0.077
2023-02-14,0.077
2023-02-15,0.078
2023-02-16,0.078
2023-02-17,0.078
2023-02-18,0.078
2023-02-19,0.078
2023-02-20,0.078
2023-02-21,0.078
2023-02-22,0.078
2023-02-23,0.078
2023-02-24,0.078
2023-02-25,0.078
2023-02-26,0.078
2023-02-27,0.078
2023-02-28,0.078
2023-03-01,0.078
2023-03-02,0.078
2023-03-03,0.078
2023-03-04,0.078
2023-03-05,0.078
2023-03-06,0.078
2023-03-07,0.078
2023-03-08,0.078
2023-03-09,0.079
2023-03-10,0.079
2023-03-11,0.079
2023-03-12,0.079
2023-03-13,0.079
2023-03-14,0.079
2023-03-15,0.079
2023-03-16,0.079
2023-03-17,0.079
2023-03-18,0.079
2023-03-19,0.079
2023-03-20,0.079
2023-03-21,0.079
2023-03-22,0.079
2023-03-23,0.079
2023-03-24,0.079
2023-03-25,0.079
2023-03-26,0.079
2023-03-27,0.079
2023-03-28,0.079
2023-03-29,0.079
2023-03-30,0.079
2023-03-31,0.078
2023-04-01,0.078
2023-04-02,0.078
2023-04-03,0.078
2023-04-04,0.078
2023-04-05,0.078
2023-04-06,0.078
2023-04-07,0.078
2023-04-08,0.078
2023-04-09,0.078
2023-04-10,0.078
2023-04-11,0.078
2023-04-12,0.078
2023-04-13,0.078
2023-04-14,0.078
2023-04-15,0.078
2023-04-16,0.078
2023-04-17,0.076
2023-04-18,0.076
2023-04-19,0.076
2023-04-20,0.076
2023-04-21,0.076
2023-04-22,0.076
2023-04-23,0.076
2023-04-24,0.076
2023-04-25,0.076
2023-04-26,0.076
2023-04-27,0.076
2023-04-28,0.076
2023-04-29,0.076
2023-04-30,0.076
2023-05-01,0.076
2023-05-02,0.075
2023-05-03,0.075
2023-05-04,0.075
2023-05-05,0.075
2023-05-06,0.075
2023-05-07,0.075
2023-05-08,0.075
2023-05-09,0.075
2023-05-10,0.075
2023-05-11,0.075
2023-05-12,0.075
2023-05-13,0.075
2023-05-14,0.075
2023-05-15,0.075
2023-05-16,0.075
2023-05-17,0.075
2023-05-18,0.075
2023-05-19,0.075
2023-05-20,0.075
2023-05-21,0.075
2023-05-22,0.075
2023-05-23,0.075
2023-05-24,0.075
2023-05-25,0.075
2023-05-26,0.075
2023-05-27,0.075
2023-05-28,0.075
2023-05-29,0.075
2023-05-30,0.075
2023-05-31,0.075
2023-06-01,0.075
2023-06-02,0.075
2023-06-03,0.075
2023-06-04,0.075
2023-06-05,0.075
2023-06-06,0.075
2023-06-07,0.075
2023-06-08,0.075
2023-06-09,0.075
2023-06-10,0.075
2023-06-11,0.075
2023-06-12,0.075
2023-06-13,0.075
2023-06-14,0.075
2023-06-15,0.075
2023-06-16,0.075
2023-06-17,0.075
2023-06-18,0.075
2023-06-19,0.075
2023-06-20,0.075
2023-06-21,0.075
2023-06-22,0.075
2023-06-23,0.075
2023-06-24,0.075
2023-06-25,0.075
2023-06-26,0.075
2023-06-27,0.075
2023-06-28,0.075
2023-06-29,0.075
2023-06-30,0.075
2023-07-01,0.075
2023-07-02,0.075
2023-07-03,0.075
2023-07-04,0.075
2023-07-05,0.075
2023-07-06,0.075
2023-07-07,0.075
2023-07-08,0.075
2023-07-09,0.075
2023-07-10,0.075
2023-07-11,0.075
2023-07-12,0.075
2023-07-13,0.075
2023-07-14,0.075
2023-07-15,0.075
2023-07-16,0.075
2023-07-17,0.075
2023-07-18,0.075
2023-07-19,0.075
2023-07-20,0.075
2023-07-21,0.075
2023-07-22,0.075
2023-07-23,0.075
2023-07-24,0.075
2023-07-25,0.075
2023-07-26,0.075
2023-07-27,0.075
2023-07-28,0.075
2023-07-29,0.075
2023-07-30,0.075
2023-07-31,0.075
2023-08-01,0.075
2023-08-02,0.075
2023-08-03,0.075
2023-08-04,0.075
2023-08-05,0.075
2023-08-06,0.075
2023-08-07,0.075
2023-08-08,0.075
2023-08-09,0.075
2023-08-10,0.075
2023-08-11,0.075
2023-08-12,0.075
2023-08-13,0.075
2023-08-14,0.075
2023-08-15,0.075
2023-08-16,0.075
2023-08-17,0.075
2023-08-18,0.075
2023-08-19,0.075
2023-08-20,0.075
2023-08-21,0.075
2023-08-22,0.075
2023-08-23,0.075
2023-08-24,0.075
2023-08-25,0.075
2023-08-26,0.075
2023-08-27,0.075
2023-08-28,0.075
2023-08-29,0.075
2023-08-30,0.075
2023-08-31,0.075
2023-09-01,0.075
2023-09-02,0.075
2023-09-03,0.075
2023-09-04,0.075
2023-09-05,0.075
2023-09-06,0.075
2023-09-07,0.075
2023-09-08,0.075
2023-09-09,0.075
2023-09-10,0.075
2023-09-11,0.075
2023-09-12,0.075
2023-09-13,0.075
2023-09-14,0.075
2023-09-15,0.075
