,PPL US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,7.846
2020-07-11,7.846
2020-07-12,7.846
2020-07-13,7.846
2020-07-14,7.757
2020-07-15,7.712
2020-07-16,7.664
2020-07-17,7.62
2020-07-18,7.62
2020-07-19,7.62
2020-07-20,7.812
2020-07-21,7.812
2020-07-22,7.573
2020-07-23,7.646
2020-07-24,7.706
2020-07-25,7.706
2020-07-26,7.706
2020-07-27,7.846
2020-07-28,7.643
2020-07-29,7.559
2020-07-30,7.476
2020-07-31,7.442
2020-08-01,7.442
2020-08-02,7.442
2020-08-03,7.47
2020-08-04,7.378
2020-08-05,7.445
2020-08-06,7.476
2020-08-07,7.3
2020-08-08,7.3
2020-08-09,7.3
2020-08-10,6.915
2020-08-11,6.968
2020-08-12,6.867
2020-08-13,6.803
2020-08-14,6.82
2020-08-15,6.82
2020-08-16,6.82
2020-08-17,6.879
2020-08-18,6.99
2020-08-19,6.99
2020-08-20,7.07
2020-08-21,7.065
2020-08-22,7.065
2020-08-23,7.065
2020-08-24,6.983
2020-08-25,7.096
2020-08-26,7.157
2020-08-27,7.165
2020-08-28,7.147
2020-08-29,7.147
2020-08-30,7.147
2020-08-31,7.17
2020-09-01,7.222
2020-09-02,6.956
2020-09-03,7.005
2020-09-04,7.003
2020-09-05,7.003
2020-09-06,7.003
2020-09-07,7.003
2020-09-08,7.018
2020-09-09,7.034
2020-09-10,7.155
2020-09-11,7.09
2020-09-12,7.09
2020-09-13,7.09
2020-09-14,6.991
2020-09-15,7.042
2020-09-16,6.969
2020-09-17,7.098
2020-09-18,7.283
2020-09-19,7.283
2020-09-20,7.283
2020-09-21,7.442
2020-09-22,7.433
2020-09-23,7.534
2020-09-24,7.487
2020-09-25,7.374
2020-09-26,7.374
2020-09-27,7.374
2020-09-28,7.316
2020-09-29,7.262
2020-09-30,7.174
2020-10-01,7.085
