,PDCO US Equity
,BEST_DIV_YLD
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,
2020-01-05,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-11,
2020-01-12,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-18,
2020-01-19,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-24,
2020-01-25,
2020-01-26,
2020-01-27,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-25,
2020-04-26,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,5.802
2020-06-26,5.557
2020-06-27,5.557
2020-06-28,5.557
2020-06-29,5.631
2020-06-30,5.759
2020-07-01,5.677
2020-07-02,5.757
2020-07-03,5.757
2020-07-04,5.757
2020-07-05,5.757
2020-07-06,5.509
2020-07-07,5.571
2020-07-08,5.562
2020-07-09,5.572
2020-07-10,5.486
2020-07-11,5.486
2020-07-12,5.486
2020-07-13,5.511
2020-07-14,5.376
2020-07-15,5.109
2020-07-16,5.08
2020-07-17,4.863
2020-07-18,4.863
2020-07-19,4.863
2020-07-20,4.982
2020-07-21,4.971
2020-07-22,4.888
2020-07-23,4.9
2020-07-24,5.007
2020-07-25,5.007
2020-07-26,5.007
2020-07-27,4.949
2020-07-28,4.999
2020-07-29,4.938
2020-07-30,4.787
2020-07-31,4.721
2020-08-01,4.721
2020-08-02,4.721
2020-08-03,4.571
2020-08-04,4.499
2020-08-05,4.471
2020-08-06,4.512
2020-08-07,4.526
2020-08-08,4.526
2020-08-09,4.526
2020-08-10,4.531
2020-08-11,4.633
2020-08-12,4.634
2020-08-13,4.685
2020-08-14,4.657
2020-08-15,4.657
2020-08-16,4.657
2020-08-17,4.698
2020-08-18,4.74
2020-08-19,4.804
2020-08-20,4.862
2020-08-21,4.847
2020-08-22,4.847
2020-08-23,4.847
2020-08-24,4.664
2020-08-25,4.564
2020-08-26,4.37
2020-08-27,4.307
2020-08-28,4.258
2020-08-29,4.258
2020-08-30,4.258
2020-08-31,4.322
2020-09-01,4.334
2020-09-02,4.325
2020-09-03,4.74
2020-09-04,4.793
2020-09-05,4.793
2020-09-06,4.793
2020-09-07,4.793
2020-09-08,5.187
2020-09-09,5.12
2020-09-10,5.259
2020-09-11,5.242
2020-09-12,5.242
2020-09-13,5.242
2020-09-14,5.084
2020-09-15,5.159
2020-09-16,5.183
2020-09-17,5.139
2020-09-18,5.281
2020-09-19,5.281
2020-09-20,5.281
2020-09-21,5.086
2020-09-22,5.242
2020-09-23,5.577
2020-09-24,5.423
2020-09-25,5.342
2020-09-26,5.342
2020-09-27,5.342
